C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:18:34

Vmag< 11&dec< 0&rah >=9.5&rah< 9.75
-----------------------------------

Number of objects : 7080

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
79  |BD-04 2657                                                            |Star                              |09 33 18.8138779920 -05 21 08.018879616|239.4337094714678 +32.1800744274116|  -17.168 3.165   |9.66     |~              |    ~     ~    
80  |BD-05 2833                                                            |Star                              |09 33 24.7860693648 -05 55 43.400613252|239.9941271304786 +31.8527075103861|    0.424 0.654   |10.11    |~              |    ~     ~    
81  |BD-04 2648                                                            |Star                              |09 31 15.2276738184 -05 34 52.723377912|239.2879575399332 +31.6324162956849|   15.003 0.199   |10.81    |~              |    ~     ~    
82  |BD-05 2823                                                            |Star                              |09 31 22.5229240944 -05 47 06.166163940|239.5007185322617 +31.5345782906366|  -10.890 2.746   |10.503   |~              |    ~     ~    
83  |BD-04 2649                                                            |Eclipsing Binary                  |09 31 24.6923863440 -04 59 51.630557280|238.7641618102573 +32.0120144908692| -34.869 20.739   |10.19    |~              |    ~     ~    
84  |BD-05 2828                                                            |Star                              |09 32 22.6356615480 -05 44 49.208767548|239.6407954103096 +31.7566795503599|-12.816 -17.244   |10.03    |~              |    ~     ~    
85  |BD-05 2830                                                            |Star                              |09 32 35.6066797416 -05 41 38.629513176|239.6290695301778 +31.8314800491088|  -3.750 -3.682   |10.264   |~              |    ~     ~    
86  |TYC 4897-3-1                                                          |Star                              |09 30 34.5806082096 -04 49 35.136706008|238.4561486679229 +31.9461234904303| -22.417 18.220   |10.64    |~              |    ~     ~    
87  |TYC 4897-337-1                                                        |Star                              |09 31 16.3571346816 -04 53 22.881807240|238.6374475142137 +32.0483207622252|  -8.101 -0.934   |10.92    |~              |    ~     ~    
88  |TYC 4897-383-1                                                        |Star                              |09 31 14.9685154399 -04 57 37.890072248|238.7006411690068 +32.0016253814323| 18.734 -32.695   |10.790   |~              |    ~     ~    
89  |TYC 4900-400-1                                                        |Star                              |09 30 43.3088675808 -05 43 02.210306808|239.3228703338567 +31.4450174510410|-35.752 -11.316   |10.621   |~              |    ~     ~    
90  |TYC 4900-692-1                                                        |Star                              |09 30 30.4002083328 -05 24 25.556759172|238.9935104384303 +31.5872946504724|   -2.086 1.821   |10.196   |~              |    ~     ~    
91  |TYC 4900-832-1                                                        |Star                              |09 30 40.5242998368 -05 49 30.862368156|239.4160902262269 +31.3711363436423|-42.056 -23.044   |10.73    |~              |    ~     ~    
92  |TYC 4900-898-1                                                        |Star                              |09 30 16.3053214656 -06 00 24.337506888|239.5157219054322 +31.1819960643119|  -9.224 -0.774   |10.18    |~              |    ~     ~    
93  |TYC 4900-936-1                                                        |Star                              |09 32 06.0945941208 -05 15 05.594984136|239.1253259406649 +31.9986986341486| -16.584 16.217   |10.48    |~              |    ~     ~    
94  |TYC 4900-980-1                                                        |Star                              |09 31 12.1733190600 -05 42 25.747750152|239.3973858907683 +31.5469330027922|   2.129 -6.906   |10.817   |~              |    ~     ~    
95  |TYC 4900-1091-1                                                       |Star                              |09 32 40.4846799552 -06 15 50.312897676|240.1774322959844 +31.5037813879907|   0.156 -8.892   |10.90    |~              |    ~     ~    
96  |TYC 4900-1199-1                                                       |Star                              |09 32 37.5712717992 -06 19 16.171032036|240.2222318397583 +31.4595568071404|   -3.185 2.724   |10.83    |~              |    ~     ~    
97  |TYC 4900-1820-1                                                       |Star                              |09 30 40.4733481656 -06 14 34.091941200|239.8065039602888 +31.1202421502186| -20.524 19.730   |10.446   |~              |    ~     ~    
98  |TYC 4900-1887-1                                                       |Star                              |09 32 22.3914530496 -06 22 35.572566648|240.2292746098915 +31.3759900608808| -40.004 12.693   |10.83    |~              |    ~     ~    
99  |TYC 4900-1986-1                                                       |Star                              |09 31 47.5548274200 -05 15 19.793089584|239.0749094095915 +31.9346395661422|   1.860 -9.914   |10.970   |~              |    ~     ~    
100 |BD-06 2925                                                            |Red Giant Branch star             |09 30 06.3720037872 -07 18 25.608623688|240.6932779579240 +30.3640712637988|    2.424 1.025   |9.99     |K0             |    ~     ~    
101 |BD-06 2929                                                            |High Proper Motion Star           |09 31 12.2224950576 -07 05 11.939240940|240.6822802640579 +30.7142364271954|-138.919 -79.320  |10.157   |~              |    ~     ~    
102 |BD-06 2930                                                            |Star                              |09 31 20.1739885392 -07 05 11.312736216|240.7053908429481 +30.7404345512404|-17.362 -25.433   |10.420   |~              |    ~     ~    
103 |BD-06 2931                                                            |Horizontal Branch Star            |09 31 30.7640242560 -07 25 29.944570404|241.0482893051382 +30.5687057887102| -0.396 -15.618   |9.54     |K0             |    ~     ~    
104 |HD 82426                                                              |High Proper Motion Star           |09 31 47.4981167232 -07 29 45.952141164|241.1627463741770 +30.5799223691746|  -68.457 5.198   |7.78     |A9IV/V         |    ~     ~    
105 |BD-06 2936                                                            |Star                              |09 32 34.1199184176 -07 28 25.892132268|241.2794667858207 +30.7457833435650| -25.430 -2.385   |10.42    |~              |    ~     ~    
106 |BD-06 2938                                                            |Star                              |09 33 04.6504042152 -07 06 46.172826324|241.0368772826342 +31.0666304394926|-23.919 -22.175   |9.95     |~              |    ~     ~    
107 |HD 82674                                                              |Spectroscopic Binary              |09 33 19.9076925216 -07 11 24.727501644|241.1533873124486 +31.0691473506769|-60.166 -23.576   |6.250    |K2III          |    ~     ~    
108 |BD-07 2825                                                            |Star                              |09 30 43.5 -07 46 53                   |241.2368 +30.1963                  |            ~ ~   |9.3      |~              |    ~     ~    
109 |HD 82269                                                              |High Proper Motion Star           |09 30 53.8956392520 -08 12 58.932862524|241.6641742757697 +29.9633117553944|-27.464 -59.842   |8.92     |F0V            |    ~     ~    
110 |HD 82373                                                              |Star                              |09 31 23.3381135616 -08 08 40.259455224|241.6850348499604 +30.1032465126784| -16.490 -5.464   |7.69     |K0III          |    ~     ~    
111 |BD-07 2830                                                            |Star                              |09 31 30.1987942632 -07 40 12.897886188|241.2717739520948 +30.4168008386170|   6.344 -5.657   |10.377   |~              |    ~     ~    
112 |HD 82411                                                              |Star                              |09 31 36.7271189280 -08 10 10.158402000|241.7470900029565 +30.1313871475718| -15.255 -4.383   |8.76     |A2V            |    ~     ~    
