C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:18:34

Vmag< 11&dec< 0&rah >=9.5&rah< 9.75
-----------------------------------

Number of objects : 7080

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
6941|BD-08 2752B                                                           |Star                              |09 44 01.518191 -08 55 52.49963        |244.693702215 +32.036945995        |      -8.6 -6.9   |10.94    |~              |    ~     ~    
6942|BD-08 2754B                                                           |Star                              |09 44 14.460457 -08 47 47.79590        |244.612343837 +32.164291688        |       -7.4 2.7   |10.49    |~              |    ~     ~    
6943|BD-22 2703B                                                           |Star                              |09 44 16.416966 -23 33 30.35772        |256.785041760 +22.104909175        |       4.3 -3.5   |10.70    |~              |    ~     ~    
6944|TYC 7701-472-2                                                        |Star                              |09 44 48.962 -42 30 29.30              |270.138431 +08.176242              |    -23.0 -21.6   |10.43    |~              |    ~     ~    
6945|TYC 7693-2860-2                                                       |Star                              |09 44 52.142 -37 33 41.77              |266.843231 +11.910459              |      -17.8 9.3   |9.16     |~              |    ~     ~    
6946|TYC 6048-1045-2                                                       |Star                              |09 44 57.733 -17 40 32.39              |252.322734 +26.357967              |     -33.0 32.0   |10.55    |~              |    ~     ~    
6947|* zet01 Ant B                                                         |Star                              |09 30 45.7592539224 -31 53 28.008615444|260.6959893041230 +14.0704042084629| 20.517 -21.314   |6.82     |A1V            |    ~     ~    
6948|HD 82448B                                                             |Star                              |09 31 42.810808 -11 24 35.15667        |244.658505320 +28.123016312        |       22.1 2.6   |10.37    |~              |    ~     ~    
6949|TYC 8175-165-1                                                        |Star                              |09 32 41.5290 -50 15 29.687            |273.7507864 +01.0027950            |   -3.681 3.283   |9.91     |~              |    ~     ~    
6950|HD 82984B                                                             |Star                              |09 33 44.4154142928 -49 00 19.838608092|273.0265378099774 +02.0391306984216| -20.112 10.981   |6.21     |~              |    ~     ~    
6951|TYC 7704-1651-1                                                       |Star                              |09 33 51.1976498544 -44 18 39.940372908|269.8533478774585 +05.5054656243534|  -12.974 7.179   |10.14    |~              |    ~     ~    
6952|TYC 4894-439-1                                                        |Star                              |09 34 52.157 -01 23 17.83              |235.856214 +34.819850              |        0.6 2.8   |10.14    |~              |    ~     ~    
6953|TYC 5469-1215-1                                                       |Star                              |09 35 01.5654726984 -12 05 19.865127444|245.8396106501841 +28.3111446295765|  -3.515 -8.537   |10.54    |~              |    ~     ~    
6954|TYC 7692-1866-1                                                       |Star                              |09 35 48.666 -38 32 18.45              |266.164769 +09.989499              |      -4.6 11.6   |10.67    |~              |    ~     ~    
6955|TYC 7692-2943-1                                                       |Star                              |09 37 02.801 -38 17 18.70              |266.172485 +10.337333              |            ~ ~   |9.50     |~              |    ~     ~    
6956|CD-26 7297A                                                           |Double or Multiple Star           |09 38 37.260648 -26 44 27.89232        |258.191846522 +18.937954372        |     -38.6 30.3   |9.97     |~              |    ~     ~    
6957|TYC 8168-2102-1                                                       |Star                              |09 39 23.426 -45 46 33.80              |271.569104 +05.076779              |     -23.5 18.5   |9.27     |~              |    ~     ~    
6958|HD 83713A                                                             |Star                              |09 40 02.3967211296 -17 09 52.455156300|251.0116497147666 +25.8542788776847|  0.840 -18.664   |8.72     |~              |    ~     ~    
6959|HD 84120A                                                             |High Proper Motion Star           |09 41 14.4686307816 -51 09 28.728352836|275.3592354793108 +01.2371445262091| -80.762 34.651   |9.01     |~              |    ~     ~    
6960|TYC 6610-204-1                                                        |Star                              |09 42 55.185 -26 32 51.21              |258.778573 +19.746438              |      -7.4 -6.5   |10.62    |~              |    ~     ~    
6961|HD 85127A                                                             |High Proper Motion Star           |09 44 46.446 -75 53 56.96              |292.249326 -17.064406              |     -59.9 25.8   |9.14     |~              |    ~     ~    
6962|HD 85127B                                                             |High Proper Motion Star           |09 44 47.1467154576 -75 54 05.214010320|292.2514970345377 -17.0656117292703| -57.446 28.367   |9.78     |~              |    ~     ~    
