C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:01:25

Vmag< 11&dec >=0&rah >=3.75&rah< 4.0
------------------------------------

Number of objects : 4192

 #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
84  |HD 23624                                                                                                 |Star                          |03 48 22.5633309312 +42 52 51.788011368|154.1029029254672 -09.0313754483172| -0.284 -11.289   |7.39     |B8               |    ~     ~    
85  |BD+44 793                                                                                                |Star                          |03 46 47.6856392760 +45 02 03.345782892|152.5180767605454 -07.5287670421354|  2.185 -18.325   |9.25     |K0               |    ~     ~    
86  |BD+44 795                                                                                                |Star                          |03 47 19.6716154656 +44 47 30.707380068|152.7448495739432 -07.6596785636825|   1.537 -2.053   |8.81     |K5               |    ~     ~    
87  |HD 23566                                                                                                 |Star                          |03 48 04.2548262816 +45 21 17.779817124|152.4938002492814 -07.1378708428976|-13.741 -15.417   |7.64     |A5               |    ~     ~    
88  |BD+43 804                                                                                                |Star                          |03 46 34.2023366472 +44 20 39.258555036|152.9196514996372 -08.0939630694018|  7.312 -10.221   |8.81     |K0               |    ~     ~    
89  |BD+43 812                                                                                                |Star                          |03 48 25.5602421696 +44 14 00.025703124|153.2515671994366 -07.9731422216101|   6.507 -6.858   |10.27    |A2               |    ~     ~    
90  |BD+44 798                                                                                                |Star                          |03 49 35.4374871144 +44 40 33.089230524|153.1341311414794 -07.4983030082939| -0.213 -10.265   |9.97     |K0               |    ~     ~    
91  |HD 23838                                                                                                 |Spectroscopic Binary          |03 50 04.4251512960 +44 58 04.328639760|153.0156911464037 -07.2175684419490|-40.641 -31.372   |5.657    |G7III+F0IV:      |    ~     ~    
92  |HD 23698                                                                                                 |High Proper Motion Star       |03 49 02.7464182248 +44 20 36.158974476|153.2689820524915 -07.8178608749868| 71.640 -56.248   |8.71     |G5               |    ~     ~    
93  |BD+43 817                                                                                                |Star                          |03 49 06.3015678696 +44 13 03.226787940|153.3571587782597 -07.9090319023611| 32.996 -18.798   |9.13     |F8               |    ~     ~    
94  |BD+43 830                                                                                                |Star                          |03 51 21.5432449440 +44 23 33.870758856|153.5609508385201 -07.5184882796362|   7.802 -6.809   |9.51     |A0               |    ~     ~    
95  |BD+43 833                                                                                                |Star                          |03 52 12.6710576448 +44 17 22.687460412|153.7456909654073 -07.5012200742995| 17.017 -19.987   |9.87     |K0               |    ~     ~    
96  |BD+43 801                                                                                                |Star                          |03 45 47.4990432168 +43 50 26.234388492|153.1251938648121 -08.5754238357522|  -0.027 -4.167   |10.07    |F5               |    ~     ~    
97  |BD+43 805                                                                                                |Star                          |03 46 36.2710027056 +43 30 21.869495424|153.4520683012274 -08.7460138914778| 23.886 -28.402   |9.51     |F5               |    ~     ~    
98  |HD 23477                                                                                                 |Star                          |03 47 16.1226316656 +44 04 25.449043152|153.1888530678191 -08.2275218850629| 27.106 -33.839   |7.054    |B9               |    ~     ~    
99  |BD+42 823                                                                                                |Star                          |03 48 22.5197522520 +43 23 13.825124232|153.7809798540814 -08.6377139975035|  -7.662 -4.559   |8.78     |K0               |    ~     ~    
100 |HD 23653                                                                                                 |Star                          |03 48 32.3032319040 +43 40 03.400754700|153.6261551266183 -08.4009139681642| 21.854 -17.219   |8.13     |K0               |    ~     ~    
101 |BD+43 823                                                                                                |Double or Multiple Star       |03 50 22.4070928080 +44 03 28.335080160|153.6371409003215 -07.8894533569533|   4.598 -5.192   |10.40    |B                |    ~     ~    
102 |BD+43 828                                                                                                |Star                          |03 51 03.5794780296 +43 52 39.799304472|153.8488088604620 -07.9506573973920|  2.138 -33.607   |9.59     |F8               |    ~     ~    
103 |HD 24095                                                                                                 |Star                          |03 52 06.9108369192 +43 40 19.726835736|154.1292935948701 -07.9881627941416| -0.604 -10.741   |8.86     |A2               |    ~     ~    
104 |BD+43 837                                                                                                |High Proper Motion Star       |03 53 45.4028780472 +43 37 49.927960164|154.3866321117645 -07.8302634569207| 58.171 -50.392   |9.34     |G0               |    ~     ~    
105 |BD+43 839                                                                                                |Star                          |03 54 37.4299963272 +43 48 23.760236412|154.3935885145774 -07.5946822880945| 36.013 -11.466   |9.06     |F8               |    ~     ~    
106 |BD+43 842                                                                                                |Star                          |03 55 43.9072210560 +43 34 13.501481556|154.7017203975570 -07.6459008938733|   0.944 -2.143   |10.31    |B                |    ~     ~    
107 |BD+42 828                                                                                                |Double or Multiple Star       |03 49 53.3896144 +43 13 32.876567      |154.1002121361 -08.5894322079      |     46.36 1.68   |9.30     |F5               |0.0067  0.0    
108 |V* V376 Per                                                                                              |delta Sct Variable            |03 49 08.1097674384 +43 57 47.301643260|153.5230278304544 -08.1034075193428|  -3.453 11.469   |5.970    |A9IV             |    ~     ~    
109 |V* EZ Per                                                                                                |Carbon Star                   |03 52 07.0892437296 +43 46 06.577420296|154.0677130466179 -07.9135739132763|   3.111 -4.565   |10.49    |C5,4             |    ~     ~    
110 |IRAS 03443+4324                                                                                          |Star                          |03 47 44.3802328728 +43 34 00.662738232|153.5761818938830 -08.5700514403937|   1.773 -1.808   |10.85    |~                |    ~     ~    
111 |IRAS 03471+4316                                                                                          |Star                          |03 50 33.6608799960 +43 25 58.260889164|154.0632741591462 -08.3518743015619|  -0.842 -0.972   |9.79     |~                |    ~     ~    
112 |HD 23256                                                                                                 |High Proper Motion Star       |03 45 33.6165636120 +45 21 14.541915852|152.1460209292426 -07.4126982640013| 62.257 -18.269   |7.64     |F2               |    ~     ~    
113 |BD+44 794                                                                                                |Star                          |03 47 03.4472069448 +45 10 04.639914084|152.4708042330163 -07.3952543561957|  -2.038 -4.297   |9.52     |M3               |    ~     ~    
114 |TYC 2871-1414-1                                                                                          |Star                          |03 49 19.6306362240 +42 59 10.076946540|154.1727922749876 -08.8401105177048|  0.599 -18.843   |10.70    |~                |    ~     ~    
115 |TYC 2871-1491-1                                                                                          |Star                          |03 45 18.3577119168 +43 01 00.557436504|153.5725921980712 -09.2761922234899|   0.072 -9.908   |10.19    |~                |    ~     ~    
116 |TYC 2871-1584-1                                                                                          |Pulsating Variable            |03 47 06.9422529696 +42 42 59.887129608|154.0249297171461 -09.3044281342808|   1.163 -4.059   |10.27    |~                |    ~     ~    
117 |TYC 2872-841-1                                                                                           |Star                          |03 50 58.4236663872 +43 03 07.388165196|154.3662617474427 -08.5985501593161| 14.687 -18.477   |10.77    |~                |    ~     ~    
118 |TYC 2875-53-1                                                                                            |Star                          |03 45 51.8925760968 +43 08 28.329123372|153.5753777774716 -09.1153220706639|  6.603 -24.766   |9.66     |~                |    ~     ~    
119 |TYC 2875-151-1                                                                                           |Star                          |03 49 38.3141441640 +43 16 49.771215624|154.0294023744961 -08.5759408426320| 14.180 -15.247   |10.24    |~                |    ~     ~    
120 |TYC 2875-223-1                                                                                           |Star                          |03 45 56.0900198880 +43 11 28.852583388|153.5539218900654 -09.0681158998100|   3.008 -3.995   |10.85    |~                |    ~     ~    
121 |TYC 2875-411-1                                                                                           |Star                          |03 48 07.4683716360 +43 22 41.607013872|153.7507695166579 -08.6732890916091|   1.431 -3.039   |10.62    |~                |    ~     ~    
122 |TYC 2875-417-1                                                                                           |Star                          |03 49 43.6449927720 +43 33 06.875312796|153.8688023996798 -08.3552723062274|   5.536 -5.770   |10.64    |~                |    ~     ~    
123 |TYC 2875-547-1                                                                                           |Star                          |03 49 58.0682036616 +43 34 16.671277128|153.8905490973453 -08.3127359697540|   3.765 -5.147   |10.76    |~                |    ~     ~    
124 |TYC 2875-730-1                                                                                           |Star                          |03 48 22.6619541984 +43 30 46.709831700|153.7014324910192 -08.5395330634663|    1.092 8.299   |10.41    |~                |    ~     ~    
125 |TYC 2875-811-1                                                                                           |Star                          |03 46 20.4129321168 +44 32 31.127129628|152.7630710943325 -07.9645598158022| 19.130 -11.637   |10.51    |~                |    ~     ~    
126 |TYC 2875-1220-1                                                                                          |Star                          |03 47 59.5229674848 +44 37 21.813772872|152.9444378783598 -07.7180876745332|   6.670 -9.472   |10.35    |~                |    ~     ~    
127 |TYC 2875-1327-1                                                                                          |Spectroscopic Binary          |03 47 00.7438532856 +44 22 32.800908576|152.9623118529918 -08.0200562340090| 34.895 -14.279   |9.49     |~                |    ~     ~    
128 |TYC 2875-1941-1                                                                                          |Star                          |03 45 42.9620500896 +43 46 19.281953208|153.1574233318550 -08.6376839487714|   3.644 -7.525   |10.86    |~                |    ~     ~    
129 |TYC 2875-1966-1                                                                                          |Star                          |03 49 38.0144057064 +43 54 47.972539260|153.6251089949717 -08.0855751686790|  -4.435 -3.372   |9.90     |~                |    ~     ~    
130 |TYC 2875-1975-1                                                                                          |Star                          |03 46 25.9410463800 +43 49 21.287994132|153.2280751603855 -08.5177546705352|   -2.970 2.774   |10.46    |~                |    ~     ~    
131 |TYC 2875-2116-1                                                                                          |Star                          |03 48 24.0872931888 +43 57 20.191170168|153.4240377941120 -08.1922229592436|  13.037 -4.933   |10.03    |~                |    ~     ~    
132 |BD+44 789                                                                                                |Double or Multiple Star       |03 45 15.733560 +44 44 28.88700        |152.486371412 -07.926873528        |    -13.7 -17.3   |10.011   |~                |    ~     ~    
133 |TYC 2876-402-1                                                                                           |Star                          |03 50 46.2938580456 +43 58 05.926201932|153.7503167496810 -07.9134834393018| -6.517 -15.990   |9.70     |~                |    ~     ~    
134 |TYC 2876-454-1                                                                                           |Star                          |03 50 53.9920034280 +43 48 25.427918376|153.8715655181551 -08.0235609941024| -1.655 -15.935   |10.79    |~                |    ~     ~    
135 |TYC 2876-514-1                                                                                           |Star                          |03 53 13.3213983216 +43 58 53.147384400|154.0849953436845 -07.6226746921768|  -1.879 -2.403   |10.92    |~                |    ~     ~    
136 |TYC 2876-519-1                                                                                           |Star                          |03 50 15.0673666560 +43 49 14.866105152|153.7712984328602 -08.0870355723916|  -4.669 -6.662   |10.37    |~                |    ~     ~    
137 |TYC 2876-551-1                                                                                           |High Proper Motion Star       |03 54 26.3644193688 +43 47 45.836995488|154.3747262512747 -07.6241575692286| 13.032 -51.836   |10.43    |~                |    ~     ~    
138 |TYC 2876-595-1                                                                                           |Star                          |03 50 37.8914733792 +44 01 38.065399860|153.6929629888463 -07.8838286552283|  -2.181 -2.905   |10.46    |~                |    ~     ~    
139 |TYC 2876-832-1                                                                                           |Star                          |03 50 12.2926474272 +44 20 26.561920704|153.4330917266642 -07.6893519995839|   6.060 -9.855   |10.61    |~                |    ~     ~    
140 |TYC 2876-856-1                                                                                           |Star                          |03 50 42.7453546704 +44 23 56.982345180|153.4667111376954 -07.5867205588223|  5.361 -21.997   |9.87     |~                |    ~     ~    
141 |TYC 2876-887-1                                                                                           |Star                          |03 51 15.6280150512 +44 09 45.016810884|153.6945894625249 -07.7076304320262|    0.417 2.008   |10.91    |~                |    ~     ~    
142 |TYC 2876-1243-1                                                                                          |Star                          |03 50 03.1786588176 +44 42 37.421989704|153.1765244716014 -07.4197042667201|   2.949 -4.169   |10.76    |~                |    ~     ~    
143 |TYC 2876-1397-1                                                                                          |Star                          |03 56 44.9215078824 +43 32 00.338188236|154.8674716132836 -07.5546671330741|   1.784 -6.111   |10.54    |~                |    ~     ~    
144 |TYC 2876-1398-1                                                                                          |Star                          |03 50 35.3311100184 +43 45 21.550320288|153.8603935136313 -08.0986466910461|  -4.992 23.561   |10.88    |~                |    ~     ~    
145 |TYC 2876-1447-1                                                                                          |Star                          |03 56 06.0157946784 +43 26 16.679567256|154.8396198213141 -07.7036109452199| 22.881 -11.137   |9.73     |~                |    ~     ~    
