C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:01:25

Vmag< 11&dec >=0&rah >=3.75&rah< 4.0
------------------------------------

Number of objects : 4192

 #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
3970|TYC 3330-2820-1                                                                                          |Star                          |03 55 48.0623603400 +47 37 13.337555052|152.0843795005949 -04.5425574679256|  -4.412 -2.021   |10.77    |~                |    ~     ~    
3971|TYC 3331-899-1                                                                                           |Star                          |03 58 53.4378460008 +48 09 58.066597764|152.1262437119210 -03.7913444805724|   0.794 -4.824   |10.55    |~                |    ~     ~    
3972|TYC 3331-956-1                                                                                           |Star                          |03 58 52.5719794464 +47 17 01.233117096|152.7004754485161 -04.4626864879263|  -2.573 -3.290   |10.88    |~                |    ~     ~    
3973|TYC 3331-1238-1                                                                                          |Star                          |03 57 46.0872109104 +47 38 32.871186528|152.3238691404182 -04.3116852838236|   6.717 -9.762   |10.64    |~                |    ~     ~    
3974|TYC 3331-2067-1                                                                                          |Star                          |03 57 42.3161215536 +47 52 40.145331396|152.1628465358595 -04.1393032977548|   -4.514 6.126   |10.14    |~                |    ~     ~    
3975|TYC 3331-2107-1                                                                                          |Star                          |03 59 12.6587850192 +47 54 17.759780064|152.3374920548666 -03.9546511768930|   3.470 -2.832   |10.26    |~                |    ~     ~    
3976|TYC 3331-2133-1                                                                                          |Star                          |03 58 39.2063387232 +47 52 24.386111400|152.2869375764013 -04.0394128433916|   2.410 -3.855   |10.99    |~                |    ~     ~    
3977|TYC 3334-117-1                                                                                           |Star                          |03 46 55.7929573970 +49 41 26.895254865|149.6351876909251 -03.8603080426002| 21.584 -27.698   |10.89    |~                |    ~     ~    
3978|TYC 3334-320-1                                                                                           |Star                          |03 52 39.0964604352 +50 22 49.710739656|149.9206850154650 -02.7474329528185|  3.144 -11.215   |10.98    |~                |    ~     ~    
3979|TYC 3334-493-1                                                                                           |Star                          |03 54 07.7311563720 +49 35 32.653069224|150.6057752266312 -03.2049877639179|   -1.412 3.731   |10.92    |~                |    ~     ~    
3980|TYC 3334-895-1                                                                                           |Star                          |03 49 10.3367305368 +49 06 17.105376600|150.2867887038201 -04.0927259123828|  26.009 -1.207   |10.73    |~                |    ~     ~    
3981|TYC 3334-933-1                                                                                           |Star                          |03 52 53.1155453976 +49 17 52.726525692|150.6371329838364 -03.5607475838134|  9.278 -12.447   |10.58    |~                |    ~     ~    
3982|TYC 3334-1029-1                                                                                          |Star                          |03 48 59.5189723440 +49 06 39.841193592|150.2597281595477 -04.1062174865340| 17.547 -13.794   |10.81    |~                |    ~     ~    
3983|TYC 3334-1237-1                                                                                          |Double or Multiple Star       |03 49 02.683152 +49 03 47.87424        |150.296388050 -04.138145352        |      -0.4 -8.7   |10.813   |~                |    ~     ~    
3984|2MASS J03521413+4944412                                                                                  |Red Giant Branch star         |03 52 14.1504948696 +49 44 41.114930712|150.2718942012882 -03.2818367784014|   2.846 -6.929   |10.83    |~                |    ~     ~    
3985|2MASS J03535762+4855440                                                                                  |Red Giant Branch star         |03 53 57.6257457456 +48 55 43.790745036|151.0084427316916 -03.7337011200665|   -4.709 1.795   |10.18    |~                |    ~     ~    
3986|TYC 3335-133-1                                                                                           |Star                          |03 57 42.1019683848 +50 24 11.985898536|150.5250186697099 -02.2146680640408|   4.230 -6.496   |10.85    |~                |    ~     ~    
3987|TYC 3335-317-1                                                                                           |Spectroscopic Binary          |03 56 30.1207173816 +50 32 08.709345780|150.2935560793290 -02.2366501383338|   -4.354 2.316   |10.90    |~                |    ~     ~    
3988|TYC 3335-1481-1                                                                                          |Star                          |03 56 29.6016671064 +49 37 22.921656528|150.8806269667901 -02.9360151419541|   3.577 -6.715   |10.94    |~                |    ~     ~    
3989|TYC 3335-1574-1                                                                                          |Star                          |03 56 18.5344273632 +48 51 09.772146576|151.3543024755096 -03.5448244900584|   6.676 -6.197   |10.91    |~                |    ~     ~    
3990|TYC 3338-331-1                                                                                           |Star                          |03 50 58.7447531160 +50 58 06.657320784|149.3434687037741 -02.4584478170671|  -3.891 -1.444   |10.98    |~                |    ~     ~    
3991|TYC 3338-460-1                                                                                           |Star                          |03 46 01.9752032976 +51 19 31.632660804|148.5132011528706 -02.6612776368374|    0.927 0.586   |10.41    |~                |    ~     ~    
3992|TYC 3338-498-1                                                                                           |Spectroscopic Binary          |03 45 55.3443237096 +50 40 54.779149848|148.8957509025505 -03.1794684288517|   2.052 -3.860   |10.62    |~                |    ~     ~    
3993|TYC 3338-570-1                                                                                           |Star                          |03 51 07.9136210712 +50 51 16.604154684|149.4339130403021 -02.5318617539272|  15.591 -8.046   |10.92    |~                |    ~     ~    
3994|TYC 3338-606-1                                                                                           |Star                          |03 48 18.4218973536 +51 17 47.825529972|148.8106854529021 -02.4642811666938|   12.437 6.012   |10.47    |~                |    ~     ~    
3995|TYC 3338-754-1                                                                                           |Spectroscopic Binary          |03 52 27.5701207416 +52 25 53.528015964|148.5988227767664 -01.1781703388253|   -6.910 4.941   |10.69    |~                |    ~     ~    
3996|HD 232858B                                                                                               |Star                          |03 55 38.6630170304 +52 15 37.242300814|149.0830069812991 -01.0005664178611| 18.501 -26.797   |9.96     |~                |    ~     ~    
3997|TYC 3338-982-1                                                                                           |Star                          |03 51 42.6248790792 +51 42 02.485566468|148.9710580933675 -01.8176423387284|  21.175 -8.854   |10.94    |~                |    ~     ~    
3998|TYC 3338-1176-1                                                                                          |Star                          |03 50 28.0154241960 +51 53 51.799397100|148.6975483805616 -01.7852772316991|   0.136 -2.436   |9.93     |~                |    ~     ~    
3999|TYC 3338-1220-1                                                                                          |Star                          |03 45 49.5081542376 +51 44 50.082153180|148.2282080601964 -02.3484096726152| -21.326 -5.443   |9.97     |~                |    ~     ~    
4000|TYC 3339-878-1                                                                                           |Star                          |03 59 09.0807045408 +51 47 36.867831684|149.7964192893523 -01.0087883644544|   4.496 -4.538   |10.50    |~                |    ~     ~    
4001|BD+50 870                                                                                                |Star                          |03 59 51.1621774992 +50 51 14.880504456|150.4915658530908 -01.6503414626695|   3.846 -9.685   |10.52    |B/A:             |    ~     ~    
4002|TYC 3717-82-1                                                                                            |Star                          |03 49 20.2195332048 +53 48 51.398149248|147.3659049629472 -00.3961350571642|   -7.194 6.103   |10.23    |~                |    ~     ~    
4003|TYC 3717-141-1                                                                                           |Star                          |03 56 21.9021697896 +52 43 41.738501280|148.8668006712639 -00.5713339930428|   -0.673 0.739   |10.76    |~                |    ~     ~    
4004|TYC 3717-176-1                                                                                           |Star                          |03 52 35.5143504768 +54 01 00.672409884|147.6116503807124 +00.0624933869301|    0.357 0.886   |10.95    |~                |    ~     ~    
4005|TYC 3717-291-1                                                                                           |Star                          |03 54 05.9877181128 +52 34 09.350600088|148.7044140242773 -00.9133299725594|  3.527 -13.249   |10.97    |~                |    ~     ~    
4006|TYC 3717-354-1                                                                                           |High Proper Motion Star       |03 52 34.8010264632 +53 29 27.951843336|147.9428126759242 -00.3458628629139| 59.413 -57.542   |10.85    |~                |    ~     ~    
4007|TYC 3717-654-1                                                                                           |Star                          |03 50 26.5538504760 +52 52 19.795474632|148.0836771098231 -01.0283437087358| 17.466 -22.754   |10.98    |~                |    ~     ~    
4008|TYC 3717-665-1                                                                                           |Star                          |03 46 42.7361736336 +52 57 09.349598016|147.5930323686770 -01.3148732289825|    8.203 3.035   |10.89    |~                |    ~     ~    
4009|TYC 3721-100-1                                                                                           |Star                          |03 59 37.1282499264 +55 50 37.659871572|147.2121929368619 +02.1109986844009|  -0.844 -0.134   |10.97    |~                |    ~     ~    
4010|TYC 3721-1030-1                                                                                          |Star                          |03 50 57.128 +55 20 58.61              |146.587626 +00.947859              |            ~ ~   |10.39    |~                |    ~     ~    
4011|TYC 3725-250-1                                                                                           |Star                          |03 59 38.6158641432 +56 38 55.938773472|146.6894331871159 +02.7236752820573|    4.449 0.193   |10.95    |~                |    ~     ~    
4012|TYC 3725-1556-1                                                                                          |Star                          |03 57 56.1882743304 +57 41 42.872043948|145.8321769740153 +03.3683484160805|   2.224 -1.292   |10.90    |~                |    ~     ~    
4013|TYC 3729-93-1                                                                                            |Star                          |03 58 41.3173530288 +58 36 40.831153812|145.3116912171404 +04.1294908790521|   1.942 -6.262   |10.84    |~                |    ~     ~    
4014|TYC 3729-482-1                                                                                           |Star                          |03 59 36.3950385888 +59 58 36.397574976|144.5071104919010 +05.2408543009928| 23.418 -32.016   |9.94     |~                |    ~     ~    
4015|TYC 3729-660-1                                                                                           |Star                          |03 55 53.4089025192 +59 50 38.279536044|144.2378327068910 +04.8375371803132|   1.077 -5.131   |10.97    |~                |    ~     ~    
4016|TYC 3729-1245-1                                                                                          |Star                          |03 56 13.7165957016 +59 40 44.723668584|144.3771150776178 +04.7388675454348|  -1.472 -2.083   |10.81    |~                |    ~     ~    
4017|TYC 3729-1283-1                                                                                          |Star                          |03 48 20.5285648848 +58 47 25.370832516|144.1587706174265 +03.4125082474135| 11.696 -23.096   |10.78    |~                |    ~     ~    
4018|TYC 4063-141-1                                                                                           |Star                          |03 57 35.2559109576 +61 21 06.007885776|143.4179842148813 +06.1222747141014|  -2.561 -1.047   |10.98    |~                |    ~     ~    
4019|TYC 4063-1321-1                                                                                          |Star                          |03 53 41.8012475448 +60 31 12.435379572|143.5927113515841 +05.1818032607065|    0.210 0.085   |10.98    |~                |    ~     ~    
4020|TYC 4063-1349-1                                                                                          |Star                          |03 50 44.1032113536 +60 08 01.291225344|143.5539568225096 +04.6505959572677|  -3.196 -1.465   |10.71    |~                |    ~     ~    
4021|TYC 4063-1419-1                                                                                          |Star                          |03 52 03.6685315728 +60 15 03.559987332|143.6078797224957 +04.8456048933193|  17.971 24.500   |10.42    |~                |    ~     ~    
4022|TYC 4063-1443-1                                                                                          |Star                          |03 52 01.5322209696 +60 18 36.403638948|143.5668761996190 +04.8885681849352|    6.023 2.649   |10.91    |~                |    ~     ~    
4023|TYC 4063-1502-1                                                                                          |Star                          |03 58 52.4861009328 +60 05 46.517858124|144.3592606695870 +05.2716499763294|    3.298 5.448   |10.87    |~                |    ~     ~    
4024|TYC 4063-1605-1                                                                                          |Star                          |03 47 11.0528950296 +60 28 06.576061044|142.9995599342780 +04.6374045037072|   1.635 -4.987   |10.59    |M                |    ~     ~    
4025|TYC 4063-1630-1                                                                                          |Star                          |03 50 39.7341290160 +60 34 14.853682560|143.2708006642488 +04.9845516823388|  0.877 -11.692   |10.89    |~                |    ~     ~    
4026|TYC 4067-292-1                                                                                           |Star                          |03 46 35.8399501248 +62 11 33.944591436|141.8715208392574 +05.9475439138528| -1.707 -10.003   |10.98    |~                |    ~     ~    
4027|TYC 4067-388-1                                                                                           |Star                          |03 58 00.9665669760 +63 07 55.355427120|142.2885258884328 +07.5059532302367|  3.858 -12.357   |10.61    |~                |    ~     ~    
4028|TYC 4067-414-1                                                                                           |Star                          |03 57 19.6262031528 +62 13 37.844970492|142.8219623144076 +06.7678005847633|  7.468 -11.174   |10.78    |~                |    ~     ~    
4029|TYC 4067-1131-1                                                                                          |Star                          |03 56 05.7863802432 +62 32 05.246555064|142.5117452300860 +06.9095669752903|  -3.076 -4.550   |10.99    |~                |    ~     ~    
4030|TYC 4067-1159-1                                                                                          |Star                          |03 58 11.4659768376 +62 39 53.678936052|142.6111608659227 +07.1650518690354|    2.393 2.316   |10.85    |~                |    ~     ~    
4031|TYC 4071-158-1                                                                                           |Star                          |03 49 34.1247328944 +64 38 59.543795544|140.5862563304738 +08.0737009821550| -12.085 13.020   |10.88    |~                |    ~     ~    
4032|TYC 4071-582-1                                                                                           |Spectroscopic Binary          |03 54 45.9047705304 +64 30 35.297075160|141.1104187254499 +08.3214984573463|   7.254 -6.447   |10.90    |~                |    ~     ~    
4033|TYC 4071-1307-1                                                                                          |Star                          |03 48 56.0048318400 +64 43 17.596979688|140.4873813301336 +08.0866412779652|  9.902 -12.444   |10.78    |~                |    ~     ~    
4034|TYC 4075-384-1                                                                                           |Star                          |03 49 24.0500148792 +65 40 15.659164812|139.9211800543002 +08.8549233456615|   0.187 -1.321   |10.09    |~                |    ~     ~    
4035|TYC 4075-468-1                                                                                           |Star                          |03 51 36.0446991600 +65 42 11.222675136|140.0777437747711 +09.0233972716692|   1.930 -4.928   |10.75    |~                |    ~     ~    
4036|TYC 4075-1565-1                                                                                          |Star                          |03 56 13.9923671448 +66 48 39.887959536|139.7141574243461 +10.1707327812225|    8.195 3.235   |10.88    |~                |    ~     ~    
4037|GSC 04327-00903                                                                                          |Double or Multiple Star       |03 46 19.9563018456 +68 05 54.502250064|138.1358779660574 +10.5538944269156|  -4.676 -8.737   |10.828   |~                |    ~     ~    
4038|TYC 4327-1124-1                                                                                          |Star                          |03 49 32.7817334256 +69 06 34.129989828|137.7171544193483 +11.5229673935417|   9.702 -4.553   |10.26    |~                |    ~     ~    
4039|TYC 4327-1148-1                                                                                          |Star                          |03 46 36.6094595064 +68 51 42.009744384|137.6690079365723 +11.1645396697678| -1.126 -11.270   |10.89    |~                |    ~     ~    
4040|TYC 4327-2126-1                                                                                          |Star                          |03 56 02.1310452912 +68 34 30.618389640|138.5254899118795 +11.4933860155267|   -8.906 4.726   |9.94     |~                |    ~     ~    
4041|TYC 4327-2390-1                                                                                          |Star                          |03 56 14.7916831944 +68 37 55.675522920|138.5022322363364 +11.5490233176369|  -8.644 -3.192   |10.29    |~                |    ~     ~    
4042|GSC 04331-00730                                                                                          |Double or Multiple Star       |03 54 29.4107908128 +70 12 39.883040352|137.3259304922247 +12.6417138407404|    3.711 1.208   |10.971   |~                |    ~     ~    
4043|TYC 4331-1322-1                                                                                          |Star                          |03 47 47.4791635752 +70 31 10.764412140|136.6812463961263 +12.5154139883963| -9.815 -15.131   |10.64    |~                |    ~     ~    
4044|TYC 4335-428-1                                                                                           |Star                          |03 54 06.0227868840 +71 53 56.925913344|136.1660020813743 +13.8971348002996| 13.514 -20.852   |10.67    |~                |    ~     ~    
4045|TYC 4335-527-1                                                                                           |Star                          |03 46 35.7755368848 +71 28 44.402884032|135.9807353589641 +13.1961347838828|   2.358 -4.196   |10.77    |~                |    ~     ~    
4046|TYC 4335-975-1                                                                                           |Star                          |03 54 10.4464040520 +71 32 12.026693868|136.4151225490554 +13.6271890572415|   1.633 -0.151   |10.82    |~                |    ~     ~    
4047|GSC 04335-01148                                                                                          |Double or Multiple Star       |03 48 21.749520 +72 22 19.88724        |135.504907652 +13.972425362        |    -12.6 -14.2   |10.936   |~                |    ~     ~    
4048|TYC 4335-1792-1                                                                                          |Star                          |03 54 15.5747161368 +72 51 34.870854060|135.5241596276320 +14.6291415516622|   0.880 -1.631   |10.75    |~                |    ~     ~    
4049|TYC 4335-1824-1                                                                                          |Star                          |03 58 01.3011498840 +72 56 11.171207904|135.6853255449877 +14.8701729792660|   9.524 -3.151   |10.53    |~                |    ~     ~    
4050|TYC 4339-776-1                                                                                           |Star                          |03 55 15.6167887872 +74 40 02.976066552|134.3376512808573 +16.0304703705499|   6.943 -1.767   |10.95    |~                |    ~     ~    
4051|TYC 4339-1012-1                                                                                          |Star                          |03 49 15.8009454768 +74 37 20.985590928|134.0570783717877 +15.7358580116579|   3.872 -8.400   |10.85    |~                |    ~     ~    
4052|TYC 4339-1048-1                                                                                          |Star                          |03 49 30.9878759064 +74 18 47.595153888|134.2784546624018 +15.5111685543713|   6.589 -1.652   |10.99    |~                |    ~     ~    
4053|TYC 4339-1238-1                                                                                          |Star                          |03 55 48.8479062408 +74 48 53.312934528|134.2637134112054 +16.1645722860160|   2.706 -6.558   |10.91    |~                |    ~     ~    
4054|HD 24274                                                                                                 |Star                          |03 58 18.5267495232 +73 48 13.909310208|135.0979717668082 +15.5271226802636|  15.060 14.732   |10.08    |G5               |    ~     ~    
4055|TYC 4509-1279-1                                                                                          |Star                          |03 48 35.2723192800 +76 38 12.929979804|132.6601512453538 +17.2410489657513|  -1.045 -8.544   |10.89    |~                |    ~     ~    
4056|TYC 4509-1912-1                                                                                          |Star                          |03 59 50.9448733560 +76 20 27.257383356|133.3802481188403 +17.4594615701796|   -2.003 1.112   |10.87    |~                |    ~     ~    
4057|TYC 4509-2374-1                                                                                          |Star                          |03 46 03.3470933376 +76 02 02.558201316|132.9480023569432 +16.6842609639157|   1.548 -3.459   |10.59    |~                |    ~     ~    
4058|TYC 4513-207-1                                                                                           |Star                          |03 50 08.5073478600 +77 14 10.970620008|132.3188390457731 +17.7520186409243|   4.942 -3.435   |10.89    |~                |    ~     ~    
4059|TYC 4513-2159-1                                                                                          |Star                          |03 51 34.7276145240 +77 28 40.014401196|132.2136545899979 +17.9853308416075|   6.802 -2.023   |10.10    |~                |    ~     ~    
4060|TYC 4517-1092-1                                                                                          |Red Giant Branch star         |03 48 23.6120856096 +78 45 43.744600044|131.1915751383750 +18.8432463845325|   10.309 1.796   |10.98    |~                |    ~     ~    
4061|TYC 4517-1757-1                                                                                          |Star                          |03 58 25.0426303224 +79 50 50.004415176|130.7822104390770 +19.9585974423016|   13.623 2.116   |10.99    |~                |    ~     ~    
4062|TYC 4521-384-1                                                                                           |Star                          |03 51 48.5080123920 +81 29 29.502190608|129.3756891361882 +20.9777255369811| -4.799 -18.050   |10.93    |~                |    ~     ~    
4063|TYC 4521-536-1                                                                                           |Star                          |03 46 27.1033137144 +81 41 44.807147232|129.0735466923440 +20.9992339912561|   5.236 -1.623   |10.67    |~                |    ~     ~    
4064|TYC 4521-986-1                                                                                           |Star                          |03 53 38.9447141016 +81 15 51.093060372|129.5948942791451 +20.8572529735355| 13.965 -24.439   |10.86    |~                |    ~     ~    
4065|TYC 4616-557-1                                                                                           |Star                          |03 52 04.2232333608 +83 50 53.190750048|127.6569178776178 +22.7122865123174|  8.290 -12.860   |10.85    |~                |    ~     ~    
4066|TYC 4616-560-1                                                                                           |Star                          |03 53 21.1939228224 +83 49 58.457568900|127.6953678134238 +22.7248319434181|   0.381 -5.878   |10.86    |~                |    ~     ~    
4067|TYC 4620-95-1                                                                                            |Star                          |03 52 41.8920667056 +86 08 48.176928636|125.9390421134927 +24.3868245388849| 18.606 -28.075   |10.87    |~                |    ~     ~    
4068|BD+42 849A                                                                                               |High Proper Motion Star       |03 55 46.4876708424 +43 23 09.511478196|154.8281305957797 -07.7815030830694|-142.910 39.767   |10.98    |~                |    ~     ~    
4069|BD+56 861A                                                                                               |Star                          |03 58 21.759632 +56 44 44.50534        |146.492685789 +02.682845704        |     -1.3 -23.8   |10.64    |~                |    ~     ~    
4070|HD 232858A                                                                                               |Star                          |03 55 38.7767722928 +52 15 37.440546371|149.0831944246280 -01.0003382235558| 20.559 -27.792   |8.86     |~                |    ~     ~    
4071|BD+34 761A                                                                                               |Star                          |03 53 32.5016 +35 03 35.988            |160.0168407 -14.3855098            |   3.098 -4.011   |8.79     |~                |    ~     ~    
4072|TYC 2361-1025-2                                                                                          |Star                          |03 58 20.369 +32 45 21.88              |162.370224 -15.447324              |      12.0 -9.9   |10.68    |~                |    ~     ~    
4073|HD 275812A                                                                                               |High Proper Motion Star       |03 47 40.9979589912 +39 09 36.706986432|156.3863456210664 -12.0016748422033|255.984 -89.388   |10.44    |~                |    ~     ~    
4074|HD 24844A                                                                                                |High Proper Motion Star       |03 57 47.2914952368 +22 55 27.819439932|169.4147987560264 -22.6884070846353|  153.088 9.203   |8.888    |~                |    ~     ~    
4075|HD 23627A                                                                                                |Star                          |03 47 26.5385879707 +24 39 30.453368311|166.2552002878903 -23.0524255562108|   0.971 -8.628   |8.75     |B8               |    ~     ~    
4076|HD 24053                                                                                                 |High Proper Motion Star       |03 50 08.8903880376 +06 37 14.495579148|181.6296603747572 -35.1735275184461| 64.574 -38.034   |7.735    |G0               |    ~     ~    
4077|HD 24911A                                                                                                |Star                          |03 59 25.562 +43 21 09.99              |155.357686 -07.374246              |     -0.3 -16.8   |9.69     |~                |    ~     ~    
4078|HD 24911B                                                                                                |Star                          |03 59 25.530 +43 21 10.77              |155.357469 -07.374146              |     -0.3 -16.8   |10.09    |~                |    ~     ~    
4079|HD 23479B                                                                                                |Star                          |03 46 16.007 +24 11 22.93              |166.382003 -23.579467              |     17.9 -41.0   |9.32     |~                |    ~     ~    
4080|HD 281162                                                                                                |Star                          |03 46 32.6478370320 +31 38 06.563165676|161.1846947302961 -17.9359832796621| 38.036 -22.677   |10.34    |G0               |    ~     ~    
4081|HD 281226                                                                                                |Star                          |03 48 29.4920392848 +32 18 18.377286300|161.0586059560968 -17.1581989857093|  -0.366 -0.165   |10.43    |A1               |    ~     ~    
4082|HD 285286A                                                                                               |Star                          |03 57 49.4605189200 +18 56 00.730871052|172.5189097172006 -25.4991366890765| 22.544 -24.722   |10.55    |~                |    ~     ~    
4083|HD 285286B                                                                                               |Star                          |03 57 49.4163025824 +18 55 58.547455212|172.5192563940156 -25.4996846907926| 20.945 -22.720   |10.78    |~                |    ~     ~    
4084|HD 24453A                                                                                                |Star                          |03 55 11.0071136544 +42 53 48.715719000|155.0644116765580 -08.2243553108079|  4.012 -10.345   |9.40     |~                |    ~     ~    
4085|HD 24582B                                                                                                |Star                          |03 56 40.3205883027 +47 28 56.500394380|152.2863280869712 -04.5533952203019|  2.373 -40.692   |9.96     |~                |    ~     ~    
4086|HD 24254                                                                                                 |Star                          |03 51 34.4998892712 +00 20 06.553373640|188.0973791662181 -38.7748763864574|   3.885 -1.321   |9.26     |K0III            |    ~     ~    
4087|HD 23439A                                                                                                |Eclipsing Binary              |03 47 02.1135215373 +41 25 38.103867665|154.8327803287698 -10.3188650739407|597.916 -1243.838 |8.12     |K2:V_Fe-1.3      |    ~     ~    
4088|HD 23410B                                                                                                |Star                          |03 45 48.7055446392 +23 08 52.990302228|167.0643687278866 -24.4204827575347| 19.029 -45.463   |9.97     |~                |    ~     ~    
4089|TYC 4335-2107-1                                                                                          |Star                          |03 46 11.6966426736 +71 36 58.230865116|135.8663787728539 +13.2823537685169|   -4.960 8.945   |10.62    |~                |    ~     ~    
4090|TYC 1253-1010-1                                                                                          |Star                          |03 55 25.8887803104 +17 37 54.285258612|173.1173171513320 -26.8139757743753|   1.699 -6.315   |9.88     |~                |    ~     ~    
4091|TYC 2872-2595-1                                                                                          |Star                          |03 57 16.725 +41 52 42.91              |156.030508 -08.747382              |    -18.8 -14.2   |9.85     |~                |    ~     ~    
4092|TYC 3334-159-2                                                                                           |Star                          |03 45 22.578 +49 51 41.20              |149.331803 -03.880407              |     18.2 -19.7   |8.83     |~                |    ~     ~    
4093|HD 22811B                                                                                                |High Proper Motion Star       |03 45 57.407 +73 02 06.67              |134.927252 +14.369716              |     -51.7 38.2   |9.67     |~                |    ~     ~    
4094|TYC 4067-742-2                                                                                           |Star                          |03 46 42.529878 +62 20 54.13769        |141.784833820 +06.077737065        |       1.7 -4.4   |10.63    |~                |    ~     ~    
4095|HD 281172B                                                                                               |Star                          |03 46 50.1043269072 +30 48 31.397551920|161.7989848523919 -18.5245796525445|  -2.226 -7.957   |10.97    |~                |    ~     ~    
4096|TYC 3338-169-2                                                                                           |Star                          |03 46 45.817 +51 09 12.05              |148.709528 -02.726402              |      0.1 -11.1   |10.43    |~                |    ~     ~    
4097|BD+22 554B                                                                                               |Star                          |03 46 52.200 +23 12 38.27              |167.214910 -24.210140              |       0.4 -3.9   |10.55    |~                |    ~     ~    
4098|BD+20 631B                                                                                               |High Proper Motion Star       |03 47 00.372290 +20 47 23.70877        |169.061141712 -25.960959648        |     45.2 -22.1   |10.84    |~                |    ~     ~    
4099|TYC 2867-2019-2                                                                                          |Star                          |03 47 14.161 +40 11 07.96              |155.657350 -11.260782              |      -8.6 -3.6   |10.86    |~                |    ~     ~    
4100|TYC 1260-800-2                                                                                           |Star                          |03 48 17.359 +22 22 42.91              |168.099208 -24.598493              |      11.2 -8.2   |10.94    |~                |    ~     ~    
4101|HD 23524B                                                                                                |High Proper Motion Star       |03 48 23.034 +52 02 16.18              |148.359248 -01.876036              |     56.1 -72.8   |9.43     |K1V              |    ~     ~    
4102|HD 275791B                                                                                               |Star                          |03 48 30.288758 +40 13 46.17346        |155.820544977 -11.073747158        |      -8.2 -8.4   |10.42    |~                |    ~     ~    
4103|HD 23406B                                                                                                |High Proper Motion Star       |03 48 56.505195 +64 44 54.39924        |140.471005102 +08.108111673        |     21.2 -60.0   |8.99     |~                |    ~     ~    
4104|TYC 664-4-2                                                                                              |Star                          |03 48 58.041 +14 58 33.25              |174.052917 -29.777136              |      2.8 -28.6   |9.32     |~                |    ~     ~    
4105|BD+11 527B                                                                                               |High Proper Motion Star       |03 49 07.7569053912 +11 39 25.205801400|176.8928390810295 -32.0312231495634| -8.714 -59.787   |10.31    |~                |    ~     ~    
4106|TYC 3334-788-2                                                                                           |High Proper Motion Star       |03 49 13.203 +50 23 17.18              |149.489964 -03.085436              |     49.3 -21.1   |10.26    |~                |    ~     ~    
4107|TYC 1800-205-2                                                                                           |Star                          |03 50 19.699 +22 40 41.68              |168.251057 -24.057799              |    -15.8 -14.7   |9.35     |~                |    ~     ~    
4108|TYC 4517-612-2                                                                                           |Star                          |03 50 42.546288 +78 54 55.01100        |131.173773588 +19.032247027        |      -3.1 -2.4   |10.88    |~                |    ~     ~    
4109|HD 282984B                                                                                               |Star                          |03 51 19.827087 +28 30 52.20272        |164.175808914 -19.606553450        |       2.6 -0.5   |10.93    |~                |    ~     ~    
4110|TYC 4517-2182-2                                                                                          |Star                          |03 51 33.2193851640 +79 40 20.152072524|130.6705006915474 +19.6230304243155| 11.513 -10.453   |10.81    |~                |    ~     ~    
4111|* 31 Tau B                                                                                               |Star                          |03 52 00.207834 +06 32 05.02114        |182.071057563 -34.875126255        |       8.2 -6.2   |6.55     |~                |    ~     ~    
4112|TYC 2868-297-2                                                                                           |Star                          |03 52 04.725 +40 47 50.22              |155.985199 -10.203346              |      -6.1 -9.7   |8.49     |~                |    ~     ~    
4113|HD 24203B                                                                                                |High Proper Motion Star       |03 53 43.599 +53 16 23.00              |148.213287 -00.406070              |    -36.4 -68.4   |9.35     |G5V              |    ~     ~    
4114|HD 283152B                                                                                               |Star                          |03 54 26.779 +24 53 41.48              |167.343629 -21.798965              |      7.1 -14.5   |10.98    |~                |    ~     ~    
4115|EM* CDS 394B                                                                                             |Star                          |03 54 32.810747 +56 50 49.81635        |146.027086026 +02.424309080        |        0.2 1.0   |10.92    |~                |    ~     ~    
4116|TYC 3725-807-2                                                                                           |Star                          |03 55 24.553 +56 30 16.00              |146.337571 +02.236564              |     17.1 -21.8   |10.23    |~                |    ~     ~    
4117|HD 281445B                                                                                               |Star                          |03 56 19.097202 +28 59 59.36927        |164.686162047 -18.512088992        |      -3.3 -7.0   |10.76    |~                |    ~     ~    
4118|HD 24762B                                                                                                |High Proper Motion Star       |03 56 28.101804 +07 34 17.03979        |181.962388953 -33.360618763        |     47.1 -22.4   |9.43     |~                |    ~     ~    
4119|TYC 2361-1113-2                                                                                          |Star                          |03 56 27.120 +33 10 57.53              |161.768917 -15.395561              |    -43.6 -16.7   |9.17     |~                |    ~     ~    
4120|BD+63 463B                                                                                               |Spectroscopic Binary          |03 56 43.1329607088 +63 43 33.589271532|141.7871358859747 +07.8622197355465|   0.617 -3.163   |10.97    |~                |    ~     ~    
4121|TYC 4331-180-2                                                                                           |Star                          |03 57 20.789710 +69 46 24.53435        |137.809224427 +12.472470250        |     12.4 -17.0   |10.79    |~                |    ~     ~    
4122|TYC 4513-2362-2                                                                                          |Star                          |03 57 27.713 +77 24 53.73              |132.507380 +18.153153              |     -4.6 -11.5   |9.71     |~                |    ~     ~    
