C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:08:27

dec >=0&rah >=6.75&rah< 7.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 8283

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
71  |TYC 4530-1651-1                                                                                          |Star                              |06 47 15.3504826104 +77 44 53.485248228|136.6150684713074 +26.2412923539132| -15.259 -7.702   |10.37    |F5                   |    ~     ~    |    1|  298.614   pc  |  -1.0611     +1.0611  |paral   |2020yCat.1350....0G
72  |BD+77 254                                                                                                |Star                              |06 47 55.2037668408 +77 26 36.894569496|136.9569785456264 +26.2384579331868| -14.666 -9.022   |9.05     |F0                   |    ~     ~    |    1|  190.302   pc  |  -0.5396     +0.5396  |paral   |2020yCat.1350....0G
73  |HD 47428                                                                                                 |Star                              |06 48 26.1332504256 +77 22 38.997764940|137.0339863197055 +26.2580954522751|  1.816 -28.831   |8.86     |A0                   |    ~     ~    |    1|  216.591   pc  |  -0.8960     +0.8960  |paral   |2020yCat.1350....0G
74  |V* EP Cam                                                                                                |Long-Period Variable              |06 48 37.4603109240 +76 59 24.074712852|137.4640477175881 +26.2200305504936| -0.073 -39.139   |8.05     |M6                   |    ~     ~    |    1|  359.699   pc  |  -9.5614     +9.5614  |paral   |2020yCat.1350....0G
75  |BD+77 257                                                                                                |Star                              |06 50 23.4133763016 +77 24 04.276004256|137.0219868784919 +26.3668508148561|   3.474 14.294   |9.85     |K0                   |    ~     ~    |    1|  346.656   pc  |  -1.3339     +1.3339  |paral   |2020yCat.1350....0G
76  |TYC 4530-1573-1                                                                                          |Star                              |06 50 58.8360724896 +77 50 26.657991924|136.5383024351245 +26.4476649092094|    4.314 1.582   |10.55    |K0                   |    ~     ~    |    1|  927.042   pc  |  -9.7113     +9.7113  |paral   |2020yCat.1350....0G
77  |BD+77 258                                                                                                |Star                              |06 51 06.8893221144 +77 28 43.427124012|136.9409794650389 +26.4147975249857|    1.029 5.434   |10.25    |G5                   |    ~     ~    |    1|  768.876   pc  |  -6.6802     +6.6802  |paral   |2020yCat.1350....0G
78  |TYC 4526-1167-1                                                                                          |Star                              |06 45 30.6607643136 +76 26 39.422439420|138.0392575159813 +25.9691469893757|  7.178 -34.035   |10.99    |~                    |    ~     ~    |    1|  182.705   pc  |  -0.3104     +0.3104  |paral   |2020yCat.1350....0G
79  |TYC 4530-569-1                                                                                           |Star                              |06 51 55.4287391688 +78 19 46.076312352|136.0009555049564 +26.5474581649650|   18.893 0.724   |10.97    |~                    |    ~     ~    |    1|  421.461   pc  |  -2.5223     +2.5223  |paral   |2020yCat.1350....0G
80  |TYC 4530-1493-1                                                                                          |Star                              |06 46 39.0842302776 +77 37 55.809936840|136.7387693577436 +26.1945658850715|  -4.204 -1.639   |10.67    |~                    |    ~     ~    |    1|  329.251   pc  |  -1.3117     +1.3117  |paral   |2020yCat.1350....0G
