C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:18:42

dec< 0&rah >=14.0&rah< 14.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5673

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
53  |BD-06 3913                                                                                                                                  |High Proper Motion Star               |14 00 17.7869096616 -06 46 24.808448928|331.6008074820376 +52.2232795786053|-11.784 -59.397   |10.04    |~              |    ~     ~    |    1|  179.256   pc  |  -0.6427     +0.6427    |paral   |2020yCat.1350....0G
54  |BD-06 3914                                                                                                                                  |Star                                  |14 00 24.6709745952 -07 08 12.615205812|331.3893883576341 +51.8828666588729|  10.951 -2.323   |10.59    |~              |    ~     ~    |    1|  192.745   pc  |  -0.9659     +0.9659    |paral   |2020yCat.1350....0G
55  |BD-04 3599                                                                                                                                  |Star                                  |14 00 25.7508581304 -05 27 08.152034292|332.6036000214896 +53.3978368526015|-39.882 -10.630   |10.779   |~              |    ~     ~    |    1|  282.019   pc  |  -4.3790     +4.3790    |ST-L    |2020AJ....160...83S
56  |BD-04 3605                                                                                                                                  |Star                                  |14 01 58.5616899432 -05 27 13.251586788|333.1790826418447 +53.2246946773085|   2.850 -2.178   |10.422   |~              |    ~     ~    |    1| 1047.640   pc  | -89.6900    +89.6900    |ST-L    |2020AJ....160...83S
57  |BD-04 3610                                                                                                                                  |Star                                  |14 03 22.4392154880 -05 17 43.724428188|333.8167598284617 +53.2074317408521|  -8.090 -4.510   |10.878   |~              |    ~     ~    |    1| 1620.480   pc  |-138.2000   +138.2000    |ST-L    |2020AJ....160...83S
58  |BD-06 3923                                                                                                                                  |Star                                  |14 03 26.4278410152 -06 42 09.284554512|332.7932912252002 +51.9451071842125|   -9.499 9.434   |10.592   |~              |    ~     ~    |    1|  842.048   pc  | -41.2900    +41.2900    |ST-L    |2020AJ....160...83S
59  |BD-04 3611                                                                                                                                  |High Proper Motion Star               |14 03 37.7724637320 -05 26 51.290291940|333.7946797439543 +53.0430987622131|-110.680 -45.372  |10.479   |~              |    ~     ~    |    1|  288.635   pc  |  -4.8780     +4.8780    |ST-L    |2020AJ....160...83S
60  |TYC 4981-110-1                                                                                                                              |Star                                  |14 02 10.8895278624 -05 44 07.368057348|333.0442600077244 +52.9500840075772|   -8.776 3.063   |10.90    |~              |    ~     ~    |    1|  261.015   pc  |  -3.0794     +3.0794    |paral   |2020yCat.1350....0G
61  |HD 122606                                                                                                                                   |Star                                  |14 02 58.6550613096 -06 30 37.660255668|332.7652766355021 +52.1683254314154|  -31.378 2.222   |8.39     |F5IVn          |    ~     ~    |    1|  273.082   pc  |  -2.0582     +2.0582    |paral   |2020yCat.1350....0G
62  |HD 122135                                                                                                                                   |High Proper Motion Star               |14 00 04.6758765960 -08 09 41.906783484|330.5751332707266 +50.9887665123869|-23.889 -47.086   |6.56     |K0III          |    ~     ~    |    1|  126.805   pc  |  -0.3521     +0.3521    |paral   |2020yCat.1350....0G
63  |HD 122242                                                                                                                                   |Star                                  |14 00 51.5418342840 -08 04 15.842493300|330.9142813363702 +50.9898982433781|   4.366 -2.439   |8.07     |G8III/IV       |    ~     ~    |    1|  314.238   pc  |  -2.3106     +2.3106    |paral   |2020yCat.1350....0G
64  |BD-07 3752                                                                                                                                  |Double or Multiple Star               |14 00 57.656 -07 51 31.18              |331.093656 +51.171707              |    -13.4 -12.0   |9.5      |~              |    ~     ~    |    0|                |                         |        |                   
65  |HD 122369                                                                                                                                   |Star                                  |14 01 38.6516331144 -08 07 19.761775824|331.1592535744073 +50.8613194318725| -33.141 -4.922   |9.14     |K5III          |    ~     ~    |    1|  955.201   pc  | -20.1642    +20.1642    |paral   |2020yCat.1350....0G
66  |HD 122206                                                                                                                                   |Star                                  |14 00 32.5575941760 -08 20 56.635667628|330.6166773441157 +50.7704570341869| -18.056 -9.939   |8.26     |A2IV           |    ~     ~    |    1|  221.616   pc  |  -1.4832     +1.4832    |paral   |2020yCat.1350....0G
67  |HD 122268                                                                                                                                   |Star                                  |14 01 02.4536870160 -08 27 21.284288316|330.7227161013880 +50.6218290513983|  19.701 -6.222   |8.44     |K0III          |    ~     ~    |    1|  339.248   pc  |  -2.9002     +2.9002    |paral   |2020yCat.1350....0G
68  |HD 122409                                                                                                                                   |High Proper Motion Star               |14 01 48.5440256160 -08 17 08.720547576|331.1077143513124 +50.6958892407718| -58.648 79.318   |8.69     |G0V            |    ~     ~    |    1|  146.436   pc  |  -1.0850     +1.0850    |paral   |2020yCat.1350....0G
69  |HD 122288                                                                                                                                   |High Proper Motion Star               |14 01 10.9086624240 -09 15 14.971470912|330.2520154521960 +49.8816728940891|-19.341 -90.844   |9.67     |G3V            |    ~     ~    |    1|  149.528   pc  |  -0.4226     +0.4226    |paral   |2020yCat.1350....0G
70  |HD 122389                                                                                                                                   |Star                                  |14 01 48.3118111008 -08 44 35.140003332|330.8024291004179 +50.2818423006520|   4.899 13.591   |9.26     |G8III/IV       |    ~     ~    |    1|  523.314   pc  |  -4.9294     +4.9294    |paral   |2020yCat.1350....0G
71  |HD 122519                                                                                                                                   |Star                                  |14 02 33.7993397136 -08 48 22.266446400|331.0260702264837 +50.1455150370322|   2.580 -4.114   |10.148   |F3V            |    ~     ~    |    1|  339.530   pc  |  -8.1900     +8.1900    |ST-L    |2020AJ....160...83S
72  |HD 122576                                                                                                                                   |Star                                  |14 03 00.2020384032 -09 30 33.799819752|330.7183831671159 +49.4622446095845|-33.080 -22.849   |8.70     |F2V            |    ~     ~    |    1|  216.333   pc  |  -7.2680     +7.2680    |paral   |2020yCat.1350....0G
73  |StKM 1-1116                                                                                                                                 |Star                                  |14 03 01.3053956280 -08 01 24.832432632|331.7138957478153 +50.8041055102886| 29.586 -33.682   |10.93    |K5             |    ~     ~    |    1|   38.436   pc  |  -0.0269     +0.0269    |paral   |2020yCat.1350....0G
74  |BD-08 3679                                                                                                                                  |Star                                  |14 01 37.8950627352 -08 59 40.013082024|330.5769923368283 +50.0716665675747|    4.848 2.159   |10.20    |~              |    ~     ~    |    1|  388.549   pc  |  -9.0580     +9.0580    |ST-L    |2020AJ....160...83S
75  |BD-08 3682                                                                                                                                  |Star                                  |14 02 27.5267014896 -09 12 44.186293332|330.7231156282095 +49.7883021080922|  -7.950 -9.331   |10.926   |~              |    ~     ~    |    1|  260.396   pc  |  -3.8180     +3.8180    |ST-L    |2020AJ....160...83S
76  |BD-07 3760                                                                                                                                  |Star                                  |14 03 32.3142416880 -08 27 07.123859784|331.6038714127612 +50.3625070598879|   -4.538 0.460   |10.55    |~              |    ~     ~    |    1|  155.577   pc  |  -0.5809     +0.5809    |paral   |2020yCat.1350....0G
77  |BD-07 3759                                                                                                                                  |Star                                  |14 03 32.5626710280 -08 32 23.553325032|331.5459343133357 +50.2827660412900|   0.842 -3.441   |10.124   |~              |    ~     ~    |    1| 2015.330   pc  |-581.7000   +581.7000    |ST-L    |2020AJ....160...83S
78  |BD-08 3684                                                                                                                                  |High Proper Motion Star               |14 02 54.7279195464 -09 14 44.414158668|330.8583594201837 +49.7108786781284| -67.519 57.832   |10.84    |~              |    ~     ~    |    1|  114.887   pc  |  -1.0020     +1.0020    |ST-L    |2020AJ....160...83S
79  |TYC 5554-1647-1                                                                                                                             |Star                                  |14 02 36.1553972064 -08 56 29.553450504|330.9503938399777 +50.0187964584421|  -38.592 0.065   |10.94    |~              |    ~     ~    |    1|  355.366   pc  |  -2.3236     +2.3236    |paral   |2020yCat.1350....0G
80  |HD 122370                                                                                                                                   |delta Sct Variable                    |14 01 38.3128282464 -09 56 24.380875968|329.9741901696035 +49.2103266061852|   -2.695 8.153   |8.65     |kA8hF2mF5(III) |    ~     ~    |    1|  181.421   pc  |  -2.6300     +2.6300    |ST-L    |2020AJ....160...83S
81  |BD-09 3833                                                                                                                                  |Star                                  |14 01 40.0370297712 -09 49 54.578525340|330.0523081262413 +49.3061126607312| -14.665 -6.700   |10.331   |~              |    ~     ~    |    1|  712.339   pc  | -32.5800    +32.5800    |ST-L    |2020AJ....160...83S
82  |BD-09 3837                                                                                                                                  |Star                                  |14 02 54.0570674712 -09 47 42.288886752|330.4993640460124 +49.2134674038854|  -17.985 1.916   |10.866   |~              |    ~     ~    |    1|  344.514   pc  |  -6.9700     +6.9700    |ST-L    |2020AJ....160...83S
83  |TYC 5554-1499-1                                                                                                                             |Double or Multiple Star               |14 03 37.455192 -09 54 18.64728        |330.675987907 +49.038814248        |      53.8 11.7   |10.571   |~              |    ~     ~    |    1|  105.279   pc  |  -0.6326     +0.6326    |ST-L    |2020AJ....160...83S
84  |HD 122216                                                                                                                                   |High Proper Motion Star               |14 00 39.3265339848 -10 31 41.992153104|329.2732120018586 +48.7710740212146| -50.582 11.842   |8.87     |K1III          |    ~     ~    |    1|  283.793   pc  |  -1.9249     +1.9249    |paral   |2020yCat.1350....0G
85  |HD 122289                                                                                                                                   |Star                                  |14 01 14.0021504640 -10 22 38.369146296|329.5631654004790 +48.8518865167431| 23.643 -36.374   |8.91     |F3V            |    ~     ~    |    1|  201.394   pc  |  -0.8234     +0.8234    |paral   |2020yCat.1350....0G
86  |BD-09 3834                                                                                                                                  |Star                                  |14 01 52.3782977064 -10 27 31.948643772|329.7308476896827 +48.7134134734066|-33.856 -18.274   |10.907   |~              |    ~     ~    |    1|  165.641   pc  |  -2.2360     +2.2360    |ST-L    |2020AJ....160...83S
87  |BD-09 3836                                                                                                                                  |Star                                  |14 02 31.8980635056 -10 27 43.423866900|329.9525965855100 +48.6441786163833| -44.905 -6.638   |9.56     |F5             |    ~     ~    |    1|  199.952   pc  |  -2.6347     +2.6347    |paral   |2020yCat.1350....0G
88  |HD 122565                                                                                                                                   |Star                                  |14 02 56.9448289176 -10 27 56.252984688|330.0918266141289 +48.5986344759202| -23.612 10.781   |8.70     |A9V            |    ~     ~    |    1|  238.743   pc  |  -4.0982     +4.0982    |paral   |2020yCat.1350....0G
89  |HD 122256                                                                                                                                   |Star                                  |14 01 00.3711394776 -11 18 33.488906832|328.9219533652214 +48.0207825296438| -9.303 -12.246   |9.05     |M1III          |    ~     ~    |    1|  603.391   pc  |  -9.6117     +9.6117    |paral   |2020yCat.1350....0G
