C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:03:52

dec< 0&rah >=18.5&rah< 18.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 8057

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------------|-----|----------------|-------------------------|--------|-------------------
49  |TYC 7914-104-1                                                                                           |Star                                  |18 33 17.2451316744 -44 22 17.430371652|350.6422771792598 -15.5775508368767|  6.923 -16.936   |10.44    |~                  |    ~     ~          |    1|  224.739   pc  |  -0.9748     +0.9748    |paral   |2020yCat.1350....0G
50  |TYC 7914-109-1                                                                                           |Spectroscopic Binary                  |18 30 47.8127965656 -43 14 56.258528676|351.5269624174310 -14.7215266591357| -1.478 -26.804   |10.91    |~                  |    ~     ~          |    1|  235.910   pc  | -12.0713    +12.0713    |paral   |2020yCat.1350....0G
51  |TYC 7914-145-1                                                                                           |Star                                  |18 32 24.8629839936 -43 13 13.020699576|351.6755445192079 -14.9803526369683| -7.176 -22.729   |10.27    |~                  |    ~     ~          |    1|  359.170   pc  |  -6.2179     +6.2179    |paral   |2020yCat.1350....0G
52  |TYC 7914-243-1                                                                                           |Star                                  |18 32 48.7571748216 -44 03 06.656109012|350.9130993813473 -15.3743308123663|   5.472 -1.272   |10.639   |~                  |    ~     ~          |    1|  962.483   pc  | -46.8100    +46.8100    |ST-L    |2020AJ....160...83S
53  |TYC 7914-286-1                                                                                           |Star                                  |18 32 29.9063289120 -44 40 03.626306040|350.3022378574440 -15.5635074082776|    6.962 1.445   |10.61    |~                  |    ~     ~          |    1|  886.839   pc  | -12.8197    +12.8197    |paral   |2020yCat.1350....0G
54  |TYC 7914-337-1                                                                                           |Star                                  |18 32 31.3083200160 -43 32 15.297806544|351.3817606135998 -15.1237811734440| -5.749 -11.593   |10.5     |~                  |    ~     ~          |    1|  669.478   pc  |  -9.7260     +9.7260    |paral   |2020yCat.1350....0G
55  |TYC 7914-373-1                                                                                           |High Proper Motion Star               |18 31 50.2495303776 -43 26 08.349316656|351.4278164487764 -14.9694498964066|-35.845 -36.021   |10.49    |~                  |    ~     ~          |    1|  193.979   pc  |  -0.9031     +0.9031    |paral   |2020yCat.1350....0G
56  |TYC 7914-503-1                                                                                           |Star                                  |18 31 45.1709388744 -44 04 31.334297592|350.8130647035754 -15.2085399272252|    2.920 3.489   |10.25    |~                  |    ~     ~          |    1|  790.576   pc  |  -8.1876     +8.1876    |paral   |2020yCat.1350....0G
57  |TYC 7914-540-1                                                                                           |Star                                  |18 30 43.7322295848 -44 31 38.736934752|350.3076895073851 -15.2187303968265|   5.324 -4.960   |10.65    |~                  |    ~     ~          |    1| 1464.558   pc  | -48.0464    +48.0464    |paral   |2020yCat.1350....0G
58  |TYC 7914-568-1                                                                                           |Star                                  |18 30 08.9287315512 -44 31 05.612408760|350.2740224704891 -15.1201477111859|  1.017 -17.546   |10.52    |~                  |    ~     ~          |    1| 1428.571   pc  | -32.0408    +32.0408    |paral   |2020yCat.1350....0G
59  |TYC 7914-576-1                                                                                           |Star                                  |18 32 00.8984890344 -44 21 35.569776960|350.5610944069211 -15.3637028440932|  -0.791 -7.885   |10.72    |~                  |    ~     ~          |    1| 1233.350   pc  | -25.5553    +25.5553    |paral   |2020yCat.1350....0G
60  |TYC 7914-598-1                                                                                           |Star                                  |18 31 48.9733157832 -44 34 21.485138052|350.3437023425601 -15.4146015341657| -6.405 -30.756   |10.93    |~                  |    ~     ~          |    1|  153.367   pc  |  -0.4257     +0.4257    |paral   |2020yCat.1350....0G
61  |TYC 7914-657-1                                                                                           |Star                                  |18 33 08.7805217016 -43 25 09.314295672|351.5406970893915 -15.1812514413874|-11.481 -11.974   |10.64    |~                  |    ~     ~          |    1|  378.401   pc  | -14.8628    +14.8628    |paral   |2020yCat.1350....0G
