C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:19:15

Vmag< 11&dec >=0&rah >=9.75&rah< 10.0
-------------------------------------

Number of objects : 2696

 #  |                                                                                  identifier                                                                                   |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
2083|TYC 2993-776-1                                                                                                                                                                 |Spectroscopic Binary           |09 56 45.7930196328 +39 17 37.485754584|182.9444854611969 +51.9052119010037|-64.474 -21.023   |10.47    |~              |    ~     ~    
2084|TYC 2993-962-1                                                                                                                                                                 |Star                           |09 57 16.9983553536 +39 28 42.030008472|182.6313210188977 +51.9883556015656|  -20.128 0.972   |10.62    |~              |    ~     ~    
2085|TYC 2993-1062-1                                                                                                                                                                |Spectroscopic Binary           |09 58 10.6153238424 +39 17 14.823146544|182.9142165132644 +52.1781821588343|    3.532 1.222   |10.56    |~              |    ~     ~    
2086|TYC 2993-1111-1                                                                                                                                                                |Star                           |09 59 24.5812549272 +39 58 08.041719216|181.7668929126945 +52.3443032883030|  9.464 -13.729   |10.90    |~              |    ~     ~    
2087|TYC 2993-1178-1                                                                                                                                                                |Star                           |09 59 01.2996550416 +39 45 49.695165504|182.1137273541210 +52.2927267472922|  -11.330 8.870   |10.43    |~              |    ~     ~    
2088|TYC 2993-1185-1                                                                                                                                                                |Star                           |09 56 37.5384062928 +39 24 35.737872480|182.7608876751052 +51.8682792169855|-26.466 -20.798   |10.66    |~              |    ~     ~    
2089|TYC 2993-1254-1                                                                                                                                                                |Star                           |09 56 15.5193962448 +38 44 45.935277072|183.8416575778990 +51.8524483830888| -22.471 -7.655   |9.66     |~              |    ~     ~    
2090|TYC 2996-492-1                                                                                                                                                                 |Star                           |09 58 48.4266119016 +40 35 00.275492112|180.7923290167660 +52.1575734788543|  2.411 -15.063   |10.83    |~              |    ~     ~    
2091|TYC 2996-760-1                                                                                                                                                                 |Star                           |09 56 53.7108093120 +40 32 09.359438244|180.9397573908160 +51.8027823329939| -35.519 -8.207   |9.76     |~              |    ~     ~    
2092|TYC 2996-867-1                                                                                                                                                                 |Spectroscopic Binary           |09 56 55.7707157712 +40 28 44.468475096|181.0299638485826 +51.8158663693975|  62.716 -0.009   |10.81    |~              |    ~     ~    
2093|BD+37 2028                                                                                                                                                                     |Star                           |09 56 24.8400159888 +36 36 18.574149276|187.3062726423918 +51.9937299800594|   7.640 31.301   |9.73     |F8             |    ~     ~    
2094|HD 86026                                                                                                                                                                       |Star                           |09 56 47.4534954456 +36 46 40.757070468|187.0217570089818 +52.0639782412021| -24.826 -4.535   |9.06     |K0             |    ~     ~    
2095|BD+37 2031                                                                                                                                                                     |Star                           |09 58 57.6905743824 +37 08 23.129856060|186.4026185120704 +52.4827607862366|  -2.343 -1.602   |9.50     |K2             |    ~     ~    
2096|BD+36 2013                                                                                                                                                                     |Spectroscopic Binary           |09 57 17.3105029992 +36 14 10.668228540|187.8991880261395 +52.1788602420542|-34.809 -31.140   |9.65     |K0             |    ~     ~    
2097|BD+36 2015                                                                                                                                                                     |Star                           |09 58 51.6951459240 +36 18 15.648188796|187.7748592203478 +52.4941242337069|-12.823 -12.239   |9.87     |K2             |    ~     ~    
2098|HD 85974                                                                                                                                                                       |High Proper Motion Star        |09 56 21.0291990216 +35 19 36.632342496|189.3825827270115 +51.9983839375756|-94.079 -70.633   |8.14     |K0             |    ~     ~    
2099|HD 86416                                                                                                                                                                       |Double or Multiple Star        |09 59 18.2733327168 +37 46 22.044182736|185.3581872027927 +52.5160171679744| -13.427 -1.840   |9.47     |F5             |    ~     ~    
2100|BD+38 2091                                                                                                                                                                     |Star                           |09 59 20.1977268168 +37 29 55.946949576|185.8070066294644 +52.5386436150736|-17.530 -13.324   |10.35    |F8             |    ~     ~    
2101|BD+37 2035                                                                                                                                                                     |Star                           |09 59 55.9204604448 +37 06 30.967908048|186.4384862580211 +52.6774892989540| -17.151 -1.882   |9.09     |K0             |    ~     ~    
2102|TYC 2508-63-1                                                                                                                                                                  |High Proper Motion Star        |09 59 39.6118551168 +36 38 09.818243484|187.2207320044723 +52.6437128438435| 21.225 -54.293   |10.49    |~              |    ~     ~    
2103|TYC 2508-127-1                                                                                                                                                                 |Star                           |09 57 04.0702383072 +37 13 37.429873716|186.2880650394812 +52.1020068447935|   -0.093 0.885   |10.52    |~              |    ~     ~    
2104|TYC 2508-285-1                                                                                                                                                                 |Star                           |09 57 49.7557449336 +37 19 51.601560204|186.1073942711004 +52.2485295422756|-28.709 -21.922   |9.79     |~              |    ~     ~    
2105|TYC 2508-379-1                                                                                                                                                                 |Star                           |09 57 55.6210181880 +37 24 23.175569016|185.9827436896009 +52.2642130525691|  -14.879 9.185   |9.99     |~              |    ~     ~    
2106|TYC 2508-554-1                                                                                                                                                                 |High Proper Motion Star        |09 59 09.8563467072 +36 26 31.495896204|187.5455943947318 +52.5509064570644|-82.099 -37.454   |9.90     |~              |    ~     ~    
2107|TYC 2508-707-1                                                                                                                                                                 |High Proper Motion Star        |09 59 01.7240413992 +36 30 50.652015840|187.4287634363336 +52.5213338166745|-54.248 -20.563   |10.71    |~              |    ~     ~    
2108|TYC 2508-805-1                                                                                                                                                                 |Star                           |09 59 36.3857938944 +36 33 55.003141692|187.3379502103551 +52.6355330498493|  3.019 -17.287   |9.87     |~              |    ~     ~    
2109|TYC 2508-1148-1                                                                                                                                                                |Star                           |09 57 18.2535985224 +35 46 38.212299552|188.6476466595817 +52.1898481981342| -7.040 -15.225   |10.80    |~              |    ~     ~    
2110|TYC 2508-1155-1                                                                                                                                                                |Star                           |09 57 25.0681055208 +35 47 38.761654200|188.6197472156925 +52.2126744080899|   -3.619 4.388   |10.56    |~              |    ~     ~    
2111|TYC 2508-1390-1                                                                                                                                                                |Star                           |09 56 56.5178059032 +35 17 05.755161480|189.4508222945351 +52.1190404240276|-17.023 -12.397   |10.88    |~              |    ~     ~    
2112|TYC 2508-1424-1                                                                                                                                                                |High Proper Motion Star        |09 59 54.6352569072 +35 28 33.879386136|189.1316074169895 +52.7230122671370|-122.940 -62.021  |10.21    |~              |    ~     ~    
2113|TYC 2993-131-1                                                                                                                                                                 |Star                           |09 58 32.8639829496 +37 33 24.995446164|185.7262085421876 +52.3792316828990| -17.306 -9.466   |10.02    |~              |    ~     ~    
2114|TYC 2993-537-1                                                                                                                                                                 |Star                           |09 58 19.4450170704 +37 40 26.093994744|185.5390935172748 +52.3284131941263|  25.363 14.514   |10.34    |~              |    ~     ~    
2115|HD 86130                                                                                                                                                                       |Star                           |09 57 25.4295425760 +35 09 53.565791976|189.6466937754632 +52.2173452131859|  -8.502 -6.321   |9.03     |A2             |    ~     ~    
2116|HD 86202                                                                                                                                                                       |Star                           |09 57 49.5683367792 +35 07 28.282865448|189.7128331599070 +52.2995254474786|  -13.228 2.404   |7.18     |K5             |    ~     ~    
2117|BD+34 2061                                                                                                                                                                     |Star                           |09 58 43.4707522848 +33 49 59.916663444|191.8326240122622 +52.4652447034115|  -16.657 0.033   |10.16    |K0             |    ~     ~    
2118|BD+34 2063                                                                                                                                                                     |Spectroscopic Binary           |09 59 01.2151402824 +33 59 56.111864820|191.5633434760756 +52.5309449913810|   0.322 -5.259   |10.61    |G0             |    ~     ~    
2119|BD+34 2054                                                                                                                                                                     |Star                           |09 56 18.3491959536 +33 27 35.734194252|192.4123668780810 +51.9489264083719| -29.079 10.288   |9.01     |G0             |    ~     ~    
2120|BD+34 2062                                                                                                                                                                     |Star                           |09 58 55.8482154672 +33 23 11.369602824|192.5682079810702 +52.4932365500967| 27.979 -39.853   |9.26     |K2             |    ~     ~    
2121|HD 86104                                                                                                                                                                       |Star                           |09 57 08.8904324400 +32 58 08.032040400|193.2229572540702 +52.1018477340245|   -5.918 6.146   |8.39     |K0             |    ~     ~    
2122|HD 86294                                                                                                                                                                       |High Proper Motion Star        |09 58 10.5064563696 +33 01 43.715531604|193.1427963992521 +52.3198807794303|-42.639 -77.277   |8.56     |G5             |    ~     ~    
2123|BD+33 1924                                                                                                                                                                     |Star                           |09 58 21.9299699304 +33 01 45.504870168|193.1451057963285 +52.3597647901471|  6.771 -24.659   |9.82     |G0             |    ~     ~    
2124|BD+33 1928                                                                                                                                                                     |Star                           |09 59 05.6514268056 +33 17 28.808909772|192.7266243451103 +52.5236082203811|   -8.848 1.718   |9.16     |K0             |    ~     ~    
2125|BD+33 1931                                                                                                                                                                     |Double or Multiple Star        |09 59 48.5134621704 +33 05 30.981291036|193.0648128493566 +52.6646469808232|  -2.273 59.781   |10.819   |K5V            |0.0083  0.0    
2126|TYC 2505-55-1                                                                                                                                                                  |Star                           |09 56 17.8354615536 +34 38 01.148381412|190.5080791967607 +51.9816080556530|   1.248 -9.042   |10.00    |~              |    ~     ~    
2127|TYC 2505-112-1                                                                                                                                                                 |Star                           |09 59 21.9141189264 +34 48 09.740987856|190.2426300348082 +52.6138111900173| -20.680 -3.708   |10.89    |~              |    ~     ~    
2128|TYC 2505-380-1                                                                                                                                                                 |Star                           |09 57 34.2248499912 +33 34 16.283886960|192.2485127873968 +52.2167276916574|  4.612 -27.403   |10.75    |~              |    ~     ~    
2129|TYC 2505-455-1                                                                                                                                                                 |Star                           |09 57 32.0301401784 +34 28 38.216432892|190.7695020190247 +52.2335908877539|  -11.390 9.666   |10.96    |~              |    ~     ~    
2130|TYC 2505-601-1                                                                                                                                                                 |Star                           |09 56 28.4504420256 +34 07 55.994692800|191.3235350138313 +52.0072384706360| -26.393 -1.304   |10.73    |~              |    ~     ~    
2131|TYC 2505-603-1                                                                                                                                                                 |Star                           |09 58 31.3620312744 +34 07 33.037385844|191.3510565800048 +52.4308809384518|-17.520 -19.738   |10.88    |~              |    ~     ~    
2132|TYC 2505-1051-1                                                                                                                                                                |Star                           |09 58 32.9616533376 +32 56 48.029211060|193.2833595308164 +52.3942815949371|-12.281 -25.150   |10.90    |~              |    ~     ~    
2133|TYC 2505-1073-1                                                                                                                                                                |Star                           |09 59 08.1433650744 +32 55 08.008323240|193.3387407407497 +52.5158155675079|  -0.151 -0.664   |10.86    |~              |    ~     ~    
2134|TYC 2505-1185-1                                                                                                                                                                |Star                           |09 58 38.8540022880 +33 20 02.643321696|192.6503820775993 +52.4320863423742|   7.149 -8.373   |9.95     |~              |    ~     ~    
2135|TYC 2505-1330-1                                                                                                                                                                |High Proper Motion Star        |09 56 26.7762668784 +33 25 52.395053196|192.4609361961523 +51.9769758228784| 51.818 -42.066   |10.57    |~              |    ~     ~    
2136|TYC 2505-1459-1                                                                                                                                                                |Star                           |09 56 48.6004633200 +32 35 59.778750444|193.8155812375665 +52.0102130130852|  4.292 -12.624   |10.77    |~              |    ~     ~    
2137|TYC 2508-1246-1                                                                                                                                                                |Star                           |09 56 22.1102482152 +35 05 41.556016392|189.7593739055065 +52.0013138752984| -8.560 -11.791   |10.95    |~              |    ~     ~    
2138|* 18 LMi                                                                                                                                                                       |Star                           |09 56 31.3371204984 +32 23 04.658773200|194.1581743541168 +51.9360597795546| -41.433 11.998   |6.550    |F2             |    ~     ~    
2139|BD+33 1925                                                                                                                                                                     |Star                           |09 58 39.2906014080 +32 23 09.439283184|194.2027540148637 +52.3854478540424|   -8.554 5.403   |9.69     |F5             |    ~     ~    
2140|BD+33 1926                                                                                                                                                                     |Star                           |09 58 45.2779565736 +32 35 07.489295592|193.8784495438411 +52.4182529387095| -4.362 -10.278   |9.74     |~              |    ~     ~    
2141|BD+31 2074                                                                                                                                                                     |Star                           |09 57 55.4480339040 +30 59 00.092341608|196.4672652391220 +52.1211182988781| -27.200 -3.441   |10.48    |F2             |    ~     ~    
2142|HD 86311                                                                                                                                                                       |Star                           |09 58 18.2981600352 +30 31 02.072885556|197.2362008825829 +52.1563080528954| -16.882 -6.640   |8.40     |K0             |    ~     ~    
2143|HD 86417                                                                                                                                                                       |Star                           |09 59 07.1289965208 +30 25 18.951244320|197.4208896419106 +52.3207626324204|-17.438 -45.496   |8.23     |K0             |    ~     ~    
2144|BD+30 1934                                                                                                                                                                     |Star                           |09 56 16.4498389008 +30 09 42.129500652|197.7312833181695 +51.6817948447233| 29.669 -15.022   |10.52    |K2             |    ~     ~    
2145|BD+30 1941                                                                                                                                                                     |Star                           |09 58 33.6276034824 +30 17 11.555799792|197.6197821483826 +52.1865441091151|    5.989 0.088   |10.43    |K0             |    ~     ~    
2146|BD+33 1930                                                                                                                                                                     |Star                           |09 59 10.9787651976 +32 26 20.225120424|194.1270090827600 +52.4999083905080|  -11.666 0.460   |9.47     |F5             |    ~     ~    
2147|BD+32 1958                                                                                                                                                                     |Star                           |09 59 10.9758768504 +32 05 25.268301060|194.6983579980759 +52.4778754814923|   -1.113 4.693   |10.33    |G0             |    ~     ~    
2148|HD 86434                                                                                                                                                                       |Star                           |09 59 19.8797612736 +31 47 50.361189828|195.1819733623992 +52.4886821930416|   8.024 -1.415   |9.34     |F0             |    ~     ~    
2149|BD+32 1960                                                                                                                                                                     |High Proper Motion Star        |09 59 20.4135877248 +31 44 31.379906184|195.2727235303683 +52.4864737555212|-80.097 -36.109   |9.43     |G5             |    ~     ~    
2150|HD 86512                                                                                                                                                                       |Double or Multiple Star        |09 59 46.5472510800 +31 28 16.557130776|195.7282154975453 +52.5579925522272|  -6.870 -6.989   |8.41     |K0             |0.0067  0.0    
2151|BD+30 1943                                                                                                                                                                     |Star                           |09 59 15.2853575328 +30 15 24.168913776|197.6947973609363 +52.3323297723662|-22.780 -36.762   |10.04    |F5             |    ~     ~    
2152|TYC 2502-773-1                                                                                                                                                                 |High Proper Motion Star        |09 59 33.0521889600 +32 18 30.780991944|194.3486995869847 +52.5695774713808|  -66.669 1.262   |10.60    |~              |    ~     ~    
2153|TYC 2502-811-1                                                                                                                                                                 |Star                           |09 59 43.9369925208 +30 28 18.053847228|197.3622753988559 +52.4574262058747|  12.770 -5.488   |10.75    |~              |    ~     ~    
2154|TYC 2502-996-1                                                                                                                                                                 |Star                           |09 57 19.7011468944 +30 01 57.173371392|197.9813546217485 +51.8933204822778|  -9.510 -3.571   |10.63    |~              |    ~     ~    
2155|TYC 2502-1000-1                                                                                                                                                                |Star                           |09 58 00.0306716400 +30 36 23.982501024|197.0802927740655 +52.1003547440096|-16.183 -12.522   |10.62    |~              |    ~     ~    
2156|TYC 2502-1040-1                                                                                                                                                                |Star                           |09 56 54.9229197840 +30 51 40.793770080|196.6306342681082 +51.8940012961135|    1.195 8.438   |10.98    |~              |    ~     ~    
2157|TYC 2502-1050-1                                                                                                                                                                |Star                           |09 58 53.1500654352 +31 24 43.844425596|195.7994809136533 +52.3639883717675|   5.569 -4.269   |10.07    |~              |    ~     ~    
2158|TYC 2502-1058-1                                                                                                                                                                |Star                           |09 58 39.4179232968 +31 16 21.269987436|196.0203411724018 +52.3034623902355|  -8.983 -3.021   |10.34    |~              |    ~     ~    
2159|TYC 2502-1299-1                                                                                                                                                                |Star                           |09 59 05.1355668768 +31 17 45.055129020|195.9952573390343 +52.3966994127006| -3.867 -25.768   |10.82    |~              |    ~     ~    
2160|TYC 2502-1474-1                                                                                                                                                                |Star                           |09 58 20.0329853856 +32 00 43.252055676|194.8061101041893 +52.2930012544886| 12.653 -17.551   |10.68    |~              |    ~     ~    
2161|BD+30 1938                                                                                                                                                                     |Star                           |09 58 19.1697554544 +29 55 34.917703104|198.1933082112239 +52.0940922238200|    1.387 0.392   |9.20     |G5             |    ~     ~    
2162|BD+30 1936                                                                                                                                                                     |Star                           |09 57 46.9516353816 +29 29 25.458845604|198.8730895106637 +51.9250403137519|  -3.534 -4.952   |9.56     |M0             |    ~     ~    
2163|BD+30 1939                                                                                                                                                                     |Star                           |09 58 24.3387199848 +29 26 36.244076064|198.9768936390047 +52.0535630859262|-12.749 -24.858   |9.91     |K2             |    ~     ~    
2164|HD 86338                                                                                                                                                                       |Star                           |09 58 29.8297016688 +29 32 03.974108604|198.8340881359337 +52.0848390096523| 28.566 -20.480   |8.03     |K0             |    ~     ~    
2165|BD+29 1973                                                                                                                                                                     |Star                           |09 56 57.4671762576 +29 03 52.235796204|199.5171782838373 +51.6902278386590|    5.282 2.948   |9.32     |K0             |    ~     ~    
2166|BD+29 1974                                                                                                                                                                     |Star                           |09 56 57.6383402808 +28 26 38.729086188|200.5066344872582 +51.6010456763729|  1.471 -13.185   |9.80     |K2             |    ~     ~    
2167|HD 86131                                                                                                                                                                       |Star                           |09 57 14.7174756240 +28 33 40.624965936|200.3350421733041 +51.6804525097763|  -20.093 7.827   |7.36     |K2III          |    ~     ~    
2168|BD+29 1976                                                                                                                                                                     |Star                           |09 57 24.0378822672 +29 06 16.361394156|199.4745866568874 +51.7915588778058|    5.460 2.092   |9.70     |M0             |    ~     ~    
2169|HD 86167                                                                                                                                                                       |Star                           |09 57 27.8131015080 +29 10 19.320930660|199.3694729647230 +51.8143325927470|  3.449 -11.835   |8.38     |kA8hA9mF2III   |    ~     ~    
2170|HD 86323                                                                                                                                                                       |Star                           |09 58 21.2014992912 +28 34 56.570967084|200.3593472640274 +51.9241836189363|   5.141 -1.093   |9.06     |K0             |    ~     ~    
2171|HD 86339                                                                                                                                                                       |Star                           |09 58 26.5416724128 +28 29 23.719903908|200.5123164772154 +51.9298784547193|  -2.451 -0.627   |9.12     |K2             |    ~     ~    
2172|HD 86406                                                                                                                                                                       |Star                           |09 58 59.8014923112 +29 09 39.432584988|199.4600949972059 +52.1445182630219|  -9.511 -9.681   |8.93     |K0             |    ~     ~    
2173|HD 86090                                                                                                                                                                       |High Proper Motion Star        |09 56 55.4109537072 +28 05 46.754006424|201.0573312471680 +51.5389999360001| -3.667 -53.788   |7.71     |F8             |    ~     ~    
2174|HD 86121                                                                                                                                                                       |Star                           |09 57 09.5445331080 +27 34 32.270559456|201.8965427300081 +51.5047829154383|-31.832 -10.176   |8.92     |K0             |    ~     ~    
2175|HD 86358                                                                                                                                                                       |Spectroscopic Binary           |09 58 26.0389184232 +27 45 32.396952132|201.6811210270005 +51.8137322715349|-115.933 -28.117  |6.460    |F2V            |    ~     ~    
2176|BD+30 1944                                                                                                                                                                     |Star                           |09 59 15.7589854248 +29 52 46.933580424|198.3078752696038 +52.2916362517510|-21.486 -17.449   |9.19     |K0             |    ~     ~    
2177|BD+30 1945                                                                                                                                                                     |Spectroscopic Binary           |09 59 19.8890472384 +30 00 27.453074724|198.1028603810752 +52.3211794131260|-37.972 -29.261   |9.88     |F8             |    ~     ~    
2178|HD 86513                                                                                                                                                                       |High Proper Motion Star        |09 59 36.2143578360 +29 38 42.833290272|198.7030969661671 +52.3372017768528|-94.451 -38.381   |5.744    |G9III:         |    ~     ~    
2179|HD 86546                                                                                                                                                                       |High Proper Motion Star        |09 59 48.8276548968 +29 19 05.364966432|199.2435843257660 +52.3417743374187| -89.305 11.327   |9.54     |G5             |    ~     ~    
2180|HD 86514                                                                                                                                                                       |Spectroscopic Binary           |09 59 39.8963867328 +28 57 38.034485856|199.8161837967655 +52.2622246837825| -24.812 -9.504   |9.27     |A2             |    ~     ~    
2181|TYC 1964-605-1                                                                                                                                                                 |Spectroscopic Binary           |09 59 22.9163869272 +27 23 51.881375760|202.3152002644037 +51.9602488653377|   -8.666 3.984   |10.64    |~              |    ~     ~    
2182|TYC 1967-584-1                                                                                                                                                                 |Star                           |09 56 40.9900121784 +28 12 34.064119368|200.8643323407608 +51.5045496251444| -11.808 -0.746   |10.54    |~              |    ~     ~    
2183|TYC 1967-616-1                                                                                                                                                                 |Star                           |09 56 58.9811620128 +28 17 12.695182368|200.7579471056543 +51.5818376675597|-12.153 -21.128   |10.47    |~              |    ~     ~    
2184|TYC 1967-619-1                                                                                                                                                                 |High Proper Motion Star        |09 59 23.3235704040 +27 43 22.760399388|201.7949238786343 +52.0162079218150|-98.373 -22.502   |10.42    |~              |    ~     ~    
2185|TYC 1967-651-1                                                                                                                                                                 |Star                           |09 57 56.4120413640 +28 21 50.219526492|200.6871577487474 +51.8018105666344| 38.486 -24.500   |10.55    |~              |    ~     ~    
2186|TYC 1967-958-1                                                                                                                                                                 |Star                           |09 58 21.3941450112 +27 45 05.142094884|201.6886429561316 +51.7955938524175|  -5.045 -8.898   |10.9     |~              |    ~     ~    
2187|TYC 1967-1030-1                                                                                                                                                                |High Proper Motion Star        |09 59 59.8286131392 +28 46 22.023284988|200.1366423794464 +52.3082914037010|-15.572 -60.837   |9.86     |~              |    ~     ~    
2188|TYC 1967-1095-1                                                                                                                                                                |Star                           |09 58 41.0145063024 +28 44 57.097666968|200.1084021700289 +52.0199665958774|  7.046 -17.744   |10.18    |~              |    ~     ~    
2189|TYC 1967-1108-1                                                                                                                                                                |Star                           |09 59 56.7950686944 +29 00 28.587944232|199.7531031156290 +52.3296765850491| -12.871 20.395   |10.55    |~              |    ~     ~    
2190|TYC 1967-1114-1                                                                                                                                                                |Star                           |09 56 41.8850908728 +29 00 51.543379368|199.5846082255267 +51.6270486462146|   -7.799 0.213   |10.83    |~              |    ~     ~    
2191|TYC 1967-1371-1                                                                                                                                                                |Star                           |09 58 38.9752874880 +29 34 03.001298592|198.7874285734855 +52.1218614657903| 11.498 -15.640   |10.74    |~              |    ~     ~    
2192|TYC 1967-1388-1                                                                                                                                                                |Star                           |09 58 41.7372469248 +29 33 53.234725140|198.7938433503917 +52.1314554260139| 11.752 -15.357   |10.43    |~              |    ~     ~    
2193|TYC 1967-1420-1                                                                                                                                                                |Star                           |09 59 00.1320227736 +28 57 19.012899384|199.7923324687274 +52.1178970370245|  -2.869 -6.115   |10.89    |~              |    ~     ~    
2194|BD+27 1829                                                                                                                                                                     |Star                           |09 57 36.9483772848 +26 58 28.344954720|202.8757954175631 +51.4989442126613| -4.990 -28.499   |8.91     |K5             |    ~     ~    
2195|BD+27 1832                                                                                                                                                                     |High Proper Motion Star        |09 58 02.2319921112 +26 26 21.786746568|203.7484702010174 +51.4910423687144|-111.633 -85.893  |9.80     |K0             |    ~     ~    
2196|BD+26 2028                                                                                                                                                                     |Star                           |09 57 27.8603671104 +26 17 19.115945808|203.9454505460296 +51.3358152628117| 17.341 -34.284   |9.80     |G0             |    ~     ~    
2197|BD+26 2029                                                                                                                                                                     |Double or Multiple Star        |09 57 43.7788754784 +25 40 15.457095300|204.9322049846509 +51.2688019994312|      -4.2 -6.4   |9.99     |F8             |    ~     ~    
2198|BD+25 2182                                                                                                                                                                     |Star                           |09 56 19.5001619280 +24 39 15.519125952|206.3967855748039 +50.7347547106488|-24.144 -18.256   |9.41     |F8             |    ~     ~    
2199|BD+25 2183                                                                                                                                                                     |Star                           |09 56 21.6293420664 +24 43 26.271034716|206.2926073224350 +50.7586560282940|-32.119 -29.319   |9.37     |F5             |    ~     ~    
2200|HD 86079                                                                                                                                                                       |Double or Multiple Star        |09 56 44.79003 +25 03 14.1204          |205.81504613 +50.91860580          |  -13.67 -22.29   |9.09     |G0             |    ~     ~    
2201|HD 86105                                                                                                                                                                       |Star                           |09 56 52.5658627536 +24 58 39.426562812|205.9434462592861 +50.9301634789510| -31.580 -3.464   |8.71     |K0             |    ~     ~    
2202|HD 86168                                                                                                                                                                       |High Proper Motion Star        |09 57 20.2771824840 +24 47 42.171505224|206.2633913117621 +50.9909351869838|-78.179 -50.759   |8.42     |K1III          |    ~     ~    
2203|BD+27 1834                                                                                                                                                                     |Star                           |09 59 06.9101791944 +26 25 34.293896472|203.8441397492706 +51.7253046752827|  -0.295 -0.867   |10.48    |K2             |    ~     ~    
2204|HD 86534                                                                                                                                                                       |Star                           |09 59 39.1911296472 +26 10 11.702087544|204.2881812705098 +51.7936971901871| -29.151 -3.345   |8.38     |K0             |    ~     ~    
2205|HD 86474                                                                                                                                                                       |Star                           |09 59 22.1311598880 +25 29 40.485611652|205.3335720305157 +51.5930181716727|   38.810 1.479   |9.42     |K0             |    ~     ~    
2206|TYC 1964-565-1                                                                                                                                                                 |Star                           |09 56 17.9271913416 +27 07 39.957317796|202.5493394579797 +51.2383161428145| -10.900 -9.733   |9.84     |~              |    ~     ~    
2207|TYC 1964-709-1                                                                                                                                                                 |Star                           |09 57 04.2619277976 +26 58 38.055956772|202.8360407192526 +51.3800948704179| -14.300 -6.701   |10.01    |~              |    ~     ~    
2208|TYC 1964-733-1                                                                                                                                                                 |Star                           |09 59 33.9275381328 +26 48 54.442533780|203.2568202994137 +51.8971920767444| -4.893 -16.428   |10.40    |~              |    ~     ~    
2209|TYC 1964-746-1                                                                                                                                                                 |Star                           |09 58 26.6006432328 +26 48 39.366567432|203.1890114376401 +51.6503301930484| 10.421 -12.941   |10.54    |~              |    ~     ~    
2210|TYC 1964-841-1                                                                                                                                                                 |Star                           |09 59 06.7731102144 +26 49 20.129807676|203.2154626976707 +51.7992438631997|-26.749 -27.772   |10.73    |~              |    ~     ~    
2211|TYC 1964-918-1                                                                                                                                                                 |Star                           |09 57 45.2183280840 +26 59 03.909121980|202.8691600648039 +51.5309367901507|-10.805 -12.254   |10.60    |~              |    ~     ~    
