C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:19:15

Vmag< 11&dec >=0&rah >=9.75&rah< 10.0
-------------------------------------

Number of objects : 2696

 #  |                                                                                  identifier                                                                                   |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
87  |TYC 4545-899-1                                                                                                                                                                 |Star                           |09 47 16.3162485408 +78 36 37.346197392|132.8864544788980 +34.6806607569769|  -6.486 -6.736   |10.75    |~              |    ~     ~    
88  |TYC 4545-1515-1                                                                                                                                                                |Star                           |09 57 11.3040246552 +78 57 44.509696992|132.1804874669003 +34.8212979002869|  -16.366 2.277   |10.64    |~              |    ~     ~    
89  |TYC 4545-1520-1                                                                                                                                                                |Star                           |09 47 06.3530681256 +79 29 59.869124232|132.0550933303319 +34.1142123973121| -15.275 -6.626   |10.94    |~              |    ~     ~    
90  |TYC 4545-1559-1                                                                                                                                                                |Star                           |09 50 33.4202917152 +78 58 41.412897156|132.4178840053002 +34.5708027291480|   8.487 -2.255   |10.42    |~              |    ~     ~    
91  |TYC 4545-1608-1                                                                                                                                                                |Star                           |09 48 01.5032892744 +78 58 18.126117336|132.5175112791978 +34.4815945268981|-11.000 -20.979   |10.61    |~              |    ~     ~    
92  |TYC 4545-2439-1                                                                                                                                                                |Star                           |09 49 59.3469172320 +78 03 36.906337980|133.3019963820094 +35.1338264849221| -2.286 -16.424   |10.06    |~              |    ~     ~    
93  |TYC 4545-2514-1                                                                                                                                                                |High Proper Motion Star        |09 47 23.4992140368 +78 17 54.489895332|133.1780220966528 +34.8805891638681|-39.847 -41.381   |10.50    |~              |    ~     ~    
94  |BD+75 390                                                                                                                                                                      |High Proper Motion Star        |09 45 54.0629487456 +74 59 19.545394344|136.4807075035342 +36.8295611390243|-17.516 -50.555   |10.76    |G5             |    ~     ~    
95  |HD 84658B                                                                                                                                                                      |High Proper Motion Star        |09 51 14.6470898064 +74 35 42.065671344|136.6105799010694 +37.3463405333866|-53.359 -58.209   |10.71    |~              |    ~     ~    
96  |HD 84820                                                                                                                                                                       |Star                           |09 52 20.5610456952 +74 25 30.547982676|136.7233453840527 +37.5082512517773| 21.419 -12.608   |8.12     |K0             |    ~     ~    
