C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:40:45

dec< 0&rah >=21.5&rah< 21.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3883

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
81  |CD-39 14356                                                                                              |High Proper Motion Star               |21 38 58.6720648512 -38 44 30.659384328|004.1102994274928 -48.4876091323573| 77.481 -40.942   |9.927    |~              |    ~     ~    |    1|  280.531   pc  |  -4.7260     +4.7260  |ST-L    |2020AJ....160...83S
82  |CD-39 14395                                                                                              |Star                                  |21 43 17.4840573288 -39 16 59.570690196|003.2414291025507 -49.3054694710649|   7.491 -4.529   |10.16    |~              |    ~     ~    |    1| 1242.699   pc  | -23.4734    +23.4734  |paral   |2020yCat.1350....0G
83  |TYC 7486-447-1                                                                                           |Star                                  |21 35 03.8837722488 -37 28 00.582096072|006.0274299198146 -47.7262848430764| 30.012 -16.296   |10.24    |~              |    ~     ~    |    1|   67.101   pc  |  -0.2660     +0.2660  |ST-L    |2020AJ....160...83S
84  |TYC 7486-461-1                                                                                           |Star                                  |21 35 36.5690929704 -36 57 42.764734656|006.7811805961197 -47.8270776981135|   10.794 3.131   |10.90    |~              |    ~     ~    |    1|  313.991   pc  |  -3.8943     +3.8943  |paral   |2020yCat.1350....0G
85  |TYC 7493-51-1                                                                                            |Star                                  |21 36 03.7183447608 -37 24 28.571487084|006.1181689282478 -47.9236267178835|   -5.340 2.783   |10.260   |~              |    ~     ~    |    1|  677.519   pc  | -32.6500    +32.6500  |ST-L    |2020AJ....160...83S
86  |TYC 7493-97-1                                                                                            |Star                                  |21 41 28.4160345720 -36 49 03.251522640|007.0218760604161 -48.9975799713318|  -1.724 15.012   |10.80    |~              |    ~     ~    |    1|  730.247   pc  |  -8.5855     +8.5855  |paral   |2020yCat.1350....0G
87  |TYC 7493-304-1                                                                                           |High Proper Motion Star               |21 37 32.3073809832 -36 39 13.451519628|007.2532091692254 -48.2069949624045| 31.524 -62.513   |10.855   |~              |    ~     ~    |    1|  217.414   pc  |  -2.8350     +2.8350  |ST-L    |2020AJ....160...83S
88  |TYC 7493-676-1                                                                                           |Star                                  |21 42 12.9941496840 -36 54 56.011855356|006.8734682043366 -49.1466823239418|   13.190 9.077   |10.90    |~              |    ~     ~    |    1|  449.762   pc  |  -8.9208     +8.9208  |paral   |2020yCat.1350....0G
89  |TYC 7980-203-1                                                                                           |Star                                  |21 38 15.2321354088 -37 30 20.735104356|005.9752914356403 -48.3591651255160|  14.777 -1.663   |10.545   |~              |    ~     ~    |    1|  365.510   pc  |  -8.6470     +8.6470  |ST-L    |2020AJ....160...83S
90  |TYC 7980-218-1                                                                                           |Star                                  |21 36 11.0108664312 -38 20 28.840389576|004.7249395536389 -47.9479374716408|  3.821 -24.630   |10.72    |~              |    ~     ~    |    1|  375.418   pc  |  -1.7194     +1.7194  |paral   |2020yCat.1350....0G
91  |TYC 7980-247-1                                                                                           |Star                                  |21 39 02.8692469536 -37 57 11.854777788|005.2998814493813 -48.5145380566433|   19.220 6.486   |10.74    |~              |    ~     ~    |    1|  402.836   pc  |  -6.9454     +6.9454  |paral   |2020yCat.1350....0G
92  |CD-39 14349                                                                                              |Double or Multiple Star               |21 38 16.21848 -38 27 08.5572          |004.55068390 -48.35535180          |            ~ ~   |10.777   |~              |    ~     ~    |    1|  263.405   pc  | -33.7600    +33.7600  |ST-L    |2020AJ....160...83S
93  |TYC 7980-523-1                                                                                           |Star                                  |21 35 47.9338028520 -37 40 35.174164224|005.7171311977278 -47.8734364772145|  -2.643 -0.935   |10.69    |~              |    ~     ~    |    1|  858.906   pc  | -33.8700    +33.8700  |ST-L    |2020AJ....160...83S
94  |TYC 7980-617-1                                                                                           |Star                                  |21 39 05.1468750432 -38 42 08.619748020|004.1690562859770 -48.5096060061694|-21.867 -26.010   |10.30    |~              |    ~     ~    |    1|  378.587   pc  |  -2.2359     +2.2359  |paral   |2020yCat.1350....0G
95  |TYC 7980-681-1                                                                                           |Star                                  |21 34 48.1390599312 -38 11 25.898693100|004.9517383270056 -47.6776622880739|   -4.925 2.974   |10.79    |~              |    ~     ~    |    1|  648.241   pc  | -34.9600    +34.9600  |ST-L    |2020AJ....160...83S
96  |TYC 7980-867-1                                                                                           |Star                                  |21 39 45.3908 -39 15 51.569            |003.3142922 -48.6227696            |   -4.779 3.895   |10.58    |~              |    ~     ~    |    0|                |                       |        |                   
