C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:40:45

dec< 0&rah >=21.5&rah< 21.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3883

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
3299|NGC 7099 89                        2MASS J21400798-2311592                                               |Red Giant Branch star                 |21 40 07.9856844840 -23 11 59.250791472|027.1298615785679 -46.7887154133327|  -0.766 -7.324   |14.84    |~              |    ~     ~    |    0|                |                       |        |                   
3300|NGC 7099 80                        2MASS J21400193-2311467                                               |Red Giant Branch star                 |21 40 01.9345297296 -23 11 46.748438052|027.1256644082069 -46.7654589683289|  -0.588 -7.310   |14.72    |~              |    ~     ~    |    0|                |                       |        |                   
3301|NGC 7099 10                        2MASS J21403856-2310587                                               |Red Giant Branch star                 |21 40 38.5608399792 -23 10 58.830435948|027.1994385484942 -46.8970192313013|  -0.730 -7.327   |13.60    |~              |    ~     ~    |    0|                |                       |        |                   
3302|HD 205680A                                                                                               |Star                                  |21 38 37.7500796101 -51 27 36.820943770|345.4393470550049 -46.5725416385276|  -11.094 6.576   |9.38     |~              |    ~     ~    |    1|  380.923   pc  |  -6.7037     +6.7037  |paral   |2018yCat.1345....0G
3303|HD 205206A                                                                                               |Spectroscopic Binary                  |21 35 24.3703465789 -51 04 11.697817473|346.1709183057831 -46.1829306360651|  11.930 -7.168   |10.13    |G0/2(V)        |    ~     ~    |    1|  306.739   pc  |  -7.5365     +7.5365  |paral   |2020yCat.1350....0G
3304|TYC 7486-880-1                                                                                           |Star                                  |21 34 20.6244092088 -36 14 52.137483864|007.8311075364873 -47.5533378539852| 27.485 -32.400   |10.948   |~              |    ~     ~    |    1|  254.032   pc  |  -4.2560     +4.2560  |ST-L    |2020AJ....160...83S
3305|TYC 7992-740-1                                                                                           |Star                                  |21 35 47.0963784600 -43 35 05.268858648|356.9421403370899 -47.5650300737768| 17.300 -11.690   |10.66    |~              |    ~     ~    |    1|  952.927   pc  | -38.6400    +38.6400  |ST-L    |2020AJ....160...83S
3306|TYC 9103-1002-1                                                                                          |Star                                  |21 30 35.5726152648 -60 14 18.741536268|334.2156045880719 -42.7313078668844| 21.104 -17.386   |10.79    |~              |    ~     ~    |    1|  618.186   pc  | -21.4900    +21.4900  |ST-L    |2020AJ....160...83S
3307|TYC 5208-23-1                                                                                            |Star                                  |21 33 34.3687005984 -01 23 36.179159784|052.8032029337279 -36.1085030936917|  -2.010 -6.519   |10.88    |~              |    ~     ~    |    1| 1172.196   pc  | -18.9618    +18.9618  |paral   |2020yCat.1350....0G
3308|TYC 5208-44-1                                                                                            |Star                                  |21 30 30.0748254264 -01 26 21.832783728|052.2402129304788 -35.4897039696359|-13.910 -47.882   |10.40    |~              |    ~     ~    |    1|  261.015   pc  |  -1.0356     +1.0356  |paral   |2020yCat.1350....0G
3309|TYC 5208-59-1                                                                                            |High Proper Motion Star               |21 30 09.2965439064 -01 27 48.810182760|052.1576987580912 -35.4300615395984| 48.424 -12.564   |10.74    |~              |    ~     ~    |    1|  172.753   pc  |  -0.5252     +0.5252  |paral   |2020yCat.1350....0G
3310|2MASS J21343639-0137324                                                                                  |Red Giant Branch star                 |21 34 36.3820493880 -01 37 32.501896284|052.7369686214192 -36.4517761159800|-17.675 -15.605   |10.86    |~              |    ~     ~    |    1|  471.876   pc  |  -2.9615     +2.9615  |paral   |2020yCat.1350....0G
3311|TYC 5208-377-1                                                                                           |Star                                  |21 31 54.0050955504 -00 58 02.554619592|052.9604767668551 -35.5253918756059|   12.883 3.816   |10.50    |~              |    ~     ~    |    1| 1008.268   pc  | -16.0623    +16.0623  |paral   |2020yCat.1350....0G
3312|TYC 5208-383-1                                                                                           |Red Giant Branch star                 |21 32 32.7559097400 -01 08 36.498209676|052.8880715688371 -35.7569263410260|  16.924 -0.981   |10.73    |~              |    ~     ~    |    1|  682.035   pc  |  -6.1403     +6.1403  |paral   |2020yCat.1350....0G
3313|TYC 5208-481-1                                                                                           |Double or Multiple Star               |21 32 17.489880 -01 16 37.13700        |052.707451979 -35.776698535        |      12.0 -1.6   |10.763   |~              |    ~     ~    |    0|                |                       |        |                   
3314|TYC 5208-665-1                                                                                           |High Proper Motion Star               |21 30 00.4009549344 -00 24 55.975731192|053.2064581909979 -34.8267392884450|-28.260 -47.664   |10.75    |~              |    ~     ~    |    1|  310.887   pc  |  -1.7397     +1.7397  |paral   |2020yCat.1350....0G
3315|TYC 5208-780-1                                                                                           |Star                                  |21 37 11.1845805816 -01 19 49.999947060|053.4857343466957 -36.8284742248903| -3.978 -26.628   |10.71    |~              |    ~     ~    |    1|  769.586   pc  | -10.3054    +10.3054  |paral   |2020yCat.1350....0G
3316|2MASS J21355932-0026558                                                                                  |Red Giant Branch star                 |21 35 59.3189861208 -00 26 55.790774160|054.1905091507504 -36.0896994500911|   -3.584 0.996   |10.94    |~              |    ~     ~    |    1| 1077.122   pc  | -15.7786    +15.7786  |paral   |2020yCat.1350....0G
3317|TYC 5208-1285-1                                                                                          |Red Giant Branch star                 |21 36 28.6135664569 -00 16 50.308233389|054.4475368108872 -36.0967213615313|  -3.402 -3.387   |10.45    |~              |    ~     ~    |    1| 2149.15    pc  | -82.2155    +82.2155  |paral   |2020yCat.1350....0G
3318|TYC 5209-89-1                                                                                            |Star                                  |21 44 31.0228028256 -00 09 02.005374636|056.0074713221769 -37.6781001779875|  -1.138 -2.602   |10.77    |~              |    ~     ~    |    1| 1917.913   pc  | -68.7859    +68.7859  |paral   |2020yCat.1350....0G
3319|* 24 Aqr A                                                                                               |High Proper Motion Star               |21 39 31.517666 -00 03 03.99559        |055.216524617 -36.596576453        |     227.5 14.7   |6.88     |~              |    ~     ~    |    0|                |                       |        |                   
3320|TYC 5209-597-1                                                                                           |High Proper Motion Star               |21 39 38.0198951856 -01 20 23.599098276|053.9008757358757 -37.3427958155394|   49.216 7.685   |10.863   |~              |    ~     ~    |    1|  161.229   pc  |  -1.6280     +1.6280  |ST-L    |2020AJ....160...83S
3321|TYC 5209-639-1                                                                                           |Spectroscopic Binary                  |21 39 18.6395196672 -01 06 28.068786360|054.0866162075782 -37.1465260482750|  -9.082 -5.258   |10.80    |~              |    ~     ~    |    1|  462.492   pc  |  -2.9304     +2.9304  |paral   |2020yCat.1350....0G
3322|TYC 5209-980-1                                                                                           |Star                                  |21 41 50.4962684640 -01 24 03.837991176|054.2247948585825 -37.8351111332911|    9.797 1.176   |10.83    |~              |    ~     ~    |    1|  412.201   pc  |  -2.7865     +2.7865  |paral   |2020yCat.1350....0G
3323|2MASS J21381945-0129174                                                                                  |Red Giant Branch star                 |21 38 19.4513446368 -01 29 17.334907584|053.5179864530743 -37.1525603652867|  -2.499 -5.051   |10.55    |~              |    ~     ~    |    1|  974.944   pc  | -45.5297    +45.5297  |paral   |2020yCat.1350....0G
3324|TYC 5209-1264-1                                                                                          |Star                                  |21 39 14.1351379008 -01 47 07.616280408|053.3642708876534 -37.5065668373454| 34.784 -10.449   |10.99    |~              |    ~     ~    |    1|  130.190   pc  |  -0.3695     +0.3695  |paral   |2020yCat.1350....0G
3325|TYC 5209-1289-1                                                                                          |Star                                  |21 38 45.6898029216 -01 50 56.396135328|053.2152461402671 -37.4426580859318| -2.519 -25.577   |10.384   |~              |    ~     ~    |    1|  723.915   pc  | -28.2400    +28.2400  |ST-L    |2020AJ....160...83S
3326|TYC 5212-60-1                                                                                            |Star                                  |21 30 35.2313788848 -02 09 22.879151676|051.5109931417892 -35.8943498438992|  3.323 -13.006   |10.94    |~              |    ~     ~    |    1| 2943.774   pc  |-182.8485   +182.8485  |paral   |2020yCat.1350....0G
3327|TYC 5212-81-1                                                                                            |Star                                  |21 32 38.8855272600 -01 53 58.746443316|052.1214306737574 -36.1899715461009|   4.862 -6.647   |10.95    |~              |    ~     ~    |    1| 1088.021   pc  | -24.2677    +24.2677  |paral   |2020yCat.1350....0G
3328|TYC 5212-278-1                                                                                           |Star                                  |21 37 15.0675419544 -02 03 02.740608684|052.7428913155488 -37.2375105969475|    4.828 3.383   |10.93    |~              |    ~     ~    |    1| 1106.439   pc  | -16.4044    +16.4044  |paral   |2020yCat.1350....0G
3329|TYC 5212-1103-1                                                                                          |Star                                  |21 34 10.8522423216 -03 27 07.994442744|050.7393750157916 -37.3438202353347| 45.989 -16.016   |8.41     |~              |    ~     ~    |    1|  314.011   pc  |  -4.4470     +4.4470  |paral   |2020yCat.1350....0G
3330|TYC 5212-1446-1                                                                                          |Star                                  |21 32 25.5595391376 -03 22 47.351523540|050.5265536905668 -36.9336366991531|  -2.455 -5.303   |10.50    |~              |    ~     ~    |    1| 2491.901   pc  |-120.4657   +120.4657  |paral   |2020yCat.1350....0G
3331|TYC 5212-1701-1                                                                                          |Star                                  |21 33 44.7947948712 -03 19 30.114625584|050.8029780531951 -37.1845669690378|   5.455 -6.167   |10.86    |~              |    ~     ~    |    1|  494.686   pc  | -14.9800    +14.9800  |ST-L    |2020AJ....160...83S
3332|TYC 5213-81-1                                                                                            |Star                                  |21 41 51.9613340256 -02 10 55.094738268|053.4040435500567 -38.2734920237976| -1.711 -11.742   |10.83    |~              |    ~     ~    |    1|  963.484   pc  | -17.1736    +17.1736  |paral   |2020yCat.1350....0G
3333|TYC 5213-128-1                                                                                           |Star                                  |21 38 42.3705362904 -02 16 29.297676792|052.7563702842349 -37.6643777426372|  0.163 -12.437   |10.96    |~              |    ~     ~    |    1| 1036.150   pc  | -54.5200    +54.5200  |ST-L    |2020AJ....160...83S
3334|TYC 5213-252-1                                                                                           |Star                                  |21 43 11.3736732456 -02 06 08.807627556|053.7216955316011 -38.5051508338292|  41.761 -7.018   |9.84     |~              |    ~     ~    |    1|  155.169   pc  |  -0.4695     +0.4695  |paral   |2020yCat.1350....0G
3335|TYC 5213-257-1                                                                                           |Star                                  |21 43 09.1619031672 -02 06 23.984091648|053.7106927425736 -38.4998174730430|   12.675 1.084   |9.65     |~              |    ~     ~    |    1|  398.184   pc  |  -8.8313     +8.8313  |paral   |2020yCat.1350....0G
3336|TYC 5213-541-1                                                                                           |Star                                  |21 41 15.3038746440 -02 30 33.792157152|052.9485852475129 -38.3257612348737|   3.359 -4.035   |10.858   |~              |    ~     ~    |    1|  666.958   pc  | -23.6000    +23.6000  |ST-L    |2020AJ....160...83S
3337|TYC 5213-545-1                                                                                           |High Proper Motion Star               |21 41 24.8389144128 -02 47 46.991613840|052.6693102266800 -38.5156802866380|-73.270 -108.595  |10.89    |~              |    ~     ~    |    1|   78.468   pc  |  -0.3761     +0.3761  |ST-L    |2020AJ....160...83S
3338|TYC 5213-575-1                                                                                           |Star                                  |21 39 12.5846760312 -02 37 39.785830320|052.4683640478955 -37.9620329857324|  9.951 -12.860   |10.881   |~              |    ~     ~    |    1|  449.392   pc  | -15.6700    +15.6700  |ST-L    |2020AJ....160...83S
3339|TYC 5213-608-1                                                                                           |Star                                  |21 38 18.9598567992 -02 36 24.858086724|052.3370932283425 -37.7632551650621|  -1.528 -5.574   |10.71    |~              |    ~     ~    |    1|  388.969   pc  |  -2.5418     +2.5418  |paral   |2020yCat.1350....0G
3340|TYC 5213-739-1                                                                                           |Star                                  |21 38 08.4597094752 -02 57 46.792676196|051.9277634205808 -37.9188794314640|   3.120 -7.109   |10.63    |~              |    ~     ~    |    1| 1135.610   pc  | -91.4900    +91.4900  |ST-L    |2020AJ....160...83S
3341|TYC 5216-156-1                                                                                           |Star                                  |21 32 43.2678436368 -04 05 02.044921524|049.8225097055388 -37.3652014699436|   6.401 -2.714   |10.92    |~              |    ~     ~    |    1|  546.866   pc  |  -6.2504     +6.2504  |paral   |2020yCat.1350....0G
3342|TYC 5216-167-1                                                                                           |Star                                  |21 32 34.3941533160 -05 12 31.119724368|048.5810415003243 -37.9129072750322|   -5.390 7.684   |10.85    |~              |    ~     ~    |    1| 1008.573   pc  | -14.9531    +14.9531  |paral   |2020yCat.1350....0G
3343|TYC 5216-206-1                                                                                           |Star                                  |21 31 50.1505516032 -03 54 31.110909012|049.8659303482772 -37.0854408482536|   20.688 3.521   |10.90    |~              |    ~     ~    |    1|  374.710   pc  | -11.6200    +11.6200  |ST-L    |2020AJ....160...83S
3344|TYC 5216-331-1                                                                                           |Star                                  |21 35 30.1895092632 -04 27 32.282558244|049.8740732099358 -38.1526386837364| 38.230 -14.785   |10.749   |~              |    ~     ~    |    1|  329.160   pc  |  -6.6800     +6.6800  |ST-L    |2020AJ....160...83S
3345|TYC 5216-479-1                                                                                           |Star                                  |21 33 03.0959745744 -05 23 31.482163140|048.4574864632662 -38.1087421488615|  8.071 -31.610   |10.65    |~              |    ~     ~    |    1|  191.703   pc  |  -0.6689     +0.6689  |paral   |2020yCat.1350....0G
3346|TYC 5216-525-1                                                                                           |Star                                  |21 33 44.6049109680 -05 21 12.873656376|048.6110650605334 -38.2374130237587|-13.322 -14.819   |10.884   |~              |    ~     ~    |    1| 1088.960   pc  | -82.0200    +82.0200  |ST-L    |2020AJ....160...83S
3347|TYC 5216-724-1                                                                                           |Star                                  |21 32 55.9733637648 -04 18 55.113216912|049.6080365767243 -37.5305641027877| 30.213 -11.428   |10.80    |~              |    ~     ~    |    1|  275.262   pc  |  -1.7578     +1.7578  |paral   |2020yCat.1350....0G
3348|TYC 5216-865-1                                                                                           |Star                                  |21 35 31.5572431272 -05 11 07.019678112|049.0849605750652 -38.5327980297516|    7.576 2.275   |10.99    |~              |    ~     ~    |    1|  410.105   pc  |  -7.4338     +7.4338  |paral   |2020yCat.1350....0G
3349|TYC 5216-870-1                                                                                           |Star                                  |21 34 03.4000519536 -03 56 31.452751860|050.1940448923938 -37.5751944762678|    7.254 2.483   |10.89    |~              |    ~     ~    |    1|  472.216   pc  | -32.9800    +32.9800  |ST-L    |2020AJ....160...83S
3350|TYC 5216-947-1                                                                                           |Star                                  |21 35 32.6487841248 -05 36 32.039099496|048.6216712726629 -38.7531032332773| 15.478 -10.487   |10.78    |~              |    ~     ~    |    1|  825.219   pc  | -10.8958    +10.8958  |paral   |2020yCat.1350....0G
3351|TYC 5216-1596-1                                                                                          |Star                                  |21 33 21.8824869816 -05 02 56.782351320|048.8826408639241 -38.0008903250126|  15.300 -0.748   |10.97    |~              |    ~     ~    |    1|  201.459   pc  |  -1.7939     +1.7939  |paral   |2020yCat.1350....0G
3352|TYC 5217-307-1                                                                                           |Star                                  |21 37 35.7673116840 -03 53 58.285308660|050.8288423848577 -38.3035504400569|   0.579 -0.936   |10.77    |~              |    ~     ~    |    1| 1828.154   pc  | -60.4928    +60.4928  |paral   |2020yCat.1350....0G
3353|TYC 5217-483-1                                                                                           |Star                                  |21 43 18.7619643552 -04 18 11.431721520|051.3613132607943 -39.7261513953243| -7.307 -13.044   |10.75    |~              |    ~     ~    |    1| 1071.008   pc  | -23.4000    +23.4000  |paral   |2020yCat.1350....0G
3354|TYC 5217-587-1                                                                                           |Star                                  |21 44 28.7007671832 -04 14 55.317787188|051.6230779828390 -39.9429741580189|-13.718 -11.553   |10.97    |~              |    ~     ~    |    1|  461.361   pc  |  -3.9591     +3.9591  |paral   |2020yCat.1350....0G
3355|TYC 5217-921-1                                                                                           |Star                                  |21 44 10.3327351512 -04 21 56.780901792|051.4408213562020 -39.9408595278900|   1.315 -9.735   |10.91    |~              |    ~     ~    |    1| 1309.072   pc  | -34.4448    +34.4448  |paral   |2020yCat.1350....0G
3356|TYC 5217-1089-1                                                                                          |Star                                  |21 37 52.8582368544 -04 35 40.454110320|050.1206129972198 -38.7290704997581|-18.344 -35.004   |10.823   |~              |    ~     ~    |    1|  326.037   pc  |  -9.2430     +9.2430  |ST-L    |2020AJ....160...83S
3357|TYC 5220-200-1                                                                                           |Star                                  |21 37 23.4792908352 -07 29 54.370264920|046.7994165331726 -40.0946350161348|  14.803 -5.638   |10.88    |~              |    ~     ~    |    1|  879.585   pc  | -16.4792    +16.4792  |paral   |2020yCat.1350....0G
3358|TYC 5220-286-1                                                                                           |Star                                  |21 36 36.1845584496 -06 57 21.587532408|047.2888047670575 -39.6571353761941| -21.893 -1.046   |10.85    |~              |    ~     ~    |    1|  350.152   pc  |  -3.4207     +3.4207  |paral   |2020yCat.1350....0G
3359|TYC 5220-305-1                                                                                           |Star                                  |21 35 25.0600977312 -06 56 26.081118312|047.1173966578755 -39.3938932256442|  29.246 -3.830   |10.922   |~              |    ~     ~    |    1|  276.420   pc  |  -7.4840     +7.4840  |ST-L    |2020AJ....160...83S
3360|TYC 5220-465-1                                                                                           |Star                                  |21 32 29.8381564728 -06 45 02.704556088|046.8689864372972 -38.6698349428116|   2.773 -9.187   |10.99    |~              |    ~     ~    |    1| 1250.938   pc  | -30.3580    +30.3580  |paral   |2020yCat.1350....0G
3361|TYC 5220-950-1                                                                                           |Star                                  |21 30 52.2739678272 -05 43 50.309925672|047.7393087680387 -37.8115295680137|    2.964 8.835   |10.825   |~              |    ~     ~    |    1|  912.853   pc  | -36.9100    +36.9100  |ST-L    |2020AJ....160...83S
3362|TYC 5220-1022-1                                                                                          |Star                                  |21 35 06.6623349120 -06 40 38.275036356|047.3641117239469 -39.1972828116780| -16.828 -7.634   |10.93    |~              |    ~     ~    |    1|  452.694   pc  |  -5.0413     +5.0413  |paral   |2020yCat.1350....0G
3363|TYC 5220-1027-1                                                                                          |Star                                  |21 32 59.2798626000 -06 23 29.183690472|047.3458259328988 -38.5976409378942|  24.186 -8.580   |10.75    |~              |    ~     ~    |    1|  306.101   pc  |  -1.5179     +1.5179  |paral   |2020yCat.1350....0G
3364|TYC 5220-1047-1                                                                                          |High Proper Motion Star               |21 36 57.3717009840 -05 52 54.741145980|048.5487966139339 -39.1943206845654| 73.219 -13.887   |10.97    |~              |    ~     ~    |    1|  143.340   pc  |  -0.3637     +0.3637  |paral   |2020yCat.1350....0G
3365|TYC 5220-1082-1                                                                                          |Star                                  |21 37 12.4846923168 -05 59 47.780887704|048.4620986665686 -39.3064772549540|    6.357 1.655   |10.73    |~              |    ~     ~    |    1| 2223.705   pc  |-100.3807   +100.3807  |paral   |2020yCat.1350....0G
3366|TYC 5220-1253-1                                                                                          |Star                                  |21 31 59.6620484064 -06 17 30.347137572|047.2993243851747 -38.3338924740279|   -0.644 3.108   |10.93    |~              |    ~     ~    |    1|  739.919   pc  | -10.2926    +10.2926  |paral   |2020yCat.1350....0G
3367|TYC 5221-528-1                                                                                           |Star                                  |21 39 20.6695607856 -07 15 11.584288296|047.3916198357797 -40.3951504451391|   -2.441 0.869   |10.708   |~              |    ~     ~    |    1| 2057.340   pc  |-270.2000   +270.2000  |ST-L    |2020AJ....160...83S
3368|TYC 5221-620-1                                                                                           |Star                                  |21 38 01.2387308448 -06 08 43.078729128|048.4284693081400 -39.5559570560873|  26.113 -7.001   |10.994   |~              |    ~     ~    |    1|  448.567   pc  | -13.7900    +13.7900  |ST-L    |2020AJ....160...83S
3369|TYC 5786-234-1                                                                                           |Star                                  |21 30 57.2047898496 -08 10 42.756286656|045.0273539051973 -39.0275983755247|   -0.379 1.807   |10.887   |~              |    ~     ~    |    1| 2563.140   pc  |-386.6000   +386.6000  |ST-L    |2020AJ....160...83S
3370|TYC 5786-545-1                                                                                           |High Proper Motion Star               |21 33 34.1375063616 -08 38 58.935869376|044.8884848700808 -39.8206279199025| 41.172 -77.041   |10.98    |~              |    ~     ~    |    1|  401.590   pc  |  -3.1287     +3.1287  |paral   |2020yCat.1350....0G
3371|TYC 5787-181-1                                                                                           |Star                                  |21 40 18.0725591592 -09 06 37.219574340|045.3934282061647 -41.5030912154492|   5.981 -4.021   |10.68    |~              |    ~     ~    |    1| 1725.923   pc  | -64.6402    +64.6402  |paral   |2020yCat.1350....0G
3372|TYC 5787-208-1                                                                                           |Star                                  |21 40 19.9929648264 -08 58 08.952453552|045.5641994488913 -41.4428942850339|  3.210 -10.837   |10.89    |~              |    ~     ~    |    1| 1039.501   pc  | -18.2615    +18.2615  |paral   |2020yCat.1350....0G
3373|TYC 5787-249-1                                                                                           |High Proper Motion Star               |21 35 31.6457113152 -09 08 13.574669784|044.6248428405169 -40.4770908896821|-14.443 -103.227  |10.68    |~              |    ~     ~    |    1|  104.611   pc  |  -0.1970     +0.1970  |paral   |2020yCat.1350....0G
3374|TYC 5787-310-1                                                                                           |Star                                  |21 37 03.8314358544 -09 05 13.988937984|044.9181643714606 -40.7881782615306|   3.585 -4.621   |10.86    |~              |    ~     ~    |    1|  510.386   pc  |  -5.4964     +5.4964  |paral   |2020yCat.1350....0G
3375|TYC 5787-669-1                                                                                           |Star                                  |21 40 23.1836480112 -07 39 44.423936604|047.0908097399607 -40.8216876920453|  5.291 -13.526   |10.93    |~              |    ~     ~    |    1| 1478.415   pc  | -36.2828    +36.2828  |paral   |2020yCat.1350....0G
3376|TYC 5787-908-1                                                                                           |Star                                  |21 39 33.8886239664 -07 44 00.095593056|046.8772334804456 -40.6792228760178|  -0.038 -3.858   |10.988   |~              |    ~     ~    |    1|  996.497   pc  | -55.6200    +55.6200  |ST-L    |2020AJ....160...83S
3377|TYC 5788-851-1                                                                                           |Star                                  |21 43 10.1154247176 -08 26 25.836854136|046.6351014452748 -41.8028524740453|-13.782 -15.591   |10.86    |~              |    ~     ~    |    1|  428.803   pc  | -13.8900    +13.8900  |ST-L    |2020AJ....160...83S
3378|TYC 5790-19-1                                                                                            |Star                                  |21 33 06.3595240920 -09 38 51.265282056|043.6673159400577 -40.1864285196116|  26.986 15.535   |10.99    |~              |    ~     ~    |    1|  152.332   pc  |  -0.5453     +0.5453  |paral   |2020yCat.1350....0G
3379|TYC 5790-234-1                                                                                           |Star                                  |21 30 05.2462321704 -09 24 37.660652712|043.4935340249731 -39.4168380526572|   -2.215 0.905   |10.42    |~              |    ~     ~    |    1| 1032.525   pc  | -19.0833    +19.0833  |paral   |2020yCat.1350....0G
3380|2MASS J21333377-0951238                                                                                  |Long-Period Variable                  |21 33 33.7786950672 -09 51 23.901405984|043.4921079264384 -40.3826994784958|   5.173 -9.230   |10.50    |~              |    ~     ~    |    1| 2689.618   pc  |-170.7235   +170.7235  |paral   |2020yCat.1350....0G
3381|TYC 5790-352-1                                                                                           |Star                                  |21 33 05.3227712808 -10 44 05.609504832|042.3930511532816 -40.6778891613402|   9.061 -6.525   |10.70    |~              |    ~     ~    |    1| 1710.279   pc  | -64.3512    +64.3512  |paral   |2020yCat.1350....0G
3382|TYC 5790-534-1                                                                                           |Star                                  |21 33 48.7114153320 -10 16 15.072949560|043.0445442981381 -40.6266646155188|   7.749 -2.974   |10.93    |~              |    ~     ~    |    1|  671.051   pc  |  -7.5652     +7.5652  |paral   |2020yCat.1350....0G
3383|TYC 5790-587-1                                                                                           |Star                                  |21 33 42.1062921216 -10 03 58.595061960|043.2679135579577 -40.5092139208108| -12.004 26.983   |10.94    |~              |    ~     ~    |    1|  119.975   pc  |  -0.2720     +0.2720  |paral   |2020yCat.1350....0G
3384|TYC 5791-60-1                                                                                            |Star                                  |21 38 09.4178527824 -10 50 21.862022604|043.0145907169540 -41.8362658178850| 18.572 -10.036   |10.87    |~              |    ~     ~    |    1|  781.128   pc  | -11.5931    +11.5931  |paral   |2020yCat.1350....0G
3385|TYC 5791-494-1                                                                                           |Star                                  |21 39 33.9185834784 -10 05 34.396772964|044.1178980700235 -41.8031237877353|  17.837 -8.365   |10.857   |~              |    ~     ~    |    1|  478.606   pc  |  -4.6729     +4.6729  |paral   |2020yCat.1350....0G
3386|TYC 5791-570-1                                                                                           |Star                                  |21 41 55.2516801192 -10 06 37.477753776|044.4586368299720 -42.3250805054416|  -6.123 -9.326   |10.755   |~              |    ~     ~    |    1|  622.007   pc  | -23.4500    +23.4500  |ST-L    |2020AJ....160...83S
3387|TYC 5791-730-1                                                                                           |Star                                  |21 36 13.7384386944 -10 36 36.412783092|043.0015817681424 -41.3101899271777|  29.718 -3.137   |10.79    |~              |    ~     ~    |    1|  340.611   pc  |  -2.8656     +2.8656  |paral   |2020yCat.1350....0G
3388|TYC 5791-1155-1                                                                                          |Star                                  |21 40 20.7103752504 -09 39 30.397938912|044.7535099508924 -41.7710684272428| -12.444 -8.440   |10.57    |~              |    ~     ~    |    1| 1271.294   pc  | -29.7379    +29.7379  |paral   |2020yCat.1350....0G
3389|TYC 5792-773-2                                                                                           |Star                                  |21 43 34.188 -11 08 07.99              |043.470883 -43.155045              |      18.7 33.0   |10.13    |~              |    ~     ~    |    0|                |                       |        |                   
3390|TYC 5794-120-1                                                                                           |Star                                  |21 32 19.9555373256 -11 55 32.725262172|040.8721098957951 -41.0374272967987|  -4.969 -3.717   |10.95    |~              |    ~     ~    |    1|  944.555   pc  | -13.4720    +13.4720  |paral   |2020yCat.1350....0G
3391|TYC 5794-321-1                                                                                           |Star                                  |21 32 33.6851654904 -12 08 17.483931708|040.6500775106308 -41.1798039248525|  -7.996 -4.556   |10.98    |~              |    ~     ~    |    1|  567.601   pc  |  -5.2514     +5.2514  |paral   |2020yCat.1350....0G
3392|TYC 5795-717-1                                                                                           |Star                                  |21 40 01.5903910128 -12 06 26.107415064|041.7537174863391 -42.8100476054052|   6.895 -3.841   |10.92    |~              |    ~     ~    |    1| 1603.592   pc  | -39.8584    +39.8584  |paral   |2020yCat.1350....0G
3393|TYC 5795-760-1                                                                                           |Star                                  |21 41 50.6548919448 -12 05 13.794528156|042.0444259924988 -43.2007524829963|  20.526 -0.911   |10.96    |~              |    ~     ~    |    1|  465.614   pc  |  -4.3143     +4.3143  |paral   |2020yCat.1350....0G
3394|TYC 5798-46-1                                                                                            |Star                                  |21 33 54.0310464288 -13 43 36.428154384|038.9062865386006 -42.1458096883863|    0.959 2.985   |10.71    |~              |    ~     ~    |    1|  854.774   pc  | -17.3161    +17.3161  |paral   |2020yCat.1350....0G
3395|TYC 5799-40-1                                                                                            |Star                                  |21 35 58.1935995024 -13 37 40.234811700|039.3092713953023 -42.5626849065554|  -3.784 -6.469   |10.93    |~              |    ~     ~    |    1|  423.872   pc  |  -4.0964     +4.0964  |paral   |2020yCat.1350....0G
3396|TYC 5799-176-1                                                                                           |Star                                  |21 36 15.7882901472 -13 53 47.735976192|039.0163883335453 -42.7384504134845| -3.096 -14.634   |10.73    |~              |    ~     ~    |    1| 1999.200   pc  | -59.9520    +59.9520  |paral   |2020yCat.1350....0G
3397|TYC 5799-428-1                                                                                           |Star                                  |21 38 15.6056884368 -13 47 26.097547776|039.4212390113055 -43.1363985636880|  2.665 -20.799   |10.994   |~              |    ~     ~    |    1| 1081.100   pc  | -92.2200    +92.2200  |ST-L    |2020AJ....160...83S
3398|TYC 5799-630-1                                                                                           |Star                                  |21 34 53.3212239384 -13 42 05.294391948|039.0711616050232 -42.3540065901217|  -5.820 -0.410   |10.950   |~              |    ~     ~    |    1|  775.463   pc  | -49.6600    +49.6600  |ST-L    |2020AJ....160...83S
3399|TYC 5799-918-1                                                                                           |Star                                  |21 41 34.4190677256 -14 28 23.098351836|039.0155710922169 -44.1487949466882| -9.442 -17.259   |10.93    |~              |    ~     ~    |    1|  422.827   pc  | -11.0700    +11.0700  |ST-L    |2020AJ....160...83S
3400|TYC 5800-343-1                                                                                           |Star                                  |21 42 55.8777700656 -13 58 27.409094832|039.8382344496858 -44.2445894840159|-15.219 -10.230   |10.995   |~              |    ~     ~    |    1| 1663.790   pc  |-206.5000   +206.5000  |ST-L    |2020AJ....160...83S
