C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:40:01

Vmag< 11&dec >=0&rah >=19.25&rah< 19.5
--------------------------------------

Number of objects : 7704

 #  |                                                                 identifier                                                                 |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type     |      ang. size      
----|--------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-------------------|---------------------
6418|BD+41 3304                                                                                                                                  |Star                           |19 18 48.5463182400 +41 55 27.515838756|073.6167380901953 +13.0481256563006| -9.237 -10.069    |8.57     |K0                 |    ~     ~          
6419|BD+41 3305                                                                                                                                  |Star                           |19 18 56.7357876528 +42 03 54.003222036|073.7587093002410 +13.0843395213068|    4.879 5.862    |9.57     |K0                 |    ~     ~          
6420|BD+41 3307                                                                                                                                  |Red Giant Branch star          |19 19 05.6417001144 +41 34 05.176336656|073.3083689367713 +12.8496563181962|   3.232 -5.744    |9.29     |K0                 |    ~     ~          
6421|HD 181679                                                                                                                                   |Eruptive Variable              |19 19 33.6872789808 +41 16 16.111766496|073.0706849995018 +12.6444192757189|-36.680 -21.882    |7.69     |K2III              |    ~     ~          
6422|HD 181877                                                                                                                                   |delta Sct Variable             |19 20 19.4288676648 +41 39 39.836336976|073.4946446329343 +12.6809231046085|  25.854 21.103    |8.88     |F1.5IVsmA9         |    ~     ~          
6423|BD+40 3664                                                                                                                                  |Eruptive Variable              |19 18 46.3067441520 +41 00 13.192177860|072.7577888742466 +12.6655326716564|   16.456 3.701    |9.19     |M0II               |    ~     ~          
6424|BD+40 3667                                                                                                                                  |Star                           |19 18 59.9551714704 +40 44 17.648995668|072.5302625602387 +12.5138983948295|    6.337 5.976    |10.17    |F0IV               |    ~     ~          
6425|HD 181654                                                                                                                                   |gamma Dor Variable             |19 19 27.2126905392 +41 13 25.536001296|073.0178940164371 +12.6426520726762|    6.762 6.690    |8.16     |F1IV-V             |    ~     ~          
6426|V* V476 Lyr                                                                                                                                 |Long-Period Variable           |19 19 49.8310647072 +40 47 08.294429616|072.6428736900492 +12.3917020595845| -8.853 -22.175    |9.73     |~                  |    ~     ~          
6427|** COU 2397                                                                                                                                 |Double or Multiple Star        |19 19 30.0 +41 25 00                   |073.2007 +12.7166                  |            ~ ~    |9.1      |~                  |    ~     ~          
6428|BD+40 3666                                                                                                                                  |delta Sct Variable             |19 18 59.3103798792 +40 33 52.229279268|072.3683581382633 +12.4418141951797|  -1.916 -9.962    |9.44     |A5IVs              |    ~     ~          
6429|BD+40 3668                                                                                                                                  |Star                           |19 19 18.7050024648 +40 36 08.321331420|072.4301562306616 +12.4024009051329|   4.099 12.096    |9.11     |K4III              |    ~     ~          
6430|HD 181680                                                                                                                                   |delta Sct Variable             |19 19 36.1022871888 +40 35 07.247957820|072.4384996199278 +12.3453816621630| -0.127 -15.561    |8.05     |A0                 |0.0017  0.0          
6431|HD 181962                                                                                                                                   |Star                           |19 20 36.0080392032 +42 33 14.986647540|074.3464410593004 +13.0134385112523|   6.731 28.370    |8.70     |A3                 |    ~     ~          
6432|HD 182054                                                                                                                                   |Variable Star                  |19 21 02.8153312920 +42 41 13.066239084|074.5056345106570 +12.9952138718606|-15.611 -39.154    |7.03     |K0                 |    ~     ~          
6433|BD+42 3320                                                                                                                                  |Star                           |19 22 36.3318779112 +42 26 10.478465628|074.3984135936244 +12.6287489328070| -5.377 -12.124    |9.04     |G5                 |    ~     ~          
6434|BD+42 3324                                                                                                                                  |Horizontal Branch Star         |19 23 02.9827150944 +42 23 30.769838880|074.3933804664268 +12.5356614257902|  6.812 -10.150    |10.11    |K                  |    ~     ~          
6435|HD 182487                                                                                                                                   |Spectroscopic Binary           |19 23 00.3755239536 +42 58 27.067387116|074.9291216323595 +12.7924100817547|    2.800 0.169    |7.001    |A0                 |    ~     ~          
6436|HD 182755                                                                                                                                   |Star                           |19 24 17.9555291040 +42 55 22.251263448|074.9856774700625 +12.5566680468378|   9.439 -5.458    |8.63     |F5IV               |    ~     ~          
6437|AG+42 1695                                                                                                                                  |gamma Dor Variable             |19 25 01.7707840320 +42 26 50.461659060|074.6061264539617 +12.2300425727845|   -0.050 1.287    |10.62    |F0                 |    ~     ~          
6438|BD+42 3334                                                                                                                                  |Star                           |19 25 04.7657391384 +42 41 31.267296348|074.8358239719571 +12.3278812521963|  -4.474 -3.364    |10.06    |A7IV               |    ~     ~          
6439|BD+42 3335                                                                                                                                  |Star                           |19 25 05.2553789640 +42 53 06.192468492|075.0146116950636 +12.4101389360163|   0.759 -3.001    |10.43    |K0                 |    ~     ~          
6440|BD+42 3336                                                                                                                                  |Rotating Variable              |19 25 10.9212085896 +42 26 59.834865408|074.6210253367471 +12.2058307140126|  -0.698 -0.921    |9.35     |B8V                |    ~     ~          
6441|BD+42 3337                                                                                                                                  |High Proper Motion Star        |19 25 25.9075467552 +42 57 09.307467612|075.1048794629840 +12.3825909416368|-49.880 -59.691    |10.26    |G5V                |    ~     ~          
6442|BD+42 3339                                                                                                                                  |Rotating Variable              |19 25 59.3297612712 +42 43 42.485027700|074.9436898869376 +12.1932496650818|   1.338 24.337    |10.94    |F8V                |    ~     ~          
6443|HD 183125                                                                                                                                   |Star                           |19 26 05.4973271424 +42 19 34.312550880|074.5819365223311 +12.0007347837159|  18.022 43.919    |7.98     |A2                 |    ~     ~          
6444|BD+42 3343                                                                                                                                  |Horizontal Branch Star         |19 26 51.6490135056 +42 46 35.580605916|075.0593981595024 +12.0702117142805|  -4.566 -1.167    |10.73    |K                  |    ~     ~          
6445|BD+42 3347                                                                                                                                  |Star                           |19 27 24.7428590184 +42 30 47.740775400|074.8629725867151 +11.8636096462619| -2.547 -11.804    |8.95     |K5                 |    ~     ~          
6446|BD+42 3356                                                                                                                                  |Pulsating Variable             |19 29 04.1146949136 +42 19 16.633998516|074.8249974894184 +11.5045742288926|   0.606 -2.452    |9.97     |B9IV               |    ~     ~          
6447|BD+42 3358                                                                                                                                  |Star                           |19 29 14.8215474840 +42 19 54.694940520|074.8496142480535 +11.4797209416473| -2.099 -25.892    |10.00    |K0                 |    ~     ~          
6448|HD 183787                                                                                                                                   |delta Sct Variable             |19 29 19.0558563264 +42 38 29.140847088|075.1386103276469 +11.6055267631295|   2.183 -0.004    |8.44     |A3IVn              |    ~     ~          
6449|HD 183383                                                                                                                                   |Star                           |19 27 24.4220154480 +42 13 45.497657964|074.6020202362646 +11.7395750784677| 10.678 -25.039    |7.57     |B9                 |    ~     ~          
6450|TYC 3142-1214-1                                                                                                                             |Star                           |19 24 10.3972670784 +42 47 20.525904384|074.8517829402941 +12.5198447636185|   4.988 -4.596    |10.81    |K3III              |    ~     ~          
6451|BD+41 3315                                                                                                                                  |High Proper Motion Star        |19 20 29.3442099120 +41 17 28.510142676|073.1653761884050 +12.4953113969530|   7.848 53.750    |9.38     |F9IV-V             |    ~     ~          
6452|BD+41 3316                                                                                                                                  |Eruptive Variable              |19 20 48.9258205392 +41 51 31.273151868|073.7179401957882 +12.6820842929235|   -2.032 2.099    |9.83     |K0                 |    ~     ~          
6453|BD+41 3327                                                                                                                                  |Double or Multiple Star        |19 22 24.7230 +42 05 20.952            |074.0614018 +12.5123170            |        7.8 3.8    |9.59     |F2                 |    ~     ~          
6454|BD+41 3330                                                                                                                                  |High Proper Motion Star        |19 23 02.3993391816 +41 26 01.153583448|073.5075040060016 +12.1243040749367|-46.481 -138.817   |9.25     |F8                 |    ~     ~          
6455|BD+41 3331                                                                                                                                  |Star                           |19 23 17.3029531608 +41 59 13.000950348|074.0385893132036 +12.3214616260624|  -3.390 10.351    |9.81     |G5                 |    ~     ~          
6456|BD+41 3332                                                                                                                                  |Star                           |19 23 20.1115141272 +41 46 25.472781444|073.8456326428964 +12.2215575167754|   -4.793 1.396    |10.17    |K0                 |    ~     ~          
6457|HD 182591                                                                                                                                   |Star                           |19 23 33.3653792568 +41 17 00.442773600|073.4119958919373 +11.9719432297384|   2.220 -5.093    |8.68     |~                  |    ~     ~          
6458|BD+41 3334                                                                                                                                  |Star                           |19 23 35.8850466600 +41 22 21.279542988|073.4975732171546 +12.0035220784435|    3.162 6.616    |9.31     |K0                 |    ~     ~          
6459|BD+41 3338                                                                                                                                  |Star                           |19 24 11.1933479232 +42 03 09.726975180|074.1730661763832 +12.1994652487419|-30.936 -37.243    |9.19     |G8IV-V             |    ~     ~          
6460|BD+41 3342                                                                                                                                  |Star                           |19 25 15.8678832216 +41 55 00.508330560|074.1369675764320 +11.9599979436258|  -3.263 -8.676    |10.13    |F8                 |    ~     ~          
6461|BD+41 3344                                                                                                                                  |Star                           |19 25 43.0794565944 +41 39 47.742412824|073.9417068928109 +11.7731357781057|  -0.985 -9.090    |10.30    |F3/F5V             |    ~     ~          
6462|HD 183054                                                                                                                                   |Rotating Variable              |19 25 50.3155318200 +41 48 13.525284528|074.0808016012831 +11.8144401252797| 11.360 -16.773    |9.09     |A3                 |    ~     ~          
6463|HD 183159                                                                                                                                   |High Proper Motion Star        |19 26 19.3088534112 +41 52 12.722677572|074.1821131286945 +11.7626698895593|-66.793 -65.931    |8.58     |G1V                |    ~     ~          
6464|BD+41 3347                                                                                                                                  |Star                           |19 26 31.7665250280 +41 51 26.842358196|074.1877551069452 +11.7223429745134| -4.927 -46.024    |9.39     |G0                 |    ~     ~          
6465|HD 183281                                                                                                                                   |delta Sct Variable             |19 27 01.5256327080 +41 29 08.945936916|073.8888050267412 +11.4754925532417|   3.982 13.868    |8.71     |F2.5Vn             |    ~     ~          
6466|BD+41 3351                                                                                                                                  |High Proper Motion Star        |19 27 23.0214516336 +41 43 43.674412980|074.1414512563731 +11.5227244071018|   2.089 49.919    |9.85     |F5                 |    ~     ~          
6467|HD 183416                                                                                                                                   |Star                           |19 27 41.2701510744 +41 39 13.964242608|074.0985030623472 +11.4386688660351|   0.365 -0.927    |8.69     |A0                 |    ~     ~          
6468|BD+41 3356                                                                                                                                  |Long-Period Variable           |19 27 46.9193004480 +41 58 25.828036932|074.3992634112000 +11.5644592251964|  -4.809 -4.996    |9.06     |M0                 |    ~     ~          
6469|BD+41 3358                                                                                                                                  |Star                           |19 27 56.7595862544 +42 00 29.238368976|074.4444000814328 +11.5522810325951|  -5.608 -7.006    |8.86     |K2                 |    ~     ~          
6470|BD+41 3359                                                                                                                                  |Rotating Variable              |19 28 03.0461145456 +41 37 13.067623272|074.0984461426324 +11.3629977527582|  2.400 -10.545    |9.55     |G0.5IV             |    ~     ~          
6471|BD+41 3364                                                                                                                                  |Horizontal Branch Star         |19 29 20.7366533088 +42 05 36.596270184|074.6401124277498 +11.3573349573811|  4.212 -19.689    |8.69     |K0                 |    ~     ~          
6472|BD+41 3365                                                                                                                                  |Eruptive Variable              |19 29 28.3734567048 +41 38 42.197108964|074.2416785514905 +11.1360819116202|  -7.094 -7.950    |9.89     |K3III              |    ~     ~          
6473|BD+41 3366                                                                                                                                  |Rotating Variable              |19 29 42.1862930256 +41 38 47.912373636|074.2627234076936 +11.0983225348906|   0.059 -3.354    |10.65    |A9V                |    ~     ~          
6474|BD+40 3677                                                                                                                                  |Star                           |19 20 30.4696043160 +40 47 59.201721960|072.7120945767483 +12.2818801299510|  20.131 -9.182    |9.18     |K2III              |    ~     ~          
6475|HD 181902                                                                                                                                   |delta Sct Variable             |19 20 31.6894093800 +41 04 48.437108184|072.9731188279558 +12.3984363309981|   3.145 -2.083    |9.03     |A2III              |    ~     ~          
6476|BD+40 3679                                                                                                                                  |Horizontal Branch Star         |19 20 38.7167515056 +40 55 45.608126088|072.8433010669557 +12.3139160164638|  21.225 27.047    |8.42     |G5                 |    ~     ~          
6477|BD+40 3683                                                                                                                                  |Long-Period Variable           |19 21 18.2293501104 +41 03 12.780905940|073.0126964951846 +12.2549578891348|  -2.262 -9.621    |10.28    |M2                 |    ~     ~          
6478|HD 182192                                                                                                                                   |Star                           |19 21 42.0847805712 +41 05 48.159184236|073.0855362024130 +12.2058667466298|    3.469 1.590    |9.05     |A0.5nn:            |    ~     ~          
6479|BD+40 3686                                                                                                                                  |Horizontal Branch Star         |19 21 42.5290465752 +41 12 56.360686500|073.1960184021083 +12.2557800198977|    3.903 1.999    |9.95     |K0                 |    ~     ~          
6480|BD+40 3689                                                                                                                                  |High Proper Motion Star        |19 22 22.6386446664 +40 59 42.552718188|073.0480414719689 +12.0470888100835| -32.648 60.756    |9.30     |K0IV               |    ~     ~          
6481|BD+40 3690                                                                                                                                  |Star                           |19 22 34.7599459776 +41 06 55.836284616|073.1758535018508 +12.0647777856291|    7.304 8.000    |8.91     |K0                 |    ~     ~          
6482|BD+40 3696                                                                                                                                  |Red Giant Branch star          |19 23 16.8831493824 +40 42 21.456635544|072.8575192908647 +11.7676103743477|-17.362 -48.833    |8.93     |K2                 |    ~     ~          
6483|HD 182615                                                                                                                                   |Eclipsing Binary               |19 23 44.6324913192 +40 47 13.979475168|072.9711991316875 +11.7241584514262|    7.385 1.088    |7.96     |B8                 |    ~     ~          
6484|BD+40 3702                                                                                                                                  |Star                           |19 23 45.6654202152 +41 00 48.339017136|073.1806311297916 +11.8197926637213|  -2.033 -3.047    |9.98     |B9.5Vn             |    ~     ~          
6485|BD+40 3713                                                                                                                                  |Star                           |19 25 20.2807929888 +40 51 12.516842124|073.1667962974382 +11.4820014362584|  -0.887 -0.328    |9.32     |M0                 |    ~     ~          
6486|BD+40 3714                                                                                                                                  |Rotating Variable              |19 25 37.1835598392 +40 35 36.547079352|072.9526169899293 +11.3196308142137|   0.265 -0.896    |9.42     |B9IV               |    ~     ~          
6487|BD+40 3716                                                                                                                                  |Star                           |19 25 39.3079335144 +40 57 54.761794128|073.2960813093879 +11.4773182454499|   11.095 9.901    |9.76     |F0IV               |    ~     ~          
6488|HD 183055                                                                                                                                   |Star                           |19 25 53.8719217104 +41 11 52.728043704|073.5299446346766 +11.5386224830867|  -0.700 -4.977    |7.87     |K2                 |    ~     ~          
6489|BD+40 3719                                                                                                                                  |Star                           |19 26 02.5388438352 +40 42 03.318425316|073.0870059704449 +11.2950985685822|  -2.960 -7.163    |9.60     |A2                 |    ~     ~          
6490|BD+40 3721                                                                                                                                  |Star                           |19 26 01.5777244920 +41 15 50.651461512|073.6013632233242 +11.5460067274746|   -2.541 1.818    |9.52     |B9.5Vn             |    ~     ~          
6491|BD+40 3722                                                                                                                                  |Pulsating Variable             |19 26 05.2486748928 +40 59 55.060364688|073.3633528541304 +11.4187741903599|  -2.984 -2.450    |9.13     |B7IV               |    ~     ~          
6492|BD+40 3723                                                                                                                                  |Star                           |19 26 07.8510816840 +40 29 39.229608444|072.9055393343427 +11.1886787138159|  -1.314 -4.258    |8.71     |F0                 |    ~     ~          
6493|HD 183100                                                                                                                                   |Star                           |19 26 11.9798670456 +40 37 29.823676392|073.0309568713826 +11.2347632807287|  25.698 25.430    |7.83     |K3III              |    ~     ~          
6494|BD+40 3727                                                                                                                                  |Star                           |19 26 32.1186216624 +40 54 39.379710024|073.3211697457417 +11.3041951578021| 17.209 -30.618    |9.60     |F8                 |    ~     ~          
6495|BD+40 3728                                                                                                                                  |Double or Multiple Star        |19 26 43.5836 +40 19 21.789            |072.8000715 +11.0110354            |   6.284 -3.149    |9.72     |A5                 |    ~     ~          
6496|BD+40 3730                                                                                                                                  |Spectroscopic Binary           |19 27 05.2365612576 +41 05 53.024132616|073.5392833086284 +11.2936011806196|    5.636 9.472    |9.92     |F5IV               |    ~     ~          
6497|BD+40 3731                                                                                                                                  |Eruptive Variable              |19 27 07.7510179368 +41 02 53.288108196|073.4972076650810 +11.2644049670202|  1.644 -18.035    |8.62     |K2                 |    ~     ~          
6498|BD+40 3733                                                                                                                                  |Star                           |19 27 19.8687061272 +40 36 48.649073580|073.1175449179919 +11.0372416135779| -7.179 -11.993    |9.42     |K0III              |    ~     ~          
6499|BD+40 3734                                                                                                                                  |delta Sct Variable             |19 27 38.0909216832 +40 53 02.110716456|073.3903986033981 +11.1059753438126|   0.071 -6.343    |9.35     |K0III-IV           |    ~     ~          
6500|BD+40 3737                                                                                                                                  |Star                           |19 28 17.3967485592 +40 22 22.987882272|072.9812100662960 +10.7668196352079|   8.445 12.280    |9.26     |A5                 |    ~     ~          
6501|BD+40 3738                                                                                                                                  |Star                           |19 28 16.9354845432 +41 01 08.832600264|073.5692199284592 +11.0567176383800|  -3.736 -8.946    |9.44     |K5                 |    ~     ~          
6502|BD+40 3744                                                                                                                                  |Star                           |19 28 37.3436227752 +40 20 19.268711664|072.9788166001995 +10.6948003981525|  -1.043 -4.426    |10.49    |F5V                |    ~     ~          
6503|HD 183613                                                                                                                                   |Eclipsing Binary               |19 28 38.3650505376 +41 11 53.602790208|073.7631345829383 +11.0763779764279| -7.042 -16.598    |8.840    |A                  |    ~     ~          
6504|BD+40 3755                                                                                                                                  |High Proper Motion Star        |19 29 44.7115568400 +41 17 12.038961552|073.9384489456814 +10.9300334439498|-70.264 -52.745    |9.58     |F8                 |    ~     ~          
6505|BD+39 3785                                                                                                                                  |Star                           |19 29 56.2073115504 +40 09 59.008265892|072.9371478109870 +10.3933015233900|  0.342 -11.229    |10.46    |K0                 |    ~     ~          
6506|V* TT Lyr                                                                                                                                   |Eclipsing Binary               |19 27 36.3129014712 +41 42 05.530811148|074.1351442376311 +11.4735918565798|  -2.058 -7.358    |10.88    |B2V                |    ~     ~          
6507|BD+40 3704                                                                                                                                  |delta Sct Variable             |19 24 18.101952 +40 38 58.86600        |072.892030860 +11.568998525        |       4.1 -0.9    |9.91     |F5V                |    ~     ~          
6508|IRAS 19213+4032                                                                                                                             |Star                           |19 23 02.4542240064 +40 38 31.962256224|072.7786231710920 +11.7809352501327|  -3.245 -6.672    |10.28    |~                  |    ~     ~          
6509|IRAS 19273+4022                                                                                                                             |Star                           |19 29 01.1203464120 +40 28 51.772927548|073.1427369427583 +10.6912601164416|  -0.130 -2.269    |9.66     |~                  |    ~     ~          
6510|StKM 1-1702                                                                                                                                 |Red Giant Branch star          |19 27 01.3040997336 +42 35 47.819420628|074.9072458860782 +11.9648366544165| -4.088 -13.490    |10.38    |K4                 |    ~     ~          
6511|BD+40 3695                                                                                                                                  |Horizontal Branch Star         |19 23 07.4628847344 +40 17 48.624880992|072.4681780763690 +11.6162544701845| -3.561 -17.636    |10.18    |K1IV               |    ~     ~          
6512|HD 182756                                                                                                                                   |Star                           |19 24 30.3488274144 +40 19 23.671912908|072.6100033917052 +11.3910030873530|  6.347 -40.610    |8.31     |G1V                |    ~     ~          
6513|HD 183160                                                                                                                                   |Star                           |19 26 32.2529168016 +40 08 09.205333872|072.6132514796876 +10.9603412084009|  12.696 -1.513    |8.52     |A0                 |    ~     ~          
6514|TYC 3125-99-1                                                                                                                               |Rotating Variable              |19 19 53.4929972784 +41 09 12.166052076|072.9885486332096 +12.5381354166046|    4.843 9.631    |9.86     |A7V                |    ~     ~          
6515|TYC 3125-155-1                                                                                                                              |Star                           |19 19 19.6660580160 +41 13 05.570137272|073.0024544323957 +12.6617101789584|  -3.287 -2.218    |10.46    |~                  |    ~     ~          
6516|TYC 3125-212-1                                                                                                                              |Star                           |19 19 49.1081510208 +40 40 55.468116732|072.5460120735973 +12.3495249099369|  10.403 -0.121    |10.29    |G2V                |    ~     ~          
6517|TYC 3129-42-1                                                                                                                               |Rotating Variable              |19 19 34.5787536 +41 24 29.957356      |073.1991944700 +12.7001510857      |      -4.3 -2.0    |10.83    |F6V                |    ~     ~          
6518|TYC 3129-59-1                                                                                                                               |Emission-line Star             |19 19 26.3179817160 +42 13 21.263347560|073.9449447915094 +13.0678107655006|   10.494 2.471    |10.71    |A2V                |    ~     ~          
6519|TYC 3129-205-1                                                                                                                              |Star                           |19 19 02.3197184664 +42 40 58.990225044|074.3422839489730 +13.3282653425411|    2.026 7.690    |9.69     |K2II               |    ~     ~          
6520|TYC 3129-232-1                                                                                                                              |Red Giant Branch star          |19 19 34.5940370112 +41 28 51.059967060|073.2665406538181 +12.7308857034170|-14.045 -24.539    |10.78    |K2III              |    ~     ~          
6521|TYC 3129-284-1                                                                                                                              |Red Giant Branch star          |19 18 53.5429419240 +41 28 36.983191944|073.2072642625642 +12.8453217194128|   4.080 -4.362    |10.19    |~                  |    ~     ~          
6522|TYC 3129-333-1                                                                                                                              |Star                           |19 19 33.4766569968 +42 11 15.308926080|073.9219429994394 +13.0330229881980|  -3.243 -2.133    |10.74    |~                  |    ~     ~          
6523|TYC 3129-365-1                                                                                                                              |Horizontal Branch Star         |19 19 33.3756708504 +41 44 56.716999764|073.5140333559821 +12.8479971331484|    5.066 6.334    |9.93     |~                  |    ~     ~          
6524|TYC 3129-428-1                                                                                                                              |Rotating Variable              |19 19 54.1048160544 +42 04 01.372081548|073.8374645052655 +12.9243202047171|   22.061 8.568    |10.97    |F6IV               |    ~     ~          
6525|TYC 3138-25-1                                                                                                                               |Star                           |19 21 07.9274937336 +40 57 16.788089016|072.9070786879497 +12.2417331550387|  10.944 37.407    |10.47    |~                  |    ~     ~          
6526|TYC 3138-35-1                                                                                                                               |Star                           |19 28 01.8253094160 +41 02 14.834814180|073.5643849161359 +11.1074072214106| -7.396 -20.517    |10.29    |F6IV-Vs            |    ~     ~          
6527|TYC 3138-58-1                                                                                                                               |Star                           |19 28 57.0038589384 +40 25 34.296049164|073.0868932631091 +10.6782962387815|   2.231 -0.575    |10.13    |~                  |    ~     ~          
6528|TYC 3138-68-1                                                                                                                               |Star                           |19 28 36.4141113624 +40 30 28.982712672|073.1315713623584 +10.7733410004330| -4.110 -14.477    |9.93     |~                  |    ~     ~          
6529|TYC 3138-97-1                                                                                                                               |Horizontal Branch Star         |19 22 51.0070140240 +40 58 23.046483684|073.0671722535818 +11.9570917979506|   4.401 -0.402    |10.31    |G6V                |    ~     ~          
6530|TYC 3138-113-1                                                                                                                              |Red Giant Branch star          |19 21 31.7336811384 +40 52 39.712515924|072.8689735344736 +12.1409615335995| -1.364 -11.703    |10.92    |K0III              |    ~     ~          
6531|TYC 3138-117-1                                                                                                                              |Red Giant Branch star          |19 28 06.9749859120 +40 49 29.906648976|073.3779269418161 +10.9982201906782|  -5.117 -3.792    |10.75    |~                  |    ~     ~          
6532|TYC 3138-119-1                                                                                                                              |Star                           |19 21 46.9774518600 +40 59 06.407669688|072.9892739120735 +12.1439298794864|  -0.984 -6.250    |10.57    |~                  |    ~     ~          
6533|TYC 3138-134-1                                                                                                                              |Horizontal Branch Star         |19 23 26.4442709520 +40 19 38.587202040|072.5230983373402 +11.5753193862058|  -2.091 -8.015    |10.91    |~                  |    ~     ~          
6534|TYC 3138-159-1                                                                                                                              |Star                           |19 26 17.6348653488 +40 58 43.440743604|073.3626673666205 +11.3750369172323|   -1.324 0.527    |9.74     |~                  |    ~     ~          
6535|TYC 3138-186-1                                                                                                                              |Star                           |19 23 01.1642995848 +40 29 01.052180916|072.6309613284245 +11.7156193504261|  -1.279 -7.113    |10.40    |~                  |    ~     ~          
6536|TYC 3138-205-1                                                                                                                              |Spectroscopic Binary           |19 28 35.6224160976 +41 14 48.750046116|073.8036011507546 +11.1057710803873|   0.023 53.635    |10.69    |F5                 |    ~     ~          
6537|TYC 3138-289-1                                                                                                                              |Rotating Variable              |19 22 15.1188237408 +40 50 21.491605032|072.8938916262717 +12.0010565576705|   1.476 10.384    |9.68     |A6m                |    ~     ~          
6538|TYC 3138-309-1                                                                                                                              |Horizontal Branch Star         |19 21 23.9864524608 +40 52 27.970569264|072.8552133472327 +12.1615874606797|   2.215 -4.438    |10.56    |~                  |    ~     ~          
6539|TYC 3138-320-1                                                                                                                              |Star                           |19 26 47.0960560632 +40 18 38.379330000|072.7941161046058 +10.9956811907758|  -2.772 -5.351    |10.61    |~                  |    ~     ~          
6540|TYC 3138-332-1                                                                                                                              |Star                           |19 21 03.4067327304 +40 22 33.204623700|072.3664238736099 +12.0055786438423|   -1.674 1.101    |10.30    |~                  |    ~     ~          
6541|TYC 3138-334-1                                                                                                                              |Star                           |19 27 39.0409420680 +40 27 40.776350040|073.0062793886330 +10.9151129615231| -17.100 -9.105    |10.93    |F3V                |    ~     ~          
6542|TYC 3138-342-1                                                                                                                              |Star                           |19 28 05.1190115880 +40 31 16.367234556|073.0984099825793 +10.8678903014580|   5.469 -1.622    |10.66    |~                  |    ~     ~          
6543|TYC 3138-429-1                                                                                                                              |Horizontal Branch Star         |19 29 34.5483778608 +40 54 18.625059468|073.5767228720357 +10.7873392428897|-10.800 -15.656    |10.327   |K0III              |    ~     ~          
6544|TYC 3138-498-1                                                                                                                              |Star                           |19 29 14.8773136656 +40 27 05.721889248|073.1358909922416 +10.6390654571637|  8.285 -42.091    |10.60    |~                  |    ~     ~          
6545|TYC 3138-575-1                                                                                                                              |Horizontal Branch Star         |19 29 18.3969944448 +40 57 04.291672536|073.5953640034283 +10.8534278440512|  -4.853 -1.314    |10.68    |G8III              |    ~     ~          
6546|TYC 3138-593-1                                                                                                                              |Star                           |19 25 12.2925822912 +41 04 33.234989736|073.3594999488043 +11.6022308690178| -1.831 -14.128    |10.01    |~                  |    ~     ~          
6547|TYC 3138-642-1                                                                                                                              |Star                           |19 25 50.2469181168 +40 23 51.365437404|072.7920289068966 +11.1960261667634|  -2.736 -1.319    |10.97    |K1IV               |    ~     ~          
6548|TYC 3138-652-1                                                                                                                              |Star                           |19 26 04.6963156320 +40 29 50.505896688|072.9038965826072 +11.1990293419712|  23.957 -3.335    |10.79    |~                  |    ~     ~          
6549|TYC 3138-657-1                                                                                                                              |Rotating Variable              |19 24 02.2420051872 +40 44 39.481035828|072.9565341075991 +11.6554287390006| -9.023 -25.640    |10.57    |F5V                |    ~     ~          
6550|GSC 03138-00681                                                                                                                             |Double or Multiple Star        |19 21 27.862872 +41 08 37.85604        |073.109438580 +12.266440139        |       6.9 -1.7    |10.86    |F6V                |    ~     ~          
6551|TYC 3138-684-1                                                                                                                              |Star                           |19 27 10.6429569768 +40 27 00.565455564|072.9552520235615 +10.9907512295498|   1.391 -4.791    |10.30    |K3III              |    ~     ~          
6552|TYC 3138-685-1                                                                                                                              |Star                           |19 26 03.4510655040 +40 45 38.652645636|073.1430354988964 +11.3189210489542| -2.453 -13.048    |10.99    |K3III              |    ~     ~          
6553|TYC 3138-707-1                                                                                                                              |Star                           |19 23 48.3553259184 +41 04 20.201105388|073.2385212710377 +11.8378037765154| -6.221 -12.927    |10.72    |~                  |    ~     ~          
6554|TYC 3138-728-1                                                                                                                              |Rotating Variable              |19 26 05.5301102520 +40 18 20.366702100|072.7298612104127 +11.1118321217070|-21.750 -34.390    |10.12    |Flat               |    ~     ~          
6555|GSC 03138-00733                                                                                                                             |Double or Multiple Star        |19 26 01.8991954128 +40 47 51.556006752|073.1746178755307 +11.3396075157736|       0.0 18.5    |10.52    |G0                 |    ~     ~          
