C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:40:01

Vmag< 11&dec >=0&rah >=19.25&rah< 19.5
--------------------------------------

Number of objects : 7704

 #  |                                                                 identifier                                                                 |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type     |      ang. size      
----|--------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-------------------|---------------------
58  |BD+44 3117                                                                                                                                  |Red Giant Branch star          |19 22 44.8892840160 +44 17 25.082475000|076.1318502874266 +13.3941051458880|   -1.096 0.298    |10.13    |F8                 |    ~     ~          
59  |BD+44 3126                                                                                                                                  |Spectroscopic Binary           |19 24 41.8309857936 +44 49 50.960035488|076.7862708142004 +13.3088871026311|   7.121 -2.649    |8.99     |K2III              |    ~     ~          
60  |BD+43 3217                                                                                                                                  |Star                           |19 20 25.6457329536 +43 42 31.640726340|075.4088710372672 +13.5281096037682|  -2.912 -4.511    |10.13    |F6IV               |    ~     ~          
61  |BD+43 3223                                                                                                                                  |Rotating Variable              |19 21 35.1532365192 +44 03 02.271597840|075.8180734132756 +13.4820793800393|  -0.753 -7.778    |10.41    |B8p                |    ~     ~          
62  |TYC 3142-168-1                                                                                                                              |Eruptive Variable              |19 28 04.9390030680 +43 00 06.329260080|075.3666492696508 +11.9678979120365| -11.978 -9.112    |10.24    |~                  |    ~     ~          
63  |TYC 3142-712-1                                                                                                                              |Rotating Variable              |19 29 53.5710992112 +43 00 25.957821420|075.5210697494260 +11.6733594911168|  16.636 22.941    |10.78    |F7V                |    ~     ~          
64  |TYC 3142-988-1                                                                                                                              |Star                           |19 27 13.3896 +43 07 16.979            |075.4062296 +12.1613888            |       6.1 -2.1    |9.53     |~                  |    ~     ~          
65  |TYC 3146-9-1                                                                                                                                |Star                           |19 29 52.3891443096 +43 29 10.981960368|075.9582093875027 +11.8889870756446|    8.684 1.147    |10.97    |~                  |    ~     ~          
66  |TYC 3146-15-1                                                                                                                               |Horizontal Branch Star         |19 24 02.0660269176 +43 19 20.392500864|075.3340736456788 +12.7720208483127|   2.714 -0.939    |10.74    |G8IV               |    ~     ~          
67  |TYC 3146-19-1                                                                                                                               |Star                           |19 29 40.3986329232 +44 59 35.974667868|077.3267636941625 +12.5842435337008|  -0.122 -5.216    |10.10    |K1III-IV           |    ~     ~          
