C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:40:16

dec >=0&rah >=16.75&rah< 17.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3749

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type       |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------------|---------------|-----|----------------|-----------------------|--------|-------------------
79  |BD+74 693                                                                                                |Star                                |16 54 57.9929106672 +74 28 32.175968664|106.6032562469419 +33.7286146313279|  2.334 -24.619   |7.55     |K5                     |    ~     ~    |    1|  517.545   pc  |  -4.5803     +4.5803  |paral   |2020yCat.1350....0G
80  |BD+74 694                                                                                                |Star                                |16 54 53.5229052576 +74 45 37.149737616|106.9250270333884 +33.6317048846480| -13.142 39.397   |9.28     |F8                     |    ~     ~    |    1|  178.849   pc  |  -0.3615     +0.3615  |paral   |2020yCat.1350....0G
81  |BD+73 744                                                                                                |Red Giant Branch star Candidate     |16 46 51.5416983288 +73 40 57.715963932|105.9597747953141 +34.5372694555159|  -7.386 13.276   |9.64     |K0                     |    ~     ~    |    1|  656.599   pc  |  -4.6561     +4.6561  |paral   |2020yCat.1350....0G
82  |BD+73 745                                                                                                |Star                                |16 49 34.1320809192 +73 00 22.369468032|105.1094172933265 +34.6083857947365| 21.632 -15.953   |10.15    |F8                     |    ~     ~    |    1|  328.731   pc  |  -1.6318     +1.6318  |paral   |2020yCat.1350....0G
83  |BD+73 746                                                                                                |Star                                |16 51 21.9943171920 +73 17 44.979427968|105.3803042644473 +34.3825526987686|  8.454 -18.553   |9.89     |G0                     |    ~     ~    |    1|  300.030   pc  |  -1.1972     +1.1972  |paral   |2020yCat.1350....0G
84  |HD 153343                                                                                                |Star                                |16 51 57.9689880144 +73 18 29.809377972|105.3757856703432 +34.3378754015727|   6.419 -6.424   |8.99     |A                      |    ~     ~    |    1|  373.566   pc  |  -5.2192     +5.2192  |paral   |2020yCat.1350....0G
85  |HD 153622                                                                                                |Star                                |16 53 46.1696201688 +72 55 11.662002984|104.8796443035836 +34.3510147634856| -17.143 32.935   |8.02     |K2                     |    ~     ~    |    1|  257.778   pc  |  -1.0831     +1.0831  |paral   |2020yCat.1350....0G
86  |BD+73 750                                                                                                |High Proper Motion Star             |16 53 36.0963340848 +73 44 22.972077816|105.8139287755790 +34.0765635429056|-19.977 104.744   |8.72     |K0                     |    ~     ~    |    1|   55.061   pc  |  -0.0658     +0.0658  |paral   |2020yCat.1350....0G
87  |HD 154099                                                                                                |Star                                |16 56 16.7339188920 +73 07 40.318589928|105.0409446769278 +34.1080914067803| -1.471 -20.618   |6.290    |F0V                    |    ~     ~    |    1|  102.739   pc  |  -0.2185     +0.2185  |paral   |2020yCat.1350....0G
88  |BD+72 758                                                                                                |High Proper Motion Star             |16 53 17.7443646264 +72 28 26.318961120|104.3862595781635 +34.5368607262307|   4.373 63.536   |8.99     |K5                     |    ~     ~    |    1|   60.154   pc  |  -0.0467     +0.0467  |paral   |2020yCat.1350....0G
89  |TYC 4423-337-1                                                                                           |Star                                |16 47 26.3373877224 +72 29 24.663171768|104.5943361514910 +34.9433813952974| 28.749 -16.183   |10.17    |~                      |    ~     ~    |    1|  228.943   pc  |  -0.6342     +0.6342  |paral   |2020yCat.1350....0G
90  |TYC 4423-563-1                                                                                           |Star                                |16 53 03.6115821096 +72 27 39.005652528|104.3786203917242 +34.5580226429283|    1.243 4.579   |9.86     |~                      |    ~     ~    |    1|  831.393   pc  |  -8.5711     +8.5711  |paral   |2020yCat.1350....0G
