C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:27:36

dec< 0&rah >=20.25&rah< 20.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 4937

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
4394|TYC 8789-296-1                                                                                           |Star                              |20 15 18.2668235256 -59 41 21.662596752|337.4211217246833 -33.6676246846849|  4.287 -16.076   |10.945   |~               |    ~     ~    |    1| 2422.570   pc  |-364.6000   +364.6000    |ST-L    |2020AJ....160...83S
4395|TYC 8789-347-1                                                                                           |Star                              |20 16 04.6562220624 -58 24 20.975914764|338.9572925191351 -33.8283308825799|  6.409 -11.278   |10.90    |~               |    ~     ~    |    1| 1854.080   pc  |-210.5000   +210.5000    |ST-L    |2020AJ....160...83S
4396|TYC 8789-817-1                                                                                           |Star                              |20 16 50.4645358008 -58 35 45.944899728|338.7230199237168 -33.9195114091302|   -0.190 1.146   |10.870   |~               |    ~     ~    |    1| 1376.890   pc  | -94.8100    +94.8100    |ST-L    |2020AJ....160...83S
4397|TYC 8790-913-1                                                                                           |Star                              |20 26 46.3810936920 -52 47 21.573269376|345.7320125732430 -35.4955001415876|  -6.909 -7.719   |10.915   |~               |    ~     ~    |    1|  984.418   pc  | -37.4700    +37.4700    |ST-L    |2020AJ....160...83S
4398|TYC 8790-1681-1                                                                                          |Star                              |20 27 47.4892278936 -53 45 04.625523144|344.5458481100944 -35.6276462331740|   -0.501 4.354   |10.705   |~               |    ~     ~    |    1|  953.359   pc  | -52.1800    +52.1800    |ST-L    |2020AJ....160...83S
4399|TYC 8790-1707-1                                                                                          |Star                              |20 29 26.9441171904 -53 33 21.063390984|344.7773463821255 -35.8790767358318|   1.827 -3.816   |10.87    |~               |    ~     ~    |    1|  901.713   pc  | -14.4729    +14.4729    |paral   |2020yCat.1350....0G
4400|TYC 8798-790-1                                                                                           |Star                              |20 29 17.4311621832 -57 07 23.098672956|340.3883538680645 -35.6629312162654|   4.268 -0.590   |10.41    |~               |    ~     ~    |    1|  787.340   pc  | -10.8483    +10.8483    |paral   |2020yCat.1350....0G
4401|TYC 8802-404-1                                                                                           |Star                              |20 28 40.9025873136 -59 49 47.235575172|337.0865683102226 -35.3349458427502|    0.028 0.400   |10.549   |~               |    ~     ~    |    1|  720.485   pc  | -21.9100    +21.9100    |ST-L    |2020AJ....160...83S
4402|TYC 9460-1833-1                                                                                          |Star                              |20 18 48.4652154000 -76 18 15.970106232|317.8565166414087 -31.4273633139333|   -7.353 8.158   |10.991   |~               |    ~     ~    |    1|  999.536   pc  | -54.3800    +54.3800    |ST-L    |2020AJ....160...83S
4403|TYC 9464-407-1                                                                                           |Star                              |20 28 23.0929598664 -77 42 17.029665288|316.1039169448355 -31.5555883685813|   1.131 -8.106   |10.646   |~               |    ~     ~    |    1|  685.089   pc  | -22.2900    +22.2900    |ST-L    |2020AJ....160...83S
4404|TYC 9468-705-1                                                                                           |Star                              |20 19 05.0022693624 -79 13 22.472797800|314.5675614037563 -30.6667314145884|   6.650 -0.706   |10.922   |~               |    ~     ~    |    1| 1249.150   pc  | -75.2700    +75.2700    |ST-L    |2020AJ....160...83S
4405|TYC 9524-326-1                                                                                           |Star                              |20 28 33.2910736896 -83 17 38.230162512|309.9716163882592 -29.7091913382918|  0.604 -14.011   |10.824   |~               |    ~     ~    |    1|  765.775   pc  | -29.4400    +29.4400    |ST-L    |2020AJ....160...83S
4406|TYC 9524-1107-1                                                                                          |Star                              |20 27 14.2921346424 -84 15 33.226381008|308.9508155535659 -29.3297466831077|   7.304 -5.649   |10.822   |~               |    ~     ~    |    1|  848.551   pc  | -38.3600    +38.3600    |ST-L    |2020AJ....160...83S
4407|TYC 9528-944-1                                                                                           |Spectroscopic Binary              |20 21 29.8811443536 -86 04 08.470362108|307.0672231184753 -28.5727644881358| -47.796 23.499   |10.171   |~               |    ~     ~    |    1|  168.487   pc  |  -3.4090     +3.4090    |ST-L    |2020AJ....160...83S
4408|HD 193300A                                                                                               |Star                              |20 20 33.5397742872 -29 10 15.027935124|013.6389234391192 -31.1235688134373|  15.357 -0.350   |10.00    |F0V             |    ~     ~    |    1|  229.158   pc  |  -0.7772     +0.7772    |paral   |2020yCat.1350....0G
4409|* kap02 Sgr A                                                                                            |Star                              |20 23 53.181095 -42 25 22.23558        |358.338318011 -34.436285046        |      -5.6 24.4   |5.93     |~               |    ~     ~    |    0|                |                         |        |                   
4410|* kap02 Sgr B                                                                                            |Star                              |20 23 53.150081 -42 25 22.31237        |358.338278188 -34.436192981        |      -5.6 24.4   |7.25     |~               |    ~     ~    |    0|                |                         |        |                   
4411|UCAC3 121-598255                                                                                         |Star                              |20 15 26.0667764040 -29 31 40.496573280|012.8830264346429 -30.1481129910548|  4.743 -16.041   |10.696   |~               |    ~     ~    |    1|  490.576   pc  | -19.4700    +19.4700    |ST-L    |2020AJ....160...83S
4412|UCAC2 21894348                                                                                           |Star                              |20 27 30.0384618744 -24 50 27.465441972|019.0098699134887 -31.3496666343964|    4.197 1.806   |10.773   |~               |    ~     ~    |    1|  859.683   pc  | -46.4500    +46.4500    |ST-L    |2020AJ....160...83S
4413|UCAC4 394-120497                                                                                         |Star                              |20 24 37.5556350216 -11 20 40.341663276|033.0431962726073 -25.7729971424805|   2.621 -7.546   |10.704   |~               |    ~     ~    |    1|  847.139   pc  | -37.3400    +37.3400    |ST-L    |2020AJ....160...83S
4414|UCAC2 28110524                                                                                           |Star                              |20 23 16.1462992272 -10 34 48.740837412|033.6548935676412 -25.1484288828158|  -5.523 -4.310   |10.649   |~               |    ~     ~    |    1|  419.696   pc  | -12.7000    +12.7000    |ST-L    |2020AJ....160...83S
4415|UCAC2 24486930                                                                                           |Star                              |20 21 11.0365664568 -19 08 55.582030104|024.6220348347133 -28.0635792532010|   3.515 -3.018   |10.604   |~               |    ~     ~    |    1|  971.375   pc  | -59.3100    +59.3100    |ST-L    |2020AJ....160...83S
4416|UCAC2 21662045                                                                                           |Star                              |20 17 11.5253646600 -25 15 35.523880632|017.7104874836980 -29.2596911287337|  8.717 -19.395   |10.427   |~               |    ~     ~    |    1| 1684.460   pc  |-170.1000   +170.1000    |ST-L    |2020AJ....160...83S
4417|UCAC2 12809933                                                                                           |Star                              |20 26 50.2482761544 -44 57 03.078684828|355.3419007792811 -35.2278726570542|  8.833 -14.522   |10.898   |~               |    ~     ~    |    1|  749.312   pc  | -38.1900    +38.1900    |ST-L    |2020AJ....160...83S
4418|UCAC2 9851271                                                                                            |Star                              |20 22 31.9623259728 -51 11 20.751289152|347.6862293802325 -34.8361798597788| -3.797 -20.350   |10.771   |~               |    ~     ~    |    1|  797.446   pc  | -33.7800    +33.7800    |ST-L    |2020AJ....160...83S
4419|UCAC2 6471539                                                                                            |Star                              |20 26 57.0473175072 -58 12 30.564762696|339.0900165584707 -35.2657463802354|  6.478 -22.618   |10.889   |~               |    ~     ~    |    1|  652.704   pc  | -37.4700    +37.4700    |ST-L    |2020AJ....160...83S
4420|UCAC2 26789619                                                                                           |Star                              |20 21 22.7581086528 -14 00 02.186164620|029.9878529640328 -26.1408385969458|  14.385 -5.233   |10.968   |~               |    ~     ~    |    1|  252.729   pc  |  -4.7340     +4.7340    |ST-L    |2020AJ....160...83S
4421|TYC 9524-295-1                                                                                           |High Proper Motion Star           |20 25 47.0322250536 -84 10 09.011220672|309.0623161664541 -29.3276203462482| -7.755 -55.935   |10.21    |~               |    ~     ~    |    1|   90.812   pc  |  -0.4185     +0.4185    |ST-L    |2020AJ....160...83S
4422|TYC 9524-909-1                                                                                           |Star                              |20 29 42.9136136928 -83 53 35.406412404|309.3156549589700 -29.5223676714289|   1.605 -3.064   |10.90    |~               |    ~     ~    |    1|  556.749   pc  | -15.4800    +15.4800    |ST-L    |2020AJ....160...83S
4423|TYC 9524-1305-1                                                                                          |Star                              |20 18 28.7240479536 -83 47 24.629710992|309.5454193208934 -29.2747268915469|  7.369 -11.136   |10.667   |~               |    ~     ~    |    1|  699.480   pc  | -28.8900    +28.8900    |ST-L    |2020AJ....160...83S
4424|TYC 9524-846-1                                                                                           |Star                              |20 26 09.7259049360 -83 38 52.783743552|309.6183818239908 -29.5203401663408|-14.188 -39.886   |10.298   |~               |    ~     ~    |    1|  223.305   pc  |  -2.4710     +2.4710    |ST-L    |2020AJ....160...83S
4425|TYC 9468-76-1                                                                                            |Star                              |20 24 46.9452357144 -79 50 55.428043776|313.7834015545631 -30.7292086784313|   6.311 -7.152   |10.512   |~               |    ~     ~    |    1|  909.174   pc  | -38.3200    +38.3200    |ST-L    |2020AJ....160...83S
4426|CD-79 810                                                                                                |Star                              |20 22 02.2849855464 -79 10 35.049170028|314.5733097695000 -30.8126693227707| 10.805 -11.686   |10.38    |~               |    ~     ~    |    1|  636.456   pc  |  -4.8609     +4.8609    |paral   |2020yCat.1350....0G
4427|HD 193049                                                                                                |Spectroscopic Binary              |20 27 25.5976351008 -78 45 20.558419992|314.9504660111224 -31.1853830925880|  17.821 -9.030   |7.93     |F6V             |    ~     ~    |    1|   62.619   pc  |  -0.8019     +0.8019    |paral   |2020yCat.1350....0G
4428|CD-77 1014                                                                                               |Star                              |20 17 12.9232258584 -77 12 53.149247280|316.8525990994857 -31.1100481587383|  10.533 -6.987   |10.598   |F0              |    ~     ~    |    1|  529.156   pc  | -14.0400    +14.0400    |ST-L    |2020AJ....160...83S
4429|CD-77 1018                                                                                               |Star                              |20 22 01.3947014208 -76 47 15.600207948|317.2525492148202 -31.4824570232690| 16.733 -11.545   |10.23    |~               |    ~     ~    |    1|  647.962   pc  |  -4.2405     +4.2405    |paral   |2020yCat.1350....0G
4430|TYC 9460-1090-1                                                                                          |Star                              |20 19 05.3731756056 -75 29 29.669639820|318.7757049878503 -31.6447882169513|   4.920 -2.934   |10.878   |~               |    ~     ~    |    1| 2344.650   pc  |-250.8000   +250.8000    |ST-L    |2020AJ....160...83S
4431|CD-75 1150                                                                                               |High Proper Motion Star           |20 23 08.3058365712 -75 15 17.551840896|318.9698146223384 -31.9516091414232| 91.515 -34.866   |10.448   |~               |    ~     ~    |    1|  175.548   pc  |  -1.5250     +1.5250    |ST-L    |2020AJ....160...83S
4432|HD 191440                                                                                                |Star                              |20 17 03.0386181456 -75 17 49.044445800|319.0335866349462 -31.5663097671401| 10.957 -16.106   |9.76     |A9IV            |    ~     ~    |    1|  399.550   pc  |  -7.9340     +7.9340    |ST-L    |2020AJ....160...83S
4433|TYC 9320-573-1                                                                                           |Star                              |20 25 19.9589162688 -73 52 13.581395904|320.5072406226576 -32.4470629594672| -6.947 -13.250   |10.72    |~               |    ~     ~    |    1|  663.792   pc  | -20.8200    +20.8200    |ST-L    |2020AJ....160...83S
4434|HD 192177                                                                                                |Star                              |20 19 41.1273225312 -73 13 38.518643856|321.3590132653127 -32.2118759285694| -9.907 -12.917   |9.05     |K3III           |    ~     ~    |    1|  571.461   pc  |  -4.8985     +4.8985    |paral   |2020yCat.1350....0G
4435|CD-73 1512                                                                                               |Star                              |20 29 01.2275640048 -73 18 21.154089096|321.0750363063977 -32.8445443769309|    1.154 0.753   |9.95     |~               |    ~     ~    |    1|  828.615   pc  | -40.8700    +40.8700    |ST-L    |2020AJ....160...83S
4436|HD 192905                                                                                                |High Proper Motion Star           |20 23 18.1832770992 -72 39 07.152958368|321.9511760884096 -32.6011065264030| 34.044 -46.642   |8.20     |G8III           |    ~     ~    |    1|  106.638   pc  |  -0.7295     +0.7295    |ST-L    |2020AJ....160...83S
4437|CD-71 1609                                                                                               |Star                              |20 16 44.6651815200 -70 46 24.829838220|324.2575971113146 -32.4890150133545| 11.035 -24.035   |10.454   |~               |    ~     ~    |    1|  858.533   pc  | -38.2900    +38.2900    |ST-L    |2020AJ....160...83S
4438|2MASS J20220901-7015422                                                                                  |Long-Period Variable              |20 22 08.9986121304 -70 15 42.276291372|324.7513375019876 -33.0299968396508|   3.502 -4.747   |10.68    |~               |    ~     ~    |    1| 2533.570   pc  |-111.6902   +111.6902    |paral   |2020yCat.1350....0G
4439|TYC 9311-77-1                                                                                            |Star                              |20 21 09.1102269720 -70 16 23.906234136|324.7578680895207 -32.9451334170667|  12.093 -8.743   |10.77    |~               |    ~     ~    |    1|  515.119   pc  |  -3.7945     +3.7945    |paral   |2020yCat.1350....0G
4440|CD-70 1767                                                                                               |Star                              |20 19 51.2340763152 -69 53 56.879982096|325.2206681752321 -32.9087908593134|  -0.182 -2.456   |10.06    |~               |    ~     ~    |    1| 1444.043   pc  | -27.1084    +27.1084    |paral   |2020yCat.1350....0G
4441|CD-70 1774                                                                                               |Star                              |20 28 25.9413160272 -69 50 28.002424668|325.1069845545118 -33.6429704604631| 14.398 -37.631   |9.99     |~               |    ~     ~    |    1|  171.959   pc  |  -1.5920     +1.5920    |ST-L    |2020AJ....160...83S
4442|TYC 9312-379-1                                                                                           |Star                              |20 24 11.5849413360 -69 35 31.669851552|325.4925452844178 -33.3370745923941| 25.997 -29.206   |10.862   |~               |    ~     ~    |    1|  312.226   pc  |  -5.1570     +5.1570    |ST-L    |2020AJ....160...83S
4443|TYC 9312-107-1                                                                                           |Star                              |20 24 26.6512130304 -69 31 33.702944736|325.5647070572792 -33.3719597694656|   29.128 1.289   |10.87    |~               |    ~     ~    |    1|  298.361   pc  |  -4.5230     +4.5230    |ST-L    |2020AJ....160...83S
4444|TYC 9308-1618-1                                                                                          |Star                              |20 28 28.4498079936 -69 16 32.626971948|325.7689517059108 -33.7711181292074| 15.529 -21.037   |10.61    |~               |    ~     ~    |    1|  410.198   pc  |  -8.7700     +8.7700    |ST-L    |2020AJ....160...83S
4445|CD-68 2162                                                                                               |Star                              |20 23 48.6948272376 -68 35 23.820793836|326.6778554229048 -33.5006097291907| -7.988 -15.547   |10.269   |~               |    ~     ~    |    1|  183.812   pc  |  -2.3470     +2.3470    |ST-L    |2020AJ....160...83S
4446|TYC 9308-509-1                                                                                           |Star                              |20 26 04.4438233872 -68 22 45.946270956|326.8776321197556 -33.7448963025226| 13.011 -25.142   |10.79    |~               |    ~     ~    |    1|  585.514   pc  |  -8.7078     +8.7078    |paral   |2020yCat.1350....0G
4447|TYC 9307-777-1                                                                                           |Star                              |20 19 10.7590426416 -68 28 07.888031724|326.9115502756055 -33.1054108773986|   7.875 -0.267   |10.69    |~               |    ~     ~    |    1|  152.141   pc  |  -2.2440     +2.2440    |ST-L    |2020AJ....160...83S
4448|TYC 9099-20-1                                                                                            |Star                              |20 18 15.1060961064 -67 04 01.958678256|328.5813951180437 -33.2426577817176|  5.261 -13.335   |10.37    |~               |    ~     ~    |    1|  791.777   pc  | -34.4700    +34.4700    |ST-L    |2020AJ....160...83S
4449|CD-67 2402                                                                                               |Star                              |20 15 28.8528976104 -67 09 10.471178052|328.5267216162352 -32.9636508756932|   12.114 3.149   |10.36    |~               |    ~     ~    |    1|  179.620   pc  |  -1.8003     +1.8003    |paral   |2020yCat.1350....0G
4450|HD 194189                                                                                                |High Proper Motion Star           |20 28 41.4356984328 -67 45 29.615778612|327.5526199964422 -34.1080640449009|  61.171 -4.385   |7.23     |F2IV/V          |    ~     ~    |    1|   80.997   pc  |  -0.1699     +0.1699    |paral   |2020yCat.1350....0G
4451|HD 192865                                                                                                |High Proper Motion Star           |20 21 35.6656237584 -67 18 46.237204044|328.2295317354679 -33.5236602137576| 110.319 15.529   |6.91     |F8V             |    ~     ~    |    1|   53.551   pc  |  -0.0585     +0.0585    |paral   |2020yCat.1350....0G
4452|CD-67 2409                                                                                               |Spectroscopic Binary              |20 19 55.2937958472 -67 16 54.568280064|328.2977302448869 -33.3694619250854|   7.607 -3.229   |9.83     |~               |    ~     ~    |    1|  636.537   pc  | -10.3321    +10.3321    |paral   |2020yCat.1350....0G
4453|HD 194399                                                                                                |Star                              |20 29 31.0228713360 -66 57 44.894092536|328.4768396607860 -34.3438679728876|   43.286 0.628   |8.51     |F6V             |    ~     ~    |    1|  138.660   pc  |  -1.4804     +1.4804    |paral   |2020yCat.1350....0G
4454|TYC 9099-576-1                                                                                           |High Proper Motion Star           |20 29 32.4550632912 -66 11 39.122993724|329.3904303378405 -34.4930690155003| 37.083 -87.037   |10.99    |~               |    ~     ~    |    1|  244.425   pc  |  -2.9770     +2.9770    |ST-L    |2020AJ....160...83S
4455|TYC 9099-241-1                                                                                           |Star                              |20 21 12.3903010944 -66 58 20.945983980|328.6397333453425 -33.5422721813055|  3.045 -14.896   |10.84    |~               |    ~     ~    |    1|  357.437   pc  |  -6.3800     +6.3800    |ST-L    |2020AJ....160...83S
4456|TYC 9099-1090-1                                                                                          |Spectroscopic Binary              |20 26 30.8300184408 -66 01 57.641004192|329.6495684850127 -34.2206246218736|  -7.754 -7.742   |10.99    |~               |    ~     ~    |    1| 1496.710   pc  |-120.9000   +120.9000    |ST-L    |2020AJ....160...83S
4457|HD 192399                                                                                                |Star                              |20 18 31.4061632424 -64 20 59.549785476|331.8035000136914 -33.6377675812370| 29.858 -27.251   |9.58     |G8/K0III        |    ~     ~    |    1|  542.417   pc  |  -3.5306     +3.5306    |paral   |2020yCat.1350....0G
4458|HD 192761                                                                                                |Star                              |20 20 19.3227917760 -64 05 13.818785676|332.0882653859540 -33.8640412193766|  22.444 -6.315   |10.26    |G8/K1(III)      |    ~     ~    |    1|  766.812   pc  |  -9.2316     +9.2316    |paral   |2020yCat.1350....0G
4459|CPD-64 4045                                                                                              |Star                              |20 29 03.9997072800 -64 17 12.126689232|331.6837145470707 -34.7774167985194|  20.912 29.350   |10.37    |~               |    ~     ~    |    1|  100.262   pc  |  -0.1508     +0.1508    |paral   |2020yCat.1350....0G
4460|TYC 9091-1441-1                                                                                          |Star                              |20 26 36.6202071480 -63 33 45.506598768|332.6043140671620 -34.6216562820774|  7.860 -16.263   |10.62    |~               |    ~     ~    |    1| 1587.302   pc  | -35.7773    +35.7773    |paral   |2020yCat.1350....0G
4461|HD 192197                                                                                                |Star                              |20 17 18.5860009416 -62 57 35.812137240|333.4808282866979 -33.6567154139662| 13.021 -17.580   |8.42     |K2III           |    ~     ~    |    1|  729.235   pc  | -16.3789    +16.3789    |paral   |2020yCat.1350....0G
4462|HD 193048                                                                                                |Star                              |20 21 46.3980287664 -62 52 03.410549688|333.5253722872417 -34.1718013594942|  7.267 -29.253   |9.76     |F2V             |    ~     ~    |    1|  182.485   pc  |  -1.4020     +1.4020    |paral   |2020yCat.1350....0G
4463|TYC 9091-829-1                                                                                           |High Proper Motion Star           |20 24 04.9209038232 -62 44 52.042081956|333.6309904653554 -34.4480523560770| 31.045 -96.621   |10.805   |~               |    ~     ~    |    1|  196.019   pc  |  -2.0840     +2.0840    |ST-L    |2020AJ....160...83S
4464|CPD-62 6149                                                                                              |Star                              |20 15 20.6329575552 -61 52 16.327582644|334.8070273523064 -33.5273017188741|   9.680 -8.808   |10.57    |~               |    ~     ~    |    1|  338.261   pc  |  -1.5561     +1.5561    |paral   |2020yCat.1350....0G
4465|HD 193530                                                                                                |Chemically Peculiar Star          |20 24 01.6817913120 -61 18 29.790649980|335.3675023590651 -34.6080938530399|  18.359 -8.247   |9.12     |K2pBa           |    ~     ~    |    1|  816.544   pc  | -36.5200    +36.5200    |ST-L    |2020AJ....160...83S
4466|HD 194610                                                                                                |Star                              |20 29 45.6157781496 -60 35 57.202793916|336.1305349736413 -35.3801390288079| 11.348 -32.781   |9.67     |K1/2(III)       |    ~     ~    |    1|  575.659   pc  | -17.0700    +17.0700    |ST-L    |2020AJ....160...83S
4467|TYC 9087-218-1                                                                                           |High Proper Motion Star           |20 27 25.9279514880 -60 17 53.114072388|336.5371607807602 -35.1294823615677|   56.410 2.526   |10.928   |~               |    ~     ~    |    1|  162.714   pc  |  -1.4000     +1.4000    |ST-L    |2020AJ....160...83S
4468|TYC 8789-1489-1                                                                                          |Star                              |20 22 51.8082101544 -59 22 57.352540944|337.7138546332977 -34.6439928323248|  0.680 -23.921   |10.59    |~               |    ~     ~    |    1|  243.499   pc  |  -0.9605     +0.9605    |paral   |2020yCat.1350....0G
4469|2MASS J20234352-5924260                                                                                  |Long-Period Variable              |20 23 43.5193146120 -59 24 25.964072136|337.6731886823865 -34.7513298222937|   0.671 -3.275   |10.74    |~               |    ~     ~    |    1| 2747.253   pc  |-144.9100   +144.9100    |paral   |2020yCat.1350....0G
4470|TYC 8789-887-1                                                                                           |Star                              |20 24 18.6892 -59 13 21.297            |337.8896894 -34.8411753            |-26.410 -11.685   |10.83    |~               |    ~     ~    |    0|                |                         |        |                   
4471|TYC 8789-987-1                                                                                           |Spectroscopic Binary              |20 26 03.7175066952 -58 58 07.143115548|338.1751571842268 -35.0866730788091|   7.450 -2.689   |10.873   |~               |    ~     ~    |    1| 1008.350   pc  | -63.9200    +63.9200    |ST-L    |2020AJ....160...83S
4472|HD 194662                                                                                                |Star                              |20 29 46.1317498104 -58 46 19.254453492|338.3607401109783 -35.5819223731385|    5.585 2.415   |7.86     |A1IV            |    ~     ~    |    1|  258.826   pc  |  -2.1504     +2.1504    |paral   |2020yCat.1350....0G
4473|HD 194534                                                                                                |Star                              |20 29 03.9135086472 -58 34 48.169215948|338.6063793607195 -35.5093346084217| -3.241 -27.934   |9.98     |K0(III)         |    ~     ~    |    1|  566.193   pc  | -17.2000    +17.2000    |ST-L    |2020AJ....160...83S
4474|TYC 8802-270-1                                                                                           |Spectroscopic Binary              |20 29 47.5962079992 -58 34 29.197019424|338.6017604259325 -35.6042973462473|  -7.012 -2.457   |10.62    |~               |    ~     ~    |    1|  635.109   pc  | -28.3600    +28.3600    |ST-L    |2020AJ....160...83S
4475|HD 194174                                                                                                |Star                              |20 27 10.1987589936 -58 25 33.059908380|338.8217825141040 -35.2764813366205|    0.189 7.077   |9.39     |K0III           |    ~     ~    |    1|  466.592   pc  | -12.4900    +12.4900    |ST-L    |2020AJ....160...83S
4476|CD-58 7743                                                                                               |Star                              |20 23 46.6198928016 -58 19 36.876202680|338.9842497880422 -34.8406866203874| 17.201 -15.801   |9.71     |~               |    ~     ~    |    1|  727.273   pc  |  -6.8231     +6.8231    |paral   |2020yCat.1350....0G
4477|HD 193854                                                                                                |Star                              |20 25 26.8130903064 -58 15 27.018821916|339.0491875516326 -35.0645797838883|  12.551 -7.472   |8.47     |K2/3III         |    ~     ~    |    1|  636.983   pc  |  -9.2916     +9.2916    |paral   |2020yCat.1350....0G
4478|TYC 8785-933-1                                                                                           |Star                              |20 26 29.2938552432 -57 58 58.188370836|339.3713479924018 -35.2225452458177|  -5.113 -9.161   |10.562   |~               |    ~     ~    |    1| 1190.420   pc  | -74.3700    +74.3700    |ST-L    |2020AJ....160...83S
4479|CD-59 7421                                                                                               |High Proper Motion Star           |20 16 49.1928457272 -58 47 17.363343948|338.4920147067878 -33.9075354945094|101.961 -123.417  |10.63    |~               |    ~     ~    |    1|  127.792   pc  |  -0.2237     +0.2237    |paral   |2020yCat.1350....0G
4480|CD-58 7720                                                                                               |Star                              |20 18 53.7721144824 -58 34 38.214878736|338.7292978719102 -34.1879074675818| 25.422 -11.966   |10.23    |~               |    ~     ~    |    1|  352.684   pc  |  -2.8111     +2.8111    |paral   |2020yCat.1350....0G
4481|CD-57 7961                                                                                               |Star                              |20 24 16.2455621544 -57 11 15.505817208|340.3655119157395 -34.9795074555865|    4.103 3.997   |10.58    |~               |    ~     ~    |    1|  373.762   pc  |  -2.1374     +2.1374    |paral   |2020yCat.1350....0G
4482|CD-57 7954                                                                                               |Star                              |20 23 02.3472999888 -57 08 37.064676444|340.4304077854307 -34.8152607271757|    0.001 8.156   |9.49     |~               |    ~     ~    |    1|  516.049   pc  |  -4.5805     +4.5805    |paral   |2020yCat.1350....0G
4483|TYC 8785-852-1                                                                                           |High Proper Motion Star           |20 17 58.5657469248 -57 12 58.165750116|340.3791421571296 -34.1266995709974| 10.581 -64.219   |10.970   |K2.7            |    ~     ~    |    1|  295.596   pc  |  -5.0480     +5.0480    |ST-L    |2020AJ....160...83S
4484|HD 191914                                                                                                |Star                              |20 15 06.2077384512 -56 50 09.870236700|340.8500062794323 -33.7464103405511|  -14.780 6.809   |8.24     |K0/1III         |    ~     ~    |    1|  330.273   pc  |  -2.3998     +2.3998    |paral   |2020yCat.1350....0G
4485|CD-57 7942                                                                                               |Star                              |20 20 12.3002156544 -57 05 18.757601124|340.5194297919845 -34.4336175049172|  10.255 -0.519   |10.55    |~               |    ~     ~    |    1|  559.378   pc  |  -5.7261     +5.7261    |paral   |2020yCat.1350....0G
4486|CD-57 7943                                                                                               |Star                              |20 20 19.2092749440 -57 02 00.440792520|340.5853793329594 -34.4515518438874| 10.176 -39.531   |9.84     |~               |    ~     ~    |    1|  142.286   pc  |  -0.4049     +0.4049    |paral   |2020yCat.1350....0G
4487|CD-57 7925                                                                                               |Star                              |20 17 02.0842315152 -56 36 51.911357976|341.1098647638394 -34.0161544451196|   1.100 -1.543   |10.678   |~               |    ~     ~    |    1| 1705.410   pc  |-151.2000   +151.2000    |ST-L    |2020AJ....160...83S
4488|HD 194506                                                                                                |Star                              |20 28 35.5645644072 -56 07 46.103689848|341.6163421079405 -35.6355679416928| 23.662 -33.101   |9.80     |F6IV/V          |    ~     ~    |    1|  231.358   pc  |  -0.8029     +0.8029    |paral   |2020yCat.1350....0G
4489|CD-56 8064                                                                                               |Star                              |20 29 52.8959358768 -55 38 26.093664204|342.2040576009906 -35.8456020748433|   4.802 -4.878   |10.51    |~               |    ~     ~    |    1| 1336.005   pc  | -27.3091    +27.3091    |paral   |2020yCat.1350....0G
4490|TYC 8781-301-1                                                                                           |Star                              |20 18 07.2868272048 -55 42 44.370651528|342.1952006300134 -34.1864050159084|   -1.972 0.746   |10.894   |~               |    ~     ~    |    1| 1335.540   pc  | -84.2400    +84.2400    |ST-L    |2020AJ....160...83S
4491|CD-56 7991                                                                                               |Star                              |20 15 22.3818854016 -56 01 00.365168568|341.8348090740438 -33.7964565596080|  10.327 -2.798   |10.777   |~               |    ~     ~    |    1|  529.537   pc  | -18.9200    +18.9200    |ST-L    |2020AJ....160...83S
4492|CD-55 8435                                                                                               |Star                              |20 15 27.8073330528 -55 14 19.544411976|342.7709897541150 -33.8146108982286|   12.702 0.904   |9.964    |~               |    ~     ~    |    1|  321.148   pc  |  -9.4760     +9.4760    |ST-L    |2020AJ....160...83S
4493|HD 193134                                                                                                |Star                              |20 21 17.6919469056 -55 46 03.527304564|342.1152638014101 -34.6315756884454|   3.160 -6.121   |9.14     |F2IV/V          |    ~     ~    |    1|  392.619   pc  | -19.3149    +19.3149    |paral   |2020yCat.1350....0G
4494|CD-55 8464                                                                                               |Star                              |20 22 22.7015931768 -55 06 54.117107028|342.9036855725565 -34.8034319843269| -3.223 -11.142   |10.264   |~               |    ~     ~    |    1| 1004.870   pc  | -51.9400    +51.9400    |ST-L    |2020AJ....160...83S
4495|HD 193002                                                                                                |Variable Star                     |20 20 32.3140086384 -55 03 03.183679548|342.9888022992187 -34.5416583436600|  9.106 -33.290   |6.259    |M0/1III         |    ~     ~    |    1|  314.614   pc  |  -4.0682     +4.0682    |paral   |2020yCat.1350....0G
4496|HD 192977                                                                                                |Star                              |20 20 22.9428469536 -54 59 30.835386276|343.0608785851943 -34.5203363352251|   -0.262 8.112   |8.56     |A6V             |    ~     ~    |    1|  341.658   pc  |  -3.1867     +3.1867    |paral   |2020yCat.1350....0G
