C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:44:19

dec< 0&rah >=17.0&rah< 17.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6815

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
47  |HD 326645                                                                                                |Star                                  |17 03 13.3890604440 -42 12 54.507292200|344.2014878735895 -00.3773102406283|  -5.226 -5.669    |8.91     |K5             |    ~     ~    |    1|  769.882   pc  | -13.5140    +13.5140  |paral   |2020yCat.1350....0G
48  |HD 326680                                                                                                |High Proper Motion Star               |17 03 23.6367887232 -43 21 46.205481168|343.3105801575910 -01.1016094637528|-35.608 -47.328    |10.20    |G5             |    ~     ~    |    1|  239.212   pc  |  -1.2246     +1.2246  |paral   |2020yCat.1350....0G
49  |IRAS 16567-4354                                                                                          |Star                                  |17 00 21.0558052224 -43 58 47.297453700|342.4856985332334 -01.0447094996117|  -0.029 -1.277    |10.72    |~              |    ~     ~    |    1| 1423.488   pc  | -74.7711    +74.7711  |paral   |2020yCat.1350....0G
50  |CD-42 11774                                                                                              |Star                                  |17 02 59.1827201208 -42 53 40.741737540|343.6363945981857 -00.7572266672702|   7.046 -6.008    |10.07    |~              |    ~     ~    |    1|  947.239   pc  | -16.1507    +16.1507  |paral   |2020yCat.1350....0G
51  |HD 326608                                                                                                |Star                                  |17 00 53.9390181528 -41 14 42.932659524|344.7026852295165 +00.5594353400839|   -3.883 2.282    |10.4     |K0             |    ~     ~    |    1|  984.155   pc  | -18.3058    +18.3058  |paral   |2020yCat.1350....0G
52  |HD 326660                                                                                                |Star                                  |17 03 24.8011466736 -42 26 32.752392036|344.0427124390268 -00.5437093494796|  -1.355 -5.829    |10.70    |B5             |    ~     ~    |    1|  654.536   pc  |  -7.1546     +7.1546  |paral   |2020yCat.1350....0G
53  |HD 326835                                                                                                |Star                                  |17 03 40.6425307344 -42 52 07.929917904|343.7339832886734 -00.8418811262418| -1.433 -14.212    |10.80    |A3             |    ~     ~    |    0|                |                       |        |                   
54  |TYC 7877-523-1                                                                                           |Star                                  |17 01 53.4465885480 -43 01 41.044515996|343.4082436654832 -00.6801987210683|  -28.901 1.844    |10.97    |~              |    ~     ~    |    1|  920.302   pc  | -13.1278    +13.1278  |paral   |2020yCat.1350....0G
55  |TYC 7877-529-1                                                                                           |Star                                  |17 01 03.8340318096 -41 59 14.407700172|344.1364083138350 +00.0788422673957| -3.001 -20.906    |10.85    |~              |    ~     ~    |    1|  366.247   pc  |  -1.8645     +1.8645  |paral   |2020yCat.1350....0G
56  |HD 326674                                                                                                |Star                                  |17 01 56.5459861608 -43 02 47.247782604|343.3994917814248 -00.6989256154994|  -0.332 -0.491    |10.59    |A2             |    ~     ~    |    1| 1071.008   pc  | -53.7970    +53.7970  |paral   |2020yCat.1350....0G
57  |HD 326638                                                                                                |Star                                  |17 00 50.1525096072 -41 47 32.569655712|344.2640442825905 +00.2321966200564|  9.340 -19.600    |10.56    |K2             |    ~     ~    |    1|  623.247   pc  |  -5.7100     +5.7100  |paral   |2020yCat.1350....0G
58  |TYC 7877-1429-1                                                                                          |Star                                  |17 02 29.5330367400 -41 37 52.618648296|344.5808714082439 +00.0868501198224|  0.352 -14.889    |10.94    |~              |    ~     ~    |    1|  324.612   pc  |  -2.3709     +2.3709  |paral   |2020yCat.1350....0G
59  |HD 326696                                                                                                |Star                                  |17 02 58.6284687264 -43 30 51.381042444|343.1443800689164 -01.1339530900026|   1.849 -7.020    |10.42    |F8             |    ~     ~    |    1|  670.826   pc  |  -7.0651     +7.0651  |paral   |2020yCat.1350....0G
60  |HD 326681                                                                                                |Star                                  |17 03 05.8057997376 -43 22 59.900520072|343.2614261093489 -01.0712715461842| -0.235 -37.914    |10.56    |G0             |    ~     ~    |    1|  169.560   pc  |  -0.4313     +0.4313  |paral   |2020yCat.1350....0G
61  |HD 326679                                                                                                |Star                                  |17 03 26.0315256576 -43 16 51.882187116|343.3798538130435 -01.0575676644597|  -2.148 -3.934    |10.40    |F0             |    ~     ~    |    1|  408.297   pc  |  -2.7507     +2.7507  |paral   |2020yCat.1350....0G
62  |HD 326726                                                                                                |Star                                  |17 02 27.3560846328 -43 59 07.386499716|342.7137289080107 -01.3471038279920| -2.120 -14.233    |10.84    |K2             |    ~     ~    |    1|  521.078   pc  | -11.4039    +11.4039  |paral   |2020yCat.1350....0G
63  |HD 326708                                                                                                |Star                                  |17 02 21.4643545584 -43 48 47.828107836|342.8391390384246 -01.2278922582359|  -0.553 -1.039    |10.36    |B5             |    ~     ~    |    1| 1165.637   pc  | -25.9514    +25.9514  |paral   |2020yCat.1350....0G
64  |TYC 7881-1180-1                                                                                          |Star                                  |17 02 59.0055927192 -43 33 53.237954664|343.1050415645452 -01.1656745289784|   8.793 -3.670    |10.65    |~              |    ~     ~    |    1|  968.335   pc  | -12.8461    +12.8461  |paral   |2020yCat.1350....0G
65  |HD 326697                                                                                                |Star                                  |17 03 41.6433179688 -43 40 02.482776876|343.1020629259665 -01.3301567477190|   0.351 -1.393    |10.82    |A0             |    ~     ~    |    1|  879.121   pc  | -14.6842    +14.6842  |paral   |2020yCat.1350....0G
66  |HD 326703                                                                                                |Star                                  |17 00 15.7181116536 -43 49 30.976117248|342.5975358168792 -00.9368502384711|-35.227 -18.071    |10.553   |G0             |    ~     ~    |    1|  247.911   pc  |  -1.0633     +1.0633  |paral   |2020yCat.1350....0G
67  |HD 326687                                                                                                |Star                                  |17 00 52.6021044096 -43 12 06.578065548|343.1574533135973 -00.6407824953978|  -0.298 -2.139    |10.71    |A0             |    ~     ~    |    1|  620.540   pc  |  -7.5859     +7.5859  |paral   |2020yCat.1350....0G
68  |HD 326713                                                                                                |Star                                  |17 01 46.9969935912 -43 55 04.935044208|342.6928916451381 -01.2101426351206| -2.723 -10.088    |10.99    |F0             |    ~     ~    |    1|  775.916   pc  | -14.8705    +14.8705  |paral   |2020yCat.1350....0G
69  |TYC 7881-2130-1                                                                                          |Star                                  |17 01 47.9573862720 -43 58 20.851309344|342.6516417716436 -01.2457684129823| -9.040 -14.239    |10.32    |~              |    ~     ~    |    1|  400.272   pc  |  -2.6276     +2.6276  |paral   |2020yCat.1350....0G
