C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:06:06

dec >=0&rah >=12.5&rah< 12.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2283

 #  |                                                                                                                                       identifier                                                                                                                                       |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
48  |TYC 4554-160-1                                                                                                                                                                                                                                                                          |Star                                |12 39 26.4086675376 +78 57 06.828366456|123.6626240274518 +38.1593282398522|   2.416 -0.322   |9.52     |~              |    ~     ~    |    1|  731.636   pc  |  -6.9053     +6.9053  |paral   |2020yCat.1350....0G
49  |TYC 4554-479-1                                                                                                                                                                                                                                                                          |Star                                |12 33 33.2089007304 +79 51 47.901576132|123.9192857792307 +37.2306364593756|    3.969 1.052   |10.11    |~              |    ~     ~    |    1|  314.258   pc  |  -2.8640     +2.8640  |paral   |2020yCat.1350....0G
50  |TYC 4554-550-1                                                                                                                                                                                                                                                                          |High Proper Motion Star             |12 30 38.0069337936 +78 47 04.556939784|124.2191531682343 +38.2916056086624| -34.799 67.937   |10.96    |~              |    ~     ~    |    1|  197.293   pc  |  -0.4593     +0.4593  |paral   |2020yCat.1350....0G
51  |TYC 4554-823-1                                                                                                                                                                                                                                                                          |Star                                |12 35 31.7070558792 +79 22 07.074029244|123.8590100135078 +37.7309666903893| 19.081 -23.361   |10.88    |~              |    ~     ~    |    1|  312.090   pc  |  -2.8636     +2.8636  |paral   |2020yCat.1350....0G
52  |TYC 4554-851-1                                                                                                                                                                                                                                                                          |Star                                |12 31 36.4258765368 +79 40 58.165492260|124.0483291906308 +37.4024055577738|   4.419 -3.911   |10.94    |~              |    ~     ~    |    1| 2104.377   pc  | -56.2407    +56.2407  |paral   |2020yCat.1350....0G
53  |TYC 4554-1170-1                                                                                                                                                                                                                                                                         |High Proper Motion Star             |12 39 13.0723832808 +79 12 13.378917816|123.6568900590525 +37.9073291278197|-81.268 -33.040   |10.96    |~              |    ~     ~    |    1|  125.938   pc  |  -0.2236     +0.2236  |paral   |2020yCat.1350....0G
54  |TYC 4554-1474-1                                                                                                                                                                                                                                                                         |Star                                |12 44 01.9699496664 +79 28 58.308157128|123.3585801919411 +37.6392538238148|  -9.327 10.683   |10.99    |~              |    ~     ~    |    1|  386.279   pc  |  -1.7458     +1.7458  |paral   |2020yCat.1350....0G
55  |TYC 4557-475-1                                                                                                                                                                                                                                                                          |High Proper Motion Star             |12 39 15.2404284696 +80 53 46.645133892|123.5290202267793 +36.2178323290859|  -76.768 1.203   |10.87    |~              |    ~     ~    |    1|  206.071   pc  |  -0.5393     +0.5393  |paral   |2020yCat.1350....0G
56  |TYC 4557-1037-1                                                                                                                                                                                                                                                                         |Star                                |12 37 01.238832 +80 22 08.30028        |123.683920291 +36.738220047        |      -10.4 5.2   |10.977   |~              |    ~     ~    |    0|                |                       |        |                   
57  |TYC 4551-1158-1                                                                                                                                                                                                                                                                         |Star                                |12 44 51.7645098432 +75 48 49.476513168|123.4681549258996 +41.3076623287275|   -5.145 5.192   |10.24    |~              |    ~     ~    |    1|  278.528   pc  |  -0.9620     +0.9620  |paral   |2020yCat.1350....0G
58  |HD 110881                                                                                                                                                                                                                                                                               |Star                                |12 43 21.4585652304 +78 14 44.283168888|123.4604138551420 +38.8743254784433|  4.298 -11.983   |9.12     |A0             |    ~     ~    |    1|  405.762   pc  |  -7.0961     +7.0961  |paral   |2020yCat.1350....0G
59  |HD 109245                                                                                                                                                                                                                                                                               |Star                                |12 31 45.8484949368 +77 44 23.402703084|124.2807827846760 +39.3368465414526|  -2.050 -0.237   |9.07     |F5             |    ~     ~    |    1|  187.140   pc  |  -0.4868     +0.4868  |paral   |2020yCat.1350....0G
60  |BD+78 425                                                                                                                                                                                                                                                                               |Star                                |12 33 37.3988103792 +78 09 51.007675824|124.1049853454102 +38.9234785157393|  -11.229 9.629   |9.21     |K0             |    ~     ~    |    1|  569.476   pc  |  -8.9832     +8.9832  |paral   |2020yCat.1350....0G
61  |HD 109717                                                                                                                                                                                                                                                                               |Star                                |12 35 18.2067544608 +78 05 22.106943240|124.0023754017339 +39.0052238402330|    9.684 1.302   |9.26     |K0             |    ~     ~    |    1|  617.971   pc  |  -7.0649     +7.0649  |paral   |2020yCat.1350....0G
62  |BD+78 427                                                                                                                                                                                                                                                                               |Star                                |12 36 01.5468888408 +77 16 26.549335020|124.0362718649854 +39.8211449851888|  14.071 -5.322   |9.78     |G5             |    ~     ~    |    1|  341.752   pc  |  -1.3431     +1.3431  |paral   |2020yCat.1350....0G
63  |BD+78 430                                                                                                                                                                                                                                                                               |Star                                |12 43 46.2907595472 +77 23 19.884889248|123.4759536049809 +39.7312962665679| -23.178 -4.962   |9.97     |F2             |    ~     ~    |    1|  318.573   pc  |  -7.4594     +7.4594  |paral   |2020yCat.1350....0G
64  |HD 109094                                                                                                                                                                                                                                                                               |Star                                |12 30 55.4628054360 +76 41 13.118100828|124.4802736179708 +40.3795422190286| -39.642 17.869   |7.44     |K0             |    ~     ~    |    1|  262.055   pc  |  -1.0713     +1.0713  |paral   |2020yCat.1350....0G
65  |HD 109139                                                                                                                                                                                                                                                                               |Star                                |12 31 15.8377461120 +76 14 36.722912928|124.5149366321028 +40.8226492127149|   -8.370 0.248   |10.28    |K0             |    ~     ~    |    1|  960.892   pc  | -12.8340    +12.8340  |paral   |2020yCat.1350....0G
66  |HD 109836                                                                                                                                                                                                                                                                               |Variable Star                       |12 36 34.9955190240 +76 38 16.009641384|124.0591767349229 +40.4579419546142|   3.884 -3.231   |7.98     |M:III          |    ~     ~    |    1|  695.991   pc  |  -7.5567     +7.5567  |paral   |2020yCat.1350....0G
67  |HD 110436                                                                                                                                                                                                                                                                               |Star                                |12 40 29.7928531032 +76 41 28.985135748|123.7587095931045 +40.4192981546669| -44.382 16.961   |9.56     |G5             |    ~     ~    |    1|  251.452   pc  |  -0.7398     +0.7398  |paral   |2020yCat.1350....0G
68  |HD 110853                                                                                                                                                                                                                                                                               |Star                                |12 43 18.7920208392 +76 45 10.301155272|123.5426927163509 +40.3657543861195|-28.353 -11.633   |9.34     |F5             |    ~     ~    |    1|  198.318   pc  |  -0.6332     +0.6332  |paral   |2020yCat.1350....0G
69  |HD 108928                                                                                                                                                                                                                                                                               |Star                                |12 30 06.8006549112 +76 16 22.454596452|124.6005730278359 +40.7861820069720| -16.994 12.598   |10.83    |G5             |    ~     ~    |    1|  229.132   pc  |  -0.6878     +0.6878  |paral   |2020yCat.1350....0G
70  |HD 109278                                                                                                                                                                                                                                                                               |Star                                |12 32 28.6416706440 +76 02 07.832553828|124.4468945477964 +41.0369210641181| -21.084 -1.714   |9.13     |F8             |    ~     ~    |    1|  245.906   pc  |  -0.8708     +0.8708  |paral   |2020yCat.1350....0G
71  |HD 109624                                                                                                                                                                                                                                                                               |High Proper Motion Star             |12 34 45.1827511416 +76 01 07.712371776|124.2675295369933 +41.0661454395823| -54.473 18.859   |8.49     |K0             |    ~     ~    |    1|  158.745   pc  |  -4.1706     +4.1706  |paral   |2020yCat.1350....0G
