C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:37:44

dec >=0&rah >=3.5&rah< 3.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4199

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
3818|TYC 1803-146-1                                                                                           |Star                                  |03 42 11.7758882232 +24 53 54.726574992|165.1129524251539 -23.6655730236110|   -3.573 1.250    |10.25    |~                 |    ~     ~    |    1| 1077.470   pc  | -21.8257    +21.8257  |paral   |2020yCat.1350....0G
3819|TYC 1803-153-1                                                                                           |Star                                  |03 44 44.6769266664 +25 45 53.114141556|164.9613246200935 -22.6348128299804|   4.661 10.415    |10.22    |~                 |    ~     ~    |    1|  200.200   pc  |  -0.7936     +0.7936  |paral   |2020yCat.1350....0G
3820|TYC 1803-499-1                                                                                           |Star                                  |03 38 40.4759833848 +26 03 02.785136616|163.6364936452941 -23.3109871804840|-13.425 -16.087    |10.83    |~                 |    ~     ~    |    1|  384.497   pc  | -12.3445    +12.3445  |paral   |2020yCat.1350....0G
3821|TYC 1803-634-1                                                                                           |Star                                  |03 43 47.1394204368 +24 58 05.152135296|165.3578559468184 -23.3753313324886|   6.605 -7.269    |10.86    |~                 |    ~     ~    |    1|  666.978   pc  |  -7.6071     +7.6071  |paral   |2020yCat.1350....0G
3822|TYC 1803-854-1                                                                                           |Star                                  |03 37 44.6860991808 +24 26 57.496266060|164.5970329902132 -24.6670223982354|   6.288 -4.394    |10.72    |~                 |    ~     ~    |    1|  888.810   pc  | -23.9365    +23.9365  |paral   |2020yCat.1350....0G
3823|TYC 1803-1023-1                                                                                          |Star                                  |03 40 46.0177148040 +25 20 59.864782416|164.5232613537557 -23.5372908214328|  -1.135 -5.227    |10.79    |~                 |    ~     ~    |    1| 1059.098   pc  | -19.5174    +19.5174  |paral   |2020yCat.1350....0G
3824|TYC 1803-1077-1                                                                                          |Star                                  |03 43 52.8526452816 +25 17 06.102553416|165.1471451349169 -23.1234808650487|  -2.103 -6.531    |10.46    |~                 |    ~     ~    |    1|  441.716   pc  |  -3.9023     +3.9023  |paral   |2020yCat.1350....0G
3825|TYC 1803-1082-1                                                                                          |Star                                  |03 40 11.3990571240 +25 37 59.647139400|164.2141827455088 -23.4075903589358|  -7.989 -7.104    |10.25    |~                 |    ~     ~    |    1|  295.683   pc  |  -1.9497     +1.9497  |paral   |2020yCat.1350....0G
3826|TYC 1803-1123-1                                                                                          |Star                                  |03 44 56.0983 +25 57 11.873            |164.8610479 -22.4650891            |   8.052 -2.681    |10.39    |~                 |    ~     ~    |    0|                |                       |        |                   
3827|TYC 1803-1138-1                                                                                          |Star                                  |03 37 45.5005702752 +25 34 52.328049924|163.7955656080109 -23.8026726480321| 36.218 -29.461    |10.82    |~                 |    ~     ~    |    1|  282.079   pc  |  -8.4025     +8.4025  |paral   |2020yCat.1350....0G
3828|TYC 1803-1513-1                                                                                          |Star                                  |03 39 27.5035973592 +25 10 16.111684956|164.4058375594842 -23.8658469904514|    9.982 1.336    |10.92    |~                 |    ~     ~    |    1|  607.792   pc  |  -7.1666     +7.1666  |paral   |2020yCat.1350....0G
3829|TYC 1806-1381-1                                                                                          |Star                                  |03 32 56.0354009136 +27 13 39.705967632|161.7440774752908 -23.2203543730641|    9.894 6.264    |10.91    |~                 |    ~     ~    |    1|  294.594   pc  | -20.0475    +20.0475  |paral   |2020yCat.1350....0G
3830|TYC 1806-1454-1                                                                                          |Star                                  |03 31 29.4681483024 +26 16 49.147545900|162.1190648102374 -24.1602195769817| 19.160 -18.096    |10.76    |~                 |    ~     ~    |    1|  133.3636  pc  | -11.1161    +11.1161  |paral   |2018yCat.1345....0G
3831|TYC 1807-90-1                                                                                            |Star                                  |03 40 00.9487908240 +27 23 19.709520360|162.9485992219900 -22.0955271525186|   15.339 3.211    |10.67    |~                 |    ~     ~    |    1|  530.363   pc  |  -5.1756     +5.1756  |paral   |2020yCat.1350....0G
3832|TYC 1807-184-1                                                                                           |Star                                  |03 38 53.9434950768 +27 20 15.343064016|162.7791366666567 -22.2942296888146|  -2.743 -5.468    |10.84    |~                 |    ~     ~    |    1|  508.492   pc  |  -6.1538     +6.1538  |paral   |2020yCat.1350....0G
3833|TYC 1807-290-1                                                                                           |Star                                  |03 44 58.3033143696 +27 32 14.005292136|163.7435043283782 -21.2678886173530|   -2.898 5.564    |9.81     |~                 |    ~     ~    |    1|  590.145   pc  |  -7.5226     +7.5226  |paral   |2020yCat.1350....0G
3834|TYC 1807-568-1                                                                                           |Star                                  |03 41 19.1719911648 +27 26 06.970753608|163.1543995775975 -21.8731432146758|   1.923 -4.525    |10.46    |~                 |    ~     ~    |    1| 1866.368   pc  | -57.4749    +57.4749  |paral   |2020yCat.1350....0G
3835|TYC 1807-580-1                                                                                           |Star                                  |03 44 25.6071803760 +27 20 42.195587028|163.7807781418563 -21.4922599247084|   14.573 7.207    |10.65    |~                 |    ~     ~    |    1|  767.283   pc  | -12.3632    +12.3632  |paral   |2020yCat.1350....0G
3836|TYC 1807-1792-1                                                                                          |Star                                  |03 42 03.6666338256 +26 49 04.315549368|163.7224388969754 -22.2354119133552| 21.785 -31.654    |10.59    |~                 |    ~     ~    |    1|  210.035   pc  |  -0.9176     +0.9176  |paral   |2020yCat.1350....0G
3837|TYC 1807-1851-1                                                                                          |Star                                  |03 44 48.6611294616 +26 21 07.227697932|164.5537660589889 -22.1841170710865|    3.577 0.507    |10.97    |~                 |    ~     ~    |    1| 1727.116   pc  | -61.1500    +61.1500  |paral   |2020yCat.1350....0G
3838|V* BG Tau                                                                                                |Long-Period Variable                  |03 31 10.7237143512 +28 42 31.094727840|160.4155194124760 -22.3024395117111|  -0.886 -5.215    |10.97    |M6                |    ~     ~    |    1|  917.6     pc  | -67.2749    +67.2749  |paral   |2020yCat.1350....0G
3839|TYC 1810-200-1                                                                                           |Star                                  |03 37 35.8183188048 +28 17 53.448519408|161.8784237826712 -21.7389416464203|  14.435 -9.225    |10.98    |~                 |    ~     ~    |    0|                |                       |        |                   
3840|BD+27 516                                                                                                |Star                                  |03 31 43.7880416376 +28 24 48.807949968|160.7157714323603 -22.4593871398401|  -2.789 -9.603    |9.89     |~                 |    ~     ~    |    1|  268.550   pc  |  -1.6371     +1.6371  |paral   |2020yCat.1350....0G
3841|TYC 1810-1249-1                                                                                          |Star                                  |03 35 33.2417219976 +29 18 57.332255004|160.8150990853586 -21.2318808989432|  12.127 -3.059    |10.71    |~                 |    ~     ~    |    1|  495.368   pc  |  -4.8096     +4.8096  |paral   |2020yCat.1350....0G
3842|TYC 1810-1270-1                                                                                          |Star                                  |03 36 54.9148847016 +28 08 21.354868680|161.8620898963914 -21.9570623116558| 15.619 -11.714    |10.53    |~                 |    ~     ~    |    1|  615.726   pc  |  -6.5208     +6.5208  |paral   |2020yCat.1350....0G
3843|TYC 1810-1333-1                                                                                          |Star                                  |03 36 27.8204154864 +29 07 43.741529436|161.1068858590084 -21.2527682767691|   7.576 27.073    |10.93    |~                 |    ~     ~    |    1|  157.347   pc  |  -0.8863     +0.8863  |paral   |2020yCat.1350....0G
3844|TYC 1811-94-1                                                                                            |Star                                  |03 40 52.7801528064 +29 11 35.824943436|161.8602264256058 -20.5906233366707| -11.606 -2.493    |10.70    |~                 |    ~     ~    |    1|  483.536   pc  |  -4.5125     +4.5125  |paral   |2020yCat.1350....0G
3845|TYC 1811-99-1                                                                                            |Star                                  |03 42 01.6754361672 +28 11 05.998961148|162.7611954834502 -21.2001948854649| -14.936 -5.545    |10.63    |~                 |    ~     ~    |    1|  213.589   pc  |  -0.9489     +0.9489  |paral   |2020yCat.1350....0G
3846|TYC 1811-416-1                                                                                           |Star                                  |03 41 30.5851029144 +29 23 21.756624756|161.8385932641826 -20.3520552012534|    4.046 3.394    |10.74    |~                 |    ~     ~    |    1|  889.680   pc  | -25.8039    +25.8039  |paral   |2020yCat.1350....0G
3847|TYC 1811-435-1                                                                                           |Star                                  |03 39 33.2154881832 +28 17 06.661947228|162.2441399342316 -21.4742174520349| -3.359 -18.997    |10.94    |~                 |    ~     ~    |    1| 2476.474   pc  |-122.6584   +122.6584  |paral   |2020yCat.1350....0G
3848|TYC 1811-753-1                                                                                           |Star                                  |03 38 18.7932859776 +28 55 15.925492092|161.5837389977029 -21.1579928643270|   4.495 -2.971    |10.26    |~                 |    ~     ~    |    1| 1504.664   pc  | -62.4868    +62.4868  |paral   |2020yCat.1350....0G
3849|TYC 1811-1164-1                                                                                          |Star                                  |03 40 15.9337238760 +28 38 25.712901312|162.1288344495852 -21.1011561997434|  15.668 -6.350    |10.91    |~                 |    ~     ~    |    1| 1356.852   pc  | -35.7163    +35.7163  |paral   |2020yCat.1350....0G
3850|TYC 1811-1570-1                                                                                          |Star                                  |03 44 33.4169804400 +28 29 47.086087668|162.9977986862971 -20.6020441758979|   2.451 -2.575    |10.59    |~                 |    ~     ~    |    1| 1182.313   pc  | -69.4738    +69.4738  |paral   |2020yCat.1350....0G
3851|TYC 1811-1716-1                                                                                          |Star                                  |03 39 05.8206120120 +28 49 36.203842272|161.7900423770681 -21.1216311755929|  -2.203 -4.913    |10.88    |~                 |    ~     ~    |    1| 1485.884   pc  | -44.3778    +44.3778  |paral   |2020yCat.1350....0G
3852|TYC 1811-1734-1                                                                                          |Star                                  |03 41 32.7691927008 +28 26 50.903372544|162.4926926113185 -21.0682357684282|   6.885 -6.441    |10.65    |~                 |    ~     ~    |    1| 1605.394   pc  | -49.7417    +49.7417  |paral   |2020yCat.1350....0G
3853|TYC 1811-1908-1                                                                                          |Star                                  |03 43 42.4356054000 +29 40 25.456511892|162.0331402212724 -19.8267311391984|   4.966 -9.741    |10.84    |~                 |    ~     ~    |    1|  447.307   pc  |  -4.5819     +4.5819  |paral   |2020yCat.1350....0G
3854|HD 22160B                                                                                                |Star                                  |03 35 23.0450679125 +33 40 33.458365498|157.9170351474206 -17.8326948962722|  18.152 -3.821    |9.24     |~                 |    ~     ~    |    1|  168.956   pc  |  -0.5994     +0.5994  |paral   |2020yCat.1350....0G
3855|TYC 2346-514-1                                                                                           |Star                                  |03 33 24.2914052640 +33 27 15.453957708|157.7161296448240 -18.2600581586557|   3.152 -2.270    |10.97    |~                 |    ~     ~    |    1| 1336.898   pc  | -50.5805    +50.5805  |paral   |2020yCat.1350....0G
3856|TYC 2346-516-1                                                                                           |Star                                  |03 30 51.4034187096 +32 21 40.036083336|157.9677155247432 -19.4535214399048|  1.450 -14.551    |10.96    |~                 |    ~     ~    |    1|  434.480   pc  |  -4.6627     +4.6627  |paral   |2020yCat.1350....0G
3857|TYC 2346-571-1                                                                                           |Star                                  |03 30 14.7605648424 +32 59 05.546724648|157.4606643436486 -19.0335059469909|  3.365 -13.154    |10.67    |~                 |    ~     ~    |    1|  883.626   pc  | -23.1116    +23.1116  |paral   |2020yCat.1350....0G
3858|TYC 2346-1217-1                                                                                          |Star                                  |03 35 51.5834904864 +32 20 20.452960032|158.8669384586402 -18.8248190583135|  -7.342 -1.555    |10.96    |~                 |    ~     ~    |    1|  900.090   pc  | -18.3097    +18.3097  |paral   |2020yCat.1350....0G
3859|TYC 2350-379-1                                                                                           |Star                                  |03 35 26.0658249264 +35 08 59.145735948|156.9822682312835 -16.6599821402362| 16.110 -15.155    |10.45    |~                 |    ~     ~    |    1|  252.239   pc  |  -1.2407     +1.2407  |paral   |2020yCat.1350....0G
3860|TYC 2350-757-1                                                                                           |Star                                  |03 30 04.4387639160 +35 11 34.995350904|156.0406400613099 -17.2851013689992|  -0.740 -3.222    |10.77    |~                 |    ~     ~    |    1|  913.659   pc  | -12.6051    +12.6051  |paral   |2020yCat.1350....0G
3861|TYC 2350-787-1                                                                                           |Star                                  |03 30 03.1794126552 +35 15 11.314570572|155.9996072032284 -17.2393455993870|   2.012 -1.172    |10.58    |~                 |    ~     ~    |    1|  840.831   pc  | -20.4322    +20.4322  |paral   |2020yCat.1350....0G
3862|TYC 2350-1226-1                                                                                          |Star                                  |03 35 15.3321543672 +33 47 42.181395612|157.8182040015211 -17.7549697899566|  -2.096 -1.600    |10.52    |~                 |    ~     ~    |    1| 1179.106   pc  | -38.9282    +38.9282  |paral   |2020yCat.1350....0G
3863|TYC 2350-1239-1                                                                                          |Star                                  |03 35 03.6245875584 +35 02 16.665283284|156.9900165602085 -16.7952504563401|  4.717 -28.273    |10.80    |~                 |    ~     ~    |    1|  634.598   pc  |  -8.0140     +8.0140  |paral   |2020yCat.1350....0G
3864|TYC 2350-1522-1                                                                                          |Star                                  |03 33 06.1104159912 +34 05 58.693600140|157.2514091853975 -17.7855647540663|   2.959 -6.442    |10.79    |~                 |    ~     ~    |    1|  838.504   pc  | -12.0228    +12.0228  |paral   |2020yCat.1350....0G
3865|TYC 2350-1892-1                                                                                          |Star                                  |03 34 16.2318458280 +34 52 00.115292532|156.9645149958934 -17.0296262620430|   5.064 -3.265    |10.64    |~                 |    ~     ~    |    1| 1453.911   pc  | -53.4806    +53.4806  |paral   |2020yCat.1350....0G
3866|TYC 2350-1928-1                                                                                          |Red Giant Branch star Candidate       |03 32 17.7837361872 +34 42 04.550513760|156.7312329383229 -17.4064811140324| -0.315 -11.294    |10.88    |~                 |    ~     ~    |    1|  717.515   pc  |  -9.6787     +9.6787  |paral   |2020yCat.1350....0G
3867|TYC 2354-302-1                                                                                           |Star                                  |03 32 45.8079763416 +36 37 43.338238356|155.6027765879337 -15.8081275553447|   9.160 -4.789    |10.79    |~                 |    ~     ~    |    1|  745.434   pc  | -10.0021    +10.0021  |paral   |2020yCat.1350....0G
3868|TYC 2354-1076-1                                                                                          |Star                                  |03 31 59.4251101824 +36 33 08.761924476|155.5208263649474 -15.9620211525231|   5.559 -0.828    |10.45    |~                 |    ~     ~    |    1| 1209.336   pc  | -25.7399    +25.7399  |paral   |2020yCat.1350....0G
3869|TYC 2354-1093-1                                                                                          |Star                                  |03 33 13.2484274736 +36 55 15.730377636|155.4971065510852 -15.5191768627591|  -1.849 -4.288    |10.79    |~                 |    ~     ~    |    1| 1340.662   pc  | -38.2841    +38.2841  |paral   |2020yCat.1350....0G
3870|TYC 2354-1838-1                                                                                          |Star                                  |03 34 31.5231747408 +36 00 33.149571372|156.2852993615439 -16.0893201228854|  -0.156 -1.348    |10.81    |~                 |    ~     ~    |    1|  766.754   pc  | -10.2297    +10.2297  |paral   |2020yCat.1350....0G
3871|TYC 2355-27-1                                                                                            |Star                                  |03 36 03.1422786960 +31 49 23.116989936|159.2387262093302 -19.2046784929666|    2.954 0.390    |10.83    |~                 |    ~     ~    |    1|  897.344   pc  | -14.6551    +14.6551  |paral   |2020yCat.1350....0G
3872|BD+31 635                                                                                                |High Proper Motion Star               |03 41 51.4050993480 +31 44 40.697957868|160.3053078532177 -18.4913888337414|   62.825 8.604    |10.62    |F7V               |    ~     ~    |    1|  243.457   pc  |  -1.1736     +1.1736  |paral   |2020yCat.1350....0G
3873|TYC 2355-411-1                                                                                           |Star                                  |03 40 30.7055 +30 23 45.353            |160.9771383 -19.7157095            |   7.350 -1.582    |10.88    |~                 |    ~     ~    |    0|                |                       |        |                   
3874|TYC 2355-420-1                                                                                           |Star                                  |03 43 50.7294355512 +31 03 55.294122852|161.1076756063838 -18.7430020602346|   7.964 -8.924    |10.89    |~                 |    ~     ~    |    1|  399.712   pc  |  -4.6173     +4.6173  |paral   |2020yCat.1350....0G
3875|TYC 2355-642-1                                                                                           |Star                                  |03 41 36.4703648808 +30 14 31.503535512|161.2748860524996 -19.6834473729278|-10.102 -37.925    |10.90    |~                 |    ~     ~    |    1|  245.833   pc  |  -1.2993     +1.2993  |paral   |2020yCat.1350....0G
3876|TYC 2359-235-1                                                                                           |Star                                  |03 38 27.6801702072 +33 29 45.357936180|158.5629025800661 -17.5785770330362|  -2.073 -5.976    |10.89    |~                 |    ~     ~    |    1|  955.657   pc  | -18.8136    +18.8136  |paral   |2020yCat.1350....0G
3877|TYC 2363-76-1                                                                                            |Star                                  |03 41 37.1493607416 +35 26 22.001205624|157.8298267705602 -15.6531256566574|   0.417 -2.872    |10.89    |~                 |    ~     ~    |    1| 1926.411   pc  | -63.0880    +63.0880  |paral   |2020yCat.1350....0G
3878|TYC 2363-137-1                                                                                           |Star                                  |03 43 10.3046820456 +34 25 44.209742664|158.7475056070374 -16.2394652764353|  -1.715 -3.177    |10.46    |~                 |    ~     ~    |    1| 1234.720   pc  | -30.6431    +30.6431  |paral   |2020yCat.1350....0G
3879|TYC 2363-1134-1                                                                                          |Red Giant Branch star Candidate       |03 40 17.4420443568 +33 55 36.837117408|158.5929743584073 -17.0044362867283|   8.300 -2.863    |10.84    |~                 |    ~     ~    |    1|  599.449   pc  | -32.6639    +32.6639  |paral   |2020yCat.1350....0G
3880|PM J03433+3401                                                                                           |High Proper Motion Star               |03 43 22.953264 +34 01 59.57508        |159.043447526 -16.518544531        |     -72.5 13.2    |10.88    |G/K               |    ~     ~    |    0|                |                       |        |                   
3881|TYC 2367-1796-1                                                                                          |Star                                  |03 37 32.2788604680 +35 48 50.539758228|156.9121646658157 -15.8725121351212|   2.128 -4.523    |10.76    |~                 |    ~     ~    |    1| 1960.400   pc  | -81.8595    +81.8595  |paral   |2020yCat.1350....0G
3882|TYC 2862-55-1                                                                                            |Star                                  |03 33 20.2715148600 +39 22 22.362155328|154.0048795988662 -13.5378369928552|    4.729 0.833    |10.92    |~                 |    ~     ~    |    1| 2546.473   pc  |-112.8307   +112.8307  |paral   |2020yCat.1350....0G
3883|TYC 2862-202-1                                                                                           |Star                                  |03 38 18.9087993408 +39 09 59.064818112|154.9235369277202 -13.1236562898482| 14.154 -11.848    |10.35    |~                 |    ~     ~    |    1|  574.911   pc  |  -5.5528     +5.5528  |paral   |2020yCat.1350....0G
3884|TYC 2862-1693-1                                                                                          |Star                                  |03 35 29.8291037064 +39 00 43.132591116|154.5717972968296 -13.5772201236471|  -5.186 -3.787    |10.99    |~                 |    ~     ~    |    1| 1642.036   pc  | -44.2190    +44.2190  |paral   |2020yCat.1350....0G
3885|TYC 2862-2106-1                                                                                          |Star                                  |03 35 27.8638426896 +38 46 27.701019804|154.7135419533620 -13.7709599098557|   0.742 -5.305    |10.74    |~                 |    ~     ~    |    1|  966.931   pc  | -18.7926    +18.7926  |paral   |2020yCat.1350....0G
3886|TYC 2862-2604-1                                                                                          |Star                                  |03 33 26.5421699040 +38 16 19.712196228|154.6972073187591 -14.4100053125841|  6.041 -10.244    |10.82    |~                 |    ~     ~    |    1|  642.220   pc  |  -7.0941     +7.0941  |paral   |2020yCat.1350....0G
3887|TYC 2863-746-1                                                                                           |Star                                  |03 43 06.6507554136 +38 21 45.561665808|156.1881644275156 -13.1819825801611|   2.611 -3.537    |10.81    |~                 |    ~     ~    |    1| 1429.797   pc  | -33.7313    +33.7313  |paral   |2020yCat.1350....0G
3888|TYC 2863-1291-1                                                                                          |Star                                  |03 44 59.3506521816 +37 51 23.705787744|156.8095427289613 -13.3458034336099|  -1.106 -1.789    |10.96    |~                 |    ~     ~    |    1|  956.023   pc  | -13.8011    +13.8011  |paral   |2020yCat.1350....0G
3889|TYC 2863-1407-1                                                                                          |Star                                  |03 40 57.3523828704 +39 04 40.299817980|155.3949361239815 -12.8803676718760|   3.102 -1.492    |10.61    |~                 |    ~     ~    |    1| 1486.326   pc  | -37.1140    +37.1140  |paral   |2020yCat.1350....0G
3890|TYC 2863-1845-1                                                                                          |Star                                  |03 40 34.3684646376 +38 39 24.613862436|155.6005274861005 -13.2581433650303|  -1.192 -1.166    |10.96    |~                 |    ~     ~    |    1|  368.229   pc  |  -2.4136     +2.4136  |paral   |2020yCat.1350....0G
3891|TYC 2863-1868-1                                                                                          |Star                                  |03 44 39.3973416072 +37 39 48.908292480|156.8815936741759 -13.5372664054381|   5.251 -2.647    |10.60    |~                 |    ~     ~    |    1| 1264.542   pc  | -39.8168    +39.8168  |paral   |2020yCat.1350....0G
3892|TYC 2863-2627-1                                                                                          |Star                                  |03 42 34.7174844552 +38 06 43.137839556|156.2642962787865 -13.4432686360389|   3.656 -6.269    |10.92    |~                 |    ~     ~    |    1|  806.452   pc  | -11.2513    +11.2513  |paral   |2020yCat.1350....0G
3893|TYC 2866-93-1                                                                                            |Star                                  |03 30 41.6159402208 +40 19 50.727289296|153.0033387320166 -13.0634047185608| -10.187 -8.351    |10.87    |~                 |    ~     ~    |    1|  306.767   pc  |  -1.2704     +1.2704  |paral   |2020yCat.1350....0G
3894|TYC 2866-278-1                                                                                           |Star                                  |03 35 43.8272264232 +40 12 06.891694776|153.8757027169622 -12.5983067796383|   -1.951 0.722    |10.84    |~                 |    ~     ~    |    1| 1368.363   pc  | -36.1377    +36.1377  |paral   |2020yCat.1350....0G
3895|TYC 2866-285-1                                                                                           |Star                                  |03 30 45.9801213864 +40 05 34.347118740|153.1578938242294 -13.2481517901076|  -1.866 -3.774    |10.86    |~                 |    ~     ~    |    1| 1093.135   pc  | -19.2386    +19.2386  |paral   |2020yCat.1350....0G
3896|TYC 2866-361-1                                                                                           |Star                                  |03 35 24.3829255104 +40 05 19.903056036|153.8942541585650 -12.7259338456853|   0.478 -3.650    |10.31    |~                 |    ~     ~    |    1| 2421.308   pc  |-137.7742   +137.7742  |paral   |2020yCat.1350....0G
3897|TYC 2866-374-1                                                                                           |Star                                  |03 35 54.6102344808 +39 55 29.326278900|154.0742469965293 -12.7994354832840|   0.906 -2.748    |10.98    |~                 |    ~     ~    |    1| 1723.841   pc  | -49.9233    +49.9233  |paral   |2020yCat.1350....0G
3898|TYC 2866-1109-1                                                                                          |Star                                  |03 36 27.5894841744 +40 27 15.550265340|153.8345230056317 -12.3129737793217|  -3.885 -4.437    |10.93    |~                 |    ~     ~    |    1| 1561.768   pc  | -49.7580    +49.7580  |paral   |2020yCat.1350....0G
3899|TYC 2866-1845-1                                                                                          |Star                                  |03 33 22.7486509008 +40 55 42.068486892|153.0654411942410 -12.2804171419649|    9.230 1.952    |10.68    |~                 |    ~     ~    |    1| 1132.503   pc  | -28.0881    +28.0881  |paral   |2020yCat.1350....0G
3900|TYC 2866-2084-1                                                                                          |Star                                  |03 39 08.8111099056 +39 49 24.199470156|154.6440224007764 -12.5047176394703|  1.746 -11.433    |10.95    |~                 |    ~     ~    |    1|  893.256   pc  | -11.0909    +11.0909  |paral   |2020yCat.1350....0G
3901|TYC 2866-2147-1                                                                                          |Star                                  |03 35 23.2185419088 +39 48 23.129966664|154.0646412877646 -12.9543775745203|   4.052 -5.692    |10.38    |~                 |    ~     ~    |    1|  697.447   pc  |  -7.7343     +7.7343  |paral   |2020yCat.1350....0G
3902|TYC 2867-57-1                                                                                            |Star                                  |03 40 57.9767667144 +39 35 40.704620280|155.0708614709735 -12.4715914179315|   5.696 -8.107    |10.88    |~                 |    ~     ~    |    1|  979.048   pc  | -20.7044    +20.7044  |paral   |2020yCat.1350....0G
3903|TYC 2867-292-1                                                                                           |Star                                  |03 44 20.6018544840 +39 48 35.094166416|155.4567984261895 -11.9007257692069|   5.720 -5.790    |10.89    |~                 |    ~     ~    |    1| 1257.229   pc  | -26.0803    +26.0803  |paral   |2020yCat.1350....0G
3904|TYC 2867-792-1                                                                                           |Star                                  |03 43 22.6194786024 +40 59 00.294586728|154.5662384864780 -11.0946415187308|   2.281 -4.588    |10.94    |~                 |    ~     ~    |    1| 1422.475   pc  | -29.7445    +29.7445  |paral   |2020yCat.1350....0G
3905|TYC 2867-1281-1                                                                                          |Star                                  |03 40 55.6225883856 +40 52 29.008133112|154.2624154114522 -11.4650074049760|   1.393 -1.951    |10.89    |~                 |    ~     ~    |    1| 2732.240   pc  |-126.9073   +126.9073  |paral   |2020yCat.1350....0G
3906|TYC 2867-1781-1                                                                                          |Star                                  |03 44 52.3283551440 +40 16 08.486926392|155.2453359858367 -11.4784739737057|  14.118 -0.920    |10.95    |~                 |    ~     ~    |    1|  570.483   pc  |  -6.3138     +6.3138  |paral   |2020yCat.1350....0G
3907|TYC 2867-2121-1                                                                                          |Star                                  |03 42 54.5089768032 +40 22 36.848451000|154.8774980285219 -11.6262661824995|   1.067 -1.234    |10.99    |~                 |    ~     ~    |    1| 1724.138   pc  | -51.4269    +51.4269  |paral   |2020yCat.1350....0G
3908|TYC 2870-31-1                                                                                            |Star                                  |03 35 51.3994512960 +43 02 56.542805412|152.1610743843034 -10.2998293271949|   3.247 -3.886    |10.79    |~                 |    ~     ~    |    1|  841.397   pc  | -12.1059    +12.1059  |paral   |2020yCat.1350....0G
3909|TYC 2870-353-1                                                                                           |Star                                  |03 37 34.7305762728 +42 03 52.054303392|153.0185500017445 -10.8994882684415|   3.854 -3.302    |10.90    |~                 |    ~     ~    |    1| 2131.287   pc  | -74.4951    +74.4951  |paral   |2020yCat.1350....0G
3910|TYC 2870-367-1                                                                                           |Star                                  |03 38 22.0587947472 +42 13 19.458312636|153.0408362544578 -10.6856141768694|   2.923 -1.583    |10.73    |~                 |    ~     ~    |    1| 1253.133   pc  | -22.4559    +22.4559  |paral   |2020yCat.1350....0G
3911|TYC 2870-397-1                                                                                           |Star                                  |03 33 13.6125445320 +42 02 48.110821008|152.3675686661406 -11.3944217574256| 20.928 -14.844    |10.66    |~                 |    ~     ~    |    1|  690.369   pc  |  -7.4351     +7.4351  |paral   |2020yCat.1350....0G
3912|TYC 2870-451-1                                                                                           |Star                                  |03 34 10.9382223600 +41 56 52.362374568|152.5732284964807 -11.3693762071872|   0.792 -2.311    |10.90    |~                 |    ~     ~    |    1| 1621.008   pc  | -47.8236    +47.8236  |paral   |2020yCat.1350....0G
3913|TYC 2870-659-1                                                                                           |Star                                  |03 39 02.8414285032 +42 00 14.203698336|153.2771823389019 -10.7833261115333|    1.296 4.613    |10.95    |~                 |    ~     ~    |    1|  828.775   pc  | -12.6384    +12.6384  |paral   |2020yCat.1350....0G
3914|TYC 2870-819-1                                                                                           |Star                                  |03 33 14.7316082040 +42 26 39.463885176|152.1317827264033 -11.0709857735850|   0.747 -1.957    |10.86    |~                 |    ~     ~    |    1| 1670.286   pc  | -39.0580    +39.0580  |paral   |2020yCat.1350....0G
3915|TYC 2870-829-1                                                                                           |Star                                  |03 39 46.9423875432 +42 29 30.372683820|153.0867273943868 -10.3127760044176|  -4.601 -8.700    |10.84    |~                 |    ~     ~    |    1|  679.440   pc  |  -7.6632     +7.6632  |paral   |2020yCat.1350....0G
3916|TYC 2870-1188-1                                                                                          |Star                                  |03 33 51.7426614672 +42 32 52.218934548|152.1632320093063 -10.9203310889360| -10.116 -9.203    |10.91    |~                 |    ~     ~    |    1|  347.041   pc  |  -1.8066     +1.8066  |paral   |2020yCat.1350....0G
3917|TYC 2870-1290-1                                                                                          |Star                                  |03 32 11.6288791608 +42 50 52.407375000|151.7310955220431 -10.8575634837908|  9.528 -12.690    |10.98    |~                 |    ~     ~    |    1|  555.062   pc  |  -5.0219     +5.0219  |paral   |2020yCat.1350....0G
3918|TYC 2870-1335-1                                                                                          |Star                                  |03 36 09.4580480136 +42 50 55.935442356|152.3271927270827 -10.4278864810495| -16.574 -3.214    |10.85    |~                 |    ~     ~    |    1|  564.908   pc  |  -5.7442     +5.7442  |paral   |2020yCat.1350....0G
3919|TYC 2870-1521-1                                                                                          |Star                                  |03 32 06.9935063232 +42 47 57.543970920|151.7483148091921 -10.9052508785277|   -2.268 0.045    |10.15    |~                 |    ~     ~    |    1| 1303.101   pc  | -28.0182    +28.0182  |paral   |2020yCat.1350....0G
