C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:37:44

dec >=0&rah >=3.5&rah< 3.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4199

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
70  |HD 275449                                                                                                |Star                                  |03 33 58.6068793536 +40 48 16.822565028|153.2335911370939 -12.3131449191022| -14.900 -3.821    |10.52    |F5                |    ~     ~    |    1|  223.379   pc  |  -1.3023     +1.3023  |paral   |2020yCat.1350....0G
71  |HD 275455                                                                                                |Star                                  |03 33 20.8104820968 +40 23 16.737091980|153.3879446021321 -12.7196228037990| 23.703 -27.443    |10.45    |F8                |    ~     ~    |    1|  309.195   pc  |  -1.6922     +1.6922  |paral   |2020yCat.1350....0G
72  |HD 275370                                                                                                |Star                                  |03 30 14.0566533456 +40 06 09.177772608|153.0672852550147 -13.2998178618496|   -2.851 0.467    |9.35     |F2                |    ~     ~    |    1|  400.368   pc  | -13.0961    +13.0961  |paral   |2020yCat.1350....0G
73  |BD+39 813                                                                                                |Star                                  |03 34 15.6790290048 +39 51 18.816857532|153.8568538902369 -13.0443431984113|    4.323 0.535    |10.98    |K0                |    ~     ~    |    1| 1031.247   pc  | -81.7808    +81.7808  |paral   |2020yCat.1350....0G
74  |HD 22178                                                                                                 |Star                                  |03 35 56.6956038672 +39 35 52.571606064|154.2811351859979 -13.0567923381916|   0.744 -0.097    |8.66     |K5                |    ~     ~    |    1|  666.089   pc  | -10.0714    +10.0714  |paral   |2020yCat.1350....0G
75  |HD 275542                                                                                                |Red Giant Branch star Candidate       |03 37 10.9969929912 +39 44 36.564142092|154.3863132120474 -12.7970555428958|  -0.342 -5.704    |10.00    |G5                |    ~     ~    |    1|  751.089   pc  |  -8.8569     +8.8569  |paral   |2020yCat.1350....0G
76  |HD 22353                                                                                                 |Star                                  |03 37 23.2812635808 +40 05 23.104244544|154.2040611395773 -12.4973649192830|  3.399 -11.831    |7.008    |B9                |    ~     ~    |    1|  365.698   pc  |  -4.4935     +4.4935  |paral   |2020yCat.1350....0G
77  |HD 275628                                                                                                |Star                                  |03 38 41.3443874352 +39 42 41.998415184|154.6421754037367 -12.6469039148480|   3.712 -9.868    |9.61     |F8                |    ~     ~    |    1|  175.818   pc  |  -1.0046     +1.0046  |paral   |2020yCat.1350....0G
78  |HD 275631                                                                                                |Star                                  |03 38 44.6793598272 +39 34 05.862230688|154.7402842881384 -12.7541871812029| 22.352 -16.091    |10.87    |G5                |    ~     ~    |    1|  134.109   pc  |  -0.8885     +0.8885  |paral   |2020yCat.1350....0G
79  |HD 275617                                                                                                |Star                                  |03 40 59.5163512704 +40 09 05.462118072|154.7249856119639 -12.0289936297792|   3.402 -3.769    |10.14    |A2                |    ~     ~    |    1|  937.119   pc  | -18.0029    +18.0029  |paral   |2020yCat.1350....0G
80  |HD 275622                                                                                                |Spectroscopic Binary                  |03 41 02.6577080352 +39 48 02.221242336|154.9534326580551 -12.2998457940724|   -3.676 2.431    |10.33    |A2                |    ~     ~    |    1|  490.244   pc  |  -6.9939     +6.9939  |paral   |2020yCat.1350....0G
81  |HD 275727                                                                                                |Star                                  |03 42 54.1475362464 +39 54 04.138002900|155.1772239890941 -12.0007954276131| 35.268 -31.574    |9.26     |F8                |    ~     ~    |    1|  177.283   pc  |  -0.5437     +0.5437  |paral   |2020yCat.1350....0G
82  |HD 275730                                                                                                |Star                                  |03 43 42.7097222280 +39 38 37.073260068|155.4652933647564 -12.1063241772895|  12.541 -4.835    |10.00    |K2                |    ~     ~    |    1|  533.646   pc  |  -5.2684     +5.2684  |paral   |2020yCat.1350....0G
83  |HD 275551                                                                                                |Star                                  |03 34 52.8995033328 +39 27 51.353307756|154.1949362334546 -13.2866977196184| -4.134 -11.815    |9.40     |A2                |    ~     ~    |    1|  406.802   pc  |  -3.5083     +3.5083  |paral   |2020yCat.1350....0G
84  |HD 275554                                                                                                |Pulsating Variable                    |03 35 35.2512048768 +39 19 49.991617164|154.3894523105947 -13.3119982148633|  -2.268 -3.448    |10.07    |A0                |    ~     ~    |    1|  771.426   pc  | -18.3885    +18.3885  |paral   |2020yCat.1350....0G
85  |HD 22158                                                                                                 |Star                                  |03 35 42.0315038160 +39 18 35.217989064|154.4202290218671 -13.3154775469978|  3.011 -10.118    |8.930    |A0                |    ~     ~    |    1|  479.340   pc  |  -6.3875     +6.3875  |paral   |2020yCat.1350....0G
86  |HD 275556                                                                                                |Star                                  |03 35 45.2451094128 +39 16 08.192468496|154.4539629792063 -13.3418941899151|  -1.890 -5.889    |10.06    |F2                |    ~     ~    |    1|  361.154   pc  |  -4.0434     +4.0434  |paral   |2020yCat.1350....0G
87  |HD 275557                                                                                                |Star                                  |03 36 30.7200648144 +39 11 06.370394820|154.6262762292923 -13.3204481383478| -2.404 -15.685    |9.12     |F2                |    ~     ~    |    1|  372.135   pc  |  -5.0547     +5.0547  |paral   |2020yCat.1350....0G
88  |HD 22466                                                                                                 |Star                                  |03 38 16.6392679032 +39 11 44.015691408|154.8993598875180 -13.1049695907169| 16.843 -29.118    |9.02     |A2                |    ~     ~    |    1|  204.666   pc  |  -0.8336     +0.8336  |paral   |2020yCat.1350....0G
89  |HD 275636                                                                                                |Star                                  |03 39 08.4364057344 +39 23 08.055181644|154.9165793683558 -12.8525358139830| 23.861 -26.704    |9.45     |F8                |    ~     ~    |    1|  117.130   pc  |  -0.2154     +0.2154  |paral   |2020yCat.1350....0G
90  |V* IW Per                                                                                                |Spectroscopic Binary                  |03 33 35.0341163808 +39 53 58.116630120|153.7225841122453 -13.0860799083047| 15.466 -46.526    |5.776    |A3V               |    ~     ~    |    1|   56.463   pc  |  -0.1384     +0.1384  |paral   |2020yCat.1350....0G
91  |HD 275616                                                                                                |Star                                  |03 38 30.6818981928 +40 05 33.155892420|154.3774348100020 -12.3650743369551|   2.824 -6.613    |10.85    |G0                |    ~     ~    |    1|  508.802   pc  |  -5.4106     +5.4106  |paral   |2020yCat.1350....0G
92  |HD 275620                                                                                                |Star                                  |03 40 35.5812454752 +39 59 22.592619564|154.7648418321226 -12.2036939518407|  -2.819 -2.894    |10.61    |A3                |    ~     ~    |    1|  534.674   pc  |  -6.6895     +6.6895  |paral   |2020yCat.1350....0G
