C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:41:41

dec< 0&rah >=4.0&rah< 4.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 3224

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
49  |TYC 4725-236-1                                                                                           |Star                               |04 06 24.0705289632 -01 10 32.768910552|192.3398297916585 -36.5946698971537|    5.664 8.586   |10.61    |~              |    ~     ~    |    1|  837.802   pc  | -13.6873    +13.6873  |paral   |2020yCat.1350....0G
50  |TYC 4725-837-1                                                                                           |Star                               |04 07 08.4231623472 -02 01 28.025868180|193.3519633068468 -36.9056654435755|  -2.576 -3.566   |10.49    |~              |    ~     ~    |    1|  138.658   pc  |  -0.3403     +0.3403  |paral   |2020yCat.1350....0G
51  |* 35 Eri                                                                                                 |Star                               |04 01 32.0471006496 -01 32 58.771121676|191.8834030412169 -37.8142277754936| 28.479 -15.863   |5.28     |B5III/IV       |    ~     ~    |    1|  133.948   pc  |  -2.1028     +2.1028  |paral   |2020yCat.1350....0G
52  |HD 25659                                                                                                 |Spectroscopic Binary               |04 04 16.4780483304 -01 16 00.924375432|192.0667711975409 -37.0876837689106|   5.806 -9.554   |9.64     |A9IV/V         |    ~     ~    |    1|  361.703   pc  |  -1.9494     +1.9494  |paral   |2020yCat.1350....0G
53  |BD-02 808                                                                                                |Star                               |04 06 42.6635256432 -01 53 40.377963192|193.1426199705763 -36.9248168449383| 12.860 -13.430   |10.240   |~              |    ~     ~    |    1|  459.003   pc  | -13.9300    +13.9300  |ST-L    |2020AJ....160...83S
54  |TYC 4725-302-1                                                                                           |Star                               |04 04 30.8216393520 -01 02 33.196125912|191.8748255093242 -36.9132907194756|  5.684 -18.214   |10.85    |~              |    ~     ~    |    1|  442.497   pc  |  -4.0923     +4.0923  |paral   |2020yCat.1350....0G
55  |TYC 4725-390-1                                                                                           |Star                               |04 00 48.1136231112 -01 13 15.347057700|191.4089624627256 -37.7824420189608|   8.941 -1.335   |10.43    |~              |    ~     ~    |    1|  578.704   pc  |  -4.8895     +4.8895  |paral   |2020yCat.1350....0G
56  |TYC 4725-570-1                                                                                           |Star                               |04 05 30.7445494728 -02 24 42.808552560|193.4828402920523 -37.4576005869817|  12.367 -1.864   |10.569   |~              |    ~     ~    |    1|  581.531   pc  | -19.9700    +19.9700  |ST-L    |2020AJ....160...83S
57  |TYC 4725-589-1                                                                                           |Star                               |04 05 11.3854929480 -00 23 25.829173104|191.3187288349734 -36.4085802059995|  -3.528 -9.696   |10.125   |~              |    ~     ~    |    1|  723.906   pc  | -24.8800    +24.8800  |ST-L    |2020AJ....160...83S
58  |TYC 4725-828-1                                                                                           |Star                               |04 04 45.4800197736 -02 18 52.298857332|193.2506742146516 -37.5628312119759|   -8.031 3.525   |10.73    |~              |    ~     ~    |    1|  304.275   pc  |  -5.1870     +5.1870  |ST-L    |2020AJ....160...83S
59  |TYC 4725-913-1                                                                                           |Star                               |04 05 34.8662806008 -00 51 14.979684564|191.8649365410755 -36.5867634029594| 25.074 -32.073   |10.077   |~              |    ~     ~    |    1|  589.150   pc  | -15.6700    +15.6700  |ST-L    |2020AJ....160...83S
60  |TYC 4725-1040-1                                                                                          |Star                               |04 01 12.2388918288 -02 02 55.113971316|192.3523334642077 -38.1594756923339|  12.849 -9.584   |10.74    |~              |    ~     ~    |    1|  420.539   pc  |  -3.0772     +3.0772  |paral   |2020yCat.1350....0G
61  |TYC 4725-1155-1                                                                                          |Star                               |04 03 31.3727732952 -01 03 52.835401800|191.7249427470109 -37.1312486571653|  -11.672 6.128   |10.93    |~              |    ~     ~    |    1|  271.628   pc  |  -1.0920     +1.0920  |paral   |2020yCat.1350....0G
62  |TYC 4725-1156-1                                                                                          |Star                               |04 03 03.0801950664 -00 58 46.985861208|191.5539064200069 -37.1815374513337|  4.532 -20.691   |10.52    |~              |    ~     ~    |    1|  433.745   pc  |  -2.7280     +2.7280  |paral   |2020yCat.1350....0G
63  |HD 25457                                                                                                 |T Tauri Star                       |04 02 36.7442719512 -00 16 08.119921152|190.7406913329724 -36.8720667417601|150.027 -251.589  |5.38     |F7V            |    ~     ~    |    1|   18.707   pc  |  -0.0246     +0.0246  |paral   |2020yCat.1350....0G
64  |HD 25782                                                                                                 |High Proper Motion Star            |04 05 04.9171135704 -04 47 08.200970736|195.9668946899329 -38.8100616839337| -9.987 -89.974   |8.26     |F5V            |    ~     ~    |    1|  123.593   pc  |  -1.0200     +1.0200  |ST-L    |2020AJ....160...83S
65  |BD-05 800                                                                                                |High Proper Motion Star            |04 02 19.1261075328 -04 51 34.563113496|195.5857946222756 -39.4360741091111|  7.069 -52.385   |10.713   |~              |    ~     ~    |    1|  176.299   pc  |  -9.1660     +9.1660  |ST-L    |2020AJ....160...83S
66  |BD-05 820                                                                                                |Double or Multiple Star            |04 05 27.1527697296 -04 52 06.864682836|196.1193632531236 -38.7742383223737| 15.579 -46.444   |9.84     |~              |    ~     ~    |    1|  254.104   pc  |  -4.4450     +4.4450  |ST-L    |2020AJ....160...83S
67  |HD 25543                                                                                                 |Star                               |04 03 15.4369616448 -02 34 09.602450364|193.2628808869315 -38.0159726397506| -4.126 -45.766   |9.96     |A0V            |    ~     ~    |    1|  360.088   pc  |  -4.7975     +4.7975  |paral   |2020yCat.1350....0G
68  |HD 25560                                                                                                 |Double or Multiple Star            |04 03 23.3158 -02 29 41.508            |193.2062945 -37.9479125            |  16.997 -5.368   |10.03    |F2/3(IV)       |    ~     ~    |    0|                |                       |        |                   
69  |HD 25279                                                                                                 |Star                               |04 01 01.0026461496 -03 30 17.757129168|193.8813024900464 -38.9927142342063|  1.090 -11.114   |10.04    |G0/3V          |    ~     ~    |    1|  315.916   pc  |  -1.5270     +1.5270  |paral   |2020yCat.1350....0G
