C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:22:25

dec >=0&rah >=1.25&rah< 1.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4907

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
51  |BD+42 269                                                                                                                                   |Star                                  |01 15 54.1132650648 +43 30 40.639480488|127.6232832320694 -19.1375029911016|    1.277 9.639   |10.05    |K0                  |    ~     ~    |    1|  678.334   pc  |  -6.7640     +6.7640  |paral   |2020yCat.1350....0G
52  |TYC 2812-60-1                                                                                                                               |Star                                  |01 18 29.2955883216 +43 49 22.431601632|128.0802975839006 -18.7782767078937|   -3.767 3.214   |10.39    |~                   |    ~     ~    |    1|  805.153   pc  |  -9.2703     +9.2703  |paral   |2020yCat.1350....0G
53  |TYC 2812-509-1                                                                                                                              |Star                                  |01 15 41.1475712424 +44 44 38.269640004|127.4531442846319 -17.9148142532921|  3.069 -32.855   |10.81    |~                   |    ~     ~    |    1|  240.888   pc  |  -0.9052     +0.9052  |paral   |2020yCat.1350....0G
54  |TYC 2812-615-1                                                                                                                              |Star                                  |01 19 51.9337205544 +44 19 33.265651872|128.2793843564689 -18.2504762505700|   4.945 -4.967   |10.20    |~                   |    ~     ~    |    1|  759.763   pc  | -10.5058    +10.5058  |paral   |2020yCat.1350....0G
55  |TYC 2812-671-1                                                                                                                              |Star                                  |01 16 43.1489976648 +44 52 57.406222776|127.6299992478395 -17.7583936108431|   8.179 -1.943   |10.23    |~                   |    ~     ~    |    1|  883.783   pc  | -12.5753    +12.5753  |paral   |2020yCat.1350....0G
56  |TYC 2812-738-1                                                                                                                              |Star                                  |01 16 58.4634300456 +43 39 28.068370488|127.8117897427742 -18.9718581451326| 33.141 -13.311   |10.25    |~                   |    ~     ~    |    1|  252.781   pc  |  -1.4185     +1.4185  |paral   |2020yCat.1350....0G
57  |TYC 2812-809-1                                                                                                                              |Star                                  |01 16 57.5282121528 +44 33 03.480793344|127.7105655118059 -18.0838552090121|  -21.976 3.884   |10.48    |~                   |    ~     ~    |    1|  325.956   pc  |  -2.4118     +2.4118  |paral   |2020yCat.1350....0G
58  |TYC 2812-844-1                                                                                                                              |Star                                  |01 18 48.3764368896 +43 27 27.834491232|128.1837890206412 -19.1347542430685|   -5.736 1.688   |9.81     |~                   |    ~     ~    |    1|  683.153   pc  |  -6.7671     +6.7671  |paral   |2020yCat.1350....0G
59  |TYC 2812-903-1                                                                                                                              |Star                                  |01 16 03.1536172512 +44 59 03.163108128|127.4959669236944 -17.6692938872734|  9.127 -14.634   |10.04    |~                   |    ~     ~    |    1|  718.546   pc  | -10.0164    +10.0164  |paral   |2020yCat.1350....0G
60  |TYC 2812-1149-1                                                                                                                             |Star                                  |01 19 24.8799981984 +44 30 20.126372976|128.1734639079084 -18.0812414670136| 18.192 -27.555   |10.48    |~                   |    ~     ~    |    1|  260.838   pc  |  -1.1906     +1.1906  |paral   |2020yCat.1350....0G
61  |TYC 2812-1174-1                                                                                                                             |Star                                  |01 16 08.3651181024 +43 37 53.415402384|127.6557510796389 -19.0135624993334|  -4.822 -7.665   |10.68    |~                   |    ~     ~    |    1|  608.754   pc  |  -8.9310     +8.9310  |paral   |2020yCat.1350....0G
62  |TYC 2812-1217-1                                                                                                                             |Star                                  |01 17 17.9146522920 +44 49 07.365112500|127.7442473604949 -17.8112596316442|   9.030 -1.500   |10.60    |~                   |    ~     ~    |    1|  503.170   pc  |  -3.3420     +3.3420  |paral   |2020yCat.1350....0G
63  |TYC 2812-1280-1                                                                                                                             |Star                                  |01 15 04.1982823656 +43 47 21.850034568|127.4358941823297 -18.8755806920662|-11.511 -10.948   |10.52    |~                   |    ~     ~    |    1|  451.386   pc  |  -3.9935     +3.9935  |paral   |2020yCat.1350....0G
64  |TYC 2812-1341-1                                                                                                                             |Star                                  |01 19 28.4131291800 +44 18 04.586836320|128.2090182319182 -18.2830206499464|   -0.188 3.555   |9.96     |~                   |    ~     ~    |    1| 1176.609   pc  | -30.5954    +30.5954  |paral   |2020yCat.1350....0G
65  |TYC 2812-1671-1                                                                                                                             |Star                                  |01 16 14.7575 +44 29 08.935            |127.5846040 -18.1617021            |      -6.5 -4.1   |10.73    |~                   |    ~     ~    |    0|                |                       |        |                   
66  |TYC 2812-2054-1                                                                                                                             |Star                                  |01 18 09.9026484480 +43 27 01.579078908|128.0622212974411 -19.1549110031956|   -1.975 3.629   |10.97    |~                   |    ~     ~    |    1|  478.263   pc  |  -4.3231     +4.3231  |paral   |2020yCat.1350....0G
67  |TYC 2825-744-1                                                                                                                              |Star                                  |01 20 53.3898241752 +44 57 19.311082632|128.3916129096236 -17.6039396695059|  0.018 -11.103   |10.58    |~                   |    ~     ~    |    1|  602.845   pc  |  -6.2872     +6.2872  |paral   |2020yCat.1350....0G
