C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:07:16

dec< 0&rah >=12.5&rah< 12.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5075

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
49  |HD 108961                                                                                                                                                                      |Star                                  |12 31 16.9538058720 -07 39 55.537461828|294.2323418542050 +54.8655105450341|-22.107 -33.989   |9.628    |F7V            |    ~     ~    |    1|  536.971   pc  | -17.8300    +17.8300    |ST-L    |2020AJ....160...83S
50  |HD 109219                                                                                                                                                                      |High Proper Motion Star               |12 33 11.9410644528 -07 16 05.352745800|294.9651347588380 +55.3212141828238|-56.247 -75.976   |9.22     |G5V            |    ~     ~    |    1|  123.690   pc  |  -0.4161     +0.4161    |paral   |2020yCat.1350....0G
51  |BD-07 3415                                                                                                                                                                     |Star                                  |12 30 06.6 -07 48 13                   |293.7670 +54.6882                  |            ~ ~   |9.6      |~              |    ~     ~    |    0|                |                         |        |                   
52  |HD 108809                                                                                                                                                                      |Star                                  |12 30 12.8540447616 -08 10 15.753579780|293.9009748442588 +54.3281322144639| -14.210 -2.194   |9.79     |F3V            |    ~     ~    |    1|  187.444   pc  |  -3.4440     +3.4440    |ST-L    |2020AJ....160...83S
53  |HD 108878                                                                                                                                                                      |Star                                  |12 30 42.0563378472 -08 02 03.977880180|294.0730954615207 +54.4802331767911| -24.314 -7.736   |10.03    |F3/5V          |    ~     ~    |    1|  254.278   pc  |  -1.4613     +1.4613    |paral   |2020yCat.1350....0G
54  |HD 108988                                                                                                                                                                      |Star                                  |12 31 27.0650553552 -08 09 30.508771500|294.4182827230823 +54.3825514111554|  8.540 -17.671   |9.00     |K2/3III        |    ~     ~    |    1|  441.891   pc  |  -4.8231     +4.8231    |paral   |2020yCat.1350....0G
55  |HD 109220                                                                                                                                                                      |Star                                  |12 33 11.8886406480 -08 11 25.543157640|295.1617990669545 +54.4059096164398| 25.674 -35.294   |9.70     |G5V            |    ~     ~    |    1|   73.354   pc  |  -0.0925     +0.0925    |paral   |2020yCat.1350....0G
56  |BD-07 3429                                                                                                                                                                     |Star                                  |12 33 31.4692138488 -08 06 23.151791556|295.2822731044356 +54.4990352110464| -3.493 -42.029   |10.35    |~              |    ~     ~    |    1|  213.616   pc  |  -2.6512     +2.6512    |paral   |2020yCat.1350....0G
57  |NGC 4487                           NGC 4487                                                                                                                                    |Galaxy towards a Group of Galaxies    |12 31 04.4731449720 -08 03 14.548820040|294.2353913075675 +54.4735007961099|    0.055 0.015   |     ~   |~              |1.267 0.963    |    1|   13.61    Mpc |  -2.27       +2.27      |T-F     |2020ApJ...902..145K
58  |NGC 4504                           NGC 4504                                                                                                                                    |Galaxy towards a Group of Galaxies    |12 32 17.4213303288 -07 33 48.904197084|294.6396405696240 +54.9995813813182|    0.023 0.318   |     ~   |~              |1.220 0.952    |    1|   14.45    Mpc |  -1.69       +1.69      |T-F     |2020ApJ...902..145K
59  |BD-05 3512                                                                                                                                                                     |Star                                  |12 30 02.5313346408 -06 43 56.118756648|293.4651213603073 +55.7457246730860|   0.992 -0.863   |9.989    |~              |    ~     ~    |    1|  587.720   pc  | -22.4600    +22.4600    |ST-L    |2020AJ....160...83S
60  |BD-05 3515                                                                                                                                                                     |Star                                  |12 30 08.4821291760 -06 11 36.453437160|293.3659770003550 +56.2822288688805|-12.828 -20.564   |10.275   |~              |    ~     ~    |    1|  405.457   pc  | -11.0700    +11.0700    |ST-L    |2020AJ....160...83S
61  |BD-05 3517                                                                                                                                                                     |Star                                  |12 30 38.9129608032 -06 15 45.401544396|293.6087257161807 +56.2323441287096|   0.105 14.297   |10.53    |~              |    ~     ~    |    1|  274.439   pc  |  -1.5666     +1.5666    |paral   |2020yCat.1350....0G
62  |BD-05 3518                                                                                                                                                                     |Star                                  |12 30 40.7171042208 -06 03 28.810460556|293.5684241994731 +56.4358666843045| 20.356 -10.080   |10.31    |~              |    ~     ~    |    1|  337.280   pc  |  -2.8894     +2.8894    |paral   |2020yCat.1350....0G
63  |BD-06 3586                                                                                                                                                                     |Star                                  |12 30 46.3506687264 -07 15 50.121211464|293.9168467644386 +55.2456893012935| -15.333 -9.739   |10.26    |~              |    ~     ~    |    1| 3514.938   pc  |-191.4993   +191.4993    |paral   |2020yCat.1350....0G
64  |BD-05 3519                                                                                                                                                                     |Star                                  |12 31 47.8204315152 -05 58 45.533496576|294.0468074345716 +56.5532191180175| 31.867 -12.205   |10.871   |~              |    ~     ~    |    1|  139.603   pc  |  -8.1970     +8.1970    |ST-L    |2020AJ....160...83S
65  |BD-07 3424                                                                                                                                                                     |Star                                  |12 32 18.9512639112 -08 04 05.515256352|294.7629338253947 +54.4999694794346| -12.312 -5.358   |10.920   |~              |    ~     ~    |    1|  956.518   pc  | -52.1000    +52.1000    |ST-L    |2020AJ....160...83S
66  |BD-05 3524                                                                                                                                                                     |High Proper Motion Star               |12 33 08.3446858056 -06 17 28.048442604|294.7196117824838 +56.2885662448072| -64.377 -4.469   |10.69    |~              |    ~     ~    |    1|  191.600   pc  |  -0.6204     +0.6204    |paral   |2020yCat.1350....0G
67  |TYC 4954-33-1                                                                                                                                                                  |Star                                  |12 32 33.0363322536 -07 18 16.848529452|294.6931134380944 +55.2646459502321|  -2.857 -2.730   |10.56    |~              |    ~     ~    |    1| 2774.695   pc  |-173.2260   +173.2260    |paral   |2020yCat.1350....0G
68  |TYC 4954-632-1                                                                                                                                                                 |Star                                  |12 30 19.5362063424 -06 04 54.069560508|293.4177691691813 +56.3995591585010|  -31.233 2.111   |10.991   |~              |    ~     ~    |    1|  265.707   pc  |  -4.5150     +4.5150    |ST-L    |2020AJ....160...83S
69  |TYC 4954-701-1                                                                                                                                                                 |High Proper Motion Star               |12 30 04.7875676040 -06 22 34.525478712|293.3876102440341 +56.0991871545438|-88.369 -26.036   |10.79    |~              |    ~     ~    |    1|  275.900   pc  |  -1.5300     +1.5300    |paral   |2020yCat.1350....0G
70  |TYC 5527-237-1                                                                                                                                                                 |Star                                  |12 30 09.2185163472 -08 11 39.233629932|293.8811451831190 +54.3030574582545|  -5.892 -1.111   |10.387   |~              |    ~     ~    |    1|  471.157   pc  | -17.8000    +17.8000    |ST-L    |2020AJ....160...83S
71  |HD 109003                                                                                                                                                                      |Star                                  |12 31 35.6597284560 -08 31 17.850498672|294.5603287517309 +54.0272608056905|-20.592 -14.716   |9.867    |F2/3V          |    ~     ~    |    1|  220.354   pc  |  -3.3570     +3.3570    |ST-L    |2020AJ....160...83S
72  |HD 109084                                                                                                                                                                      |Star                                  |12 32 01.4237339832 -08 36 42.351523488|294.7592130587364 +53.9516263458541| -7.273 -14.100   |8.82     |G0V            |    ~     ~    |    1|  187.621   pc  |  -0.8308     +0.8308    |paral   |2020yCat.1350....0G
73  |HD 109207                                                                                                                                                                      |Double or Multiple Star               |12 33 04.3586 -08 27 31.892            |295.1649195 +54.1356963            |   -49.90 11.90   |10.09    |G8IV           |    ~     ~    |    0|                |                         |        |                   
74  |BD-07 3419                                                                                                                                                                     |Star                                  |12 31 10.8726685944 -08 30 42.644814624|294.3857774259998 +54.0234330922065|  11.315 15.970   |10.93    |~              |    ~     ~    |    1|  224.886   pc  |  -0.9710     +0.9710    |paral   |2020yCat.1350....0G
