C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:34:56

dec< 0&rah >=16.0&rah< 16.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6325

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
45  |HD 325367                                                             |Orion Variable                    |16 03 05.4915085848 -40 18 25.426727676|337.9140859342936 +09.2027561326279|-10.157 -22.531    |8.50     |M0               |    ~     ~    |    1|  154.717   pc  |  -0.3591     +0.3591  |paral   |2020yCat.1350....0G
46  |CD-38 10808                                                           |Star                              |16 01 22.07 -38 35 37.9                |338.82525 +10.69955                |            ~ ~    |10.8     |~                |    ~     ~    |    0|                |                       |        |                   
47  |CPD-38 6343B                                                          |Star                              |16 03 25.826 -38 28 36.32              |339.209682 +10.516163              |     -15.1 -6.6    |10.72    |~                |    ~     ~    |    0|                |                       |        |                   
48  |TYC 7851-1821-1                                                       |Star                              |16 03 26.6918534616 -38 28 50.858797332|339.2090444711573 +10.5112752505695| -17.302 -5.208    |10.35    |~                |    ~     ~    |    1|  238.635   pc  |  -2.5626     +2.5626  |paral   |2020yCat.1350....0G
49  |CD-38 10814                                                           |Star                              |16 01 32.4170811480 -38 22 24.571319880|339.0006575632344 +10.8409967392309| -7.807 -14.427    |10.06    |~                |    ~     ~    |    1|  496.032   pc  |  -5.4869     +5.4869  |paral   |2020yCat.1350....0G
50  |CD-39 10295                                                           |Star                              |16 04 16.5047574984 -39 52 18.479548452|338.3800567380173 +09.3737025705388|  -3.165 -2.202    |10.11    |~                |    ~     ~    |    1|  482.695   pc  |  -7.2228     +7.2228  |paral   |2020yCat.1350....0G
51  |CD-38 10870                                                           |High Proper Motion Star           |16 06 08.9995576896 -39 11 34.564809624|339.1151920959426 +09.6303153511049|-68.453 -68.745    |10.08    |~                |    ~     ~    |    1|  108.439   pc  |  -0.1940     +0.1940  |paral   |2020yCat.1350....0G
52  |CD-39 10318                                                           |High Proper Motion Star           |16 07 21.4272234024 -39 42 14.650092648|338.9368459530634 +09.0968383356063|-58.580 -29.400    |10.40    |~                |    ~     ~    |    1|  185.209   pc  |  -0.5557     +0.5557  |paral   |2020yCat.1350....0G
53  |CD-40 10126                                                           |Star                              |16 01 12.2757610800 -40 28 50.053737792|337.5255731603130 +09.3129715351962|  -6.601 -5.170    |10.06    |~                |    ~     ~    |    1|  477.737   pc  |  -3.9941     +3.9941  |paral   |2020yCat.1350....0G
54  |V* LM Lup                                                             |alpha2 CVn Variable               |16 04 44.4888713016 -39 26 04.779908880|338.7458186865581 +09.6364115845733|-16.497 -26.313    |6.94     |ApSiCr           |    ~     ~    |    1|  142.189   pc  |  -0.8552     +0.8552  |paral   |2020yCat.1350....0G
55  |HD 325369                                                             |Spectroscopic Binary              |16 03 57.2899909872 -40 21 11.901385620|338.0063942191808 +09.0581790249507|  -5.925 -9.932    |10.62    |F5               |    ~     ~    |    1|  446.867   pc  |  -5.7511     +5.7511  |paral   |2020yCat.1350....0G
56  |HD 325372                                                             |Star                              |16 05 22.9199016888 -40 41 25.964723256|337.9799722108485 +08.6261984199298| 10.972 -37.922    |10.66    |G0               |    ~     ~    |    1|  252.774   pc  |  -1.2907     +1.2907  |paral   |2020yCat.1350....0G
57  |[SC96] Mis 6                                                          |Star                              |16 06 06.0 -39 49 00                   |338.6797 +09.1780                  |            ~ ~    |7.78     |~                |    ~     ~    |    0|                |                       |        |                   
58  |CD-38 10809                                                           |Double or Multiple Star           |16 01 24.7907969592 -38 37 20.045456652|338.8126859104223 +10.6725065108418| -39.654 -3.557    |9.988    |~                |    ~     ~    |    1|  528.821   pc  |  -5.3134     +5.3134  |paral   |2020yCat.1350....0G
59  |CD-38 10811                                                           |Star                              |16 01 30.6660259440 -39 02 31.194546900|338.5421854416326 +10.3471922699713|-27.458 -16.892    |10.443   |~                |    ~     ~    |    1|  313.647   pc  |  -1.7117     +1.7117  |paral   |2020yCat.1350....0G
60  |CD-38 10813                                                           |Spectroscopic Binary              |16 01 35.0607537696 -39 14 26.670381648|338.4181890868466 +10.1896674222313|  -3.323 -0.272    |10.76    |~                |    ~     ~    |    1| 1368.176   pc  |-129.5359   +129.5359  |paral   |2020yCat.1350....0G
61  |CD-39 10290                                                           |Star                              |16 02 47.0733917616 -39 25 15.046185432|338.4712626881122 +09.9005785634862|   0.669 -4.938    |10.25    |~                |    ~     ~    |    1|  546.687   pc  |  -5.7084     +5.7084  |paral   |2020yCat.1350....0G
62  |CD-38 10847                                                           |Star                              |16 04 28.6758093696 -39 04 16.379124636|338.9562518790773 +09.9392198714867|  -2.872 -2.597    |10.56    |~                |    ~     ~    |    1|  669.478   pc  |  -7.2160     +7.2160  |paral   |2020yCat.1350....0G
63  |CD-38 10862                                                           |Star                              |16 05 25.8193633512 -38 59 15.392142852|339.1520403335053 +09.8759575587844|   -5.547 2.305    |10.34    |~                |    ~     ~    |    1|  624.883   pc  |  -6.1696     +6.1696  |paral   |2020yCat.1350....0G
64  |CD-38 10866                                                           |T Tauri Star                      |16 05 45.0016393344 -39 06 06.533278704|339.1199644739249 +09.7498730267792|-17.743 -28.535    |10.584   |K0Ve             |    ~     ~    |    1|  133.955   pc  |  -0.3822     +0.3822  |paral   |2020yCat.1350....0G
65  |CD-38 10871                                                           |Spectroscopic Binary              |16 06 11.4133638672 -38 57 27.507015216|339.2829031960562 +09.7979397880446|  -1.067 -1.040    |10.60    |~                |    ~     ~    |    1| 1136.364   pc  | -26.4721    +26.4721  |paral   |2020yCat.1350....0G
66  |CD-38 10879                                                           |Star                              |16 07 00.0321421368 -38 47 26.443356324|339.5154601067995 +09.8132833926875| -1.144 -10.395    |10.07    |~                |    ~     ~    |    1|  427.204   pc  |  -3.6501     +3.6501  |paral   |2020yCat.1350....0G
67  |CD-40 10147                                                           |Star                              |16 03 04.7846131728 -40 43 13.286897400|337.6325042289916 +08.8969931488142|   -0.593 0.059    |10.72    |~                |    ~     ~    |    1|  638.733   pc  |  -6.4053     +6.4053  |paral   |2020yCat.1350....0G
68  |CD-40 10173                                                           |Star                              |16 04 56.2469847072 -41 07 27.399020340|337.6219352595765 +08.3620304704642|    2.941 1.252    |10.64    |~                |    ~     ~    |    1|  464.102   pc  |  -3.8986     +3.8986  |paral   |2020yCat.1350....0G
69  |CD-40 10194                                                           |Star                              |16 06 52.3462280496 -40 19 47.184233628|338.4378402172962 +08.7005184119735|  -0.892 -4.876    |10.64    |~                |    ~     ~    |    1|  867.830   pc  | -14.5354    +14.5354  |paral   |2020yCat.1350....0G
70  |HD 325392                                                             |Star                              |16 07 00.1899454512 -40 20 02.763641256|338.4533926055660 +08.6804417118747|  -6.506 -5.176    |9.80     |K5               |    ~     ~    |    1|  790.451   pc  | -11.5590    +11.5590  |paral   |2020yCat.1350....0G
71  |CPD-39 6885                                                           |Star                              |16 07 18.1047993264 -40 19 33.503461104|338.5012464145916 +08.6477900298949|  -6.176 -6.030    |10.16    |~                |    ~     ~    |    1|  623.131   pc  |  -6.2903     +6.2903  |paral   |2020yCat.1350....0G
72  |HD 143962                                                             |Star                              |16 04 58.9626417048 -41 12 20.649845628|337.5729489272465 +08.2960096247899|-10.284 -43.275    |10.89    |G2/3(V)          |    ~     ~    |    1|  147.977   pc  |  -0.4358     +0.4358  |paral   |2020yCat.1350....0G
73  |CD-40 10157                                                           |Star                              |16 03 59.2673784192 -41 04 40.243112004|337.5193966177341 +08.5165458362801| -8.668 -10.882    |10.57    |~                |    ~     ~    |    1|  908.926   pc  | -16.0272    +16.0272  |paral   |2020yCat.1350....0G
74  |CD-38 10835                                                           |Star                              |16 03 24.6476999496 -38 39 04.800528036|339.0874070677260 +10.3895412924278|  -4.771 -4.702    |10.8     |~                |    ~     ~    |    1| 1645.549   pc  | -78.5271    +78.5271  |paral   |2020yCat.1350....0G
75  |CPD-38 6347                                                           |Star                              |16 03 40.2250662024 -38 59 38.446752300|338.8912994412530 +10.1018871660221| -13.647 -5.611    |10.51    |~                |    ~     ~    |    1|  649.519   pc  |  -7.8469     +7.8469  |paral   |2020yCat.1350....0G
76  |CD-40 10142                                                           |Star                              |16 02 47.8657968192 -40 33 46.326160836|337.6987672693522 +09.0498989664217| -6.648 -11.252    |10.62    |~                |    ~     ~    |    1|  919.202   pc  | -31.9385    +31.9385  |paral   |2020yCat.1350....0G
77  |CPD-38 6343                                                           |Double or Multiple Star           |16 03 25.771 -38 28 36.02              |339.209604 +10.516346              |     -15.4 -4.7    |10.60    |~                |    ~     ~    |    0|                |                       |        |                   
78  |TYC 7851-47-1                                                         |Star                              |16 06 27.3510230304 -38 58 09.136023240|339.3134199331151 +09.7544033529715| -10.221 -2.333    |10.99    |~                |    ~     ~    |    1|  382.687   pc  |  -3.0461     +3.0461  |paral   |2020yCat.1350....0G
79  |TYC 7851-424-1                                                        |Star                              |16 00 28.9392368568 -38 14 29.278970628|338.9329189620121 +11.0778150388317|   0.898 -2.754    |10.68    |~                |    ~     ~    |    1|  375.686   pc  |  -3.6979     +3.6979  |paral   |2020yCat.1350....0G
80  |TYC 7851-641-1                                                        |Star                              |16 05 40.4021903568 -39 02 15.730889928|339.1529041486433 +09.8071266273541|  -4.582 -5.337    |10.95    |~                |    ~     ~    |    1|  679.856   pc  |  -6.8868     +6.8868  |paral   |2020yCat.1350....0G
81  |TYC 7851-1189-1                                                       |Star                              |16 05 19.7982145680 -38 55 54.703793064|339.1757389035938 +09.9302093946268|   -1.617 4.703    |10.76    |~                |    ~     ~    |    1|  479.019   pc  |  -6.4478     +6.4478  |paral   |2020yCat.1350....0G
82  |HD 325373                                                             |Star                              |16 02 51.9865005456 -40 51 21.917273832|337.5103179281138 +08.8229825834101|-15.236 -28.159    |10.63    |K0               |    ~     ~    |    1|  266.432   pc  |  -1.3487     +1.3487  |paral   |2020yCat.1350....0G
83  |HD 325370                                                             |Star                              |16 04 09.6235941864 -40 23 23.392917780|338.0109485641696 +09.0048240474518| -19.544 -0.490    |10.86    |G                |    ~     ~    |    1|  376.634   pc  |  -7.1210     +7.1210  |paral   |2020yCat.1350....0G
84  |TYC 7855-208-1                                                        |Star                              |16 06 41.3724471648 -40 21 11.554919136|338.3958476249017 +08.7069095531963| -4.825 -11.424    |10.39    |~                |    ~     ~    |    1|  613.008   pc  |  -6.6513     +6.6513  |paral   |2020yCat.1350....0G
85  |CD-39 10287                                                           |Star                              |16 02 15.7391306136 -40 18 21.792640680|337.7955906166636 +09.3091263823303|-21.995 -12.199    |10.88    |~                |    ~     ~    |    1|  344.199   pc  |  -2.6064     +2.6064  |paral   |2020yCat.1350....0G
86  |HD 325374                                                             |Star                              |16 05 10.2910082016 -40 53 33.418159296|337.8125359174026 +08.5036975540928|-34.379 -34.470    |10.70    |F8               |    ~     ~    |    1|  254.265   pc  |  -1.4223     +1.4223  |paral   |2020yCat.1350....0G
87  |TYC 7855-954-1                                                        |Star                              |16 02 03.3845852976 -39 44 49.611472836|338.1440036973710 +09.7517363871734|-39.617 -15.606    |10.79    |~                |    ~     ~    |    1|  367.040   pc  |  -2.3306     +2.3306  |paral   |2020yCat.1350....0G
88  |TYC 7855-1076-1                                                       |Star                              |16 05 47.3796421344 -40 48 10.036339128|337.9610663020093 +08.4912525335228|       9.0 -4.1    |10.914   |~                |    ~     ~    |    0|                |                       |        |                   
89  |IRAS 16009-4007                                                       |Long-Period Variable Candidate    |16 04 17.4025811160 -40 15 59.897606220|338.1132826457531 +09.0794800084300|  -1.052 -2.139    |10.73    |~                |    ~     ~    |    1| 1151.28    pc  | -66.6697    +66.6697  |paral   |2020yCat.1350....0G
90  |HD 144477                                                             |High Proper Motion Star           |16 07 38.1745539720 -39 05 59.576739432|339.3936666369085 +09.5026890545144|-51.552 -42.401    |9.22     |F6V              |    ~     ~    |    1|  131.669   pc  |  -0.3467     +0.3467  |paral   |2020yCat.1350....0G
91  |V* V1027 Sco                                                          |alpha2 CVn Variable               |16 08 34.5616203192 -39 05 34.278268848|339.5336060710207 +09.3833543106834| -7.895 -19.908    |6.629    |A0/3III          |    ~     ~    |    1|  158.441   pc  |  -1.2326     +1.2326  |paral   |2020yCat.1350....0G
92  |HD 144529                                                             |Star                              |16 07 53.0128617960 -39 51 24.121504836|338.9067099938599 +08.9161739914327|  -7.652 -7.223    |9.60     |A0V              |    ~     ~    |    1|  454.298   pc  |  -4.3341     +4.3341  |paral   |2020yCat.1350....0G
93  |HD 144571                                                             |Star                              |16 08 12.0 -39 53 00                   |338.9333 +08.8553                  |            ~ ~    |10.9     |A0V              |    ~     ~    |    0|                |                       |        |                   
94  |HD 144643                                                             |Star                              |16 08 32.9485719696 -39 44 25.767109320|339.0815767275117 +08.9139981016806|    5.601 7.484    |9.99     |G5/8(III)        |    ~     ~    |    1|  586.889   pc  | -40.1615    +40.1615  |paral   |2020yCat.1350....0G
95  |HD 144770                                                             |Star                              |16 09 07.9804071816 -39 58 54.621444144|338.9974953750030 +08.6612174124895|  15.707 -9.699    |9.60     |F7/8V            |    ~     ~    |    1|  110.748   pc  |  -0.2171     +0.2171  |paral   |2020yCat.1350....0G
96  |HD 144810                                                             |Star                              |16 09 17.3668341192 -39 38 47.048687448|339.2518826243295 +08.8853001236045| -35.972 -3.579    |9.07     |G0V              |    ~     ~    |    1|  112.353   pc  |  -0.2512     +0.2512  |paral   |2020yCat.1350....0G
97  |HD 144965                                                             |Be Star                           |16 10 10.5557672592 -40 07 43.767402492|339.0427438041324 +08.4174344435130|  -4.913 -7.480    |7.114    |B3Vne            |    ~     ~    |    1|  259.747   pc  |  -2.1388     +2.1388  |paral   |2020yCat.1350....0G
98  |HD 144791                                                             |Star                              |16 09 15.4788483192 -40 11 55.628396340|338.8651128713016 +08.4865707700106|  20.635 -4.343    |9.99     |F6V              |    ~     ~    |    1|  201.288   pc  |  -1.3735     +1.3735  |paral   |2020yCat.1350....0G
99  |HD 144435                                                             |Star                              |16 07 35.4116686290 -40 39 05.362261442|338.3184023773922 +08.3716218455531|  -1.392 -4.769    |10.59    |A1/2IV/V         |    ~     ~    |    1|  669.8372  pc  | -26.5171    +26.5171  |paral   |2018yCat.1345....0G
100 |HD 144434                                                             |Star                              |16 07 35.6062257720 -40 22 22.051738956|338.5103224556987 +08.5756784616097|-12.945 -20.169    |9.69     |G6/K1(III)       |    ~     ~    |    1|  480.354   pc  |  -4.1764     +4.1764  |paral   |2020yCat.1350....0G
