C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:34:56

dec< 0&rah >=16.0&rah< 16.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6325

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
4949|HD 327947                                                             |Star                              |16 14 46.2744976608 -45 45 12.157493112|335.7612949351710 +03.7590929644004|  -1.443 -7.539    |10.87    |B9               |    ~     ~    |    1|  732.172   pc  |  -9.3277     +9.3277  |paral   |2020yCat.1350....0G
4950|HD 327942                                                             |Star                              |16 12 11.7581925168 -45 45 15.769906560|335.4340320480715 +04.0676307427723|-25.102 -24.400    |10.93    |K5               |    ~     ~    |    1|  505.331   pc  |  -4.0858     +4.0858  |paral   |2020yCat.1350....0G
4951|TYC 8311-1703-1                                                       |Star                              |16 10 25.0933717464 -45 27 34.024210920|335.4085028482724 +04.4954203586513|   1.299 -7.243    |10.83    |~                |    ~     ~    |    1|  735.024   pc  |  -9.8868     +9.8868  |paral   |2020yCat.1350....0G
4952|HD 327888                                                             |Star                              |16 11 34.5956912928 -46 01 58.064518560|335.1642224976832 +03.9384528532934|    5.343 4.895    |10.44    |G5               |    ~     ~    |    1|  136.461   pc  |  -0.3296     +0.3296  |paral   |2020yCat.1350....0G
4953|TYC 8315-608-1                                                        |Star                              |16 08 42.9804208680 -47 04 36.813504036|334.0914639743200 +03.5072413509622| 22.705 -12.258    |10.88    |~                |    ~     ~    |    1|  523.040   pc  |  -4.2951     +4.2951  |paral   |2020yCat.1350....0G
4954|HD 330400                                                             |Star                              |16 12 09.1553452632 -47 10 23.585824272|334.4548874535103 +03.0389709941355|  -8.390 -8.203    |10.86    |A7               |    ~     ~    |    1|  397.978   pc  |  -2.3916     +2.3916  |paral   |2020yCat.1350....0G
4955|HD 327811                                                             |Star                              |16 06 48.6593453856 -46 13 02.577799560|334.4301305391375 +04.3625337200712|   -3.603 1.110    |10.22    |M0               |    ~     ~    |    1| 1194.886   pc  | -43.2609    +43.2609  |paral   |2020yCat.1350....0G
4956|HD 327870                                                             |Star                              |16 11 01.8571132968 -45 25 25.816201104|335.5117055598928 +04.4481573595381|   10.498 8.624    |10.53    |K0               |    ~     ~    |    1|  655.523   pc  |  -7.1762     +7.1762  |paral   |2020yCat.1350....0G
4957|HD 327944                                                             |Star                              |16 12 42.0076298928 -45 59 49.837065576|335.3311046321417 +03.8307627519517| -1.529 -18.680    |10.51    |F0               |    ~     ~    |    1|  348.651   pc  |  -2.8566     +2.8566  |paral   |2020yCat.1350....0G
4958|HD 330349                                                             |Star                              |16 08 32.9256361104 -46 47 29.511985344|334.2636527061854 +03.7368475200127|  -3.851 -5.823    |10.57    |B9               |    ~     ~    |    1|  928.591   pc  | -15.4348    +15.4348  |paral   |2020yCat.1350....0G
4959|HD 330398                                                             |Emission-line Star                |16 14 33.4999339200 -47 17 53.000147832|334.6659314672322 +02.6675995189913|  -0.810 -2.107    |10.86    |F2               |    ~     ~    |    1| 1046.025   pc  | -65.4313    +65.4313  |paral   |2020yCat.1350....0G
4960|HD 143217                                                             |Star                              |16 00 42.5054582813 -41 01 20.430637617|337.0903527222678 +08.9698814576500|   -1.876 0.150    |9.31     |B9IV/V           |    ~     ~    |    0|                |                       |        |                   
4961|HD 143505                                                             |Spectroscopic Binary              |16 02 20.6191320480 -41 05 49.160480280|337.2733493392197 +08.7093170827603|   2.174 -8.970    |9.90     |F2V              |    ~     ~    |    1|  218.460   pc  |  -0.8638     +0.8638  |paral   |2020yCat.1350....0G
4962|CD-41 10493                                                           |Star                              |16 02 34.5310869216 -42 05 22.265503296|336.6381062200573 +07.9399506417884|  -6.243 -6.819    |10.07    |~                |    ~     ~    |    1|  485.201   pc  |  -3.3901     +3.3901  |paral   |2020yCat.1350....0G
4963|HD 143623                                                             |Star                              |16 03 15.9945611280 -41 51 35.211366252|336.8894144449763 +08.0256141800727|  4.202 -10.447    |10.53    |F0/2V            |    ~     ~    |    1|  413.514   pc  |  -2.7701     +2.7701  |paral   |2020yCat.1350....0G
4964|HD 143749                                                             |Star                              |16 03 55.3108485264 -41 21 31.463105148|337.3198569332965 +08.3163149565892|   0.753 -9.227    |10.97    |B9/A3            |    ~     ~    |    1|  497.166   pc  |  -6.6243     +6.6243  |paral   |2020yCat.1350....0G
4965|HD 143792                                                             |Double or Multiple Star           |16 04 08.0203079136 -41 42 39.522755196|337.1112738989990 +08.0281902484255|   0.727 -6.672    |8.25     |B9V              |0.0050  0.0    |    1|  371.002   pc  | -22.0366    +22.0366  |paral   |2020yCat.1350....0G
4966|HD 143980                                                             |Star                              |16 05 06.9367851157 -41 47 29.780434117|337.1937826010437 +07.8455321832791|  22.399 -8.132    |10.21    |F8/G1            |    ~     ~    |    1|  174.1584  pc  |  -1.6591     +1.6591  |paral   |2018yCat.1345....0G
4967|HD 144052                                                             |Star                              |16 05 40.9735827288 -41 46 30.245048472|337.2839912674886 +07.7866285694867|  -7.184 -7.677    |10.14    |G5/8             |    ~     ~    |    1|  395.993   pc  |  -2.9167     +2.9167  |paral   |2020yCat.1350....0G
4968|HD 143151                                                             |Star                              |16 00 27.0652 -42 49 16.415            |335.8525747 +07.6514497            |  -8.957 -8.344    |9.63     |B9V              |    ~     ~    |    0|                |                       |        |                   
4969|HD 143303                                                             |Star                              |16 01 20.8180459344 -42 41 27.052244700|336.0640415794927 +07.6406867151673|  -0.980 -1.639    |9.87     |G8/K0(III)       |    ~     ~    |    1|  745.212   pc  |  -8.7744     +8.7744  |paral   |2020yCat.1350....0G
4970|CD-41 10489                                                           |High Proper Motion Star           |16 01 49.8442654272 -41 22 03.021367548|337.0184643051460 +08.5715538118405|-49.949 -18.036    |10.45    |~                |    ~     ~    |    1|   73.356   pc  |  -0.0861     +0.0861  |paral   |2020yCat.1350....0G
4971|CD-41 10491                                                           |Star                              |16 02 11.9930132880 -41 36 08.250884856|336.9128390943440 +08.3502195017333|-10.778 -26.680    |10.78    |~                |    ~     ~    |    1|  588.824   pc  |  -6.6222     +6.6222  |paral   |2020yCat.1350....0G
4972|HD 325378                                                             |Star                              |16 02 35.5166191032 -42 23 28.521137976|336.4377438893674 +07.7126749375735|   1.249 -5.557    |10.07    |M0               |    ~     ~    |    1|  868.206   pc  | -13.7188    +13.7188  |paral   |2020yCat.1350....0G
4973|TYC 7855-315-1                                                        |Star                              |16 01 07.0613476872 -40 59 45.542631696|337.1665618537265 +08.9384376249955|-10.459 -39.114    |10.99    |~                |    ~     ~    |    1|  178.444   pc  |  -1.7864     +1.7864  |paral   |2020yCat.1350....0G
4974|IRAS 15585-4104                                                       |Star                              |16 01 54.6155214960 -41 12 22.818942504|337.1381248652706 +08.6820145654452|  -3.379 -4.969    |10.59    |~                |    ~     ~    |    1| 1130.966   pc  | -43.4888    +43.4888  |paral   |2020yCat.1350....0G
4975|TYC 7859-86-1                                                         |Star                              |16 04 16.7703760488 -41 23 18.439159164|337.3500647368259 +08.2492954937575| -9.221 -13.785    |10.95    |~                |    ~     ~    |    1|  500.150   pc  |  -4.3026     +4.3026  |paral   |2020yCat.1350....0G
4976|TYC 7859-284-1                                                        |Star                              |16 03 56.7876283320 -41 46 01.091896536|337.0472196530967 +08.0099804028189|  -23.588 1.729    |10.66    |~                |    ~     ~    |    1|  898.392   pc  | -27.9259    +27.9259  |paral   |2020yCat.1350....0G
4977|HD 144350                                                             |Star                              |16 07 13.5365022696 -42 04 10.607252268|337.2969750898519 +07.3756064806919| -4.316 -21.508    |7.18     |K2/3IIICNV(w)    |    ~     ~    |    1|  196.680   pc  |  -0.8278     +0.8278  |paral   |2020yCat.1350....0G
4978|HD 144139                                                             |Star                              |16 06 06.7581671736 -42 08 38.414621724|337.0927892813307 +07.4601602466742|-12.194 -11.426    |9.66     |A0V              |    ~     ~    |    1|  291.163   pc  |  -2.1109     +2.1109  |paral   |2020yCat.1350....0G
4979|HD 143233                                                             |Star                              |16 01 02.5474519272 -43 17 49.718052708|335.6176998966920 +07.2225860479592|   8.425 -1.188    |9.80     |G8/K0(III)       |    ~     ~    |    1|  649.942   pc  | -11.6167    +11.6167  |paral   |2020yCat.1350....0G
4980|HD 143360                                                             |Star                              |16 01 43.4886313608 -43 05 40.719684120|335.8467363486204 +07.2922375656303|   -0.129 0.162    |9.74     |A7V              |    ~     ~    |    1|  767.931   pc  |  -9.8483     +9.8483  |paral   |2020yCat.1350....0G
4981|HD 143506                                                             |Star                              |16 02 29.6764967592 -43 08 30.968874096|335.9211031939301 +07.1636783521500|-16.042 -16.506    |10.18    |A0/2IV           |    ~     ~    |    1|  375.164   pc  |  -3.4906     +3.4906  |paral   |2020yCat.1350....0G
4982|HD 143561                                                             |High Proper Motion Star           |16 02 45.2027185824 -42 30 26.175689388|336.3822921946663 +07.6062508699145|-26.633 -80.248    |8.02     |G8III            |    ~     ~    |    1|  176.075   pc  |  -0.6604     +0.6604  |paral   |2020yCat.1350....0G
4983|HD 143543                                                             |Star                              |16 02 47.4798944832 -43 03 20.597327604|336.0196428614902 +07.1921088913565| -9.263 -17.314    |10.88    |A8/F0            |    ~     ~    |    1|  436.548   pc  | -21.5920    +21.5920  |paral   |2020yCat.1350....0G
4984|HD 143571                                                             |Star                              |16 02 56.1465529104 -42 56 04.305148368|336.1207830691025 +07.2650320061215| -5.783 -13.238    |10.22    |F5/6V            |    ~     ~    |    1|  308.414   pc  | -25.3016    +25.3016  |paral   |2020yCat.1350....0G
4985|HD 143825                                                             |Star                              |16 04 26.1530115912 -42 32 39.398408556|336.5901886962372 +07.3717800233262|  -3.515 -6.522    |9.89     |K0/2(III)        |    ~     ~    |    1|  506.740   pc  |  -3.7234     +3.7234  |paral   |2020yCat.1350....0G
4986|HD 143904                                                             |Star                              |16 04 47.3347048728 -42 52 19.181007912|336.4174835358462 +07.0849878438073| -7.182 -10.979    |9.88     |A0V              |    ~     ~    |    1|  342.302   pc  |  -2.0388     +2.0388  |paral   |2020yCat.1350....0G
4987|HD 144037                                                             |Star                              |16 05 35.2706898384 -42 31 09.891049080|336.7656643683092 +07.2478345702165|   0.233 -3.923    |10.54    |F2               |    ~     ~    |    1|  271.680   pc  |  -1.3212     +1.3212  |paral   |2020yCat.1350....0G
4988|HD 144157                                                             |Star                              |16 06 15.4094494584 -42 27 47.331624168|336.8957716510209 +07.2064282815787|  -1.402 -6.975    |10.77    |B9/A1V           |    ~     ~    |    1|  465.940   pc  |  -4.3637     +4.3637  |paral   |2020yCat.1350....0G
4989|HD 325382                                                             |Star                              |16 04 07.3775475264 -42 34 10.511907924|336.5299296450287 +07.3915294637734|-13.496 -12.090    |10.71    |K7               |    ~     ~    |    1| 1262.148   pc  | -27.2406    +27.2406  |paral   |2020yCat.1350....0G
4990|HD 325405                                                             |Star                              |16 09 19.9685783352 -41 45 39.198239136|337.7984918644193 +07.3357985365086|   5.281 -7.302    |10.80    |K5               |    ~     ~    |    1|  577.734   pc  |  -5.4072     +5.4072  |paral   |2020yCat.1350....0G
4991|HD 145485                                                             |Star                              |16 13 01.7349037080 -41 53 01.403828952|338.2181822463111 +06.7738633679194|   7.575 -2.687    |9.40     |G6(III)          |    ~     ~    |    1|  314.525   pc  |  -1.8499     +1.8499  |paral   |2020yCat.1350....0G
4992|IDS 16015-4157 AB                                                     |Double or Multiple Star           |16 08 23.6784228425 -42 12 54.219229237|337.3581239293308 +07.1217646033251|-20.229 -16.221    |10.07    |G2/3V            |    ~     ~    |    1|  149.6312  pc  |  -2.9621     +2.9621  |paral   |2018yCat.1345....0G
4993|HD 143736                                                             |Star                              |16 03 53.4924540864 -43 14 25.376386452|336.0464887498826 +06.9207048408555|  -0.247 -0.165    |9.06     |K0/1(III)        |    ~     ~    |    1|  910.084   pc  | -25.7586    +25.7586  |paral   |2020yCat.1350....0G
4994|HD 143750                                                             |High Proper Motion Star           |16 04 02.3826520968 -43 16 53.261135256|336.0390955863785 +06.8721114559357|-42.422 -54.907    |8.75     |A5V              |    ~     ~    |    1|  208.947   pc  |  -1.0347     +1.0347  |paral   |2020yCat.1350....0G
4995|CD-42 11013B                                                          |Star                              |16 04 39.09 -43 00 00.0                |336.31228 +07.00678                |         -6 -10    |10.3     |~                |    ~     ~    |    0|                |                       |        |                   
4996|HD 144008                                                             |Star                              |16 05 28.5012847200 -43 10 27.004678284|336.3070318197131 +06.7767479948387|   0.415 10.208    |10.17    |F0/2V            |    ~     ~    |    1|  237.090   pc  |  -1.0174     +1.0174  |paral   |2020yCat.1350....0G
4997|HD 144140                                                             |Star                              |16 06 10.8605915352 -43 04 21.395106984|336.4718238614970 +06.7653324734363|  -9.607 -9.595    |10.95    |A2               |    ~     ~    |    1|  488.210   pc  |  -4.1234     +4.1234  |paral   |2020yCat.1350....0G
4998|HD 144141                                                             |RR Lyrae Variable                 |16 06 11.9977157640 -43 19 07.181386896|336.3076599554992 +06.5810295914012|-55.406 -107.430   |10.94    |A2               |    ~     ~    |    1|  844.666   pc  | -13.1277    +13.1277  |paral   |2020yCat.1350....0G
4999|HD 144240                                                             |Star                              |16 06 40.0702265352 -43 10 14.316669156|336.4714259342235 +06.6330373760163|   6.550 38.495    |9.08     |K0/1III          |    ~     ~    |    1|  339.248   pc  |  -2.6470     +2.6470  |paral   |2020yCat.1350....0G
5000|HD 144351                                                             |Star                              |16 07 14.1678852840 -43 17 18.009080052|336.4683713434930 +06.4763272839540|  -8.979 -9.867    |7.70     |A1V              |    ~     ~    |    1|  322.092   pc  |  -3.2679     +3.2679  |paral   |2020yCat.1350....0G
5001|HD 144381                                                             |Star                              |16 07 30.0387877536 -43 15 06.823434600|336.5288743592803 +06.4706458231820|  -3.576 -6.635    |9.69     |A8V              |    ~     ~    |    1|  425.894   pc  |  -4.6435     +4.6435  |paral   |2020yCat.1350....0G
5002|HD 144416                                                             |Star                              |16 07 36.3848242680 -42 28 33.935402280|337.0718720354391 +07.0287440279261| -6.778 -36.517    |9.15     |B9.5V            |    ~     ~    |    1|  263.637   pc  |  -1.5638     +1.5638  |paral   |2020yCat.1350....0G
5003|HD 144645                                                             |Star                              |16 08 45.7274867424 -42 27 40.778800848|337.2396753273528 +06.8949657803702|  -1.634 -2.338    |9.86     |K5               |    ~     ~    |    1|  897.908   pc  | -24.4290    +24.4290  |paral   |2020yCat.1350....0G
5004|HD 144669                                                             |Star                              |16 08 52.4478639600 -42 43 50.343624696|337.0704755493720 +06.6834672142264| -16.865 -2.641    |10.37    |A1/2(IV)         |    ~     ~    |    1|  327.407   pc  |  -3.9234     +3.9234  |paral   |2020yCat.1350....0G
5005|HD 144735                                                             |Spectroscopic Binary              |16 09 12.8883396936 -43 11 55.166237628|336.7961060351707 +06.2979834567617|   5.210 -1.582    |10.18    |F0V              |    ~     ~    |    1|  406.124   pc  |  -3.1833     +3.1833  |paral   |2020yCat.1350....0G
5006|CD-42 11070B                                                          |Star                              |16 09 53.9483998440 -42 49 04.520247636|337.1492737882114 +06.4914524862751|  -5.179 -7.467    |9.8      |~                |    ~     ~    |    1|  487.092   pc  |  -8.5176     +8.5176  |paral   |2020yCat.1350....0G
5007|HD 144884                                                             |Star                              |16 09 53.6037756504 -42 49 13.675841148|337.1467524072829 +06.4903117809069|  -5.030 -8.146    |10.12    |A0V              |    ~     ~    |    1|  475.398   pc  |  -4.2715     +4.2715  |paral   |2020yCat.1350....0G
5008|HD 144913                                                             |Star                              |16 10 04.3731672072 -42 48 13.557228624|337.1824375031397 +06.4800512360061|  -0.417 -3.542    |9.26     |B9V              |    ~     ~    |    1|  722.543   pc  | -10.8590    +10.8590  |paral   |2020yCat.1350....0G
5009|HD 144946                                                             |Star                              |16 10 16.5130650120 -42 48 56.832829668|337.2014551674567 +06.4459272995794| -2.302 -10.064    |8.75     |B9V              |    ~     ~    |    1|  426.639   pc  |  -6.2251     +6.2251  |paral   |2020yCat.1350....0G
5010|HD 145011                                                             |Star                              |16 10 32.1972369552 -43 07 17.347784988|337.0264089438039 +06.1900597513215|  19.878 -0.809    |9.18     |K2(III)          |    ~     ~    |    1|  380.098   pc  |  -6.1980     +6.1980  |paral   |2020yCat.1350....0G
5011|HD 143507                                                             |Star                              |16 02 34.9037919240 -43 31 18.549787908|335.6788844539197 +06.8691139462585|  -0.829 -2.757    |10.74    |B3/7             |    ~     ~    |    1|  781.922   pc  | -15.2239    +15.2239  |paral   |2020yCat.1350....0G
5012|HD 143737                                                             |Star                              |16 03 57.9035710920 -43 24 29.931487380|335.9436273347097 +06.7867267257975|-22.847 -21.193    |9.52     |A0V              |    ~     ~    |    1|  256.753   pc  |  -4.1663     +4.1663  |paral   |2020yCat.1350....0G
5013|HD 143943                                                             |Star                              |16 05 08.6303517216 -43 39 50.049896436|335.9314606021049 +06.4538310739632| -10.649 -2.380    |9.24     |K1/2III          |    ~     ~    |    1|  366.287   pc  |  -2.8041     +2.8041  |paral   |2020yCat.1350....0G
5014|HD 143963                                                             |Star                              |16 05 14.7455924016 -43 43 46.731888300|335.9008837812306 +06.3926874264729| -19.890 -1.321    |10.41    |F8               |    ~     ~    |    1|  272.561   pc  |  -1.6715     +1.6715  |paral   |2020yCat.1350....0G
5015|HD 144120                                                             |Star                              |16 06 09.1404169728 -43 38 49.364792556|336.0788998981544 +06.3438741612355| -10.672 -1.276    |10.69    |F2/5V            |    ~     ~    |    1|  490.773   pc  |  -4.3355     +4.3355  |paral   |2020yCat.1350....0G
5016|HD 144142                                                             |Star                              |16 06 15.1556755944 -43 31 59.073128760|336.1695600154346 +06.4159915461282| -8.803 -31.969    |10.57    |F7/G2            |    ~     ~    |    1|  179.501   pc  |  -1.8076     +1.8076  |paral   |2020yCat.1350....0G
5017|HD 144382                                                             |Star                              |16 07 28.7057329368 -43 23 24.387033048|336.4318491110486 +06.3715359848112| -9.022 -22.236    |10.51    |F8               |    ~     ~    |    1|  191.990   pc  | -10.2987    +10.2987  |paral   |2020yCat.1350....0G
5018|HD 144398                                                             |Star                              |16 07 37.8716310456 -43 32 01.445409204|336.3547042767094 +06.2469656066091|  -3.605 -4.760    |10.75    |A0               |    ~     ~    |    1| 1056.078   pc  | -24.0905    +24.0905  |paral   |2020yCat.1350....0G
5019|HD 144436                                                             |Star                              |16 07 53.3679787464 -44 03 41.028382152|336.0304031661580 +05.8267376290200|   6.817 -2.119    |10.63    |A7/8V            |    ~     ~    |    1|  418.165   pc  |  -3.3574     +3.3574  |paral   |2020yCat.1350....0G
5020|HD 144478                                                             |Star                              |16 08 03.8981277936 -43 49 43.803465060|336.2119875960586 +05.9766008432012|  -2.619 -3.337    |8.48     |B9V              |    ~     ~    |    1|  503.322   pc  |  -6.5107     +6.5107  |paral   |2020yCat.1350....0G
5021|HD 144531                                                             |Star                              |16 08 11.4347592912 -43 43 43.195360080|336.2969676843165 +06.0349560363212| -0.073 -19.658    |10.04    |F6V              |    ~     ~    |    1|  186.459   pc  |  -0.5876     +0.5876  |paral   |2020yCat.1350....0G
5022|HD 144553                                                             |Star                              |16 08 19.6914114216 -43 35 32.283121668|336.4082950675432 +06.1183815419457| -10.659 -5.851    |9.19     |A7IV             |    ~     ~    |    1|  212.134   pc  |  -0.9090     +0.9090  |paral   |2020yCat.1350....0G
5023|HD 144593                                                             |Star                              |16 08 30.1102364664 -43 46 51.298131252|336.3029202908622 +05.9584433162576|-20.098 -15.373    |9.56     |G0V              |    ~     ~    |    1|  163.058   pc  |  -0.5291     +0.5291  |paral   |2020yCat.1350....0G
5024|HD 144771                                                             |Star                              |16 09 25.3859608248 -43 26 05.953970976|336.6622817088100 +06.0990183439608| -7.866 -10.672    |10.06    |A0/2II           |    ~     ~    |    1|  421.905   pc  |  -3.2397     +3.2397  |paral   |2020yCat.1350....0G
5025|HD 144793                                                             |Star                              |16 09 32.6564678280 -43 39 14.558101848|336.5285414941561 +05.9235825138811|  -7.199 11.968    |8.24     |K3III            |    ~     ~    |    1|  363.425   pc  |  -3.2491     +3.2491  |paral   |2020yCat.1350....0G
5026|HD 144947                                                             |Star                              |16 10 18.9704740128 -43 39 23.731654608|336.6295009750083 +05.8265577727007| 16.079 -11.559    |8.37     |K0III            |    ~     ~    |    1|  264.264   pc  |  -2.3185     +2.3185  |paral   |2020yCat.1350....0G
5027|HD 325412                                                             |Star                              |16 11 15.1932036384 -42 28 45.609021876|337.5652028197257 +06.5681069064935|  -1.449 -2.359    |10.96    |A0               |    ~     ~    |    1|  922.935   pc  | -17.4621    +17.4621  |paral   |2020yCat.1350....0G
5028|HD 145212                                                             |Star                              |16 11 31.2040162368 -42 31 34.879980828|337.5687465380490 +06.5001554156486| -0.706 -27.004    |9.39     |G8III/IV         |    ~     ~    |    1|  351.989   pc  |  -2.4903     +2.4903  |paral   |2020yCat.1350....0G
5029|HD 145252                                                             |Star                              |16 11 47.3011843176 -42 49 01.072539372|337.4040620758005 +06.2550040088208|-26.962 -23.939    |10.09    |F3/5V            |    ~     ~    |    1|  250.809   pc  |  -1.0883     +1.0883  |paral   |2020yCat.1350....0G
5030|HD 145264                                                             |Star                              |16 11 51.2206213872 -42 43 28.483118868|337.4766669497393 +06.3139156263595|  -4.513 -1.829    |10.33    |A1/2V            |    ~     ~    |    1|  566.926   pc  |  -6.0103     +6.0103  |paral   |2020yCat.1350....0G
5031|HD 145379                                                             |Star                              |16 12 29.5273184256 -42 32 08.573034408|337.6931373632484 +06.3702386439559|  -2.331 -8.810    |10.44    |A3/5IV/V         |    ~     ~    |    1|  453.535   pc  |  -8.0015     +8.0015  |paral   |2020yCat.1350....0G
5032|HD 145446                                                             |High Proper Motion Star           |16 12 55.1878381152 -42 47 05.207844732|337.5778227800278 +06.1355561133671|  57.961 87.938    |8.97     |F6V              |    ~     ~    |    1|   90.666   pc  |  -0.1792     +0.1792  |paral   |2020yCat.1350....0G
5033|HD 145701                                                             |Star                              |16 14 05.5052922072 -42 22 53.336842464|338.0149937419708 +06.2780412255154|-13.922 -25.121    |10.05    |F2               |    ~     ~    |    1|  328.893   pc  |  -1.9038     +1.9038  |paral   |2020yCat.1350....0G
5034|HD 145756                                                             |Star                              |16 14 26.7040851144 -42 49 10.305201504|337.7569892452432 +05.9170742298873|  -1.717 -3.702    |10.62    |B7/A0            |    ~     ~    |    1|  609.645   pc  |  -7.8793     +7.8793  |paral   |2020yCat.1350....0G
5035|HD 145841                                                             |Star                              |16 14 58.1691122616 -43 05 12.909434928|337.6401283045060 +05.6578687967189|  -6.244 -4.464    |9.70     |G6/8             |    ~     ~    |    1|  502.033   pc  |  -3.8562     +3.8562  |paral   |2020yCat.1350....0G
5036|HD 145135                                                             |Star                              |16 11 09.2526816144 -43 22 54.922551312|336.9297247842886 +05.9231700684341|  -3.310 -7.841    |10.39    |B9/A0III         |    ~     ~    |    1|  663.218   pc  | -10.8205    +10.8205  |paral   |2020yCat.1350....0G
5037|HD 145136                                                             |Star                              |16 11 14.4764285040 -43 31 12.686974536|336.8461220580893 +05.8115846325878|-23.780 -26.134    |9.73     |F2V              |    ~     ~    |    1|  248.170   pc  |  -3.0856     +3.0856  |paral   |2020yCat.1350....0G
5038|HD 145253                                                             |Star                              |16 11 48.4700091312 -43 42 56.481640992|336.7865043019613 +05.5989460874983|  -1.154 -2.065    |10.57    |B9V              |    ~     ~    |    1|  603.901   pc  |  -8.8986     +8.8986  |paral   |2020yCat.1350....0G
5039|HD 145358                                                             |Star                              |16 12 25.7506301184 -43 38 54.066483744|336.9150159273066 +05.5707504932267|   0.294 -4.952    |9.01     |A0V              |    ~     ~    |    1|  457.018   pc  |  -5.0336     +5.0336  |paral   |2020yCat.1350....0G
5040|HD 145540                                                             |Star                              |16 13 23.8794884352 -43 21 56.230469100|337.2386571827958 +05.6547432717441| -3.266 -14.799    |9.71     |K2               |    ~     ~    |    1|  850.268   pc  | -17.4955    +17.4955  |paral   |2020yCat.1350....0G
5041|[SC96] Mis 2                                                          |Star                              |16 03 12.0 -43 25 00                   |335.8337 +06.8731                  |            ~ ~    |7.29     |B9IVv            |    ~     ~    |    0|                |                       |        |                   
5042|[SC96] Mis 18                                                         |Star                              |16 10 24.0 -42 49 00                   |337.2177 +06.4296                  |            ~ ~    |7.60     |~                |    ~     ~    |    0|                |                       |        |                   
5043|HD 325384                                                             |Star                              |16 06 54.5631603528 -42 50 41.837223480|336.7255128129062 +06.8436362925460|  -8.790 -8.794    |10.69    |G5               |    ~     ~    |    1|  666.267   pc  |  -8.2124     +8.2124  |paral   |2020yCat.1350....0G
5044|HD 327832                                                             |Star                              |16 08 27.8397144312 -43 34 33.928142664|336.4375291817922 +06.1136235512145| -5.709 -15.501    |10.76    |F5               |    ~     ~    |    0|                |                       |        |                   
5045|HD 327841                                                             |Star                              |16 09 42.1044627168 -43 59 03.802370640|336.3234369796905 +05.6622478576651|  7.191 -15.425    |10.60    |K0               |    ~     ~    |    1|  690.608   pc  |  -7.6310     +7.6310  |paral   |2020yCat.1350....0G
5046|HD 327839                                                             |Star                              |16 10 19.6967808000 -43 56 51.472678488|336.4315140638967 +05.6123170036221|   -1.776 1.943    |9.97     |K2               |    ~     ~    |    1|  732.923   pc  |  -8.8634     +8.8634  |paral   |2020yCat.1350....0G
5047|HD 325414                                                             |Star                              |16 10 32.6860756296 -42 32 35.048836896|337.4255024509577 +06.6110968703745|  -1.356 -3.674    |10.14    |K5               |    ~     ~    |    1| 1025.957   pc  | -21.8938    +21.8938  |paral   |2020yCat.1350....0G
5048|HD 325422                                                             |Star                              |16 10 54.4006367448 -42 49 47.706079368|337.2767337671613 +06.3564287780188| -12.283 -8.826    |10.81    |K0               |    ~     ~    |    1|  772.857   pc  | -13.4394    +13.4394  |paral   |2020yCat.1350....0G
5049|HD 325424                                                             |Star                              |16 11 00.1933466424 -43 09 23.831404128|337.0646863429316 +06.1062064167442|   0.838 -0.321    |10.50    |G5               |    ~     ~    |    1|  844.167   pc  | -16.6040    +16.6040  |paral   |2020yCat.1350....0G
5050|HD 325460                                                             |Star                              |16 11 40.3997040024 -43 26 55.423957164|336.9527166996008 +05.8099144074097| -12.218 -9.753    |10.01    |K2               |    ~     ~    |    1|  600.492   pc  |  -6.0579     +6.0579  |paral   |2020yCat.1350....0G
5051|HD 325459                                                             |Star                              |16 11 57.1527357744 -43 21 41.738504796|337.0499020019417 +05.8384912765700|  -0.379 -0.177    |10.15    |K7               |    ~     ~    |    1| 1905.488   pc  |-104.9325   +104.9325  |paral   |2020yCat.1350....0G
5052|HD 325447                                                             |Star                              |16 12 37.8830649600 -41 56 39.954550056|338.1220928708992 +06.7809584162327|  -7.082 -1.084    |10.37    |K2               |    ~     ~    |    1|  473.261   pc  |  -4.7483     +4.7483  |paral   |2020yCat.1350....0G
5053|CD-42 11110                                                           |Star                              |16 12 58.8805188096 -42 45 33.889539672|337.6036410982082 +06.1461414463763|  -4.129 -2.116    |10.88    |~                |    ~     ~    |    1|  902.201   pc  | -14.0002    +14.0002  |paral   |2020yCat.1350....0G
5054|HD 325453                                                             |Star                              |16 14 13.1972623608 -42 23 09.103563996|338.0291198168023 +06.2584848578130|-20.678 -21.397    |10.07    |M0               |    ~     ~    |    1|  516.956   pc  |  -6.3337     +6.3337  |paral   |2020yCat.1350....0G
5055|HD 325454                                                             |Star                              |16 14 13.2003620688 -42 41 04.429078656|337.8210324094937 +06.0430332886901|    3.676 2.625    |10.67    |M0               |    ~     ~    |    1|  836.050   pc  | -14.8883    +14.8883  |paral   |2020yCat.1350....0G
