C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:32:14

dec >=0&rah >=20.75&rah< 21.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7691

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
58  |BD+36 4361                                                            |Star                              |20 59 50.1146896872 +36 36 53.312101488|079.7802248337868 -06.1792766399420|   0.561 -7.076   |10.04    |A1IV              |    ~     ~    |    1|  640.041   pc  |  -7.1689     +7.1689  |paral   |2020yCat.1350....0G
59  |BD+35 4316                                                            |Star                              |20 54 37.7548591584 +36 32 18.541439988|079.0427954215977 -05.4309557467639|  22.175 38.380   |10.01    |~                 |    ~     ~    |    1|  188.800   pc  |  -0.4420     +0.4420  |paral   |2020yCat.1350....0G
60  |BD+35 4319                                                            |Pulsating Variable                |20 55 24.1445402208 +35 58 10.369095672|078.7044190849156 -05.9153161244613|   0.147 -2.788   |10.83    |B5III             |    ~     ~    |    1| 1394.700   pc  | -38.7093    +38.7093  |paral   |2020yCat.1350....0G
61  |BD+35 4329                                                            |Star                              |20 56 10.8551842704 +36 29 49.106355828|079.2119821569638 -05.6965901796794|  -4.076 -9.934   |10.32    |A1IV              |    ~     ~    |    1| 1047.559   pc  | -17.0094    +17.0094  |paral   |2020yCat.1350....0G
62  |BD+35 4338                                                            |Star                              |20 58 01.9869 +35 43 42.243            |078.8644084 -06.4783744            | -5.435 -23.547   |10.88    |~                 |    ~     ~    |    0|                |                       |        |                   
63  |BD+34 4224                                                            |Star                              |20 59 03.2159539176 +35 26 26.468140956|078.7791061833562 -06.8228284250304|-14.198 -28.611   |9.85     |~                 |    ~     ~    |    1|  247.470   pc  |  -0.8268     +0.8268  |paral   |2020yCat.1350....0G
64  |IRAS 20572+3522                                                       |Long-Period Variable              |20 59 15.6239564328 +35 34 03.007958016|078.9037694205223 -06.7725230832544|   1.619 -7.498   |10.31    |~                 |    ~     ~    |    1| 1115.076   pc  | -38.5452    +38.5452  |paral   |2020yCat.1350....0G
65  |TYC 2696-1154-1                                                       |Star                              |20 58 00.1495583304 +35 32 26.432270880|078.7162578335120 -06.5950591366769|  -2.149 -6.552   |10.36    |~                 |    ~     ~    |    1| 1108.156   pc  | -16.4553    +16.4553  |paral   |2020yCat.1350....0G
66  |TYC 2696-3185-1                                                       |Star                              |20 59 41.1803293200 +35 24 53.517866760|078.8436559817312 -06.9376067444758|   2.939 -2.582   |10.81    |~                 |    ~     ~    |    1|  852.660   pc  |  -6.9795     +6.9795  |paral   |2020yCat.1350....0G
67  |TYC 2699-14-1                                                         |Star                              |20 50 54.4637418984 +36 21 46.329132528|078.4285227948714 -04.9654897570878| -9.233 -10.358   |10.92    |~                 |    ~     ~    |    1|  637.308   pc  |  -4.5896     +4.5896  |paral   |2020yCat.1350....0G
68  |TYC 2699-194-1                                                        |Star                              |20 50 40.2869427192 +36 21 13.675503888|078.3912865518573 -04.9343607409718|-10.189 -17.333   |10.31    |~                 |    ~     ~    |    1|  465.311   pc  |  -3.1178     +3.1178  |paral   |2020yCat.1350....0G
69  |TYC 2699-348-1                                                        |Spectroscopic Binary              |20 50 08.6258089560 +36 24 43.476015924|078.3693583367627 -04.8152026291621|  1.703 -15.178   |10.81    |~                 |    ~     ~    |    1|  384.143   pc  |  -1.8298     +1.8298  |paral   |2020yCat.1350....0G
70  |TYC 2699-426-1                                                        |Star                              |20 50 08.0512777272 +36 34 19.762102920|078.4927832500600 -04.7127306359673|    4.189 1.249   |10.32    |~                 |    ~     ~    |    1|  762.253   pc  |  -6.6818     +6.6818  |paral   |2020yCat.1350....0G
71  |TYC 2699-1122-1                                                       |Star                              |20 48 52.8693219432 +36 31 35.539924224|078.2982896876922 -04.5459092842052|    8.948 3.340   |10.56    |~                 |    ~     ~    |    1|  567.795   pc  |  -6.2544     +6.2544  |paral   |2020yCat.1350....0G
72  |TYC 2699-1721-1                                                       |Star                              |20 49 59.0608612224 +36 24 48.787817436|078.3502120203137 -04.7893794573585|   -9.113 6.771   |9.70     |~                 |    ~     ~    |    1|  155.790   pc  |  -0.3398     +0.3398  |paral   |2020yCat.1350....0G
73  |TYC 2699-3175-1                                                       |Star                              |20 49 52.6469301000 +36 36 46.640912112|078.4919480209418 -04.6470067036057|  -0.213 -1.875   |10.73    |~                 |    ~     ~    |    1| 1104.728   pc  | -14.4010    +14.4010  |paral   |2020yCat.1350....0G
74  |TYC 2700-70-1                                                         |Star                              |20 51 09.2123901504 +36 47 07.495058796|078.7882253549148 -04.7363167924072|  -0.506 -4.267   |10.50    |~                 |    ~     ~    |    1| 1656.726   pc  | -38.1519    +38.1519  |paral   |2020yCat.1350....0G
75  |TYC 2700-82-1                                                         |Star                              |20 54 40.0871221368 +36 57 09.308265696|079.3670897349504 -05.1715870041563|   4.591 -0.662   |9.77     |~                 |    ~     ~    |    1|  835.492   pc  | -10.6801    +10.6801  |paral   |2020yCat.1350....0G
76  |TYC 2700-170-1                                                        |Star                              |20 53 49.0853892936 +37 05 16.151505540|079.3623487570543 -04.9546674412541|    9.083 1.970   |9.89     |~                 |    ~     ~    |    1|  267.180   pc  |  -1.0422     +1.0422  |paral   |2020yCat.1350....0G
77  |TYC 2700-235-1                                                        |Star                              |20 55 42.6878760048 +36 07 13.434578760|078.8610097240418 -05.8663609499922|    5.281 2.417   |10.67    |~                 |    ~     ~    |    1|  743.882   pc  |  -6.8617     +6.8617  |paral   |2020yCat.1350....0G
78  |TYC 2700-414-1                                                        |Star                              |20 53 04.7811881424 +36 59 30.033012552|079.1936498721544 -04.9026392878285|  -1.874 -6.727   |10.54    |~                 |    ~     ~    |    1|  929.627   pc  | -12.0989    +12.0989  |paral   |2020yCat.1350....0G
79  |TYC 2700-491-1                                                        |Star                              |20 53 11.2901530080 +36 09 49.720511016|078.5670366480651 -05.4470538577855|    3.129 0.993   |10.35    |~                 |    ~     ~    |    1| 1024.695   pc  | -18.0600    +18.0600  |paral   |2020yCat.1350....0G
80  |TYC 2700-501-1                                                        |Star                              |20 55 00.8194560624 +36 03 51.218868924|078.7267783424932 -05.7942824294401|   14.155 5.519   |10.55    |~                 |    ~     ~    |    1|  445.931   pc  |  -2.8635     +2.8635  |paral   |2020yCat.1350....0G
