C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:16:06

dec >=0&rah >=19.5&rah< 19.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 9885

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
6980|TYC 2663-637-1                                                                                           |Star                                  |19 30 22.6180688472 +34 16 31.180609596|067.6784965414585 +07.6108429461232|    1.109 0.340   |10.57    |~                |    ~     ~          |    1| 1097.093   pc  | -13.1194    +13.1194  |paral   |2020yCat.1350....0G
6981|TYC 2663-679-1                                                                                           |Star                                  |19 38 41.7236526744 +33 52 58.876852440|068.1532009598344 +05.9083595913722|    3.756 3.367   |10.24    |~                |    ~     ~          |    1|  651.169   pc  |  -8.3108     +8.3108  |paral   |2020yCat.1350....0G
6982|TYC 2663-687-1                                                                                           |Star                                  |19 36 29.7734316528 +33 46 37.788910644|067.8391043042136 +06.2579870006962|  -3.066 -5.596   |10.78    |B3:e             |    ~     ~          |    1| 2621.919   pc  |-147.8009   +147.8009  |paral   |2020yCat.1350....0G
6983|TYC 2663-733-1                                                                                           |Star                                  |19 34 52.5776251872 +34 04 10.307431452|067.9365366606231 +06.6927668921182|   -8.589 0.893   |10.34    |~                |    ~     ~          |    1|  379.997   pc  |  -1.7905     +1.7905  |paral   |2020yCat.1350....0G
6984|TYC 2663-749-1                                                                                           |Star                                  |19 33 28.0045040904 +34 09 35.219911644|067.8774945880783 +06.9924767050142|  8.071 -44.675   |10.14    |~                |    ~     ~          |    1|  199.279   pc  |  -6.3341     +6.3341  |paral   |2020yCat.1350....0G
6985|TYC 2663-755-1                                                                                           |Star                                  |19 30 07.3758005832 +33 52 53.039181360|067.3021480158544 +07.4739173269502|  -0.536 -2.902   |9.63     |~                |    ~     ~          |    1|  503.373   pc  |  -5.3464     +5.3464  |paral   |2020yCat.1350....0G
6986|TYC 2663-779-1                                                                                           |Star                                  |19 33 18.8137938912 +34 10 00.518770884|067.8686751890862 +07.0237304572983|   4.131 -0.429   |10.82    |~                |    ~     ~          |    1|  589.901   pc  | -35.4595    +35.4595  |paral   |2020yCat.1350....0G
6987|TYC 2663-831-1                                                                                           |Star                                  |19 31 53.3580854280 +34 00 38.568371184|067.5900738382126 +07.2105322485501|  -3.942 -8.962   |10.71    |~                |    ~     ~          |    1|  352.609   pc  |  -2.2131     +2.2131  |paral   |2020yCat.1350....0G
6988|TYC 2663-838-1                                                                                           |Star                                  |19 33 39.7365450480 +33 47 02.321669256|067.5631633720198 +06.7791949367187|  -0.824 -2.224   |10.42    |~                |    ~     ~          |    1|  492.854   pc  |  -5.8297     +5.8297  |paral   |2020yCat.1350....0G
6989|TYC 2663-847-1                                                                                           |Star                                  |19 32 04.0145438088 +34 18 34.379979480|067.8735105744566 +07.3182418402362|    1.416 0.950   |9.63     |~                |    ~     ~          |    1|  606.502   pc  |  -6.9890     +6.9890  |paral   |2020yCat.1350....0G
6990|TYC 2663-897-1                                                                                           |Star                                  |19 36 05.9570624904 +34 05 37.645281240|068.0793720084659 +06.4816230572694|  -6.911 -6.854   |10.68    |~                |    ~     ~          |    1|  885.975   pc  |  -8.0065     +8.0065  |paral   |2020yCat.1350....0G
6991|TYC 2663-931-1                                                                                           |Star                                  |19 35 34.8986576808 +34 00 23.361016680|067.9506791286896 +06.5342446602281|  -1.320 -0.906   |9.63     |~                |    ~     ~          |    1|  738.989   pc  | -10.3760    +10.3760  |paral   |2020yCat.1350....0G
6992|TYC 2663-1036-1                                                                                          |Star                                  |19 32 07.5906343152 +33 52 20.169118056|067.4901507954556 +07.1020999772969|  -4.742 -7.982   |10.66    |~                |    ~     ~          |    1| 1359.065   pc  | -25.3047    +25.3047  |paral   |2020yCat.1350....0G
6993|TYC 2663-1043-1                                                                                          |Star                                  |19 36 14.6214035424 +33 55 32.202762456|067.9450544642679 +06.3750185748061|    1.751 1.726   |10.78    |~                |    ~     ~          |    1|  296.894   pc  |  -0.9696     +0.9696  |paral   |2020yCat.1350....0G
6994|GSC 02664-00313                                                                                          |Double or Multiple Star               |19 40 50.4693963432 +33 50 56.803002108|068.3404322374186 +05.5023450717927|  -6.289 -6.440   |10.201   |~                |    ~     ~          |    1| 1552.554   pc  | -34.7101    +34.7101  |paral   |2020yCat.1350....0G
6995|HD 331067                                                                                                |Star                                  |19 39 42.2030134320 +33 38 54.364802028|068.0487362143108 +05.6115200147747|  -0.378 -5.509   |10.92    |A0               |    ~     ~          |    1| 1024.380   pc  | -14.1663    +14.1663  |paral   |2020yCat.1350....0G
6996|WDS J19310+3227AB                                                                                        |Double or Multiple Star               |19 31 01.85 +32 27 10.0                |066.11956 +06.63746                |            ~ ~   |9.5      |~                |    ~     ~          |    0|                |                       |        |                   
6997|HD 184499                                                                                                |High Proper Motion Star               |19 33 27.0808591023 +33 12 06.719255906|067.0259165997767 +06.5424722089087|-464.328 224.872  |6.64     |G0V              |    ~     ~          |    1|   31.8313  pc  |  -0.0167     +0.0167  |paral   |2020yCat.1350....0G
6998|HD 225395                                                                                                |Star                                  |19 41 28.7690615952 +33 23 24.689125896|068.0032144797527 +05.1624422516979|   15.480 4.800   |10.50    |A                |    ~     ~          |    1|  342.161   pc  |  -1.5220     +1.5220  |paral   |2020yCat.1350....0G
6999|HD 225394                                                                                                |Star                                  |19 41 31.0269853920 +33 31 56.153706384|068.1315255476324 +05.2250335020886|    2.122 3.828   |10.67    |~                |    ~     ~          |    1|  479.340   pc  |  -2.5504     +2.5504  |paral   |2020yCat.1350....0G
7000|HD 225407                                                                                                |Star                                  |19 41 36.5716894200 +33 23 42.548957556|068.0208848902934 +05.1411894319218|  -1.945 -7.003   |10.12    |~                |    ~     ~          |    1|  586.304   pc  |  -4.0219     +4.0219  |paral   |2020yCat.1350....0G
7001|HD 225406                                                                                                |Star                                  |19 41 37.1540172720 +33 35 53.209902480|068.1996542949617 +05.2386595468883|   -0.153 3.331   |10.49    |~                |    ~     ~          |    1| 1062.135   pc  | -12.4094    +12.4094  |paral   |2020yCat.1350....0G
7002|HD 225435                                                                                                |Star                                  |19 42 09.3335584728 +33 41 15.719162352|068.3329518469999 +05.1851445585711|-14.806 -10.711   |8.946    |K5               |    ~     ~          |    1|  426.239   pc  |  -2.5254     +2.5254  |paral   |2020yCat.1350....0G
7003|HD 225461                                                                                                |Star                                  |19 42 38.9448617880 +33 34 51.772439820|068.2901979780005 +05.0433217402147|  -2.478 -7.746   |9.479    |~                |    ~     ~          |    1|  623.908   pc  | -10.1986    +10.1986  |paral   |2020yCat.1350....0G
7004|HD 225462                                                                                                |Star                                  |19 42 42.6874681392 +33 24 46.865475540|068.1496711177911 +04.9494862915955|    3.529 6.031   |9.769    |~                |    ~     ~          |    1|  347.476   pc  |  -1.6541     +1.6541  |paral   |2020yCat.1350....0G
7005|HD 225473                                                                                                |Star                                  |19 42 50.1400610832 +33 33 17.147114856|068.2863724689287 +04.9965558601621|  -9.999 -8.821   |9.65     |~                |    ~     ~          |    1|  900.820   pc  | -13.0648    +13.0648  |paral   |2020yCat.1350....0G
7006|HD 225491                                                                                                |Star                                  |19 43 03.1630887864 +33 42 54.978646104|068.4489890848937 +05.0360797997722|  2.957 -21.962   |10.45    |K0               |    ~     ~          |    1|  271.909   pc  |  -0.9611     +0.9611  |paral   |2020yCat.1350....0G
7007|HD 225500                                                                                                |Star                                  |19 43 09.0780093912 +33 21 52.448118588|068.1526311412842 +04.8457167797215|   2.768 -3.518   |10.79    |~                |    ~     ~          |    1|  502.841   pc  |  -3.1353     +3.1353  |paral   |2020yCat.1350....0G
7008|HD 225389                                                                                                |Star                                  |19 41 24.7649181048 +33 13 38.795461320|067.8538225704068 +05.0950493005709|      -1.6 -3.6   |10.23    |~                |    ~     ~          |    0|                |                       |        |                   
7009|HD 186177                                                                                                |Star                                  |19 41 38.8940176584 +33 04 58.669332384|067.7515245350762 +04.9813861764477|  -2.352 -3.049   |7.036    |A5II             |    ~     ~          |    1| 1896.813   pc  | -67.6405    +67.6405  |paral   |2020yCat.1350....0G
7010|HD 331079                                                                                                |Star                                  |19 41 55.8416665920 +32 24 32.162426280|067.1911645474150 +04.5992459730678|  -1.483 -3.173   |9.89     |K0               |    ~     ~          |    1|  686.955   pc  |  -7.6921     +7.6921  |paral   |2020yCat.1350....0G
7011|HD 186377                                                                                                |Star                                  |19 42 44.6059835256 +32 25 36.272298504|067.2912967600176 +04.4586312717650|   2.042 -0.702   |5.925    |A5III            |    ~     ~          |    1|  636.213   pc  | -10.2811    +10.2811  |paral   |2020yCat.1350....0G
7012|HD 331078                                                                                                |Star                                  |19 42 47.8994670672 +32 28 44.538750948|067.3426726864156 +04.4743000171197|  -4.545 -0.587   |10.01    |A7               |    ~     ~          |    1|  330.327   pc  | -16.2910    +16.2910  |paral   |2020yCat.1350....0G
7013|HD 225475                                                                                                |Star                                  |19 42 49.8204440592 +32 54 19.136596572|067.7182577002173 +04.6782403229073|   2.950 -3.124   |9.214    |A2               |    ~     ~          |    1|  689.845   pc  |  -9.1370     +9.1370  |paral   |2020yCat.1350....0G
7014|HD 225474                                                                                                |Star                                  |19 42 50.8006318152 +33 15 31.570370532|068.0287678765705 +04.8490904629057|    0.013 0.081   |9.44     |~                |    ~     ~          |    1| 1116.321   pc  | -14.7048    +14.7048  |paral   |2020yCat.1350....0G
7015|HD 225485                                                                                                |Star                                  |19 43 04.0400255304 +33 03 34.058755944|067.8774371311883 +04.7108345413133|   0.273 -9.151   |10.89    |~                |    ~     ~          |    1|  804.117   pc  |  -7.3713     +7.3713  |paral   |2020yCat.1350....0G
7016|HD 331125                                                                                                |Star                                  |19 43 08.5118013960 +32 45 04.194549900|067.6159774385144 +04.5453811064919|    0.876 4.934   |10.72    |F0               |    ~     ~          |    1|  719.839   pc  |  -5.8553     +5.8553  |paral   |2020yCat.1350....0G
7017|HD 331087                                                                                                |Star                                  |19 42 47.8326829992 +32 11 07.319504724|067.0862171496630 +04.3298653530558|   1.867 -0.547   |10.84    |A5               |    ~     ~          |    1| 1215.953   pc  | -18.7775    +18.7775  |paral   |2020yCat.1350....0G
7018|HD 331086                                                                                                |Star                                  |19 42 16.2112687680 +32 18 24.851026656|067.1373330480284 +04.4866816098497|    6.703 2.003   |10.07    |F0               |    ~     ~          |    1|  451.406   pc  |  -2.5063     +2.5063  |paral   |2020yCat.1350....0G
7019|HD 331077                                                                                                |Star                                  |19 41 54.4031443608 +32 31 13.602971856|067.2861556804348 +04.6583711471293|   0.667 -1.118   |10.45    |A5               |    ~     ~          |    1|  813.074   pc  | -13.6184    +13.6184  |paral   |2020yCat.1350....0G
7020|HD 331072                                                                                                |Star                                  |19 41 30.3033011640 +32 52 43.846156452|067.5581131231868 +04.9076604069908|   2.422 -1.333   |10.16    |M                |    ~     ~          |    1| 1246.261   pc  | -32.9271    +32.9271  |paral   |2020yCat.1350....0G
7021|TYC 2660-3048-1                                                                                          |Star                                  |19 42 17.7481377936 +32 07 46.948205280|066.9852402198016 +04.3948450308408|   0.454 -3.833   |10.61    |~                |    ~     ~          |    1|  809.913   pc  |  -7.9371     +7.9371  |paral   |2020yCat.1350....0G
7022|HD 331150                                                                                                |Star                                  |19 43 04.9805225688 +32 20 15.704273328|067.2490050572310 +04.3523717978008|   0.871 -4.029   |10.27    |A2               |    ~     ~          |    1|  513.637   pc  |  -4.0629     +4.0629  |paral   |2020yCat.1350....0G
7023|HD 331080                                                                                                |Star                                  |19 41 18.0913775280 +32 27 51.388216236|067.1742759985074 +04.7420835135005| -0.219 -11.671   |10.03    |B9               |    ~     ~          |    1|  668.583   pc  |  -7.1074     +7.1074  |paral   |2020yCat.1350....0G
7024|HD 331071                                                                                                |Star                                  |19 41 52.6423036752 +33 07 15.976096536|067.8084924089662 +04.9582235481503|  -1.583 -3.113   |10.69    |A0               |    ~     ~          |    1|  828.500   pc  |  -9.9530     +9.9530  |paral   |2020yCat.1350....0G
7025|HD 331076                                                                                                |Star                                  |19 42 10.5530505240 +32 35 27.837370428|067.3758184421800 +04.6436191925993|  -0.311 -7.932   |10.76    |A5               |    ~     ~          |    1|  638.284   pc  |  -4.8889     +4.8889  |paral   |2020yCat.1350....0G
7026|HD 331126                                                                                                |Star                                  |19 42 54.7837208664 +32 34 49.870918272|067.4432144794525 +04.5032234307310|  -3.831 -6.823   |9.39     |K5               |    ~     ~          |    1| 2129.019   pc  | -62.0983    +62.0983  |paral   |2020yCat.1350....0G
7027|BD+31 3721                                                                                               |Star                                  |19 41 35.8602441912 +31 50 24.994878576|066.6594623217701 +04.3816018673116|  16.650 23.157   |10.23    |G8III            |    ~     ~          |    1|  423.567   pc  |  -2.0453     +2.0453  |paral   |2020yCat.1350....0G
7028|HD 186258                                                                                                |Star                                  |19 42 01.2494405400 +31 29 43.533916404|066.4026309805459 +04.1337517741720| 37.196 -19.823   |7.98     |F0V              |    ~     ~          |    1|  141.922   pc  |  -2.0343     +2.0343  |paral   |2020yCat.1350....0G
7029|HD 331096                                                                                                |Star                                  |19 42 08.5943068128 +31 32 26.584517076|066.4550338307208 +04.1333208072332|  7.247 -23.360   |8.32     |F2               |    ~     ~          |    1|  114.630   pc  |  -0.1971     +0.1971  |paral   |2020yCat.1350....0G
7030|GSC 02656-02061                                                                                          |Double or Multiple Star               |19 42 07.9210079088 +31 31 03.986367276|066.4338281025799 +04.1241126508617|  -1.411 -3.734   |10.959   |~                |    ~     ~          |    1|  843.455   pc  | -18.2834    +18.2834  |paral   |2020yCat.1350....0G
7031|HD 331090                                                                                                |High Proper Motion Star               |19 42 11.5583708688 +31 50 01.442720256|066.7160088845656 +04.2683261169044|-33.054 -40.520   |9.10     |G0               |    ~     ~          |    1|   69.602   pc  |  -0.8434     +0.8434  |paral   |2020yCat.1350....0G
7032|HD 331095                                                                                                |Star                                  |19 42 21.3787938744 +31 34 55.148476368|066.5134494418289 +04.1141252329355|    9.400 9.538   |10.15    |A5               |    ~     ~          |    1|  354.032   pc  |  -1.5667     +1.5667  |paral   |2020yCat.1350....0G
7033|HD 331102                                                                                                |Eclipsing Binary                      |19 42 29.4562680000 +31 19 40.138490748|066.3058960576034 +03.9639196130266|    2.369 0.065   |10.44    |A2               |    ~     ~          |    1|  853.024   pc  | -12.3700    +12.3700  |paral   |2020yCat.1350....0G
7034|HD 331196                                                                                                |Star                                  |19 42 53.9163732504 +31 36 03.459149532|066.5870684848087 +04.0230008207692|    2.169 3.060   |10.79    |K5               |    ~     ~          |    1| 1423.285   pc  | -25.1192    +25.1192  |paral   |2020yCat.1350....0G
7035|HD 331169                                                                                                |Star                                  |19 43 06.2401914888 +31 49 25.102790760|066.8028400727545 +04.0949028920876| -7.181 -25.775   |10.34    |G5               |    ~     ~          |    1|  786.225   pc  |  -9.5195     +9.5195  |paral   |2020yCat.1350....0G
7036|HD 331098                                                                                                |Star                                  |19 41 28.8725021112 +31 28 41.812611096|066.3309793239198 +04.2255211016949|  -1.832 -1.995   |10.73    |A0               |    ~     ~          |    1|  942.951   pc  | -46.5029    +46.5029  |paral   |2020yCat.1350....0G
7037|HD 331097                                                                                                |Star                                  |19 42 14.2676265120 +31 29 19.342763664|066.4195852174199 +04.0901794630104|  16.954 27.555   |10.11    |G5               |    ~     ~          |    1|  291.452   pc  |  -1.0363     +1.0363  |paral   |2020yCat.1350....0G
7038|HD 331094                                                                                                |Star                                  |19 42 39.9659318256 +31 40 09.981730956|066.6223217752553 +04.0998249800566|  -2.617 -3.387   |10.52    |K5               |    ~     ~          |    1| 1188.213   pc  | -15.8127    +15.8127  |paral   |2020yCat.1350....0G
7039|HD 331088                                                                                                |Star                                  |19 42 44.7565139880 +31 55 31.513571364|066.8540217395545 +04.2112303722846|  -3.619 -0.350   |10.63    |K5               |    ~     ~          |    1|  831.601   pc  |  -8.2296     +8.2296  |paral   |2020yCat.1350....0G
7040|BD+31 3726                                                                                               |Star                                  |19 42 25.4469018576 +31 54 01.628467272|066.7985025295249 +04.2583701298543|  -0.908 -5.591   |10.2     |M2               |    ~     ~          |    1| 1551.350   pc  | -32.7309    +32.7309  |paral   |2020yCat.1350....0G
7041|HD 331101                                                                                                |Star                                  |19 42 44.1576876835 +31 21 37.621186303|066.3602137478147 +03.9344994841613|       3.2 -3.8   |10.04    |A2               |    ~     ~          |    0|                |                       |        |                   
7042|HD 331168                                                                                                |Star                                  |19 42 55.1031076632 +31 55 45.686061552|066.8755425041248 +04.1813374474878|   1.104 -0.852   |9.94     |A3               |    ~     ~          |    1| 1006.441   pc  | -13.0667    +13.0667  |paral   |2020yCat.1350....0G
7043|HD 331167                                                                                                |Star                                  |19 43 08.6700111696 +32 03 56.613572892|067.0181952260186 +04.2069062866714|-12.338 -26.370   |10.00    |G5               |    ~     ~          |    1|   81.187   pc  |  -0.0778     +0.0778  |paral   |2020yCat.1350....0G
7044|BD+30 3694                                                                                               |Star                                  |19 41 20.4752244240 +31 13 24.331366740|066.0936441801558 +04.1264499461808|  23.216 15.202   |9.74     |K0III            |    ~     ~          |    1|  563.793   pc  |  -3.4329     +3.4329  |paral   |2020yCat.1350....0G
7045|HD 331103                                                                                                |Star                                  |19 42 20.9714338512 +31 17 31.609273056|066.2598343657333 +03.9726081149275|    4.247 4.866   |9.56     |F5               |    ~     ~          |    1|  276.052   pc  |  -2.1795     +2.1795  |paral   |2020yCat.1350....0G
7046|HD 332335                                                                                                |Star                                  |19 42 35.6997911808 +31 12 17.082046116|066.2095631920275 +03.8838919638136|   28.980 2.185   |9.93     |K2               |    ~     ~          |    1|  489.932   pc  |  -2.8084     +2.8084  |paral   |2020yCat.1350....0G
7047|V* V463 Cyg                                                                                              |Eclipsing Binary                      |19 42 13.944576 +31 18 02.49408        |066.254965536 +03.998606674        |       0.3 -3.0   |10.762   |A1V              |    ~     ~          |    0|                |                       |        |                   
7048|HD 331104                                                                                                |Star                                  |19 42 09.6425844816 +31 14 36.832935444|066.1975601530931 +03.9838104164557|   1.046 -7.896   |10.48    |K5               |    ~     ~          |    1|  888.099   pc  |  -9.2280     +9.2280  |paral   |2020yCat.1350....0G
7049|HD 332336                                                                                                |Star                                  |19 42 27.0849624792 +31 11 15.472739508|066.1794650093155 +03.9021656795846|-27.246 -40.006   |10.69    |G0               |    ~     ~          |    1|  423.442   pc  |  -2.2771     +2.2771  |paral   |2020yCat.1350....0G
7050|HD 225523                                                                                                |Star                                  |19 43 38.7372567480 +33 38 55.622707656|068.4518209828497 +04.8959866314316|   0.146 -1.411   |10.95    |~                |    ~     ~          |    1|  593.401   pc  |  -8.3454     +8.3454  |paral   |2020yCat.1350....0G
7051|HD 225581                                                                                                |Star                                  |19 44 27.1085116824 +33 14 29.343397524|068.1797498814893 +04.5486331533206|  -2.130 -2.431   |9.96     |K                |    ~     ~          |    1| 1613.944   pc  | -30.7368    +30.7368  |paral   |2020yCat.1350....0G
7052|HD 225604                                                                                                |Star                                  |19 44 42.6255987576 +33 36 42.034135176|068.5292775765533 +04.6849257052934|    3.211 2.846   |9.903    |~                |    ~     ~          |    1|  428.725   pc  |  -2.4078     +2.4078  |paral   |2020yCat.1350....0G
7053|HD 186716                                                                                                |Star                                  |19 44 48.2315542848 +33 32 14.390854368|068.4741319111596 +04.6312136653458|    5.873 5.523   |8.35     |A0pSrCr          |    ~     ~          |    1|  264.152   pc  |  -3.5237     +3.5237  |paral   |2020yCat.1350....0G
7054|HD 225510                                                                                                |Star                                  |19 43 27.1896949560 +33 08 15.946189224|067.9857481646204 +04.6790857574392|   8.057 -3.717   |9.822    |~                |    ~     ~          |    1|  617.284   pc  |  -4.9916     +4.9916  |paral   |2020yCat.1350....0G
7055|HD 225567                                                                                                |Star                                  |19 44 12.2997944664 +33 06 50.970987792|068.0431168245777 +04.5305424209386|  -0.490 -6.409   |9.254    |~                |    ~     ~          |    1|  745.268   pc  |  -7.2761     +7.2761  |paral   |2020yCat.1350....0G
7056|HD 225566                                                                                                |Star                                  |19 44 11.3638959576 +33 10 26.890397328|068.0937973713373 +04.5630323960900|    0.105 1.237   |10.47    |~                |    ~     ~          |    1|  578.436   pc  |  -5.2530     +5.2530  |paral   |2020yCat.1350....0G
7057|HD 225575                                                                                                |Star                                  |19 44 17.5994719296 +33 20 24.942107184|068.2494447983649 +04.6262703657796|  10.708 -9.022   |8.99     |Am               |    ~     ~          |    1|  219.505   pc  |  -0.6986     +0.6986  |paral   |2020yCat.1350....0G
7058|HD 331123                                                                                                |Star                                  |19 44 25.8797337480 +32 49 07.375054152|067.8091627143926 +04.3431031653046|   31.177 9.333   |9.07     |F8               |    ~     ~          |    1|  123.340   pc  |  -3.6221     +3.6221  |paral   |2020yCat.1350....0G
7059|HD 225589                                                                                                |Star                                  |19 44 32.1324911448 +33 12 10.791703656|068.1548949571652 +04.5143699506377| -5.633 -23.081   |9.811    |~                |    ~     ~          |    1|  603.282   pc  |  -4.2582     +4.2582  |paral   |2020yCat.1350....0G
7060|HD 225612                                                                                                |Star                                  |19 44 48.2066032176 +33 14 11.419324764|068.2119283532918 +04.4822867879632|  -0.671 -3.100   |9.168    |A0               |    ~     ~          |    1|  953.834   pc  | -18.8329    +18.8329  |paral   |2020yCat.1350....0G
7061|HD 331152                                                                                                |Star                                  |19 43 36.6448429056 +32 18 50.958640080|067.2836567431481 +04.2437918596657|    2.999 4.878   |9.57     |A0               |    ~     ~          |    1|  493.218   pc  |  -6.8601     +6.8601  |paral   |2020yCat.1350....0G
7062|HD 331156                                                                                                |High Proper Motion Star               |19 44 01.9385327736 +32 10 44.575169484|067.2101172591958 +04.0995027053912| 41.647 -39.337   |10.26    |G0               |    ~     ~          |    1|  242.577   pc  |  -4.2367     +4.2367  |paral   |2020yCat.1350....0G
7063|HD 331155                                                                                                |High Proper Motion Star               |19 43 51.3734331096 +32 13 01.088047776|067.2246736679903 +04.1506379294649| 40.885 -38.329   |10.95    |F8               |    ~     ~          |    1|  218.866   pc  |  -0.5078     +0.5078  |paral   |2020yCat.1350....0G
7064|HD 331153                                                                                                |Star                                  |19 43 29.5515965040 +32 09 40.356312804|067.1379360622086 +04.1899638858266|  -2.834 -6.530   |10.64    |F5               |    ~     ~          |    1| 3468.609   pc  |-146.7812   +146.7812  |paral   |2020yCat.1350....0G
7065|HD 331149                                                                                                |Spectroscopic Binary                  |19 43 37.9579803000 +32 25 12.445923540|067.3783346554733 +04.2921288027510|      49.0 -7.9   |10.77    |K7.0Ve           |    ~     ~          |    0|                |                       |        |                   
7066|HD 331145                                                                                                |Star                                  |19 44 53.9256749256 +32 21 26.078876892|067.4562954033828 +04.0287810325366|  -2.849 36.182   |10.90    |G5               |    ~     ~          |    1|  217.870   pc  |  -0.5316     +0.5316  |paral   |2020yCat.1350....0G
7067|HD 331127                                                                                                |Star                                  |19 43 35.9187002184 +32 36 36.901422324|067.5405800057340 +04.3922626483028|    1.331 1.740   |10.70    |G5               |    ~     ~          |    1|  838.926   pc  |  -7.3899     +7.3899  |paral   |2020yCat.1350....0G
7068|TYC 2660-3790-1                                                                                          |Star                                  |19 43 31.5674431344 +32 57 28.119239856|067.8362474353800 +04.5770489157188| -9.612 -20.717   |10.98    |~                |    ~     ~          |    1|  504.490   pc  |  -2.8251     +2.8251  |paral   |2020yCat.1350....0G
7069|IRAS 19420+3318                                                                                          |Asymptotic Giant Branch Star Candidate|19 43 55.4939125056 +33 25 23.275934292|068.2836228848860 +04.7340779356632| -1.781 -11.800   |10.270   |~                |    ~     ~          |    1| 1200.62    pc  | -28.83      +28.83    |paral   |2020yCat.1350....0G
7070|HD 331151                                                                                                |Star                                  |19 43 20.4377833488 +32 18 45.686949228|067.2541176068144 +04.2926956679915|   11.683 2.686   |10.41    |F5               |    ~     ~          |    1|  198.067   pc  |  -0.4668     +0.4668  |paral   |2020yCat.1350....0G
7071|HD 331154                                                                                                |Star                                  |19 43 40.1993443536 +32 13 13.488305124|067.2081467676325 +04.1865782553280|    3.630 1.843   |10.13    |K2               |    ~     ~          |    1| 1100.352   pc  | -13.3185    +13.3185  |paral   |2020yCat.1350....0G
7072|HD 331157                                                                                                |Star                                  |19 44 27.8076143496 +32 08 17.321011188|067.2198216226266 +03.9999731287184|  4.242 -23.769   |10.09    |A2               |    ~     ~          |    1|  353.319   pc  |  -5.5052     +5.5052  |paral   |2020yCat.1350....0G
7073|HD 331148                                                                                                |Star                                  |19 43 33.7305958344 +32 27 57.094892712|067.4108513814754 +04.3276445409385|   0.897 -1.245   |10.40    |A3               |    ~     ~          |    1|  894.454   pc  | -23.5214    +23.5214  |paral   |2020yCat.1350....0G
7074|HD 331122                                                                                                |Star                                  |19 44 22.5570081240 +32 54 38.416598568|067.8835181349845 +04.3987315712006|    1.113 0.274   |9.81     |A0               |    ~     ~          |    1|  798.594   pc  | -23.5969    +23.5969  |paral   |2020yCat.1350....0G
7075|HD 331128                                                                                                |Star                                  |19 44 31.8410873640 +32 35 46.639395348|067.6257878211499 +04.2147627222951|   1.153 -0.665   |10.92    |A2               |    ~     ~          |    1|  694.011   pc  |  -6.9839     +6.9839  |paral   |2020yCat.1350....0G
7076|HD 186466                                                                                                |High Proper Motion Star               |19 43 24.5704517304 +31 57 58.453231680|066.9592598619505 +04.1089340232754|  53.324 -5.998   |8.53     |F8               |    ~     ~          |    1|  195.000   pc  |  -4.7988     +4.7988  |paral   |2020yCat.1350....0G
7077|HD 331198                                                                                                |Star                                  |19 43 35.0219024976 +31 26 51.068841504|066.5256666246462 +03.8202528525832|   1.670 -0.840   |9.97     |K0               |    ~     ~          |    1|  907.935   pc  |  -9.0678     +9.0678  |paral   |2020yCat.1350....0G
7078|HD 186515                                                                                                |Star                                  |19 43 40.1216432328 +32 04 46.720911864|067.0853247996015 +04.1172259006091|  24.994 11.757   |7.73     |A2               |    ~     ~          |    1|  212.486   pc  |  -0.9211     +0.9211  |paral   |2020yCat.1350....0G
7079|HD 331172                                                                                                |Star                                  |19 43 56.2059023592 +31 52 26.604537420|066.9344170361588 +03.9661030199328|   35.929 7.763   |8.95     |F5               |    ~     ~          |    1|  184.986   pc  |  -0.4791     +0.4791  |paral   |2020yCat.1350....0G
7080|HD 331208                                                                                                |Star                                  |19 44 07.7756747976 +31 23 38.116772520|066.5368242072365 +03.6925339550022|   6.247 34.038   |9.93     |F8               |    ~     ~          |    1|  202.163   pc  |  -0.4414     +0.4414  |paral   |2020yCat.1350....0G
7081|HD 331174                                                                                                |Star                                  |19 44 35.0101996968 +31 57 01.944020304|067.0691922824070 +03.8848180277717|  -1.994 -7.925   |9.52     |A3               |    ~     ~          |    1|  681.849   pc  | -41.8891    +41.8891  |paral   |2020yCat.1350....0G
7082|HD 331207                                                                                                |Star                                  |19 44 46.2366259104 +31 24 21.004059348|066.6152378725638 +03.5797150475482|  -0.464 -1.353   |10.09    |K0               |    ~     ~          |    1|  619.272   pc  | -11.6200    +11.6200  |paral   |2020yCat.1350....0G
7083|HD 331175                                                                                                |Star                                  |19 44 56.6391385080 +31 52 59.078464860|067.0485840160357 +03.7849179705195|   0.012 -3.675   |10.11    |B9               |    ~     ~          |    1| 1253.447   pc  | -26.3950    +26.3950  |paral   |2020yCat.1350....0G
7084|HD 331210                                                                                                |Star                                  |19 43 31.0810536624 +31 17 37.726249416|066.3848538636061 +03.7563740627152|   2.809 -2.514   |9.24     |G5               |    ~     ~          |    1|  600.673   pc  |  -5.0874     +5.0874  |paral   |2020yCat.1350....0G
