C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:16:06

dec >=0&rah >=19.5&rah< 19.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 9885

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
48  |BD+42 3378                                                                                               |Red Giant Branch star                 |19 33 33.9790663824 +43 02 09.620153628|075.8544133443983 +11.0861362170610|-16.225 -30.856   |9.33     |K2               |    ~     ~          |    1|    0.190   kpc |                       |        |2021A&A...645A..85M
49  |BD+42 3380                                                                                               |delta Sct Variable                    |19 33 37.6791578592 +43 05 49.099552980|075.9150051972302 +11.1036962376245|   5.229 -5.733   |10.38    |A5               |    ~     ~          |    1|  644.122   pc  |  -6.3063     +6.3063  |paral   |2020yCat.1350....0G
50  |TYC 3143-879-1                                                                                           |Star                                  |19 34 50.8736374248 +42 42 08.977675428|075.6606634608914 +10.7253392571023|   0.669 -1.785   |10.30    |G                |    ~     ~          |    1| 1479.947   pc  | -23.4356    +23.4356  |paral   |2020yCat.1350....0G
51  |BD+42 3387                                                                                               |Star                                  |19 34 54.6025498080 +43 07 50.858224860|076.0539730100237 +10.9106165025612|    5.330 0.613   |9.13     |M0III            |    ~     ~          |    1| 1315.097   pc  | -34.2437    +34.2437  |paral   |2020yCat.1350....0G
52  |BD+42 3390                                                                                               |Star                                  |19 35 38.2286287224 +43 13 42.946843620|076.2041960318886 +10.8373249543558|  -3.210 -2.875   |9.59     |K2III            |    ~     ~          |    1|  705.517   pc  |  -5.3757     +5.3757  |paral   |2020yCat.1350....0G
53  |AG+42 1728                                                                                               |Star                                  |19 35 45.3360955152 +42 55 30.399947940|075.9396278578351 +10.6791671263339|  -3.036 -5.421   |10.18    |F2IV             |    ~     ~          |    1|  355.859   pc  |  -1.6843     +1.6843  |paral   |2020yCat.1350....0G
54  |BD+42 3391                                                                                               |Star                                  |19 35 42.1939932960 +42 55 28.817023836|075.9347596261948 +10.6874864963982| -18.764 -5.807   |9.30     |K0               |    ~     ~          |    1|  476.281   pc  |  -2.7448     +2.7448  |paral   |2020yCat.1350....0G
55  |BD+42 3395                                                                                               |Star                                  |19 37 06.4520656224 +43 05 09.110617764|076.2004688549824 +10.5335719242650|  -2.425 -9.413   |10.71    |G5               |    ~     ~          |    1|  987.069   pc  | -18.3170    +18.3170  |paral   |2020yCat.1350....0G
56  |BD+42 3396                                                                                               |Star                                  |19 37 06.6050633904 +43 04 09.065242956|076.1856339873398 +10.5254669335657|   -0.374 1.837   |9.99     |~                |    ~     ~          |    1| 1519.064   pc  | -43.1513    +43.1513  |paral   |2020yCat.1350....0G
57  |HD 185415                                                                                                |Star                                  |19 37 09.1064069592 +43 15 20.900000124|076.3576626284401 +10.6047521689717| -8.918 -21.308   |8.00     |K5III            |    ~     ~          |    1|  647.668   pc  |  -7.3408     +7.3408  |paral   |2020yCat.1350....0G
58  |BD+42 3402                                                                                               |Star                                  |19 37 23.9855218632 +42 45 37.214794044|075.9320190314863 +10.3357636134955| -1.563 -18.123   |9.71     |G0V              |    ~     ~          |    1|  339.225   pc  |  -1.4154     +1.4154  |paral   |2020yCat.1350....0G
59  |HD 185581                                                                                                |Double or Multiple Star               |19 37 56.6276623776 +43 12 07.580758680|076.3769865681785 +10.4519881338895|   14.659 3.930   |8.66     |F5               |0.0067  0.0          |    1|  274.484   pc  |  -7.1424     +7.1424  |paral   |2020yCat.1350....0G
60  |BD+42 3404                                                                                               |Star                                  |19 38 04.4976407400 +42 32 58.740789120|075.8008368469661 +10.1280739869278|    0.867 1.129   |9.38     |G9III            |    ~     ~          |    1|  526.843   pc  |  -3.3863     +3.3863  |paral   |2020yCat.1350....0G
61  |BD+42 3405                                                                                               |Star                                  |19 38 06.6921196800 +42 50 47.743277856|076.0711978853997 +10.2600439357422|   1.105 -0.176   |8.94     |M0III            |    ~     ~          |    1|  963.484   pc  | -17.5449    +17.5449  |paral   |2020yCat.1350....0G
62  |* 14 Cyg                                                                                                 |Star                                  |19 39 26.4926212920 +42 49 05.741064084|076.1611030958640 +10.0310724003895|  17.080 33.091   |5.40     |B9III            |    ~     ~          |    1|  162.103   pc  |  -6.4354     +6.4354  |paral   |2020yCat.1350....0G
63  |BD+42 3414                                                                                               |Star                                  |19 39 31.4293252320 +42 45 35.333574732|076.1158068819386 +09.9904016029594| -11.712 -8.536   |10.12    |F5               |    ~     ~          |    1|  346.260   pc  |  -1.5706     +1.5706  |paral   |2020yCat.1350....0G
64  |BD+42 3417                                                                                               |Star                                  |19 40 00.7523628528 +43 04 55.857464724|076.4476387501065 +10.0621734452014|-16.222 -13.616   |8.82     |K2III-IV         |    ~     ~          |    1|  305.269   pc  |  -1.3046     +1.3046  |paral   |2020yCat.1350....0G
65  |HD 186121                                                                                                |Double or Multiple Star               |19 40 41.1500612424 +43 04 40.171152612|076.5022737973690 +09.9515420889053|   1.680 -0.492   |6.16     |M3III            |    ~     ~          |    1|  384.320   pc  | -12.6580    +12.6580  |paral   |2020yCat.1350....0G
66  |HD 186198                                                                                                |Star                                  |19 41 04.9199427744 +43 16 16.653642636|076.7101241275070 +09.9787163798649|  -1.405 -1.261   |8.52     |K2               |    ~     ~          |    1|  523.067   pc  |  -4.4323     +4.4323  |paral   |2020yCat.1350....0G
67  |BD+42 3421                                                                                               |Eruptive Variable                     |19 41 08.3670318504 +42 54 59.372209692|076.3973799212949 +09.8024488938352|    3.912 4.803   |9.05     |K3III            |    ~     ~          |    1|  573.230   pc  |  -4.1403     +4.1403  |paral   |2020yCat.1350....0G
68  |HD 186485                                                                                                |Be Star                               |19 42 49.9264623816 +42 39 00.342575208|076.3085696078317 +09.4027566720439|   0.118 -2.158   |8.52     |B9Vne            |    ~     ~          |    1|  613.911   pc  |  -7.9523     +7.9523  |paral   |2020yCat.1350....0G
69  |BD+42 3433                                                                                               |Rotating Variable                     |19 44 12.2665075512 +43 14 31.887399804|076.9575425073084 +09.4643433467073|  -1.196 -8.347   |10.21    |B9IV             |    ~     ~          |    1|  785.361   pc  | -14.3096    +14.3096  |paral   |2020yCat.1350....0G
70  |HD 186728                                                                                                |High Proper Motion Star               |19 44 18.6592341624 +43 13 07.140516816|076.9459840793594 +09.4360445783056|-34.482 -64.185   |8.33     |K0V              |    ~     ~          |    1|  111.897   pc  |  -0.2166     +0.2166  |paral   |2020yCat.1350....0G
