C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:56:10

dec< 0&rah >=11.0&rah< 11.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6648

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-------------------------|--------|-------------------
56  |HD 95312                                                                                                                                    |Star                              |11 00 14.3730063048 -05 48 25.392526344|259.5716332701537 +47.4844144865496| -44.450 17.522   |8.62     |F6V                  |    ~     ~    |    1|  142.408   pc  |  -1.4520     +1.4520    |paral   |2020yCat.1350....0G
57  |BD-05 3184                                                                                                                                  |Star                              |11 01 44.6218511472 -06 16 47.632857456|260.4355881300630 +47.3374982855051|  -19.562 4.468   |9.56     |M0                   |    ~     ~    |    1|  704.027   pc  | -13.7296    +13.7296    |paral   |2020yCat.1350....0G
58  |HD 95713                                                                                                                                    |Star                              |11 02 46.0041252768 -06 23 37.305113316|260.8363604239261 +47.3998646094175|  28.693 -6.934   |7.66     |K2/3III              |    ~     ~    |    1|  257.063   pc  |  -1.3216     +1.3216    |paral   |2020yCat.1350....0G
59  |BD-06 3287                                                                                                                                  |Star                              |11 01 10.2176834016 -07 42 05.909671008|261.5128614999592 +46.1142341689434|  -8.673 18.223   |9.66     |K2                   |    ~     ~    |    1| 1083.189   pc  | -24.7566    +24.7566    |paral   |2020yCat.1350....0G
60  |HD 95554                                                                                                                                    |Star                              |11 01 35.3297675088 -06 58 52.102979832|261.0099968516510 +46.7543819779206|  -12.709 3.588   |9.05     |K1III                |    ~     ~    |    1|  246.987   pc  |  -1.5495     +1.5495    |paral   |2020yCat.1350....0G
61  |BD-06 3290                                                                                                                                  |Star                              |11 01 38.0795670816 -07 34 20.978826564|261.5357863145903 +46.2864736120188| -0.211 -22.729   |9.999    |~                    |    ~     ~    |    1|  660.233   pc  | -22.5500    +22.5500    |ST-L    |2020AJ....160...83S
62  |BD-06 3295                                                                                                                                  |Star                              |11 03 03.7003498032 -07 13 17.345029980|261.6474856835241 +46.7788818874478|  -16.715 5.457   |9.843    |K0                   |    ~     ~    |    1|  801.112   pc  | -49.8200    +49.8200    |ST-L    |2020AJ....160...83S
63  |V* RT Crt                                                                                                                                   |Mira Variable                     |11 01 55.1396049144 -07 39 41.763940632|261.6942913300705 +46.2564807174556| -11.648 -4.667   |10.25    |M8                   |    ~     ~    |    0|                |                         |        |                   
64  |BD-06 3282                                                                                                                                  |Star                              |11 00 03.824 -06 57 28.20              |260.549223 +46.545271              |     13.4 -25.0   |9.4      |~                    |    ~     ~    |    1|  192.142   pc  | +29.326      +4         |ST-L    |2017AJ....153...75K
65  |BD-06 3285                                                                                                                                  |Star                              |11 00 47.8643260464 -07 11 32.083577376|260.9655366721854 +46.4677611730602|  -21.594 0.921   |10.17    |~                    |    ~     ~    |    1|  607.423   pc  |  -5.7189     +5.7189    |paral   |2020yCat.1350....0G
66  |BD-05 3186                                                                                                                                  |Star                              |11 01 52.9145184000 -06 35 50.878237884|260.7579480608529 +47.1049142615861|  -10.391 4.447   |10.71    |~                    |    ~     ~    |    1|  341.962   pc  |  -2.1750     +2.1750    |paral   |2020yCat.1350....0G
67  |BD-06 3291                                                                                                                                  |Star                              |11 02 01.8245337120 -07 22 29.715928140|261.4800913676086 +46.5036892333604| 23.439 -38.197   |10.681   |~                    |    ~     ~    |    1|  286.951   pc  |  -5.4350     +5.4350    |ST-L    |2020AJ....160...83S
68  |BD-06 3293                                                                                                                                  |Star                              |11 02 20.4657059520 -06 48 30.036409020|261.0774972587353 +47.0045599378701|-34.494 -13.037   |10.12    |~                    |    ~     ~    |    1|  215.178   pc  |  -8.6360     +8.6360    |ST-L    |2020AJ....160...83S
69  |BD-07 3161                                                                                                                                  |Star                              |11 02 29.2924791624 -07 54 06.022659492|262.0634026993976 +46.1458122120072| -32.112 -8.196   |10.63    |~                    |    ~     ~    |    1|  602.845   pc  | -10.7937    +10.7937    |paral   |2020yCat.1350....0G
70  |BD-05 3190                                                                                                                                  |Red Giant Branch star             |11 03 04.2951458448 -06 12 49.406524524|260.7660033267088 +47.5892541164164|  -11.037 8.997   |10.774   |~                    |    ~     ~    |    1| 1066.680   pc  | -65.4400    +65.4400    |ST-L    |2020AJ....160...83S
71  |BD-06 3297                                                                                                                                  |Star                              |11 03 30.7700379744 -07 13 20.632753848|261.7801456173927 +46.8442897860120| -9.805 -16.812   |10.742   |~                    |    ~     ~    |    1|  503.029   pc  | -34.7200    +34.7200    |ST-L    |2020AJ....160...83S
72  |TYC 4927-954-1                                                                                                                              |Star                              |11 00 13.9015081080 -05 51 06.610622184|259.6100259852333 +47.4478674598636|-11.096 -10.820   |10.706   |~                    |    ~     ~    |    1|  856.588   pc  | -33.1400    +33.1400    |ST-L    |2020AJ....160...83S
73  |BD-05 3183                                                                                                                                  |Star                              |11 00 47.7173380392 -06 05 21.320149632|259.9883609202125 +47.3457984242025| -17.371 -3.702   |10.582   |~                    |    ~     ~    |    1|  220.895   pc  |  -4.5640     +4.5640    |ST-L    |2020AJ....160...83S
74  |BD-06 3286                                                                                                                                  |Star                              |11 00 51.7052882256 -07 08 51.771162660|260.9451841971085 +46.5129145383373| -13.121 -8.146   |10.970   |~                    |    ~     ~    |    1| 1167.320   pc  |-120.8000   +120.8000    |ST-L    |2020AJ....160...83S
75  |BD-05 3188                                                                                                                                  |Red Giant Branch star             |11 02 09.2673078888 -06 21 38.022881904|260.6275101916286 +47.3348244050228|-22.605 -24.846   |10.52    |~                    |    ~     ~    |    1| 1640.689   pc  | -55.1831    +55.1831    |paral   |2020yCat.1350....0G
76  |BD-07 3159                                                                                                                                  |Star                              |11 02 09.8650032744 -08 09 42.599945412|262.1900322496321 +45.8881785097729| 12.276 -15.217   |10.76    |~                    |    ~     ~    |    1|  886.839   pc  | -12.3478    +12.3478    |paral   |2020yCat.1350....0G
77  |TYC 4927-157-1                                                                                                                              |Star                              |11 02 34.6193292888 -07 13 53.085509112|261.5147957365091 +46.6996388370704|  -16.588 2.804   |10.87    |~                    |    ~     ~    |    1| 1316.656   pc  | -32.2446    +32.2446    |paral   |2020yCat.1350....0G
78  |BD-06 3294                                                                                                                                  |Star                              |11 03 01.8299938824 -07 34 22.947813300|261.9406875303465 +46.4905768840888| -35.614 20.366   |10.940   |~                    |    ~     ~    |    1|  272.681   pc  |  -5.3920     +5.3920    |ST-L    |2020AJ....160...83S
79  |TYC 4927-1527-1                                                                                                                             |Star                              |11 00 10.0791566496 -06 58 39.667356984|260.5966353221111 +46.5450795720467|-14.165 -46.650   |10.640   |~                    |    ~     ~    |    1|  263.058   pc  |  -4.1290     +4.1290    |ST-L    |2020AJ....160...83S
80  |HD 95500                                                                                                                                    |Star                              |11 01 20.0074577160 -08 15 10.927348092|262.0283653868337 +45.6935331967750|   -4.894 2.066   |9.877    |F5V                  |    ~     ~    |    1|  416.410   pc  | -10.6200    +10.6200    |ST-L    |2020AJ....160...83S
81  |BD-07 3162                                                                                                                                  |High Proper Motion Star           |11 02 28.8593691600 -08 13 42.001056840|262.3371993404824 +45.8801931104587| -93.655 10.045   |10.197   |G0                   |    ~     ~    |    1|  190.887   pc  |  -2.4850     +2.4850    |ST-L    |2020AJ....160...83S
82  |HD 95757                                                                                                                                    |Star                              |11 03 00.5261460768 -08 23 23.514943020|262.6247582365809 +45.8252042376194|  -46.788 0.471   |8.43     |F2V                  |    ~     ~    |    1|  103.924   pc  |  -0.3143     +0.3143    |paral   |2020yCat.1350....0G
83  |HD 95346                                                                                                                                    |Star                              |11 00 22.5137424936 -09 29 33.880468524|262.7847592635508 +44.5498163723073|   9.565 -8.510   |7.53     |A3V                  |    ~     ~    |    1|  160.981   pc  |  -0.8396     +0.8396    |paral   |2020yCat.1350....0G
84  |HD 95401                                                                                                                                    |High Proper Motion Star           |11 00 43.8879772320 -09 15 37.141338024|262.6949663114149 +44.7899533349250|-45.751 -20.154   |9.55     |F0V                  |    ~     ~    |    1|  283.970   pc  |  -4.4755     +4.4755    |paral   |2020yCat.1350....0G
85  |HD 95501                                                                                                                                    |Star                              |11 01 14.9690871960 -09 46 18.542952264|263.2576444932993 +44.4471167316104|  -9.085 -9.707   |7.48     |M2III                |    ~     ~    |    1|  423.639   pc  |  -4.7201     +4.7201    |paral   |2020yCat.1350....0G
86  |V* AB Crt                                                                                                                                   |BY Dra Variable                   |11 02 50.1233744664 -09 19 49.093627692|263.3499545600320 +45.0332054887551|-193.329 -62.980  |9.04     |K3V                  |    ~     ~    |    1|   31.149   pc  |  -0.0368     +0.0368    |paral   |2020yCat.1350....0G
87  |BD-08 3069                                                                                                                                  |Star                              |11 03 06.6343442784 -09 38 41.429051592|263.6830124916513 +44.8142829512924|   -9.595 7.568   |10.358   |~                    |    ~     ~    |    1| 1471.620   pc  |-178.5000   +178.5000    |ST-L    |2020AJ....160...83S
88  |HD 95833                                                                                                                                    |Star                              |11 03 21.9277870128 -09 00 00.496815624|263.2323429563154 +45.3785437555780|-27.183 -22.466   |9.62     |F6IV/V               |    ~     ~    |    1|  223.299   pc  |  -2.8730     +2.8730    |ST-L    |2020AJ....160...83S
