C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:56:44

dec >=0&rah >=11.25&rah< 11.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2263

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
77  |TYC 4552-344-1                                                                                                                              |Star                                |11 26 27.8311840176 +78 30 33.566550192|128.1689270093105 +37.7408122969008|   12.445 2.710   |10.58    |~                   |    ~     ~    |    1|  756.945   pc  |  -9.4539     +9.4539  |paral   |2020yCat.1350....0G
78  |TYC 4552-568-1                                                                                                                              |Star                                |11 15 31.6522619376 +78 29 41.115694524|128.7974223745479 +37.5185071312180|  -4.906 -2.160   |10.44    |~                   |    ~     ~    |    1|  935.454   pc  | -11.2884    +11.2884  |paral   |2020yCat.1350....0G
79  |TYC 4552-1627-1                                                                                                                             |Star                                |11 20 06.0731365200 +78 15 19.679234436|128.6720106116625 +37.8355003231224|  3.359 -32.610   |10.43    |~                   |    ~     ~    |    1|  171.497   pc  |  -0.3794     +0.3794  |paral   |2020yCat.1350....0G
80  |TYC 4552-1640-1                                                                                                                             |Star                                |11 21 04.2718413048 +77 44 05.183715156|128.9031466651290 +38.3259732635162|  -2.235 -2.738   |10.25    |~                   |    ~     ~    |    1|  449.297   pc  |  -3.2904     +3.2904  |paral   |2020yCat.1350....0G
81  |TYC 4552-1712-1                                                                                                                             |Star                                |11 20 01.3336459512 +77 46 07.737621600|128.9478715921557 +38.2710001680555|   0.567 -8.923   |10.58    |~                   |    ~     ~    |    1|   98.057   pc  |  -0.1308     +0.1308  |paral   |2020yCat.1350....0G
82  |TYC 4552-1730-1                                                                                                                             |Star                                |11 20 35.4997639224 +77 45 29.544737040|128.9192703105882 +38.2937792450604|   30.619 9.821   |10.54    |~                   |    ~     ~    |    1|  299.168   pc  |  -1.0293     +1.0293  |paral   |2020yCat.1350....0G
83  |HD 97853                                                                                                                                    |High Proper Motion Star             |11 17 09.8157974928 +75 21 11.109109068|130.5554895711035 +40.3486120168960| 37.906 -37.602   |7.57     |K0                  |    ~     ~    |    1|  277.901   pc  |  -1.2202     +1.2202  |paral   |2020yCat.1350....0G
84  |HD 98183                                                                                                                                    |High Proper Motion Star             |11 19 27.3513395376 +75 05 12.551962992|130.5470279109415 +40.6523009058787| 93.511 -21.603   |8.04     |K0                  |    ~     ~    |    1|  155.504   pc  |  -1.3082     +1.3082  |paral   |2020yCat.1350....0G
85  |HD 98365                                                                                                                                    |High Proper Motion Star             |11 20 22.9553402592 +74 25 13.761899148|130.8796535660198 +41.2724765661417|-126.746 -22.330  |8.88     |G0                  |    ~     ~    |    1|   75.288   pc  |  -0.0811     +0.0811  |paral   |2020yCat.1350....0G
86  |HD 98771                                                                                                                                    |Star                                |11 23 21.3460228944 +73 45 02.563398792|131.0429394780899 +41.9618396952338| -17.739 34.316   |8.83     |G0                  |    ~     ~    |    1|  119.999   pc  |  -0.2520     +0.2520  |paral   |2020yCat.1350....0G
