C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:32:59

dec >=0&rah >=2.75&rah< 3.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4298

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
79  |TYC 2337-1087-1                                                                                          |Star                                |02 47 46.5991794672 +37 04 20.291179980|147.3460858945385 -20.2233330428532|  -5.625 -4.969  |9.89     |~                    |    ~     ~    |    1|  600.240   pc  |  -5.1161     +5.1161  |paral   |2020yCat.1350....0G
80  |TYC 2337-1406-1                                                                                          |Star                                |02 50 44.2052869344 +37 08 30.808591188|147.8674975569543 -19.8868042831750|   6.487 -6.462  |10.06    |~                    |    ~     ~    |    1|  346.548   pc  |  -3.9151     +3.9151  |paral   |2020yCat.1350....0G
81  |TYC 2338-67-1                                                                                            |Star                                |02 52 44.1806754168 +37 27 09.022993956|148.0832083369152 -19.4248999113240|  -4.220 -4.870  |10.19    |~                    |    ~     ~    |    1|  657.895   pc  |  -6.4924     +6.4924  |paral   |2020yCat.1350....0G
82  |TYC 2338-92-1                                                                                            |Star                                |02 53 00.3420200760 +37 19 44.747465880|148.1955250918680 -19.5078358181370|   3.638 12.338  |9.88     |~                    |    ~     ~    |    1|  974.564   pc  | -15.3864    +15.3864  |paral   |2020yCat.1350....0G
83  |TYC 2338-324-1                                                                                           |Star                                |02 52 15.4324432728 +37 01 54.677884764|148.2068770188498 -19.8401990362609|-27.751 -37.805  |10.8     |~                    |    ~     ~    |    1|  180.385   pc  |  -0.7256     +0.7256  |paral   |2020yCat.1350....0G
84  |TYC 2338-519-1                                                                                           |Star                                |02 52 19.5715478208 +37 18 44.429127012|148.0779688126498 -19.5869501696636| 15.424 -23.877  |10.06    |~                    |    ~     ~    |    1|  190.865   pc  |  -0.7541     +0.7541  |paral   |2020yCat.1350....0G
85  |TYC 2338-624-1                                                                                           |Star                                |02 55 01.8103883280 +37 23 49.662069720|148.5347296109444 -19.2547407427165|  -24.355 8.324  |10.74    |~                    |    ~     ~    |    1|  431.965   pc  |  -3.0788     +3.0788  |paral   |2020yCat.1350....0G
86  |TYC 2338-775-1                                                                                           |Star                                |02 52 11.8255089072 +37 06 48.299767632|148.1544201213913 -19.7741662874740|-12.025 -12.100  |10.10    |~                    |    ~     ~    |    1|  273.471   pc  |  -1.8323     +1.8323  |paral   |2020yCat.1350....0G
87  |TYC 2845-1564-1                                                                                          |Star                                |02 49 31.7446894248 +37 44 42.798816996|147.3426927121068 -19.4657661430544|  -1.430 -7.807  |10.41    |~                    |    ~     ~    |    1|  534.045   pc  |  -5.9893     +5.9893  |paral   |2020yCat.1350....0G
88  |TYC 2845-1592-1                                                                                          |Star                                |02 47 17.1478054896 +38 43 04.768963032|146.4548529041130 -18.8048656422647|   0.832 -1.350  |10.05    |~                    |    ~     ~    |    1| 1346.439   pc  | -44.2347    +44.2347  |paral   |2020yCat.1350....0G
89  |TYC 2845-1601-1                                                                                          |Star                                |02 49 42.5930640888 +39 08 44.575414188|146.6896364867631 -18.2085330291042|  0.511 -22.751  |10.90    |~                    |    ~     ~    |    1|  269.614   pc  |  -1.7882     +1.7882  |paral   |2020yCat.1350....0G
90  |TYC 2845-1614-1                                                                                          |Star                                |02 45 39.4016484048 +38 11 20.742863064|146.4076133781133 -19.4208697240615|    8.816 8.585  |10.00    |~                    |    ~     ~    |    1|  837.942   pc  | -11.0939    +11.0939  |paral   |2020yCat.1350....0G
91  |TYC 2845-1636-1                                                                                          |Star                                |02 49 13.6142416104 +37 36 40.268344968|147.3526290331655 -19.6122338659841|   1.978 -7.095  |10.78    |~                    |    ~     ~    |    1|  841.893   pc  | -13.2542    +13.2542  |paral   |2020yCat.1350....0G
92  |TYC 2845-1655-1                                                                                          |Eclipsing Binary                    |02 47 32.1724523880 +38 55 40.674777420|146.3997368964860 -18.5957190369955|  -2.643 -3.527  |10.79    |~                    |    ~     ~    |    1|  752.445   pc  | -17.1551    +17.1551  |paral   |2020yCat.1350....0G
93  |TYC 2845-1665-1                                                                                          |Star                                |02 49 59.3505740112 +38 54 47.205810864|146.8537171505051 -18.3895788600990|   8.543 -7.154  |9.87     |~                    |    ~     ~    |    1|  595.026   pc  |  -6.5500     +6.5500  |paral   |2020yCat.1350....0G
94  |TYC 2845-1682-1                                                                                          |Star                                |02 49 01.4615392728 +38 41 15.712599336|146.7878808850453 -18.6763734278949|  -7.633 -1.647  |10.30    |~                    |    ~     ~    |    1|  756.487   pc  | -12.0749    +12.0749  |paral   |2020yCat.1350....0G
95  |TYC 2845-1774-1                                                                                          |Star                                |02 46 14.1976295688 +38 35 08.636574516|146.3253146647821 -19.0156583581888|  -9.105 -0.807  |10.73    |~                    |    ~     ~    |    1|  349.932   pc  |  -2.3143     +2.3143  |paral   |2020yCat.1350....0G
