C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:35:09

Vmag< 11&dec< 0&rah >=18.75&rah< 19.0
-------------------------------------

Number of objects : 7297

 #  |                                                                                                                                       identifier                                                                                                                                       |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
4920|TYC 8385-1702-1                                                                                                                                                                                                                                                                         |Star                              |18 51 48.4176110280 -50 50 59.745755004|345.4022490153124 -20.7639043005838|  9.654 -35.672   |10.57    |~                 |    ~     ~    
4921|TYC 8385-1836-1                                                                                                                                                                                                                                                                         |High Proper Motion Star           |18 52 46.9861001208 -51 09 05.078496204|345.1449083540036 -21.0019511316738|-32.206 -54.383   |10.68    |~                 |    ~     ~    
4922|TYC 8385-2062-1                                                                                                                                                                                                                                                                         |High Proper Motion Star           |18 54 05.2964636448 -50 52 24.879571608|345.4950236837667 -21.1141070423891| 57.120 -19.591   |10.97    |~                 |    ~     ~    
4923|TYC 8386-294-1                                                                                                                                                                                                                                                                          |Star                              |18 58 47.5847254416 -52 13 47.077424616|344.3251123632653 -22.2057858913958|  9.245 -13.558   |10.95    |~                 |    ~     ~    
4924|TYC 8386-423-1                                                                                                                                                                                                                                                                          |Star                              |18 57 29.1439539552 -52 06 40.732652304|344.3873300096161 -21.9802124800450|  -0.298 -7.293   |10.566   |~                 |    ~     ~    
4925|TYC 8386-2246-1                                                                                                                                                                                                                                                                         |Star                              |18 56 36.2634200904 -51 39 05.224612824|344.8205319044801 -21.7188642611777|  7.026 -26.930   |10.82    |~                 |    ~     ~    
4926|TYC 8758-145-1                                                                                                                                                                                                                                                                          |Star                              |18 52 18.2158332744 -52 42 47.423062476|343.5222295452937 -21.3966961695499|  31.602 -6.830   |10.60    |~                 |    ~     ~    
4927|TYC 8758-2131-1                                                                                                                                                                                                                                                                         |Star                              |18 47 36.7129895112 -52 37 54.437859732|343.3758904519557 -20.6939832006367|  -31.276 2.318   |10.01    |~                 |    ~     ~    
4928|TYC 8759-417-1                                                                                                                                                                                                                                                                          |Star                              |18 54 40.8108955848 -52 34 12.701348652|343.7819806460379 -21.7000974491882|   2.309 -3.794   |10.65    |~                 |    ~     ~    
4929|TYC 8759-470-1                                                                                                                                                                                                                                                                          |Star                              |18 54 39.8240185560 -52 36 02.525390604|343.7497591802489 -21.7064736118274| -0.769 -18.324   |10.79    |~                 |    ~     ~    
4930|TYC 8759-894-1                                                                                                                                                                                                                                                                          |Star                              |18 54 24.9959970216 -52 33 29.019007800|343.7820727434751 -21.6582439786258|   7.285 -7.334   |10.718   |~                 |    ~     ~    
4931|HD 175485                                                                                                                                                                                                                                                                               |Star                              |18 58 04.6230128184 -49 44 26.263499640|346.8588759204339 -21.3849733633236|   -1.197 5.507   |9.79     |K1III             |    ~     ~    
4932|HD 175222                                                                                                                                                                                                                                                                               |Star                              |18 56 53.2088251368 -49 50 42.980841672|346.6904320413225 -21.2325849879515|   2.802 -6.903   |8.51     |K2III             |    ~     ~    
4933|HD 174874                                                                                                                                                                                                                                                                               |Spectroscopic Binary              |18 55 19.8049124256 -50 03 44.855614440|346.3878105940818 -21.0587776950148|  2.806 -40.579   |8.02     |F2III             |    ~     ~    
4934|HD 175399                                                                                                                                                                                                                                                                               |Star                              |18 57 48.1548047688 -50 44 28.950126684|345.8164819581014 -21.6358266220249|  -11.287 9.608   |9.88     |F6V               |    ~     ~    
4935|HD 175486                                                                                                                                                                                                                                                                               |Star                              |18 58 12.6663439776 -50 18 59.465065140|346.2740163833138 -21.5744891862727|    0.157 3.644   |9.85     |K1/2(III)         |    ~     ~    
4936|HD 175509                                                                                                                                                                                                                                                                               |Star                              |18 58 20.7392338632 -50 26 35.982240612|346.1502249305324 -21.6318818195468| -2.906 -16.239   |9.27     |K2III             |    ~     ~    
4937|HD 175604                                                                                                                                                                                                                                                                               |Star                              |18 58 50.0861144928 -50 44 55.058908164|345.8596790616489 -21.7942693181789|    3.084 6.439   |9.52     |G8/K0(III)        |    ~     ~    
4938|HD 175696                                                                                                                                                                                                                                                                               |Star                              |18 59 10.5313972272 -50 35 45.296545164|346.0339176401118 -21.8021991427555|  14.700 -7.539   |9.88     |G2V               |    ~     ~    
4939|HD 175735                                                                                                                                                                                                                                                                               |High Proper Motion Star           |18 59 24.4419081504 -50 20 34.817942472|346.3062116050804 -21.7648946751256| 58.868 -26.383   |8.49     |G0V               |    ~     ~    
4940|HD 175438                                                                                                                                                                                                                                                                               |Star                              |18 58 03.2892993672 -51 26 53.833941852|345.0996693995177 -21.8767991899777|   3.610 -9.099   |10.78    |A(5)(II)          |    ~     ~    
4941|HD 175462                                                                                                                                                                                                                                                                               |Star                              |18 58 05.9586597720 -51 09 32.872037472|345.4003596678199 -21.8009258098038|  6.449 -16.759   |8.42     |K4III             |    ~     ~    
4942|HD 175532                                                                                                                                                                                                                                                                               |Star                              |18 58 26.8105436208 -51 22 09.083629884|345.2001267386901 -21.9129256612386|  18.380 11.988   |10.12    |F6/7V             |    ~     ~    
4943|HD 175605                                                                                                                                                                                                                                                                               |Double or Multiple Star           |18 58 46.7878370112 -51 23 59.484126840|345.1842878736998 -21.9714342869826|   15.119 0.068   |9.87     |F6V               |    ~     ~    
4944|HD 175606                                                                                                                                                                                                                                                                               |Chemically Peculiar Star          |18 58 51.3362885520 -51 27 56.498489424|345.1197754925905 -22.0013617243747|21.426 -163.145   |9.80     |F/Gw              |    ~     ~    
4945|HD 175629                                                                                                                                                                                                                                                                               |Star                              |18 58 48.2928069840 -50 51 35.137357308|345.7435390856275 -21.8215798944940| 33.207 -33.212   |8.81     |G5V               |    ~     ~    
4946|HD 175630                                                                                                                                                                                                                                                                               |Star                              |18 58 53.9963276640 -51 19 14.637973800|345.2718435130766 -21.9670459176490|   4.158 -2.195   |9.20     |K0III             |    ~     ~    
4947|HD 175736                                                                                                                                                                                                                                                                               |Star                              |18 59 24.4569093312 -51 02 01.980099132|345.5927786112845 -21.9621604344905| 13.112 -35.501   |9.34     |F5V               |    ~     ~    
4948|HD 175780                                                                                                                                                                                                                                                                               |Star                              |18 59 32.1919080672 -50 54 31.110262200|345.7284764773924 -21.9461218037793|  6.654 -12.742   |9.834    |G6/8(IV)          |    ~     ~    
4949|HD 175818                                                                                                                                                                                                                                                                               |Star                              |18 59 54.3315215928 -52 24 16.275196656|344.1940150629276 -22.4173038562067|  9.051 -30.434   |9.44     |A8V               |    ~     ~    
4950|CD-50 12235                                                                                                                                                                                                                                                                             |Star                              |18 57 43.0862138784 -50 08 05.888411988|346.4358134483007 -21.4459635905325|  -0.607 -3.246   |10.201   |~                 |    ~     ~    
4951|CD-50 12244                                                                                                                                                                                                                                                                             |Star                              |18 58 28.3486841544 -50 32 55.829263848|346.0478490417615 -21.6817458172005|   9.548 -4.793   |10.18    |~                 |    ~     ~    
4952|CD-49 12443                                                                                                                                                                                                                                                                             |Star                              |18 59 43.6021178616 -49 40 18.743451420|347.0135727365686 -21.6198042253396| 24.301 -10.696   |10.12    |~                 |    ~     ~    
4953|HD 175836                                                                                                                                                                                                                                                                               |Star                              |18 59 47.4457772304 -50 02 25.300667508|346.6372722652890 -21.7364655097917|  -19.697 4.835   |9.675    |G8III             |    ~     ~    
4954|TYC 8382-812-1                                                                                                                                                                                                                                                                          |Star                              |18 58 45.5433131328 -49 54 11.718707724|346.7265805795929 -21.5379063436332| 17.815 -10.625   |10.25    |~                 |    ~     ~    
4955|TYC 8382-2018-1                                                                                                                                                                                                                                                                         |High Proper Motion Star           |18 58 05.5733658864 -50 16 34.258185372|346.3095803936577 -21.5446669863843|-13.953 -51.200   |10.44    |~                 |    ~     ~    
4956|TYC 8382-2150-1                                                                                                                                                                                                                                                                         |Star                              |18 56 25.5851411784 -50 36 09.041145876|345.8907210459788 -21.3867213058765| 19.001 -36.769   |10.81    |~                 |    ~     ~    
4957|TYC 8382-2162-1                                                                                                                                                                                                                                                                         |Star                              |18 59 12.0355037496 -50 22 01.912687284|346.2710428192326 -21.7402750103899| -6.524 -15.125   |10.17    |~                 |    ~     ~    
4958|TYC 8382-2259-1                                                                                                                                                                                                                                                                         |Spectroscopic Binary              |18 58 46.9827899736 -50 30 05.325087132|346.1119936268128 -21.7153243133842|  -5.309 16.476   |10.65    |~                 |    ~     ~    
4959|TYC 8382-2425-1                                                                                                                                                                                                                                                                         |Star                              |18 57 05.7380677632 -50 14 34.169143308|346.2935811833594 -21.3825067973729|  -1.476 -9.389   |10.05    |~                 |    ~     ~    
4960|TYC 8386-430-1                                                                                                                                                                                                                                                                          |Star                              |18 59 47.6659906728 -52 17 19.629553992|344.3094084923350 -22.3693527765067|   -4.444 8.171   |10.486   |~                 |    ~     ~    
4961|TYC 8386-975-1                                                                                                                                                                                                                                                                          |Star                              |18 59 26.3674914576 -51 20 28.028483484|345.2763836178923 -22.0536501373702|    3.657 0.952   |10.456   |~                 |    ~     ~    
4962|TYC 8386-1005-1                                                                                                                                                                                                                                                                         |Star                              |18 58 03.1890226776 -50 42 30.594022128|345.8626934388067 -21.6642626389079|  0.540 -31.871   |10.39    |~                 |    ~     ~    
4963|GSC 08386-01050                                                                                                                                                                                                                                                                         |Long-Period Variable Candidate    |18 57 20.4134305920 -51 10 37.926224076|345.3449098385081 -21.6921440805442| -5.305 -10.651   |10.79    |~                 |    ~     ~    
4964|2MASS J18590681-5048213                                                                                                                                                                                                                                                                 |Long-Period Variable              |18 59 06.8035231584 -50 48 21.215092392|345.8141505544025 -21.8528612472582|  5.313 -22.706   |10.37    |~                 |    ~     ~    
4965|TYC 8386-1557-1                                                                                                                                                                                                                                                                         |High Proper Motion Star           |18 57 45.2985809064 -50 49 57.633208176|345.7201200548536 -21.6550680115084| 48.764 -54.775   |10.84    |~                 |    ~     ~    
4966|HD 173023                                                                                                                                                                                                                                                                               |Star                              |18 45 35.2712069280 -47 35 41.904166452|348.3227755129295 -18.7463046425836| -4.083 -17.510   |8.87     |K3/4(III)         |    ~     ~    
4967|HD 173022                                                                                                                                                                                                                                                                               |Star                              |18 45 34.7131203552 -47 26 30.617363220|348.4740952065321 -18.6923267024678|  -1.967 -1.886   |9.39     |F8                |    ~     ~    
4968|HD 173124                                                                                                                                                                                                                                                                               |Star                              |18 46 09.4122683712 -47 40 07.187482236|348.2841910895764 -18.8615697044887|   6.119 -7.297   |9.59     |A3IV-V            |    ~     ~    
4969|HD 173445                                                                                                                                                                                                                                                                               |Star                              |18 47 40.2165572136 -47 22 41.367488592|348.6647285222184 -19.0033672045947| -13.369 -4.150   |9.59     |F3V               |    ~     ~    
4970|HD 173467                                                                                                                                                                                                                                                                               |Star                              |18 47 46.4201552064 -47 47 11.585644044|348.2640410922455 -19.1573012022541|   -2.238 3.314   |7.86     |M1III             |    ~     ~    
4971|HD 173466                                                                                                                                                                                                                                                                               |Star                              |18 47 47.2836936192 -47 14 13.335210996|348.8123180631687 -18.9744342809634|  6.427 -40.086   |9.78     |G3/5IV/V          |    ~     ~    
4972|HD 173716                                                                                                                                                                                                                                                                               |Star                              |18 49 04.5069711168 -47 32 33.388064376|348.5851076145106 -19.2822395351153|  -9.527 -6.048   |8.82     |K5/M0III          |    ~     ~    
4973|HD 173735                                                                                                                                                                                                                                                                               |Star                              |18 49 15.3736274112 -47 43 47.863223436|348.4086122167649 -19.3733116901188|   -5.123 1.625   |8.81     |M0III             |    ~     ~    
4974|HD 173775                                                                                                                                                                                                                                                                               |Star                              |18 49 23.4995802384 -47 31 04.432306620|348.6286438779499 -19.3243980426251|   6.168 12.423   |9.65     |K1(III)           |    ~     ~    
4975|HD 172996                                                                                                                                                                                                                                                                               |Star                              |18 45 33.8831946960 -48 27 34.267660596|347.4621174002496 -19.0367819487351|-20.882 -27.235   |7.16     |K3/4III           |    ~     ~    
4976|HD 172995                                                                                                                                                                                                                                                                               |Star                              |18 45 37.1572336608 -48 15 50.555546424|347.6599139616607 -18.9791658083369|   11.455 1.007   |6.81     |A9IV              |    ~     ~    
4977|HD 173125                                                                                                                                                                                                                                                                               |Star                              |18 46 09.0990012216 -48 17 01.658552496|347.6719262465127 -19.0692089020099| 14.485 -20.252   |8.61     |A8V               |    ~     ~    
4978|HD 173359                                                                                                                                                                                                                                                                               |High Proper Motion Star           |18 47 16.5070346448 -48 07 54.465704724|347.8900429340865 -19.1944063379058|-17.300 -222.822  |9.87     |K3/5              |    ~     ~    
4979|HD 173394                                                                                                                                                                                                                                                                               |Star                              |18 47 34.2501376824 -48 38 29.900581116|347.3980362204737 -19.4105787264347|  -1.357 -6.234   |9.89     |K1/2(III)         |    ~     ~    
4980|CD-48 12725                                                                                                                                                                                                                                                                             |High Proper Motion Star           |18 47 53.5521527424 -48 48 42.641332416|347.2462540856232 -19.5169018963858|-34.435 -90.820   |10.79    |G5                |    ~     ~    
4981|HD 173126                                                                                                                                                                                                                                                                               |Star                              |18 46 23.7907724040 -49 51 07.300521864|346.1186097947851 -19.6287374462673|  1.674 -40.066   |9.19     |A7IV              |    ~     ~    
4982|HD 173186                                                                                                                                                                                                                                                                               |Star                              |18 46 36.7174635816 -49 30 42.889377816|346.4717215451985 -19.5498675565313|  7.203 -39.045   |9.23     |F7V               |    ~     ~    
4983|HD 173262                                                                                                                                                                                                                                                                               |Star                              |18 46 49.1401072608 -49 04 02.284960224|346.9287327189837 -19.4349069236448|  -2.286 -8.947   |9.86     |A1V               |    ~     ~    
4984|HD 173308                                                                                                                                                                                                                                                                               |High Proper Motion Star           |18 47 05.0033834256 -49 18 12.259096236|346.7074450039060 -19.5536357617352| 22.106 -54.282   |9.40     |G2/3V             |    ~     ~    
4985|HD 173325                                                                                                                                                                                                                                                                               |Double or Multiple Star           |18 47 08.6255591262 -48 53 02.748895763|347.1307519406057 -19.4245095735621| 12.681 -11.633   |9.54     |G3IV/V            |    ~     ~    
4986|HD 173340                                                                                                                                                                                                                                                                               |Star                              |18 47 16.7130733080 -48 58 10.398609804|347.0529941470345 -19.4736763712167|  -7.230 18.883   |9.32     |G2IV              |    ~     ~    
4987|HD 173360                                                                                                                                                                                                                                                                               |Star                              |18 47 24.3235075392 -49 37 49.845029196|346.3975401825465 -19.7102765084704|  0.203 -28.295   |6.92     |B9Vn              |    ~     ~    
4988|CD-49 12344                                                                                                                                                                                                                                                                             |Star                              |18 48 02.6933277744 -49 20 19.332547908|346.7265470415665 -19.7132327164423|   1.409 -8.768   |10.35    |A0                |    ~     ~    
4989|HD 173468                                                                                                                                                                                                                                                                               |Star                              |18 48 02.4264165024 -49 14 16.329558048|346.8275259783613 -19.6796232646810|   5.680 -3.664   |9.76     |A0V               |    ~     ~    
4990|HD 173506                                                                                                                                                                                                                                                                               |Star                              |18 48 14.5707001272 -49 39 37.331340624|346.4143751108715 -19.8481845693698|  0.846 -10.266   |8.94     |K3III             |    ~     ~    
4991|HD 173625                                                                                                                                                                                                                                                                               |Star                              |18 48 48.0354619704 -49 31 37.308291060|346.5796185006510 -19.8905808016412|  0.239 -14.075   |9.79     |F0V               |    ~     ~    
4992|HD 173624                                                                                                                                                                                                                                                                               |Star                              |18 48 47.6563895736 -49 01 35.211734652|347.0825450169000 -19.7271895361958|  -4.423 -4.562   |9.55     |F0/2IV/V          |    ~     ~    
4993|HD 173309                                                                                                                                                                                                                                                                               |Star                              |18 47 08.2726204296 -49 53 10.757051016|346.1256610128782 -19.7528436998414|   8.085 -8.373   |9.94     |A8/F0V            |    ~     ~    
4994|CD-48 12733                                                                                                                                                                                                                                                                             |Star                              |18 48 59.6881609824 -48 28 11.205487200|347.6526006627710 -19.5763169258966|-20.565 -22.201   |10.11    |G0                |    ~     ~    
4995|HD 173755                                                                                                                                                                                                                                                                               |Double or Multiple Star           |18 49 25.0740 -48 47 27.672            |347.3544857 -19.7474062            |    5.30 -42.10   |9.98     |F2V               |    ~     ~    
4996|HD 173947                                                                                                                                                                                                                                                                               |Star                              |18 50 32.6375071080 -48 22 45.402895560|347.8325743852688 -19.7896874073630|  7.544 -19.975   |8.03     |G8/K0III          |    ~     ~    
4997|CD-48 12754A                                                                                                                                                                                                                                                                            |Star                              |18 51 34.4 -48 27 13                   |347.8164 -19.9753                  |            ~ ~   |8.5      |~                 |    ~     ~    
4998|IDS 18440-4834 AB                                                                                                                                                                                                                                                                       |Double or Multiple Star           |18 51 34.4 -48 27 15                   |347.8159 -19.9755                  |            ~ ~   |8.5      |K0III             |    ~     ~    
4999|CD-48 12754B                                                                                                                                                                                                                                                                            |Star                              |18 51 34.4 -48 27 18                   |347.8150 -19.9758                  |            ~ ~   |8.5      |~                 |    ~     ~    
5000|CD-49 12353                                                                                                                                                                                                                                                                             |High Proper Motion Star           |18 48 59.4993603600 -49 39 23.979525660|346.4597135275806 -19.9616836779100| 26.423 -69.806   |10.72    |~                 |    ~     ~    
5001|HD 173736                                                                                                                                                                                                                                                                               |Star                              |18 49 26.8974936840 -49 42 56.675248092|346.4253898901220 -20.0505962666854|   4.595 -2.695   |8.10     |K2IIICNII         |    ~     ~    
5002|HD 173892                                                                                                                                                                                                                                                                               |High Proper Motion Star           |18 50 14.3231492736 -49 15 48.559420296|346.9251900550518 -20.0273391938657|-28.704 -182.199  |9.76     |G5V               |    ~     ~    
5003|HD 173996                                                                                                                                                                                                                                                                               |Star                              |18 50 55.5836243808 -49 48 41.398528356|346.4094627743516 -20.3073444393839| -29.654 -2.005   |9.75     |F3V               |    ~     ~    
5004|HD 173995                                                                                                                                                                                                                                                                               |High Proper Motion Star           |18 50 56.4117423312 -49 35 12.449087268|346.6374874241538 -20.2384539660263|-26.985 -115.181  |9.39     |G3V               |    ~     ~    
5005|HD 174096                                                                                                                                                                                                                                                                               |Star                              |18 51 28.6038417480 -49 46 24.072821292|346.4778895363096 -20.3796461901965|    8.628 4.930   |8.50     |A0V               |    ~     ~    
5006|CD-49 12374                                                                                                                                                                                                                                                                             |Star                              |18 51 45.5146043760 -49 25 00.405494472|346.8541987126497 -20.3107984031634|    0.771 8.153   |10.17    |F2                |    ~     ~    
5007|HD 174233                                                                                                                                                                                                                                                                               |High Proper Motion Star           |18 52 05.2116134736 -49 39 53.439163344|346.6208156465221 -20.4392789366631| 39.479 -45.340   |8.61     |F2V               |    ~     ~    
5008|HD 174452                                                                                                                                                                                                                                                                               |Star                              |18 53 04.6370904168 -49 39 23.548348008|346.6825525161086 -20.5889946482077|   1.181 -2.426   |8.61     |K3III             |    ~     ~    
5009|HD 174475                                                                                                                                                                                                                                                                               |Star                              |18 53 10.5120642624 -49 21 21.433266216|346.9929366072843 -20.5106509313296| -2.801 -23.248   |8.44     |A3V               |    ~     ~    
5010|HD 174501                                                                                                                                                                                                                                                                               |Star                              |18 53 20.1450742248 -49 25 17.280239376|346.9351362718172 -20.5558691749579|  1.232 -14.852   |9.07     |A7V               |    ~     ~    
5011|HD 174527                                                                                                                                                                                                                                                                               |Star                              |18 53 25.9689973752 -49 27 50.870067984|346.8970534489616 -20.5841160914950|    3.322 2.842   |9.47     |F2V               |    ~     ~    
5012|V* AU Tel                                                                                                                                                                                                                                                                               |Mira Variable                     |18 50 03.7148248296 -49 56 00.867724008|346.2390610601956 -20.2138115960526|  -0.383 -5.609   |10.32    |~                 |    ~     ~    
5013|V* V352 Tel                                                                                                                                                                                                                                                                             |Mira Variable                     |18 47 20.5384160736 -47 38 05.805707532|348.3892831226908 -19.0379565558917|   3.487 -6.053   |10.5     |Me                |    ~     ~    
5014|CD-48 12703                                                                                                                                                                                                                                                                             |Star                              |18 45 40.8927914064 -48 40 38.009861148|347.2521392667487 -19.1283859056407|  3.204 -10.182   |10.20    |~                 |    ~     ~    
5015|CD-49 12342                                                                                                                                                                                                                                                                             |Long-Period Variable              |18 47 49.1555760216 -49 18 22.281228720|346.7464314514865 -19.6678626869877| -15.294 -3.497   |10.30    |~                 |    ~     ~    
5016|CD-49 12361                                                                                                                                                                                                                                                                             |Star                              |18 49 45.0749742624 -49 19 43.488111792|346.8322715360198 -19.9730148400882|   4.334 -8.090   |9.89     |~                 |    ~     ~    
5017|CD-49 12363                                                                                                                                                                                                                                                                             |Star                              |18 50 06.8300556393 -49 29 43.795786660|346.6842659452483 -20.0823218310350|-11.323 -38.003   |10.51    |~                 |    ~     ~    
