C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:43:58

Vmag< 11&dec >=0&rah >=0.75&rah< 1.0
------------------------------------

Number of objects : 4837

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------
64  |HD 5469                                                               |Star                           |00 57 02.2213082904 +45 36 37.086610716|123.9571914282961 -17.2502992424371|  8.927 -13.660   |8.37     |A0                  |    ~     ~    
65  |BD+44 205                                                             |Pulsating Variable             |00 58 01.2141281424 +45 21 09.475514136|124.1444111354895 -17.5036186460475|-11.097 -21.108   |9.50     |F0                  |    ~     ~    
66  |HD 5596                                                               |Star                           |00 58 16.4438141208 +45 35 49.729702776|124.1840264481938 -17.2579801047673|-17.980 -24.160   |7.23     |A3                  |    ~     ~    
67  |BD+43 168                                                             |Star                           |00 52 36.2813540640 +44 46 07.574080476|123.1497989324287 -18.1024834184864| 10.715 -12.944   |9.90     |F5                  |    ~     ~    
68  |BD+43 179                                                             |Star                           |00 56 06.2971313616 +44 41 54.119072652|123.8047577987749 -18.1654716193917|  10.166 20.225   |9.36     |K0                  |    ~     ~    
69  |V* GO And                                                             |alpha2 CVn Variable            |00 50 18.2653153128 +45 00 08.135537076|122.7214034894995 -17.8690243874449|   65.570 4.662   |6.15     |A3VpSiSrCrEuKsn     |    ~     ~    
70  |IRAS 00470+4520                                                       |Star                           |00 49 50.7645828528 +45 36 41.228769996|122.6404198412937 -17.2593941643661| -5.789 -13.054   |9.79     |~                   |    ~     ~    
71  |IRAS 00495+4614                                                       |Long-Period Variable           |00 52 19.4772609072 +46 30 19.285990848|123.0909460588031 -16.3661165816952|  -1.743 -1.258   |10.09    |~                   |    ~     ~    
72  |HD 4695                                                               |High Proper Motion Star        |00 49 31.1537108424 +46 30 39.462567444|122.5878809115694 -16.3595040481043|  67.806 16.181   |7.18     |K0                  |    ~     ~    
73  |HD 4843                                                               |Star                           |00 50 59.6323792008 +46 43 16.000805604|122.8526957275659 -16.1505679406588|  39.584 -9.563   |7.63     |K0                  |    ~     ~    
74  |BD+44 159                                                             |High Proper Motion Star        |00 46 07.4899409088 +45 02 11.061506904|121.9460021697944 -17.8251704313725|-15.484 -73.508   |9.30     |F5                  |    ~     ~    
75  |HD 4335                                                               |Star                           |00 46 10.8119890296 +44 51 41.399778060|121.9523305944468 -18.0002470718134|  25.806 -5.780   |6.024    |B9.5IIIp(HgMn)      |    ~     ~    
76  |TYC 2809-406-1                                                        |Star                           |00 46 16.5893942976 +44 47 26.851514100|121.9687002644533 -18.0713021378746|  -1.789 -0.688   |10.13    |A2                  |    ~     ~    
77  |BD+44 164                                                             |Star                           |00 46 45.2664146160 +44 49 56.867877048|122.0587194743955 -18.0313434878699|  -9.478 -7.041   |9.28     |K0                  |    ~     ~    
78  |HD 4478                                                               |Pulsating Variable             |00 47 19.9088744640 +45 17 41.577587376|122.1744873269446 -17.5708260745160|  -7.461 -6.363   |9.02     |~                   |    ~     ~    
79  |HD 4675                                                               |Star                           |00 49 18.2182401264 +45 48 07.467921180|122.5428187366882 -17.0680606910147|   3.621 -3.829   |9.03     |A0                  |    ~     ~    
80  |BD+44 170                                                             |Star                           |00 48 40.5650220648 +45 18 52.770043872|122.4226773671638 -17.5543583743179|   2.288 -1.060   |9.42     |K0                  |    ~     ~    
81  |BD+44 171                                                             |Star                           |00 48 52.5280930224 +45 30 34.675316316|122.4615717258734 -17.3597753541374| -14.501 -7.972   |9.66     |F0                  |    ~     ~    
82  |BD+43 145                                                             |Star                           |00 46 10.3077596568 +44 34 21.031683600|121.9442211417182 -18.2891393025590|  -2.068 -5.993   |9.61     |F5                  |    ~     ~    
83  |BD+43 148                                                             |Star                           |00 46 44.6935833288 +44 33 35.775646848|122.0514386398444 -18.3037865736421|  -5.924 -5.918   |10.40    |M2                  |    ~     ~    
84  |BD+43 152                                                             |Double or Multiple Star        |00 47 26.6495 +44 39 36.015            |122.1843370 -18.2059462            | 18.862 -18.649   |9.15     |A5                  |    ~     ~    
85  |BD+43 161                                                             |Star                           |00 50 54.8496371880 +44 29 25.988158968|122.8334969558568 -18.3810952224598|  -4.933 -9.294   |8.73     |K0                  |    ~     ~    
86  |BD+43 163                                                             |Star                           |00 51 22.8806556360 +44 26 40.379926236|122.9212833486540 -18.4271964364299|  6.088 -14.996   |10.25    |F8                  |    ~     ~    
87  |BD+43 183                                                             |Star                           |00 56 53.4856439904 +44 27 52.019827560|123.9573104242281 -18.3964397243015| 41.594 -22.170   |8.90     |F8                  |    ~     ~    
88  |TYC 2809-187-1                                                        |High Proper Motion Star        |00 45 37.5284487936 +44 42 54.188974548|121.8453423963315 -18.1444318530114| 54.281 -10.870   |10.77    |~                   |    ~     ~    
89  |TYC 2809-514-1                                                        |Star                           |00 47 24.6706451112 +44 48 06.284138940|122.1806180780455 -18.0641277998119|   12.814 1.931   |9.30     |~                   |    ~     ~    
90  |TYC 2809-722-1                                                        |Star                           |00 49 24.9627429336 +44 33 25.523171712|122.5525417765275 -18.3131684406484| 18.781 -26.589   |10.87    |~                   |    ~     ~    
91  |TYC 2809-838-1                                                        |Star                           |00 48 52.3048456200 +44 58 41.254978080|122.4550576597165 -17.8912451483396|   17.022 4.207   |10.86    |~                   |    ~     ~    
92  |TYC 2809-1160-1                                                       |Star                           |00 47 15.4352874936 +44 55 43.961800404|122.1541843918000 -17.9365559920159| 16.852 -14.603   |10.09    |~                   |    ~     ~    
93  |TYC 2809-1250-1                                                       |Star                           |00 49 15.2589179712 +44 44 12.010983936|122.5238834022115 -18.1333478499726|    7.318 0.765   |9.81     |~                   |    ~     ~    
94  |TYC 2809-1980-1                                                       |Star                           |00 48 03.7531454424 +44 27 17.464502376|122.2971003866262 -18.4127357941273|  7.311 -10.058   |10.66    |~                   |    ~     ~    
95  |TYC 2810-74-1                                                         |Star                           |00 52 04.0151204520 +44 44 59.084226600|123.0494322795940 -18.1218584533371| 18.821 -12.998   |10.40    |~                   |    ~     ~    
96  |TYC 2810-173-1                                                        |Star                           |00 54 26.0227270896 +44 53 02.443875036|123.4898367241640 -17.9844901106319|  -7.933 -2.982   |10.92    |~                   |    ~     ~    
97  |TYC 2810-250-1                                                        |Star                           |00 50 22.6396511232 +44 58 42.838555080|122.7348363151438 -17.8927754566062| -8.832 -24.300   |9.54     |~                   |    ~     ~    
98  |TYC 2810-316-1                                                        |Star                           |00 50 32.0674663272 +44 57 55.024047216|122.7639842822023 -17.9061685260424|  3.117 -16.817   |9.54     |~                   |    ~     ~    
99  |TYC 2810-336-1                                                        |Star                           |00 54 15.3404227632 +44 48 51.852717324|123.4575245546891 -18.0544684182376|  -7.829 -8.402   |9.77     |~                   |    ~     ~    
100 |TYC 2810-342-1                                                        |Star                           |00 51 05.9033232096 +44 54 35.912613348|122.8687314091044 -17.9617301992232|   8.355 -9.556   |10.80    |~                   |    ~     ~    
101 |TYC 2810-597-1                                                        |Star                           |00 52 19.9156478136 +44 20 05.302926168|123.1005379327434 -18.5366485267848| -10.179 -7.409   |10.61    |~                   |    ~     ~    
102 |TYC 2810-880-1                                                        |High Proper Motion Star        |00 51 02.6930638920 +44 35 12.497465940|122.8582268249257 -18.2848864922099|-103.843 -13.495  |10.36    |~                   |    ~     ~    
103 |TYC 2810-1002-1                                                       |Spectroscopic Binary           |00 52 42.6876661896 +44 15 04.130771112|123.1725783087626 -18.6200050628491|  -8.964 -7.645   |9.96     |~                   |    ~     ~    
104 |TYC 2810-1074-1                                                       |Star                           |00 52 00.5183849016 +44 23 17.939118444|123.0394336976063 -18.4833120268439|   -4.361 1.790   |10.50    |~                   |    ~     ~    
105 |TYC 2810-1109-1                                                       |Star                           |00 54 11.1951408576 +44 27 05.365262880|123.4489323464556 -18.4174979645530| 10.697 -44.319   |10.02    |~                   |    ~     ~    
106 |TYC 2810-1156-1                                                       |Star                           |00 50 57.5057350152 +44 18 38.945649924|122.8414442629960 -18.5608451118837|  -9.790 -5.319   |9.84     |~                   |    ~     ~    
107 |TYC 2810-1279-1                                                       |Star                           |00 50 33.7653773376 +44 32 25.828233144|122.7676464332536 -18.3309605916533|  -3.387 -1.038   |9.80     |~                   |    ~     ~    
108 |TYC 2810-1720-1                                                       |Star                           |00 56 04.0943977368 +44 24 52.502698584|123.8035537918227 -18.4493269911856|  -1.644 -6.958   |10.09    |~                   |    ~     ~    
109 |TYC 2810-1821-1                                                       |Star                           |00 56 58.5654686616 +44 41 30.743157948|123.9678013446939 -18.1687351895063|  -2.588 -2.019   |10.25    |~                   |    ~     ~    
110 |TYC 2810-1938-1                                                       |Star                           |00 56 40.3367 +44 36 01.074            |123.9130493 -18.2614775            | 39.752 -12.195   |10.06    |~                   |    ~     ~    
111 |TYC 3262-97-1                                                         |Star                           |00 52 08.6966723856 +45 13 43.785072192|123.0625561899166 -17.6427390662084|   4.693 -4.727   |9.64     |~                   |    ~     ~    
112 |TYC 3262-103-1                                                        |Star                           |00 47 53.5877895504 +45 13 02.801104140|122.2768483151547 -17.6497940643577|  -3.193 -5.326   |10.91    |~                   |    ~     ~    
113 |TYC 3262-129-1                                                        |Star                           |00 46 15.7817423760 +45 12 56.715003360|121.9756143446502 -17.6463843540459|  -2.047 -0.078   |9.78     |~                   |    ~     ~    
114 |TYC 3262-152-1                                                        |Star                           |00 51 44.8946079408 +45 04 24.179873988|122.9894685026907 -17.7983296133785|   -2.507 3.431   |9.99     |~                   |    ~     ~    
115 |TYC 3262-251-1                                                        |Star                           |00 49 42.7035305256 +45 25 12.910939788|122.6144104345157 -17.4504303434587|  14.056 -7.160   |10.51    |~                   |    ~     ~    
116 |TYC 3262-252-1                                                        |Star                           |00 46 29.8642613712 +45 16 44.696707860|122.0203180125692 -17.5839207548635|   1.735 -1.351   |10.71    |~                   |    ~     ~    
117 |TYC 3262-288-1                                                        |Star                           |00 50 27.0567197472 +45 00 28.208958084|122.7486405128114 -17.8635605258664|  -6.168 -3.060   |10.34    |~                   |    ~     ~    
