C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:41:11

dec >=0&rah >=9.5&rah< 9.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 2905

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
2656|TYC 242-1526-2                                                                                                                              |Star                              |09 43 29.336 +06 12 27.51              |229.263127 +40.757728              |    -23.4 -37.4   |9.20     |~               |    ~     ~    |    0|                |                       |        |                   
2657|TYC 820-361-1                                                                                                                               |Star                              |09 30 30.2262753888 +09 05 37.697470440|223.9181544215946 +39.3609026658657|  -11.516 3.604   |10.84    |~               |    ~     ~    |    1|  927.128   pc  | -16.0739    +16.0739  |paral   |2020yCat.1350....0G
2658|TYC 820-376-1                                                                                                                               |Star                              |09 30 05.9685822624 +09 14 17.019261780|223.6929972219587 +39.3396417553036|  -15.352 2.805   |10.74    |~               |    ~     ~    |    1|  785.608   pc  |  -9.9366     +9.9366  |paral   |2020yCat.1350....0G
2659|TYC 820-884-1                                                                                                                               |Star                              |09 30 20.1978115752 +08 15 10.096992108|224.8499232161051 +38.9287029933064| -2.491 -27.971   |10.76    |~               |    ~     ~    |    1|  210.234   pc  |  -1.1315     +1.1315  |paral   |2020yCat.1350....0G
2660|TYC 821-7-1                                                                                                                                 |Star                              |09 38 40.4029426776 +09 54 37.802306988|224.1982571793993 +41.5240498298255| -2.422 -12.036   |10.91    |~               |    ~     ~    |    1|  689.513   pc  | -10.9348    +10.9348  |paral   |2020yCat.1350....0G
2661|TYC 821-436-1                                                                                                                               |Star                              |09 41 39.8187038496 +09 48 21.575625840|224.7825589736671 +42.1272247492267|-15.790 -17.011   |10.683   |~               |    ~     ~    |    1|  311.139   pc  |  -2.1007     +2.1007  |paral   |2020yCat.1350....0G
2662|TYC 821-576-1                                                                                                                               |Star                              |09 41 19.7827226520 +09 35 48.065706852|224.9795780173130 +41.9564243203772| -10.474 -0.080   |10.57    |~               |    ~     ~    |    1|  954.472   pc  | -19.6780    +19.6780  |paral   |2020yCat.1350....0G
2663|TYC 821-647-1                                                                                                                               |Star                              |09 32 28.6846320576 +09 05 46.200116508|224.2106161799578 +39.7930165725108| -1.004 -10.011   |10.79    |~               |    ~     ~    |    1|  892.937   pc  | -18.3387    +18.3387  |paral   |2020yCat.1350....0G
2664|TYC 821-879-1                                                                                                                               |Star                              |09 32 31.3246628568 +08 49 39.584834652|224.5255846288397 +39.6766336959200|   0.182 -8.101   |10.80    |~               |    ~     ~    |    1|  915.751   pc  | -13.7530    +13.7530  |paral   |2020yCat.1350....0G
2665|TYC 821-1069-1                                                                                                                              |Star                              |09 35 16.4471008056 +08 53 32.638961292|224.8695347200121 +40.3066197536161|-16.278 -13.470   |10.68    |~               |    ~     ~    |    1|  763.767   pc  | -10.3834    +10.3834  |paral   |2020yCat.1350....0G
2666|TYC 821-1082-1                                                                                                                              |Star                              |09 41 31.8700848216 +09 23 01.602510612|225.2634446923837 +41.8999025916816|  -13.154 7.810   |10.96    |~               |    ~     ~    |    1|  705.219   pc  |  -8.2060     +8.2060  |paral   |2020yCat.1350....0G
2667|TYC 821-1172-1                                                                                                                              |Star                              |09 42 06.0837924600 +09 34 39.124365240|225.1227988647111 +42.1152876769570|  -9.855 -6.025   |10.78    |~               |    ~     ~    |    1|  778.513   pc  | -10.8489    +10.8489  |paral   |2020yCat.1350....0G
2668|TYC 821-1187-1                                                                                                                              |Star                              |09 32 50.0477114064 +09 17 54.537053892|224.0308749050041 +39.9651415071445|-31.098 -27.637   |10.80    |~               |    ~     ~    |    1|  117.316   pc  |  -0.2353     +0.2353  |paral   |2020yCat.1350....0G
2669|TYC 821-1309-1                                                                                                                              |Star                              |09 35 33.6694808424 +08 11 39.341543964|225.7170052232146 +40.0362588262602|  -15.022 3.850   |10.63    |~               |    ~     ~    |    1| 1142.727   pc  | -19.3262    +19.3262  |paral   |2020yCat.1350....0G
2670|TYC 821-1459-1                                                                                                                              |High Proper Motion Star           |09 32 35.8280774904 +09 08 57.103802988|224.1674640235832 +39.8437823255174| -5.804 -82.747   |10.98    |~               |    ~     ~    |    1|  253.299   pc  |  -1.6168     +1.6168  |paral   |2020yCat.1350....0G
2671|TYC 821-1908-1                                                                                                                              |Star                              |09 37 32.2911983472 +07 57 07.127754408|226.3041820882315 +40.3476901174114|  -2.756 -7.618   |10.63    |~               |    ~     ~    |    1| 1176.886   pc  | -41.2748    +41.2748  |paral   |2020yCat.1350....0G
2672|TYC 821-1915-1                                                                                                                              |Star                              |09 38 52.5693570672 +07 31 29.034117912|227.0062140605117 +40.4281455569293|  -9.606 -1.993   |10.66    |~               |    ~     ~    |    1| 1225.941   pc  | -29.7580    +29.7580  |paral   |2020yCat.1350....0G
2673|TYC 823-90-1                                                                                                                                |Star                              |09 31 04.1293926960 +10 29 44.466478800|222.3805242786362 +40.1270060991125|-24.087 -16.947   |10.95    |~               |    ~     ~    |    1|  459.707   pc  | -21.6191    +21.6191  |paral   |2020yCat.1350....0G
2674|TYC 824-63-1                                                                                                                                |Star                              |09 40 57.7873223376 +11 14 12.407093808|222.9542296118468 +42.6300053830223| -13.539 10.244   |10.45    |~               |    ~     ~    |    1|  819.672   pc  | -11.8920    +11.8920  |paral   |2020yCat.1350....0G
2675|TYC 824-167-1                                                                                                                               |Star                              |09 37 54.4610519808 +12 22 47.527944888|221.1142359240428 +42.4622384955154| 18.797 -15.192   |10.62    |~               |    ~     ~    |    1|  303.647   pc  |  -1.6227     +1.6227  |paral   |2020yCat.1350....0G
2676|TYC 824-320-1                                                                                                                               |Star                              |09 32 30.9265876536 +11 09 58.350191256|221.8009954097646 +40.7444312915142|  -8.254 -4.706   |10.52    |~               |    ~     ~    |    1| 1222.494   pc  | -33.3272    +33.3272  |paral   |2020yCat.1350....0G
2677|TYC 824-558-1                                                                                                                               |Star                              |09 33 12.6305655648 +11 27 53.122448808|221.5463170356730 +41.0291987986232|-11.851 -10.574   |10.39    |~               |    ~     ~    |    1|  762.777   pc  |  -9.3092     +9.3092  |paral   |2020yCat.1350....0G
2678|TYC 824-647-1                                                                                                                               |Star                              |09 41 53.2108435416 +11 37 11.826095808|222.6248272946021 +43.0037346485019| -9.846 -15.368   |10.47    |~               |    ~     ~    |    1|  214.869   pc  |  -0.7849     +0.7849  |paral   |2020yCat.1350....0G
2679|TYC 824-889-1                                                                                                                               |High Proper Motion Star           |09 38 42.6246644328 +10 54 48.517144128|223.0082124088364 +41.9909471471305|-58.294 -34.272   |10.87    |~               |    ~     ~    |    1|  243.801   pc  |  -1.1591     +1.1591  |paral   |2020yCat.1350....0G
2680|TYC 824-963-1                                                                                                                               |Star                              |09 32 00.2621660280 +10 49 18.348050028|222.1336845312228 +40.4787462564723| -12.273 -3.691   |10.44    |~               |    ~     ~    |    1|  934.317   pc  | -16.9352    +16.9352  |paral   |2020yCat.1350....0G
2681|TYC 824-1101-1                                                                                                                              |Star                              |09 35 05.6630612760 +10 14 03.770673720|223.2772825154800 +40.8908612251431|   7.455 -6.528   |9.94     |~               |    ~     ~    |    1| 1639.344   pc  | -50.7928    +50.7928  |paral   |2020yCat.1350....0G
2682|HD 83301B                                                                                                                                   |Star                              |09 37 42.233256 +11 52 51.24504        |221.692636652 +42.200288640        |            ~ ~   |10.26    |~               |    ~     ~    |    0|                |                       |        |                   
2683|TYC 824-1518-1                                                                                                                              |Star                              |09 37 02.7907549752 +12 04 33.725849880|221.3610522973522 +42.1408928531358|-17.984 -19.353   |10.66    |~               |    ~     ~    |    1|  247.200   pc  |  -1.7049     +1.7049  |paral   |2020yCat.1350....0G
2684|TYC 824-1615-1                                                                                                                              |Star                              |09 35 31.0796523528 +11 33 52.961772744|221.7583005332754 +41.5806992500322|   -1.406 0.696   |10.82    |~               |    ~     ~    |    1| 1198.610   pc  | -24.4233    +24.4233  |paral   |2020yCat.1350....0G
2685|TYC 824-1779-1                                                                                                                              |Star                              |09 38 27.7330274040 +10 31 16.350643452|223.4405794675234 +41.7586864620312|   6.845 -9.150   |10.80    |~               |    ~     ~    |    1|  777.907   pc  | -11.9818    +11.9818  |paral   |2020yCat.1350....0G
2686|TYC 824-1890-1                                                                                                                              |Star                              |09 40 56.0360001984 +11 00 19.192152060|223.2304549391286 +42.5193543135581|  -21.163 1.848   |10.90    |~               |    ~     ~    |    1| 1065.303   pc  | -20.6546    +20.6546  |paral   |2020yCat.1350....0G
2687|TYC 826-333-1                                                                                                                               |Star                              |09 31 42.0357028704 +13 24 04.305424860|219.0073842529737 +41.5243800160667| -11.651 -6.124   |10.87    |~               |    ~     ~    |    1|  919.794   pc  | -15.7360    +15.7360  |paral   |2020yCat.1350....0G
2688|TYC 826-433-1                                                                                                                               |Star                              |09 31 28.4105497752 +14 18 53.813259720|217.8607342268869 +41.8479852138309| -9.099 -16.808   |10.91    |~               |    ~     ~    |    1| 1108.770   pc  | -18.4406    +18.4406  |paral   |2020yCat.1350....0G
2689|TYC 826-1144-1                                                                                                                              |High Proper Motion Star           |09 30 38.0019294000 +13 01 44.186141784|219.3135855206710 +41.1330112732517|-22.873 -52.171   |10.67    |~               |    ~     ~    |    1|  218.460   pc  |  -0.8590     +0.8590  |paral   |2020yCat.1350....0G
2690|TYC 827-192-1                                                                                                                               |Star                              |09 37 22.1548795152 +12 30 17.159346288|220.8847935885270 +42.3974489465636|   -3.676 1.658   |10.69    |~               |    ~     ~    |    1|  947.867   pc  | -17.0706    +17.0706  |paral   |2020yCat.1350....0G
2691|TYC 827-531-1                                                                                                                               |Star                              |09 37 01.7548492584 +12 31 11.943283404|220.8179330453483 +42.3290612370117|  -7.525 -5.089   |10.40    |~               |    ~     ~    |    1|  455.726   pc  |  -4.7976     +4.7976  |paral   |2020yCat.1350....0G
2692|TYC 827-836-1                                                                                                                               |Star                              |09 34 38.1692889312 +13 00 59.138186760|219.8767363233913 +42.0123408435156| -19.304 -7.112   |10.48    |~               |    ~     ~    |    1|  705.418   pc  | -10.4001    +10.4001  |paral   |2020yCat.1350....0G
2693|TYC 827-874-1                                                                                                                               |Star                              |09 38 21.0868879944 +13 59 35.643929748|219.1805212237341 +43.2401084121705| -34.928 13.952   |10.01    |~               |    ~     ~    |    1|  163.028   pc  |  -1.8445     +1.8445  |paral   |2020yCat.1350....0G
2694|TYC 827-1289-1                                                                                                                              |Star                              |09 31 58.2784070640 +12 44 12.982476552|219.8483320644663 +41.3056176639553|-37.543 -17.440   |10.98    |~               |    ~     ~    |    1|  130.152   pc  |  -0.3523     +0.3523  |paral   |2020yCat.1350....0G
2695|TYC 827-1575-1                                                                                                                              |Star                              |09 35 17.7753647064 +14 42 10.282160052|217.8825334096609 +42.8510898963662|  14.521 -9.409   |10.96    |~               |    ~     ~    |    1|  886.603   pc  | -23.1103    +23.1103  |paral   |2020yCat.1350....0G
2696|TYC 827-1597-1                                                                                                                              |Star                              |09 39 52.5740201544 +14 52 48.210380796|218.2674362593031 +43.9367885939841|  -11.322 3.151   |10.84    |~               |    ~     ~    |    1|  413.291   pc  |  -2.8354     +2.8354  |paral   |2020yCat.1350....0G
2697|TYC 828-693-1                                                                                                                               |Star                              |09 44 39.3872289960 +09 49 34.408236612|225.2269436098138 +42.7878748948289|  3.830 -16.755   |10.75    |~               |    ~     ~    |    1|  849.473   pc  | -12.1230    +12.1230  |paral   |2020yCat.1350....0G
2698|TYC 828-759-1                                                                                                                               |Star                              |09 43 30.0912849000 +09 08 36.832391196|225.8592200038133 +42.2135657652414|   -1.223 1.092   |10.76    |~               |    ~     ~    |    1|  908.678   pc  | -14.6148    +14.6148  |paral   |2020yCat.1350....0G
2699|TYC 828-1430-1                                                                                                                              |Star                              |09 42 53.3971013712 +07 48 16.952514984|227.3316626706757 +41.4316047978168|   -7.301 6.460   |10.77    |~               |    ~     ~    |    1| 1046.135   pc  | -22.1068    +22.1068  |paral   |2020yCat.1350....0G
2700|TYC 828-1637-1                                                                                                                              |Star                              |09 42 53.4079703400 +07 49 39.031189464|227.3052283601842 +41.4428786512253|  -4.599 -9.790   |10.93    |~               |    ~     ~    |    1|  488.663   pc  |  -4.6087     +4.6087  |paral   |2020yCat.1350....0G
2701|TYC 831-331-1                                                                                                                               |Star                              |09 43 23.3082428448 +11 42 18.923373648|222.7443458735556 +43.3709588350782|  -1.211 -2.623   |10.59    |~               |    ~     ~    |    1| 1428.163   pc  | -45.8921    +45.8921  |paral   |2020yCat.1350....0G
2702|TYC 831-1175-1                                                                                                                              |High Proper Motion Star           |09 44 01.5898409376 +12 21 31.384412208|222.0294947569958 +43.7990165093785| -53.882 -5.688   |10.89    |~               |    ~     ~    |    1|  177.623   pc  |  -0.6752     +0.6752  |paral   |2020yCat.1350....0G
2703|TYC 831-1298-1                                                                                                                              |Star                              |09 43 58.1104478832 +11 24 02.821945392|223.2063494678052 +43.3619002306322|   -6.519 4.346   |10.47    |~               |    ~     ~    |    1|  145.256   pc  |  -1.6415     +1.6415  |paral   |2020yCat.1350....0G
2704|TYC 834-771-1                                                                                                                               |Star                              |09 43 32.1941657592 +13 21 17.844728256|220.7084712843365 +44.1192218873746|  -0.172 -8.925   |10.99    |~               |    ~     ~    |    1|  553.710   pc  |  -6.7757     +6.7757  |paral   |2020yCat.1350....0G
2705|TYC 834-1412-1                                                                                                                              |High Proper Motion Star           |09 44 47.0352715128 +14 34 50.437857036|219.3199140209193 +44.9025108422862| 36.140 -46.479   |10.96    |~               |    ~     ~    |    1|  212.993   pc  |  -0.8710     +0.8710  |paral   |2020yCat.1350....0G
2706|TYC 834-1459-1                                                                                                                              |Star                              |09 44 08.3094891192 +14 44 54.500267040|219.0143105823691 +44.8276365656519|  -7.078 -0.494   |10.86    |~               |    ~     ~    |    1| 1412.629   pc  | -49.0898    +49.0898  |paral   |2020yCat.1350....0G
2707|TYC 1403-514-1                                                                                                                              |Star                              |09 31 37.5889511952 +15 00 16.280112492|217.0295691404762 +42.1568424031158| -11.245 -6.157   |10.28    |~               |    ~     ~    |    1|  522.030   pc  | -11.6364    +11.6364  |paral   |2020yCat.1350....0G
2708|TYC 1403-603-1                                                                                                                              |Double or Multiple Star           |09 32 20.654352 +16 13 17.20128        |215.598044420 +42.786031830        |     -21.6 17.2   |10.991   |~               |    ~     ~    |    0|                |                       |        |                   
2709|TYC 1403-797-1                                                                                                                              |Star                              |09 30 37.1933505864 +16 01 33.720203748|215.6304926755447 +42.3287376063437|   3.400 -7.059   |10.80    |~               |    ~     ~    |    1| 2787.845   pc  |-150.7783   +150.7783  |paral   |2020yCat.1350....0G
2710|TYC 1403-1015-2                                                                                                                             |Star                              |09 34 44.411 +16 26 48.14              |215.608636 +43.403355              |    -28.5 -16.3   |10.67    |~               |    ~     ~    |    0|                |                       |        |                   
2711|TYC 1403-1154-1                                                                                                                             |Star                              |09 33 57.6656602944 +15 32 13.662783960|216.6630929119696 +42.8832937760251|   1.782 -9.046   |10.69    |~               |    ~     ~    |    1| 1963.865   pc  | -72.8929    +72.8929  |paral   |2020yCat.1350....0G
2712|TYC 1406-55-1                                                                                                                               |Star                              |09 30 18.0774618552 +18 31 51.462344136|212.4138256130272 +43.1663894319609|   3.027 -7.406   |10.73    |~               |    ~     ~    |    1| 1111.235   pc  | -24.6968    +24.6968  |paral   |2020yCat.1350....0G
2713|TYC 1406-376-1                                                                                                                              |Star                              |09 32 19.3446320472 +19 02 06.202447044|211.9857800396406 +43.7880588705069|  -9.027 -0.221   |10.79    |~               |    ~     ~    |    1| 1607.200   pc  | -48.8205    +48.8205  |paral   |2020yCat.1350....0G
2714|TYC 1409-117-1                                                                                                                              |Star                              |09 31 15.7357256376 +20 40 02.848729728|209.7295466749162 +44.0834063478199| -11.549 -6.675   |10.84    |~               |    ~     ~    |    1|  163.143   pc  |  -0.6681     +0.6681  |paral   |2020yCat.1350....0G
2715|TYC 1409-265-1                                                                                                                              |Star                              |09 31 52.8880576704 +20 48 57.970900944|209.5955823033750 +44.2673130517812| -18.316 -1.400   |10.85    |~               |    ~     ~    |    1| 1393.146   pc  | -31.0537    +31.0537  |paral   |2020yCat.1350....0G
2716|TYC 1409-750-1                                                                                                                              |Star                              |09 31 42.6491454024 +21 45 04.862100096|208.3316108628052 +44.5132340254113|-21.102 -17.398   |10.87    |~               |    ~     ~    |    1|  534.845   pc  |  -5.6926     +5.6926  |paral   |2020yCat.1350....0G
2717|TYC 1409-995-1                                                                                                                              |Star                              |09 31 04.1847653640 +21 22 12.455626692|208.7781723944069 +44.2569120246499|   1.265 -4.261   |10.83    |~               |    ~     ~    |    1|  376.180   pc  |  -3.5661     +3.5661  |paral   |2020yCat.1350....0G
2718|TYC 1409-1251-1                                                                                                                             |Star                              |09 30 20.8445069232 +22 18 39.475289520|207.4526694118300 +44.3745324483465|-17.456 -17.287   |10.48    |~               |    ~     ~    |    1|  563.634   pc  |  -5.6865     +5.6865  |paral   |2020yCat.1350....0G
2719|TYC 1410-1-1                                                                                                                                |Star                              |09 42 59.1621807456 +17 02 27.334796892|215.8641615635633 +45.4568057067906|  7.845 -10.944   |10.81    |~               |    ~     ~    |    1|  303.518   pc  |  -1.8240     +1.8240  |paral   |2020yCat.1350....0G
2720|TYC 1410-73-1                                                                                                                               |Star                              |09 38 11.9193360648 +15 40 36.390092880|217.0298605006242 +43.8780401500771|   6.693 -6.865   |10.89    |~               |    ~     ~    |    1| 1167.134   pc  | -28.1976    +28.1976  |paral   |2020yCat.1350....0G
2721|TYC 1410-104-1                                                                                                                              |Star                              |09 44 40.6701262272 +17 11 07.482026832|215.8845059818137 +45.8858402736494|   -8.887 1.397   |10.86    |~               |    ~     ~    |    1|  534.845   pc  |  -4.6056     +4.6056  |paral   |2020yCat.1350....0G
2722|TYC 1410-110-1                                                                                                                              |Star                              |09 43 36.1950940368 +17 18 21.827970792|215.5889357277808 +45.6911470608304| -11.117 -2.259   |10.94    |~               |    ~     ~    |    1|  988.142   pc  | -20.1144    +20.1144  |paral   |2020yCat.1350....0G
2723|TYC 1410-187-1                                                                                                                              |Star                              |09 42 43.5547344216 +16 21 29.142416340|216.7315476618675 +45.1438996844899|-10.862 -23.318   |10.96    |~               |    ~     ~    |    1|  135.248   pc  |  -0.4518     +0.4518  |paral   |2020yCat.1350....0G
2724|TYC 1410-438-1                                                                                                                              |Star                              |09 37 43.3802506800 +16 57 58.971830940|215.3079875687082 +44.2595946633194| -11.819 -0.068   |10.88    |~               |    ~     ~    |    1|  446.150   pc  |  -3.6227     +3.6227  |paral   |2020yCat.1350....0G
2725|TYC 1410-489-1                                                                                                                              |Star                              |09 41 07.5227064720 +16 24 09.613322100|216.4679993494956 +44.8053719903023|  -26.567 0.614   |10.98    |~               |    ~     ~    |    1|  233.940   pc  |  -1.1329     +1.1329  |paral   |2020yCat.1350....0G
2726|TYC 1410-600-1                                                                                                                              |Star                              |09 38 36.5531842104 +16 55 43.491824904|215.4661909373176 +44.4427176192254|   8.083 -5.805   |10.90    |~               |    ~     ~    |    1|  979.432   pc  | -15.5404    +15.5404  |paral   |2020yCat.1350....0G
2727|TYC 1410-644-1                                                                                                                              |Star                              |09 37 00.9195332280 +15 02 40.072560792|217.6794185610473 +43.3680410252585|  -20.876 4.674   |10.87    |~               |    ~     ~    |    1|  451.202   pc  |  -4.1327     +4.1327  |paral   |2020yCat.1350....0G
2728|TYC 1410-737-1                                                                                                                              |High Proper Motion Star           |09 38 42.2953672320 +15 09 00.195310476|217.7680228315088 +43.7843895707568|-105.524 15.655   |10.78    |~               |    ~     ~    |    1|  201.829   pc  |  -0.7495     +0.7495  |paral   |2020yCat.1350....0G
2729|TYC 1413-108-1                                                                                                                              |Star                              |09 43 11.9610624696 +18 07 51.790409256|214.4347603276281 +45.8967429300146|  -6.670 -3.889   |10.98    |~               |    ~     ~    |    1|  919.794   pc  | -13.7055    +13.7055  |paral   |2020yCat.1350....0G
2730|TYC 1413-130-1                                                                                                                              |Star                              |09 44 28.8861720624 +18 17 59.425704672|214.3606198309682 +46.2410374708902|   8.963 -2.608   |10.86    |~               |    ~     ~    |    1|  927.816   pc  | -16.0978    +16.0978  |paral   |2020yCat.1350....0G
2731|TYC 1413-226-1                                                                                                                              |Star                              |09 36 01.1865624264 +17 31 59.322118548|214.3655963684804 +44.0871640502095|   6.038 -9.947   |10.99    |~               |    ~     ~    |    1|  267.974   pc  |  -1.3644     +1.3644  |paral   |2020yCat.1350....0G
2732|TYC 1413-264-1                                                                                                                              |Star                              |09 38 13.4228470560 +19 52 33.784994892|211.5174414902464 +45.3790001791154|   3.121 -3.719   |10.98    |~               |    ~     ~    |    1|  324.950   pc  |  -2.2702     +2.2702  |paral   |2020yCat.1350....0G
2733|TYC 1413-383-1                                                                                                                              |Star                              |09 36 26.5359943728 +18 11 35.770425252|213.5537781219495 +44.4154038640900| -40.021 -2.230   |10.98    |~               |    ~     ~    |    1|  437.388   pc  |  -4.1705     +4.1705  |paral   |2020yCat.1350....0G
2734|TYC 1413-553-1                                                                                                                              |Star                              |09 40 23.5348457568 +17 43 02.772270696|214.6487889391612 +45.1257538486229|  -9.377 29.308   |10.99    |~               |    ~     ~    |    1|  306.542   pc  |  -1.9733     +1.9733  |paral   |2020yCat.1350....0G
2735|TYC 1413-588-1                                                                                                                              |Star                              |09 41 54.5237169192 +18 17 19.599395856|214.0690015923654 +45.6649010190197|   7.262 -6.045   |10.99    |~               |    ~     ~    |    1| 1180.916   pc  | -27.8913    +27.8913  |paral   |2020yCat.1350....0G
2736|TYC 1416-241-1                                                                                                                              |Star                              |09 43 50.7661338360 +20 27 44.906616792|211.3224839890909 +46.8165023512522|-30.763 -20.938   |10.69    |~               |    ~     ~    |    1|  321.244   pc  |  -3.9628     +3.9628  |paral   |2020yCat.1350....0G
2737|TYC 1959-289-1                                                                                                                              |Star                              |09 32 36.2587363632 +24 11 02.089648284|205.1086300649691 +45.3836271763835|  -1.062 -5.740   |10.36    |~               |    ~     ~    |    1| 1275.185   pc  | -28.7819    +28.7819  |paral   |2020yCat.1350....0G
2738|TYC 1959-857-1                                                                                                                              |Star                              |09 34 13.1957739744 +23 06 40.399706628|206.7219446739639 +45.4562989526114|  8.241 -10.261   |10.84    |~               |    ~     ~    |    1|  880.514   pc  | -21.3984    +21.3984  |paral   |2020yCat.1350....0G
2739|TYC 1959-1184-1                                                                                                                             |Star                              |09 40 25.0047506784 +23 19 52.839026112|206.9699789061573 +46.8866345427874|  -3.024 -3.308   |10.85    |~               |    ~     ~    |    1|  937.559   pc  | -13.3610    +13.3610  |paral   |2020yCat.1350....0G
2740|TYC 1959-1301-1                                                                                                                             |Star                              |09 37 19.6058046384 +23 24 24.365281788|206.5897924199804 +46.2231574916744|  -7.474 -6.540   |10.66    |~               |    ~     ~    |    1|  844.809   pc  | -14.8450    +14.8450  |paral   |2020yCat.1350....0G
2741|TYC 1959-1568-1                                                                                                                             |Star                              |09 31 15.1032534432 +22 46 45.083782488|206.9060535267852 +44.7077691604018| -26.051 10.345   |10.96    |~               |    ~     ~    |    1|  206.548   pc  |  -0.8660     +0.8660  |paral   |2020yCat.1350....0G
2742|TYC 1960-22-1                                                                                                                               |Star                              |09 41 00.1042891920 +23 26 43.448630712|206.8608799893222 +47.0462726251282|  7.117 -14.523   |10.99    |~               |    ~     ~    |    1|  454.545   pc  |  -4.2769     +4.2769  |paral   |2020yCat.1350....0G
2743|TYC 1960-162-1                                                                                                                              |Star                              |09 40 48.7184099832 +22 30 45.207428724|208.1573907636997 +46.7507723711701| -1.481 -10.470   |10.71    |~               |    ~     ~    |    1|  560.444   pc  |  -5.2768     +5.2768  |paral   |2020yCat.1350....0G
2744|HD 82139                                                                                                                                    |Star                              |09 30 58.4266665696 +26 32 24.593381772|201.7190028622934 +45.5856756734467| -7.978 -39.402   |9.72     |K0              |    ~     ~    |    1|  223.499   pc  |  -0.9091     +0.9091  |paral   |2020yCat.1350....0G
2745|TYC 1962-334-1                                                                                                                              |Star                              |09 37 08.6838933312 +27 07 54.910240644|201.2999274749634 +47.0558360470793|  -0.404 -3.060   |10.74    |~               |    ~     ~    |    1| 2174.386   pc  | -91.7223    +91.7223  |paral   |2020yCat.1350....0G
2746|TYC 1962-371-1                                                                                                                              |Star                              |09 38 12.5010587880 +27 09 55.239249924|201.3215682631978 +47.2943409990689|   -4.984 1.021   |10.81    |~               |    ~     ~    |    1| 1126.380   pc  | -19.1578    +19.1578  |paral   |2020yCat.1350....0G
2747|TYC 1962-475-1                                                                                                                              |Star                              |09 31 04.3008755664 +26 32 37.299007788|201.7209165580295 +45.6078141289874| -8.002 -39.116   |10.07    |~               |    ~     ~    |    1|  221.857   pc  |  -0.9450     +0.9450  |paral   |2020yCat.1350....0G
2748|TYC 1962-1034-1                                                                                                                             |Star                              |09 40 01.3067759520 +25 19 28.771995468|204.1010992481423 +47.2949685534601|  -9.137 -3.672   |10.99    |~               |    ~     ~    |    1| 1027.538   pc  | -17.3157    +17.3157  |paral   |2020yCat.1350....0G
2749|TYC 1962-1110-1                                                                                                                             |Star                              |09 33 47.5088310048 +26 21 27.368441496|202.1729330389068 +46.1612761863846| -7.175 -11.408   |10.38    |~               |    ~     ~    |    1|  834.237   pc  | -11.8312    +11.8312  |paral   |2020yCat.1350....0G
2750|TYC 1962-1268-1                                                                                                                             |Star                              |09 35 53.2611090600 +25 49 28.402808160|203.0771201804215 +46.5015665878939|   -6.467 2.927   |10.54    |~               |    ~     ~    |    1|  397.614   pc  |  -3.0197     +3.0197  |paral   |2020yCat.1350....0G
2751|TYC 1962-1501-1                                                                                                                             |Star                              |09 32 47.4642414072 +26 15 53.971374744|202.2319899346853 +45.9221286244970|  -3.312 -0.224   |10.65    |~               |    ~     ~    |    1| 1760.873   pc  | -70.6954    +70.6954  |paral   |2020yCat.1350....0G
2752|TYC 1962-1533-1                                                                                                                             |Star                              |09 40 18.2406230496 +26 09 58.360600944|202.9097265018376 +47.5448865881639| -11.573 -5.986   |10.98    |~               |    ~     ~    |    1|  958.497   pc  | -13.6889    +13.6889  |paral   |2020yCat.1350....0G
2753|TYC 1965-252-1                                                                                                                              |Spectroscopic Binary              |09 36 47.0278871400 +28 16 03.815217624|199.6389572764816 +47.1948392911550|-56.913 -12.453   |10.81    |~               |    ~     ~    |    1|  163.519   pc  |  -2.0000     +2.0000  |paral   |2020yCat.1350....0G
2754|TYC 1965-338-1                                                                                                                              |Star                              |09 38 03.7319493360 +27 54 54.005976936|200.2266281604024 +47.4071790597406|  -1.691 -5.661   |10.73    |~               |    ~     ~    |    1| 1052.632   pc  | -21.4958    +21.4958  |paral   |2020yCat.1350....0G
2755|TYC 1965-429-1                                                                                                                              |Star                              |09 34 59.9795649912 +29 27 52.539294276|197.8081065708619 +47.0154538871568|  -6.418 -1.093   |10.67    |~               |    ~     ~    |    1| 1440.507   pc  | -42.7462    +42.7462  |paral   |2020yCat.1350....0G
2756|TYC 1965-661-1                                                                                                                              |Star                              |09 34 08.1633728112 +29 17 43.549044828|198.0071656543874 +46.8021061780623|  -6.778 -7.591   |10.84    |~               |    ~     ~    |    1|  895.656   pc  | -15.2418    +15.2418  |paral   |2020yCat.1350....0G
2757|TYC 1965-715-1                                                                                                                              |Star                              |09 38 13.2814641816 +29 05 22.541997840|198.5230559219650 +47.6474342663500|  -2.020 -5.356   |9.98     |~               |    ~     ~    |    1| 1214.329   pc  | -28.7546    +28.7546  |paral   |2020yCat.1350....0G
