C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:41:11

dec >=0&rah >=9.5&rah< 9.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 2905

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
42  |HD 82371                                                                                                                                    |Star                              |09 41 45.0095875608 +82 21 54.514048032|129.5663532365009 +32.1369088907901|   2.176 23.529   |7.49     |A0              |    ~     ~    |    1|  143.499   pc  |  -1.7318     +1.7318  |paral   |2020yCat.1350....0G
43  |BD+82 271                                                                                                                                   |Star                              |09 32 24.6497356584 +82 05 22.711475544|130.0520473041980 +32.0577211680035|-24.788 -19.750   |8.94     |G5              |    ~     ~    |    1|  487.068   pc  |  -3.0366     +3.0366  |paral   |2020yCat.1350....0G
44  |BD+82 272                                                                                                                                   |Star                              |09 33 09.6991122960 +82 16 03.909288648|129.8659136254522 +31.9713097420776|  -34.304 5.672   |9.93     |A5              |    ~     ~    |    1|  228.655   pc  |  -0.6483     +0.6483  |paral   |2020yCat.1350....0G
45  |BD+82 275                                                                                                                                   |High Proper Motion Star           |09 34 49.5150746040 +82 02 22.535642256|130.0399849095417 +32.1543880820494|  69.339 54.032   |10.66    |G5              |    ~     ~    |    1|  176.131   pc  |  -0.5925     +0.5925  |paral   |2020yCat.1350....0G
46  |BD+82 278                                                                                                                                   |Star                              |09 39 06.2985795696 +82 06 17.412783696|129.8720366116276 +32.2307572225095|   0.745 -7.466   |10.84    |F5              |    ~     ~    |    1|  357.105   pc  |  -1.5558     +1.5558  |paral   |2020yCat.1350....0G
47  |BD+82 274                                                                                                                                   |Spectroscopic Binary              |09 33 45.5673721824 +81 30 24.853045896|130.5701260233368 +32.4449209197052|-17.297 -15.298   |9.28     |G5              |    ~     ~    |    1|  107.379   pc  |  -1.1138     +1.1138  |paral   |2020yCat.1350....0G
48  |BD+82 276                                                                                                                                   |Star                              |09 33 56.4156303936 +81 26 47.755179276|130.6226145389130 +32.4863984361405| -15.659 10.963   |10.77    |F8              |    ~     ~    |    1|  344.947   pc  |  -2.4750     +2.4750  |paral   |2020yCat.1350....0G
49  |BD+82 277                                                                                                                                   |Star                              |09 34 41.5888315848 +81 35 11.472061236|130.4702880605386 +32.4245287845724|-10.200 -21.078   |10.12    |G5              |    ~     ~    |    1| 2298.322   pc  | -65.5003    +65.5003  |paral   |2020yCat.1350....0G
50  |HD 82754                                                                                                                                    |Star                              |09 43 03.6424966872 +81 34 03.580253400|130.2633242163503 +32.6771215467623|  8.183 -32.564   |9.26     |G               |    ~     ~    |    1|  142.953   pc  |  -0.2902     +0.2902  |paral   |2020yCat.1350....0G
51  |HD 83034                                                                                                                                    |Star                              |09 44 45.7390644048 +81 35 58.021320336|130.1871336522509 +32.7049756597928|   1.035 -8.873   |8.66     |K0              |    ~     ~    |    1|  915.583   pc  | -15.6761    +15.6761  |paral   |2020yCat.1350....0G
52  |BD+81 298                                                                                                                                   |Star                              |09 34 16.0880011608 +81 18 17.302312692|130.7485505063999 +32.5811791876404|   0.211 10.893   |10.50    |F8              |    ~     ~    |    1|  197.367   pc  |  -0.5960     +0.5960  |paral   |2020yCat.1350....0G
53  |BD+81 300                                                                                                                                   |Star                              |09 35 03.6563776608 +80 42 40.292022384|131.2921086043293 +32.9612429961682|    1.178 1.329   |9.64     |K2              |    ~     ~    |    1|  904.486   pc  |  -9.8990     +9.8990  |paral   |2020yCat.1350....0G
54  |HD 81817                                                                                                                                    |Spectroscopic Binary              |09 37 05.2877790 +81 19 34.971143      |130.6517662066 +32.6529503743      |  -16.62 -16.41   |4.255    |K3II-III        |    ~     ~    |    1|  282.302   pc  | -14.1617    +14.1617  |paral   |2020yCat.1350....0G
55  |BD+81 303                                                                                                                                   |Star                              |09 38 02.6267404776 +80 37 30.849161376|131.2869483054415 +33.1095345525426| -19.597 -5.731   |10.27    |F8              |    ~     ~    |    1|  240.714   pc  |  -0.8749     +0.8749  |paral   |2020yCat.1350....0G
56  |BD+81 304                                                                                                                                   |Star                              |09 38 50.9308617984 +81 05 54.337556220|130.8172021047724 +32.8456279640544| -9.648 -12.932   |10.26    |F5              |    ~     ~    |    1|  306.495   pc  |  -1.3433     +1.3433  |paral   |2020yCat.1350....0G
57  |BD+81 305                                                                                                                                   |Star                              |09 41 23.3733452568 +81 15 27.456907860|130.5966477325752 +32.8234870351534| -17.034 -8.591   |10.53    |G5              |    ~     ~    |    0|                |                       |        |                   
58  |BD+81 306                                                                                                                                   |Star                              |09 40 54.4190019576 +80 21 47.664506052|131.4480562684900 +33.3634139359935|  21.242 12.364   |10.77    |G5              |    ~     ~    |    1|  348.032   pc  |  -1.2234     +1.2234  |paral   |2020yCat.1350....0G
59  |BD+81 307                                                                                                                                   |Star                              |09 42 06.5870933376 +81 00 49.015744272|130.8028842154347 +32.9976537103175|   16.319 4.582   |10.94    |G5              |    ~     ~    |    1|  166.030   pc  |  -0.3032     +0.3032  |paral   |2020yCat.1350....0G
60  |HD 82717                                                                                                                                    |Star                              |09 41 52.4311327296 +80 39 49.620273048|131.1362752281136 +33.2085439176125|   -8.352 7.829   |9.35     |A0              |    ~     ~    |    1|  303.527   pc  |  -1.4280     +1.4280  |paral   |2020yCat.1350....0G
61  |BD+81 309                                                                                                                                   |Star                              |09 41 39.5144450328 +80 28 22.786495140|131.3216509554258 +33.3201324797122|  -6.799 -7.098   |10.36    |G5              |    ~     ~    |    1|  951.928   pc  | -10.7834    +10.7834  |paral   |2020yCat.1350....0G
62  |BD+81 310                                                                                                                                   |High Proper Motion Star           |09 42 22.2598947768 +80 29 13.352220024|131.2865727286365 +33.3344842815511|-44.059 -44.508   |10.59    |F8              |    ~     ~    |    1|  187.213   pc  |  -0.5433     +0.5433  |paral   |2020yCat.1350....0G
63  |BD+81 311                                                                                                                                   |Star                              |09 42 52.9139648880 +80 39 40.455074088|131.1081539923398 +33.2420848105567| -0.717 -12.786   |10.16    |A0              |    ~     ~    |    1|  208.903   pc  |  -0.5106     +0.5106  |paral   |2020yCat.1350....0G
64  |TYC 4547-141-1                                                                                                                              |Star                              |09 42 01.2099455496 +80 15 08.987636916|131.5176449296089 +33.4687006970838|-21.119 -28.081   |10.98    |~               |    ~     ~    |    1|  151.851   pc  |  -0.2675     +0.2675  |paral   |2020yCat.1350....0G
65  |TYC 4547-627-1                                                                                                                              |Star                              |09 41 55.2106002312 +82 18 57.604469580|129.6070307926971 +32.1724193854555| -12.307 -2.094   |10.72    |~               |    ~     ~    |    1| 1035.411   pc  | -15.0091    +15.0091  |paral   |2020yCat.1350....0G
66  |TYC 4547-752-1                                                                                                                              |Star                              |09 37 46.4425395960 +82 29 22.130680956|129.5488883899530 +31.9569104487558| -23.313 -4.394   |10.72    |~               |    ~     ~    |    1|  127.948   pc  |  -0.2063     +0.2063  |paral   |2020yCat.1350....0G
67  |TYC 4547-829-1                                                                                                                              |Star                              |09 33 30.8668052616 +82 09 13.699304388|129.9647137367208 +32.0494643190300|   4.018 -5.916   |10.54    |~               |    ~     ~    |    1| 1015.228   pc  | -12.0591    +12.0591  |paral   |2020yCat.1350....0G
68  |TYC 4547-1584-1                                                                                                                             |Star                              |09 39 03.1920204936 +80 52 35.888673576|131.0199098292630 +32.9881037646133|  -2.869 -3.105   |10.89    |~               |    ~     ~    |    1|  552.364   pc  |  -4.3935     +4.3935  |paral   |2020yCat.1350....0G
69  |BD+80 289                                                                                                                                   |Star                              |09 33 56.3004942552 +80 20 15.973553580|131.6831737571130 +33.1460167250631|    6.858 4.992   |9.30     |G5              |    ~     ~    |    1|  623.403   pc  |  -5.3242     +5.3242  |paral   |2020yCat.1350....0G
70  |BD+80 290                                                                                                                                   |Spectroscopic Binary              |09 37 58.3137059952 +80 19 04.632008700|131.5810037400489 +33.2936286732505|   33.883 8.090   |9.70     |F8              |    ~     ~    |    1|  347.983   pc  |  -1.6953     +1.6953  |paral   |2020yCat.1350....0G
71  |TYC 4544-61-1                                                                                                                               |Star                              |09 36 11.7712819036 +79 38 46.691108686|132.2807201489659 +33.6347146122896|   -8.278 8.253   |10.66    |~               |    ~     ~    |    0|                |                       |        |                   
72  |TYC 4547-331-1                                                                                                                              |Star                              |09 40 16.2242958888 +80 08 21.961590504|131.6794231601424 +33.4797093346468|   28.910 1.283   |9.74     |~               |    ~     ~    |    1|  597.729   pc  |  -4.6089     +4.6089  |paral   |2020yCat.1350....0G
