C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:33:15

dec< 0&rah >=20.75&rah< 21.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 4200

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
56  |CD-36 14418                                                                                              |Star                              |20 49 23.4088755120 -36 22 38.955509760|006.5814567181100 -38.5474787676410|  -5.622 -5.778   |10.848   |~               |    ~     ~    |    1| 3957.860   pc  |-998.6000   +998.6000  |ST-L    |2020AJ....160...83S
57  |CD-34 14657                                                                                              |Star                              |20 49 50.7635722512 -34 19 01.958092860|009.1997198948336 -38.3289117254900|  10.140 -8.600   |10.13    |~               |    ~     ~    |    1| 1338.509   pc  | -33.1447    +33.1447  |paral   |2020yCat.1350....0G
58  |CD-35 14382                                                                                              |Star                              |20 49 54.4863219000 -34 46 19.981336296|008.6295489333916 -38.4147839736013|   -1.708 0.160   |10.273   |~               |    ~     ~    |    1|  773.424   pc  | -30.2700    +30.2700  |ST-L    |2020AJ....160...83S
59  |CPD-35 8924                                                                                              |Star                              |20 50 26.4763817256 -34 55 22.067670072|008.4614036653890 -38.5463685436832| 34.432 -16.918   |9.951    |~               |    ~     ~    |    1|  590.544   pc  | -19.1000    +19.1000  |ST-L    |2020AJ....160...83S
60  |CD-34 14670                                                                                              |Star                              |20 51 01.9617609120 -33 59 44.079460836|009.6563691938478 -38.5179144892237| -8.252 -29.149   |10.49    |~               |    ~     ~    |    1|  119.728   pc  |  -1.3131     +1.3131  |paral   |2020yCat.1350....0G
61  |CD-34 14675                                                                                              |Star                              |20 51 26.8025518920 -33 57 19.780860888|009.7251386622220 -38.5959013520392|   3.070 -2.964   |10.5     |~               |    ~     ~    |    1| 1481.701   pc  | -50.0560    +50.0560  |paral   |2020yCat.1350....0G
62  |CD-35 14398                                                                                              |Star                              |20 51 39.3928772952 -35 31 47.641834020|007.7395763386022 -38.8824540202427| 30.235 -15.879   |10.826   |~               |    ~     ~    |    1|  149.662   pc  |  -1.3370     +1.3370  |ST-L    |2020AJ....160...83S
63  |TYC 7470-229-1                                                                                           |Star                              |20 51 40.2564308400 -36 08 05.705290896|006.9700295737619 -38.9699013604008|  -5.143 -3.820   |10.454   |~               |    ~     ~    |    1|  807.260   pc  | -33.5000    +33.5000  |ST-L    |2020AJ....160...83S
64  |CD-34 14681                                                                                              |Star                              |20 51 54.9919118496 -33 35 36.828276324|010.2027423489658 -38.6313810020636| -2.574 -17.888   |10.028   |~               |    ~     ~    |    1| 1184.160   pc  | -83.3400    +83.3400  |ST-L    |2020AJ....160...83S
65  |CD-34 14687                                                                                              |Star                              |20 52 25.6246752840 -33 34 18.375282372|010.2533518990002 -38.7324784750652|  -3.177 -8.161   |10.474   |~               |    ~     ~    |    1| 1381.830   pc  |-180.6000   +180.6000  |ST-L    |2020AJ....160...83S
