C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:01:49

dec< 0&rah >=11.75&rah< 12.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5766

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
4807|CD-70 881                                                                                                |Spectroscopic Binary              |11 46 27.8216462016 -70 54 37.031054832|297.6216041393493 -08.7114432744035| -10.715 -9.313    |8.55     |~                   |    ~     ~          |    1|  708.667   pc  | -28.6761    +28.6761  |paral   |2020yCat.1350....0G
4808|CD-70 886                                                                                                |Double or Multiple Star           |11 50 51.070 -71 05 47.41              |298.017868 -08.805070              |     -25.3 -2.0    |9.2      |A5                  |    ~     ~          |    0|                |                       |        |                   
4809|HD 102986                                                                                                |Star                              |11 50 58.8388999368 -71 29 33.224927712|298.1223963817243 -09.1875772135073| -42.721 -1.003    |8.83     |F2V                 |    ~     ~          |    1|  136.861   pc  |  -0.2810     +0.2810  |paral   |2020yCat.1350....0G
4810|HD 103271                                                                                                |Star                              |11 53 18.7897915920 -70 49 38.150325336|298.1526933078731 -08.4967986219375|   9.578 -0.632    |9.20     |A3V                 |    ~     ~          |    1|  281.738   pc  |  -1.7066     +1.7066  |paral   |2020yCat.1350....0G
4811|HD 103372                                                                                                |Star                              |11 53 55.3619978880 -71 17 49.296901056|298.3082637327356 -08.9434270133341|   -8.554 1.585    |9.73     |B9.5/A0V            |    ~     ~          |    1|  594.106   pc  | -15.1068    +15.1068  |paral   |2020yCat.1350....0G
4812|HD 103428                                                                                                |Star                              |11 54 14.4149648352 -71 27 13.206064176|298.3686827393708 -09.0904594964094|   -8.969 1.548    |10.11    |B8V                 |    ~     ~          |    1|  610.463   pc  |  -5.9626     +5.9626  |paral   |2020yCat.1350....0G
4813|HD 103517                                                                                                |Star                              |11 54 55.4032245936 -70 52 39.229056624|298.2941752429711 -08.5164259253098|  -9.012 -5.303    |7.89     |K2III               |    ~     ~          |    1|  391.711   pc  |  -2.4243     +2.4243  |paral   |2020yCat.1350....0G
4814|HD 103715                                                                                                |Be Star                           |11 56 28.2654390840 -71 39 08.292631068|298.5870691167730 -09.2457540425661|  -6.880 -0.918    |9.71     |B(0/3)ne            |    ~     ~          |    1| 1967.729   pc  | -57.6922    +57.6922  |paral   |2020yCat.1350....0G
4815|HD 104015                                                                                                |Star                              |11 58 30.0608473296 -70 44 23.972542728|298.5549859220954 -08.3194452140722|  -10.396 2.631    |7.024    |B2/3(III)n          |    ~     ~          |    1|  357.385   pc  |  -3.6785     +3.6785  |paral   |2020yCat.1350....0G
4816|HD 102306                                                                                                |High Proper Motion Star           |11 46 04.2429461520 -72 12 23.329945296|297.9235434562098 -09.9733160719198|-60.558 -68.628    |10.51    |K1/3                |    ~     ~          |    1|   68.470   pc  |  -0.0469     +0.0469  |paral   |2020yCat.1350....0G
4817|HD 102467                                                                                                |Star                              |11 47 04.7993371344 -72 13 37.685071092|298.0045476416210 -09.9738555589713|  -12.540 2.723    |10.96    |A1/2IV/V            |    ~     ~          |    0|                |                       |        |                   
4818|HD 102521                                                                                                |Star                              |11 47 29.2775231640 -71 46 06.206681064|297.9193894099900 -09.5217543686934| -18.255 -5.548    |8.90     |A4IV                |    ~     ~          |    1|  191.520   pc  |  -0.4658     +0.4658  |paral   |2020yCat.1350....0G
4819|CPD-71 1287                                                                                              |Star                              |11 51 38.8002838392 -72 13 27.101636148|298.3471444946855 -09.8867541494833|   -4.595 1.990    |10.73    |~                   |    ~     ~          |    1|  809.520   pc  |  -7.4707     +7.4707  |paral   |2020yCat.1350....0G
4820|HD 103200                                                                                                |Pulsating Variable                |11 52 37.2426913368 -72 15 59.474858832|298.4304136336845 -09.9107671440787|   -9.687 2.648    |9.85     |A3/5V               |    ~     ~          |    1|  746.547   pc  | -11.3696    +11.3696  |paral   |2020yCat.1350....0G
4821|HD 103214                                                                                                |Star                              |11 52 39.2922515664 -72 04 26.617107936|298.3882295786935 -09.7228306856890|  -10.741 1.923    |9.38     |G8/K2               |    ~     ~          |    1| 1277.955   pc  | -76.1057    +76.1057  |paral   |2020yCat.1350....0G
4822|HD 103373                                                                                                |Star                              |11 53 47.6576245920 -71 48 55.470927888|298.4159386893307 -09.4508962754837|  -37.729 0.966    |9.09     |F2V                 |    ~     ~          |    1|  153.266   pc  |  -0.2960     +0.2960  |paral   |2020yCat.1350....0G
4823|HD 103941                                                                                                |High Proper Motion Star           |11 57 58.8889342872 -71 46 59.638271664|298.7324248670199 -09.3486921248111|-53.698 -26.855    |8.47     |F2III(m)            |    ~     ~          |    1|  175.654   pc  |  -0.5400     +0.5400  |paral   |2020yCat.1350....0G
4824|CD-70 889                                                                                                |Chemically Peculiar Star          |11 50 59.5590812280 -70 48 43.990318620|297.9616494902259 -08.5260330051424|-115.247 11.761    |9.28     |~                   |    ~     ~          |    1|  563.158   pc  |  -3.3935     +3.3935  |paral   |2020yCat.1350....0G
4825|HD 102341                                                                                                |Star                              |11 46 18.7457817360 -72 19 26.052025692|297.9718930481794 -10.0822203042521|  -23.775 7.131    |10.14    |G8/K0III            |    ~     ~          |    1|  638.488   pc  |  -4.7289     +4.7289  |paral   |2020yCat.1350....0G
4826|HD 102710                                                                                                |Star                              |11 49 06.4212342168 -72 18 18.666711432|298.1759845262392 -10.0114297258583|  -3.626 -2.922    |8.85     |M1III               |    ~     ~          |    1| 1062.361   pc  | -18.3963    +18.3963  |paral   |2020yCat.1350....0G
4827|HD 103139                                                                                                |Star                              |11 52 08.6167332504 -72 34 00.758960616|298.4650692310057 -10.2113465875736| -27.421 -1.468    |9.69     |K0/1III             |    ~     ~          |    1|  484.590   pc  |  -3.0293     +3.0293  |paral   |2020yCat.1350....0G
4828|HD 103183                                                                                                |Star                              |11 52 29.0905886808 -72 29 24.685979712|298.4724155795075 -10.1308197440493| -1.021 -27.158    |9.49     |F0/2V               |    ~     ~          |    1|  204.520   pc  |  -1.8572     +1.8572  |paral   |2020yCat.1350....0G
4829|HD 103184                                                                                                |Star                              |11 52 31.8137886792 -72 36 36.713616768|298.5038188343766 -10.2468288542486| -21.183 -4.123    |10.02    |A0/2V               |    ~     ~          |    1|  285.584   pc  |  -1.1500     +1.1500  |paral   |2020yCat.1350....0G
4830|HD 103603                                                                                                |Star                              |11 55 30.9892548216 -72 30 43.450857072|298.7029962662559 -10.1010470842708|-14.746 -11.524    |10.15    |(A2mF0-F0/2)        |    ~     ~          |    1|  407.714   pc  |  -2.1942     +2.1942  |paral   |2020yCat.1350....0G
4831|HD 103952                                                                                                |High Proper Motion Star           |11 58 04.3643056272 -72 23 50.364391488|298.8692529559726 -09.9478253332557| -52.911 10.071    |9.67     |F7V                 |    ~     ~          |    1|  135.628   pc  |  -0.2115     +0.2115  |paral   |2020yCat.1350....0G
4832|HD 103185                                                                                                |Spectroscopic Binary              |11 52 25.0847795688 -72 47 00.061632456|298.5360846038350 -10.4172508106295|-41.308 -12.487    |9.60     |F8/G2V              |    ~     ~          |    1|  112.644   pc  |  -1.8678     +1.8678  |paral   |2020yCat.1350....0G
4833|HD 103716                                                                                                |Star                              |11 56 25.2588256392 -73 02 45.330194688|298.8871073226927 -10.6076836562853|  -7.066 -0.553    |10.55    |A0V                 |    ~     ~          |    1|  645.245   pc  |  -5.8288     +5.8288  |paral   |2020yCat.1350....0G
4834|HD 103735                                                                                                |Star                              |11 56 30.1728460392 -72 57 51.831591444|298.8752139747327 -10.5267773170577| 12.066 -19.380    |9.72     |F2/3III/IV          |    ~     ~          |    1|  285.347   pc  |  -0.8712     +0.8712  |paral   |2020yCat.1350....0G
4835|SA 203-150                                                                                               |Star                              |11 51 12.0 -73 04 00                   |298.5148 -10.7136                  |            ~ ~    |10.194   |~                   |    ~     ~          |    0|                |                       |        |                   
4836|CD-70 877                                                                                                |Star                              |11 45 24.7796073240 -71 00 08.051060304|297.5613434713458 -08.8221395285836| -23.247 -7.319    |9.92     |~                   |    ~     ~          |    1|  241.354   pc  |  -2.0388     +2.0388  |paral   |2020yCat.1350....0G
4837|CD-70 882                                                                                                |Star                              |11 49 11.0229073704 -70 50 20.970867732|297.8222479011594 -08.5875563355416|   2.960 -2.454    |10.33    |~                   |    ~     ~          |    1| 1338.688   pc  | -42.2932    +42.2932  |paral   |2020yCat.1350....0G
4838|CD-69 928                                                                                                |High Proper Motion Star           |11 49 36.6336184152 -70 37 04.724850504|297.8030020935693 -08.3644008708515| -63.364 -6.367    |10.10    |~                   |    ~     ~          |    1|  131.548   pc  |  -0.1904     +0.1904  |paral   |2020yCat.1350....0G
4839|CD-71 788                                                                                                |Star                              |11 45 02.5527121560 -71 47 46.640327856|297.7390520998837 -09.5971368440790|  -10.539 2.522    |9.92     |~                   |    ~     ~          |    1|  697.788   pc  |  -6.1837     +6.1837  |paral   |2020yCat.1350....0G
4840|CD-71 794                                                                                                |Star                              |11 48 34.7115819912 -72 36 31.120760556|298.2119379787532 -10.3154382196309| -15.197 -1.574    |9.80     |~                   |    ~     ~          |    1|  488.281   pc  |  -3.2187     +3.2187  |paral   |2020yCat.1350....0G
4841|CD-72 743                                                                                                |Star                              |11 49 51.8195123664 -72 43 45.750458568|298.3361010323870 -10.4093421910003|  -6.229 -2.740    |9.830    |~                   |    ~     ~          |    1|  627.152   pc  | -17.9600    +17.9600  |ST-L    |2020AJ....160...83S
4842|CD-72 745                                                                                                |Star                              |11 50 47.4498853968 -72 47 15.840920184|298.4180926248604 -10.4496350151177| -16.013 -0.115    |9.96     |~                   |    ~     ~          |    1|  557.507   pc  |  -4.0095     +4.0095  |paral   |2020yCat.1350....0G
4843|CD-71 796                                                                                                |Star                              |11 50 58.7590204080 -71 51 07.558072164|298.2079968723564 -09.5370530300148|  -21.234 1.076    |10.361   |~                   |    ~     ~          |    1|  673.198   pc  | -22.1800    +22.1800  |ST-L    |2020AJ....160...83S
4844|TYC 9234-1479-1                                                                                          |Star                              |11 51 06.9768961392 -72 47 01.440514320|298.4409249594176 -10.4400635630821|  -10.201 1.549    |10.30    |~                   |    ~     ~          |    1| 1535.862   pc  | -33.0242    +33.0242  |paral   |2020yCat.1350....0G
4845|CD-70 887                                                                                                |Star                              |11 50 54.2426718696 -71 04 50.045234484|298.0182894421321 -08.7885741740032|  -6.490 -3.194    |10.06    |~                   |    ~     ~          |    1| 1152.472   pc  | -15.6727    +15.6727  |paral   |2020yCat.1350....0G
4846|TYC 9230-2142-1                                                                                          |Star                              |11 54 14.4502760592 -70 50 48.624544176|298.2321447894122 -08.4988229310805| -34.774 -2.845    |10.354   |~                   |    ~     ~          |    1|  375.509   pc  |  -6.8610     +6.8610  |ST-L    |2020AJ....160...83S
4847|TYC 9230-2140-1                                                                                          |Star                              |11 54 48.8679665040 -70 55 53.150732580|298.2973653735276 -08.5709334618671|  -29.246 0.564    |10.22    |~                   |    ~     ~          |    1|  885.118   pc  |-254.4000   +254.4000  |ST-L    |2020AJ....160...83S
4848|IRAS 11527-7009                                                                                          |Star                              |11 55 16.1577943848 -70 25 45.316573752|298.2232587330894 -08.0727175265726| -25.287 -1.434    |10.19    |~                   |    ~     ~          |    1|  754.091   pc  |  -8.4161     +8.4161  |paral   |2020yCat.1350....0G
4849|IRAS 11555-7010                                                                                          |Long-Period Variable              |11 58 04.5091490328 -70 27 05.850205416|298.4598170120241 -08.0446123640045|  -4.783 -3.630    |10.42    |~                   |    ~     ~          |    1|  895.415   pc  | -36.5607    +36.5607  |paral   |2020yCat.1350....0G
4850|CD-70 899                                                                                                |Star                              |11 57 48.5395884432 -71 22 03.528668748|298.6310782478345 -08.9451008541341|  -9.765 -1.278    |10.75    |~                   |    ~     ~          |    1|  603.938   pc  |  -5.1793     +5.1793  |paral   |2020yCat.1350....0G
4851|TYC 9230-76-1                                                                                            |Star                              |11 45 56.9579225256 -70 57 06.086653236|297.5910695620043 -08.7621251570918|  -17.062 0.515    |10.58    |~                   |    ~     ~          |    1|  689.798   pc  |  -4.9961     +4.9961  |paral   |2020yCat.1350....0G
4852|TYC 9230-398-1                                                                                           |Star                              |11 49 54.1322445048 -71 11 46.804428348|297.9664526441291 -08.9202345229462| -29.173 18.400    |10.70    |~                   |    ~     ~          |    1|  141.291   pc  |  -0.2156     +0.2156  |paral   |2020yCat.1350....0G
4853|TYC 9230-448-1                                                                                           |Star                              |11 50 22.5633885456 -70 42 52.966162368|297.8885060011896 -08.4432478884101|  -15.264 2.246    |10.68    |~                   |    ~     ~          |    1|  985.319   pc  | -14.4657    +14.4657  |paral   |2020yCat.1350....0G
4854|TYC 9230-1434-1                                                                                          |Star                              |11 48 49.8398 -70 24 00.128            |297.6860940 -08.1685784            |      -12.9 3.6    |10.828   |~                   |    ~     ~          |    1|  954.051   pc  | -86.2200    +86.2200  |ST-L    |2020AJ....160...83S
4855|TYC 9230-1685-1                                                                                          |High Proper Motion Star           |11 45 04.7525193264 -70 26 57.629144364|297.3910940941171 -08.2947793998589| -101.548 4.804    |10.54    |~                   |    ~     ~          |    1|  117.429   pc  |  -0.1627     +0.1627  |paral   |2020yCat.1350....0G
4856|TYC 9230-1721-1                                                                                          |Star                              |11 48 55.7252779224 -70 31 19.827020928|297.7240505906248 -08.2850854815985|  -22.344 1.714    |10.39    |~                   |    ~     ~          |    1|  382.234   pc  |  -1.7678     +1.7678  |paral   |2020yCat.1350....0G
4857|TYC 9230-1752-1                                                                                          |High Proper Motion Star           |11 50 22.6334118312 -70 26 19.428491544|297.8225523231250 -08.1750923024825|-126.145 59.986    |10.31    |~                   |    ~     ~          |    1|  101.154   pc  |  -0.1463     +0.1463  |paral   |2020yCat.1350....0G
4858|TYC 9230-1902-1                                                                                          |Star                              |11 56 47.4393847152 -70 39 49.952138544|298.3992501109441 -08.2745701515905| -13.615 -1.270    |10.84    |~                   |    ~     ~          |    1|  560.978   pc  |  -3.2414     +3.2414  |paral   |2020yCat.1350....0G
4859|TYC 9230-1910-1                                                                                          |Star                              |11 55 08.2255081152 -70 28 19.065811368|298.2217773812765 -08.1168100050180| -21.548 -3.291    |10.80    |~                   |    ~     ~          |    1|  390.823   pc  |  -1.8940     +1.8940  |paral   |2020yCat.1350....0G
4860|TYC 9230-1928-1                                                                                          |Star                              |11 58 04.2888907320 -70 53 20.449024188|298.5512331808411 -08.4725427268437|   3.419 -1.081    |10.790   |~                   |    ~     ~          |    1|  772.656   pc  | -25.0700    +25.0700  |ST-L    |2020AJ....160...83S
4861|TYC 9230-1942-1                                                                                          |Star                              |11 52 10.7357215968 -71 00 01.696543416|298.1013286193592 -08.6865833420204|    -46.40 4.10    |10.90    |~                   |    ~     ~          |    1|  288.367   pc  | -93.548     +93.548   |ST-L    |2017AJ....153...75K
4862|TYC 9230-1958-1                                                                                          |Star                              |11 52 36.5098136736 -70 54 23.562118728|298.1140414417499 -08.5871229632624|  5.650 -14.192    |10.80    |~                   |    ~     ~          |    1|  362.306   pc  |  -1.4570     +1.4570  |paral   |2020yCat.1350....0G
4863|TYC 9230-2028-1                                                                                          |Star                              |11 53 16.6346682072 -71 04 46.751457936|298.2074783466868 -08.7433243328482| -18.074 -0.500    |10.86    |~                   |    ~     ~          |    1|  374.420   pc  |  -2.2430     +2.2430  |paral   |2020yCat.1350....0G
4864|TYC 9230-2074-1                                                                                          |Star                              |11 53 09.0293662848 -70 52 39.989794656|298.1511027934114 -08.5490175786826|  -6.959 -2.402    |10.422   |~                   |    ~     ~          |    1| 1213.590   pc  | -75.5400    +75.5400  |ST-L    |2020AJ....160...83S
4865|TYC 9230-2102-1                                                                                          |High Proper Motion Star           |11 57 11.1621518328 -70 40 33.130483284|298.4341294966821 -08.2793669556279|-116.857 53.223    |10.29    |~                   |    ~     ~          |    1|  155.683   pc  |  -0.2666     +0.2666  |paral   |2020yCat.1350....0G
4866|TYC 9230-2146-1                                                                                          |Star                              |11 55 14.1920848392 -70 29 46.643287992|298.2353323300425 -08.1387353010540|  -7.749 -0.020    |10.05    |~                   |    ~     ~          |    1|  636.187   pc  | -20.6900    +20.6900  |ST-L    |2020AJ....160...83S
4867|TYC 9230-2170-1                                                                                          |Pulsating Variable                |11 58 20.8530910800 -70 38 22.278325848|298.5215081502998 -08.2237491527245| -18.154 -0.602    |10.35    |~                   |    ~     ~          |    1|  743.273   pc  | -11.9883    +11.9883  |paral   |2020yCat.1350....0G
4868|TYC 9230-2178-1                                                                                          |Star                              |11 59 42.9558384552 -70 48 17.531840160|298.6673124667486 -08.3625983388155| -13.108 -0.576    |10.06    |~                   |    ~     ~          |    1|  511.117   pc  | -11.6774    +11.6774  |paral   |2020yCat.1350....0G
4869|TYC 9230-2284-1                                                                                          |Spectroscopic Binary              |11 56 49.3521973224 -70 36 20.312163900|298.3893650552182 -08.2171036380219|  -21.486 3.064    |10.72    |~                   |    ~     ~          |    1|  738.552   pc  | -17.5638    +17.5638  |paral   |2020yCat.1350....0G
4870|TYC 9230-2298-1                                                                                          |Star                              |11 55 28.8525467280 -70 36 34.447001940|298.2803157879172 -08.2448638547279|   -0.778 4.306    |10.605   |~                   |    ~     ~          |    1|  684.238   pc  | -26.6900    +26.6900  |ST-L    |2020AJ....160...83S
4871|TYC 9230-2364-1                                                                                          |Star                              |11 58 53.1520194000 -70 23 04.605315900|298.5130161367824 -07.9650531461412| -16.368 -0.240    |10.57    |~                   |    ~     ~          |    1|  737.409   pc  | -10.8211    +10.8211  |paral   |2020yCat.1350....0G
4872|TYC 9234-574-1                                                                                           |Star                              |11 54 59.1550653096 -72 17 02.565321216|298.6124734598708 -09.8873741323570| -12.746 -5.654    |10.373   |~                   |    ~     ~          |    1|  630.830   pc  | -17.8800    +17.8800  |ST-L    |2020AJ....160...83S
4873|TYC 9234-690-1                                                                                           |Star                              |11 49 16.9713570648 -72 33 53.223978384|298.2530183870239 -10.2600606215786|  -33.274 5.999    |10.96    |~                   |    ~     ~          |    1|  291.036   pc  |  -1.1350     +1.1350  |paral   |2020yCat.1350....0G
4874|TYC 9234-808-1                                                                                           |Star                              |11 58 32.7865077336 -72 35 16.346204988|298.9448266017838 -10.1268247388195|   -3.610 2.159    |10.563   |~                   |    ~     ~          |    1| 1543.670   pc  |-116.9000   +116.9000  |ST-L    |2020AJ....160...83S
4875|TYC 9234-810-1                                                                                           |High Proper Motion Star           |11 46 50.4077743080 -72 40 48.801768312|298.1023466357146 -10.4169701600205| -59.975 13.578    |10.22    |~                   |    ~     ~          |    1|  108.919   pc  |  -0.1578     +0.1578  |paral   |2020yCat.1350....0G
4876|TYC 9234-848-1                                                                                           |Star                              |11 55 37.3961186856 -72 18 09.838836864|298.6646266881970 -09.8949910372686|  -13.122 1.384    |10.72    |~                   |    ~     ~          |    1|  827.404   pc  |  -7.8044     +7.8044  |paral   |2020yCat.1350....0G
4877|TYC 9234-851-1                                                                                           |Spectroscopic Binary              |11 53 22.3344368088 -72 55 46.407280224|298.6396995174804 -10.5435030465032| -36.737 18.533    |10.49    |~                   |    ~     ~          |    1|  304.303   pc  | -10.0564    +10.0564  |paral   |2020yCat.1350....0G
4878|CD-71 790                                                                                                |Star                              |11 46 47.3353781784 -72 31 33.863521872|298.0591360773417 -10.2687481758597|  -24.191 0.655    |9.91     |~                   |    ~     ~          |    1|  520.264   pc  |  -3.2481     +3.2481  |paral   |2020yCat.1350....0G
4879|TYC 9234-1109-1                                                                                          |Star                              |11 49 34.2499341600 -72 24 23.774107932|298.2355370123769 -10.1013330566942| -17.886 -5.823    |10.771   |~                   |    ~     ~          |    1|  776.352   pc  | -29.8700    +29.8700  |ST-L    |2020AJ....160...83S
4880|TYC 9234-1128-1                                                                                          |Star                              |11 55 01.7336817432 -72 47 26.141267544|298.7290649101468 -10.3807599073501|   -8.245 0.040    |10.94    |~                   |    ~     ~          |    1|  827.130   pc  | -14.7091    +14.7091  |paral   |2020yCat.1350....0G
4881|TYC 9234-1158-1                                                                                          |Star                              |11 58 10.3196393184 -72 47 40.514676792|298.9607452822265 -10.3348168699710|  -21.028 3.777    |10.90    |~                   |    ~     ~          |    1|  504.210   pc  |  -3.1270     +3.1270  |paral   |2020yCat.1350....0G
4882|TYC 9234-1186-1                                                                                          |Star                              |11 50 33.1056318408 -72 31 40.855765368|298.3379180252357 -10.2015434595014|  -17.672 3.823    |10.93    |~                   |    ~     ~          |    1|  423.496   pc  |  -3.9636     +3.9636  |paral   |2020yCat.1350....0G
4883|TYC 9234-1251-1                                                                                          |Star                              |11 54 08.1748599360 -72 47 56.467314888|298.6655340834727 -10.4036389343866|  -17.909 5.283    |10.42    |~                   |    ~     ~          |    1|  444.523   pc  |  -2.6874     +2.6874  |paral   |2020yCat.1350....0G
4884|TYC 9234-1507-1                                                                                          |Star                              |11 46 04.8585912072 -72 24 54.994655088|297.9782405354050 -10.1750486898179|  -13.366 2.436    |10.758   |~                   |    ~     ~          |    1|  749.391   pc  | -26.0100    +26.0100  |ST-L    |2020AJ....160...83S
4885|TYC 9234-1511-1                                                                                          |Star                              |11 54 30.1142938104 -72 35 09.402235224|298.6441602881458 -10.1898686994042|  -16.917 4.654    |10.67    |~                   |    ~     ~          |    1|  420.451   pc  |  -4.6670     +4.6670  |paral   |2020yCat.1350....0G
4886|TYC 9234-1519-1                                                                                          |Star                              |11 47 40.4202937656 -72 49 09.738267132|298.1985913443597 -10.5362359203887|   -8.500 3.764    |10.49    |~                   |    ~     ~          |    1| 1202.790   pc  | -17.7945    +17.7945  |paral   |2020yCat.1350....0G
4887|TYC 9234-1604-1                                                                                          |Star                              |11 51 35.1140164104 -71 55 56.842433580|298.2734983544452 -09.6041493896746|    3.239 1.789    |10.666   |~                   |    ~     ~          |    1| 1257.090   pc  | -74.3500    +74.3500  |ST-L    |2020AJ....160...83S
4888|TYC 9234-1613-1                                                                                          |Spectroscopic Binary              |11 50 18.7449156912 -71 17 20.155057440|298.0212089527448 -09.0023091758272|  1.355 -16.101    |10.52    |~                   |    ~     ~          |    1|  281.484   pc  |  -0.9429     +0.9429  |paral   |2020yCat.1350....0G
4889|TYC 9234-1701-1                                                                                          |Star                              |11 52 03.5675962680 -71 43 43.780407276|298.2620412918662 -09.3975011682635|  12.920 -1.016    |10.68    |~                   |    ~     ~          |    1|  197.258   pc  |  -1.0895     +1.0895  |paral   |2020yCat.1350....0G
4890|TYC 9234-1872-1                                                                                          |Star                              |11 51 11.3514279216 -71 25 52.063566636|298.1241152158322 -09.1239692215522| -30.265 17.017    |10.16    |~                   |    ~     ~          |    1|   68.473   pc  |  -0.0502     +0.0502  |paral   |2020yCat.1350....0G
4891|TYC 9234-1907-1                                                                                          |Star                              |11 48 51.6496721712 -71 22 28.779600072|297.9278885342019 -09.1134367647069|  -17.990 0.672    |10.512   |~                   |    ~     ~          |    1|  667.483   pc  | -25.9500    +25.9500  |ST-L    |2020AJ....160...83S
4892|TYC 9234-2245-1                                                                                          |Star                              |11 45 17.3182746456 -71 40 51.949067592|297.7278829401528 -09.4808633377533|  -4.654 -0.803    |10.66    |~                   |    ~     ~          |    1| 1443.835   pc  | -26.6836    +26.6836  |paral   |2020yCat.1350....0G
4893|TYC 9234-2275-1                                                                                          |Star                              |11 47 52.1038780392 -71 41 24.042380712|297.9289858085119 -09.4384311186006|  -8.401 -1.073    |10.87    |~                   |    ~     ~          |    1| 1175.641   pc  | -17.0002    +17.0002  |paral   |2020yCat.1350....0G
4894|TYC 9234-2424-1                                                                                          |Star                              |11 57 01.2344214912 -71 20 05.742718944|298.5617362814302 -08.9263762018478|   -8.895 3.306    |9.85     |~                   |    ~     ~          |    1| 1127.650   pc  | -18.6924    +18.6924  |paral   |2020yCat.1350....0G
4895|TYC 9234-2430-1                                                                                          |Star                              |11 58 13.7007126192 -71 22 43.066840260|298.6665479070167 -08.9488748014857|  -6.435 -1.268    |10.285   |~                   |    ~     ~          |    1|  664.307   pc  | -26.3700    +26.3700  |ST-L    |2020AJ....160...83S
4896|TYC 9234-2437-1                                                                                          |Star                              |11 54 54.9888687360 -71 17 26.107485108|298.3854658233500 -08.9194703843097|  -10.543 3.463    |10.86    |~                   |    ~     ~          |    1|  597.372   pc  |  -4.7105     +4.7105  |paral   |2020yCat.1350....0G
4897|CD-72 742                                                                                                |Double or Multiple Star           |11 49 42.2691431376 -73 18 21.518606916|298.4658745142365 -10.9717866285325| 37.547 -21.579    |10.39    |~                   |    ~     ~          |    1|  208.542   pc  |  -0.4958     +0.4958  |paral   |2020yCat.1350....0G
4898|TYC 9238-1116-1                                                                                          |Spectroscopic Binary              |11 55 56.7126383448 -73 10 51.629562012|298.8825058159409 -10.7470418336657|  -18.684 6.962    |10.93    |~                   |    ~     ~          |    1|  479.570   pc  |  -3.8868     +3.8868  |paral   |2020yCat.1350....0G
4899|HD 102325                                                                                                |Star                              |11 46 09.4558268376 -73 36 14.278132008|298.2919291747445 -11.3231082379757| -16.330 -1.635    |8.11     |B8V                 |    ~     ~          |    1|  340.009   pc  |  -2.0115     +2.0115  |paral   |2020yCat.1350....0G
4900|HD 102615                                                                                                |Star                              |11 48 19.9695979152 -73 28 47.422257348|298.4122433445647 -11.1643039473809|-21.516 -21.495    |8.58     |F3IV/V              |    ~     ~          |    1|  129.298   pc  |  -0.2290     +0.2290  |paral   |2020yCat.1350....0G
4901|HD 102955                                                                                                |Star                              |11 50 38.9961455808 -73 32 05.798664708|298.5884841635091 -11.1779321360643|  -12.783 1.902    |8.36     |A0IV                |    ~     ~          |    1|  344.721   pc  |  -1.9607     +1.9607  |paral   |2020yCat.1350....0G
4902|HD 103374                                                                                                |Star                              |11 53 47.7732918384 -73 25 37.758191340|298.7847355731475 -11.0212528204537|  30.142 19.721    |9.15     |G0V                 |    ~     ~          |    1|  111.135   pc  |  -0.1322     +0.1322  |paral   |2020yCat.1350....0G
4903|CD-72 758                                                                                                |Hot Subdwarf Candidate            |11 58 59.9569731456 -73 25 48.320897844|299.1543941062823 -10.9441195276252|  -6.908 -5.198    |10.61    |OB                  |    ~     ~          |    0|                |                       |        |                   
4904|HD 102240                                                                                                |Star                              |11 45 21.3716712744 -74 14 30.829283628|298.4044858073186 -11.9538853255641|  -1.180 16.630    |9.25     |K2/3III             |    ~     ~          |    1|  320.852   pc  |  -1.3383     +1.3383  |paral   |2020yCat.1350....0G
4905|HD 103286                                                                                                |Star                              |11 53 19.2650865072 -73 58 41.669074668|298.8790697171690 -11.5655407948200|  -10.069 1.015    |9.10     |M1III               |    ~     ~          |    1|  789.702   pc  | -10.4146    +10.4146  |paral   |2020yCat.1350....0G
4906|HD 103496                                                                                                |Star                              |11 54 44.7573067608 -74 13 36.820967664|299.0333377945215 -11.7858236866113| -13.554 -2.178    |9.40     |B8/9V               |    ~     ~          |    1|  510.673   pc  |  -3.3120     +3.3120  |paral   |2020yCat.1350....0G
4907|HD 103981                                                                                                |Star                              |11 58 16.1364739896 -74 03 18.626912028|299.2354863551788 -11.5662270053681| -23.141 -0.777    |10.32    |A2/3V               |    ~     ~          |    1|  570.288   pc  |  -5.3663     +5.3663  |paral   |2020yCat.1350....0G
4908|HD 104072                                                                                                |Star                              |11 59 02.1676685016 -74 00 30.606734376|299.2782900917129 -11.5096279169240|  -9.664 -1.575    |7.76     |K2III               |    ~     ~          |    1|  348.784   pc  |  -1.9707     +1.9707  |paral   |2020yCat.1350....0G
4909|CD-73 694                                                                                                |High Proper Motion Star           |11 48 33.2337331560 -74 37 58.468444644|298.7178011519697 -12.2779859666784| -74.785 54.245    |10.45    |~                   |    ~     ~          |    1|  156.951   pc  |  -0.3055     +0.3055  |paral   |2020yCat.1350....0G
