C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:01:49

dec< 0&rah >=11.75&rah< 12.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5766

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
72  |BD-05 3359                                                                                               |Star                              |11 48 43.3134129888 -06 14 18.148827480|276.1880352880955 +53.3453814475442|-15.068 -37.341    |10.081   |~                   |    ~     ~          |    1|  268.860   pc  |  -6.0370     +6.0370  |ST-L    |2020AJ....160...83S
73  |BD-05 3348                                                                                               |Star                              |11 45 57.5423236752 -06 05 33.642118572|275.0410177457115 +53.1961022976473|-43.443 -10.086    |10.92    |~                   |    ~     ~          |    1|  331.784   pc  |  -6.8110     +6.8110  |ST-L    |2020AJ....160...83S
74  |BD-07 3287                                                                                               |Star                              |11 47 23.3212679400 -08 19 44.858854452|277.0522087866825 +51.2955757439456|  -38.328 0.274    |10.998   |~                   |    ~     ~          |    1| 2140.440   pc  |-317.0000   +317.0000  |ST-L    |2020AJ....160...83S
75  |BD-06 3450                                                                                               |Star                              |11 48 37.2655125144 -07 04 52.512063636|276.7089922751579 +52.5627084391799| -24.153 31.559    |10.10    |~                   |    ~     ~          |    1|  342.934   pc  | -14.0600    +14.0600  |ST-L    |2020AJ....160...83S
76  |BD-06 3451                                                                                               |Star                              |11 48 38.3698010112 -07 38 37.950724932|277.0783184538973 +52.0473751358581| -18.205 13.666    |10.958   |~                   |    ~     ~          |    1|  756.127   pc  | -34.4400    +34.4400  |ST-L    |2020AJ....160...83S
77  |BPM 74801                                                                                                |High Proper Motion Star           |11 47 38.3081395440 -08 21 21.687173208|277.1599688251195 +51.2950408162086|-141.749 10.300    |10.966   |K4/5V               |    ~     ~          |    1|   46.168   pc  |  -1.2820     +1.2820  |ST-L    |2020AJ....160...83S
78  |TYC 4937-331-1                                                                                           |Star                              |11 47 40.7711613312 -06 13 10.130565828|275.7790019258672 +53.2575447207641|   -7.234 1.308    |10.910   |~                   |    ~     ~          |    1|  323.664   pc  |  -7.2310     +7.2310  |ST-L    |2020AJ....160...83S
79  |HD 102524                                                                                                |High Proper Motion Star           |11 48 00.3132783408 -08 37 39.764630748|277.4619172170500 +51.0800492683136| 61.816 -46.904    |9.56     |F6/8                |    ~     ~          |    1|  136.260   pc  |  -0.3862     +0.3862  |paral   |2020yCat.1350....0G
80  |SAO 138413                                                                                               |High Proper Motion Star           |11 47 59.6898097344 -08 37 33.942168264|277.4571510434246 +51.0805461623568| 62.372 -46.846    |9.66     |F5                  |    ~     ~          |    1|  136.431   pc  |  -0.3239     +0.3239  |paral   |2020yCat.1350....0G
81  |BD-07 3283                                                                                               |Star                              |11 46 33.7659217536 -08 26 43.561772160|276.8257879659767 +51.1081532015723|-20.844 -17.344    |10.24    |~                   |    ~     ~          |    1|  632.756   pc  | -22.3800    +22.3800  |ST-L    |2020AJ....160...83S
82  |BD-07 3286                                                                                               |Star                              |11 46 47.6335144104 -08 27 14.504923800|276.9148312065133 +51.1228508540650|  -25.139 5.537    |10.22    |~                   |    ~     ~          |    1|  788.022   pc  | -12.1712    +12.1712  |paral   |2020yCat.1350....0G
83  |BD-07 3285                                                                                               |Star                              |11 46 39.4840552272 -08 42 22.289549940|277.0236811826153 +50.8778592643470|  -4.638 -3.625    |9.89     |K0                  |    ~     ~          |    1|  846.955   pc  | -40.9597    +40.9597  |paral   |2020yCat.1350....0G
84  |HD 102182                                                                                                |Star                              |11 45 33.8648563704 -09 24 47.629282248|277.0707768618958 +50.1216140209945|   2.375 -3.776    |9.61     |A3IV-V              |    ~     ~          |    1|  334.987   pc  |  -8.0370     +8.0370  |ST-L    |2020AJ....160...83S
85  |BD-08 3235                                                                                               |Star                              |11 45 52.3746958488 -09 38 19.273924788|277.3172634240970 +49.9439974252689| -22.903 -8.148    |10.176   |~                   |    ~     ~          |    1|  189.592   pc  |  -2.1680     +2.1680  |ST-L    |2020AJ....160...83S
86  |BD-08 3236                                                                                               |Star                              |11 46 03.1397483352 -09 15 27.261302652|277.1481853119452 +50.3120429595367| -21.138 13.406    |9.732    |K0                  |    ~     ~          |    1|  576.109   pc  | -16.6800    +16.6800  |ST-L    |2020AJ....160...83S
87  |HD 102556                                                                                                |Star                              |11 48 17.2423950456 -08 52 27.863837148|277.7151205733459 +50.8792876564178|  -33.923 4.097    |7.64     |K0III               |    ~     ~          |    1|  234.621   pc  |  -1.3762     +1.3762  |paral   |2020yCat.1350....0G
88  |HD 102580                                                                                                |High Proper Motion Star           |11 48 30.8733860856 -09 22 33.481937316|278.0985724021762 +50.4370007531599| -64.337 16.553    |7.91     |K2III               |    ~     ~          |    1|  172.179   pc  |  -0.7560     +0.7560  |paral   |2020yCat.1350....0G
89  |BD-09 3356                                                                                               |Star                              |11 45 16.8264248400 -09 57 11.217602412|277.2993706664727 +49.5975357637211|-17.501 -14.130    |9.937    |G5                  |    ~     ~          |    1|  833.685   pc  | -44.1600    +44.1600  |ST-L    |2020AJ....160...83S
90  |BD-09 3359                                                                                               |Star                              |11 46 19.6356021432 -10 16 03.864534852|277.8527199487687 +49.4071868059076|   -9.680 3.497    |10.37    |~                   |    ~     ~          |    1| 1675.042   pc  | -54.7124    +54.7124  |paral   |2020yCat.1350....0G
91  |BD-09 3360                                                                                               |High Proper Motion Star           |11 46 22.8577684608 -10 00 09.962241300|277.7146623554035 +49.6569001237659|-103.507 -108.231  |10.29    |~                   |    ~     ~          |    1|   78.925   pc  |  -0.3520     +0.3520  |ST-L    |2020AJ....160...83S
92  |HD 102358                                                                                                |Star                              |11 46 52.2433242072 -10 16 02.530351128|278.0424801101810 +49.4586018083752|  -30.414 9.026    |9.10     |K0III               |    ~     ~          |    1|  459.306   pc  |  -3.3543     +3.3543  |paral   |2020yCat.1350....0G
93  |BD-09 3362                                                                                               |Star                              |11 47 08.1268091832 -10 11 41.731174932|278.0928177961264 +49.5503698877092|  6.160 -26.748    |10.658   |~                   |    ~     ~          |    1|  250.398   pc  |  -3.8880     +3.8880  |ST-L    |2020AJ....160...83S
94  |BD-09 3364                                                                                               |Star                              |11 47 33.2505021240 -10 12 13.685292684|278.2450181584612 +49.5811790855525| -13.007 10.424    |9.37     |M0                  |    ~     ~          |    1|  659.283   pc  |  -8.3888     +8.3888  |paral   |2020yCat.1350....0G
95  |HD 102573                                                                                                |Star                              |11 48 23.0951869104 -09 53 50.782233300|278.3596273196438 +49.9420065367587| -37.579 -4.240    |9.50     |G2V                 |    ~     ~          |    1|  136.916   pc  |  -1.1180     +1.1180  |ST-L    |2020AJ....160...83S
