C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:03:01

Vmag< 11&dec< 0&rah >=15.75&rah< 16.0
-------------------------------------

Number of objects : 6366

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |       ang. size       
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|-----------------------
83  |CD-38 10724                                                           |Star                                  |15 53 50.6495643360 -39 11 30.790261608|337.3016404037149 +11.2125350348326| 13.309 -20.262   |10.53    |~                |    ~     ~            
84  |CD-38 10728                                                           |Star                                  |15 54 15.7594904520 -38 49 06.334258260|337.6119472198312 +11.4438520297561|  -4.073 -6.823   |10.43    |~                |    ~     ~            
85  |CD-38 10734                                                           |Star                                  |15 54 51.6712538160 -38 39 48.560449248|337.8052509090145 +11.4855271419050|  -8.084 -3.854   |10.57    |~                |    ~     ~            
86  |CD-39 10228                                                           |Star                                  |15 55 02.8427223504 -39 49 57.882344844|337.0576934625983 +10.5744366475993|-28.986 -37.084   |10.50    |~                |    ~     ~            
87  |CD-38 10740                                                           |Star                                  |15 55 18.2074470240 -38 29 38.535146844|337.9849285219358 +11.5575614431939|  -9.693 -6.689   |10.45    |~                |    ~     ~            
88  |HD 140476                                                             |Star                                  |15 45 21.1363224744 -39 42 33.408825192|335.6756748468291 +11.8581512748989| 13.574 -11.245   |9.06     |F0V              |    ~     ~            
89  |HD 140640                                                             |Double or Multiple Star               |15 46 13.6767970183 -39 50 05.515625900|335.7291942394464 +11.6548348370503|-14.957 -13.418   |10.32    |A7/9V            |    ~     ~            
90  |CD-38 10635                                                           |Star                                  |15 45 37.8438827928 -38 43 14.647721880|336.3528795113866 +12.5944243774255|  -8.058 -5.697   |9.82     |~                |    ~     ~            
91  |CD-37 10526                                                           |Star                                  |15 50 07.6041638376 -37 25 01.137454716|337.9031301153144 +13.0390700611564|   2.241 -3.909   |10.27    |~                |    ~     ~            
92  |CD-38 10688                                                           |Star                                  |15 50 21.7947251064 -38 32 15.312716088|337.2031958446032 +12.1495077020410| -11.292 -9.661   |10.24    |~                |    ~     ~            
93  |TYC 7837-2-1                                                          |Star                                  |15 49 21.8557387008 -38 10 51.702262104|337.2826445897561 +12.5488336979386| -0.505 -13.105   |10.98    |~                |    ~     ~            
94  |TYC 7837-366-1                                                        |Star                                  |15 49 37.0418107344 -37 30 48.558499416|337.7599962985836 +13.0298836551660|  -4.383 -2.533   |10.89    |~                |    ~     ~            
95  |TYC 7837-574-1                                                        |Star                                  |15 45 28.0605452544 -37 31 41.200422204|337.0977082869403 +13.5415185953459|-39.635 -20.095   |10.94    |~                |    ~     ~            
96  |TYC 7837-1193-1                                                       |Star                                  |15 45 39.6958731192 -38 14 10.648536000|336.6700517770855 +12.9673158942320| -13.157 -6.213   |10.95    |~                |    ~     ~            
97  |TYC 7837-1282-1                                                       |Star                                  |15 46 16.2030609048 -38 56 11.635328112|336.3130062133180 +12.3483149611792|-24.241 -25.029   |10.88    |~                |    ~     ~            
98  |TYC 7837-1473-1                                                       |Star                                  |15 48 44.3918227080 -38 51 24.217283376|336.7454419308960 +12.1060541409007|   1.751 -8.791   |10.08    |~                |    ~     ~            
