C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:03:01

Vmag< 11&dec< 0&rah >=15.75&rah< 16.0
-------------------------------------

Number of objects : 6366

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |       ang. size       
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|-----------------------
5521|TYC 9035-1087-1                                                       |Star                                  |15 50 23.3248397232 -67 02 42.175303188|319.1163269322728 -09.9806875350559|  -3.559 -8.254   |10.77    |~                |    ~     ~            
5522|TYC 9035-1192-1                                                       |Star                                  |15 48 57.3208032960 -66 10 27.730947972|319.5639232275117 -09.2167864189767|  -20.376 2.141   |10.59    |~                |    ~     ~            
5523|TYC 9035-1194-1                                                       |Pulsating Variable                    |15 48 01.8478392600 -66 09 54.110317716|319.4963532095105 -09.1507653072178| -8.929 -11.263   |10.82    |~                |    ~     ~            
5524|TYC 9035-1196-1                                                       |High Proper Motion Star               |15 53 24.2226869544 -66 29 01.371646356|319.7128763007447 -09.7397067585253|-79.962 -58.868   |10.99    |~                |    ~     ~            
5525|TYC 9035-1419-1                                                       |Star                                  |15 57 24.0133603176 -67 15 10.092031632|319.5076862134020 -10.5791836141425| -2.755 -15.351   |10.992   |~                |    ~     ~            
5526|TYC 9035-1434-1                                                       |Star                                  |15 45 21.9770478696 -66 27 41.285175948|319.0971345245170 -09.2153354557912|-26.009 -36.311   |10.98    |~                |    ~     ~            
5527|TYC 9035-1472-1                                                       |Star                                  |15 55 23.1213244224 -65 50 35.292850800|320.2876643394726 -09.3803333281155|  -7.220 -2.362   |10.78    |~                |    ~     ~            
5528|TYC 9035-1661-1                                                       |Star                                  |15 55 00.3861980424 -66 58 07.038920316|319.5171158037905 -10.2119629192233|-17.061 -26.204   |10.67    |~                |    ~     ~            
5529|TYC 9035-1785-1                                                       |Star                                  |15 46 30.1376647632 -66 24 37.689036156|319.2193362697825 -09.2460345667904|  -7.543 -9.227   |10.98    |~                |    ~     ~            
5530|TYC 9035-1872-1                                                       |Star                                  |15 56 53.4894687096 -66 33 43.844210352|319.9294186861050 -10.0248538701887|-31.151 -20.939   |10.99    |~                |    ~     ~            
5531|TYC 9035-1921-1                                                       |Star                                  |15 54 52.7688784512 -66 11 34.061013960|320.0181610682668 -09.6132454634079|  -2.292 -5.967   |10.83    |~                |    ~     ~            
5532|TYC 9035-2328-1                                                       |Star                                  |15 52 51.8914271808 -66 17 53.960096616|319.7918957612694 -09.5630363923969| -8.308 -11.022   |10.89    |~                |    ~     ~            
5533|TYC 9035-2352-1                                                       |Star                                  |15 47 33.3629480280 -66 04 31.731836988|319.5153263177933 -09.0508822219685| -7.289 -15.905   |10.80    |~                |    ~     ~            
5534|TYC 9035-2736-1                                                       |Star                                  |15 56 29.0337314472 -66 11 28.303612584|320.1440193032508 -09.7172889946067| -8.904 -15.471   |10.69    |~                |    ~     ~            
5535|TYC 9035-3120-1                                                       |Star                                  |15 56 50.8028868048 -65 58 30.505502244|320.3153274868588 -09.5776118987449|  -2.165 -7.848   |10.78    |~                |    ~     ~            
5536|TYC 9035-3318-1                                                       |Star                                  |15 56 59.5105207296 -65 53 18.474743400|320.3841034471457 -09.5216513095339|  -2.543 -8.092   |10.77    |~                |    ~     ~            
5537|TYC 9035-3421-1                                                       |Star                                  |15 56 16.3803788952 -65 52 49.573146252|320.3329905310144 -09.4676674403057| -8.727 -17.708   |10.98    |~                |    ~     ~            
5538|GSC 08696-00537                                                       |Double or Multiple Star               |15 45 26.151480 -54 00 13.17420        |326.797214270 +00.602378019        |       1.8 -3.3   |10.922   |~                |    ~     ~            
5539|TYC 8696-864-1                                                        |Star                                  |15 46 01.4990098152 -52 52 14.036635020|327.5618370517198 +01.4432979414297|  -7.747 -4.182   |10.77    |~                |    ~     ~            
5540|TYC 8696-1191-1                                                       |Star                                  |15 46 00.3905512344 -54 11 21.146726652|326.7494580345731 +00.4045229610595|  -9.296 -7.197   |10.53    |~                |    ~     ~            
5541|TYC 8696-1207-1                                                       |Star                                  |15 45 47.5458812496 -54 05 42.385872480|326.7824850549923 +00.4980482840107|-17.119 -10.765   |10.56    |~                |    ~     ~            
5542|TYC 8696-1521-1                                                       |Star                                  |15 46 34.4635224600 -53 33 44.747148492|327.2009864802068 +00.8472445083418|-17.972 -15.846   |10.43    |~                |    ~     ~            
5543|TYC 8696-2051-1                                                       |High Proper Motion Star               |15 46 19.6259541288 -53 34 31.371603096|327.1640758697861 +00.8596366588055|  51.617 -8.946   |10.91    |~                |    ~     ~            
5544|TYC 8696-2932-1                                                       |Star                                  |15 45 07.5589634880 -52 48 46.858028292|327.4898707758318 +01.5720041776499|  -5.508 -6.162   |10.82    |~                |    ~     ~            
5545|TYC 8697-54-1                                                         |Star                                  |15 48 12.9336113856 -53 02 59.946959256|327.7105585337548 +01.0984699060872|  -3.735 -9.853   |10.31    |~                |    ~     ~            
5546|TYC 8697-131-1                                                        |Star                                  |15 47 02.8873296264 -54 20 39.132945204|326.7738631829195 +00.1887543739332|  -0.575 -6.127   |9.83     |~                |    ~     ~            
5547|TYC 8697-147-1                                                        |Spectroscopic Binary                  |15 48 33.9842008824 -53 39 38.786568264|327.3722770821325 +00.5872023751582|  -8.078 -4.366   |10.71    |~                |    ~     ~            
5548|TYC 8697-216-1                                                        |Star                                  |15 47 54.1112123640 -52 56 33.625262724|327.7400764928942 +01.2119286137598|  -5.521 -6.173   |10.14    |~                |    ~     ~            
5549|TYC 8697-234-1                                                        |Star                                  |15 47 24.9899545152 -53 00 15.315206112|327.6445497290031 +01.2087922832152|  -0.678 -2.197   |10.75    |~                |    ~     ~            
5550|TYC 8697-271-1                                                        |Star                                  |15 49 06.1686768432 -54 11 19.861346580|327.1055554813448 +00.1246414854330|    2.260 5.449   |10.91    |~                |    ~     ~            
5551|TYC 8697-279-1                                                        |Star                                  |15 47 19.2599979264 -53 38 19.084592508|327.2411493185601 +00.7189382372856|  -2.952 -4.991   |10.72    |~                |    ~     ~            
5552|TYC 8697-301-1                                                        |Star                                  |15 47 35.4883033680 -53 31 02.148835296|327.3477590634529 +00.7895003887491|  -6.956 -3.040   |10.02    |~                |    ~     ~            
5553|TYC 8697-328-1                                                        |Star                                  |15 47 55.5662338248 -52 56 28.074205104|327.7439002751694 +01.2108747290001|  -5.498 -6.310   |10.93    |~                |    ~     ~            
5554|TYC 8697-388-1                                                        |Star                                  |15 47 32.2548160344 -53 41 25.321068600|327.2343802333498 +00.6584431713931|  -2.892 -0.595   |9.94     |~                |    ~     ~            
5555|TYC 8697-394-1                                                        |Star                                  |15 48 30.0609906696 -54 02 52.860114456|327.1241165527163 +00.2897634191837|  -3.227 -2.728   |10.19    |~                |    ~     ~            
5556|TYC 8697-403-1                                                        |Star                                  |15 47 17.3366929704 -53 41 14.464113252|327.2073107920694 +00.6835691281464|   -3.883 2.065   |10.16    |~                |    ~     ~            
5557|TYC 8697-512-1                                                        |Star                                  |15 55 38.6073583056 -53 19 30.759161268|328.4004922581634 +00.1831494857029|  -1.358 -4.339   |10.49    |~                |    ~     ~            
5558|TYC 8697-628-1                                                        |Star                                  |15 51 08.9823525960 -53 18 38.162856816|327.8911399574354 +00.6203805997549| -1.236 -16.892   |10.41    |~                |    ~     ~            
5559|TYC 8697-663-1                                                        |Star                                  |15 52 17.5984696944 -52 41 30.016772304|328.4148095042652 +00.9925366797787|  -1.383 -3.287   |10.73    |~                |    ~     ~            
5560|TYC 8697-784-1                                                        |Star                                  |15 50 52.5474701832 -53 00 18.726216300|328.0510592051961 +00.8837905932374|-15.755 -11.379   |10.48    |~                |    ~     ~            
5561|TYC 8697-805-1                                                        |Star                                  |15 52 26.9627911464 -52 35 28.910923080|328.4965629564795 +01.0553108508928|  -1.045 -0.914   |10.67    |~                |    ~     ~            
5562|TYC 8697-857-1                                                        |Star                                  |15 54 10.0744432344 -53 05 46.670806860|328.3767452300835 +00.5003893144537|  -2.588 -4.115   |10.72    |~                |    ~     ~            
5563|TYC 8697-913-1                                                        |Star                                  |15 50 26.1142257480 -53 09 41.083811640|327.9015390816068 +00.8036235229948|  -0.847 -4.289   |10.45    |~                |    ~     ~            
5564|TYC 8697-1023-1                                                       |Star                                  |15 52 45.4969349136 -53 01 58.445516676|328.2533763920522 +00.6838164239813|  -4.875 -4.052   |10.73    |~                |    ~     ~            
5565|TYC 8697-1050-1                                                       |Star                                  |15 49 21.5227130784 -53 19 44.438726496|327.6710469913991 +00.7734841760318| -7.243 -14.207   |10.68    |~                |    ~     ~            
5566|TYC 8697-1109-1                                                       |Star                                  |15 58 52.0339319856 -53 57 31.408011216|328.3568970832421 -00.6091268991490|  -0.772 -0.797   |10.02    |~                |    ~     ~            
5567|TYC 8697-1173-1                                                       |Star                                  |15 54 18.8910032832 -54 09 50.736623436|327.7133734321465 -00.3366348573585|   1.371 -9.768   |10.99    |~                |    ~     ~            
5568|TYC 8697-1233-1                                                       |Star                                  |15 56 42.0608433984 -54 07 14.141293716|328.0096178349713 -00.5270096501269|  0.942 -11.259   |10.69    |~                |    ~     ~            
5569|TYC 8697-1267-1                                                       |Star                                  |15 58 57.6711061824 -54 16 19.109253252|328.1638736811736 -00.8562370824945|   4.267 -2.383   |10.99    |~                |    ~     ~            
5570|TYC 8697-1307-1                                                       |Star                                  |15 57 33.9775574208 -54 05 34.571774580|328.1243953831831 -00.5876432945214|  -7.631 -7.525   |10.69    |~                |    ~     ~            
5571|TYC 8697-1311-1                                                       |Spectroscopic Binary                  |15 57 47.4197110584 -54 15 48.431342556|328.0392066805451 -00.7389518804872|   0.512 -3.382   |10.48    |~                |    ~     ~            
5572|TYC 8697-1328-1                                                       |Star                                  |15 51 37.9284346392 -53 29 25.686355416|327.8338521357571 +00.4353356636879|-12.147 -18.198   |10.82    |~                |    ~     ~            
5573|TYC 8697-1353-1                                                       |Star                                  |15 50 29.7796681680 -54 17 53.311106364|327.1962159664662 -00.0878836358451| -5.660 -13.252   |10.89    |~                |    ~     ~            
5574|TYC 8697-1423-1                                                       |Star                                  |15 55 06.1296887256 -53 55 42.849525072|327.9526624803708 -00.2290772183258|-32.106 -19.870   |10.99    |~                |    ~     ~            
5575|TYC 8697-1436-1                                                       |Star                                  |15 52 51.0859614048 -53 34 15.233493864|327.9235412437103 +00.2585509749733|  -3.248 -5.389   |10.99    |~                |    ~     ~            
5576|TYC 8697-1447-1                                                       |Star                                  |15 51 41.3420487888 -53 45 34.019909244|327.6709588906830 +00.2211186742893|  -6.696 -9.725   |10.67    |~                |    ~     ~            
5577|TYC 8697-1486-1                                                       |Star                                  |15 57 20.5590269160 -53 28 32.419517700|328.4977031865796 -00.0949428697408|  -3.323 -3.062   |10.81    |~                |    ~     ~            
5578|TYC 8697-1524-1                                                       |Star                                  |15 56 52.4428661160 -53 35 16.142972352|328.3721741796653 -00.1357801966267|  -0.798 -6.166   |10.44    |~                |    ~     ~            
5579|TYC 8697-1600-1                                                       |Star                                  |15 53 47.9225200224 -53 22 27.403484304|328.1572462294520 +00.3210901647772|  11.141 -9.835   |10.24    |~                |    ~     ~            
5580|TYC 8697-1617-1                                                       |Star                                  |15 57 20.4544623384 -54 20 01.818829932|327.9436810842781 -00.7503277366461|  -2.587 -5.000   |10.81    |~                |    ~     ~            
5581|TYC 8697-1626-1                                                       |Star                                  |15 53 49.0263 -53 22 11.428            |328.1621856 +00.3227708            |    2.181 1.910   |10.72    |~                |    ~     ~            
5582|TYC 8697-1727-1                                                       |Star                                  |15 51 51.6516352056 -54 15 17.592589656|327.3783128680067 -00.1794479526489|  -5.300 -6.378   |10.86    |~                |    ~     ~            
5583|TYC 8700-612-1                                                        |Star                                  |15 46 04.5606870096 -54 26 54.945261960|326.5981016017056 +00.1936273093683| -12.213 -5.865   |10.90    |~                |    ~     ~            
5584|TYC 8700-808-1                                                        |Star                                  |15 45 34.7521459560 -56 06 16.903796364|325.5257574199097 -01.0704377449543|  -6.723 -4.616   |10.85    |~                |    ~     ~            
5585|TYC 8701-10-1                                                         |Spectroscopic Binary                  |15 48 58.8868203792 -54 36 59.378755068|326.8254403021936 -00.1989736982235|   -2.361 3.161   |10.90    |~                |    ~     ~            
5586|TYC 8701-254-1                                                        |Star                                  |15 48 31.3014941784 -55 24 57.535922988|326.2765940856737 -00.7840515454490| -20.213 -3.020   |10.74    |~                |    ~     ~            
5587|IRAS 15464-5453                                                       |Star                                  |15 50 17.9843640432 -55 01 27.197558472|326.7191805772462 -00.6360146662814|  -3.223 -4.345   |10.46    |~                |    ~     ~            
5588|TYC 8701-333-1                                                        |Star                                  |15 54 06.3935958648 -55 44 42.870919668|326.6830061528572 -01.5364638992184|  -6.705 -6.484   |10.91    |~                |    ~     ~            
5589|TYC 8701-387-1                                                        |Star                                  |15 52 15.8733893688 -55 25 46.171436340|326.6820723185713 -01.1272861130428|  -1.119 -2.352   |10.80    |~                |    ~     ~            
5590|TYC 8701-399-1                                                        |Star                                  |15 56 05.9339782248 -54 44 15.482466564|327.5458435611107 -00.9433677986834|  -3.638 -5.240   |10.75    |~                |    ~     ~            
5591|TYC 8701-403-1                                                        |Star                                  |15 59 21.2601244752 -54 34 52.053403080|328.0062633298331 -01.1282852859743|  -3.320 -3.704   |10.99    |~                |    ~     ~            
5592|TYC 8701-439-1                                                        |Star                                  |15 56 01.9862271312 -54 40 53.318086392|327.5746125856917 -00.8942104534516|  -3.875 -5.081   |10.90    |K5Ib-II          |    ~     ~            
5593|TYC 8701-523-1                                                        |Star                                  |15 53 37.6501349736 -54 55 30.434457144|327.1522247642661 -00.8603195223366|-31.744 -23.724   |10.83    |~                |    ~     ~            
5594|TYC 8701-580-1                                                        |Star                                  |15 51 53.2037231496 -55 37 41.939324436|326.5150723669411 -01.2477530661423|  -2.840 -4.159   |10.78    |~                |    ~     ~            
5595|TYC 8701-651-1                                                        |Star                                  |15 56 06.5080565832 -55 12 16.270166160|327.2470410599942 -01.3021651884639|   11.737 7.163   |10.93    |~                |    ~     ~            
5596|2MASS J15523855-5433222                                               |Long-Period Variable Candidate        |15 52 38.5602145104 -54 33 22.297375332|327.2762209590784 -00.4849066724982|-12.595 -10.575   |10.98    |~                |    ~     ~            
5597|TYC 8701-688-1                                                        |Star                                  |15 54 05.4336785424 -54 31 16.552682328|327.4606884881135 -00.5911819216575|-24.159 -26.378   |10.74    |~                |    ~     ~            
5598|TYC 8701-751-1                                                        |Star                                  |15 48 16.8658981344 -55 58 56.010929844|325.8983212813495 -01.2068204960835|  -4.921 -9.800   |10.60    |~                |    ~     ~            
5599|TYC 8701-816-1                                                        |Star                                  |15 58 20.5180281528 -55 12 19.918384668|327.4898990858226 -01.5085199570858|  -6.186 -5.646   |10.73    |~                |    ~     ~            
5600|TYC 8701-864-1                                                        |Star                                  |15 59 02.3387037168 -55 26 37.223269692|327.4106792360344 -01.7540156412008|    8.202 6.410   |10.76    |~                |    ~     ~            
5601|TYC 8701-961-1                                                        |Star                                  |15 58 22.4019779976 -54 57 25.711608780|327.6543841265749 -01.3222959853530|-35.912 -15.225   |10.40    |~                |    ~     ~            
5602|TYC 8701-963-1                                                        |Star                                  |15 50 33.4416107160 -56 12 15.055078248|326.0079473812263 -01.5783399368598| -8.899 -10.629   |10.90    |~                |    ~     ~            
5603|TYC 8701-968-1                                                        |Star                                  |15 59 44.6142841416 -54 30 43.044316740|328.0941606034523 -01.1125614830293|  -1.673 -0.448   |10.99    |~                |    ~     ~            
5604|TYC 8701-972-1                                                        |Star                                  |15 58 00.3379345344 -55 26 51.663380208|327.2965209215219 -01.6620093293134|  -2.135 -3.026   |10.85    |~                |    ~     ~            
5605|TYC 8701-1001-1                                                       |Star                                  |15 51 17.5532672424 -54 35 26.738028708|327.1025948886864 -00.3883145319600|-20.590 -18.896   |10.99    |~                |    ~     ~            
5606|TYC 8701-1032-1                                                       |Star                                  |15 50 18.0807636216 -55 47 32.960875200|326.2381474852296 -01.2351023909175|    6.466 1.090   |10.85    |~                |    ~     ~            
5607|TYC 8701-1039-1                                                       |Star                                  |15 52 31.175 -54 26 16.77              |327.337139 -00.382046              |       1.2 -7.1   |9.52     |~                |    ~     ~            
5608|TYC 8701-1078-1                                                       |Star                                  |15 58 06.1462911792 -56 12 13.843859652|326.8169092079993 -02.2469937648591|  -3.718 -7.842   |10.80    |~                |    ~     ~            
5609|TYC 8701-1127-1                                                       |Star                                  |15 59 43.1313118848 -55 21 52.432669008|327.5354926875944 -01.7567989332463|  -4.390 -9.350   |10.94    |~                |    ~     ~            
5610|TYC 8701-1130-1                                                       |Star                                  |15 56 13.4155949232 -55 27 08.209062540|327.1003943484409 -01.5025676106354| -8.603 -12.758   |10.12    |~                |    ~     ~            
5611|IRAS 15490-5552                                                       |Star                                  |15 52 55.2694456440 -56 01 38.685994860|326.3752801868758 -01.6488102239909|   1.372 -4.333   |10.72    |~                |    ~     ~            
5612|TYC 8701-1281-1                                                       |Star                                  |15 48 14.4908088024 -55 45 19.928427444|326.0346887582173 -01.0256300356678|-11.636 -11.363   |10.91    |~                |    ~     ~            
5613|TYC 8701-1297-1                                                       |Star                                  |15 54 28.8073665432 -55 05 01.388449896|327.1455500313239 -01.0604525077709| -13.572 -0.571   |10.32    |~                |    ~     ~            
5614|TYC 8701-1310-1                                                       |Star                                  |15 51 33.2953272288 -55 09 05.460189768|326.7790140342037 -00.8478578656389| -12.281 -9.849   |10.96    |~                |    ~     ~            
5615|TYC 8701-1374-1                                                       |Star                                  |15 49 00.2303716320 -56 07 45.902268876|325.8858209155228 -01.3848330092931|  -4.500 -3.829   |10.21    |~                |    ~     ~            
5616|TYC 8701-1398-1                                                       |Star                                  |15 56 56.1827304288 -54 29 48.912408348|327.7935261048692 -00.8370262325568|  -1.897 -3.249   |10.29    |~                |    ~     ~            
5617|TYC 8701-1423-1                                                       |Star                                  |15 53 54.8652797040 -55 37 37.380850356|326.7373760319679 -01.4280738352486|    6.493 1.538   |10.98    |~                |    ~     ~            
5618|TYC 8704-359-1                                                        |Star                                  |15 46 35.7519094584 -58 06 17.249130216|324.4042730687876 -02.7327159186680|-15.652 -23.816   |10.84    |~                |    ~     ~            
5619|TYC 8704-1721-1                                                       |Star                                  |15 45 01.8468778080 -57 42 46.028420136|324.4811186160985 -02.2956998747150| -3.231 -13.009   |10.33    |~                |    ~     ~            
5620|TYC 8704-2325-1                                                       |Star                                  |15 46 21.7684610856 -57 44 10.938517116|324.6071195156571 -02.4234794742263| -9.489 -11.253   |10.77    |~                |    ~     ~            
5621|TYC 8705-45-1                                                         |Star                                  |15 47 44.6627423928 -56 37 16.705994664|325.4435155882452 -01.6620676077902|    0.463 4.700   |10.80    |~                |    ~     ~            
5622|TYC 8705-87-1                                                         |Star                                  |15 46 52.0032091440 -56 28 46.298273772|325.4360743765548 -01.4758603976761|-13.163 -11.313   |10.93    |~                |    ~     ~            
5623|TYC 8705-113-1                                                        |Star                                  |15 46 42.0013951008 -56 18 04.792122252|325.5278147795158 -01.3213459516391|   9.126 -4.025   |10.72    |~                |    ~     ~            
5624|TYC 8705-167-1                                                        |Star                                  |15 46 58.3947044112 -56 18 05.182820352|325.5575880954756 -01.3448036513992| -9.139 -15.586   |10.69    |~                |    ~     ~            
5625|TYC 8705-278-1                                                        |Star                                  |15 48 42.8923335600 -58 02 45.448699056|324.6609164678285 -02.8601018192436|  -3.950 -3.194   |10.74    |~                |    ~     ~            
5626|TYC 8705-337-1                                                        |Star                                  |15 48 10.9198147728 -56 38 30.885098964|325.4779702706472 -01.7155416439721|-10.177 -12.136   |10.56    |~                |    ~     ~            
5627|TYC 8705-409-1                                                        |Star                                  |15 47 16.4484430488 -56 50 31.766671284|325.2561232473161 -01.7956700600225|  -8.839 -5.121   |10.85    |~                |    ~     ~            
5628|TYC 8705-727-1                                                        |Star                                  |15 50 36.2273273784 -57 22 07.918525344|325.2817570391458 -02.4893025280244|  -2.011 -1.447   |10.90    |~                |    ~     ~            
5629|TYC 8705-738-1                                                        |Star                                  |15 51 33.3744661128 -57 31 43.753900296|325.2807500432531 -02.6942373904102|   2.064 -5.949   |10.82    |~                |    ~     ~            
5630|TYC 8705-869-1                                                        |Star                                  |15 49 02.3762503248 -57 54 58.028319756|324.7756148395717 -02.7853551437127|  -2.370 -2.035   |10.66    |~                |    ~     ~            
5631|TYC 8705-897-1                                                        |Star                                  |15 47 22.7367941280 -57 57 48.840199308|324.5732009636240 -02.6856686643469|  -4.432 -4.903   |10.99    |~                |    ~     ~            
5632|TYC 8705-911-1                                                        |Star                                  |15 47 03.9214686960 -57 59 56.408712000|324.5185625864201 -02.6878178819248|  -3.254 -2.578   |10.89    |~                |    ~     ~            
5633|TYC 8705-1207-1                                                       |Star                                  |15 47 15.7963041504 -57 25 33.963820320|324.8937707763726 -02.2537722838977| -9.834 -23.686   |10.97    |~                |    ~     ~            
5634|TYC 8705-1446-1                                                       |Pulsating Variable                    |15 47 03.8948220528 -57 26 18.951272160|324.8650392678344 -02.2471018742583|   0.448 -2.343   |10.44    |~                |    ~     ~            
5635|TYC 8705-1494-1                                                       |Star                                  |15 49 58.5928359720 -57 41 16.657213452|325.0158808604492 -02.6851661484045| -4.740 -13.819   |10.98    |~                |    ~     ~            
5636|TYC 8705-2102-1                                                       |Star                                  |15 50 01.3269722616 -56 23 14.082347256|325.8353260935172 -01.6745242648896|  -0.974 -3.472   |10.60    |~                |    ~     ~            
5637|TYC 8705-2275-1                                                       |Star                                  |15 56 54.7493892120 -57 01 03.909179424|326.1652777644847 -02.7621962341153|  -3.173 -9.702   |9.84     |~                |    ~     ~            
5638|TYC 8705-2309-1                                                       |Star                                  |15 56 23.1152309232 -57 44 50.387875008|325.6401069418103 -03.2743413996486|  -4.898 -6.235   |10.98    |~                |    ~     ~            
5639|TYC 8705-2360-1                                                       |Star                                  |15 51 36.4941116424 -56 24 01.496249856|325.9979461254385 -01.8225801654356|  -6.484 -9.414   |10.89    |~                |    ~     ~            
5640|TYC 8705-2384-1                                                       |Star                                  |15 58 48.1157254776 -57 00 01.453420692|326.3727730358268 -02.9155107173476|  -2.588 -5.134   |10.71    |~                |    ~     ~            
5641|TYC 8705-2454-1                                                       |Star                                  |15 52 00.6881366472 -56 17 09.429566568|326.1135474309452 -01.7689829987953|  -3.187 -3.749   |10.42    |~                |    ~     ~            
5642|TYC 8705-2461-1                                                       |Star                                  |15 58 16.2814099032 -57 31 57.782747784|325.9719367631052 -03.2737019983831|  -5.648 -7.650   |10.62    |~                |    ~     ~            
5643|TYC 8705-2510-1                                                       |Star                                  |15 58 16.5029170104 -56 32 25.129410972|326.6168564885251 -02.5187107378566|  -0.756 -9.040   |10.67    |~                |    ~     ~            
5644|TYC 8705-2518-1                                                       |Star                                  |15 52 37.7294998608 -56 19 37.575689304|326.1539065477101 -01.8549883942768|   14.705 2.289   |10.72    |~                |    ~     ~            
5645|TYC 8705-2656-1                                                       |Star                                  |15 56 50.5686314280 -57 00 24.837071472|326.1650267117605 -02.7477849210803| -10.744 -8.860   |10.56    |~                |    ~     ~            
5646|TYC 8705-2775-1                                                       |Star                                  |15 50 19.0818103848 -56 23 36.052164420|325.8634475695632 -01.7049212295874|    6.841 1.002   |10.54    |~                |    ~     ~            
5647|TYC 8705-2820-1                                                       |Star                                  |15 56 47.4455514288 -56 31 13.393259472|326.4734663332506 -02.3712214811581|  -3.834 -6.715   |10.48    |~                |    ~     ~            
5648|TYC 8705-2829-1                                                       |Star                                  |15 54 33.1589724864 -57 23 54.990006648|325.6752369629084 -02.8492188755543|  -0.926 -7.273   |10.81    |~                |    ~     ~            
5649|TYC 8705-2834-1                                                       |Star                                  |15 50 24.4809767160 -56 27 33.389669052|325.8318153359330 -01.7640944667422|  -1.109 -7.138   |10.94    |~                |    ~     ~            
5650|TYC 8705-2939-1                                                       |Star                                  |15 59 15.8778577416 -57 25 35.766433632|326.1426373770784 -03.2798742140502|-26.819 -25.060   |10.03    |~                |    ~     ~            
5651|TYC 8705-2979-1                                                       |Star                                  |15 52 26.0852806488 -56 46 29.210570652|325.8497599450965 -02.1847447875906|  -0.133 -2.402   |10.80    |~                |    ~     ~            
5652|TYC 8705-3000-1                                                       |Star                                  |15 52 42.6625570416 -58 02 51.320144040|325.0718346266750 -03.1935085475742|  -2.009 -0.854   |10.59    |~                |    ~     ~            
5653|TYC 8705-3112-1                                                       |Spectroscopic Binary                  |15 58 59.8297903248 -57 10 25.134248892|326.2801225989391 -03.0643607274171|-11.588 -17.601   |10.94    |~                |    ~     ~            
5654|TYC 8705-3148-1                                                       |Star                                  |15 58 14.5658261664 -56 59 02.101328988|326.3255011171898 -02.8535273979332| -10.570 -6.067   |10.95    |~                |    ~     ~            
5655|TYC 8705-3326-1                                                       |Star                                  |15 51 43.9140927816 -56 37 45.877128816|325.8667781301297 -02.0111106350547|  0.310 -11.765   |9.86     |~                |    ~     ~            
5656|TYC 8705-3356-1                                                       |Star                                  |15 56 49.9435265808 -56 48 51.502900536|326.2882325690733 -02.5996384553750|    4.146 1.762   |10.83    |~                |    ~     ~            
5657|TYC 8705-3394-1                                                       |Star                                  |15 57 34.0881545976 -57 03 15.957261180|326.2097349470760 -02.8477991146306|  -6.642 -4.585   |10.54    |~                |    ~     ~            
5658|TYC 8705-3495-1                                                       |Star                                  |15 58 27.6850489032 -57 12 28.070205696|326.2026636885958 -03.0431455738107|   -2.914 1.324   |10.94    |~                |    ~     ~            
5659|TYC 8705-3565-1                                                       |Star                                  |15 59 44.4776767512 -57 12 14.184479088|326.3369273105801 -03.1530295909259|  -9.231 -4.465   |10.64    |~                |    ~     ~            
5660|TYC 8705-3620-1                                                       |Star                                  |15 54 43.1896298496 -56 54 21.653656920|326.0076745216700 -02.4846820612572|  -9.596 -2.907   |10.67    |~                |    ~     ~            
5661|TYC 8708-74-1                                                         |Star                                  |15 45 16.9938111144 -58 12 02.998897524|324.2084398301778 -02.7020240328024|  -1.720 -5.754   |10.70    |~                |    ~     ~            
5662|TYC 8708-1138-1                                                       |Star                                  |15 45 35.7443821392 -58 19 21.016040412|324.1662241989925 -02.8233293205106|  -1.533 -3.277   |10.42    |~                |    ~     ~            
5663|TYC 8708-1992-1                                                       |Star                                  |15 45 28.5817210872 -59 02 46.884255396|323.7090002378858 -03.3852578940142|-13.567 -22.690   |10.73    |~                |    ~     ~            
5664|TYC 8708-2044-1                                                       |Star                                  |15 45 07.9130384016 -58 31 50.262089160|323.9904174920526 -02.9505007504962| -12.311 -8.909   |10.56    |~                |    ~     ~            
5665|TYC 8708-2352-1                                                       |Star                                  |15 45 03.0059045712 -59 30 08.391737268|323.3857209126328 -03.7120117652159|  -6.309 -6.040   |10.72    |~                |    ~     ~            
5666|TYC 8708-2704-1                                                       |Star                                  |15 46 35.4146228160 -58 35 59.665822296|324.0979646319711 -03.1220234595118|  -4.258 -4.510   |10.76    |~                |    ~     ~            
5667|TYC 8709-127-1                                                        |Star                                  |15 49 04.3472922816 -58 11 24.932027256|324.6078615500151 -03.0023854965874|  -0.582 -1.478   |9.77     |~                |    ~     ~            
5668|TYC 8709-233-1                                                        |Star                                  |15 59 48.2112651792 -58 20 33.733121208|325.5980662217548 -04.0208329976662|  -1.866 -1.673   |10.77    |~                |    ~     ~            
5669|TYC 8709-274-1                                                        |Star                                  |15 56 50.0693184576 -58 17 22.330433580|325.3355309622842 -03.7272272435586|  -1.515 -0.934   |10.93    |~                |    ~     ~            
5670|TYC 8709-296-1                                                        |Star                                  |15 50 31.4107502016 -58 45 30.463784172|324.3998672943527 -03.5642682530176|  -2.250 -5.688   |10.83    |~                |    ~     ~            
