C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:09:08

dec >=0&rah >=19.0&rah< 19.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7376

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
61  |TYC 3542-2075-1                                                                                          |Red Giant Branch star                 |19 12 08.1631568280 +45 29 36.211569216|076.4766185367311 +15.6004045380914|  -6.065 -8.657   |10.46    |~                    |    ~     ~    |    1|    0.604   kpc |                       |        |2021A&A...645A..85M
62  |TYC 3542-2077-1                                                                                          |Star                                  |19 11 31.1095068552 +45 03 51.549496992|076.0226027975794 +15.5324369749375|   7.201 -2.313   |10.92    |~                    |    ~     ~    |    1|  593.190   pc  |  -3.8354     +3.8354  |paral   |2020yCat.1350....0G
63  |TYC 3542-2161-1                                                                                          |Red Giant Branch star                 |19 12 38.1383594952 +45 29 12.293086920|076.5058971160315 +15.5172495463675|    1.030 5.759   |10.53    |~                    |    ~     ~    |    1|    0.783   kpc |                       |        |2021A&A...645A..85M
64  |TYC 3542-2305-1                                                                                          |Star                                  |19 14 04.8749149584 +45 54 07.757207532|077.0052520166457 +15.4486996883553|  -9.277 -2.675   |10.30    |~                    |    ~     ~    |    1| 1402.721   pc  | -22.2342    +22.2342  |paral   |2020yCat.1350....0G
65  |TYC 3542-2409-1                                                                                          |Star                                  |19 13 12.4269070224 +45 52 57.419647608|076.9244912164949 +15.5808390426380|   4.173 -2.241   |10.85    |G6V                  |    ~     ~    |    1|  858.959   pc  |  -9.3702     +9.3702  |paral   |2020yCat.1350....0G
66  |BD+46 2607                                                                                               |Star                                  |19 03 45.9444725784 +46 32 21.467526396|076.9130515898909 +17.3411469749168|  23.344 -6.948   |10.00    |F5                   |    ~     ~    |    1|  231.965   pc  |  -4.8534     +4.8534  |paral   |2020yCat.1350....0G
67  |HD 178027                                                                                                |Star                                  |19 04 49.2818011872 +46 22 03.522525924|076.8156774942862 +17.1090459761128|   -3.072 3.655   |9.18     |A                    |    ~     ~    |    1| 1268.392   pc  | -19.7885    +19.7885  |paral   |2020yCat.1350....0G
68  |BD+46 2612                                                                                               |Star                                  |19 05 04.3590064992 +46 18 21.471295824|076.7724493969667 +17.0459725873063| -2.358 -10.769   |9.46     |A4V                  |    ~     ~    |    1|  376.932   pc  |  -2.4864     +2.4864  |paral   |2020yCat.1350....0G
69  |HD 178260                                                                                                |Star                                  |19 05 40.3169158464 +46 25 30.104197464|076.9281361002311 +16.9939762249477|   3.078 -4.907   |8.79     |A0                   |    ~     ~    |    1|  338.341   pc  |  -2.0148     +2.0148  |paral   |2020yCat.1350....0G
70  |BD+46 2616                                                                                               |Spectroscopic Binary                  |19 06 01.7507527824 +46 28 20.780827464|076.9980308238789 +16.9544140685412|  27.082 79.936   |9.62     |G5                   |    ~     ~    |    1|  204.905   pc  |  -4.5303     +4.5303  |paral   |2020yCat.1350....0G
71  |HD 178508                                                                                                |Rotating Variable                     |19 06 42.6006611544 +46 28 18.906807000|077.0431159199197 +16.8454154867802|    3.689 3.968   |9.12     |A2.5Vn               |    ~     ~    |    1|  297.239   pc  |  -1.4401     +1.4401  |paral   |2020yCat.1350....0G
72  |BD+46 2621                                                                                               |delta Sct Variable                    |19 06 59.7802056648 +46 32 20.387216544|077.1273451654501 +16.8247432942437|   5.332 -1.407   |9.60     |F0                   |    ~     ~    |    1|  404.187   pc  |  -1.9931     +1.9931  |paral   |2020yCat.1350....0G
73  |BD+46 2625                                                                                               |Star                                  |19 07 38.2102237248 +46 27 59.539832028|077.1002821604074 +16.6954126118088|   -6.096 1.509   |10.27    |F8                   |    ~     ~    |    1|  283.374   pc  |  -0.8673     +0.8673  |paral   |2020yCat.1350....0G
74  |HD 178990                                                                                                |Star                                  |19 08 38.8386950160 +46 16 33.951440352|076.9848601254780 +16.4621500714420|-16.414 -28.221   |8.65     |K                    |    ~     ~    |    1|  911.993   pc  | -13.5572    +13.5572  |paral   |2020yCat.1350....0G
