C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:30:38

dec< 0&rah >=20.5&rah< 20.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 4644

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-------------------------|--------|-------------------
62  |TYC 7468-41-1                                                                                            |Spectroscopic Binary               |20 37 17.7820190712 -36 46 34.002152832|005.6340243177379 -36.2050585267334|   10.095 2.663   |10.97    |~                  |    ~     ~    |    1|  512.084   pc  | -17.6700    +17.6700    |ST-L    |2020AJ....160...83S
63  |TYC 7468-461-1                                                                                           |Star                               |20 35 29.4805663512 -36 48 02.993584932|005.5322769637235 -35.8522948809073|   7.169 -8.442   |10.96    |~                  |    ~     ~    |    1|  393.778   pc  |  -4.8224     +4.8224    |paral   |2020yCat.1350....0G
64  |TYC 7468-1360-1                                                                                          |Spectroscopic Binary               |20 34 46.1416794576 -36 28 16.318351236|005.9034842814107 -35.6550537036768| 10.879 -12.997   |10.78    |~                  |    ~     ~    |    1|  401.006   pc  | -10.8000    +10.8000    |ST-L    |2020AJ....160...83S
65  |TYC 7950-317-1                                                                                           |High Proper Motion Star            |20 31 37.4530429248 -37 33 21.959418636|004.4633829500554 -35.2142127166533| 49.260 -31.477   |10.552   |~                  |    ~     ~    |    1|  188.761   pc  |  -2.2680     +2.2680    |ST-L    |2020AJ....160...83S
66  |TYC 7950-330-1                                                                                           |Star                               |20 31 33.1649398464 -37 38 27.949862652|004.3579150494852 -35.2139186867339| 21.739 -36.973   |10.910   |~                  |    ~     ~    |    1|  307.130   pc  |  -7.0860     +7.0860    |ST-L    |2020AJ....160...83S
67  |V* CK Mic                                                                                                |Long-Period Variable               |20 32 54.8062622952 -35 43 29.947194912|006.7250024948401 -35.1560735076008|  -3.247 -3.470   |10.98    |~                  |    ~     ~    |    1|  717.257   pc  | -31.3819    +31.3819    |paral   |2020yCat.1350....0G
68  |CD-35 14243                                                                                              |Star                               |20 38 26.1742257144 -35 18 02.264976324|007.4844253379511 -36.1868719126572|   11.947 2.427   |9.26     |K2                 |    ~     ~    |    1| 1082.837   pc  | -20.7539    +20.7539    |paral   |2020yCat.1350....0G
69  |HD 196511                                                                                                |Star                               |20 39 07.1386782408 -35 25 06.310642044|007.3703761502443 -36.3443372920963|   13.674 8.865   |8.72     |A8V                |    ~     ~    |    1|  256.456   pc  |  -1.6706     +1.6706    |paral   |2020yCat.1350....0G
70  |HD 196599                                                                                                |Star                               |20 39 41.5326182112 -35 15 04.617976608|007.5998653019404 -36.4307783143829|  40.264 15.106   |9.13     |F5V                |    ~     ~    |    1|  148.131   pc  |  -0.4235     +0.4235    |paral   |2020yCat.1350....0G
71  |CD-36 14324                                                                                              |Star                               |20 40 17.6295125328 -35 36 20.455560324|007.1911008321656 -36.6116314577059|  -17.471 4.122   |9.41     |K0                 |    ~     ~    |    1|  545.223   pc  | -14.6900    +14.6900    |ST-L    |2020AJ....160...83S
