C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:44:53

Vmag< 11&dec< 0&rah >=13.25&rah< 13.5
-------------------------------------

Number of objects : 5452

 #  |                                                                                                    identifier                                                                                                    |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |     spec. type     |   ang. size   
----|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|--------------------|---------------
4183|HD 117148                                                                                                                                                                                                         |Star                              |13 29 19.5392620152 -48 46 16.364139456|309.3395623353765 +13.6285896537294|-23.813 -10.287     |9.23     |K1III               |    ~     ~    
4184|CD-48 8180                                                                                                                                                                                                        |Star                              |13 25 40.9497472488 -48 52 02.647072992|308.7146902718785 +13.6194638581634| -13.829 -5.641     |10.33    |~                   |    ~     ~    
4185|CD-47 8333                                                                                                                                                                                                        |Star                              |13 27 37.0689506832 -48 37 29.550020736|309.0748496332413 +13.8148644169907| -12.451 -0.590     |10.41    |~                   |    ~     ~    
4186|HD 116241                                                                                                                                                                                                         |Star                              |13 23 09.0713566440 -48 50 32.748010188|308.2932799211993 +13.6989063693118| -17.635 -4.685     |10.27    |A5/7V               |    ~     ~    
4187|HD 116526                                                                                                                                                                                                         |Star                              |13 24 58.2343 -49 17 58.500            |308.5360535 +13.2069410            |   -5.573 1.226     |10.9     |B9Ib/II             |    ~     ~    
4188|HD 116525                                                                                                                                                                                                         |Star                              |13 25 03.9626388984 -49 17 03.609560364|308.5539909634614 +13.2199740780462|   5.029 -3.365     |10.30    |K1/2(III)           |    ~     ~    
4189|HD 116556                                                                                                                                                                                                         |Star                              |13 25 13.9672023408 -49 02 51.494296164|308.6143604769329 +13.4508823292188| -26.715 -5.239     |9.86     |F0IV/V              |    ~     ~    
4190|HD 116574                                                                                                                                                                                                         |Star                              |13 25 21.1949753496 -49 22 59.363795964|308.5879893926733 +13.1157682106818| -9.361 -15.841     |10.13    |F3V                 |    ~     ~    
4191|HD 116718                                                                                                                                                                                                         |Star                              |13 26 22.1012613072 -49 22 00.010890840|308.7583695426342 +13.1095063262233|  -9.712 -4.738     |9.12     |B8IV                |    ~     ~    
4192|HD 116775                                                                                                                                                                                                         |Star                              |13 26 42.8195635200 -49 36 44.783175996|308.7802100970994 +12.8583200637500| -21.164 -2.423     |8.25     |A2V                 |    ~     ~    
4193|CD-48 8196                                                                                                                                                                                                        |Star                              |13 26 45.8954353008 -49 34 39.309610548|308.7936553088147 +12.8916666862756|   11.879 5.075     |9.96     |G0                  |    ~     ~    
4194|HD 116836                                                                                                                                                                                                         |Double or Multiple Star           |13 27 06.3858489 -49 08 37.354857      |308.9129751746 +13.3133716197      |   -15.67 -5.99     |6.31     |A0III/IV            |0.0033  0.0    
4195|HD 116862                                                                                                                                                                                                         |Star                              |13 27 20.6557029840 -49 22 52.649250132|308.9177334535912 +13.0726867515484|  -6.055 -3.518     |6.257    |B3III/IV            |    ~     ~    
4196|HD 116885                                                                                                                                                                                                         |Star                              |13 27 33.2577794208 -49 26 04.953417756|308.9446051421903 +13.0149333636889| -24.901 -3.256     |9.89     |K1/2(III)           |    ~     ~    
4197|HD 117036                                                                                                                                                                                                         |High Proper Motion Star           |13 28 33.0453660192 -48 58 19.419296484|309.1791570305242 +13.4489880715452|-19.529 -56.122     |7.68     |F3/5IV              |    ~     ~    
4198|HD 117109                                                                                                                                                                                                         |Star                              |13 28 59.8570618392 -49 05 43.448438652|309.2347984545544 +13.3161445253511|  -3.692 -9.231     |9.55     |F0IV                |    ~     ~    
4199|HD 117149                                                                                                                                                                                                         |Star                              |13 29 24.0437334840 -48 52 43.060454760|309.3354629032871 +13.5205390863779| -10.593 -4.159     |10.16    |A9V                 |    ~     ~    
4200|HD 117194                                                                                                                                                                                                         |Star                              |13 29 40.0859561088 -49 29 35.965866768|309.2843123096126 +12.9063078059632| -26.410 -5.438     |9.65     |K1/2III             |    ~     ~    
4201|HD 116731                                                                                                                                                                                                         |Double or Multiple Star           |13 26 25.2763121328 -49 41 58.013722788|308.7197177085542 +12.7787552217976|-177.553 -41.971    |8.85     |K0IV/V              |0.0050  0.0    
4202|HD 116946                                                                                                                                                                                                         |Double or Multiple Star           |13 27 59.0992 -49 44 21.517            |308.9704312 +12.7034525            |-49.657 -23.591     |10.41    |F6V                 |    ~     ~    
4203|HD 117037                                                                                                                                                                                                         |Star                              |13 28 33.6791008080 -49 53 44.957757624|309.0412692330411 +12.5350487383609| -12.164 -3.279     |9.01     |K1III               |    ~     ~    
4204|CD-49 7968                                                                                                                                                                                                        |Star                              |13 29 32.6578472160 -50 01 04.951304940|309.1827413626473 +12.3906460502817|  -8.816 -2.837     |10.85    |A0                  |    ~     ~    
4205|HD 117228                                                                                                                                                                                                         |Star                              |13 29 53.4917445576 -49 44 24.458332992|309.2825322002797 +12.6568711717582| -17.168 -2.855     |9.88     |A8IV                |    ~     ~    
4206|HD 117093                                                                                                                                                                                                         |Star                              |13 28 58.8425736480 -50 36 25.350966720|309.0016664085634 +11.8217254664172|-34.428 -10.952     |10.23    |F3V                 |    ~     ~    
4207|HD 117213                                                                                                                                                                                                         |Star                              |13 29 49.7491856688 -50 15 41.775848388|309.1912008392333 +12.1429819899603|   -6.891 0.850     |9.03     |G6III               |    ~     ~    
4208|HD 116902                                                                                                                                                                                                         |High Proper Motion Star           |13 27 35.9171059776 -49 10 46.426808496|308.9895489351583 +13.2664016066011|-185.764 -4.586     |10.16    |F7/8V               |    ~     ~    
4209|CD-48 8201                                                                                                                                                                                                        |Young Stellar Object              |13 27 05.9505698400 -48 56 18.111378336|308.9417019004810 +13.5168104208195|-38.262 -25.861     |10.728   |K3Ve                |    ~     ~    
4210|CD-49 7969                                                                                                                                                                                                        |Star                              |13 29 34.8410157720 -49 52 37.992158040|309.2104331952726 +12.5289715872025|  -5.795 -1.355     |10.12    |~                   |    ~     ~    
4211|HD 116296                                                                                                                                                                                                         |Star                              |13 23 39.7222999152 -49 27 28.046251044|308.2979900850199 +13.0779190210595|  -4.775 -8.515     |9.54     |G5III               |    ~     ~    
4212|HD 116371                                                                                                                                                                                                         |Star                              |13 24 07.2552084000 -49 17 20.585033664|308.3964131626543 +13.2356130547092|  -3.175 20.899     |9.75     |G6II/III            |    ~     ~    
4213|CD-48 8161                                                                                                                                                                                                        |Star                              |13 24 14.8902327600 -49 22 27.383213568|308.4061317225555 +13.1484178182738| -25.789 -4.478     |10.54    |F0                  |    ~     ~    
4214|HD 116432                                                                                                                                                                                                         |Star                              |13 24 31.8492232008 -49 13 07.762150452|308.4739784023709 +13.2964921577156|  -15.100 0.663     |10.73    |A1/5II              |    ~     ~    
4215|HD 116488                                                                                                                                                                                                         |Star                              |13 24 48.9187314216 -49 29 20.724230184|308.4844801182336 +13.0224737081577|  -8.782 -2.556     |10.87    |A1V                 |    ~     ~    
4216|HD 116433                                                                                                                                                                                                         |Star                              |13 24 31.3163440920 -49 42 22.070057220|308.4067562035974 +12.8136022055853|   -0.598 1.603     |9.91     |A2/5III             |    ~     ~    
4217|CD-49 7894                                                                                                                                                                                                        |Star                              |13 24 32.7364159488 -49 42 52.199273844|308.4095187816658 +12.8048029321025|   -0.516 1.502     |10.68    |A                   |    ~     ~    
4218|HD 116557                                                                                                                                                                                                         |alpha2 CVn Variable               |13 25 11.7303452616 -49 49 46.884082260|308.5004842232774 +12.6767129987144|  -8.739 -2.622     |10.40    |ApSi                |    ~     ~    
4219|HD 116558                                                                                                                                                                                                         |Star                              |13 25 16.1039516496 -50 05 10.847268924|308.4771643276228 +12.4207992747980|  -9.590 -4.350     |9.74     |B8V                 |    ~     ~    
4220|HD 116603                                                                                                                                                                                                         |Star                              |13 25 30.7448412504 -49 42 14.333373468|308.5698096284822 +12.7943940707600|-31.636 -28.324     |10.05    |G3/5(III)(+F)       |    ~     ~    
4221|CD-49 7916                                                                                                                                                                                                        |Star                              |13 25 49.3335789744 -50 04 26.361384384|308.5690189776443 +12.4210374031250|  26.577 -8.715     |10.15    |~                   |    ~     ~    
4222|CD-49 7919                                                                                                                                                                                                        |Star                              |13 26 01.1801228712 -49 55 19.546606992|308.6224714882055 +12.5671702348143|    0.986 4.443     |10.54    |F8                  |    ~     ~    
4223|HD 116673                                                                                                                                                                                                         |Star                              |13 26 05.6676154800 -50 22 43.251526560|308.5705446526521 +12.1132540448566| -20.220 -5.094     |8.99     |K2III               |    ~     ~    
4224|CD-49 7947                                                                                                                                                                                                        |Star                              |13 28 12.8449439928 -50 28 10.251063444|308.8991667651743 +11.9756473301983|    6.344 2.611     |10.35    |G0                  |    ~     ~    
4225|CD-49 7948                                                                                                                                                                                                        |Star                              |13 28 14.4411990264 -50 28 55.086387780|308.9015963488707 +11.9627099487167|   -7.907 2.453     |10.81    |G0                  |    ~     ~    
4226|HD 117016                                                                                                                                                                                                         |Long-Period Variable              |13 28 33.0396312528 -50 50 39.192525816|308.8972211176904 +11.5971681175724|  -10.062 1.686     |9.40     |M4/5III             |    ~     ~    
4227|* K Cen                                                                                                                                                                                                           |Star                              |13 29 25.2542678376 -51 09 54.473494356|308.9868655927201 +11.2595213860865|  -1.823 -7.517     |5.030    |A1V                 |    ~     ~    
4228|CD-50 7814                                                                                                                                                                                                        |Star                              |13 29 42.5161792800 -50 59 30.755335920|309.0589899678048 +11.4240158624882|-25.756 -12.846     |10.83    |G0                  |    ~     ~    
4229|IRAS 13235-4942                                                                                                                                                                                                   |Star                              |13 26 34.6153871808 -49 57 46.274160204|308.7076700876090 +12.5144175817491|   -0.241 1.929     |10.61    |~                   |    ~     ~    
4230|CD-50 7791                                                                                                                                                                                                        |Star                              |13 28 04.4706115128 -50 40 19.858010340|308.8467221483517 +11.7783360185228| -10.848 -4.480     |10.37    |~                   |    ~     ~    
4231|CD-48 8200                                                                                                                                                                                                        |Star                              |13 27 03.1573867128 -49 23 05.557634664|308.8689772791653 +13.0758766919150| -6.331 -13.491     |10.04    |~                   |    ~     ~    
4232|CD-48 8219                                                                                                                                                                                                        |Star                              |13 28 00.9186931464 -49 28 35.248934352|309.0145073558050 +12.9628144452197|-19.395 -10.250     |10.11    |~                   |    ~     ~    
4233|TYC 8252-290-1                                                                                                                                                                                                    |Star                              |13 25 40.5763812480 -48 41 19.047118344|308.7387378309734 +13.7967115115242|-17.379 -12.643     |10.810   |~                   |    ~     ~    
4234|TYC 8252-432-1                                                                                                                                                                                                    |Star                              |13 28 00.7002714408 -48 31 43.407697152|309.1555884587525 +13.9005617684300| -13.128 -4.003     |10.95    |~                   |    ~     ~    
4235|TYC 8252-862-1                                                                                                                                                                                                    |Star                              |13 28 53.2745248224 -48 29 59.179123104|309.3078447061633 +13.9078046998037|  -1.757 -2.910     |10.30    |~                   |    ~     ~    
4236|TYC 8252-2238-1                                                                                                                                                                                                   |Star                              |13 27 42.7351806432 -48 30 08.200764540|309.1089983045167 +13.9339235248184|  -18.950 0.346     |10.31    |~                   |    ~     ~    
4237|TYC 8256-2-1                                                                                                                                                                                                      |Spectroscopic Binary              |13 25 37.8392251968 -49 27 30.812572872|308.6234065806660 +13.0349566708155|-41.004 -11.290     |10.60    |~                   |    ~     ~    
4238|TYC 8256-130-1                                                                                                                                                                                                    |Star                              |13 28 55.6540109616 -49 41 36.178663704|309.1318406346444 +12.7265271406004|  -6.778 -4.473     |10.89    |~                   |    ~     ~    
4239|TYC 8256-522-1                                                                                                                                                                                                    |Star                              |13 27 57.8181889416 -49 22 02.640879768|309.0222115767667 +13.0719376619646|   4.227 -2.208     |10.765   |~                   |    ~     ~    
4240|TYC 8256-574-1                                                                                                                                                                                                    |Star                              |13 29 11.4360700200 -49 27 15.549230592|309.2116636228546 +12.9565551078300|  -4.185 -0.319     |10.20    |~                   |    ~     ~    
4241|TYC 8256-776-1                                                                                                                                                                                                    |Star                              |13 28 26.5090572984 -49 46 20.401354488|309.0403183250827 +12.6600275928152|-39.175 -20.762     |10.84    |~                   |    ~     ~    
4242|TYC 8256-882-1                                                                                                                                                                                                    |Star                              |13 25 48.7559433072 -49 27 58.898514924|308.6523787042131 +13.0232027732940|   -8.845 1.088     |9.92     |~                   |    ~     ~    
4243|TYC 8256-1007-1                                                                                                                                                                                                   |Star                              |13 26 45.3929303952 -50 22 58.993454676|308.6768366401502 +12.0943133716430|  -15.780 2.168     |10.545   |~                   |    ~     ~    
4244|TYC 8256-1259-1                                                                                                                                                                                                   |Star                              |13 26 55.0047630192 -50 20 00.570399468|308.7098109244606 +12.1398088572416| -23.049 -2.886     |10.391   |~                   |    ~     ~    
4245|TYC 8256-1288-1                                                                                                                                                                                                   |Star                              |13 27 14.7115015200 -49 17 08.466326196|308.9153084233399 +13.1696171134393|  -8.552 -5.374     |10.99    |~                   |    ~     ~    
4246|TYC 8256-1385-1                                                                                                                                                                                                   |Star                              |13 25 14.1654340032 -49 56 51.049405464|308.4909519216161 +12.5590753030045|-30.148 -39.700     |10.93    |~                   |    ~     ~    
4247|TYC 8256-1736-1                                                                                                                                                                                                   |Star                              |13 26 30.6552450384 -49 03 04.631234832|308.8271340454082 +13.4185842064291| -21.387 -6.038     |10.43    |~                   |    ~     ~    
4248|TYC 8256-2030-1                                                                                                                                                                                                   |Star                              |13 24 09.5448804264 -49 33 32.218472160|308.3667214933696 +12.9671968872537| -10.988 -0.728     |10.78    |~                   |    ~     ~    
4249|TYC 8256-2110-1                                                                                                                                                                                                   |Star                              |13 28 03.3402926112 -49 16 01.933309668|309.0523884202922 +13.1688943082215|  -16.679 1.036     |10.8     |~                   |    ~     ~    
4250|TYC 8256-2206-1                                                                                                                                                                                                   |Red Giant Branch star             |13 29 25.2403832064 -49 16 26.787652716|309.2774732750642 +13.1290920776750|  -10.269 0.499     |10.36    |~                   |    ~     ~    
4251|TYC 8256-2270-1                                                                                                                                                                                                   |Star                              |13 29 55.2830595384 -49 07 08.753617488|309.3846867156000 +13.2698886310063|  -18.682 2.423     |10.77    |~                   |    ~     ~    
4252|TYC 8256-2456-1                                                                                                                                                                                                   |Star                              |13 29 10.1548392936 -48 49 38.022465684|309.3046972512437 +13.5770836605998|  -2.964 -5.123     |10.82    |~                   |    ~     ~    
4253|TYC 8256-2484-1                                                                                                                                                                                                   |Star                              |13 29 39.7519535256 -49 06 51.719322384|309.3424161597636 +13.2810166745229|  -10.955 1.719     |10.90    |~                   |    ~     ~    
4254|TYC 8256-2512-1                                                                                                                                                                                                   |Star                              |13 26 17.0134684248 -48 45 29.964812544|308.8309980820421 +13.7138960079822|  -6.544 -3.815     |9.72     |~                   |    ~     ~    
4255|TYC 8260-950-1                                                                                                                                                                                                    |Star                              |13 28 56.0482804512 -51 09 18.629566452|308.9114228017601 +11.2807204826687|  -7.622 -1.051     |10.733   |~                   |    ~     ~    
4256|TYC 8260-1152-1                                                                                                                                                                                                   |Star                              |13 28 51.3803347416 -51 06 06.625239588|308.9071437188433 +11.3352728202303|  -8.518 -7.963     |10.69    |~                   |    ~     ~    
4257|TYC 8260-2511-1                                                                                                                                                                                                   |Star                              |13 28 48.9018033936 -50 53 15.375078492|308.9328284512155 +11.5481240213682|-11.783 -20.108     |10.20    |~                   |    ~     ~    
4258|HD 115728                                                                                                                                                                                                         |Star                              |13 19 42.9888843888 -43 29 29.567947344|308.3533250724705 +19.0823243529544| -27.398 -3.113     |9.06     |K0III               |    ~     ~    
4259|HD 115837                                                                                                                                                                                                         |Star                              |13 20 26.8619629896 -43 21 12.581123832|308.5100576295922 +19.2038282382162|-19.862 -12.729     |9.45     |G6/K0(III)          |    ~     ~    
4260|HD 115838                                                                                                                                                                                                         |Star                              |13 20 30.1957505664 -43 26 07.730453400|308.5103337380421 +19.1212237303518| -5.509 -12.489     |8.34     |K1III               |    ~     ~    
4261|HD 115975                                                                                                                                                                                                         |Star                              |13 21 20.1583528152 -43 12 35.849358540|308.6984292150341 +19.3267790336208| -11.981 -1.013     |9.72     |G8III/IV            |    ~     ~    
4262|IDS 13161-4301 AB                                                                                                                                                                                                 |Double or Multiple Star           |13 21 57.6682 -43 32 03.071            |308.7752689 +18.9909777            | -14.683 -2.039     |9.62     |G6/8III+(F/G)       |    ~     ~    
4263|HD 116082                                                                                                                                                                                                         |Star                              |13 22 03.5894801424 -43 19 07.823676468|308.8226276940525 +19.2023834717811|  -4.261 -6.019     |10.21    |A2III               |    ~     ~    
4264|HD 116466                                                                                                                                                                                                         |Variable Star                     |13 24 33.5143258200 -43 04 58.341790668|309.3336200189044 +19.3768042347205|   -8.841 0.918     |8.92     |K4(III)             |    ~     ~    
4265|HD 116485                                                                                                                                                                                                         |Star                              |13 24 43.8646411080 -43 00 01.626737364|309.3786350029332 +19.4541619693856| -28.862 -3.402     |9.76     |K1(III)             |    ~     ~    
4266|HD 116647                                                                                                                                                                                                         |Star                              |13 25 33.7558899984 -43 05 25.301651208|309.5249721705386 +19.3441082814664|  -10.270 1.976     |9.19     |A7III/IV            |    ~     ~    
4267|CD-42 8412A                                                                                                                                                                                                       |Star                              |13 26 24.2 -43 02 57                   |309.6923 +19.3631                  |            ~ ~     |8.5      |~                   |    ~     ~    
4268|IDS 13206-4232 AB                                                                                                                                                                                                 |Double or Multiple Star           |13 26 24.5 -43 02 56                   |309.6933 +19.3633                  |            ~ ~     |8.5      |F3/5V               |    ~     ~    
4269|CD-42 8412B                                                                                                                                                                                                       |Star                              |13 26 24.6 -43 02 56                   |309.6936 +19.3632                  |            ~ ~     |8.5      |~                   |    ~     ~    
4270|CD-42 8429                                                                                                                                                                                                        |Star                              |13 27 41.8706679000 -43 11 32.610014268|309.9176858653243 +19.1869784523583|-20.566 -12.557     |9.45     |K0III               |    ~     ~    
4271|HD 116945                                                                                                                                                                                                         |Star                              |13 27 44.8102166664 -43 12 01.037732040|309.9257927746702 +19.1778429591843|  -6.248 -6.593     |9.13     |K2III+(G)           |    ~     ~    
4272|HD 117249                                                                                                                                                                                                         |Variable Star                     |13 29 50.4275936640 -42 59 08.314056348|310.3606710357299 +19.3314889769856|  -8.819 -2.049     |9.23     |G8/K0III/IV(w)      |    ~     ~    
4273|CD-42 8472                                                                                                                                                                                                        |High Proper Motion Star           |13 29 58.5133240104 -42 53 11.536579104|310.4030497716701 +19.4254672727814|-164.423 -51.485    |9.96     |G5                  |    ~     ~    
4274|IRAS 13250-4252                                                                                                                                                                                                   |Long-Period Variable Candidate    |13 27 58.5444961320 -43 08 16.574016588|309.9793431183212 +19.2332714890978| -13.608 -8.801     |10.32    |~                   |    ~     ~    
4275|CD-42 8389                                                                                                                                                                                                        |Star                              |13 25 27.8 -43 02 18                   |309.5136 +19.3982                  |            ~ ~     |10.5     |~                   |    ~     ~    
4276|CD-42 8423                                                                                                                                                                                                        |Star                              |13 26 57.6888998952 -43 04 47.016076116|309.7944841962120 +19.3181707193446|  -7.266 -6.446     |9.947    |~                   |    ~     ~    
4277|CD-42 8452                                                                                                                                                                                                        |Star                              |13 28 33.9753306048 -42 50 51.710987976|310.1389347953902 +19.5038834712677|  -19.202 3.309     |10.217   |~                   |    ~     ~    
4278|HD 116810                                                                                                                                                                                                         |Pulsating Variable                |13 26 43.0326936600 -43 32 39.412093236|309.6767277066595 +18.8649575527376|  -12.192 1.502     |9.27     |A9V                 |    ~     ~    
4279|CD-42 8433                                                                                                                                                                                                        |Star                              |13 27 54.1184 -43 28 34.691            |309.9118387 +18.9007043            |  -12.344 4.571     |10.39    |F5                  |    ~     ~    
4280|HD 116224                                                                                                                                                                                                         |Star                              |13 23 02.4448795992 -43 49 17.164129800|308.9412825442601 +18.6812554348055|-27.721 -13.271     |9.21     |A9V                 |    ~     ~    
4281|HD 116553                                                                                                                                                                                                         |Star                              |13 25 00.6152533056 -43 55 20.780018256|309.2982959595485 +18.5339143149844|-24.604 -15.890     |8.63     |A9V                 |    ~     ~    
4282|CD-43 8264                                                                                                                                                                                                        |Star                              |13 25 43.5165596520 -43 42 55.065244464|309.4633747543808 +18.7211915317323| -15.658 -0.274     |10.37    |A3                  |    ~     ~    
4283|HD 116699                                                                                                                                                                                                         |Star                              |13 26 02.3469676392 -43 52 36.718634784|309.4985690810444 +18.5532625469513|  -5.679 10.943     |8.62     |A0V                 |    ~     ~    
4284|HD 116773                                                                                                                                                                                                         |Spectroscopic Binary              |13 26 30.6391559544 -44 06 51.942836484|309.5514828965738 +18.3060629469044|   2.018 -3.776     |9.64     |K1III               |    ~     ~    
4285|HD 116991                                                                                                                                                                                                         |Star                              |13 28 05.7464720071 -43 46 07.109907232|309.9023691236154 +18.6064058069169|-21.521 -13.667     |7.33     |K1III               |    ~     ~    
4286|HD 117034                                                                                                                                                                                                         |Star                              |13 28 20.7117429816 -44 09 56.438205768|309.8864116647617 +18.2071287305155|   -9.169 0.716     |9.02     |K(2)(III)           |    ~     ~    
4287|HD 117086                                                                                                                                                                                                         |Star                              |13 28 41.0484731424 -43 58 01.606265688|309.9813845118182 +18.3942234421649| -30.185 -5.164     |9.60     |F2V                 |    ~     ~    
4288|HD 117119                                                                                                                                                                                                         |Star                              |13 28 55.6439925024 -43 44 13.161516108|310.0640608200363 +18.6149796322026| -19.822 -4.516     |8.09     |K3III               |    ~     ~    
4289|V* V1187 Cen                                                                                                                                                                                                      |Long-Period Variable              |13 29 14.4262158336 -44 14 02.456882376|310.0423830438314 +18.1151970196949|  -6.190 -6.057     |9.510    |M3                  |    ~     ~    
4290|HD 117209                                                                                                                                                                                                         |Star                              |13 29 34.2825075144 -44 13 19.632484848|310.1059448836481 +18.1177950144943| -31.884 -0.504     |9.07     |K1/2III             |    ~     ~    
4291|HD 117225                                                                                                                                                                                                         |Star                              |13 29 40.7927108832 -44 00 58.669988436|310.1598694878480 +18.3180913918488|  -42.919 2.483     |9.09     |G8III               |    ~     ~    
4292|HD 116523                                                                                                                                                                                                         |Star                              |13 24 49.3953458904 -44 23 56.707202436|309.1947997314978 +18.0663020326953|  -1.685 -2.359     |9.35     |K1III               |    ~     ~    
4293|HD 116554                                                                                                                                                                                                         |Star                              |13 25 00.4361465304 -44 30 41.265712836|309.2129106095013 +17.9504992296613|-43.419 -17.371     |8.79     |K2III               |    ~     ~    
4294|HD 116823                                                                                                                                                                                                         |Star                              |13 26 51.7786852224 -44 21 43.329337200|309.5798163016468 +18.0519624904732|  -20.043 3.407     |9.856    |K0(III)             |    ~     ~    
4295|HD 116970                                                                                                                                                                                                         |Star                              |13 27 51.8469000024 -44 27 05.829420384|309.7520357233136 +17.9372202854127|  -3.178 -5.860     |10.13    |G6/K0(III)          |    ~     ~    
4296|HD 117035                                                                                                                                                                                                         |Star                              |13 28 21.3465162672 -44 16 47.462878560|309.8703371474603 +18.0939657070600|   3.656 -2.437     |8.73     |M4III               |    ~     ~    
