C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:44:53

Vmag< 11&dec< 0&rah >=13.25&rah< 13.5
-------------------------------------

Number of objects : 5452

 #  |                                                                                                    identifier                                                                                                    |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |     spec. type     |   ang. size   
----|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|--------------------|---------------
99  |HD 115186                                                                                                                                                                                                         |High Proper Motion Star           |13 15 35.5427211456 -11 00 08.545536108|312.4640015959200 +51.4217740129699| 21.300 -78.365     |9.822    |G3V                 |    ~     ~    
100 |HD 115232                                                                                                                                                                                                         |High Proper Motion Star           |13 15 56.2168631952 -11 14 26.871838512|312.5401347823122 +51.1733304020073|-136.350 -34.644    |8.61     |G5V                 |    ~     ~    
101 |HD 115446                                                                                                                                                                                                         |Spectroscopic Binary              |13 17 21.9768189984 -11 29 00.701538936|313.0304167257884 +50.8791223026315|  -64.710 7.513     |6.60     |A1mA3-F2            |    ~     ~    
102 |HD 115354                                                                                                                                                                                                         |Star                              |13 16 51.1933409160 -11 46 14.384295588|312.7629834883251 +50.6153125811961| -0.644 -15.017     |8.93     |F2                  |    ~     ~    
103 |HD 115573                                                                                                                                                                                                         |High Proper Motion Star           |13 18 08.4442095312 -12 06 14.384285496|313.1681278684160 +50.2362800565113|-84.291 171.183     |9.36     |G2/3V               |    ~     ~    
104 |HD 115217                                                                                                                                                                                                         |Star                              |13 15 53.9717651808 -12 21 00.497246004|312.2642684790963 +50.0778404964620| 17.009 -19.120     |7.28     |K1III               |    ~     ~    
105 |HD 115277                                                                                                                                                                                                         |Chemically Peculiar Star          |13 16 13.6921487976 -12 37 16.408821216|312.3250765642303 +49.7978543386256| 31.793 -26.026     |8.13     |K0IIICNIb/II        |    ~     ~    
106 |HD 115427                                                                                                                                                                                                         |High Proper Motion Star           |13 17 12.1747467216 -12 31 33.442630356|312.7119047891241 +49.8559011238688|-111.605 -60.878    |8.13     |F5V                 |    ~     ~    
107 |HD 115368                                                                                                                                                                                                         |Star                              |13 16 58.4458750728 -13 09 31.807681668|312.4775072835540 +49.2390388518206|-43.363 -10.404     |7.79     |K0III               |    ~     ~    
108 |BD-10 3639                                                                                                                                                                                                        |High Proper Motion Star           |13 15 37.3362724560 -11 32 31.531597728|312.3470264261989 +50.8870154412201|-58.410 -41.143     |9.94     |~                   |    ~     ~    
109 |BD-10 3642                                                                                                                                                                                                        |High Proper Motion Star           |13 16 27.5082203352 -11 45 07.798410864|312.6169761181392 +50.6484741450263|-68.394 -10.016     |10.33    |~                   |    ~     ~    
110 |BD-11 3471                                                                                                                                                                                                        |Star                              |13 16 31.6186308504 -12 30 23.653281456|312.4635193302705 +49.9002844731056|-24.000 -11.423     |10.521   |~                   |    ~     ~    
111 |BD-11 3472                                                                                                                                                                                                        |Star                              |13 16 43.0066252344 -12 26 24.733135464|312.5502899499418 +49.9588594972591|  -4.647 10.852     |9.908    |~                   |    ~     ~    
112 |BD-11 3475                                                                                                                                                                                                        |Star                              |13 17 11.1051110400 -12 20 25.804595868|312.7499254037819 +50.0397867842310|  -7.613 -5.242     |10.817   |~                   |    ~     ~    
113 |BD-12 3786                                                                                                                                                                                                        |High Proper Motion Star           |13 17 12.6357652920 -13 15 48.849872400|312.5401722150423 +49.1267688770648|-17.026 -60.626     |10.888   |~                   |    ~     ~    
