C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:58:43

dec< 0&rah >=23.75&rah< 24.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2512

 #  |                              identifier                              |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1944|CPD-59 7920                                                           |High Proper Motion Star            |23 47 45.5794745448 -58 40 46.871277492|317.9255775078837 -56.5562882675242| 37.367 -36.666   |10.996   |~              |    ~     ~    |    1|  226.437   pc  |  -2.5510     +2.5510    |ST-L    |2020AJ....160...83S
1945|CPD-59 7924                                                           |Star                               |23 49 49.0188234216 -58 31 49.443576312|317.6058101188065 -56.8077303061336|    9.486 5.052   |10.36    |~              |    ~     ~    |    1|  256.193   pc  |  -1.1027     +1.1027    |paral   |2020yCat.1350....0G
1946|CD-59 8212                                                            |Star                               |23 50 10.7707444080 -58 25 45.174817848|317.6074330580370 -56.9194572084503|  8.636 -11.160   |10.08    |~              |    ~     ~    |    1| 1432.720   pc  |-108.8000   +108.8000    |ST-L    |2020AJ....160...83S
1947|HD 223754                                                             |Star                               |23 52 28.4384194128 -58 33 00.569415204|317.0158548023707 -56.9366449631232|   -8.450 5.531   |7.19     |F0V            |    ~     ~    |    1|  102.263   pc  |  -1.9290     +1.9290    |ST-L    |2020AJ....160...83S
1948|CD-59 8224                                                            |Star                               |23 54 27.3919439256 -58 29 20.472164124|316.6279700018541 -57.0983279105239|   -3.601 0.539   |10.82    |~              |    ~     ~    |    1|  317.662   pc  |  -1.2210     +1.2210    |paral   |2020yCat.1350....0G
1949|CD-59 8229                                                            |Star                               |23 54 51.9183954144 -58 20 06.313639956|316.6519188976502 -57.2607848642003|   26.675 6.101   |9.75     |~              |    ~     ~    |    1|  304.062   pc  |  -1.3498     +1.3498    |paral   |2020yCat.1350....0G
1950|HD 224114                                                             |Star                               |23 55 22.2334000920 -58 45 06.887620476|316.2350462794030 -56.9047371279198|  49.607 -0.747   |9.40     |K1/2II/III     |    ~     ~    |    1|  504.617   pc  | -10.2110    +10.2110    |paral   |2020yCat.1350....0G
1951|CPD-59 7938B                                                          |Star                               |23 55 23.0306893824 -58 44 51.603492336|316.2352157670767 -56.9093182382276|-11.018 -20.966   |10.73    |G5             |    ~     ~    |    1|  197.353   pc  |  -1.9220     +1.9220    |ST-L    |2020AJ....160...83S
1952|CPD-59 7942                                                           |Spectroscopic Binary               |23 57 07.1531080488 -58 30 01.125880488|316.0303128320501 -57.2252250937763|  116.138 6.176   |10.808   |~              |    ~     ~    |    1|  188.067   pc  |  -8.4840     +8.4840    |ST-L    |2020AJ....160...83S
1953|CPD-59 7949                                                           |Star                               |23 58 48.0173546304 -58 38 17.385496440|315.5593624581335 -57.1809780362987|  42.179 20.786   |10.533   |~              |    ~     ~    |    1|  202.489   pc  |  -2.0950     +2.0950    |ST-L    |2020AJ....160...83S
1954|CD-59 8244                                                            |Star                               |23 59 08.5029989160 -58 19 45.995344140|315.6967192106002 -57.4839663491232|  -15.914 3.756   |10.473   |~              |    ~     ~    |    1|  595.968   pc  | -18.6300    +18.6300    |ST-L    |2020AJ....160...83S
1955|CD-59 8245                                                            |Star                               |23 59 27.7849038288 -58 31 29.942948856|315.4890406083768 -57.3181745244600| -13.559 -4.208   |10.51    |~              |    ~     ~    |    1|  217.661   pc  |  -7.1917     +7.1917    |paral   |2020yCat.1350....0G
1956|CD-57 8872                                                            |Star                               |23 47 10.9733470968 -57 06 03.439217448|319.3747255229321 -57.9287672795661|  16.566 -5.443   |10.27    |~              |    ~     ~    |    1|  492.590   pc  | -12.4200    +12.4200    |ST-L    |2020AJ....160...83S
1957|CD-57 8893                                                            |Star                               |23 51 25.0848569088 -56 51 25.310979756|318.6077886583555 -58.4070855177892|  21.259 -7.849   |10.919   |~              |    ~     ~    |    1|  730.993   pc  | -24.9300    +24.9300    |ST-L    |2020AJ....160...83S
1958|CPD-58 8112                                                           |Star                               |23 55 18.1246246296 -57 32 47.949339156|317.1489702762931 -58.0052254290472|  21.925 -5.089   |10.04    |~              |    ~     ~    |    1| 1148.633   pc  | -18.3391    +18.3391    |paral   |2020yCat.1350....0G
1959|CD-58 8628                                                            |Double or Multiple Star            |23 45 59.552976 -57 33 54.45504        |319.237138426 -57.443129372        |      28.3 10.8   |10.15    |~              |    ~     ~    |    1|  715.846   pc  | -19.0100    +19.0100    |ST-L    |2020AJ....160...83S
1960|CD-59 8230                                                            |Star                               |23 54 59.2931912976 -58 45 22.239047376|316.3153085364044 -56.8811888304164|   17.863 0.972   |10.84    |~              |    ~     ~    |    1| 1054.407   pc  | -12.6742    +12.6742    |paral   |2020yCat.1350....0G
1961|CPD-58 8119                                                           |Star                               |23 57 38.3886186264 -57 20 59.379158616|316.7523567042699 -58.3115634194957| 13.278 -14.905   |10.81    |~              |    ~     ~    |    1|  812.022   pc  | -32.1800    +32.1800    |ST-L    |2020AJ....160...83S
1962|UNSW-V 325                                                            |Variable Star                      |23 59 14.9121749064 -56 33 31.417508484|316.9623796268797 -59.1252224047612| 41.177 -16.219   |10.70    |~              |    ~     ~    |    1|  245.990   pc  |  -0.7322     +0.7322    |paral   |2020yCat.1350....0G
1963|TYC 8836-1232-1                                                       |Star                               |23 57 42.1580727000 -56 18 46.957818852|317.5361026423990 -59.2655472191849|   -4.527 4.010   |10.568   |~              |    ~     ~    |    1|  765.874   pc  | -30.1500    +30.1500    |ST-L    |2020AJ....160...83S
1964|TYC 8839-369-1                                                        |Star                               |23 47 51.3548416968 -58 55 59.421306900|317.7029481046133 -56.3343236640924|   -9.745 1.045   |10.789   |~              |    ~     ~    |    1|  173.130   pc  |  -1.4990     +1.4990    |ST-L    |2020AJ....160...83S
1965|TYC 8839-656-1                                                        |Star                               |23 45 39.2876 -58 28 35.759            |318.5364499 -56.6140378            | -5.364 -25.406   |10.492   |~              |    ~     ~    |    1|  295.634   pc  |  -4.4970     +4.4970    |ST-L    |2020AJ....160...83S
1966|TYC 8839-773-1                                                        |Star                               |23 56 06.6511559664 -58 01 53.896284372|316.5976347445491 -57.6045533498154|   10.770 3.048   |10.792   |~              |    ~     ~    |    1|  694.067   pc  | -24.5300    +24.5300    |ST-L    |2020AJ....160...83S
1967|TYC 8839-918-1                                                        |Star                               |23 45 35.6642991672 -58 09 40.680246852|318.8137082375521 -56.8903890513108|    9.386 2.393   |10.549   |~              |    ~     ~    |    1|  533.682   pc  | -14.2000    +14.2000    |ST-L    |2020AJ....160...83S
1968|TYC 8839-934-1                                                        |Star                               |23 57 25.6287468504 -58 51 15.638486688|315.7126711435591 -56.9135796450774|   26.503 1.050   |10.869   |~              |    ~     ~    |    1| 1234.630   pc  | -60.4100    +60.4100    |ST-L    |2020AJ....160...83S
1969|TYC 8839-1157-1                                                       |Star                               |23 59 06.6759702192 -57 39 37.857214836|316.1779871844561 -58.1017768962976| 20.371 -18.587   |10.828   |~              |    ~     ~    |    1|  321.963   pc  |  -5.5100     +5.5100    |ST-L    |2020AJ....160...83S
1970|HD 224289                                                             |Star                               |23 56 35.9196074400 -56 10 38.447624424|317.9188714120942 -59.3266475153181|-33.816 -12.318   |8.96     |F8V            |    ~     ~    |    1|  107.709   pc  |  -0.1671     +0.1671    |paral   |2020yCat.1350....0G
1971|CPD-56 10160                                                          |Star                               |23 49 41.4712624272 -56 01 41.585475792|319.7369328268306 -59.0397485703414|  23.382 -3.152   |10.93    |~              |    ~     ~    |    1|  587.274   pc  | -17.6600    +17.6600    |ST-L    |2020AJ....160...83S
1972|HD 222972                                                             |Star                               |23 45 34.3147368240 -53 28 58.799547984|323.2698428980631 -60.9671440625934| -14.106 -0.726   |10.37    |F7/G0          |    ~     ~    |    1|  153.464   pc  |  -0.4192     +0.4192    |paral   |2020yCat.1350....0G
1973|CD-54 9622                                                            |Star                               |23 46 01.4472499200 -53 28 16.254725304|323.1638422721662 -61.0121319325520| 20.297 -27.883   |10.57    |~              |    ~     ~    |    1|  122.917   pc  |  -0.8861     +0.8861    |ST-L    |2020AJ....160...83S
1974|HD 222924                                                             |Star                               |23 45 04.5732083232 -53 59 35.450287476|322.8577004907947 -60.4927454192383| 32.799 -12.499   |10.13    |F7V            |    ~     ~    |    1|  361.481   pc  |  -3.9592     +3.9592    |paral   |2020yCat.1350....0G
1975|HD 223053                                                             |High Proper Motion Star            |23 46 22.8463848168 -54 13 16.877290620|322.2883166914177 -60.3940711131946|  98.049 -4.438   |9.942    |F7V            |    ~     ~    |    1|  208.815   pc  |  -2.4530     +2.4530    |ST-L    |2020AJ....160...83S
1976|HD 223033                                                             |Star                               |23 46 13.2030008520 -55 00 08.928873720|321.5464790489071 -59.7059205301569|  15.124 -9.954   |9.00     |K2III          |    ~     ~    |    1|  592.169   pc  | -18.5800    +18.5800    |ST-L    |2020AJ....160...83S
1977|HD 223054                                                             |Star                               |23 46 22.3695310488 -54 38 39.224552208|321.8632342729381 -60.0277015810016|   3.280 -8.119   |9.20     |K5III          |    ~     ~    |    1|  588.720   pc  |  -4.8869     +4.8869    |paral   |2020yCat.1350....0G
1978|CD-55 9377                                                            |Star                               |23 45 22.3929260232 -54 32 56.105234304|322.2097089834670 -60.0372955814496|   3.184 -4.906   |10.38    |~              |    ~     ~    |    1| 1056.747   pc  | -15.4107    +15.4107    |paral   |2020yCat.1350....0G
1979|CD-55 9378                                                            |Star                               |23 45 31.9860875784 -54 40 50.768621112|322.0366033819997 -59.9352033290651| 11.345 -18.295   |10.20    |~              |    ~     ~    |    1|  924.044   pc  | -10.4171    +10.4171    |paral   |2020yCat.1350....0G
1980|HD 223195                                                             |High Proper Motion Star            |23 47 36.0662080488 -53 25 34.794099336|322.7942501445368 -61.1709293299297|-92.914 -10.354   |10.184   |G8/K2          |    ~     ~    |    1|   89.968   pc  |  -0.4065     +0.4065    |ST-L    |2020AJ....160...83S
1981|CD-54 9632                                                            |Star                               |23 48 48.9612583920 -53 36 34.686502956|322.2800290442683 -61.1031218344658|-22.891 -36.250   |10.40    |~              |    ~     ~    |    1|  183.739   pc  |  -0.6482     +0.6482    |paral   |2020yCat.1350....0G
1982|HD 223528                                                             |Star                               |23 50 28.0407091680 -53 41 17.951022204|321.7585222828354 -61.1547243230059|  12.554 -1.825   |9.38     |K0(III)        |    ~     ~    |    1|  480.440   pc  | -11.5500    +11.5500    |ST-L    |2020AJ....160...83S
1983|CD-54 9627                                                            |Star                               |23 47 40.0531895904 -53 54 05.969806596|322.2830735353027 -60.7653487038386|   0.593 12.591   |10.644   |~              |    ~     ~    |    1|  255.780   pc  |  -3.3050     +3.3050    |ST-L    |2020AJ....160...83S
1984|CPD-54 10367                                                          |Star                               |23 49 16.9743136944 -53 58 12.933574248|321.7901157000875 -60.8233687683496|    4.866 8.653   |10.427   |~              |    ~     ~    |    1|  397.987   pc  |  -7.9940     +7.9940    |ST-L    |2020AJ....160...83S
1985|HD 223658                                                             |Star                               |23 51 36.6550976208 -54 04 52.389573564|321.0649824648433 -60.8903866168880|   -0.649 9.434   |9.49     |F5V            |    ~     ~    |    1|  358.350   pc  |  -6.1120     +6.1120    |ST-L    |2020AJ....160...83S
1986|HD 223657                                                             |Star                               |23 51 39.0697741608 -53 53 34.965714336|321.2377854726866 -61.0589527195693|   9.728 -9.217   |8.93     |K1III          |    ~     ~    |    1|  407.397   pc  |  -7.7780     +7.7780    |ST-L    |2020AJ....160...83S
1987|CD-54 9647                                                            |Star                               |23 52 20.5479921504 -53 46 08.125761828|321.1731862495580 -61.2165510916052|  -8.811 -5.329   |10.22    |~              |    ~     ~    |    1|  275.202   pc  |  -3.9930     +3.9930    |ST-L    |2020AJ....160...83S
1988|HD 224049                                                             |Star                               |23 54 49.3786932984 -53 53 40.831983708|320.3777217868202 -61.2741474380296|   14.989 1.326   |8.36     |K0III          |    ~     ~    |    1|  310.540   pc  |  -1.8901     +1.8901    |paral   |2020yCat.1350....0G
1989|HD 224148                                                             |Star                               |23 55 39.0033295992 -54 02 54.447685008|320.0084431506945 -61.1913399495352| 14.548 -13.060   |9.39     |G8/K1III       |    ~     ~    |    1|  326.499   pc  |  -1.4498     +1.4498    |paral   |2020yCat.1350....0G
1990|HD 224164                                                             |Star                               |23 55 43.7361597960 -53 49 07.765587552|320.2002166591398 -61.4020138712272|  30.570 -7.647   |7.35     |A7IV           |    ~     ~    |    1|  224.070   pc  |  -0.8887     +0.8887    |paral   |2020yCat.1350....0G
1991|HD 224530                                                             |Star                               |23 58 42.6401747736 -53 49 11.172840672|319.3699345408172 -61.5935147981367|   9.317 -2.693   |9.03     |K3/4           |    ~     ~    |    1| 1219.363   pc  | -47.7278    +47.7278    |paral   |2020yCat.1350....0G
1992|HD 224555                                                             |High Proper Motion Star            |23 58 55.8576371424 -53 45 49.016977236|319.3583660621430 -61.6581790919149| 97.676 -46.438   |9.72     |G2V            |    ~     ~    |    1|  105.838   pc  |  -0.1255     +0.1255    |paral   |2020yCat.1350....0G
1993|CD-55 9385                                                            |Star                               |23 46 48.6552057576 -55 14 13.064319096|321.1729120575464 -59.5433316011657|    9.965 3.357   |10.25    |~              |    ~     ~    |    1|  675.481   pc  | -17.6100    +17.6100    |ST-L    |2020AJ....160...83S
1994|HD 223224                                                             |Chemically Peculiar Star           |23 47 52.5780182808 -55 16 52.695845256|320.8684575750737 -59.5781515624643|  67.602 -6.349   |9.56     |G6wF5IV/V      |    ~     ~    |    1|  326.488   pc  |  -1.2152     +1.2152    |paral   |2020yCat.1350....0G
1995|HD 223519                                                             |Spectroscopic Binary               |23 50 22.2221400120 -54 31 00.518282796|320.9694433363391 -60.4210239762439| 21.158 -19.804   |9.70     |F6V            |    ~     ~    |    1|  300.466   pc  |  -6.1250     +6.1250    |ST-L    |2020AJ....160...83S
1996|HD 223659                                                             |Spectroscopic Binary               |23 51 35.3004836088 -55 13 59.341593144|319.9871426979960 -59.8689922637931|  28.164 -3.773   |9.57     |F7V            |    ~     ~    |    1|  236.515   pc  |  -3.4070     +3.4070    |ST-L    |2020AJ....160...83S
1997|HD 223682                                                             |Star                               |23 51 49.9968397272 -54 29 44.030972832|320.6093236206679 -60.5395910601594|  5.175 -19.671   |9.85     |F6V            |    ~     ~    |    1|  165.482   pc  |  -1.5460     +1.5460    |ST-L    |2020AJ....160...83S
1998|HD 223843                                                             |Star                               |23 53 08.5803940584 -54 22 01.663164948|320.3857196455062 -60.7414617210077| 41.485 -19.680   |7.68     |K4III          |    ~     ~    |    1|  334.392   pc  |  -1.9680     +1.9680    |paral   |2020yCat.1350....0G
1999|HD 224050                                                             |Star                               |23 54 49.3544080488 -54 51 34.529892300|319.4929956480227 -60.4108399769506|   9.588 -4.947   |10.62    |A7/9           |    ~     ~    |    1|  415.870   pc  |  -2.5077     +2.5077    |paral   |2020yCat.1350....0G
2000|CD-55 9412                                                            |Star                               |23 57 39.7402616232 -55 12 44.366110596|318.4445889598386 -60.2667520366253|  10.792 -0.662   |9.99     |~              |    ~     ~    |    1|  645.520   pc  | -18.6100    +18.6100    |ST-L    |2020AJ....160...83S
2001|HD 224582                                                             |Star                               |23 59 03.2137102032 -54 38 46.809924864|318.5534904886978 -60.8645930750105|  22.463 -0.305   |9.02     |K3(III)        |    ~     ~    |    1|  993.049   pc  | -15.7783    +15.7783    |paral   |2020yCat.1350....0G
2002|CD-56 8861                                                            |Star                               |23 47 05.8311225024 -55 42 06.019790976|320.6614087817669 -59.1565404407869|    5.829 0.398   |10.31    |~              |    ~     ~    |    1|  740.686   pc  |  -7.0223     +7.0223    |paral   |2020yCat.1350....0G
2003|CD-56 8864                                                            |Star                               |23 47 48.9696666048 -55 35 06.497620332|320.5965981035968 -59.3074389534201|   30.740 9.200   |10.584   |~              |    ~     ~    |    1|  162.345   pc  |  -1.3590     +1.3590    |ST-L    |2020AJ....160...83S
2004|HD 223481                                                             |Star                               |23 50 03.5428513032 -55 23 32.154400176|320.2243729100809 -59.6273855913529|   0.956 20.863   |10.54    |F2/3           |    ~     ~    |    1|  335.424   pc  |  -1.7214     +1.7214    |paral   |2020yCat.1350....0G
2005|HD 224288                                                             |gamma Dor Variable                 |23 56 35.3237590992 -55 29 00.411562572|318.4944935692477 -59.9566237512699|   1.589 26.756   |8.04     |F2IV/V         |    ~     ~    |    1|  116.482   pc  |  -0.2714     +0.2714    |paral   |2020yCat.1350....0G
2006|CPD-56 10197                                                          |Star                               |23 59 26.2946056152 -55 41 37.870174536|317.5890942131561 -59.9300283208992|  30.389 -6.278   |10.62    |~              |    ~     ~    |    1|  210.234   pc  |  -0.6055     +0.6055    |paral   |2020yCat.1350....0G
2007|V* CK Phe                                                             |Long-Period Variable               |23 46 51.2123216352 -55 48 34.042217544|320.6189539506804 -59.0455586502016|  14.505 13.596   |7.32     |M2III          |    ~     ~    |    1|  457.875   pc  |  -3.9205     +3.9205    |paral   |2020yCat.1350....0G
2008|HD 223500                                                             |Star                               |23 50 15.8301147192 -55 52 33.614856228|319.7345160218065 -59.2117725813286|  13.743 -0.870   |9.95     |F3V            |    ~     ~    |    1|  222.238   pc  |  -2.3590     +2.3590    |ST-L    |2020AJ....160...83S
2009|NGC 7796                           NGC 7796                           |Galaxy                             |23 58 59.7964010520 -55 27 29.983148100|317.8931523857542 -60.1205277226124|            ~ ~   |11.30    |~              |1.457 1.282    |    1|   48.75    Mpc |                         |        |2016AJ....152...50T
2010|CD-54 9636                                                            |Star                               |23 50 03.364 -54 14 40.82              |321.315330 -60.638273              |      13.1 18.3   |10.789   |~              |    ~     ~    |    1|  330.996   pc  | -77.0300    +77.0300    |ST-L    |2020AJ....160...83S
2011|CD-54 9646                                                            |Star                               |23 52 17.0911130184 -54 16 41.495187144|320.6969194589423 -60.7625898653746| -13.245 -9.966   |10.79    |~              |    ~     ~    |    1|  360.881   pc  |  -1.6410     +1.6410    |paral   |2020yCat.1350....0G
2012|CD-55 9406                                                            |Star                               |23 55 36.7252154376 -54 54 27.204255396|319.2437084454707 -60.4174196729548|-19.460 -23.741   |10.68    |~              |    ~     ~    |    1|  173.642   pc  |  -1.5300     +1.5300    |ST-L    |2020AJ....160...83S
2013|CPD-55 10120                                                          |Star                               |23 57 38.6238081936 -54 45 54.239635980|318.8305195831497 -60.6715525543714|   31.521 7.158   |10.94    |~              |    ~     ~    |    1|  202.709   pc  |  -4.9250     +4.9250    |ST-L    |2020AJ....160...83S
2014|CD-55 9419                                                            |High Proper Motion Star            |23 59 18.9035779224 -54 21 50.318748360|318.7239295629548 -61.1372466404782|-23.797 -78.775   |10.64    |~              |    ~     ~    |    1|  132.757   pc  |  -1.0560     +1.0560    |ST-L    |2020AJ....160...83S
2015|CD-54 9671                                                            |High Proper Motion Star            |23 58 22.0671546768 -53 48 33.828375492|319.4753973910165 -61.5812347149154|103.243 115.252   |10.813   |K6.5Vk         |    ~     ~    |    1|   31.184   pc  |  -0.0487     +0.0487    |ST-L    |2020AJ....160...83S
2016|CD-55 9408                                                            |High Proper Motion Star            |23 56 35.9474712984 -54 23 03.853697064|319.4454326774340 -60.9506362700048|-26.973 -42.474   |10.42    |~              |    ~     ~    |    1|  223.636   pc  |  -2.6810     +2.6810    |ST-L    |2020AJ....160...83S
2017|CD-55 9417                                                            |Star                               |23 59 07.6848466224 -55 01 56.321468256|318.2089189999247 -60.5172576334149|-30.758 -12.969   |10.16    |~              |    ~     ~    |    1|  500.977   pc  |  -2.9866     +2.9866    |paral   |2020yCat.1350....0G
2018|TYC 8833-152-1                                                        |Star                               |23 53 11.7925573920 -53 42 24.851951856|321.0015942916226 -61.3305451170120|  35.599 -1.878   |10.72    |~              |    ~     ~    |    1|  300.830   pc  |  -4.9930     +4.9930    |ST-L    |2020AJ....160...83S
2019|TYC 8833-414-1                                                        |Star                               |23 59 14.3054977080 -53 47 19.597997976|319.2492396536244 -61.6546801332042|  8.736 -15.907   |10.71    |~              |    ~     ~    |    1|  972.857   pc  | -11.3574    +11.3574    |paral   |2020yCat.1350....0G
2020|TYC 8833-616-1                                                        |Star                               |23 52 53.8115058336 -54 14 22.800561720|320.5711582614802 -60.8381371355865| 22.051 -33.193   |10.46    |~              |    ~     ~    |    1|  383.002   pc  |  -7.4150     +7.4150    |ST-L    |2020AJ....160...83S
2021|TYC 8833-856-1                                                        |Star                               |23 57 57.4282625736 -53 55 31.253059848|319.4854797464607 -61.4505209016570|  23.756 -8.790   |10.975   |~              |    ~     ~    |    1|  496.185   pc  | -14.3300    +14.3300    |ST-L    |2020AJ....160...83S
2022|TYC 8833-1204-1                                                       |Star                               |23 46 43.4858937000 -54 36 12.076857072|321.8155356687814 -60.0885178511324|  -3.262 -1.277   |10.948   |~              |    ~     ~    |    1| 1199.220   pc  | -45.7900    +45.7900    |ST-L    |2020AJ....160...83S
2023|TYC 8833-1220-1                                                       |Star                               |23 57 50.0295054480 -54 53 10.610812824|318.6758281624017 -60.5731467462903| 15.736 -32.006   |10.971   |~              |    ~     ~    |    1| 1427.410   pc  |-106.8000   +106.8000    |ST-L    |2020AJ....160...83S
2024|TYC 8836-559-1                                                        |High Proper Motion Star            |23 56 10.7103068448 -55 53 28.377390948|318.2582335279162 -59.5623402064683|-8.393 -102.033   |10.85    |~              |    ~     ~    |    1|  151.612   pc  |  -1.1480     +1.1480    |ST-L    |2020AJ....160...83S
2025|GSC 08836-01558                                                       |Double or Multiple Star            |23 55 55.1830715280 -55 52 39.202700520|318.3345551586000 -59.5594777427578|   3.841 -6.104   |10.644   |~              |    ~     ~    |    1|  132.983   pc  |  -0.8748     +0.8748    |ST-L    |2020AJ....160...83S
2026|HD 223041                                                             |Star                               |23 46 21.5871073668 -53 16 30.842564200|323.2849915911290 -61.2057189120866|   4.545 -1.230   |10.50    |F5/7IV/V       |    ~     ~    |    1|  269.113   pc  |  -3.3090     +3.3090    |ST-L    |2020AJ....160...83S
2027|CD-53 9435                                                            |High Proper Motion Star            |23 49 06.2597335464 -53 16 53.549852412|322.5426009358243 -61.4089722933565|-2.306 -157.601   |10.78    |~              |    ~     ~    |    1|  238.795   pc  |  -0.7641     +0.7641    |paral   |2020yCat.1350....0G
2028|CPD-54 10412                                                          |Star                               |23 59 31.2245086152 -53 20 42.248699808|319.5688123807567 -62.0741095765157| 30.905 -16.274   |10.642   |~              |    ~     ~    |    1|  287.198   pc  |  -4.8350     +4.8350    |ST-L    |2020AJ....160...83S
2029|CD-51 13674                                                           |Star                               |23 46 48.2028625560 -51 14 18.387084048|325.4740969667708 -62.9675319929418|   27.780 3.579   |10.192   |F8             |    ~     ~    |    1|  243.229   pc  |  -4.7800     +4.7800    |ST-L    |2020AJ....160...83S
2030|HD 223256                                                             |High Proper Motion Star            |23 48 06.9275082528 -50 53 27.425819076|325.5089604820559 -63.3712578946329|-43.875 -33.354   |6.91     |G8III          |    ~     ~    |    1|  174.593   pc  |  -0.6097     +0.6097    |paral   |2020yCat.1350....0G
2031|HD 223284                                                             |Spectroscopic Binary               |23 48 28.1051588904 -51 02 58.361715852|325.2142806569940 -63.2676619113897|   -2.611 7.561   |9.21     |F0V            |    ~     ~    |    1|  246.342   pc  |  -2.0936     +2.0936    |paral   |2020yCat.1350....0G
2032|HD 222971                                                             |Star                               |23 45 42.4724472288 -52 14 03.752685528|324.6161729556843 -62.0381284283792|  10.612 -1.247   |8.13     |K2III          |    ~     ~    |    1|  459.812   pc  |  -3.7211     +3.7211    |paral   |2020yCat.1350....0G
2033|HD 223124                                                             |Star                               |23 47 02.9117283144 -51 43 37.434900108|324.8267885134109 -62.5770150715342|   7.650 -1.570   |9.848    |F6V            |    ~     ~    |    1|  273.689   pc  |  -7.8620     +7.8620    |ST-L    |2020AJ....160...83S
2034|HD 223223                                                             |Star                               |23 47 47.7590146704 -52 12 15.756392844|324.0700960497389 -62.2331722828112|  -8.347 21.040   |7.36     |K0III          |    ~     ~    |    1|  219.592   pc  |  -0.8101     +0.8101    |paral   |2020yCat.1350....0G
2035|CD-51 13672                                                           |High Proper Motion Star            |23 46 01.5346310280 -51 16 54.909369336|325.6455475013859 -62.8645561389124| 56.244 -20.216   |10.901   |~              |    ~     ~    |    1|  210.312   pc  |  -2.4180     +2.4180    |ST-L    |2020AJ....160...83S
2036|CD-51 13679                                                           |Star                               |23 47 35.4216382704 -50 48 06.809552676|325.7723741149262 -63.4008755383628|  25.750 -5.178   |10.400   |~              |    ~     ~    |    1|  915.080   pc  | -44.7000    +44.7000    |ST-L    |2020AJ....160...83S
2037|CD-51 13677                                                           |Star                               |23 47 28.2931929600 -50 41 12.781941324|325.9484943190630 -63.4867836671143|  11.357 -0.527   |10.77    |~              |    ~     ~    |    1|  427.204   pc  |  -3.4311     +3.4311    |paral   |2020yCat.1350....0G
2038|HD 223342                                                             |Star                               |23 48 57.2999771448 -50 48 31.689398088|325.3585392509081 -63.5119159311329| -14.406 14.289   |8.27     |G8III          |    ~     ~    |    1|  326.232   pc  |  -2.0541     +2.0541    |paral   |2020yCat.1350....0G
2039|HD 223398                                                             |Star                               |23 49 19.3023689976 -50 49 36.079078584|325.2273720031928 -63.5278559792832| -22.874 -2.582   |10.10    |G2/3V          |    ~     ~    |    1|  171.250   pc  |  -2.1350     +2.1350    |paral   |2020yCat.1350....0G
2040|HD 223499                                                             |Star                               |23 50 14.2360943064 -50 43 23.902264416|325.0754661646674 -63.6924150038901|  0.126 -30.484   |9.86     |G0V            |    ~     ~    |    1|  173.640   pc  |  -1.6880     +1.6880    |ST-L    |2020AJ....160...83S
2041|HD 223577                                                             |Star                               |23 50 45.8041268976 -50 36 48.834906624|325.0467381265210 -63.8296439078879|  23.709 -9.186   |9.06     |A6V            |    ~     ~    |    1|  268.097   pc  |  -1.2506     +1.2506    |paral   |2020yCat.1350....0G
2042|HD 224184                                                             |Star                               |23 55 52.8205305768 -51 11 28.319020224|322.8099258053921 -63.7391786779363|-33.050 -27.946   |9.85     |F3V            |    ~     ~    |    1|  185.161   pc  |  -0.4526     +0.4526    |paral   |2020yCat.1350....0G
2043|HD 224486                                                             |High Proper Motion Star            |23 58 24.9964616784 -50 54 32.607528228|322.3170023956228 -64.1769618790992| 66.289 -31.610   |9.10     |G8III          |    ~     ~    |    1|  462.385   pc  |  -2.8649     +2.8649    |paral   |2020yCat.1350....0G
2044|HD 224666                                                             |Star                               |23 59 46.0995452304 -50 59 57.338491416|321.7877684331383 -64.1955125303010| 13.571 -39.858   |7.27     |K0III          |    ~     ~    |    1|  223.674   pc  |  -4.5227     +4.5227    |paral   |2020yCat.1350....0G
2045|HD 223318                                                             |High Proper Motion Star            |23 48 46.1976230328 -51 29 19.508150832|324.6093286102499 -62.9209784797137|  70.485 44.985   |9.19     |G8IV/V         |    ~     ~    |    1|  162.009   pc  |  -0.3543     +0.3543    |paral   |2020yCat.1350....0G
2046|HD 223380                                                             |Star                               |23 49 10.5033033744 -51 19 05.391268356|324.6895270009110 -63.0992114251608| -25.992 -9.308   |8.35     |G8III          |    ~     ~    |    1|  242.742   pc  |  -1.0135     +1.0135    |paral   |2020yCat.1350....0G
2047|HD 224008                                                             |Star                               |23 54 34.6263089856 -51 34 11.577400644|322.7971824911497 -63.3093884405174|-20.110 -10.081   |9.89     |G6/8(III)+G    |    ~     ~    |    1|  216.812   pc  |  -0.7991     +0.7991    |paral   |2020yCat.1350....0G
2048|HD 224147                                                             |High Proper Motion Star            |23 55 37.5148692648 -51 22 27.334255620|322.6896898923244 -63.5595850624936|157.575 -84.968   |8.51     |G5V            |    ~     ~    |    1|   89.225   pc  |  -0.1457     +0.1457    |paral   |2020yCat.1350....0G
