C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:58:43

dec< 0&rah >=23.75&rah< 24.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2512

 #  |                              identifier                              |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
83  |HD 223185                                                             |Star                               |23 47 26.1019303368 -41 30 12.416804892|341.2207873882356 -70.5389723396508|   19.842 6.982   |9.12     |K0III          |    ~     ~    |    1|  568.731   pc  |  -6.7926     +6.7926    |paral   |2020yCat.1350....0G
84  |CD-40 15232                                                           |Star                               |23 45 00.6198544128 -39 26 13.444815336|347.0203941148187 -71.5032830673799| 10.091 -17.700   |9.55     |~              |    ~     ~    |    1|  757.404   pc  |  -9.5228     +9.5228    |paral   |2020yCat.1350....0G
85  |CD-40 15243                                                           |High Proper Motion Star            |23 46 45.6844640784 -39 34 14.626743636|346.0351520312075 -71.6909443232883|   49.547 2.546   |10.59    |~              |    ~     ~    |    1|  225.596   pc  |  -0.8652     +0.8652    |paral   |2020yCat.1350....0G
86  |CD-40 15248                                                           |Star                               |23 47 13.1153943840 -39 27 07.571869344|346.1612479517643 -71.8333886006081|  -25.890 1.912   |10.50    |~              |    ~     ~    |    1|  134.758   pc  |  -0.2688     +0.2688    |paral   |2020yCat.1350....0G
87  |CD-40 15251                                                           |Star                               |23 48 02.1334705416 -39 56 25.244693700|344.6309153561179 -71.6510956622723|   14.664 4.868   |10.38    |~              |    ~     ~    |    1|  252.270   pc  |  -1.2346     +1.2346    |paral   |2020yCat.1350....0G
88  |CD-40 15252                                                           |Star                               |23 48 12.3867707688 -39 40 27.033532032|345.2234549571205 -71.8447028817585|   9.917 -5.379   |9.85     |~              |    ~     ~    |    1|  473.418   pc  |  -3.1153     +3.1153    |paral   |2020yCat.1350....0G
89  |CD-40 15233                                                           |Star                               |23 45 08.6165578944 -40 03 39.947835888|345.4249643677655 -71.1439842092331|   -8.926 2.689   |10.37    |~              |    ~     ~    |    1|  199.617   pc  |  -0.9444     +0.9444    |paral   |2020yCat.1350....0G
90  |CD-41 15314                                                           |Star                               |23 46 04.7044219248 -41 15 15.685724484|342.2868872677790 -70.5163038636541| -7.198 -14.734   |10.16    |~              |    ~     ~    |    1|  740.905   pc  |  -6.7520     +6.7520    |paral   |2020yCat.1350....0G
91  |CD-40 15240                                                           |Star                               |23 46 12.2479386936 -40 15 57.523477104|344.5374994960474 -71.1738173470856| 17.773 -27.923   |10.83    |~              |    ~     ~    |    1|  331.565   pc  |  -1.3412     +1.3412    |paral   |2020yCat.1350....0G
92  |CPD-40 9874                                                           |Star                               |23 46 59.7778033080 -40 00 02.926712808|344.8810798453698 -71.4586414808060|    5.921 1.719   |10.70    |~              |    ~     ~    |    1|  487.116   pc  |  -3.0135     +3.0135    |paral   |2020yCat.1350....0G
