C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:37:26

Vmag< 11&dec >=0&rah >=12.25&rah< 12.5
--------------------------------------

Number of objects : 2101

 #  |                                                                                  identifier                                                                                   |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
84  |TYC 4550-633-1                                                                                                                                                                 |Star                              |12 24 49.0120378896 +75 54 47.336150340|125.0773010966645 +41.1040185965041|   11.799 2.047   |10.26    |~              |    ~     ~    
85  |TYC 4550-668-1                                                                                                                                                                 |Spectroscopic Binary              |12 19 08.5344545496 +76 25 18.564515652|125.4191066492319 +40.5500730406479|-23.814 -10.233   |10.49    |~              |    ~     ~    
86  |TYC 4550-787-1                                                                                                                                                                 |Spectroscopic Binary              |12 17 18.7418419464 +76 32 51.596283516|125.5296894002234 +40.4079777646682|  -4.815 10.531   |10.41    |~              |    ~     ~    
87  |TYC 4550-992-1                                                                                                                                                                 |Star                              |12 15 48.2511695040 +76 41 23.619633396|125.6093253460516 +40.2525513130840| -16.676 -2.992   |10.77    |~              |    ~     ~    
88  |TYC 4550-1092-1                                                                                                                                                                |Star                              |12 23 36.9327852936 +77 24 32.366333016|124.8956921687983 +39.6129850614771| -9.963 -12.332   |9.74     |~              |    ~     ~    
89  |TYC 4550-1229-1                                                                                                                                                                |Star                              |12 17 27.6520391376 +76 01 33.295095804|125.6377344326125 +40.9233265635811|-12.424 -13.725   |10.96    |~              |    ~     ~    
90  |TYC 4550-1450-1                                                                                                                                                                |Star                              |12 20 16.5046821456 +77 02 56.235320484|125.2028566837782 +39.9415751912439| 37.680 -31.749   |10.30    |~              |    ~     ~    
91  |TYC 4550-1946-1                                                                                                                                                                |Star                              |12 22 20.9637658608 +76 00 54.460371816|125.2542788914649 +40.9816869826293|  22.789 -4.698   |10.88    |~              |    ~     ~    
92  |TYC 4553-960-1                                                                                                                                                                 |High Proper Motion Star           |12 25 17.8168439496 +77 44 21.475528548|124.7217039576218 +39.2979674478716|-52.052 -31.349   |9.76     |~              |    ~     ~    
93  |TYC 4553-1372-1                                                                                                                                                                |Star                              |12 16 12.7620208632 +77 31 41.215055484|125.3852673010698 +39.4318572787527|-21.863 -10.396   |10.40    |~              |    ~     ~    
94  |TYC 4553-1377-1                                                                                                                                                                |Star                              |12 26 35.7508416408 +78 16 19.897151988|124.5482620018314 +38.7779864732883|  11.624 18.136   |10.02    |~              |    ~     ~    
95  |TYC 4550-1096-1                                                                                                                                                                |Star                              |12 20 28.6493813856 +75 54 20.563184988|125.4253197339680 +41.0722987036370|   -3.471 1.384   |10.88    |~              |    ~     ~    
96  |HD 107985                                                                                                                                                                      |Star                              |12 23 44.1522601032 +75 42 57.856405032|125.2010813442338 +41.2898968357625| -34.402 -4.461   |8.79     |G0             |    ~     ~    
97  |HD 108379                                                                                                                                                                      |Star                              |12 26 12.8041305888 +75 43 08.908900104|124.9990376137936 +41.3077103551046|  -11.555 4.559   |7.89     |K0             |    ~     ~    
98  |HD 107193                                                                                                                                                                      |Star                              |12 18 49.9851888120 +75 09 38.018570112|125.7235575655344 +41.7904872826107|  -35.386 4.028   |5.460    |A1V            |    ~     ~    
99  |HD 108357                                                                                                                                                                      |Star                              |12 26 06.4811579784 +75 01 28.058783808|125.1297598328648 +41.9955222693334|-21.396 -15.018   |10.48    |G5             |    ~     ~    
100 |HD 106841                                                                                                                                                                      |Star                              |12 16 35.4606775248 +73 52 39.385942860|126.2302363871803 +43.0267632619520|  10.271 -4.523   |9.93     |F0             |    ~     ~    
