C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:37:26

Vmag< 11&dec >=0&rah >=12.25&rah< 12.5
--------------------------------------

Number of objects : 2101

 #  |                                                                                  identifier                                                                                   |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1675|BD+18 2603                                                                                                                                                                     |Star                              |12 23 40.9560686112 +18 10 07.226077620|265.9748669359914 +78.9933154405344| -8.982 -18.037   |10.52    |G0             |    ~     ~    
1676|BD+18 2604                                                                                                                                                                     |High Proper Motion Star           |12 23 59.2855383312 +17 45 27.522416628|267.4618421962569 +78.6909208856755| -63.784 23.558   |9.67     |G5             |    ~     ~    
1677|BD+19 2562                                                                                                                                                                     |Star                              |12 24 08.1041689104 +18 52 47.241076188|264.2400528972418 +79.6366109092399|-10.649 -23.142   |10.4     |~              |    ~     ~    
1678|BD+18 2602                                                                                                                                                                     |High Proper Motion Star           |12 23 30.7200426792 +17 21 20.682481680|268.0653304231112 +78.2910371742641| -81.553 12.750   |9.03     |F6             |    ~     ~    
1679|BD+20 2722                                                                                                                                                                     |Star                              |12 27 35.9899364016 +19 21 38.479786020|266.5252162064734 +80.5003367132395|   1.167 -8.362   |10.41    |K0             |    ~     ~    
1680|BD+20 2727                                                                                                                                                                     |Star                              |12 29 24.7262574888 +19 18 55.168336512|268.8720180332878 +80.6949336887875|  -24.781 4.252   |9.87     |A5             |    ~     ~    
1681|FAUST 3171                                                                                                                                                                     |Star                              |12 29 25.0 +19 18 48                   |268.8842 +80.6938                  |            ~ ~   |9.9      |A5             |    ~     ~    
1682|HD 108187                                                                                                                                                                      |Star                              |12 25 33.6366274008 +18 52 01.299107820|265.8251167265280 +79.8210443689340|-12.968 -31.378   |8.73     |K2III          |    ~     ~    
1683|HD 108300                                                                                                                                                                      |Star                              |12 26 30.4019534832 +18 53 25.372127760|266.8062207049111 +79.9659354174246|  -2.754 18.738   |9.05     |G3V            |    ~     ~    
1684|HD 108547                                                                                                                                                                      |Spectroscopic Binary              |12 28 05.1630727560 +18 19 50.354487768|270.2839596723484 +79.6897767209553| -37.678 -2.983   |8.55     |K3III          |    ~     ~    
1685|BD+19 2574                                                                                                                                                                     |Star                              |12 29 34.5978274440 +18 49 41.963449476|270.5946708226643 +80.2976651234003| -24.038 -2.737   |10.9     |A5             |    ~     ~    
1686|BD+18 2609                                                                                                                                                                     |High Proper Motion Star           |12 25 32.1660955296 +18 09 24.649457004|267.9555040329367 +79.2256749943543| -91.455 17.072   |10.55    |G5             |    ~     ~    
1687|HD 108468                                                                                                                                                                      |Star                              |12 27 33.0932884152 +17 50 03.631928496|271.0376612045208 +79.1964178082052|-37.312 -24.537   |7.43     |G8III          |    ~     ~    
1688|HD 108795                                                                                                                                                                      |Star                              |12 29 53.5001566080 +17 54 35.816779008|273.4936814949658 +79.5284943729028|-19.379 -30.017   |8.91     |F3             |    ~     ~    
1689|V* TV Com                                                                                                                                                                      |Long-Period Variable              |12 27 57.8958534000 +18 48 08.474540544|268.7555354537619 +80.0787380297779|   7.378 -8.685   |8.97     |M2             |    ~     ~    
1690|BD+18 2607                                                                                                                                                                     |High Proper Motion Star           |12 25 05.7160457904 +17 38 14.449477884|268.9292337987943 +78.7294516063849| -74.531 59.570   |9.96     |G5             |    ~     ~    
1691|BD+18 2610                                                                                                                                                                     |High Proper Motion Star           |12 27 31.0290301920 +17 17 33.516176964|272.3690392775952 +78.7183932830755|-29.338 -55.331   |9.89     |F8             |    ~     ~    
1692|BD+18 2613                                                                                                                                                                     |Star                              |12 29 20.6347246968 +17 30 32.696089848|273.8551395098125 +79.1122899479259|  8.092 -37.312   |10.07    |K0             |    ~     ~    
1693|HD 108714                                                                                                                                                                      |High Proper Motion Star           |12 29 20.4612094416 +17 19 18.961019328|274.2945737393479 +78.9448651326892|  0.928 -57.534   |7.74     |A0             |    ~     ~    
1694|BD+17 2481                                                                                                                                                                     |Star                              |12 25 24.3237064752 +16 46 47.727849360|271.3934421946681 +78.0262631719550|-40.999 -20.427   |10.82    |K0             |    ~     ~    
1695|BD+17 2485                                                                                                                                                                     |Star                              |12 28 16.0084704432 +17 02 43.614744612|273.7578460106990 +78.5824639794850|-25.246 -36.920   |9.15     |K0             |    ~     ~    
1696|BD+17 2488                                                                                                                                                                     |Star                              |12 28 35.9467881240 +16 46 06.277470888|274.7330744337839 +78.3700603946356|   8.469 -7.045   |9.02     |M0             |    ~     ~    
1697|FAUST 3176                                                                                                                                                                     |Star                              |12 29 36.0 +18 49 36                   |270.6280 +80.2990                  |            ~ ~   |10.7     |A5             |    ~     ~    
1698|TYC 1445-95-1                                                                                                                                                                  |High Proper Motion Star           |12 29 57.3741980088 +18 14 28.473313308|272.7083466980407 +79.8288220574754| -70.603 19.178   |10.89    |~              |    ~     ~    
1699|TYC 1445-591-1                                                                                                                                                                 |Star                              |12 23 33.8736487752 +18 35 46.864385268|264.5493822713307 +79.3277539676476|   -5.138 0.405   |10.34    |~              |    ~     ~    
1700|TYC 1445-715-1                                                                                                                                                                 |Star                              |12 29 54.4016259288 +18 21 57.067325064|272.3127871906816 +79.9329179937663|  9.932 -31.984   |10.55    |~              |    ~     ~    
1701|TYC 1445-751-1                                                                                                                                                                 |Star                              |12 24 37.0051503480 +18 44 12.376539204|265.2155505552073 +79.5865379361899| -6.357 -14.163   |10.87    |~              |    ~     ~    
1702|TYC 1445-843-1                                                                                                                                                                 |Star                              |12 29 06.3056538096 +17 08 34.740717972|274.4460620232656 +78.7595576686231|   -1.044 5.528   |10.76    |~              |    ~     ~    
1703|TYC 1445-1063-1                                                                                                                                                                |High Proper Motion Star           |12 27 18.9862111968 +18 24 38.091084696|269.1805106113063 +79.6645984522819| -87.617 -6.428   |10.55    |~              |    ~     ~    
1704|TYC 1445-1292-1                                                                                                                                                                |Star                              |12 28 14.6144292480 +17 40 08.207761260|272.2310096111432 +79.1318010343076| 23.603 -26.038   |10.58    |~              |    ~     ~    
1705|GSC 01445-01337                                                                                                                                                                |Double or Multiple Star           |12 22 38.9929306896 +18 19 25.639621788|264.4576985679651 +78.9798464323008|  -9.270 -3.724   |10.956   |~              |    ~     ~    
1706|TYC 1447-380-1                                                                                                                                                                 |High Proper Motion Star           |12 28 44.7922484712 +19 13 02.796263976|268.3751778601584 +80.5285467285870| -98.983 11.869   |10.23    |~              |    ~     ~    
1707|TYC 1447-441-1                                                                                                                                                                 |Star                              |12 28 46.0942193544 +18 47 50.414975448|269.7167229655080 +80.1736188710214|   -7.562 4.836   |10.90    |~              |    ~     ~    
1708|TYC 1447-477-1                                                                                                                                                                 |Star                              |12 23 13.6597897968 +18 48 13.105996200|263.5355788420752 +79.4480796735089|   -8.706 4.181   |10.85    |~              |    ~     ~    
1709|HD 108023                                                                                                                                                                      |High Proper Motion Star           |12 24 40.3699309992 +17 51 09.973374732|267.9031926428014 +78.8589451721307|17.321 -100.425   |8.57     |F8V            |    ~     ~    
1710|NGC 4450                           NGC 4450                                                                                                                                    |LINER-type Active Galaxy Nucleus  |12 28 29.5910654016 +17 05 05.976112020|273.9114942332749 +78.6422177921835|  -0.203 -0.207   |10.08    |~              | 5.62  4.27    
1711|HD 107764                                                                                                                                                                      |Star                              |12 22 59.3160895488 +16 14 36.353868900|270.2746001781433 +77.2738148007617| 19.415 -22.333   |8.28     |K1III          |    ~     ~    
1712|HD 107967                                                                                                                                                                      |High Proper Motion Star           |12 24 22.3366423296 +16 20 33.214113456|271.3749575187468 +77.5237089516454|  -56.672 0.570   |8.95     |K0III          |    ~     ~    
1713|HD 108079                                                                                                                                                                      |Star                              |12 24 54.4458245016 +16 11 41.249420052|272.2223006966274 +77.4555851327628|  -24.876 4.335   |8.08     |K1III          |    ~     ~    
1714|BD+17 2476                                                                                                                                                                     |Spectroscopic Binary              |12 23 59.6106298752 +16 29 55.062083148|270.6515801678816 +77.6151529935159| 12.590 -46.315   |10.8     |~              |    ~     ~    
1715|HD 107907                                                                                                                                                                      |Star                              |12 23 54.6298292592 +15 37 03.955760976|272.4926504899368 +76.8336575126219| -16.895 -1.042   |8.80     |G9III          |    ~     ~    
1716|HD 107702                                                                                                                                                                      |Star                              |12 22 30.7267209696 +14 23 38.137380504|273.5921605954302 +75.5913713217300|   9.721 10.436   |10.62    |G4V            |    ~     ~    
1717|HD 107986                                                                                                                                                                      |High Proper Motion Star           |12 24 26.9311505880 +14 30 00.590068152|275.1124825316227 +75.8929535549925|-39.490 -98.432   |9.57     |G3V            |    ~     ~    
1718|HD 107887                                                                                                                                                                      |Star                              |12 23 54.4778872224 +14 08 14.699591448|275.2609820708338 +75.5090171190828|-16.257 -14.737   |10.09    |G6V            |    ~     ~    
1719|HD 107908                                                                                                                                                                      |High Proper Motion Star           |12 23 55.6411961376 +14 03 29.814312276|275.4120606910541 +75.4393855706944| -39.752 44.833   |9.44     |G4V            |    ~     ~    
1720|BD+16 2368                                                                                                                                                                     |Star                              |12 23 44.5036651296 +15 15 08.042627808|273.0712600967489 +76.4909425031576| 12.456 -17.097   |10.8     |K0             |    ~     ~    
1721|BD+16 2367                                                                                                                                                                     |Star                              |12 23 43.4630343648 +15 54 27.344327760|271.7096397046528 +77.0676504670276|  -8.082 -3.651   |10.85    |G2             |    ~     ~    
1722|BD+17 2480                                                                                                                                                                     |Spectroscopic Binary              |12 25 01.7054826384 +16 42 33.878713896|271.1803185763603 +77.9206950160998|    7.633 3.291   |10.26    |F8             |    ~     ~    
1723|HD 108284                                                                                                                                                                      |Star                              |12 26 24.1962924528 +16 21 17.875762380|273.3554341974703 +77.7644821023135|-24.281 -17.812   |9.29     |K1III          |    ~     ~    
1724|HD 108155                                                                                                                                                                      |Spectroscopic Binary              |12 25 27.4773918384 +16 10 17.078720520|272.8111948085842 +77.4969499545437|  -4.350 -9.044   |8.22     |G7III-IV       |    ~     ~    
1725|HD 108239                                                                                                                                                                      |Star                              |12 26 03.2772602736 +15 51 50.187338028|274.0382591423124 +77.2886934402547|   -1.834 9.732   |6.72     |K0II-III       |    ~     ~    
1726|HD 108332                                                                                                                                                                      |Star                              |12 26 45.6845526600 +15 45 42.270736428|274.9359224596900 +77.2718518452800|  -42.557 1.392   |9.55     |G3V            |    ~     ~    
1727|BD+16 2379                                                                                                                                                                     |High Proper Motion Star           |12 28 57.9726170568 +16 02 35.711008188|276.6080560328936 +77.7509843330736|13.763 -140.081   |10.58    |G5             |    ~     ~    
1728|BD+16 2376                                                                                                                                                                     |Star                              |12 28 00.3135579048 +15 48 53.763126264|276.0694457212154 +77.4474655317702| -3.488 -13.617   |10.99    |~              |    ~     ~    
1729|BD+16 2372                                                                                                                                                                     |Red Giant Branch star             |12 26 08.8556790552 +15 20 16.693322208|275.1579945317359 +76.8258008609735| -18.051 -6.895   |10.16    |K2             |    ~     ~    
1730|BD+16 2375                                                                                                                                                                     |Red Giant Branch star             |12 26 53.6440786944 +15 28 39.141006996|275.6138375240192 +77.0288214034772|-14.682 -17.721   |9.80     |K2             |    ~     ~    
1731|HD 108548                                                                                                                                                                      |Star                              |12 28 10.7699248824 +15 37 06.737814480|276.6156219897234 +77.2860292284039| -16.425 20.060   |8.59     |F8             |    ~     ~    
1732|HD 108559                                                                                                                                                                      |Star                              |12 28 11.7423481944 +15 15 08.930738052|277.2957261327413 +76.9528142339669|  26.537 -6.935   |8.80     |K2III-IV       |    ~     ~    
1733|BD+15 2462                                                                                                                                                                     |High Proper Motion Star           |12 25 21.2545228320 +14 39 04.580964180|275.6667633177604 +76.1228721985952|-64.304 -33.358   |10.17    |G0             |    ~     ~    
1734|HD 108301                                                                                                                                                                      |Star                              |12 26 29.9099918088 +14 34 19.210692360|276.8562071786483 +76.1649511230740| -31.255 -6.543   |8.04     |K0III          |    ~     ~    
1735|BD+15 2468                                                                                                                                                                     |Star                              |12 29 22.9390766808 +15 06 42.776616204|278.7053431569422 +76.9345642308867|  -48.298 3.617   |10.21    |F6             |    ~     ~    
1736|HD 108775                                                                                                                                                                      |Star                              |12 29 46.8245753856 +14 39 00.674774136|279.8387198347113 +76.5410824363092|  -48.371 8.499   |7.26     |K3III          |    ~     ~    
1737|HD 108348                                                                                                                                                                      |Variable Star                     |12 26 53.1905708184 +14 02 37.641963264|278.0705248764144 +75.7167856239210|-10.724 -33.043   |8.87     |K1IV           |    ~     ~    
1738|BD+14 2508                                                                                                                                                                     |Red Giant Branch star             |12 29 39.0965717880 +14 07 58.737429516|280.4918455040779 +76.0465797730866|   -4.552 1.698   |10.36    |G5             |    ~     ~    
1739|BD+15 2464                                                                                                                                                                     |Red Giant Branch star             |12 26 36.1266995088 +15 07 02.745378624|275.9990217135330 +76.6725085011139|  -50.305 1.647   |10.19    |~              |    ~     ~    
1740|BD+15 2465                                                                                                                                                                     |Star                              |12 27 19.8494249424 +14 26 12.955488468|277.8520895341554 +76.1209256529586|  -6.680 -5.290   |10.4     |~              |    ~     ~    
1741|TYC 879-126-1                                                                                                                                                                  |Star                              |12 25 07.5007684152 +14 09 06.790804416|276.3123562501742 +75.6457088537854| -4.636 -12.840   |10.88    |~              |    ~     ~    
1742|TYC 1445-341-1                                                                                                                                                                 |Red Giant Branch star             |12 27 20.9094739584 +15 06 20.563591104|276.7336707359901 +76.7361034196860| -49.251 -5.259   |10.94    |~              |    ~     ~    
1743|TYC 1445-962-1                                                                                                                                                                 |High Proper Motion Star           |12 28 33.3170092440 +16 33 55.216394028|275.1225428774613 +78.1827464898256| -9.752 -57.019   |10.62    |~              |    ~     ~    
1744|TYC 1445-1332-1                                                                                                                                                                |Star                              |12 25 51.4088603760 +16 25 18.076679292|272.6615544108718 +77.7629785278723|   3.439 -6.807   |10.85    |~              |    ~     ~    
1745|TYC 1445-1641-1                                                                                                                                                                |Star                              |12 26 08.4121843752 +16 03 15.436543752|273.7308445458950 +77.4679782708610|  -27.232 3.182   |10.98    |~              |    ~     ~    
1746|TYC 1445-1950-1                                                                                                                                                                |Star                              |12 23 34.5435778200 +15 49 46.608946716|271.7364281096243 +76.9820762258620|  3.861 -13.558   |10.47    |~              |    ~     ~    
1747|TYC 1445-2397-1                                                                                                                                                                |Star                              |12 24 55.3324545816 +16 17 54.376398672|272.0092762177898 +77.5484830052868|   5.927 -6.490   |9.84     |~              |    ~     ~    
1748|TYC 1445-2520-1                                                                                                                                                                |Star                              |12 29 13.6049221272 +15 39 22.936934340|277.6002497599230 +77.4221660554181|    5.692 1.585   |10.73    |~              |    ~     ~    
1749|M 100                              NGC 4321                           M 100                                                                                                    |Active Galaxy Nucleus             |12 22 54.9299993592 +15 49 20.296257960|271.1368029341339 +76.8989325058207|    2.189 0.260   |9.35     |~              | 7.59  6.76    
1750|HD 107855                                                                                                                                                                      |Double or Multiple Star           |12 23 32.78987 +13 55 21.2425          |275.30905743 +75.27728584          |   -93.96 -4.61   |8.94     |G4V            |    ~     ~    
1751|HD 107811                                                                                                                                                                      |Star                              |12 23 15.8800988880 +13 37 19.772172264|275.5626223142082 +74.9761340461527|  13.274 -5.221   |8.46     |F1IV           |    ~     ~    
1752|HIP 60415                                                                                                                                                                      |Star                              |12 23 14.4535118208 +13 39 42.786679104|275.4777077428815 +75.0097210494981|-33.428 -10.903   |10.43    |F2             |    ~     ~    
1753|HD 107774                                                                                                                                                                      |High Proper Motion Star           |12 23 05.0780003136 +12 41 06.643602132|276.8574376426309 +74.1038844768338| -54.193 -1.990   |9.32     |K0             |    ~     ~    
1754|BD+13 2527                                                                                                                                                                     |Star                              |12 23 14.2733436240 +13 05 54.975522588|276.3651318788853 +74.4970413228705| -27.984 -2.386   |10.7     |G5             |    ~     ~    
1755|HD 107826                                                                                                                                                                      |Star                              |12 23 21.7709598720 +12 40 05.470197996|277.1094528134305 +74.1153903668512|   -7.264 3.362   |10.08    |G5             |    ~     ~    
1756|BD+13 2529                                                                                                                                                                     |Star                              |12 23 25.1343316008 +12 51 10.441398960|276.8846971576294 +74.2902118512536| -33.902 14.526   |10.59    |F0             |    ~     ~    
1757|HD 107888                                                                                                                                                                      |High Proper Motion Star           |12 23 53.5526578728 +12 34 48.910340820|277.6693720028876 +74.0853585540528|39.663 -168.754   |10.385   |K5V            |    ~     ~    
1758|HD 108009                                                                                                                                                                      |Horizontal Branch Star            |12 24 32.3355884208 +12 52 30.138672828|277.7824603567982 +74.4182281032629|-11.519 -22.467   |10.17    |K0             |    ~     ~    
1759|HD 107827                                                                                                                                                                      |Star                              |12 23 24.3745754280 +12 25 51.548314512|277.4844094021005 +73.9016004732402|-20.027 -24.020   |10.99    |K0             |    ~     ~    
1760|HD 107865                                                                                                                                                                      |Star                              |12 23 42.5408023464 +11 55 13.760009688|278.4259396560921 +73.4587700389669| -21.637 -2.049   |8.91     |K0             |    ~     ~    
1761|HD 107752                                                                                                                                                                      |High Proper Motion Star           |12 22 52.7183284776 +11 36 25.486007148|278.1849080695920 +73.0917297410278|-46.382 -36.463   |10.07    |KIIvw          |    ~     ~    
1762|HD 107775                                                                                                                                                                      |Star                              |12 23 02.2660233504 +11 24 13.692371220|278.5708973122619 +72.9181995752381|  -9.266 -5.865   |9.57     |K0             |    ~     ~    
1763|HD 107828                                                                                                                                                                      |Star                              |12 23 22.5034755984 +11 39 55.987316676|278.4966923853790 +73.1918245439258| -38.736 14.530   |10.43    |G0             |    ~     ~    
1764|HD 107829                                                                                                                                                                      |Star                              |12 23 22.9794710280 +11 26 32.272492812|278.7896631343201 +72.9854667714651|-14.466 -14.855   |10.31    |K0             |    ~     ~    
1765|NGC 4371                           NGC 4371                                                                                                                                    |Galaxy towards a Group of Galaxies|12 24 55.4333579760 +11 42 15.144247584|279.6731202596361 +73.3671071145858|            ~ ~   |10.81    |~              |1.857 1.411    
1766|StKM 1-1013                                                                                                                                                                    |High Proper Motion Star           |12 24 21.8888145360 +13 01 40.424814408|277.4132886413789 +74.5423559547171|-104.862 14.221   |10.96    |K5             |    ~     ~    
1767|HD 108211                                                                                                                                                                      |Red Giant Branch star             |12 25 53.0620877448 +13 46 12.440917272|277.5993635881004 +75.3700836092745| -44.221 14.953   |10.02    |G8III          |    ~     ~    
1768|HD 108613                                                                                                                                                                      |Spectroscopic Binary              |12 28 33.7933780008 +13 57 02.480341356|279.7445880703006 +75.7823089588248| -15.682 -4.975   |9.71     |K5III-IV       |    ~     ~    
1769|HD 108676                                                                                                                                                                      |Star                              |12 29 05.6829355176 +13 57 01.198914156|280.2362362091391 +75.8280718318844|   -9.080 4.272   |8.76     |K5             |    ~     ~    
1770|BD+14 2503                                                                                                                                                                     |High Proper Motion Star           |12 27 58.5983711808 +13 26 44.163002940|279.9385503800717 +75.2597557079762|-44.976 -26.169   |10.17    |G0             |    ~     ~    
1771|BD+14 2506                                                                                                                                                                     |High Proper Motion Star           |12 29 06.3946374864 +13 14 58.945457220|281.2154584875254 +75.1717155247575|-12.213 -82.741   |10.95    |G5             |    ~     ~    
1772|HD 108136                                                                                                                                                                      |Star                              |12 25 18.6210187056 +13 09 34.279928352|278.0208063849693 +74.7532271179090|   -5.186 8.261   |10.18    |F8             |    ~     ~    
1773|HD 108450                                                                                                                                                                      |Star                              |12 27 30.7593555768 +12 45 09.062103420|280.4725666572588 +74.5714062609911|  7.959 -14.666   |10.45    |K5             |    ~     ~    
1774|HD 108469                                                                                                                                                                      |High Proper Motion Star           |12 27 39.6144534648 +12 13 08.838955128|281.2738126625410 +74.0825630838730|104.990 -25.948   |9.16     |G5             |    ~     ~    
1775|HD 108577                                                                                                                                                                      |High Proper Motion Star           |12 28 16.8614710944 +12 20 41.089853184|281.6442982389616 +74.2515617404179|-79.307 -45.807   |9.55     |KIIvw          |    ~     ~    
1776|BD+13 2540                                                                                                                                                                     |Star                              |12 28 47.8798002072 +13 05 16.591317720|281.1537131214401 +74.9940704327855|  3.959 -24.024   |9.35     |F8             |    ~     ~    
1777|BD+13 2543                                                                                                                                                                     |Spectroscopic Binary              |12 29 51.9457828560 +12 48 28.407205188|282.4510182552465 +74.8152594687682| -19.342 13.377   |10.64    |A2             |    ~     ~    
1778|HD 108092                                                                                                                                                                      |Star                              |12 25 05.0589748176 +11 56 15.070886412|279.5062655158157 +73.5988954728415| -12.632 -3.608   |9.94     |K0             |    ~     ~    
1779|HD 108137                                                                                                                                                                      |Star                              |12 25 20.7812610096 +11 54 35.497651284|279.7532897895065 +73.5961522324376|-17.324 -19.604   |8.78     |G0             |    ~     ~    
1780|HD 108272                                                                                                                                                                      |Star                              |12 26 23.7903761160 +12 09 50.931835776|280.2897893767318 +73.9249117371108|-32.692 -17.203   |10.86    |K0             |    ~     ~    
1781|HD 108383                                                                                                                                                                      |Star                              |12 27 03.9532170144 +11 48 40.506065784|281.2740959516373 +73.6495737171559| -24.503 10.295   |9.96     |K2             |    ~     ~    
1782|HD 108422                                                                                                                                                                      |High Proper Motion Star           |12 27 25.9339 +12 11 26.767            |281.1176427 +74.0370829            |    113.2 -26.7   |10.42    |G5             |    ~     ~    
1783|HD 108451                                                                                                                                                                      |High Proper Motion Star           |12 27 34.7492445144 +12 05 56.979860964|281.3521724196832 +73.9629048046218|-49.751 -12.544   |8.14     |G0             |    ~     ~    
1784|HD 108560                                                                                                                                                                      |High Proper Motion Star           |12 28 14.8590138432 +11 49 35.577293304|282.2295846005343 +73.7590251272647|  -53.947 0.262   |7.90     |K0             |    ~     ~    
1785|HD 108594                                                                                                                                                                      |Star                              |12 28 30.1459653840 +11 46 02.560556244|282.5081093852339 +73.7228631065890|  -1.445 11.804   |9.83     |G5             |    ~     ~    
1786|HD 108614                                                                                                                                                                      |Star                              |12 28 34.4150932320 +12 07 02.770606740|282.1637948147246 +74.0600844181530| 16.684 -22.379   |8.00     |K0             |    ~     ~    
1787|BD+12 2479                                                                                                                                                                     |High Proper Motion Star           |12 29 48.5843228256 +11 43 33.538193508|283.6415932730874 +73.7822947943892|-70.812 -37.845   |9.61     |K0             |    ~     ~    
1788|BD+12 2480                                                                                                                                                                     |Star                              |12 29 56.9580949440 +11 49 38.121453048|283.6493887961216 +73.8891507192427| -20.529 -7.711   |9.60     |M0             |    ~     ~    
1789|BD+12 2481                                                                                                                                                                     |High Proper Motion Star           |12 29 54.7039614672 +11 57 13.592766996|283.4796911901232 +74.0070066142798|-129.946 -26.867  |9.20     |F8             |    ~     ~    
1790|BD+12 2464                                                                                                                                                                     |Star                              |12 25 08.2642418400 +11 20 29.715635508|280.2872339804760 +73.0465467410194|  -10.398 3.515   |10.65    |K0             |    ~     ~    
1791|BD+12 2469                                                                                                                                                                     |Star                              |12 27 27.6393270648 +11 34 41.814421788|281.8686799533342 +73.4617296991950| -24.609 -7.661   |10.93    |K0             |    ~     ~    
1792|HD 108452                                                                                                                                                                      |delta Sct Variable                |12 27 32.7713227704 +11 16 48.635083236|282.2736939832444 +73.1864126380620|  -6.413 -1.799   |10.8     |~              |    ~     ~    
1793|HD 108549                                                                                                                                                                      |High Proper Motion Star           |12 28 08.2984053936 +11 41 46.901948100|282.2881193947913 +73.6271354446520| -86.698 40.237   |10.41    |G5             |    ~     ~    
1794|HD 108737                                                                                                                                                                      |Star                              |12 29 32.3132057304 +11 29 33.207000036|283.6653059385967 +73.5396982404174| -17.009 25.076   |8.51     |F0             |    ~     ~    
1795|NGC 4435                           NGC 4435                                                                                                                                    |Galaxy towards a Group of Galaxies|12 27 40.503 +13 04 44.48              |280.178096 +74.891028              |            ~ ~   |10.80    |~              |2.810 2.226    
1796|M 86                               NGC 4406                           NAME FAUST V051                    M 86                                                                  |Galaxy towards a Group of Galaxies|12 26 11.814 +12 56 45.49              |279.083509 +74.636861              |            ~ ~   |8.90     |~              |10.47  7.59    
1797|IRAS F12241+1335                                                                                                                                                               |Long-Period Variable              |12 26 40.4588280192 +13 18 37.511523648|278.9804854584199 +75.0184464477997| -14.061 -0.356   |10.60    |~              |    ~     ~    
1798|NGC 4438                           NAME Eyes                          NGC 4438                                                                                                 |LINER-type Active Galaxy Nucleus  |12 27 45.6705493536 +13 00 31.708096380|280.3479411026975 +74.8326954980645|            ~ ~   |10.17    |~              | 8.91  5.01    
1799|ClG 1222.5+1310                                                                                                                                                                |Cluster of Galaxies               |12 25 00.0 +12 53 00                   |278.1572 +74.4692                  |            ~ ~   |9.40     |~              |    ~     ~    
1800|FAUST 3182                                                                                                                                                                     |Star                              |12 29 56.2 +12 49 28                   |282.4934 +74.8365                  |            ~ ~   |10.4     |A2             |    ~     ~    
1801|TYC 877-249-1                                                                                                                                                                  |Star                              |12 29 39.5335384560 +12 13 41.382248700|282.9565722140071 +74.2491658486899| -30.480 -2.690   |10.70    |~              |    ~     ~    
1802|TYC 877-865-1                                                                                                                                                                  |Star                              |12 29 15.8568979440 +11 52 32.380808736|283.0210695802872 +73.8841301006852|   8.120 -2.906   |10.87    |~              |    ~     ~    
