C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:47:02

Vmag< 11&dec >=0&rah >=13.75&rah< 14.0
--------------------------------------

Number of objects : 2104

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------
1701|BD+16 2580                                                                                               |High Proper Motion Star        |13 55 53.7252559056 +15 50 40.511725080|359.1788209688231 +71.2679915870425|-29.810 -40.013    |9.80     |G0               |    ~     ~    
1702|BD+16 2581                                                                                               |High Proper Motion Star        |13 55 58.2032697552 +16 00 09.959041620|359.5952460661613 +71.3548169203438|-114.684 -23.097   |9.78     |G0               |    ~     ~    
1703|HD 121683                                                                                                |High Proper Motion Star        |13 56 36.9538931640 +15 53 27.950120052|359.6326825710021 +71.1639581574944| -53.380 56.719    |6.820    |K0               |    ~     ~    
1704|HD 121880                                                                                                |High Proper Motion Star        |13 57 52.1210809392 +16 12 07.519530456|000.9660836739199 +71.1238725866875| 16.567 -48.942    |7.583    |A0V              |    ~     ~    
1705|BD+16 2584                                                                                               |Star                           |13 56 55.5080092728 +16 01 10.176505968|000.0867300930437 +71.1873364601641|  -15.702 1.076    |10.49    |~                |    ~     ~    
1706|BD+17 2683                                                                                               |Star                           |13 57 05.0514053544 +17 03 07.740716076|002.7344151033850 +71.7885276654402|   -9.057 2.199    |9.83     |~                |    ~     ~    
1707|BD+16 2597                                                                                               |Star                           |13 59 32.4 +15 50 42                   |000.8696 +70.5874                  |            ~ ~    |10.82    |~                |    ~     ~    
1708|HD 121801                                                                                                |Star                           |13 57 24.5723881656 +15 43 43.729554504|359.6192802170057 +70.9134356532844| -35.092 -4.853    |8.58     |F8               |    ~     ~    
1709|HD 122038                                                                                                |Star                           |13 59 00.3858040872 +15 32 55.175109468|359.9345392765309 +70.5018479278893|-40.155 -15.679    |8.11     |F2               |    ~     ~    
1710|HD 121512                                                                                                |High Proper Motion Star        |13 55 30.4749042144 +15 10 33.895805232|357.4241891267660 +70.9044249173097|  9.201 -66.247    |9.07     |G5               |    ~     ~    
1711|BD+15 2648                                                                                               |Star                           |13 57 11.5689294384 +15 01 49.538300160|357.9027644371927 +70.5024405335238|  5.221 -12.480    |10.06    |G5               |    ~     ~    
1712|BD+15 2649                                                                                               |High Proper Motion Star        |13 57 16.5897370056 +15 12 35.257941648|358.3502261392828 +70.6043603381536|-35.813 -35.268    |9.12     |F2               |    ~     ~    
1713|TYC 1467-134-1                                                                                           |Star                           |13 57 26.8973593776 +16 37 23.761921620|001.8120138400638 +71.4614346550577|  -12.324 5.437    |10.39    |~                |    ~     ~    
1714|TYC 1467-298-1                                                                                           |High Proper Motion Star        |13 59 14.5154131584 +16 09 54.047271960|001.4987316382613 +70.8411065475319| -66.931 27.900    |10.98    |~                |    ~     ~    
1715|TYC 1467-534-1                                                                                           |Star                           |13 56 26.2632631248 +17 04 40.947189096|002.5059894756373 +71.9281072465836| -8.330 -13.950    |10.76    |~                |    ~     ~    
1716|TYC 1467-538-1                                                                                           |Star                           |13 54 29.6588888712 +17 04 11.923159620|001.5756895842898 +72.2943293870239|  -0.651 -1.438    |10.81    |~                |    ~     ~    
1717|TYC 1467-607-1                                                                                           |Star                           |13 57 56.9820679920 +16 36 37.602825120|002.0081012836003 +71.3580664374643|-19.810 -28.062    |10.59    |~                |    ~     ~    
1718|TYC 1467-657-1                                                                                           |High Proper Motion Star        |13 56 09.2642056008 +16 58 18.760639728|002.1012667175692 +71.9187835980330| 19.167 -76.383    |10.42    |~                |    ~     ~    
1719|TYC 1467-702-1                                                                                           |Star                           |13 57 58.6146151344 +15 30 56.845619280|359.3841969403368 +70.6724829545144| -25.756 -1.680    |10.29    |~                |    ~     ~    
1720|TYC 1467-797-1                                                                                           |Star                           |13 57 43.9605373896 +15 41 07.185384132|359.6673344524838 +70.8257392842300| 10.767 -11.084    |10.41    |~                |    ~     ~    
1721|TYC 1467-843-1                                                                                           |High Proper Motion Star        |13 55 21.0397491360 +16 34 05.520122940|000.6960588660516 +71.8248864314912| -136.453 9.143    |10.63    |~                |    ~     ~    
1722|TYC 1467-859-1                                                                                           |Star                           |13 57 19.5434455584 +16 51 40.710526524|002.3561380653534 +71.6283350519816| -27.344 -4.241    |10.87    |~                |    ~     ~    
1723|TYC 1467-935-1                                                                                           |High Proper Motion Star        |13 58 39.3202403040 +15 23 46.001077332|359.4209775959135 +70.4702533350158| -2.676 -53.047    |10.06    |~                |    ~     ~    
1724|TYC 1467-976-1                                                                                           |Star                           |13 53 50.0000568336 +15 34 24.859655616|357.5256098488700 +71.4699968079520|  -24.922 2.306    |10.98    |~                |    ~     ~    
1725|TYC 1467-1066-1                                                                                          |Star                           |13 52 34.9599247800 +15 35 48.380341524|356.9503618102725 +71.7113296844882|-19.559 -12.512    |10.64    |~                |    ~     ~    
1726|TYC 1467-1113-1                                                                                          |Star                           |13 52 52.2307628352 +16 33 45.774884916|359.4752493125876 +72.2850754953962|-10.872 -34.116    |10.92    |~                |    ~     ~    
1727|TYC 1467-1132-1                                                                                          |High Proper Motion Star        |13 53 04.0041753720 +15 19 56.317768032|356.5725058323182 +71.4481012335354|-89.457 -20.628    |10.17    |~                |    ~     ~    
1728|TYC 1467-1230-1                                                                                          |Star                           |13 53 53.9620591704 +15 01 11.811321516|356.2715216888602 +71.0895076157833| 29.162 -37.738    |10.80    |~                |    ~     ~    
1729|TYC 1467-1314-1                                                                                          |Star                           |13 55 01.1467159272 +15 45 48.149983476|358.5615531307338 +71.3773367385649| -7.106 -23.440    |10.54    |~                |    ~     ~    
1730|BD+15 2639                                                                                               |Star                           |13 52 52.6767223512 +14 53 52.976642856|355.4769794919240 +71.1882363003790| 28.808 -14.605    |10.12    |G0               |    ~     ~    
1731|HD 121108                                                                                                |Star                           |13 53 13.9964835576 +14 41 31.574799960|355.1948586004547 +70.9846985245264| 38.653 -14.603    |8.82     |G0               |    ~     ~    
1732|BD+14 2677                                                                                               |Star                           |13 53 30.0179363736 +14 15 15.392290680|354.3679403647411 +70.6354152568123| 25.946 -10.853    |10.38    |F8               |    ~     ~    
1733|HD 121248                                                                                                |Star                           |13 54 01.3093543416 +13 50 04.809313572|353.7371673793670 +70.2513704845570|-38.497 -11.332    |7.85     |A9IIIpEuSrCr     |    ~     ~    
1734|BD+13 2718                                                                                               |High Proper Motion Star        |13 52 59.4985925160 +13 03 07.553263860|351.6090130568344 +69.8660853043064|-79.734 121.835    |9.26     |G0               |    ~     ~    
1735|HD 121109                                                                                                |High Proper Motion Star        |13 53 15.9547255464 +12 44 30.314670684|351.1378862999485 +69.5937963597210|-55.486 -23.195    |7.19     |A3               |    ~     ~    
1736|BD+13 2721                                                                                               |Double or Multiple Star        |13 53 27.5608262898 +12 56 32.580613915|351.6310568444487 +69.7080997656189|-171.758 -604.269  |9.767    |K7V              |    ~     ~    
1737|HD 121198                                                                                                |High Proper Motion Star        |13 53 44.4943074240 +12 40 48.408847104|351.2608354321006 +69.4696704694978| 35.194 -60.076    |8.550    |F8               |    ~     ~    
1738|BD+13 2724                                                                                               |High Proper Motion Star        |13 54 10.6451325144 +12 53 49.563653424|351.9067250370824 +69.5549323319593|-103.850 28.838    |9.74     |G5               |    ~     ~    
1739|BD+13 2725                                                                                               |Star                           |13 54 14.8684658904 +12 52 36.246040644|351.9021746357272 +69.5283521948229| -9.678 -12.522    |9.57     |K0               |    ~     ~    
1740|BD+13 2722                                                                                               |Double or Multiple Star        |13 53 05.005704 +12 50 20.11020        |351.234425013 +69.695249543        |       20.4 7.3    |10.74    |~                |    ~     ~    
1741|BD+15 2645                                                                                               |Star                           |13 56 48.3378121392 +14 42 08.280085788|356.9835175839680 +70.3554528276560|  -18.195 8.048    |10.12    |F5               |    ~     ~    
1742|HD 121980                                                                                                |High Proper Motion Star        |13 58 39.9070747488 +14 38 57.385659120|357.7458397560995 +69.9837337473415|-62.994 -59.185    |5.999    |K5III            |    ~     ~    
1743|BD+15 2646B                                                                                              |Star                           |13 56 49.7391631816 +14 25 38.947062028|356.3912877780288 +70.1669056771866| -32.435 -1.606    |10.65    |G5               |    ~     ~    
1744|HD 121712                                                                                                |Star                           |13 56 49.1810273928 +14 25 58.570436064|356.3986748793374 +70.1722447005944|      -31.7 1.3    |9.32     |G5               |    ~     ~    
1745|BD+15 2647                                                                                               |Star                           |13 57 06.1070950848 +14 23 15.615390300|356.4358219729312 +70.0912796889071| -5.306 -13.922    |9.40     |F5               |    ~     ~    
1746|BD+15 2650                                                                                               |Star                           |13 57 47.7311998296 +14 26 23.297870220|356.8796271314532 +70.0018584098000|-44.529 -21.606    |10.83    |F5               |    ~     ~    
1747|HD 122021                                                                                                |High Proper Motion Star        |13 58 50.7072843624 +14 33 46.222251876|357.6403586030898 +69.8939672484549| -75.373 22.101    |7.36     |K0               |    ~     ~    
1748|BD+15 2654                                                                                               |High Proper Motion Star        |13 59 05.7094963320 +14 23 11.461311852|357.3738602076196 +69.7318085230397|-54.387 -67.285    |9.12     |K0               |    ~     ~    
1749|BD+14 2682                                                                                               |Star                           |13 57 12.5370698496 +13 53 21.104952000|355.4234872119928 +69.7331291752900|  2.996 -22.621    |10.64    |F8               |    ~     ~    
1750|HD 121561                                                                                                |Star                           |13 55 58.6362633432 +13 44 57.801709752|354.5326551820032 +69.8525857022363|-18.511 -21.824    |8.15     |K5               |    ~     ~    
1751|BD+14 2683                                                                                               |Star                           |13 57 45.4982765544 +13 23 12.795146664|354.6498861749690 +69.2894904887712|-23.161 -23.192    |10.26    |F8               |    ~     ~    
1752|BD+14 2684                                                                                               |Star                           |13 58 39.6574344336 +13 29 48.694842708|355.3027389630474 +69.2072771391208|  0.718 -19.109    |10.68    |K0               |    ~     ~    
1753|BD+13 2729                                                                                               |Star                           |13 55 53.2305924552 +13 13 20.509733352|353.4085276123128 +69.4979088306505|  38.701 -1.353    |10.38    |G5               |    ~     ~    
1754|BD+13 2730                                                                                               |Star                           |13 56 27.9270666216 +13 10 03.397938816|353.5822074374096 +69.3597607907015|   1.040 -5.945    |9.79     |F0               |    ~     ~    
1755|BD+13 2731                                                                                               |Double or Multiple Star        |13 57 03.75587 +12 27 03.2333          |352.46929551 +68.74608173          |   -26.64 16.57    |9.92     |F8               |    ~     ~    
1756|BD+13 2733                                                                                               |Spectroscopic Binary           |13 57 49.5185476056 +12 38 23.963389764|353.2011566999816 +68.7517760260390| 74.566 -25.694    |9.34     |G5               |    ~     ~    
1757|BD+13 2734                                                                                               |High Proper Motion Star        |13 58 32.3575117848 +13 07 16.699443132|354.4873277369014 +68.9680913824472|-57.997 -76.789    |9.73     |G0               |    ~     ~    
1758|BD+13 2735                                                                                               |Star                           |13 58 42.1597380528 +13 06 03.029121180|354.5238602651646 +68.9253266298021|  -19.459 0.298    |10.59    |F8               |    ~     ~    
1759|HD 122152                                                                                                |High Proper Motion Star        |13 59 48.6714179640 +12 31 20.952360012|353.9141806850332 +68.3268651663643|  -56.095 1.714    |8.87     |G0               |    ~     ~    
1760|V* UY Boo                                                                                                |RR Lyrae Variable              |13 58 46.3367502960 +12 57 06.457864896|354.2613744586192 +68.8089346988518|  2.412 -46.686    |10.81    |kA0hA8           |    ~     ~    
1761|TYC 904-85-1                                                                                             |Star                           |13 59 05.4201204072 +12 28 49.593555192|353.4956032889926 +68.4213404877406| 43.634 -23.129    |10.78    |~                |    ~     ~    
1762|TYC 906-56-1                                                                                             |Star                           |13 54 17.7792057456 +14 13 50.369072844|354.7192033317950 +70.4801936188986|  -37.758 5.962    |10.67    |~                |    ~     ~    
1763|TYC 906-97-1                                                                                             |Star                           |13 55 18.2969486856 +12 45 44.276719464|352.2077227241863 +69.2676899954249|-13.020 -21.392    |10.01    |~                |    ~     ~    
1764|TYC 906-115-1                                                                                            |High Proper Motion Star        |13 57 13.3752185664 +12 45 00.872593776|353.1251520698421 +68.9334000438216|-57.509 -47.281    |10.56    |~                |    ~     ~    
1765|TYC 906-125-1                                                                                            |Star                           |13 57 15.8191287624 +13 08 25.817309736|353.9155727578599 +69.2029687853302|   6.990 13.160    |10.18    |~                |    ~     ~    
1766|TYC 906-166-1                                                                                            |Star                           |13 54 21.0043434720 +12 59 44.772575964|352.1891444205464 +69.5972680810043| -15.480 -2.709    |10.50    |~                |    ~     ~    
1767|TYC 906-446-1                                                                                            |Star                           |13 54 02.7101408088 +12 45 12.624446268|351.5579919398454 +69.4726983655676|   -7.369 1.601    |10.98    |~                |    ~     ~    
1768|TYC 906-888-1                                                                                            |Spectroscopic Binary           |13 53 23.4214222632 +14 51 36.181682424|355.6518556469839 +71.0717315765439| -14.214 12.649    |10.55    |~                |    ~     ~    
1769|TYC 906-917-1                                                                                            |Star                           |13 53 51.7461708840 +14 49 29.079996132|355.8106907027104 +70.9640654962569|   -8.582 3.458    |9.94     |~                |    ~     ~    
1770|TYC 907-313-1                                                                                            |Star                           |13 58 48.7185587496 +14 22 48.062176788|357.2280281757924 +69.7786970950167|-33.833 -28.911    |10.63    |~                |    ~     ~    
1771|GSC 00907-00927                                                                                          |Double or Multiple Star        |13 59 16.9843506576 +12 38 16.384622784|353.8891410996025 +68.4995979509606|  1.155 -22.876    |10.517   |~                |    ~     ~    
1772|BD+12 2638                                                                                               |Star                           |13 53 44.9668927056 +12 15 57.205023408|350.4712558496035 +69.1633800972005|-33.005 -12.648    |10.64    |G0               |    ~     ~    
1773|V* DO Boo                                                                                                |Long-Period Variable Candidate |13 54 37.4640922200 +12 16 14.863204956|350.9228181439295 +69.0228652634185|  -20.875 6.827    |9.18     |M5               |    ~     ~    
1774|BD+11 2608                                                                                               |Variable Star                  |13 53 55.8016553688 +11 03 49.740363468|348.3816481945020 +68.2301453062934|-29.077 -18.040    |8.98     |M0               |    ~     ~    
1775|HD 121215                                                                                                |Double or Multiple Star        |13 53 56.7789192024 +10 08 19.934274588|346.8266050868879 +67.5142204362532|  -23.307 5.530    |7.81     |F0               |0.0067  0.0    
1776|HD 121214                                                                                                |Star                           |13 53 57.4336706712 +10 14 07.995443208|346.9910509488378 +67.5877845886443|  27.466 -7.595    |8.08     |F0               |    ~     ~    
1777|TYC 903-937-1                                                                                            |Star                           |13 54 01.2742640088 +10 09 32.154934968|346.8970588458331 +67.5182789443008|   -9.903 4.256    |10.43    |~                |    ~     ~    
1778|HD 121493                                                                                                |Star                           |13 55 28.7348948712 +12 06 58.808009880|351.0589371562409 +68.7678030288932|-32.659 -20.925    |8.60     |F5               |    ~     ~    
1779|TYC 903-385-1                                                                                            |Star                           |13 56 06.8176715856 +11 50 51.154827792|350.8737486420159 +68.4648442812743|-10.847 -23.523    |10.75    |K0               |    ~     ~    
1780|AG+12 1525                                                                                               |Star                           |13 57 11.7179169288 +11 51 02.073314124|351.4072362860728 +68.2876358630003| -13.121 -3.771    |10.59    |~                |    ~     ~    
1781|AG+12 1526                                                                                               |Star                           |13 57 12.6966682104 +11 50 48.245335620|351.4080695536060 +68.2821051281161|    0.955 0.677    |10.71    |~                |    ~     ~    
1782|HD 121845                                                                                                |Star                           |13 57 45.4376353272 +11 57 44.485879356|351.8848892096477 +68.2752741331683|  -42.287 1.700    |7.73     |A5               |    ~     ~    
1783|BD+12 2646                                                                                               |Double or Multiple Star        |13 58 24.28935 +11 19 43.1699          |351.04336572 +67.70320703          |   -47.47 -9.07    |10.133   |G5               |0.0033  0.0    
1784|BD+11 2610                                                                                               |Star                           |13 55 04.3878191184 +11 08 40.797353580|349.0959304179051 +68.1092057307143| -8.664 -14.989    |8.75     |K5               |    ~     ~    
1785|BD+11 2611                                                                                               |Star                           |13 56 11.2869520320 +11 13 53.888214540|349.7998492259403 +67.9946756451909|-21.036 -19.124    |10.05    |F8               |    ~     ~    
1786|BD+11 2612                                                                                               |Star                           |13 56 23.0439132672 +10 23 59.843691888|348.4643701633534 +67.3340036573027|  -38.081 4.674    |10.48    |G5               |    ~     ~    
1787|HD 121754                                                                                                |Star                           |13 57 12.1327025928 +10 18 24.925320000|348.7052905792887 +67.1328885431101|   0.992 12.886    |8.910    |F0               |    ~     ~    
1788|BD+11 2614                                                                                               |Star                           |13 57 42.2816597280 +11 09 06.893049168|350.3954371703649 +67.6877070005452|   8.264 -6.761    |10.64    |G0               |    ~     ~    
1789|BD+11 2616                                                                                               |High Proper Motion Star        |13 58 43.4143434360 +10 58 34.387275612|350.5739449715385 +67.3898639116086|-26.800 -85.210    |9.74     |K0               |    ~     ~    
1790|HD 121923                                                                                                |High Proper Motion Star        |13 58 20.21798 +10 08 04.5438          |348.96194178 +66.82053128          |  -62.38 -39.56    |8.01     |F5               |    ~     ~    
1791|BD+10 2614                                                                                               |Star                           |13 59 14.7082044408 +09 55 29.430043824|349.0457394471652 +66.5157691207893|  -14.499 6.578    |9.52     |K5               |    ~     ~    
1792|TYC 903-20-1                                                                                             |Star                           |13 55 21.3682466184 +10 04 43.320912312|347.4285174818427 +67.2488294464650|-11.734 -19.384    |10.45    |~                |    ~     ~    
1793|TYC 903-60-1                                                                                             |High Proper Motion Star        |13 55 19.4026173864 +10 52 46.936238664|348.7590845258712 +67.8682946788454|-38.025 -32.855    |10.58    |~                |    ~     ~    
1794|TYC 903-116-1                                                                                            |Star                           |13 57 05.6075146008 +10 57 37.749837168|349.7657176284197 +67.6444095028448| 19.758 -17.037    |10.43    |~                |    ~     ~    
1795|TYC 903-220-1                                                                                            |Star                           |13 55 29.8838135736 +11 08 56.208954516|349.3142653627047 +68.0441152747565| -20.864 -8.529    |10.57    |~                |    ~     ~    
1796|TYC 903-277-1                                                                                            |Star                           |13 54 28.4714565960 +12 04 31.721909340|350.4806470191267 +68.9032966686047|  -4.248 11.112    |10.12    |~                |    ~     ~    
1797|TYC 903-340-1                                                                                            |Star                           |13 57 00.4425883800 +11 45 30.149728308|351.1469154405061 +68.2512163000172|-19.348 -10.187    |10.51    |~                |    ~     ~    
1798|TYC 903-367-1                                                                                            |High Proper Motion Star        |13 56 20.3837273040 +11 48 04.207848228|350.8995712175495 +68.3932805024133| -59.356 -4.470    |10.90    |~                |    ~     ~    
1799|TYC 903-417-1                                                                                            |High Proper Motion Star        |13 55 48.3781805928 +11 55 05.960618724|350.8527882706250 +68.5678177706760|-55.256 -34.949    |10.66    |~                |    ~     ~    
1800|TYC 903-564-1                                                                                            |Star                           |13 53 22.2324306048 +10 58 59.332986696|347.9581129939661 +68.2568068780107|  -0.633 -9.021    |10.93    |~                |    ~     ~    
1801|TYC 903-673-1                                                                                            |Star                           |13 52 39.7490409936 +10 36 04.845675492|346.9449519095067 +68.0723947346285|  -15.926 5.078    |10.94    |~                |    ~     ~    
1802|TYC 903-1153-1                                                                                           |High Proper Motion Star        |13 53 09.1631541456 +12 19 32.702109924|350.2796995844723 +69.3055661013405|-45.096 -27.227    |10.48    |~                |    ~     ~    
1803|TYC 903-1176-1                                                                                           |High Proper Motion Star        |13 52 47.6067124922 +11 50 10.549513772|349.1825360100567 +68.9975873059240| -53.196 26.691    |10.28    |~                |    ~     ~    
1804|TYC 904-235-1                                                                                            |Star                           |13 58 44.6882209968 +12 09 36.357449040|352.7251122674959 +68.2515078135064| -6.187 -36.519    |10.88    |~                |    ~     ~    
1805|TYC 904-412-1                                                                                            |Star                           |13 58 06.4549934304 +12 06 39.823939872|352.3297966717748 +68.3241285703464|-44.064 -21.063    |10.40    |~                |    ~     ~    
1806|TYC 904-663-1                                                                                            |High Proper Motion Star        |13 57 52.0607367672 +10 17 55.613955408|349.0111032118612 +67.0203238493289| 54.177 -61.173    |10.34    |~                |    ~     ~    
1807|TYC 904-1087-1                                                                                           |Star                           |13 59 23.7419594208 +10 39 54.034062660|350.3537870818525 +67.0480687519587| -2.970 -23.977    |10.96    |~                |    ~     ~    
1808|BD+10 2602                                                                                               |Star                           |13 53 49.1794415520 +09 38 07.306248192|345.9515510061519 +67.1390906727970|   4.235 -1.128    |9.66     |M0               |    ~     ~    
1809|BD+09 2819                                                                                               |High Proper Motion Star        |13 53 04.2017518848 +08 35 58.604052660|343.9913756327340 +66.4249190093089|-21.377 -80.452    |9.78     |F8               |    ~     ~    
1810|HD 121132                                                                                                |Star                           |13 53 26.0904893064 +09 07 40.368703476|344.9683954841565 +66.7947272704531|   5.717 -4.968    |8.77     |K5               |    ~     ~    
1811|HD 121150                                                                                                |Star                           |13 53 38.9538741936 +08 31 50.098609092|344.1770917338395 +66.2844943897530| -40.259 13.727    |8.99     |F8               |    ~     ~    
1812|BD+09 2825                                                                                               |Star                           |13 54 57.3937996272 +09 10 53.314160664|345.8044228952398 +66.6087135924960| 15.478 -17.835    |10.26    |G0               |    ~     ~    
1813|BD+08 2779                                                                                               |Star                           |13 53 09.5290328088 +07 55 19.925294376|343.0553083664366 +65.8627245235517|-37.384 -25.922    |10.12    |G0               |    ~     ~    
1814|BD+08 2783                                                                                               |Star                           |13 54 35.0931144864 +07 56 19.548528900|343.7775606469450 +65.6701715525823|   10.262 2.781    |10.91    |F8               |    ~     ~    
1815|HD 121321                                                                                                |Star                           |13 54 43.6101807648 +08 14 06.613326492|344.2735517331099 +65.8885472289284|  -15.875 5.936    |9.44     |G0               |    ~     ~    
1816|HD 121268                                                                                                |Star                           |13 54 22.9565742960 +07 32 34.343326716|343.1217549460016 +65.3779079848595|-31.501 -24.397    |7.82     |F8               |    ~     ~    
1817|HD 121345                                                                                                |Star                           |13 54 49.3218569712 +07 40 34.515098112|343.5209261997511 +65.4230366993210| -12.737 12.024    |8.24     |K5               |    ~     ~    
1818|BD+10 2608                                                                                               |High Proper Motion Star        |13 56 28.4773954128 +09 40 23.380432248|347.3180717538042 +66.7604769089520| 61.011 -31.736    |10.02    |F8               |    ~     ~    
1819|BD+10 2609                                                                                               |High Proper Motion Star        |13 57 16.5690087984 +09 34 57.833108184|347.5597835311950 +66.5654409770534| -84.528 -1.261    |10.38    |G5               |    ~     ~    
1820|HD 121967                                                                                                |High Proper Motion Star        |13 58 40.3421063616 +09 18 37.643704740|347.7917193560072 +66.1364478794200| -65.545 49.401    |8.81     |A2               |    ~     ~    
1821|HD 122022                                                                                                |Star                           |13 59 05.5903016880 +09 31 28.734551184|348.3285119081975 +66.2347934127050| -25.409 12.263    |8.78     |K5               |    ~     ~    
1822|BD+09 2826                                                                                               |Star                           |13 55 06.1995362904 +09 14 30.999106536|345.9700623460777 +66.6341717768973|  -11.370 0.368    |9.41     |K0               |    ~     ~    
1823|BD+09 2827                                                                                               |Star                           |13 55 38.8749434856 +08 25 41.746827720|345.0035171121829 +65.9068990649401| -17.271 -8.934    |9.26     |K2               |    ~     ~    
1824|HD 121562                                                                                                |High Proper Motion Star        |13 56 03.1510704096 +08 49 23.158771968|345.7897657905805 +66.1596804825052|-25.327 -71.739    |9.17     |F8               |    ~     ~    
1825|HD 121587                                                                                                |High Proper Motion Star        |13 56 15.7481500824 +08 35 59.205251904|345.5547191965641 +65.9512005233319|-75.550 -38.013    |8.93     |F8               |    ~     ~    
1826|HD 122082                                                                                                |Star                           |13 59 29.7149776536 +08 56 18.193956468|347.5975127028444 +65.7200132794607| -22.324 14.691    |9.10     |K0               |    ~     ~    
1827|HD 121477                                                                                                |High Proper Motion Star        |13 55 31.5668731776 +08 07 58.232268732|344.5125061088003 +65.6885806380527|  4.458 -82.488    |9.47     |K0               |    ~     ~    
1828|HD 121494                                                                                                |High Proper Motion Star        |13 55 39.6472739856 +07 56 14.128322496|344.2955336606299 +65.5115753064310| -38.771 33.784    |9.10     |G5               |    ~     ~    
1829|BD+08 2801                                                                                               |High Proper Motion Star        |13 59 07.6839528192 +08 09 04.667068728|346.2432996776957 +65.1623349267746|  3.582 -52.482    |10.97    |F8               |    ~     ~    
1830|HD 121478                                                                                                |High Proper Motion Star        |13 55 27.6725814 +07 44 42.219878      |343.9260092945 +65.3858440305      |   -188.5 -44.1    |9.443    |G5               |    ~     ~    
1831|HD 121534                                                                                                |Star                           |13 55 53.8166018760 +07 28 58.658877192|343.7664586420229 +65.1103584768002| 21.473 -12.125    |8.50     |G0               |    ~     ~    
1832|HD 121860                                                                                                |Variable Star                  |13 58 01.6984852032 +07 27 47.990546316|344.7438251215505 +64.7814083861046| -36.152 -1.669    |7.37     |M2III            |    ~     ~    
1833|TYC 315-547-1                                                                                            |Star                           |13 58 55.7083052880 +07 26 25.875311208|345.1293009404193 +64.6291430190271|    2.901 3.130    |10.67    |~                |    ~     ~    
1834|TYC 900-250-1                                                                                            |Star                           |13 55 33.5069213616 +09 28 47.840049120|346.5652837974604 +66.7516072865164|-19.233 -14.941    |10.08    |~                |    ~     ~    
1835|TYC 900-264-1                                                                                            |Star                           |13 55 30.6427368024 +09 31 08.423054076|346.6036090091998 +66.7894889116731|  1.801 -10.353    |10.22    |~                |    ~     ~    
1836|TYC 900-329-1                                                                                            |High Proper Motion Star        |13 53 22.6653297528 +09 23 04.120252908|345.3361566690838 +67.0073877668049|-116.452 -57.084   |10.98    |~                |    ~     ~    
1837|TYC 900-590-1                                                                                            |Spectroscopic Binary           |13 54 02.2086583056 +08 36 10.236385692|344.4754686195394 +66.2855427897823| -57.362 17.336    |10.42    |~                |    ~     ~    
1838|TYC 900-713-1                                                                                            |Star                           |13 53 12.1701996600 +09 39 47.938139532|345.6863719894942 +67.2545462669717|    0.425 0.352    |10.95    |~                |    ~     ~    
1839|TYC 900-877-1                                                                                            |Star                           |13 54 21.3110224680 +08 53 09.591147132|345.0567797689971 +66.4646971478636|-24.160 -33.722    |10.25    |~                |    ~     ~    
1840|TYC 900-1144-1                                                                                           |High Proper Motion Star        |13 52 34.2508556808 +08 00 08.229900024|342.8775066291259 +66.0122241714712| -69.202 21.120    |10.87    |~                |    ~     ~    
1841|TYC 900-1161-1                                                                                           |Star                           |13 53 31.4251562328 +07 55 16.646444508|343.2338224056355 +65.8095596919465|  -3.915 13.558    |10.95    |~                |    ~     ~    
1842|TYC 901-177-1                                                                                            |High Proper Motion Star        |13 59 08.8824095184 +09 44 43.651672620|348.7086873757623 +66.3948459403284|  2.925 -51.403    |9.99     |~                |    ~     ~    
1843|TYC 901-588-1                                                                                            |High Proper Motion Star        |13 59 05.8864259136 +08 45 22.077500004|347.1335667653895 +65.6404201629663|-64.804 -16.387    |10.21    |~                |    ~     ~    
1844|TYC 901-634-1                                                                                            |Star                           |13 59 00.2966802000 +08 48 29.757423132|347.1695615867834 +65.6954450559242|-24.041 -22.322    |10.69    |~                |    ~     ~    
1845|TYC 901-760-1                                                                                            |Star                           |13 58 55.8539962920 +08 27 04.045736088|346.5956850835111 +65.4280143206088|   -5.304 3.889    |10.80    |~                |    ~     ~    
1846|TYC 901-1072-1                                                                                           |Star                           |13 58 32.0233801536 +07 48 08.520419628|345.4606177731185 +64.9764255393444|  -28.700 7.595    |10.97    |~                |    ~     ~    
1847|TYC 901-1172-1                                                                                           |High Proper Motion Star        |13 58 16.3405767792 +08 06 00.861998724|345.7699033960403 +65.2520661135438| 30.791 -48.021    |10.16    |~                |    ~     ~    
1848|TYC 901-1213-1                                                                                           |Star                           |13 57 56.9054894064 +07 57 48.970765404|345.4195799007888 +65.1925420400823|   -0.817 0.330    |10.28    |~                |    ~     ~    
1849|TYC 901-1259-1                                                                                           |Star                           |13 58 24.1440075984 +07 43 02.518290912|345.2778157032067 +64.9285333860440|-16.204 -13.629    |10.78    |~                |    ~     ~    
1850|HD 121075                                                                                                |High Proper Motion Star        |13 53 19.7822988696 +07 11 53.617543044|342.1366464795550 +65.2451299952464|  1.088 -53.875    |9.06     |F0               |    ~     ~    
