C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:38:27

dec< 0&rah >=3.5&rah< 3.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2851

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
46  |V* AS Eri                                                                                                |Eclipsing Binary                   |03 32 25.1263057224 -03 18 48.095135748|188.2782670246719 -44.7919618806661|-30.096 -41.729   |8.30     |A3V+K0III          |    ~     ~          |    1|  210.504   pc  |  -1.5731     +1.5731  |paral   |2020yCat.1350....0G
47  |BD-03 567                                                                                                |High Proper Motion Star            |03 32 04.7849122560 -02 59 45.102724512|187.8467654726253 -44.6736321394509|-110.331 -9.829   |10.40    |~                  |    ~     ~          |    1|   46.789   pc  |  -0.0377     +0.0377  |paral   |2020yCat.1350....0G
48  |TYC 4719-16-1                                                                                            |Star                               |03 32 10.4574157968 -02 41 30.318242748|187.5223073626566 -44.4745857523471| 30.498 -15.405   |10.47    |~                  |    ~     ~          |    1|  329.034   pc  |  -1.7214     +1.7214  |paral   |2020yCat.1350....0G
49  |TYC 4719-154-1                                                                                           |Star                               |03 32 42.5919824496 -02 52 57.397166940|187.8488377640205 -44.4797919791849|     -16.2 15.8   |10.589   |~                  |    ~     ~          |    0|                |                       |        |                   
50  |TYC 4719-514-1                                                                                           |High Proper Motion Star            |03 31 50.6215831464 -03 24 59.698626660|188.2775935403041 -44.9687479156528|-35.857 -42.837   |10.48    |~                  |    ~     ~          |    1|  193.607   pc  |  -0.5473     +0.5473  |paral   |2020yCat.1350....0G
51  |TYC 4719-1179-1                                                                                          |Star                               |03 31 13.2001728216 -03 34 32.756343744|188.3312271905269 -45.1881247728821|-13.164 -29.420   |10.65    |~                  |    ~     ~          |    1|  286.328   pc  |  -1.2953     +1.2953  |paral   |2020yCat.1350....0G
52  |HD 21733                                                                                                 |Star                               |03 30 08.6128402560 -06 42 44.119018332|191.8433812424193 -47.1883858024861|  2.815 -35.243   |9.31     |G8                 |    ~     ~          |    1| 1843.998   pc  | -59.5057    +59.5057  |paral   |2020yCat.1350....0G
53  |HD 21805                                                                                                 |High Proper Motion Star            |03 30 44.4493692648 -06 43 37.165735560|191.9809366037936 -47.0724109842651| 52.124 -20.705   |9.68     |G8V                |    ~     ~          |    1|  195.745   pc  |  -0.9272     +0.9272  |paral   |2020yCat.1350....0G
54  |TYC 4722-1160-1                                                                                          |High Proper Motion Star            |03 33 37.0888145256 -06 35 36.990206592|192.3868461869862 -46.4009344021210|102.883 -81.476   |10.93    |~                  |    ~     ~          |    1|   95.824   pc  |  -0.1442     +0.1442  |paral   |2020yCat.1350....0G
55  |HD 21715                                                                                                 |Star                               |03 30 07.4793943248 -04 51 17.644997772|189.5977692047248 -46.1512146269324|  -2.986 -7.521   |8.87     |A8/9V              |    ~     ~          |    1|  194.700   pc  |  -0.8264     +0.8264  |paral   |2020yCat.1350....0G
56  |HD 21868                                                                                                 |High Proper Motion Star            |03 31 20.6823849864 -05 03 53.711939484|190.0962473701636 -46.0211581351829|-13.423 -104.115  |10.09    |G1/2V              |    ~     ~          |    1|  115.898   pc  |  -0.2310     +0.2310  |paral   |2020yCat.1350....0G
57  |HD 21838                                                                                                 |Star                               |03 31 01.2002917224 -05 37 48.625877388|190.7048113895489 -46.4067969982627|  15.936 -9.085   |8.04     |K0III              |    ~     ~          |    1|  270.819   pc  |  -1.8262     +1.8262  |paral   |2020yCat.1350....0G
58  |HD 21716                                                                                                 |Star                               |03 30 00.3236467416 -06 17 02.694101784|191.2910332068091 -46.9808820869185|  29.236 -9.827   |9.68     |F3V                |    ~     ~          |    1|  202.400   pc  |  -1.4379     +1.4379  |paral   |2020yCat.1350....0G
59  |BD-06 686                                                                                                |Star                               |03 30 32.8582641840 -06 24 05.776186464|191.5436662331866 -46.9336492827103|   18.916 2.470   |9.79     |F2                 |    ~     ~          |    1|  478.881   pc  |  -3.8756     +3.8756  |paral   |2020yCat.1350....0G
60  |HD 21791                                                                                                 |Star                               |03 30 34.1399745720 -06 25 59.854757736|191.5866643052075 -46.9467055434504|   4.729 13.230   |9.76     |F7/8(V)            |    ~     ~          |    1|  251.832   pc  |  -1.1289     +1.1289  |paral   |2020yCat.1350....0G
61  |BD-06 688                                                                                                |Star                               |03 30 42.6115697376 -06 07 06.056017248|191.2315228538666 -46.7431938741535|   -0.355 6.512   |10.33    |~                  |    ~     ~          |    1|  952.109   pc  | -13.4164    +13.4164  |paral   |2020yCat.1350....0G
62  |HD 21810                                                                                                 |Star                               |03 30 48.3585197856 -06 13 25.254681996|191.3787520606637 -46.7817938778878|   16.761 3.091   |9.06     |G8/K0III           |    ~     ~          |    1|  504.923   pc  |  -4.2066     +4.2066  |paral   |2020yCat.1350....0G
63  |HD 21905                                                                                                 |Star                               |03 31 44.1918167448 -06 03 54.776979468|191.3732343115847 -46.5014408180726|  19.893 10.673   |8.71     |K4/5III            |    ~     ~          |    1|  703.779   pc  | -13.8685    +13.8685  |paral   |2020yCat.1350....0G
64  |HD 21965                                                                                                 |Star                               |03 32 16.9523219520 -05 59 41.464517532|191.3973978712247 -46.3494508326434|  -0.668 -2.434   |8.75     |A5III/IV           |    ~     ~          |    1|  310.897   pc  |  -2.2231     +2.2231  |paral   |2020yCat.1350....0G
65  |NGC 1346                           NGC 1346                                                              |Seyfert 1 Galaxy                   |03 30 13.2634890840 -05 32 35.991525660|190.4382928869218 -46.5223705937257|   1.807 -8.815   |16.39    |~                  |0.873 0.611          |    1|   56       Mpc |                       |        |2007ApJS..173..185G
66  |NGC 1355                           NGC 1355                                                              |Galaxy towards a Group of Galaxies |03 33 23.4831223464 -04 59 55.301499888|190.4316810092370 -45.5634718076779|            ~ ~   |     ~   |~                  |1.113 0.289          |    1|   34.99    Mpc |                       |        |2016AJ....152...50T
67  |BD-05 676                                                                                                |Star                               |03 30 42.2995025712 -04 57 45.900706176|189.8445906603459 -46.0941221957120|  4.511 -12.116   |10.01    |~                  |    ~     ~          |    1| 1029.654   pc  | -17.5991    +17.5991  |paral   |2020yCat.1350....0G
68  |BD-05 677                                                                                                |Star                               |03 30 46.4692012800 -04 46 58.299772260|189.6460630400042 -45.9772227599112|   15.989 2.510   |10.70    |~                  |    ~     ~          |    1|  246.548   pc  |  -1.3434     +1.3434  |paral   |2020yCat.1350....0G
69  |BD-05 678                                                                                                |Star                               |03 31 05.7852296424 -04 31 00.721686504|189.3990700769737 -45.7590270446031|   1.513 -5.714   |10.20    |~                  |    ~     ~          |    1|  700.967   pc  | -15.8708    +15.8708  |paral   |2020yCat.1350....0G
70  |BD-06 691                                                                                                |Star                               |03 31 17.1727429848 -05 50 04.312058100|191.0043539709632 -46.4662335103882|  18.331 -2.764   |9.89     |~                  |    ~     ~          |    1|  398.153   pc  |  -6.2776     +6.2776  |paral   |2020yCat.1350....0G
71  |BD-06 693                                                                                                |Star                               |03 31 22.4498343816 -06 07 01.659048528|191.3634778084192 -46.6051916688372|-20.417 -41.171   |10.26    |~                  |    ~     ~          |    1|  136.433   pc  |  -2.7921     +2.7921  |paral   |2020yCat.1350....0G
72  |BD-05 680                                                                                                |Star                               |03 31 27.8962933227 -05 24 48.151869576|190.5352875748515 -46.1933899123620|  5.509 -10.773   |10.04    |~                  |    ~     ~          |    1|  107.6345  pc  |  -0.5040     +0.5040  |paral   |2018yCat.1345....0G
73  |[SGR85] 762-1                                                                                            |Star                               |03 32 16.9 -05 59 41                   |191.3971 -46.3496                  |            ~ ~   |8.77     |~                  |    ~     ~          |    0|                |                       |        |                   
74  |BD-06 700                                                                                                |Red Giant Branch star Candidate    |03 33 26.1674165280 -06 11 36.816352476|191.8661940677921 -46.2199834656184|   20.695 5.844   |9.79     |~                  |    ~     ~          |    1|  495.835   pc  |  -4.8187     +4.8187  |paral   |2020yCat.1350....0G
75  |* v Eri                                                                                                  |Star                               |03 30 37.0582300 -05 04 30.523884      |189.9600808891 -46.1759827868      |     14.23 7.27   |4.725    |B9III              |    ~     ~          |    1|  122.2673  pc  |  -4.3951     +4.3951  |paral   |2018yCat.1345....0G
76  |BD-06 692                                                                                                |Star                               |03 31 21.7653563760 -05 41 14.073210492|190.8426035153532 -46.3681432446301|   5.381 -6.614   |10.53    |~                  |    ~     ~          |    1|  976.372   pc  | -13.5369    +13.5369  |paral   |2020yCat.1350....0G
77  |BD-05 681                                                                                                |Star                               |03 31 36.0119890464 -05 26 34.225144548|190.5978304777462 -46.1821346123332|   2.530 -1.686   |10.84    |~                  |    ~     ~          |    1|  340.565   pc  |  -2.3197     +2.3197  |paral   |2020yCat.1350....0G
78  |HD 22048                                                                                                 |Star                               |03 33 12.3089994720 -04 37 04.481175504|189.9468774995542 -45.3857673581190|  31.097 19.562   |9.864    |F7V                |    ~     ~          |    1|  217.893   pc  |  -0.8688     +0.8688  |paral   |2020yCat.1350....0G
79  |TYC 4722-356-1                                                                                           |High Proper Motion Star            |03 30 07.7447360640 -06 39 31.025994084|191.7745249894970 -47.1619461041702|-13.140 -64.562   |10.88    |~                  |    ~     ~          |    1|  199.171   pc  |  -0.7180     +0.7180  |paral   |2020yCat.1350....0G
80  |TYC 4722-883-1                                                                                           |Star                               |03 30 27.4475664192 -05 14 00.109852476|190.1156514074179 -46.2986411296505|    0.781 0.015   |10.91    |~                  |    ~     ~          |    1|  366.099   pc  |  -2.8012     +2.8012  |paral   |2020yCat.1350....0G
81  |TYC 4722-1228-1                                                                                          |High Proper Motion Star            |03 30 30.6324494544 -06 35 27.103229340|191.7678113140738 -47.0455692777777| 83.784 -62.757   |10.81    |~                  |    ~     ~          |    1|  175.432   pc  |  -0.5263     +0.5263  |paral   |2020yCat.1350....0G
82  |TYC 4722-1264-1                                                                                          |Star                               |03 30 39.0949747296 -06 32 09.701703132|191.7288755178765 -46.9861630711011|  17.943 18.618   |10.70    |~                  |    ~     ~          |    1|  285.486   pc  |  -1.3774     +1.3774  |paral   |2020yCat.1350....0G
83  |TYC 4722-1365-1                                                                                          |High Proper Motion Star            |03 31 24.1302986280 -06 34 02.926736292|191.9172309865336 -46.8476370549192| 37.169 -37.228   |10.98    |~                  |    ~     ~          |    1|  142.082   pc  |  -0.8257     +0.8257  |paral   |2020yCat.1350....0G
84  |NGC 1358                           NGC 1358                                                              |Seyfert 2 Galaxy                   |03 33 39.6807616872 -05 05 22.213915692|190.5929385267513 -45.5591437223053|            ~ ~   |13.05    |~                  |1.410 1.072          |    1|   58.20    Mpc |                       |redshift|2010ApJ...725.2270P
