C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:15:54

dec >=0&rah >=0.25&rah< 0.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4911

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
88  |TYC 3247-1352-1                                                                                          |Star                              |00 22 00.8797098528 +46 13 09.535241460|117.6349740519039 -16.3495977802648| -22.718 -1.022  |10.35    |~                 |    ~     ~    |    1|  292.680   pc  |  -3.4779     +3.4779  |paral   |2020yCat.1350....0G
89  |TYC 3247-1423-1                                                                                          |Star                              |00 18 28.0727234184 +46 06 12.489045192|116.9847756235197 -16.3872145996562|   6.600 -1.108  |10.77    |~                 |    ~     ~    |    1| 1690.331   pc  | -42.8583    +42.8583  |paral   |2020yCat.1350....0G
90  |TYC 3247-1535-1                                                                                          |High Proper Motion Star           |00 15 44.4046830624 +45 53 35.405550600|116.4651881437727 -16.5298702375537|116.883 -15.254  |10.18    |~                 |    ~     ~    |    1|  128.403   pc  |  -0.2391     +0.2391  |paral   |2020yCat.1350....0G
91  |TYC 3247-1584-1                                                                                          |Star                              |00 16 10.7764748088 +46 08 04.473451968|116.5799266564040 -16.3018622012116|   6.245 -2.852  |10.75    |~                 |    ~     ~    |    1| 1057.865   pc  | -47.3370    +47.3370  |paral   |2020yCat.1350....0G
92  |TYC 3247-1635-1                                                                                          |Star                              |00 15 58.2288080112 +46 24 52.204075848|116.5841895055841 -16.0196437678699| 18.020 -23.884  |9.69     |~                 |    ~     ~    |    1|  284.220   pc  |  -5.0407     +5.0407  |paral   |2020yCat.1350....0G
93  |TYC 3247-1843-1                                                                                          |Star                              |00 17 53.3636014584 +45 02 14.830619244|116.7300368999821 -17.4299218284639| -1.289 -17.450  |10.66    |~                 |    ~     ~    |    1|  532.510   pc  |  -4.7923     +4.7923  |paral   |2020yCat.1350....0G
94  |TYC 3247-1870-1                                                                                          |Star                              |00 16 18.6645886344 +45 27 22.487180724|116.5030137107082 -16.9765662533101|    6.461 3.264  |10.75    |~                 |    ~     ~    |    1|  448.793   pc  |  -2.9004     +2.9004  |paral   |2020yCat.1350....0G
95  |TYC 3247-1877-1                                                                                          |Star                              |00 15 37.4769076378 +45 06 47.003302612|116.3264060211891 -17.2988655574483|  -7.804 -2.290  |10.28    |~                 |    ~     ~    |    0|                |                       |        |                   
96  |TYC 3247-1917-1                                                                                          |Star                              |00 15 48.7193023536 +45 04 57.387769032|116.3560625659370 -17.3337788275043|  26.138 -1.274  |10.49    |~                 |    ~     ~    |    1|  378.716   pc  |  -2.0653     +2.0653  |paral   |2020yCat.1350....0G
97  |TYC 3247-2387-1                                                                                          |Star                              |00 15 49.7132516184 +45 30 08.171500248|116.4223809782392 -16.9189196997693|   2.664 -4.523  |10.14    |~                 |    ~     ~    |    1|  691.181   pc  |  -7.2615     +7.2615  |paral   |2020yCat.1350....0G
