C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:56:55

dec< 0&rah >=23.5&rah< 23.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2513

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
43  |CD-44 15293                                                           |Long-Period Variable              |23 36 22.4976062904 -44 06 02.518852248|339.6865783655129 -67.2900372576740|  19.852 -5.048   |10.33    |~                    |    ~     ~    |    1| 2454.590   pc  |-178.9429   +178.9429  |paral   |2020yCat.1350....0G
44  |CD-45 15062                                                           |Spectroscopic Binary              |23 33 03.3534337992 -44 37 12.713382876|339.7084607956394 -66.5015359438263| 26.465 -46.979   |10.032   |G0                   |    ~     ~    |    1| 1306.110   pc  |-111.0000   +111.0000  |ST-L    |2020AJ....160...83S
45  |HD 221816                                                             |Star                              |23 35 35.1165312408 -44 31 47.066377764|339.1159927124170 -66.8967063079947|  -1.257 -0.789   |9.23     |K0III                |    ~     ~    |    1|  508.492   pc  |  -6.9554     +6.9554  |paral   |2020yCat.1350....0G
46  |HD 221859                                                             |Star                              |23 35 49.9410101616 -44 47 26.889988812|338.5534227412020 -66.7515662296934|   39.170 5.946   |10.10    |F3V                  |    ~     ~    |    1|  211.667   pc  |  -0.8333     +0.8333  |paral   |2020yCat.1350....0G
47  |CD-45 15061                                                           |High Proper Motion Star           |23 32 59.2061360712 -44 47 59.775820548|339.3930202740522 -66.3728642074984|  82.308 23.765   |10.60    |~                    |    ~     ~    |    1|  115.227   pc  |  -0.2124     +0.2124  |paral   |2020yCat.1350....0G
48  |TYC 8019-297-1                                                        |Star                              |23 30 48.8844785280 -43 12 12.258212364|343.1286882745275 -67.0977492956852| 37.072 -18.587   |10.92    |~                    |    ~     ~    |    1|  252.092   pc  |  -1.1376     +1.1376  |paral   |2020yCat.1350....0G
49  |TYC 8020-324-1                                                        |Star                              |23 37 14.1771020088 -43 51 49.094371152|339.8739407552459 -67.5639592691052| 16.491 -41.146   |10.97    |~                    |    ~     ~    |    1|  149.892   pc  |  -1.2310     +1.2310  |ST-L    |2020AJ....160...83S
50  |TYC 8020-538-1                                                        |Star                              |23 34 03.1515262056 -44 22 36.867299628|339.8704993657676 -66.7958971084096|   7.663 -6.990   |10.844   |~                    |    ~     ~    |    1| 1358.790   pc  |-118.8000   +118.8000  |ST-L    |2020AJ....160...83S
51  |TYC 8020-891-1                                                        |Star                              |23 33 51.9333927312 -43 17 09.754501236|342.0610170463246 -67.4793080677216|  34.877 -4.927   |10.95    |~                    |    ~     ~    |    1|  157.972   pc  |  -2.0730     +2.0730  |ST-L    |2020AJ....160...83S
52  |TYC 8020-958-1                                                        |Star                              |23 36 20.4186136032 -43 19 56.416018296|341.2055915180320 -67.7937810432997| 27.039 -34.445   |10.96    |~                    |    ~     ~    |    1|  312.500   pc  |  -1.4062     +1.4062  |paral   |2020yCat.1350....0G
53  |CD-43 15444                                                           |Star                              |23 38 06.9756392232 -42 59 11.318084700|341.3394883560381 -68.2649493114281| 15.847 -32.510   |9.64     |K2                   |    ~     ~    |    1|  819.402   pc  | -35.9500    +35.9500  |ST-L    |2020AJ....160...83S
54  |CD-43 15450                                                           |High Proper Motion Star           |23 39 27.8124907872 -42 52 12.508026132|341.1371370636421 -68.5272578751704|  71.368 17.989   |10.16    |~                    |    ~     ~    |    1|  136.352   pc  |  -1.0720     +1.0720  |ST-L    |2020AJ....160...83S
55  |CD-43 15455                                                           |Star                              |23 40 00.1515625128 -42 37 05.636868384|341.4786164374740 -68.7676569555964|  19.433 14.645   |10.67    |F5                   |    ~     ~    |    1|  254.269   pc  |  -3.8730     +3.8730  |ST-L    |2020AJ....160...83S
56  |HD 222213                                                             |Star                              |23 38 52.0888507608 -43 37 25.303721088|339.8192068932386 -67.9434435951550| -6.714 -30.390   |9.64     |F2IV/V               |    ~     ~    |    1|  280.191   pc  |  -7.7408     +7.7408  |paral   |2020yCat.1350....0G
57  |HD 222296                                                             |High Proper Motion Star           |23 39 36.4065691656 -43 20 56.595330672|340.1210260039646 -68.2275010289350|  55.686 33.321   |9.71     |F6V                  |    ~     ~    |    1|  167.930   pc  |  -1.8590     +1.8590  |ST-L    |2020AJ....160...83S
58  |HD 222576                                                             |High Proper Motion Star           |23 41 57.2233725187 -42 16 07.763440529|341.5500692420258 -69.2686634291182| 30.794 -40.379   |7.11     |K0III                |    ~     ~    |    1|  191.666   pc  |  -0.9698     +0.9698  |paral   |2020yCat.1350....0G
59  |HD 222398                                                             |Star                              |23 40 22.9207485720 -43 15 39.096507780|340.0399858263430 -68.3911244697998| 31.994 -25.723   |8.74     |K1III                |    ~     ~    |    1|  190.168   pc  |  -0.7341     +0.7341  |paral   |2020yCat.1350....0G
60  |HD 222486                                                             |High Proper Motion Star           |23 41 16.7165068056 -43 08 56.190577668|339.9629740163215 -68.5871416768942|  73.406 25.289   |9.88     |F3V                  |    ~     ~    |    1|  262.647   pc  |  -3.8840     +3.8840  |ST-L    |2020AJ....160...83S
61  |HD 222525                                                             |High Proper Motion Star           |23 41 33.6754247400 -42 51 07.003740348|340.4697034705162 -68.8259234004173|   51.565 8.755   |9.50     |F7V                  |    ~     ~    |    1|  169.130   pc  |  -0.4434     +0.4434  |paral   |2020yCat.1350....0G
62  |CD-43 15465                                                           |High Proper Motion Star           |23 41 50.7691444875 -42 44 55.851091275|340.5838878775398 -68.9339391260824|-194.334 -321.304 |10.90    |M1V                  |    ~     ~    |    1|   35.1316  pc  |  -0.0260     +0.0260  |paral   |2020yCat.1350....0G
63  |HD 222802                                                             |Star                              |23 43 54.1061268768 -43 36 02.510908416|338.1648756326314 -68.6187048342800|  11.212 -8.522   |9.44     |A2/3V                |    ~     ~    |    1|  342.302   pc  |  -2.9058     +2.9058  |paral   |2020yCat.1350....0G
64  |CD-44 15326                                                           |Star                              |23 42 06.2525704896 -44 14 27.274594416|337.5592418435925 -67.9372242135765| -8.743 -19.842   |9.93     |~                    |    ~     ~    |    1|   85.754   pc  |  -0.4159     +0.4159  |ST-L    |2020AJ....160...83S
65  |NGC 7744                           NGC 7744                           |Galaxy                            |23 44 59.2125115752 -42 54 39.479358672|339.1487329067457 -69.2429585178870|   1.865 -0.374   |11.35    |~                    |1.517 1.213    |    0|                |                       |        |                   
66  |CD-44 15337                                                           |Star                              |23 43 35.0 -44 03 06                   |337.4106 -68.2584                  |            ~ ~   |10.0     |~                    |    ~     ~    |    0|                |                       |        |                   
67  |CD-43 15457                                                           |High Proper Motion Star           |23 40 24.6599489640 -42 46 38.575768836|341.0123056134443 -68.7188699252739| 4.284 -107.631   |10.88    |~                    |    ~     ~    |    1|  227.925   pc  |  -0.8676     +0.8676  |paral   |2020yCat.1350....0G
68  |CD-44 15315                                                           |Star                              |23 40 26.7276496392 -43 52 55.398388692|338.7979519288180 -67.9752212708887| -1.559 -48.839   |10.36    |~                    |    ~     ~    |    1|  243.906   pc  |  -3.4680     +3.4680  |ST-L    |2020AJ....160...83S
69  |CD-44 15321                                                           |Eruptive Variable                 |23 40 58.9778066736 -43 36 20.210469012|339.1559977521112 -68.2360246484022|  20.341 28.034   |10.62    |~                    |    ~     ~    |    1|  165.052   pc  |  -1.7520     +1.7520  |ST-L    |2020AJ....160...83S
70  |CD-44 15322                                                           |Star                              |23 41 16.4065235352 -43 33 34.911978840|339.1483198034613 -68.3057916181060| 18.009 -22.017   |10.82    |~                    |    ~     ~    |    1|  253.362   pc  |  -4.6500     +4.6500  |ST-L    |2020AJ....160...83S
71  |CD-45 15105                                                           |Star                              |23 41 44.1661384824 -44 23 06.761231304|337.4129367994449 -67.7884977098552|    8.506 3.006   |10.35    |~                    |    ~     ~    |    1| 1394.110   pc  |-103.0000   +103.0000  |ST-L    |2020AJ....160...83S
72  |HD 222457                                                             |Star                              |23 40 56.8221813456 -44 46 15.123718884|336.9632478606308 -67.4155154321432|   -3.811 1.540   |10.081   |F5V                  |    ~     ~    |    1|  351.764   pc  |  -7.7540     +7.7540  |ST-L    |2020AJ....160...83S
