C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:56:55

dec< 0&rah >=23.5&rah< 23.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2513

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1743|TYC 9133-1362-1                                                       |Star                              |23 39 12.9049349640 -66 11 14.283049992|314.0090322938630 -49.3586936040956|   13.395 9.593   |10.841   |~                    |    ~     ~    |    1|  893.372   pc  | -42.1900    +42.1900  |ST-L    |2020AJ....160...83S
1744|HD 222168                                                             |Star                              |23 38 46.3879285488 -64 24 48.964165992|315.2695820798405 -50.9385356179013|   3.136 -5.661   |8.62     |M0III                |    ~     ~    |    1|  711.389   pc  |  -9.5648     +9.5648  |paral   |2020yCat.1350....0G
1745|CD-65 2931                                                            |Star                              |23 37 37.0151988168 -64 29 03.091822764|315.3971361147080 -50.8200060608858|  15.026 -2.909   |10.42    |~                    |    ~     ~    |    1|  884.095   pc  | -11.0991    +11.0991  |paral   |2020yCat.1350....0G
1746|CD-65 2932                                                            |Star                              |23 37 47.3396660616 -64 34 19.942162068|315.3089666988788 -50.7494272726971|  3.815 -10.982   |10.475   |~                    |    ~     ~    |    1|  855.244   pc  | -37.0700    +37.0700  |ST-L    |2020AJ....160...83S
1747|HD 222820                                                             |Star                              |23 44 12.0463373040 -64 24 16.027553304|314.4317766279208 -51.1962496004526|  15.174 34.471   |5.711    |K2II/III             |    ~     ~    |    1|  217.235   pc  |  -2.1330     +2.1330  |paral   |2020yCat.1350....0G
1748|HD 222830                                                             |Star                              |23 44 17.5194733392 -64 20 22.792022340|314.4599075709350 -51.2593716726801|  31.177 -2.098   |7.08     |K1/2III              |    ~     ~    |    1|  183.790   pc  |  -0.5573     +0.5573  |paral   |2020yCat.1350....0G
1749|CPD-65 4154                                                           |High Proper Motion Star           |23 39 10.0542929784 -64 32 28.336349220|315.1203073808950 -50.8425088250652|  67.948 14.286   |10.799   |~                    |    ~     ~    |    1|  348.574   pc  |  -5.8780     +5.8780  |ST-L    |2020AJ....160...83S
1750|CPD-65 4162                                                           |Star                              |23 44 27.5076476736 -64 26 41.894288916|314.3648145840159 -51.1706879151045| 27.683 -13.141   |10.139   |~                    |    ~     ~    |    1|  411.094   pc  |  -8.5760     +8.5760  |ST-L    |2020AJ....160...83S
1751|CPD-62 6434                                                           |Double or Multiple Star           |23 39 26.1522461424 -61 59 04.841617056|316.9357646201765 -53.1420943203394|   0.922 -0.302   |10.235   |~                    |    ~     ~    |    1|  213.518   pc  |  -2.4850     +2.4850  |ST-L    |2020AJ....160...83S
1752|CD-63 1618                                                            |Spectroscopic Binary              |23 38 47.0266373256 -62 45 35.724966660|316.4616199126122 -52.4178895029873| 34.240 -11.637   |9.885    |~                    |    ~     ~    |    1|  279.673   pc  | -10.7900    +10.7900  |ST-L    |2020AJ....160...83S
1753|HD 222216                                                             |Star                              |23 39 05.4111644616 -63 14 45.351071520|316.0526325282647 -52.0000339914341| 16.957 -41.728   |9.18     |K0/1III              |    ~     ~    |    1|  335.042   pc  |  -1.3695     +1.3695  |paral   |2020yCat.1350....0G
1754|HD 222215                                                             |Star                              |23 39 06.2148647376 -63 02 45.430746324|316.1967838398312 -52.1793346996971|  13.038 -0.638   |8.95     |K2/3III              |    ~     ~    |    1|  595.628   pc  |  -4.5766     +4.5766  |paral   |2020yCat.1350....0G
1755|HD 222338                                                             |Star                              |23 40 04.6930170528 -62 52 05.745375012|316.1652532000250 -52.3878393251113|  19.204 19.024   |9.35     |F3/5V                |    ~     ~    |    1|  162.174   pc  |  -0.3814     +0.3814  |paral   |2020yCat.1350....0G
1756|HD 222203                                                             |Star                              |23 39 02.6318967672 -63 20 18.813864984|315.9927655339774 -51.9149102025472|  12.133 -1.386   |9.22     |K0III                |    ~     ~    |    1|  450.633   pc  |  -2.7414     +2.7414  |paral   |2020yCat.1350....0G
1757|HD 222151                                                             |Star                              |23 38 39.7848380520 -64 02 11.075412084|315.5523394075747 -51.2715459200446|   19.829 0.913   |7.64     |K3/4III              |    ~     ~    |    1|  375.418   pc  |  -2.9315     +2.9315  |paral   |2020yCat.1350....0G
1758|CPD-64 4369                                                           |Star                              |23 39 34.8218703360 -63 23 57.647342940|315.8615936455450 -51.8873609015313|   45.213 8.302   |10.850   |~                    |    ~     ~    |    1|  298.225   pc  |  -4.3390     +4.3390  |ST-L    |2020AJ....160...83S
1759|TYC 9127-1392-1                                                       |Star                              |23 39 51.7759295568 -62 20 43.450273464|316.5889836035782 -52.8437005486178|   4.632 -2.204   |10.644   |~                    |    ~     ~    |    1| 1148.940   pc  | -67.4700    +67.4700  |ST-L    |2020AJ....160...83S
1760|CPD-63 4918                                                           |Star                              |23 40 13.2829585296 -63 04 13.714521384|315.9941413922124 -52.2140404853088|  2.908 -11.380   |10.21    |~                    |    ~     ~    |    1|  762.544   pc  |  -7.4429     +7.4429  |paral   |2020yCat.1350....0G
1761|CD-62 1460                                                            |High Proper Motion Star           |23 44 33.3591923016 -62 13 24.537699552|315.8636713684203 -53.1933256465159|  3.867 124.334   |9.893    |~                    |    ~     ~    |    1|   98.860   pc  |  -0.4920     +0.4920  |ST-L    |2020AJ....160...83S
1762|CD-63 1624                                                            |High Proper Motion Star           |23 41 53.6402418000 -62 23 49.310898180|316.2017494137441 -52.9027294050190|138.216 -42.949   |9.92     |~                    |    ~     ~    |    1|   87.211   pc  |  -0.3916     +0.3916  |ST-L    |2020AJ....160...83S
1763|HD 222743                                                             |High Proper Motion Star           |23 43 39.8177501640 -63 57 39.513489372|314.8112932078880 -51.5757184516265|178.120 -91.016   |7.99     |F8V                  |    ~     ~    |    1|   86.766   pc  |  -0.1400     +0.1400  |paral   |2020yCat.1350....0G
1764|HD 222781                                                             |Star                              |23 43 58.0404027048 -63 58 45.484826268|314.7502717800770 -51.5729327046136| 11.275 -14.034   |8.68     |K2III                |    ~     ~    |    1|  456.142   pc  |  -3.7660     +3.7660  |paral   |2020yCat.1350....0G
1765|CPD-63 4920                                                           |Star                              |23 41 07.0138372152 -62 37 02.666492004|316.1736820801012 -52.6654089955934|  13.405 -8.299   |10.673   |~                    |    ~     ~    |    1|  157.044   pc  |  -9.3550     +9.3550  |ST-L    |2020AJ....160...83S
1766|CPD-63 4926                                                           |Star                              |23 44 15.9517252968 -62 50 35.407455468|315.4767342385156 -52.6182863682300|  14.061 -3.724   |10.781   |~                    |    ~     ~    |    1|  389.115   pc  | -11.3500    +11.3500  |ST-L    |2020AJ....160...83S
1767|CD-64 1439                                                            |High Proper Motion Star           |23 44 43.1904548928 -63 35 42.504360216|314.8857173133781 -51.9569351156116|   59.703 4.294   |10.173   |~                    |    ~     ~    |    1|  241.644   pc  |  -2.8190     +2.8190  |ST-L    |2020AJ....160...83S
1768|TYC 9130-667-1                                                        |Star                              |23 42 05.6231875440 -63 16 05.675647728|315.5432102316970 -52.1288130076219|  25.205 -0.217   |10.781   |~                    |    ~     ~    |    1| 1184.520   pc  | -66.5300    +66.5300  |ST-L    |2020AJ....160...83S
1769|CPD-64 4371                                                           |High Proper Motion Star           |23 42 48.9009147552 -63 47 50.309315772|315.0586676385200 -51.6849557472048| 77.796 -48.257   |10.812   |~                    |    ~     ~    |    1|  151.128   pc  |  -3.8410     +3.8410  |ST-L    |2020AJ....160...83S
1770|TYC 9130-936-1                                                        |Star                              |23 43 33.0441517104 -62 54 52.575942024|315.5481206738508 -52.5189741092698|  -18.289 5.399   |10.77    |~                    |    ~     ~    |    1|  466.381   pc  | -10.3300    +10.3300  |ST-L    |2020AJ....160...83S
1771|TYC 9130-525-1                                                        |High Proper Motion Star           |23 42 33.9761256144 -62 53 21.091698456|315.7323714790272 -52.4937328576019|  44.308 27.854   |10.67    |~                    |    ~     ~    |    1|  244.661   pc  |  -2.9200     +2.9200  |ST-L    |2020AJ....160...83S
1772|TYC 9130-619-1                                                        |Spectroscopic Binary              |23 38 39.6154895568 -63 49 41.100182256|315.7012902066667 -51.4579627855150|   12.455 1.276   |10.881   |~                    |    ~     ~    |    1|  245.655   pc  |  -7.9860     +7.9860  |ST-L    |2020AJ....160...83S
1773|HD 222780                                                             |Variable Star                     |23 43 49.6565061000 -61 43 47.283798288|316.3505508243732 -53.6016945470527| 22.384 -12.226   |7.48     |M1/2III              |    ~     ~    |    1|  460.426   pc  |  -3.3283     +3.3283  |paral   |2020yCat.1350....0G
1774|HD 222679                                                             |High Proper Motion Star           |23 43 02.0448159000 -59 40 48.919560240|318.0825635714431 -55.3902312511731| -60.919 19.642   |9.35     |F8V                  |    ~     ~    |    1|  117.740   pc  |  -0.1719     +0.1719  |paral   |2020yCat.1350....0G
1775|HD 222460                                                             |Star                              |23 41 04.7141056512 -59 48 59.089292928|318.3538333467364 -55.1550300110254|  31.879 12.467   |10.48    |F8/G0(IV)            |    ~     ~    |    1|  245.224   pc  |  -1.1065     +1.1065  |paral   |2020yCat.1350....0G
1776|HD 222586                                                             |High Proper Motion Star           |23 42 09.2424359760 -59 56 11.415780636|318.0470112905666 -55.1118533826233|103.929 -213.377  |10.11    |G3/5IV/V             |    ~     ~    |    1|   98.026   pc  |  -0.1153     +0.1153  |paral   |2020yCat.1350....0G
1777|HD 222312                                                             |Star                              |23 39 51.9286404120 -60 45 38.395666764|317.8164946510322 -54.2506991348926| -12.638 17.755   |9.62     |G1V                  |    ~     ~    |    1|  161.663   pc  |  -0.3032     +0.3032  |paral   |2020yCat.1350....0G
1778|HD 222424                                                             |Star                              |23 40 49.8673646928 -61 19 01.199742024|317.2019088543605 -53.8115249603903|  16.311 -1.398   |9.03     |K2III                |    ~     ~    |    1|  452.960   pc  |  -3.2622     +3.2622  |paral   |2020yCat.1350....0G
1779|CPD-62 6436                                                           |Star                              |23 40 50.5656602688 -61 19 36.002988048|317.1923239515544 -53.8035639799483|   7.045 -6.248   |10.16    |~                    |    ~     ~    |    1|  816.793   pc  |  -8.7397     +8.7397  |paral   |2020yCat.1350....0G
1780|CD-60 8110                                                            |Double or Multiple Star           |23 42 05.3393819952 -59 39 10.575432720|318.2909193587580 -55.3591077250120|  -2.147 -3.965   |10.472   |~                    |    ~     ~    |    1|  748.503   pc  | -16.8637    +16.8637  |paral   |2020yCat.1350....0G
1781|CD-60 8112                                                            |Double or Multiple Star           |23 42 33.2024887920 -59 39 04.772267784|318.2008611668359 -55.3878234664473| 22.764 -10.648   |10.497   |~                    |    ~     ~    |    1|  705.816   pc  |  -5.6294     +5.6294  |paral   |2020yCat.1350....0G
1782|CD-61 6857                                                            |High Proper Motion Star           |23 41 09.3516313152 -61 01 35.393956824|317.3686282001866 -54.0877447752221| 89.163 -28.765   |10.339   |~                    |    ~     ~    |    1|  159.054   pc  |  -1.2870     +1.2870  |ST-L    |2020AJ....160...83S
1783|CD-60 8108                                                            |Star                              |23 41 11.2406778744 -60 13 47.159360436|317.9956443662142 -54.7961628056408|    1.106 5.610   |10.46    |~                    |    ~     ~    |    1|  923.105   pc  | -10.9924    +10.9924  |paral   |2020yCat.1350....0G
1784|HD 222850                                                             |Pulsating Variable                |23 44 23.5578182568 -59 06 42.425657172|318.2737409224378 -55.9745581800672|   7.733 16.435   |9.12     |F0III                |    ~     ~    |    1|  290.875   pc  |  -1.2860     +1.2860  |paral   |2020yCat.1350....0G
1785|HD 222898                                                             |High Proper Motion Star           |23 44 58.6310064848 -59 25 07.554756615|317.9062379331390 -55.7352559048101|401.256 -79.469   |8.98     |K3Vk:                |    ~     ~    |    1|   29.1509  pc  |  -0.0122     +0.0122  |paral   |2020yCat.1350....0G
1786|HD 222617                                                             |Star                              |23 42 25.7290060752 -61 03 42.544258596|317.1071431752951 -54.1262655287436|  44.843 -0.555   |7.15     |K0III                |    ~     ~    |    1|  170.282   pc  |  -0.4291     +0.4291  |paral   |2020yCat.1350....0G
1787|HD 222856                                                             |Star                              |23 44 29.1798405912 -61 08 23.817879816|316.6676445975585 -54.1666677432576| -0.916 -12.395   |8.72     |M0III                |    ~     ~    |    1|  828.226   pc  | -12.6902    +12.6902  |paral   |2020yCat.1350....0G
1788|TYC 8839-306-1                                                        |Star                              |23 44 08.2255771320 -59 08 04.379641620|318.3070833427199 -55.9392778664519| 15.173 -23.873   |10.65    |~                    |    ~     ~    |    1|  300.567   pc  |  -5.4570     +5.4570  |ST-L    |2020AJ....160...83S
1789|TYC 9127-362-1                                                        |Star                              |23 42 46.6506349872 -60 59 59.617643532|317.0902992493423 -54.2005621359226|    3.502 7.831   |10.865   |~                    |    ~     ~    |    1| 1211.770   pc  | -72.6900    +72.6900  |ST-L    |2020AJ....160...83S
1790|TYC 9127-404-1                                                        |Star                              |23 40 44.5094473680 -60 19 54.426181296|317.9977838948086 -54.6801665251620|  12.984 -9.868   |10.929   |~                    |    ~     ~    |    1|  468.695   pc  | -13.2500    +13.2500  |ST-L    |2020AJ....160...83S
1791|TYC 9127-1213-1                                                       |Star                              |23 43 02.5284548064 -61 30 21.397834260|316.6581911253488 -53.7617755977702|  13.876 -0.382   |10.724   |~                    |    ~     ~    |    1|  293.991   pc  |  -5.1010     +5.1010  |ST-L    |2020AJ....160...83S
1792|TYC 9127-1227-1                                                       |Star                              |23 42 55.1535525480 -61 39 53.602671744|316.5616320197661 -53.6127526021796|   14.109 1.427   |10.99    |~                    |    ~     ~    |    1|  788.252   pc  | -32.5100    +32.5100  |ST-L    |2020AJ....160...83S
1793|TYC 9127-1291-1                                                       |Star                              |23 44 33.1856740896 -61 37 40.274137344|316.2945014775420 -53.7309003852949|    7.401 6.307   |10.996   |~                    |    ~     ~    |    1|  454.868   pc  | -11.0800    +11.0800  |ST-L    |2020AJ....160...83S
1794|HD 222566                                                             |Star                              |23 41 55.3040295288 -58 53 25.857706848|318.9615910876962 -56.0215622718302|   34.093 5.303   |9.27     |K3/4                 |    ~     ~    |    1|  877.809   pc  | -11.1730    +11.1730  |paral   |2020yCat.1350....0G
1795|HD 222579                                                             |High Proper Motion Star           |23 42 06.2517524472 -58 57 46.174353804|318.8631592075925 -55.9690963546621|144.074 -28.207   |9.34     |F6V                  |    ~     ~    |    1|   99.645   pc  |  -0.5083     +0.5083  |ST-L    |2020AJ....160...83S
1796|HD 222637                                                             |Star                              |23 42 38.0409482736 -57 05 52.997024544|320.3951588211587 -57.6361642961858|  41.413 13.909   |9.865    |G0V                  |    ~     ~    |    1|  104.731   pc  |  -0.5458     +0.5458  |ST-L    |2020AJ....160...83S
1797|CPD-57 10335                                                          |High Proper Motion Star           |23 44 00.7403440320 -57 01 50.208975480|320.1506172582864 -57.7864408983551|  75.966 -7.050   |10.053   |~                    |    ~     ~    |    1|  110.090   pc  |  -1.0260     +1.0260  |ST-L    |2020AJ....160...83S
1798|HD 222638                                                             |Star                              |23 42 33.9703705848 -57 28 40.880024040|320.0640418634318 -57.3003764529350| 12.803 -11.482   |8.63     |ApSrEuCr             |    ~     ~    |    1|  304.053   pc  |  -1.9137     +1.9137  |paral   |2020yCat.1350....0G
1799|CD-58 8617                                                            |Star                              |23 42 33.9523722048 -57 31 11.993385432|320.0262548801719 -57.2637043893910|    5.321 0.763   |10.375   |~                    |    ~     ~    |    1|  243.125   pc  |  -4.3230     +4.3230  |ST-L    |2020AJ....160...83S
1800|HD 222639                                                             |Star                              |23 42 35.9507639760 -57 57 42.054077268|319.6253988172023 -56.8794849646130| -11.613 -7.423   |7.93     |A0V                  |    ~     ~    |    1|  220.352   pc  |  -1.1993     +1.1993  |paral   |2020yCat.1350....0G
1801|HD 222628                                                             |Star                              |23 42 31.2466255272 -58 30 58.120160724|319.1589072068868 -56.3878419169071|  3.170 -34.132   |9.32     |G2V                  |    ~     ~    |    1|   94.121   pc  |  -0.1355     +0.1355  |paral   |2020yCat.1350....0G
1802|CPD-57 10330                                                          |Spectroscopic Binary              |23 43 00.3205210800 -56 50 42.919582776|320.5457555096845 -57.8811397625470|   38.927 1.699   |10.93    |~                    |    ~     ~    |    1|  419.574   pc  | -12.2000    +12.2000  |ST-L    |2020AJ....160...83S
1803|CD-59 8188                                                            |Long-Period Variable              |23 44 23.1316533360 -58 29 40.274733444|318.7884943996397 -56.5215748597608|  -8.472 -4.565   |9.91     |~                    |    ~     ~    |    1| 1367.428   pc  | -54.5999    +54.5999  |paral   |2020yCat.1350....0G
1804|HD 222819                                                             |Star                              |23 44 02.2247505744 -55 11 42.567496404|321.8892303860845 -59.3827422635917| 14.075 -13.582   |9.58     |K2(III)              |    ~     ~    |    1|  660.613   pc  | -23.3300    +23.3300  |ST-L    |2020AJ....160...83S
1805|HD 222839                                                             |Star                              |23 44 11.0514160896 -54 41 24.523993356|322.3617310740270 -59.8280909796374|  -43.548 0.894   |9.635    |F0V                  |    ~     ~    |    1|  162.751   pc  |  -1.4080     +1.4080  |ST-L    |2020AJ....160...83S
1806|V* CI Phe                                                             |Long-Period Variable              |23 44 19.1879909592 -54 26 09.827344932|322.5885282924007 -60.0562141700436|  -0.052 -8.505   |7.51     |M3III                |    ~     ~    |    1|  512.768   pc  | -26.7401    +26.7401  |paral   |2020yCat.1350....0G
1807|CD-55 9373                                                            |Star                              |23 44 31.1000132784 -54 48 09.223348320|322.1652791785320 -59.7560324132442|  30.247 -8.703   |10.126   |~                    |    ~     ~    |    1|  601.810   pc  | -18.5900    +18.5900  |ST-L    |2020AJ....160...83S
1808|HD 222897                                                             |Star                              |23 44 48.6825646944 -55 23 50.363197800|321.5032636696333 -59.2634114704539| 29.228 -18.930   |10.58    |F3/5(IV)             |    ~     ~    |    1|  437.426   pc  |  -4.5731     +4.5731  |paral   |2020yCat.1350....0G
1809|CD-56 8852                                                            |Star                              |23 43 48.8153584560 -55 51 20.168815608|321.2956859148924 -58.7960316796018|   12.330 0.738   |10.348   |~                    |    ~     ~    |    1| 1631.100   pc  |-131.2000   +131.2000  |ST-L    |2020AJ....160...83S
1810|GSPC S192-A                                                           |Star                              |23 44 19.1 -54 26 09                   |322.5891 -60.0563                  |            ~ ~   |7.51     |~                    |    ~     ~    |    0|                |                       |        |                   
1811|HD 221324                                                             |Spectroscopic Binary              |23 31 52.9091186184 -67 55 22.549373112|313.8386811540378 -47.4852702620242| 89.793 -34.698   |10.073   |G0V                  |    ~     ~    |    1|  107.814   pc  |  -1.3970     +1.3970  |ST-L    |2020AJ....160...83S
1812|TYC 9132-86-1                                                         |Star                              |23 30 33.5221906560 -67 24 14.020192116|314.3547109850100 -47.8908978064430|  18.662 -7.141   |10.985   |~                    |    ~     ~    |    1|  326.707   pc  |  -5.6310     +5.6310  |ST-L    |2020AJ....160...83S
1813|TYC 9339-1119-1                                                       |Spectroscopic Binary              |23 30 59.3152410048 -67 53 33.549366336|313.9698076116673 -47.4744756559845|  20.491 -2.558   |10.90    |~                    |    ~     ~    |    1|  338.215   pc  |  -1.8417     +1.8417  |paral   |2020yCat.1350....0G
1814|TYC 9339-1885-1                                                       |High Proper Motion Star           |23 30 04.8778618872 -68 34 30.253922796|313.6260981813312 -46.8278436811848|120.153 -91.372   |10.61    |~                    |    ~     ~    |    1|  150.787   pc  |  -1.1690     +1.1690  |ST-L    |2020AJ....160...83S
1815|HD 221476                                                             |High Proper Motion Star           |23 33 07.8397948584 -67 07 43.367177748|314.2099205014238 -48.2488150877615| 46.303 -21.212   |10.35    |F8V                  |    ~     ~    |    1|  214.330   pc  |  -0.7763     +0.7763  |paral   |2020yCat.1350....0G
1816|CD-65 2921                                                            |Star                              |23 30 08.3187058200 -64 50 00.411800928|316.2560860852883 -50.1392242458626|   -4.768 9.691   |10.04    |~                    |    ~     ~    |    1|  239.692   pc  |  -2.9480     +2.9480  |ST-L    |2020AJ....160...83S
1817|HD 221740                                                             |Star                              |23 35 12.9981909072 -64 41 20.839839612|315.6136984213357 -50.5208872317865|  33.039 14.660   |7.12     |F2IV/V               |    ~     ~    |    1|   91.429   pc  |  -0.1563     +0.1563  |paral   |2020yCat.1350....0G
1818|CPD-65 4149                                                           |Spectroscopic Binary              |23 35 16.7355049584 -64 40 54.823768176|315.6095752965513 -50.5303576628888|    1.071 8.914   |9.99     |~                    |    ~     ~    |    1|  214.938   pc  |  -1.0441     +1.0441  |paral   |2020yCat.1350....0G
1819|CD-66 2632                                                            |High Proper Motion Star           |23 31 18.7563178200 -65 21 36.030072276|315.6970800816254 -49.7353778461136| 88.902 -49.614   |10.31    |~                    |    ~     ~    |    1|  188.556   pc  |  -1.9260     +1.9260  |ST-L    |2020AJ....160...83S
1820|CD-66 2634                                                            |High Proper Motion Star           |23 31 43.4308128288 -65 25 32.250136224|315.5909189096014 -49.6976064320201|-50.671 -45.337   |10.168   |~                    |    ~     ~    |    1|  141.149   pc  |  -1.0040     +1.0040  |ST-L    |2020AJ....160...83S
1821|HD 221288                                                             |Star                              |23 31 29.7605560656 -66 16 44.747940504|315.0124584644590 -48.9316021342462| 22.143 -19.075   |9.98     |K2/3III              |    ~     ~    |    1|  607.094   pc  | -15.0300    +15.0300  |ST-L    |2020AJ....160...83S
1822|NGC 7697                           NGC 7697                           |Galaxy                            |23 34 52.998 -65 23 45.45              |315.160330 -49.875416              |            ~ ~   |     ~   |~                    |1.080 0.216    |    1|   27.04    Mpc |  -2.80       +2.80    |T-F     |2020ApJ...902..145K
1823|CD-65 2924                                                            |Star                              |23 32 51.3888749880 -65 17 57.481910988|315.5205092876286 -49.8644138825943|  -2.984 -7.271   |9.89     |~                    |    ~     ~    |    1|  617.322   pc  |  -4.2682     +4.2682  |paral   |2020yCat.1350....0G
1824|CD-65 2926                                                            |Star                              |23 34 44.1104138976 -64 48 31.703065452|315.5993473643258 -50.3909747520608|-13.096 -12.856   |10.01    |~                    |    ~     ~    |    1|  774.886   pc  | -30.7600    +30.7600  |ST-L    |2020AJ....160...83S
1825|TYC 9132-307-1                                                        |Star                              |23 30 05.0621838840 -65 26 00.237963228|315.8171498336552 -49.6101136172738|   25.059 0.042   |10.92    |~                    |    ~     ~    |    1|  145.204   pc  |  -1.0920     +1.0920  |ST-L    |2020AJ....160...83S
1826|HD 221269                                                             |High Proper Motion Star           |23 31 18.5447863272 -64 22 17.324256540|316.4322481942215 -50.6045630696130|  101.716 0.421   |7.84     |F7V                  |    ~     ~    |    1|  123.506   pc  |  -0.2669     +0.2669  |paral   |2020yCat.1350....0G
1827|CD-65 2923                                                            |Star                              |23 31 55.1774085936 -64 21 22.838129892|316.3522803352021 -50.6494710868421|  -8.283 -4.256   |9.99     |~                    |    ~     ~    |    1|  203.881   pc  |  -2.2870     +2.2870  |ST-L    |2020AJ....160...83S
1828|CD-64 1428                                                            |Double or Multiple Star           |23 31 34.4535168801 -64 15 29.906500807|316.4782166323529 -50.7176299084075|   41.00 -30.00   |10.098   |~                    |    ~     ~    |    1|  156.802   pc  | +30.180     +55       |ST-L    |2017AJ....153...75K
1829|TYC 9129-1410-1                                                       |Star                              |23 36 06.2291254992 -64 32 29.665756212|315.5861553956028 -50.6955455894385|   13.302 2.604   |10.615   |~                    |    ~     ~    |    1|  710.455   pc  | -27.7300    +27.7300  |ST-L    |2020AJ....160...83S
1830|HD 221236                                                             |Star                              |23 30 53.8041102624 -62 12 35.147322612|318.2056360400764 -52.4643881250311|  -3.084 -5.418   |8.27     |K1III                |    ~     ~    |    1|  469.395   pc  |  -3.7236     +3.7236  |paral   |2020yCat.1350....0G
1831|CD-62 1452                                                            |Star                              |23 31 56.0525798256 -61 57 01.016553852|318.2468324921869 -52.7497883087752|  17.006 -7.651   |10.105   |~                    |    ~     ~    |    1|  263.089   pc  |  -3.2710     +3.2710  |ST-L    |2020AJ....160...83S
1832|CPD-62 6425                                                           |Star                              |23 33 46.1811201168 -62 13 41.219306220|317.7124830128515 -52.6141824211845|  41.802 -3.478   |10.66    |~                    |    ~     ~    |    1|  231.150   pc  |  -0.6625     +0.6625  |paral   |2020yCat.1350....0G
1833|CD-62 1455                                                            |Star                              |23 36 44.6434238808 -61 55 49.132753644|317.4440293766128 -53.0426772092571|  15.314 -4.978   |10.01    |~                    |    ~     ~    |    1|  238.797   pc  | +36.782      +5       |ST-L    |2017AJ....153...75K
1834|CPD-63 4899                                                           |Star                              |23 33 01.7410846008 -63 07 33.132922320|317.1233590833609 -51.7878492342036|  16.592 12.673   |10.58    |~                    |    ~     ~    |    1|  350.791   pc  |  -1.9935     +1.9935  |paral   |2020yCat.1350....0G
1835|CD-63 1610                                                            |Star                              |23 33 17.1590302680 -62 34 55.970465952|317.5099025457042 -52.2776162082915|  38.577 -4.829   |10.62    |~                    |    ~     ~    |    1|  353.607   pc  |  -7.3772     +7.3772  |paral   |2020yCat.1350....0G
1836|HD 221509                                                             |Star                              |23 33 18.4585252272 -63 17 07.894866156|316.9548934428310 -51.6630031111227|   15.765 0.283   |8.88     |G8/K0III             |    ~     ~    |    1|  480.492   pc  |  -4.6867     +4.6867  |paral   |2020yCat.1350....0G
1837|CD-63 1612                                                            |Star                              |23 34 52.7258161608 -62 30 28.037207124|317.3054286176915 -52.4313920059113|-23.400 -18.858   |10.146   |~                    |    ~     ~    |    1|  206.966   pc  |  -2.0640     +2.0640  |ST-L    |2020AJ....160...83S
1838|HD 221754                                                             |Star                              |23 35 19.0305957432 -63 10 18.386585688|316.7203812939469 -51.8705676714627|   12.432 4.247   |9.782    |K1III(CNII)          |    ~     ~    |    1|  522.237   pc  | -14.1600    +14.1600  |ST-L    |2020AJ....160...83S
1839|CPD-63 4906                                                           |Star                              |23 36 03.8676595560 -63 07 06.110146164|316.6400325266742 -51.9572763491050|  -5.907 -7.398   |9.71     |~                    |    ~     ~    |    1|  392.805   pc  |  -7.8480     +7.8480  |ST-L    |2020AJ....160...83S
1840|HD 221910                                                             |Double or Multiple Star           |23 36 31.6385863608 -62 45 18.775164636|316.8403833452734 -52.3029963034742| 24.461 -11.204   |8.13     |A1V                  |0.0050  0.0    |    1|  209.065   pc  | -14.3713    +14.3713  |paral   |2020yCat.1350....0G
1841|CPD-63 4908                                                           |Double or Multiple Star           |23 36 35.1424184952 -62 18 47.452770468|317.1713284431326 -52.6965076540500| 40.521 -53.409   |10.47    |~                    |    ~     ~    |    1|  195.872   pc  |  -1.9790     +1.9790  |ST-L    |2020AJ....160...83S
1842|CD-63 1615                                                            |Star                              |23 36 40.8742534728 -62 45 02.546317872|316.8183437566454 -52.3152087348775|  22.122 -9.743   |9.945    |~                    |    ~     ~    |    1|  264.428   pc  |  -3.6760     +3.6760  |ST-L    |2020AJ....160...83S
1843|CPD-63 4910                                                           |Star                              |23 36 53.9563561728 -62 58 22.730893104|316.6137319609956 -52.1299721321698|  35.457 -4.888   |9.62     |~                    |    ~     ~    |    1|  550.146   pc  |  -3.7833     +3.7833  |paral   |2020yCat.1350....0G
1844|CD-63 1616                                                            |High Proper Motion Star           |23 37 49.8481296744 -62 21 45.794368944|316.9222561309072 -52.7202736658676| 56.681 -38.519   |9.940    |~                    |    ~     ~    |    1|  105.044   pc  |  -0.5702     +0.5702  |ST-L    |2020AJ....160...83S
1845|CD-64 1427                                                            |Star                              |23 30 23.8003768248 -63 37 10.194189024|317.1506449568654 -51.2130755122890|   -2.369 3.578   |9.99     |~                    |    ~     ~    |    1|  601.352   pc  | -18.9300    +18.9300  |ST-L    |2020AJ....160...83S
1846|HD 221410                                                             |Star                              |23 32 28.2014145504 -63 39 18.021230280|316.8017259775180 -51.2939999218023| 10.820 -32.687   |7.34     |K5/M0                |    ~     ~    |    1|  334.057   pc  |  -1.9641     +1.9641  |paral   |2020yCat.1350....0G
