C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:25:33

Vmag< 11&dec< 0&rah >=18.0&rah< 18.25
-------------------------------------

Number of objects : 9145

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |       ang. size       
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|-----------------------
90  |HD 165352                                                                                                                                                                      |Spectroscopic Binary                  |18 07 48.0512581608 -44 49 07.953128220|348.2621028105981 -11.6499390472948|  -3.562 28.679   |9.52     |F7V                  |    ~     ~            
91  |HD 165369                                                                                                                                                                      |Star                                  |18 07 55.3683361536 -44 54 38.205714060|348.1884589196351 -11.7106140519636|  -1.984 -3.146   |9.25     |K1/2(III)            |    ~     ~            
92  |HD 165453                                                                                                                                                                      |Star                                  |18 08 15.5490242376 -44 33 10.826756748|348.5418595075155 -11.6026496340095|  -2.510 -3.815   |9.41     |K3                   |    ~     ~            
93  |HD 165618                                                                                                                                                                      |Star                                  |18 09 05.0656420824 -44 43 55.882224408|348.4458619094220 -11.8143556954524|  3.944 -20.773   |9.98     |F3/5V                |    ~     ~            
94  |HD 165753                                                                                                                                                                      |Star                                  |18 09 48.4727696640 -44 56 43.870388388|348.3094923463448 -12.0244842016695| 13.052 -19.861   |7.026    |K0III                |    ~     ~            
95  |HD 166087                                                                                                                                                                      |Star                                  |18 11 11.9404425456 -44 17 57.371981388|349.0137222518666 -11.9583212971136|  15.931 32.385   |9.20     |F6V                  |    ~     ~            
96  |CD-43 12232                                                                                                                                                                    |Star                                  |18 04 02.9027211720 -43 56 46.401137196|348.7405788168298 -10.6546331718749| -18.059 -7.705   |9.44     |~                    |    ~     ~            
97  |CD-43 12242                                                                                                                                                                    |Star                                  |18 04 27.6998094552 -43 20 29.964199056|349.3207740902138 -10.4407553534778|   2.331 10.851   |9.82     |~                    |    ~     ~            
98  |CD-44 12302                                                                                                                                                                    |Star                                  |18 04 38.3239164648 -44 04 37.613947332|348.6723742321003 -10.8092587634564|-19.317 -12.535   |9.57     |~                    |    ~     ~            
99  |CD-44 12301                                                                                                                                                                    |Star                                  |18 04 39.0523002528 -44 48 06.593349636|348.0180339655590 -11.1447930636129|   2.320 -7.761   |9.91     |~                    |    ~     ~            
100 |CD-44 12304                                                                                                                                                                    |Star                                  |18 04 51.0159007320 -44 15 01.188353376|348.5336413510682 -10.9227478570575| -0.694 -12.832   |10.529   |~                    |    ~     ~            
101 |CD-43 12247                                                                                                                                                                    |Star                                  |18 04 52.1675655480 -43 15 17.878957812|349.4338503692912 -10.4663521353644|  -0.704 -7.891   |9.99     |~                    |    ~     ~            
102 |CD-42 12859                                                                                                                                                                    |Star                                  |18 06 19.8778026816 -42 11 14.855978544|350.5221766299390 -10.2107230229407| -12.821 11.906   |9.77     |~                    |    ~     ~            
103 |CD-44 12327                                                                                                                                                                    |Star                                  |18 06 21.8236632216 -44 31 13.185871788|348.4152962948624 -11.2867932236942|  -7.937 -8.184   |10.030   |~                    |    ~     ~            
104 |CD-42 12867                                                                                                                                                                    |Star                                  |18 06 28.2711823752 -42 11 16.939760640|350.5338168035120 -10.2339733843492|  -1.754 -6.445   |10.39    |~                    |    ~     ~            
105 |CD-43 12274                                                                                                                                                                    |Star                                  |18 07 06.4429170624 -43 38 08.649611700|349.2797156810531 -11.0021207175098| -0.416 -15.248   |9.68     |~                    |    ~     ~            
106 |CD-43 12284                                                                                                                                                                    |Star                                  |18 07 39.4176357672 -43 37 27.917201244|349.3361607742724 -11.0854796079727|  8.533 -12.104   |9.88     |~                    |    ~     ~            
107 |CD-43 12286                                                                                                                                                                    |Star                                  |18 07 49.5726133776 -43 45 10.322367408|349.2337549315909 -11.1711427636887|   1.835 -0.423   |10.26    |~                    |    ~     ~            
108 |CD-44 12354                                                                                                                                                                    |Star                                  |18 08 33.5319615744 -44 33 25.143288264|348.5628043545844 -11.6521038768299|  9.311 -31.630   |10.03    |~                    |    ~     ~            
109 |CD-43 12300                                                                                                                                                                    |Spectroscopic Binary                  |18 08 45.6784971120 -43 07 51.798491004|349.8768780502543 -11.0400000578852|  -2.058 -8.024   |10.32    |~                    |    ~     ~            
110 |CD-44 12377                                                                                                                                                                    |Star                                  |18 09 55.3009462344 -44 19 00.814888380|348.8934392159407 -11.7616714384224| -10.553 -6.632   |10.16    |~                    |    ~     ~            
111 |CD-44 12388                                                                                                                                                                    |Star                                  |18 10 51.0452475504 -44 24 37.271291724|348.8837231067432 -11.9519808588958|  -4.781 -8.944   |10.32    |~                    |    ~     ~            
112 |HD 165251                                                                                                                                                                      |Star                                  |18 07 14.7010942080 -44 59 04.060150188|348.0658718004238 -11.6369687096458|  7.002 -20.728   |9.58     |K1/2(III)            |    ~     ~            
113 |CD-44 12256                                                                                                                                                                    |Star                                  |18 01 25.1844854256 -44 00 40.953035376|348.4577697288851 -10.2666586480850|  -3.675 -4.694   |10.34    |~                    |    ~     ~            
114 |AKARI-IRC-V1 J1807115-425535                                                                                                                                                   |Long-Period Variable Candidate        |18 07 11.6499316680 -42 55 34.980576492|349.9293836678151 -10.6917816150756|  -0.170 -4.282   |10.49    |~                    |    ~     ~            
115 |CD-44 12380                                                                                                                                                                    |Star                                  |18 10 06.4892956872 -44 08 54.014594388|349.0626532630710 -11.7160803555694|  -0.399 -8.345   |10.41    |~                    |    ~     ~            
116 |CD-43 12320                                                                                                                                                                    |Star                                  |18 10 32.5422449208 -43 23 40.335025020|349.7863556187185 -11.4482617876768|   5.695 -3.805   |9.96     |~                    |    ~     ~            
117 |CD-42 12954                                                                                                                                                                    |Star                                  |18 10 34.8175883064 -42 47 37.766374188|350.3367481920723 -11.1843725153220| -4.113 -18.131   |10.00    |~                    |    ~     ~            
118 |CPD-44 8872                                                                                                                                                                    |Star                                  |18 00 26.7098819880 -44 47 40.531024140|347.6716861726016 -10.4807497388189|  12.348 -0.163   |10.73    |~                    |    ~     ~            
119 |TYC 7907-12-2                                                                                                                                                                  |High Proper Motion Star               |18 04 25.2908 -43 05 38.657            |349.5402935 -10.3193979            |   32.30 134.10   |10.75    |~                    |    ~     ~            
120 |TYC 7907-105-1                                                                                                                                                                 |Star                                  |18 01 20.8943067048 -43 01 31.150350912|349.3351070329819 -09.7911564345407| -4.444 -28.243   |10.47    |~                    |    ~     ~            
