C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:25:33

Vmag< 11&dec< 0&rah >=18.0&rah< 18.25
-------------------------------------

Number of objects : 9145

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |       ang. size       
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|-----------------------
7542|TYC 6855-3044-1                                                                                                                                                                |Star                                  |18 10 15.0869353728 -28 46 28.459823376|002.8353712214936 -04.5918740803578|   3.223 -1.557   |10.71    |~                    |    ~     ~            
7543|TYC 6855-3055-1                                                                                                                                                                |Star                                  |18 12 45.1420342320 -29 29 21.475296024|002.4646285178944 -05.4120511427244|   1.720 -0.397   |9.87     |~                    |    ~     ~            
7544|TYC 6855-3140-1                                                                                                                                                                |Spectroscopic Binary                  |18 11 58.9560100848 -28 50 14.578708272|002.9611951591776 -04.9552482402787|  9.846 -25.963   |10.75    |~                    |    ~     ~            
7545|TYC 6855-3161-1                                                                                                                                                                |Star                                  |18 12 26.2869127392 -29 21 59.901381792|002.5406692207356 -05.2937480151398|   1.635 -3.921   |10.96    |~                    |    ~     ~            
7546|TYC 6855-3163-1                                                                                                                                                                |Star                                  |18 08 25.4935293288 -29 42 13.911047028|001.8254433517921 -04.6870817250585|   -0.395 6.026   |10.97    |~                    |    ~     ~            
7547|TYC 6855-3174-1                                                                                                                                                                |Star                                  |18 10 09.2895921144 -28 10 59.904505056|003.3460368780885 -04.2904931552952|  -5.460 -8.317   |10.67    |~                    |    ~     ~            
7548|TYC 6855-3185-1                                                                                                                                                                |Star                                  |18 11 32.5037473488 -29 51 27.704021580|002.0136461099713 -05.3548361136660|  -2.231 -6.993   |10.50    |~                    |    ~     ~            
7549|TYC 6855-3200-1                                                                                                                                                                |Star                                  |18 09 58.7232092904 -28 39 08.972609400|002.9142538317786 -04.4809879476149|   -1.634 3.429   |10.30    |~                    |    ~     ~            
7550|HD 165874                                                                                                                                                                      |Star                                  |18 09 17.9670954984 -28 37 27.102936900|002.8675670851704 -04.3366012903173|  -0.125 -3.168   |10.66    |B8IV                 |    ~     ~            
7551|TYC 6855-3278-1                                                                                                                                                                |Star                                  |18 08 52.8295012776 -28 49 23.118642552|002.6483631158270 -04.3514507900258|   1.442 -1.988   |10.88    |~                    |    ~     ~            
7552|TYC 6855-3389-1                                                                                                                                                                |Star                                  |18 09 25.1201899560 -29 43 16.688428320|001.9138176599861 -04.8848423600993|   0.934 -1.123   |10.98    |~                    |    ~     ~            
7553|TYC 6855-3463-1                                                                                                                                                                |Star                                  |18 11 27.5421350136 -29 03 28.389399120|002.7118177370913 -04.9592149616144|  0.683 -13.120   |9.49     |~                    |    ~     ~            
7554|TYC 6855-3519-1                                                                                                                                                                |Star                                  |18 09 39.1374417000 -29 52 30.732277008|001.8024337129882 -05.0029103759681| -0.138 -11.587   |10.77    |~                    |    ~     ~            
7555|TYC 6855-3520-1                                                                                                                                                                |Star                                  |18 10 55.7544303888 -28 12 28.774996560|003.4060719335081 -04.4521745113961|   2.333 -0.793   |10.38    |~                    |    ~     ~            
7556|TYC 6855-3630-1                                                                                                                                                                |Star                                  |18 09 40.1491724328 -29 00 46.078318476|002.5643296068017 -04.5938468855766|    9.313 0.784   |10.90    |~                    |    ~     ~            
7557|TYC 6855-3640-1                                                                                                                                                                |Star                                  |18 10 18.6621607584 -28 58 59.872467108|002.6576379761605 -04.7030265376221|   3.141 -1.034   |10.49    |~                    |    ~     ~            
7558|TYC 6855-3677-1                                                                                                                                                                |Star                                  |18 10 16.7305779864 -29 43 38.577933264|001.9979481249311 -05.0518362765642|  -9.027 -9.442   |10.71    |~                    |    ~     ~            
7559|CPD-29 5339                                                                                                                                                                    |Star                                  |18 10 21.5429088192 -29 44 38.965807284|001.9914736222660 -05.0751371982481|  -1.772 -4.017   |10.70    |A                    |    ~     ~            
7560|TYC 6855-3767-1                                                                                                                                                                |Star                                  |18 09 55.5458307384 -29 39 46.836227376|002.0180260853375 -04.9537381887259|    1.514 2.345   |10.16    |~                    |    ~     ~            
7561|TYC 6855-3771-1                                                                                                                                                                |Star                                  |18 11 45.6613331520 -29 33 35.606238012|002.2996364267967 -05.2555187437830|  -1.324 -4.444   |10.69    |~                    |    ~     ~            
7562|TYC 6855-3849-1                                                                                                                                                                |Star                                  |18 10 17.6224619928 -29 59 46.472804340|001.7621667498895 -05.1827766061150|  2.498 -11.655   |10.99    |~                    |    ~     ~            
7563|TYC 6855-3930-1                                                                                                                                                                |Star                                  |18 11 35.8091264400 -29 01 55.100088732|002.7490699888637 -04.9733936303046|  -0.424 -3.947   |10.81    |~                    |    ~     ~            
7564|TYC 6855-3970-1                                                                                                                                                                |Star                                  |18 10 45.2536016112 -28 48 34.058790864|002.8573675700542 -04.7053233868802|   4.176 -6.252   |10.78    |~                    |    ~     ~            
7565|TYC 7391-3-1                                                                                                                                                                   |Star                                  |18 05 36.6115416456 -30 00 00.743073732|001.2697928991914 -04.2953707292316|    2.685 2.129   |10.43    |~                    |    ~     ~            
7566|TYC 7391-132-1                                                                                                                                                                 |Star                                  |18 05 55.9728123072 -31 50 21.105778884|359.6878537396117 -05.2448468992905|   2.664 -3.689   |10.65    |~                    |    ~     ~            
7567|TYC 7391-136-1                                                                                                                                                                 |Star                                  |18 08 32.4358324152 -31 21 13.104430380|000.3833706517022 -05.4990130433281|  -0.597 -5.382   |10.36    |~                    |    ~     ~            
7568|TYC 7391-206-1                                                                                                                                                                 |Star                                  |18 07 43.9034885544 -31 06 04.685737392|000.5227604446945 -05.2264031637030| -2.572 -10.253   |10.57    |~                    |    ~     ~            
7569|TYC 7391-207-1                                                                                                                                                                 |Star                                  |18 04 06.1053000672 -30 36 49.470973416|000.5733950848746 -04.3087706776930|    5.055 1.105   |10.71    |~                    |    ~     ~            
7570|TYC 7391-233-1                                                                                                                                                                 |Star                                  |18 03 52.1457977400 -30 30 27.974056500|000.6417466016523 -04.2134171380700|   1.104 -0.850   |10.77    |~                    |    ~     ~            
7571|TYC 7391-281-1                                                                                                                                                                 |Star                                  |18 05 39.2435661648 -30 11 29.977355076|001.1064389691291 -04.3964319917669|  -0.049 -5.995   |10.58    |~                    |    ~     ~            
7572|HD 164070                                                                                                                                                                      |Star                                  |18 00 44.8430773968 -31 09 05.353081272|359.7500309799353 -03.9444790328965|  -0.238 -4.004   |10.21    |A0/1III/IV           |    ~     ~            
7573|TYC 7391-389-1                                                                                                                                                                 |Star                                  |18 00 12.3590332488 -30 02 37.335697908|000.6579368038050 -03.2965919302670|  -2.777 -1.772   |10.92    |~                    |    ~     ~            
7574|TYC 7391-431-1                                                                                                                                                                 |Star                                  |18 04 12.7938040920 -30 04 03.217015920|001.0634752054940 -04.0638326542891|   -2.014 2.176   |10.18    |~                    |    ~     ~            
7575|TYC 7391-503-1                                                                                                                                                                 |Star                                  |18 02 32.0634477624 -30 20 44.169593280|000.6426729972840 -03.8831426242118|    2.409 1.403   |10.92    |~                    |    ~     ~            
7576|TYC 7391-582-1                                                                                                                                                                 |Star                                  |18 04 59.1198083640 -31 47 55.786254252|359.6257466914874 -05.0490922791857| -1.440 -10.902   |10.42    |~                    |    ~     ~            
7577|HD 165518                                                                                                                                                                      |Star                                  |18 07 41.7987884952 -30 34 32.942418168|000.9819759274516 -04.9676052393600|   0.415 -2.005   |10.53    |B8/9II               |    ~     ~            
7578|TYC 7391-801-1                                                                                                                                                                 |Star                                  |18 01 41.9863285368 -30 16 38.174101176|000.6137726486367 -03.6926572804521|    1.103 3.837   |10.65    |~                    |    ~     ~            
7579|TYC 7391-818-1                                                                                                                                                                 |Star                                  |18 02 19.3214003280 -31 22 57.018481068|359.7138162534621 -04.3510323709877|   1.898 -7.914   |10.72    |~                    |    ~     ~            
7580|CPD-31 5276                                                                                                                                                                    |Star                                  |18 04 51.1360848984 -31 19 57.668195208|000.0213335192560 -04.7985774787632| -2.960 -10.135   |10.97    |F8                   |    ~     ~            
7581|TYC 7391-839-1                                                                                                                                                                 |Star                                  |18 02 58.6383164928 -30 14 30.164409636|000.7803849635912 -03.9156595942375|   1.829 -1.369   |10.85    |~                    |    ~     ~            
7582|TYC 7391-893-1                                                                                                                                                                 |Star                                  |18 00 55.8144139416 -30 13 50.933980236|000.5723463120529 -03.5251320601253|  -0.047 -1.535   |10.84    |~                    |    ~     ~            
7583|TYC 7391-916-1                                                                                                                                                                 |Star                                  |18 02 53.3547270072 -31 28 35.152581720|359.6909307273014 -04.5025003009855| -13.663 -5.319   |10.86    |~                    |    ~     ~            
7584|TYC 7391-1019-1                                                                                                                                                                |Star                                  |18 06 34.1592592776 -30 47 56.569145028|000.6685167178313 -04.8625496178968|    5.107 1.163   |10.80    |~                    |    ~     ~            
7585|TYC 7391-1034-1                                                                                                                                                                |Star                                  |18 07 37.5234845544 -31 20 32.304287832|000.2994246006338 -05.3220214523173|  -0.286 -0.576   |10.98    |~                    |    ~     ~            
7586|TYC 7391-1106-1                                                                                                                                                                |Star                                  |18 03 11.8603840272 -31 10 07.233147228|359.9926118553605 -04.4098180285193|   6.055 -4.939   |10.54    |~                    |    ~     ~            
7587|TYC 7391-1326-1                                                                                                                                                                |Star                                  |18 05 39.0056946888 -31 06 58.417279056|000.2942675572594 -04.8430686406184|    5.734 2.108   |10.78    |~                    |    ~     ~            
7588|TYC 7391-1399-1                                                                                                                                                                |Star                                  |18 08 29.7314622624 -30 21 07.972983000|001.2618105438277 -05.0113982972819|   1.694 -3.848   |9.84     |~                    |    ~     ~            
7589|HD 165635                                                                                                                                                                      |Star                                  |18 08 14.8619619912 -30 31 58.171925532|001.0769791150398 -05.0510656483295|   0.111 -1.058   |10.40    |B9III                |    ~     ~            
7590|TYC 7391-1420-1                                                                                                                                                                |Star                                  |18 00 26.2649 -31 51 16.817            |359.1038442 -04.2332535            |  5.762 -10.445   |10.86    |~                    |    ~     ~            
7591|TYC 7391-1430-1                                                                                                                                                                |Star                                  |18 00 11.1388280112 -31 49 16.850243712|359.1064789360795 -04.1702423229626|  -1.526 -3.349   |10.64    |~                    |    ~     ~            
7592|TYC 7391-1453-1                                                                                                                                                                |Star                                  |18 00 11.2045117152 -30 28 17.708868660|000.2832376419488 -03.5044246769158|   -2.378 0.568   |10.80    |~                    |    ~     ~            
7593|TYC 7391-1479-1                                                                                                                                                                |Star                                  |18 00 12.2781389832 -30 36 39.729539592|000.1636612935728 -03.5766550511915|  0.545 -10.646   |10.83    |~                    |    ~     ~            
7594|CPD-31 5258                                                                                                                                                                    |Star                                  |18 03 35.6191696416 -31 39 54.750250296|359.5989098859204 -04.7255138135970|  -1.364 -5.281   |10.25    |F                    |    ~     ~            
7595|TYC 7391-1565-1                                                                                                                                                                |Star                                  |18 02 41.9935313400 -30 48 06.872619204|000.2612734722078 -04.1375648357878|  -0.289 -1.240   |10.61    |~                    |    ~     ~            
7596|CPD-30 5147                                                                                                                                                                    |Star                                  |18 00 23.1915967536 -30 11 55.400655120|000.5422546258022 -03.4071277264924| -5.491 -13.424   |10.70    |F                    |    ~     ~            
7597|TYC 7391-1602-1                                                                                                                                                                |Star                                  |18 02 25.5274844832 -31 32 50.754758028|359.5803536804345 -04.4509320592820|   1.922 -7.965   |10.51    |~                    |    ~     ~            
7598|TYC 7391-1607-1                                                                                                                                                                |Star                                  |18 03 43.4337277392 -30 25 39.832593816|000.6965275299870 -04.1470830736150| -1.689 -11.546   |10.96    |~                    |    ~     ~            
7599|TYC 7391-1633-1                                                                                                                                                                |Star                                  |18 06 50.5080847200 -30 54 43.648191864|000.5973353740234 -04.9682694482910|   17.284 4.097   |10.90    |~                    |    ~     ~            
7600|CPD-30 5137                                                                                                                                                                    |Star                                  |18 00 03.3498580608 -30 15 15.508653156|000.4584843920895 -03.3724923008139|-16.407 -41.548   |10.39    |F0                   |    ~     ~            
7601|TYC 7391-1747-1                                                                                                                                                                |Star                                  |18 01 00.7282 -30 50 57.734            |000.0416053 -03.8451326            |    6.575 7.908   |10.94    |~                    |    ~     ~            
7602|TYC 7391-1749-1                                                                                                                                                                |Star                                  |18 06 35.6640499896 -30 29 49.095411180|000.9366916200119 -04.7216127559036|   1.678 -0.351   |10.79    |~                    |    ~     ~            
7603|HD 165018                                                                                                                                                                      |Star                                  |18 05 16.9011647616 -30 18 57.978744228|000.9581781847475 -04.3864040014294|  -1.258 -2.791   |9.79     |A8/9V                |    ~     ~            
7604|TYC 7391-1878-1                                                                                                                                                                |Star                                  |18 02 50.3700310152 -31 42 25.223903100|359.4838541141152 -04.6057807298429|   -1.537 3.508   |10.88    |~                    |    ~     ~            
7605|TYC 7391-1881-1                                                                                                                                                                |Star                                  |18 02 34.8062977200 -30 54 30.809630628|000.1554021747421 -04.1673138053766|   -6.305 1.964   |10.69    |~                    |    ~     ~            
7606|TYC 7391-1948-1                                                                                                                                                                |Star                                  |18 08 53.1911194440 -31 47 46.504415472|000.0278314949394 -05.7749562899406|  -1.588 -3.574   |10.9     |~                    |    ~     ~            
7607|TYC 7391-2019-1                                                                                                                                                                |Star                                  |18 08 38.9142502968 -30 40 54.297389820|000.9871871891042 -05.1981029863283|    4.818 0.119   |10.90    |~                    |    ~     ~            
7608|CPD-31 5275                                                                                                                                                                    |Star                                  |18 04 39.5086101864 -31 17 48.230002284|000.0327538195882 -04.7449454596182|  -1.366 -4.216   |10.76    |F8                   |    ~     ~            
7609|TYC 7391-2114-1                                                                                                                                                                |Star                                  |18 03 37.0534163880 -31 25 11.844168204|359.8163551626531 -04.6106005491922|   1.631 -1.433   |10.72    |~                    |    ~     ~            
7610|TYC 7391-2116-1                                                                                                                                                                |Star                                  |18 01 46.6951364784 -31 40 58.240750944|359.3942760819783 -04.3970493326765|  -3.268 -5.344   |10.95    |~                    |    ~     ~            
7611|TYC 7391-2189-1                                                                                                                                                                |Star                                  |18 08 35.6775359472 -30 33 35.873617824|001.0889812234699 -05.1296336855162|-15.138 -15.784   |10.96    |~                    |    ~     ~            
7612|TYC 7391-2235-1                                                                                                                                                                |Star                                  |18 06 33.6502046184 -30 41 06.279092124|000.7678397787792 -04.8060044669162|   0.579 -1.774   |10.65    |~                    |    ~     ~            
7613|TYC 7391-2244-1                                                                                                                                                                |Star                                  |18 07 28.1949682560 -31 40 25.363096464|359.9913380400427 -05.4518168448989|   0.564 -1.205   |10.83    |~                    |    ~     ~            
7614|TYC 7391-2261-1                                                                                                                                                                |Star                                  |18 01 41.0829477648 -30 13 28.843157892|000.6580681661295 -03.6639786100533|  -0.221 -1.426   |10.58    |~                    |    ~     ~            
7615|TYC 7391-2268-1                                                                                                                                                                |Star                                  |18 08 31.5897720144 -31 27 05.458790232|000.2955401827016 -05.5431267974353|-11.031 -19.918   |10.16    |~                    |    ~     ~            
7616|TYC 7391-2283-1                                                                                                                                                                |Star                                  |18 06 32.6238981360 -30 04 46.364080764|001.2981781323526 -04.5105734642789|  -1.044 -1.078   |10.78    |~                    |    ~     ~            
7617|TYC 7391-2326-1                                                                                                                                                                |Star                                  |18 07 22.9627919640 -30 35 17.835049608|000.9384094282062 -04.9143439567438|    0.184 5.605   |10.73    |~                    |    ~     ~            
7618|TYC 7391-2353-1                                                                                                                                                                |Star                                  |18 00 27.9188998560 -30 47 10.615161876|000.0386522013286 -03.7118852114271|  -2.771 -3.492   |10.85    |~                    |    ~     ~            
7619|CPD-30 5272                                                                                                                                                                    |Star                                  |18 07 50.4140393256 -30 31 01.837755480|001.0485079648785 -04.9665657454190|  4.449 -39.177   |10.77    |F:                   |    ~     ~            
7620|CPD-30 5179                                                                                                                                                                    |Star                                  |18 02 43.4029574064 -30 58 06.273123096|000.1181241633632 -04.2233836709946|  -0.019 -4.341   |10.42    |F                    |    ~     ~            
7621|TYC 7392-22-1                                                                                                                                                                  |Star                                  |18 13 21.2655513936 -30 13 57.823772376|001.8677233967652 -05.8777548696844| -10.646 -0.038   |10.89    |~                    |    ~     ~            
7622|TYC 7392-69-1                                                                                                                                                                  |Star                                  |18 13 08.9711691480 -31 40 14.557263888|000.5700149052599 -06.5143941958153|    0.274 0.198   |10.68    |~                    |    ~     ~            
7623|TYC 7392-94-1                                                                                                                                                                  |Star                                  |18 13 07.0396525464 -30 29 06.068971212|001.6197256221364 -05.9513521098822|    6.801 2.225   |10.70    |~                    |    ~     ~            
7624|TYC 7392-229-1                                                                                                                                                                 |Star                                  |18 14 22.5039472392 -31 27 02.762874288|000.8886403259250 -06.6422271175353|   4.042 -0.237   |10.64    |~                    |    ~     ~            
7625|TYC 7392-322-1                                                                                                                                                                 |Star                                  |18 12 52.6067319168 -30 20 48.098360148|001.7178469789600 -05.8404594823905|   -2.439 2.740   |10.83    |~                    |    ~     ~            
7626|TYC 7392-478-1                                                                                                                                                                 |Star                                  |18 12 50.7387461424 -30 16 50.859990156|001.7730857394931 -05.8034733635126|    3.582 4.156   |10.85    |~                    |    ~     ~            
7627|TYC 7392-540-1                                                                                                                                                                 |Star                                  |18 14 47.2432613400 -30 25 03.341763948|001.8494364848774 -06.2375658083333|  7.739 -10.365   |10.84    |~                    |    ~     ~            
7628|TYC 7392-566-1                                                                                                                                                                 |Star                                  |18 13 11.7803683656 -30 34 37.858537920|001.5460037638444 -06.0097279132010|   2.672 -1.393   |10.81    |~                    |    ~     ~            
7629|TYC 7392-848-1                                                                                                                                                                 |Star                                  |18 13 33.9067474008 -30 47 53.905647732|001.3871624680182 -06.1836120370160|   1.772 -0.295   |10.85    |~                    |    ~     ~            
7630|CPD-31 5439                                                                                                                                                                    |Star                                  |18 14 59.7885550728 -31 45 36.708786324|000.6750503801836 -06.9035054611910|   -6.309 1.483   |10.83    |F                    |    ~     ~            
7631|TYC 7392-968-1                                                                                                                                                                 |Star                                  |18 14 49.7462024448 -30 40 56.867242188|001.6180959038166 -06.3693327697423| 10.274 -18.977   |10.93    |~                    |    ~     ~            
7632|TYC 7392-1006-1                                                                                                                                                                |Star                                  |18 12 33.1317494088 -30 42 23.178614400|001.3657563137267 -05.9483552193408|    6.524 2.182   |10.85    |~                    |    ~     ~            
7633|TYC 7392-1083-1                                                                                                                                                                |Star                                  |18 12 46.8427251960 -30 25 53.214579984|001.6328886925551 -05.8621304009025|   -1.406 0.024   |10.92    |~                    |    ~     ~            
7634|TYC 7392-1146-1                                                                                                                                                                |Star                                  |18 14 22.3632445128 -30 56 35.230524972|001.3401409338199 -06.4045608510433|    2.594 2.583   |10.82    |~                    |    ~     ~            
7635|TYC 7392-1457-1                                                                                                                                                                |Star                                  |18 14 50.0529300960 -30 35 47.072374044|001.6951615485519 -06.3300892472243|   -0.914 1.067   |10.56    |~                    |    ~     ~            
7636|CPD-30 5355                                                                                                                                                                    |Star                                  |18 12 09.2162083080 -30 00 19.432485000|001.9460440556006 -05.5415467499804|  -2.367 -7.830   |10.85    |F8                   |    ~     ~            
7637|TYC 7392-1588-1                                                                                                                                                                |Star                                  |18 12 28.2755556840 -30 13 27.592975092|001.7847867058621 -05.7055486024125|    1.516 3.765   |10.97    |~                    |    ~     ~            
7638|TYC 7392-1677-1                                                                                                                                                                |Star                                  |18 09 17.3520088752 -31 27 53.580550824|000.3616857310984 -05.6924606595984| -7.700 -12.898   |10.40    |~                    |    ~     ~            
7639|TYC 7392-1722-1                                                                                                                                                                |Star                                  |18 10 08.0719951680 -30 27 22.534100172|001.3394836836827 -05.3715844499298|   1.456 -1.977   |10.47    |~                    |    ~     ~            
7640|TYC 7392-1756-1                                                                                                                                                                |Star                                  |18 10 02.8597377648 -30 31 34.713418440|001.2686596657006 -05.3884739991260| -3.114 -13.461   |10.94    |~                    |    ~     ~            
7641|CPD-31 5359                                                                                                                                                                    |Star                                  |18 09 10.2477783024 -31 28 54.542249724|000.3346377354014 -05.6783288458589|  0.309 -12.865   |10.99    |F8                   |    ~     ~            
7642|TYC 7392-1801-1                                                                                                                                                                |Star                                  |18 09 10.9780743288 -31 26 42.949575240|000.3681764446135 -05.6631949665311|   3.214 -7.159   |10.75    |~                    |    ~     ~            
7643|TYC 7392-1852-1                                                                                                                                                                |Star                                  |18 11 36.1005731208 -30 53 31.522454304|001.1043520926425 -05.8560512493454|  -1.380 -0.472   |10.67    |~                    |    ~     ~            
7644|TYC 7392-1871-1                                                                                                                                                                |Star                                  |18 10 32.1724489152 -31 38 24.021882420|000.3336117043354 -06.0094221532413|   2.384 -9.765   |10.35    |~                    |    ~     ~            
7645|TYC 7392-1889-1                                                                                                                                                                |Star                                  |18 10 18.9837770040 -31 36 18.233579304|000.3422506136345 -05.9516580348596|  -0.481 -2.465   |10.86    |~                    |    ~     ~            
7646|TYC 7392-1916-1                                                                                                                                                                |Star                                  |18 09 41.3770716384 -30 01 49.305987768|001.6694482735852 -05.0840975562494|  -1.110 -1.490   |10.77    |~                    |    ~     ~            
7647|CPD-30 5324                                                                                                                                                                    |Star                                  |18 10 34.9134614016 -30 46 47.342723412|001.0994830210243 -05.6100804202436|  -8.409 -6.734   |10.99    |F8                   |    ~     ~            
7648|TYC 7392-1934-1                                                                                                                                                                |Star                                  |18 12 25.1442427392 -30 07 31.584531036|001.8670322851992 -05.6489044735923|  -1.266 -3.457   |10.79    |~                    |    ~     ~            
7649|TYC 7392-1970-1                                                                                                                                                                |Star                                  |18 09 30.6999858384 -30 06 56.577491208|001.5757011024825 -05.0910212136600|  -2.861 -3.946   |10.87    |~                    |    ~     ~            
7650|TYC 7392-2001-1                                                                                                                                                                |Star                                  |18 09 57.3107774760 -31 31 12.653870592|000.3806574178705 -05.8436476602510|   0.662 -0.566   |10.92    |~                    |    ~     ~            
7651|CPD-30 5312                                                                                                                                                                    |Star                                  |18 10 02.2097502840 -30 30 09.175472388|001.2885311037387 -05.3751096179946|   0.019 -4.747   |10.93    |F8                   |    ~     ~            
7652|TYC 7392-2133-1                                                                                                                                                                |Star                                  |18 10 44.6540531832 -31 34 19.321464036|000.4149014470544 -06.0162457715891|-17.525 -17.236   |10.97    |~                    |    ~     ~            
7653|CPD-30 5327                                                                                                                                                                    |Star                                  |18 10 40.2122740104 -30 49 14.816795088|001.0722983797895 -05.6462174370646| -4.670 -18.743   |10.66    |F                    |    ~     ~            
7654|TYC 7392-2148-1                                                                                                                                                                |Star                                  |18 10 33.8784447600 -30 16 06.866347404|001.5496293203039 -05.3638996379486|    4.646 3.605   |10.89    |~                    |    ~     ~            
7655|TYC 7392-2150-1                                                                                                                                                                |Star                                  |18 09 08.8125051984 -30 01 16.558628088|001.6211195944295 -04.9765530942218|  -0.870 -2.867   |10.82    |~                    |    ~     ~            
7656|TYC 7392-2217-1                                                                                                                                                                |Star                                  |18 11 38.2287494952 -31 45 06.116901264|000.3459212777670 -06.2685885299584|   1.196 -8.445   |10.5     |~                    |    ~     ~            
7657|TYC 7392-2252-1                                                                                                                                                                |Star                                  |18 10 39.9897549936 -30 16 48.863860284|001.5498209436604 -05.3887927169664|  -0.013 -4.957   |10.37    |~                    |    ~     ~            
7658|TYC 7392-2318-1                                                                                                                                                                |Star                                  |18 12 16.2342156888 -30 49 10.304795712|001.2368057170764 -05.9483255670156|   6.061 -3.767   |10.75    |~                    |    ~     ~            
7659|2MASS J18090971-3148285                                                                                                                                                        |Long-Period Variable Candidate        |18 09 09.7123081632 -31 48 28.433633544|000.0455448778007 -05.8319457310587|   6.286 -2.751   |10.94    |~                    |    ~     ~            
7660|TYC 7392-2345-1                                                                                                                                                                |Star                                  |18 11 27.7937961264 -31 32 14.410579200|000.5184718787201 -06.1348152922680|  -3.126 -3.868   |10.65    |~                    |    ~     ~            
7661|TYC 7392-2385-1                                                                                                                                                                |Star                                  |18 09 17.0502583848 -31 34 09.820338852|000.2688114630870 -05.7412834953446|   0.207 -4.420   |10.82    |~                    |    ~     ~            
7662|HD 166398                                                                                                                                                                      |Star                                  |18 11 45.7355583384 -31 02 49.535209680|000.9833688453021 -05.9596328087658|  -2.207 -6.846   |10.35    |B7/8IV/V             |    ~     ~            
