C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:36:48

dec< 0&rah >=3.25&rah< 3.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2736

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |       ang. size       |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|-----------------------|-----|----------------|-----------------------|--------|-------------------
1981|CD-55 677                                                                                                                                   |Star                                |03 20 12.3560431248 -54 32 49.982406648|268.6471290674840 -51.5057787522002|   8.700 -0.106   |9.30     |~                    |    ~     ~            |    1|  533.476   pc  |  -3.2444     +3.2444  |paral   |2020yCat.1350....0G
1982|HD 21151                                                                                                                                    |Star                                |03 22 19.5148468344 -54 41 23.866442448|268.5998568838851 -51.1687075730125|  4.565 -11.000   |8.21     |K2III                |    ~     ~            |    1|  802.826   pc  | -31.0663    +31.0663  |paral   |2020yCat.1350....0G
1983|CD-55 693                                                                                                                                   |Star                                |03 26 04.6470696120 -54 35 41.377656408|268.0484750085828 -50.7408379565199|-19.134 -21.993   |9.61     |~                    |    ~     ~            |    1|  247.442   pc  |  -8.0600     +8.0600  |ST-L    |2020AJ....160...83S
1984|HD 21575                                                                                                                                    |Star                                |03 26 20.2282006416 -54 53 35.536592472|268.4331097581843 -50.5648730836355|  30.584 -4.349   |8.27     |K1III                |    ~     ~            |    1|  271.820   pc  |  -4.4480     +4.4480  |paral   |2020yCat.1350....0G
1985|CD-55 697                                                                                                                                   |Star                                |03 27 34.7007615816 -54 46 55.160673888|268.1452094631823 -50.4610170901713|   -8.111 9.957   |9.60     |~                    |    ~     ~            |    1|  427.606   pc  |  -1.7370     +1.7370  |paral   |2020yCat.1350....0G
1986|CD-55 699                                                                                                                                   |Star                                |03 27 33.6970907856 -55 24 39.238681644|269.0113568706644 -50.1617125918105|   2.182 49.539   |10.36    |~                    |    ~     ~            |    1|  272.836   pc  |  -1.0570     +1.0570  |paral   |2020yCat.1350....0G
1987|CD-55 704                                                                                                                                   |Star                                |03 29 30.6318921744 -54 46 55.442153748|267.9402529638928 -50.2150758725106|  11.345 14.455   |8.99     |~                    |    ~     ~            |    1|  520.888   pc  |  -3.2830     +3.2830  |paral   |2020yCat.1350....0G
1988|CD-54 644                                                                                                                                   |Star                                |03 16 15.2845635360 -54 15 20.555940708|268.7151596875960 -52.1490693041592|  -27.726 4.691   |10.59    |~                    |    ~     ~            |    1|  116.702   pc  |  -0.1811     +0.1811  |paral   |2020yCat.1350....0G
1989|CD-54 651                                                                                                                                   |Star                                |03 17 54.6255239568 -54 02 18.549052116|268.2096485768389 -52.0514228756225|  -8.174 -2.590   |10.66    |~                    |    ~     ~            |    1|  392.471   pc  |  -9.3220     +9.3220  |ST-L    |2020AJ....160...83S
1990|CD-54 663                                                                                                                                   |High Proper Motion Star             |03 21 43.4853672264 -53 45 31.817040516|267.3662685982321 -51.7009999772488|  71.883 19.459   |10.263   |~                    |    ~     ~            |    1|  126.831   pc  |  -0.8026     +0.8026  |ST-L    |2020AJ....160...83S
1991|CD-55 686                                                                                                                                   |Star                                |03 23 08.9839522800 -55 01 03.866234304|268.9585441790304 -50.9029202158082|  10.678 24.497   |10.79    |~                    |    ~     ~            |    1|  208.386   pc  |  -2.1340     +2.1340  |ST-L    |2020AJ....160...83S
1992|CD-54 670                                                                                                                                   |High Proper Motion Star             |03 23 35.3566443264 -54 06 43.642407924|267.6511271594159 -51.2903200610785|  73.029 -9.203   |10.71    |~                    |    ~     ~            |    1|  224.888   pc  |  -2.4020     +2.4020  |ST-L    |2020AJ....160...83S
1993|CD-54 673                                                                                                                                   |Star                                |03 24 33.8018584896 -54 04 13.601256024|267.4835856242485 -51.1848089701795|  13.087 15.838   |10.08    |~                    |    ~     ~            |    1|  707.214   pc  |  -6.1519     +6.1519  |paral   |2020yCat.1350....0G
1994|CD-54 676                                                                                                                                   |Star                                |03 25 19.9057638936 -54 07 33.625782192|267.4763726047237 -51.0592862702122|   11.218 1.313   |10.66    |~                    |    ~     ~            |    1|  349.004   pc  |  -1.3520     +1.3520  |paral   |2020yCat.1350....0G
1995|CD-55 701                                                                                                                                   |Star                                |03 28 30.2275595520 -54 59 53.320787664|268.3447145919164 -50.2414159234593|   7.428 -2.483   |10.48    |~                    |    ~     ~            |    1|  272.198   pc  |  -0.8891     +0.8891  |paral   |2020yCat.1350....0G
1996|CD-55 698                                                                                                                                   |High Proper Motion Star             |03 27 36.0393014472 -54 51 56.526829488|268.2584988280407 -50.4184479189351|-14.969 251.759   |10.769   |~                    |    ~     ~            |    1|   64.989   pc  |  -0.0456     +0.0456  |paral   |2020yCat.1350....0G
1997|CD-54 652                                                                                                                                   |Star                                |03 17 55.9890211008 -54 20 48.947198388|268.6383876826360 -51.8920888385188|   -0.569 4.286   |10.343   |~                    |    ~     ~            |    1| 1027.550   pc  | -50.3300    +50.3300  |ST-L    |2020AJ....160...83S
1998|CD-53 688                                                                                                                                   |Star                                |03 23 05.8530518544 -53 25 30.421327152|266.7363682289998 -51.6812042581168|  -2.712 -0.136   |10.02    |~                    |    ~     ~            |    1| 1757.469   pc  | -45.4039    +45.4039  |paral   |2020yCat.1350....0G
1999|CD-55 689                                                                                                                                   |Star                                |03 23 35.9420169312 -55 04 24.479592492|268.9844871400662 -50.8193819080035|  -0.466 -7.675   |10.629   |~                    |    ~     ~            |    1|  914.798   pc  | -40.4500    +40.4500  |ST-L    |2020AJ....160...83S
2000|CD-54 674                                                                                                                                   |Star                                |03 24 50.7168736440 -53 59 46.222551384|267.3479494529086 -51.1836031812201|  27.175 22.195   |10.24    |~                    |    ~     ~            |    1|  549.330   pc  |  -3.6815     +3.6815  |paral   |2020yCat.1350....0G
2001|CD-53 698                                                                                                                                   |Star                                |03 28 47.9563255104 -52 55 19.545686292|265.3955829679748 -51.1485205570486|    5.688 1.661   |10.85    |~                    |    ~     ~            |    1| 1127.396   pc  | -13.5999    +13.5999  |paral   |2020yCat.1350....0G
2002|CD-55 703                                                                                                                                   |Star                                |03 28 48.5480108256 -55 09 32.964820272|268.5337411137712 -50.1265932834301|  7.913 -26.475   |10.55    |~                    |    ~     ~            |    1|  607.460   pc  |  -3.7639     +3.7639  |paral   |2020yCat.1350....0G
2003|CD-53 701                                                                                                                                   |Star                                |03 29 30.1356865992 -53 18 11.784693096|265.8664148345022 -50.8864221868642|   5.932 38.493   |10.835   |~                    |    ~     ~            |    1|  374.871   pc  |  -7.1780     +7.1780  |ST-L    |2020AJ....160...83S
2004|CD-54 672                                                                                                                                   |Long-Period Variable Candidate      |03 24 33.0745177488 -54 09 13.250541528|267.6016450232939 -51.1467206186931|   19.019 3.138   |10.73    |~                    |    ~     ~            |    1|  874.508   pc  | -32.1966    +32.1966  |paral   |2020yCat.1350....0G
2005|TYC 8493-154-1                                                                                                                              |Star                                |03 22 39.4209946752 -54 06 39.267934920|267.7550225010616 -51.4105588621752|   -8.915 1.634   |10.830   |~                    |    ~     ~            |    1|  708.845   pc  | -23.8200    +23.8200  |ST-L    |2020AJ....160...83S
2006|TYC 8493-508-1                                                                                                                              |Spectroscopic Binary                |03 17 07.0110562512 -54 42 04.585913856|269.2289372514268 -51.8113311011246|   11.617 9.213   |10.92    |~                    |    ~     ~            |    1|  233.240   pc  |  -2.6310     +2.6310  |ST-L    |2020AJ....160...83S
2007|CD-53 700                                                                                                                                   |Spectroscopic Binary                |03 29 08.7744361328 -53 30 09.685520479|266.1869155291677 -50.8456071192225|  -0.779 -4.775   |10.271   |~                    |    ~     ~            |    1|  299.94    pc  |  -4.6151     +4.6151  |paral   |2020yCat.1350....0G
2008|TYC 8493-1007-1                                                                                                                             |Star                                |03 21 01.4195171616 -54 41 56.351439492|268.7622124594028 -51.3271990759717|  -5.820 29.856   |10.89    |~                    |    ~     ~            |    1|  152.329   pc  |  -1.2310     +1.2310  |ST-L    |2020AJ....160...83S
2009|TYC 8493-1280-1                                                                                                                             |High Proper Motion Star             |03 26 07.6663568064 -53 35 24.841112604|266.6340168012021 -51.2056329597041|  71.771 10.729   |10.93    |~                    |    ~     ~            |    1|   94.579   pc  |  -0.4713     +0.4713  |ST-L    |2020AJ....160...83S
2010|V* AK Hor                                                                                                                                   |Eclipsing Binary                    |03 15 08.7270777168 -51 44 10.076823996|265.2309533553251 -53.5456553048685|  25.141 13.082   |9.65     |K1                   |    ~     ~            |    1|  496.746   pc  |  -3.0598     +3.0598  |paral   |2020yCat.1350....0G
2011|CPD-52 377                                                                                                                                  |High Proper Motion Star             |03 15 48.5570245608 -52 25 54.427570464|266.1694547831419 -53.1210843621252| 64.930 -45.111   |10.59    |~                    |    ~     ~            |    1|  204.244   pc  |  -2.2485     +2.2485  |paral   |2020yCat.1350....0G
2012|CD-52 651                                                                                                                                   |Star                                |03 16 18.0993768120 -52 19 11.169103800|265.9455336868381 -53.1096162765236|   -2.712 7.151   |9.40     |~                    |    ~     ~            |    1|  461.340   pc  |  -2.4263     +2.4263  |paral   |2020yCat.1350....0G
2013|CD-52 654                                                                                                                                   |High Proper Motion Star             |03 17 30.0786016464 -51 55 42.492224280|265.2260554763130 -53.1340117350913|  97.108 63.721   |10.03    |~                    |    ~     ~            |    1|  133.862   pc  |  -0.1917     +0.1917  |paral   |2020yCat.1350....0G
2014|CD-52 662                                                                                                                                   |Star                                |03 19 30.8951 -51 57 23.286            |265.0271784 -52.8463439            |  39.037 20.222   |10.28    |~                    |    ~     ~            |    1|  190.385   pc  |  -1.8230     +1.8230  |ST-L    |2020AJ....160...83S
2015|HD 20916                                                                                                                                    |High Proper Motion Star             |03 20 11.7524500224 -52 01 54.678248220|265.0580125809227 -52.7185814452363|-84.131 -103.076  |8.45     |K0V                  |    ~     ~            |    1|   34.443   pc  |  -0.2523     +0.2523  |paral   |2020yCat.1350....0G
2016|CD-52 665                                                                                                                                   |Star                                |03 20 21.4929309552 -52 27 19.255834656|265.6571884684885 -52.5004475181764|  20.732 -2.087   |9.94     |~                    |    ~     ~            |    1|  566.669   pc  |  -3.5322     +3.5322  |paral   |2020yCat.1350....0G
2017|CD-53 677                                                                                                                                   |Star                                |03 20 52.9293262512 -52 32 25.987106400|265.7198883743349 -52.3901847145644|  35.193 13.972   |9.95     |~                    |    ~     ~            |    1|  275.734   pc  |  -3.5420     +3.5420  |ST-L    |2020AJ....160...83S
2018|CD-52 666                                                                                                                                   |High Proper Motion Star             |03 20 57.2607256440 -52 22 45.549083856|265.4773235645211 -52.4552662523760|  66.562 39.592   |9.93     |~                    |    ~     ~            |    1|  205.417   pc  |  -2.0800     +2.0800  |ST-L    |2020AJ....160...83S
2019|CD-52 668                                                                                                                                   |Star                                |03 21 36.0614780664 -52 16 41.488181220|265.2554850603217 -52.4140748823047|  18.967 16.109   |9.59     |~                    |    ~     ~            |    1|  624.220   pc  |  -4.6368     +4.6368  |paral   |2020yCat.1350....0G
2020|HD 20612                                                                                                                                    |High Proper Motion Star             |03 16 45.7316218992 -52 55 42.254797188|266.7711639213347 -52.7523312212106|-37.143 -105.995  |9.08     |G6V                  |    ~     ~            |    1|   57.330   pc  |  -0.0486     +0.0486  |paral   |2020yCat.1350....0G
2021|HD 20732                                                                                                                                    |Star                                |03 18 03.7890360216 -52 51 21.257401932|266.5089557841532 -52.6163399986431|   5.296 -4.521   |9.21     |K0III                |    ~     ~            |    1|  505.564   pc  | -12.3800    +12.3800  |ST-L    |2020AJ....160...83S
2022|HD 20806                                                                                                                                    |Star                                |03 18 52.4039265624 -52 44 49.386010884|266.2549007137220 -52.5613504124404| -25.495 16.061   |9.66     |F6V                  |    ~     ~            |    1|  194.280   pc  |  -1.9720     +1.9720  |ST-L    |2020AJ....160...83S
2023|HD 21002                                                                                                                                    |Star                                |03 21 01.3768566120 -53 03 19.390539960|266.4460394750605 -52.1294876187976|   17.347 9.571   |8.70     |K0III                |    ~     ~            |    1|  327.622   pc  |  -2.2541     +2.2541  |paral   |2020yCat.1350....0G
2024|CD-53 680                                                                                                                                   |Star                                |03 21 13.0520329656 -52 56 48.501717108|266.2675782835846 -52.1550143672210|-11.791 -21.013   |10.15    |~                    |    ~     ~            |    1|  253.536   pc  |  -3.1930     +3.1930  |ST-L    |2020AJ....160...83S
2025|CD-53 681                                                                                                                                   |Double or Multiple Star             |03 21 11.252616 -53 25 44.08032        |266.960560532 -51.929694759        |       49.6 8.2   |10.233   |G0                   |    ~     ~            |    0|                |                       |        |                   
2026|HD 21036                                                                                                                                    |High Proper Motion Star             |03 21 23.8622410224 -52 51 18.456635664|266.1148391211079 -52.1741331618860|122.977 131.101   |8.45     |G6IV                 |    ~     ~            |    1|   44.031   pc  |  -0.0281     +0.0281  |paral   |2020yCat.1350....0G
2027|CD-53 684                                                                                                                                   |Star                                |03 21 34.8975449448 -53 16 56.401260132|266.7061211618915 -51.9480474153867|  31.797 10.621   |9.72     |~                    |    ~     ~            |    1|  339.052   pc  |  -1.4025     +1.4025  |paral   |2020yCat.1350....0G
2028|CD-53 685                                                                                                                                   |High Proper Motion Star             |03 21 46.4116555848 -52 52 31.717592400|266.1008628057044 -52.1144861699026|-49.699 -32.880   |9.63     |~                    |    ~     ~            |    1|  160.365   pc  |  -1.6610     +1.6610  |ST-L    |2020AJ....160...83S
2029|CD-53 686                                                                                                                                   |Spectroscopic Binary                |03 22 22.5580616064 -52 55 13.131647508|266.0964102581329 -52.0132080751656|-32.982 -41.534   |10.00    |~                    |    ~     ~            |    1|  311.988   pc  |  -5.5170     +5.5170  |ST-L    |2020AJ....160...83S
2030|CD-54 648                                                                                                                                   |Star                                |03 16 50.5521523008 -54 05 28.493427192|268.4131471458943 -52.1596315944409|   15.993 8.009   |9.81     |~                    |    ~     ~            |    1|  168.750   pc  |  -1.4240     +1.4240  |ST-L    |2020AJ....160...83S
2031|CD-54 653                                                                                                                                   |High Proper Motion Star             |03 18 18.8164747560 -53 52 35.896974312|267.9335499769045 -52.0814803176005|  51.971 22.265   |10.216   |~                    |    ~     ~            |    1|  230.714   pc  |  -2.3530     +2.3530  |ST-L    |2020AJ....160...83S
2032|NGC 1311                           NGC 1311                                                                                                 |Galaxy                              |03 20 06.946 -52 11 07.76              |265.292266 -52.658640              |            ~ ~   |12.93    |~                    |0.847 0.457            |    1|    5.45    Mpc |                       |T-F     |2011ApJS..192....6L
2033|CD-52 656                                                                                                                                   |Star                                |03 18 14.1478357152 -52 25 38.270461584|265.8675202891112 -52.7989748371297|   1.349 14.249   |10.63    |~                    |    ~     ~            |    1|  403.543   pc  |  -8.8390     +8.8390  |ST-L    |2020AJ....160...83S
2034|CD-52 660                                                                                                                                   |Star                                |03 19 16.7439316392 -52 00 05.788009512|265.1212636154265 -52.8576824341757|    0.992 8.161   |10.447   |~                    |    ~     ~            |    1|  884.292   pc  | -29.1600    +29.1600  |ST-L    |2020AJ....160...83S
2035|CD-53 689                                                                                                                                   |Spectroscopic Binary                |03 23 12.2791119072 -52 40 08.169773772|265.6401234602771 -52.0181202639977| -11.833 -6.199   |10.61    |~                    |    ~     ~            |    1|  465.107   pc  |  -9.9340     +9.9340  |ST-L    |2020AJ....160...83S
2036|CD-52 648                                                                                                                                   |Star                                |03 15 34.0585302048 -52 01 28.357522248|265.6037510257829 -53.3503770021448|   15.209 9.857   |10.43    |~                    |    ~     ~            |    1|  654.279   pc  |  -4.3664     +4.3664  |paral   |2020yCat.1350....0G
2037|TYC 8065-241-1                                                                                                                              |Star                                |03 16 02.8581365496 -52 24 32.476026852|266.1068946633129 -53.1003812518698|-20.672 -18.662   |10.904   |~                    |    ~     ~            |    1|  255.554   pc  |  -3.1670     +3.1670  |ST-L    |2020AJ....160...83S
2038|TYC 8493-767-1                                                                                                                              |Spectroscopic Binary                |03 20 56.1881373864 -53 05 40.208869788|266.5121618587270 -52.1223551334686|  11.793 26.886   |10.99    |~                    |    ~     ~            |    1|  475.807   pc  | -14.9000    +14.9000  |ST-L    |2020AJ....160...83S
2039|CD-53 681A                                                                                                                                  |Star                                |03 21 11.1538414607 -53 25 43.950640364|266.9607000783927 -51.9299271904457|   48.378 9.097   |10.99    |~                    |    ~     ~            |    1|  216.076   pc  |  -3.0674     +3.0674  |paral   |2018yCat.1345....0G
2040|TYC 8493-1324-1                                                                                                                             |Star                                |03 16 04.4550375120 -54 11 36.523389084|268.6503969584626 -52.2037625544289|  10.198 16.867   |10.49    |~                    |    ~     ~            |    1|  757.978   pc  |  -6.1475     +6.1475  |paral   |2020yCat.1350....0G
2041|HD 20544                                                                                                                                    |Star                                |03 15 32.6818342296 -57 49 17.746848408|273.5756663119859 -50.2876258225138|  10.487 21.592   |8.71     |K1III                |    ~     ~            |    1|  305.483   pc  |  -1.6424     +1.6424  |paral   |2020yCat.1350....0G
2042|HD 20855                                                                                                                                    |High Proper Motion Star             |03 18 54.6125356656 -57 58 44.129026848|273.3824432130186 -49.8301735311621| 52.619 116.755   |7.46     |K0III                |    ~     ~            |    1|  211.394   pc  |  -0.6033     +0.6033  |paral   |2020yCat.1350....0G
2043|CD-58 676                                                                                                                                   |Star                                |03 20 35.9457487176 -58 07 20.925313464|273.3736728270873 -49.5646651108019|   -9.515 8.701   |10.89    |~                    |    ~     ~            |    1|  224.749   pc  |  -0.6516     +0.6516  |paral   |2020yCat.1350....0G
2044|HD 21660                                                                                                                                    |Star                                |03 27 06.7786640880 -56 25 39.032782968|270.4334776509630 -49.7148046949902|  -2.607 10.105   |9.27     |K1III(CNII)          |    ~     ~            |    1|  473.889   pc  |  -2.9868     +2.9868  |paral   |2020yCat.1350....0G
2045|HD 21862                                                                                                                                    |High Proper Motion Star             |03 28 44.3611853400 -56 25 04.228509612|270.2474562288834 -49.5247082356331|  47.152 96.903   |9.46     |F5V                  |    ~     ~            |    1|  154.176   pc  |  -0.3328     +0.3328  |paral   |2020yCat.1350....0G
2046|CD-57 661                                                                                                                                   |High Proper Motion Star             |03 21 14.5282808856 -57 29 50.720129772|272.4936689309852 -49.8368489489665| 43.852 -52.227   |9.89     |~                    |    ~     ~            |    1|  124.802   pc  |  -0.7946     +0.7946  |ST-L    |2020AJ....160...83S
2047|HD 21255                                                                                                                                    |Star                                |03 23 04.1300714304 -56 52 50.644660836|271.4794233587427 -49.9580752758130|  -6.321 46.442   |8.98     |K1III                |    ~     ~            |    1|  315.537   pc  |  -1.1749     +1.1749  |paral   |2020yCat.1350....0G
2048|CD-57 671                                                                                                                                   |Double or Multiple Star             |03 24 07.766616 -57 26 52.62324        |272.106816328 -49.536102412        |      51.5 67.8   |10.00    |G0                   |    ~     ~            |    0|                |                       |        |                   
2049|HD 21413                                                                                                                                    |Star                                |03 24 23.5201177704 -57 33 03.983720220|272.2125793592750 -49.4514514480151|  13.950 17.749   |7.44     |G8III                |    ~     ~            |    1|  186.022   pc  |  -0.5433     +0.5433  |paral   |2020yCat.1350....0G
2050|CD-57 673                                                                                                                                   |Star                                |03 24 48.2187659928 -56 34 15.517919964|270.8760386984176 -49.9162479580406|  -3.602 29.541   |9.89     |~                    |    ~     ~            |    1|  144.393   pc  |  -1.0630     +1.0630  |ST-L    |2020AJ....160...83S
2051|CD-57 679                                                                                                                                   |Star                                |03 26 42.2468269704 -56 48 06.445146348|270.9759736158561 -49.5739095903783|  37.089 29.299   |10.077   |~                    |    ~     ~            |    1|  319.781   pc  |  -5.1000     +5.1000  |ST-L    |2020AJ....160...83S
2052|HD 21627                                                                                                                                    |Star                                |03 26 47.4434521416 -56 44 15.577587888|270.8815180231688 -49.5963470762240|  19.687 14.555   |9.09     |K3III                |    ~     ~            |    1|  603.136   pc  |  -4.8746     +4.8746  |paral   |2020yCat.1350....0G
2053|HD 21721                                                                                                                                    |Star                                |03 27 27.2112637152 -57 08 17.999862864|271.3407761912878 -49.3142353623433|  3.267 -17.597   |9.01     |K0/1III              |    ~     ~            |    1|  396.464   pc  |  -1.8548     +1.8548  |paral   |2020yCat.1350....0G
2054|HD 22015                                                                                                                                    |Star                                |03 29 58.8626191752 -57 48 07.981606440|271.9458827379510 -48.6828983061593|   0.013 -0.952   |9.38     |G5/6III              |    ~     ~            |    1|  508.078   pc  |  -2.5814     +2.5814  |paral   |2020yCat.1350....0G
2055|HD 21234                                                                                                                                    |Star                                |03 22 48.6603430200 -57 50 47.532493140|272.7705051234967 -49.4711283761207|  26.640 21.164   |10.00    |A1V                  |    ~     ~            |    1|  706.886   pc  |-322.6000   +322.6000  |ST-L    |2020AJ....160...83S
2056|HD 21693                                                                                                                                    |High Proper Motion Star             |03 27 12.4815289824 -58 19 25.249845108|272.9097759939738 -48.7247773962700| 248.881 94.746   |7.94     |G9IV-V               |    ~     ~            |    1|   33.311   pc  |  -0.0196     +0.0196  |paral   |2020yCat.1350....0G
2057|HD 21826                                                                                                                                    |Star                                |03 28 17.2707872376 -57 52 56.048886588|272.2258653399602 -48.8348747738870| -4.125 -14.802   |6.68     |K5III                |    ~     ~            |    1|  354.333   pc  |  -3.2016     +3.2016  |paral   |2020yCat.1350....0G
2058|CD-58 698                                                                                                                                   |Star                                |03 29 28.3251675816 -58 17 41.147450700|272.6364994390363 -48.4868722459180| -1.490 -23.054   |10.01    |~                    |    ~     ~            |    1|  120.808   pc  |  -0.1854     +0.1854  |paral   |2020yCat.1350....0G
2059|CD-58 685                                                                                                                                   |Star                                |03 25 51.6750364032 -57 39 35.828790156|272.1947126431431 -49.2268710864798|    5.812 3.955   |9.63     |~                    |    ~     ~            |    1|  921.574   pc  | -12.9943    +12.9943  |paral   |2020yCat.1350....0G
2060|CD-58 678                                                                                                                                   |Star                                |03 21 43.8403351464 -57 47 36.108251844|272.8223917417290 -49.6207423139041| -5.361 -12.237   |10.102   |~                    |    ~     ~            |    1|  640.938   pc  | -24.4800    +24.4800  |ST-L    |2020AJ....160...83S
2061|CD-58 681                                                                                                                                   |Star                                |03 23 26.7100167360 -58 03 48.327494256|272.9802863043659 -49.2828174504787|  45.681 11.958   |10.53    |~                    |    ~     ~            |    1|  124.430   pc  |  -0.8077     +0.8077  |ST-L    |2020AJ....160...83S
2062|CD-58 684                                                                                                                                   |High Proper Motion Star             |03 23 48.5768579472 -57 40 26.701411944|272.4365798557897 -49.4518527523727|  46.189 59.599   |10.67    |~                    |    ~     ~            |    1|  101.021   pc  |  -0.5084     +0.5084  |ST-L    |2020AJ....160...83S
2063|CD-57 677                                                                                                                                   |High Proper Motion Star             |03 25 22.4577462360 -57 09 28.857444588|271.5905381411868 -49.5455628977241| 38.604 -36.833   |10.66    |~                    |    ~     ~            |    1|  238.078   pc  |  -0.6235     +0.6235  |paral   |2020yCat.1350....0G
2064|CD-58 687                                                                                                                                   |Star                                |03 26 34.7966339928 -57 35 49.031543796|272.0354210716993 -49.1779779656083|  17.186 12.659   |10.281   |~                    |    ~     ~            |    1|  875.430   pc  | -37.6800    +37.6800  |ST-L    |2020AJ....160...83S
2065|CD-57 681                                                                                                                                   |Star                                |03 27 20.1587325072 -56 44 26.321249076|270.8270115795781 -49.5304052291864|    7.834 4.679   |10.40    |~                    |    ~     ~            |    1|  817.929   pc  |  -7.7605     +7.7605  |paral   |2020yCat.1350....0G
2066|CD-59 650                                                                                                                                   |High Proper Motion Star             |03 27 59.7691348296 -58 33 57.103143588|273.1377443259034 -48.5089746279845|   1.342 55.661   |10.192   |~                    |    ~     ~            |    1|  173.779   pc  |  -1.4900     +1.4900  |ST-L    |2020AJ....160...83S
2067|CD-58 686                                                                                                                                   |Double or Multiple Star             |03 25 53.6587851024 -58 30 23.952945780|273.2837235717558 -48.7724587985194|   -3.444 7.470   |10.710   |~                    |    ~     ~            |    1|  911.037   pc  | -35.4400    +35.4400  |ST-L    |2020AJ....160...83S
2068|CD-57 684                                                                                                                                   |Star                                |03 28 19.2613497144 -56 39 54.113837760|270.6216620360277 -49.4516527639667|    5.596 6.250   |10.70    |~                    |    ~     ~            |    1| 1018.330   pc  | -11.6144    +11.6144  |paral   |2020yCat.1350....0G
2069|CD-57 687                                                                                                                                   |Eruptive Variable                   |03 28 40.7662424424 -56 53 31.937857476|270.8856709731744 -49.2952330098413|  56.827 98.868   |10.66    |~                    |    ~     ~            |    1|   53.548   pc  |  -0.0404     +0.0404  |paral   |2020yCat.1350....0G
2070|TYC 8499-138-1                                                                                                                              |Star                                |03 28 46.5110528520 -57 48 24.136178940|272.0767258089330 -48.8184623211406|   5.227 -1.587   |10.75    |~                    |    ~     ~            |    1|  921.404   pc  |  -9.4237     +9.4237  |paral   |2020yCat.1350....0G
2071|CD-57 690                                                                                                                                   |Star                                |03 29 41.7263977488 -56 52 04.653174576|270.7471944677983 -49.1871807092744|  26.932 23.804   |10.62    |~                    |    ~     ~            |    1| 1040.170   pc  | -45.3500    +45.3500  |ST-L    |2020AJ....160...83S
2072|CD-56 695                                                                                                                                   |High Proper Motion Star             |03 27 35.4690261600 -56 23 35.133101160|270.3362088274153 -49.6748086771462| 68.434 -60.459   |10.61    |~                    |    ~     ~            |    1|  237.276   pc  |  -0.5743     +0.5743  |paral   |2020yCat.1350....0G
2073|CD-56 698                                                                                                                                   |Star                                |03 27 51.7979331672 -56 09 52.470728496|270.0005386179287 -49.7556825414326|  27.621 30.410   |10.87    |~                    |    ~     ~            |    1|  334.325   pc  |  -1.2519     +1.2519  |paral   |2020yCat.1350....0G
2074|TYC 8499-62-1                                                                                                                               |Star                                |03 16 40.6239548400 -57 43 33.942352224|273.3183310498346 -50.2180802653402|    9.145 4.097   |10.42    |~                    |    ~     ~            |    1| 1349.892   pc  | -23.8709    +23.8709  |paral   |2020yCat.1350....0G
2075|TYC 8499-131-1                                                                                                                              |Star                                |03 21 11.3387778672 -57 47 42.538684452|272.8857158659600 -49.6801689929494| -1.349 -14.862   |10.457   |~                    |    ~     ~            |    1| 1305.420   pc  | -85.2300    +85.2300  |ST-L    |2020AJ....160...83S
2076|HD 20472                                                                                                                                    |Star                                |03 15 11.1809184936 -55 15 30.344320908|270.2301330824286 -51.7523540432476|  28.333 38.664   |9.57     |F5V                  |    ~     ~            |    1|  217.352   pc  |  -2.1910     +2.1910  |ST-L    |2020AJ....160...83S
2077|HD 20708                                                                                                                                    |Star                                |03 17 37.2034264560 -55 28 57.163774584|270.2386452723170 -51.3403576774887|  12.040 -3.026   |8.71     |G8III                |    ~     ~            |    1|  390.638   pc  |  -6.7520     +6.7520  |ST-L    |2020AJ....160...83S
2078|CD-56 670                                                                                                                                   |High Proper Motion Star             |03 20 46.8205134528 -55 37 14.220897060|270.0533183793508 -50.8873032216786|  43.606 48.760   |10.457   |~                    |    ~     ~            |    1|  209.291   pc  |  -2.4660     +2.4660  |ST-L    |2020AJ....160...83S
2079|CD-56 682                                                                                                                                   |Star                                |03 24 14.9862481320 -55 41 08.752564536|269.7476128821365 -50.4332509664150|   19.783 6.198   |10.52    |~                    |    ~     ~            |    1|  535.733   pc  |  -3.9033     +3.9033  |paral   |2020yCat.1350....0G
2080|HD 20556                                                                                                                                    |High Proper Motion Star             |03 15 49.8854539440 -56 22 09.521295780|271.6457346086472 -51.0720734043804|  58.760 59.706   |9.829    |F6V                  |    ~     ~            |    1|  203.862   pc  |  -2.3290     +2.3290  |ST-L    |2020AJ....160...83S
2081|CD-56 659                                                                                                                                   |High Proper Motion Star             |03 16 24.0183426792 -56 11 57.633576108|271.3505524328958 -51.0992840223010|-41.037 -84.254   |9.79     |~                    |    ~     ~            |    1|  130.468   pc  |  -0.8509     +0.8509  |ST-L    |2020AJ....160...83S
