C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:52:37

dec >=0&rah >=10.75&rah< 11.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2387

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
46  |TYC 4555-501-1                                                                                           |Star                              |10 53 27.7521485832 +80 31 58.166801472|128.6230569200560 +35.2531617280534|   2.321 -2.386   |10.84    |~               |    ~     ~    |    1| 1153.669   pc  | -14.6405    +14.6405  |paral   |2020yCat.1350....0G
47  |HD 92838                                                                                                 |Star                              |10 47 41.1327505344 +80 17 53.411696628|129.0270561042796 +35.3173720419534|  22.097 -0.683   |9.10     |G5              |    ~     ~    |    1|  522.084   pc  |  -3.4889     +3.4889  |paral   |2020yCat.1350....0G
48  |BD+80 337                                                                                                |Double or Multiple Star           |10 53 46.922 +79 47 24.41              |129.100181 +35.886557              |       8.1 18.9   |10.38    |F8              |    ~     ~    |    0|                |                       |        |                   
49  |BD+80 341                                                                                                |Star                              |10 56 13.5666843960 +79 47 23.197442856|128.9873843259495 +35.9447409365907|  -5.840 -3.385   |10.76    |~               |    ~     ~    |    0|                |                       |        |                   
50  |HD 93566                                                                                                 |High Proper Motion Star           |10 51 55.0784018688 +79 34 30.635351328|129.3311101163223 +36.0215356265184|-94.516 -64.710   |9.08     |F8              |    ~     ~    |    1|  132.078   pc  |  -0.2058     +0.2058  |paral   |2020yCat.1350....0G
51  |HD 93979                                                                                                 |Star                              |10 54 32.6210971992 +79 20 43.615296528|129.3609551039085 +36.2796236559791|   -4.241 1.250   |7.68     |K0              |    ~     ~    |    1|  406.686   pc  | -10.9821    +10.9821  |paral   |2020yCat.1350....0G
52  |BD+79 341                                                                                                |Star                              |10 46 30.8403736824 +78 13 57.380765520|130.5387444837790 +36.9846623389984|-13.657 -13.137   |10.08    |K0              |    ~     ~    |    1|  866.776   pc  | -22.0131    +22.0131  |paral   |2020yCat.1350....0G
53  |BD+79 342                                                                                                |Star                              |10 47 02.6955900120 +78 39 15.358795164|130.2085261845828 +36.6550786303196| -16.172 -1.070   |9.80     |K0              |    ~     ~    |    1|  601.540   pc  |  -4.2336     +4.2336  |paral   |2020yCat.1350....0G
54  |BD+79 343                                                                                                |Spectroscopic Binary              |10 50 42.5712865992 +79 03 20.606284728|129.7445203537288 +36.4237040003234|  31.268 -9.975   |9.96     |F8              |    ~     ~    |    1|  280.749   pc  |  -1.0641     +1.0641  |paral   |2020yCat.1350....0G
55  |BD+79 344                                                                                                |Star                              |10 50 51.6788628984 +78 26 13.273593036|130.1670611461610 +36.9414154863357|   4.761 -2.752   |9.71     |K2              |    ~     ~    |    1|  566.508   pc  |  -3.9795     +3.9795  |paral   |2020yCat.1350....0G
56  |BD+79 345                                                                                                |Star                              |10 55 56.2882186200 +79 03 06.509340000|129.4884400395894 +36.5624111747911|-42.497 -23.435   |9.57     |F8              |    ~     ~    |    1|  168.095   pc  | -10.0987    +10.0987  |paral   |2020yCat.1350....0G
57  |HD 94513                                                                                                 |Star                              |10 57 41.5819942944 +78 52 20.376977952|129.5188139487569 +36.7590706073892|  -7.163 -7.928   |9.51     |F8              |    ~     ~    |    1|  401.816   pc  |  -3.6651     +3.6651  |paral   |2020yCat.1350....0G
58  |TYC 4552-483-1                                                                                           |Star                              |10 50 48.3232569792 +79 34 48.882532080|129.3795922561029 +35.9896093267960|   -6.110 4.432   |10.45    |~               |    ~     ~    |    1| 2147.766   pc  | -55.3548    +55.3548  |paral   |2020yCat.1350....0G
59  |TYC 4552-530-1                                                                                           |Star                              |10 53 42.3954162816 +79 58 01.680387384|128.9859366834476 +35.7356815099719| -2.204 -39.246   |9.77     |~               |    ~     ~    |    1|  160.524   pc  | -10.2144    +10.2144  |paral   |2020yCat.1350....0G
60  |TYC 4552-563-1                                                                                           |High Proper Motion Star           |10 54 32.1028815936 +78 42 59.196434472|129.7848467890880 +36.8084647349557|-60.244 -15.898   |10.89    |~               |    ~     ~    |    1|  222.331   pc  |  -2.4271     +2.4271  |paral   |2020yCat.1350....0G
61  |TYC 4552-729-1                                                                                           |Star                              |10 45 31.8817401984 +79 15 42.362636868|129.8489885281248 +36.1160701422847| -11.732 -7.173   |10.62    |~               |    ~     ~    |    1|  321.058   pc  |  -1.4122     +1.4122  |paral   |2020yCat.1350....0G
62  |TYC 4552-809-1                                                                                           |Star                              |10 55 15.4767317304 +79 23 19.171283352|129.2976883471104 +36.2608919295452|  4.377 -10.836   |10.59    |~               |    ~     ~    |    1|  272.220   pc  |  -1.0375     +1.0375  |paral   |2020yCat.1350....0G
63  |TYC 4552-856-1                                                                                           |Star                              |10 53 13.0088598264 +79 04 13.249906356|129.6111241082410 +36.4770320586909|  7.524 -10.442   |10.00    |~               |    ~     ~    |    1|  653.211   pc  |  -4.7789     +4.7789  |paral   |2020yCat.1350....0G
64  |GSC 04552-00879                                                                                          |Double or Multiple Star           |10 53 59.2432819032 +79 21 17.368168392|129.3815032924348 +36.2578515461420|   1.349 -5.959   |10.727   |~               |    ~     ~    |    1|  393.236   pc  |  -4.2988     +4.2988  |paral   |2020yCat.1350....0G
65  |TYC 4552-1004-1                                                                                          |Star                              |10 57 17.3490155904 +79 30 38.977925040|129.1195568819634 +36.2068101334197|  -26.394 1.314   |9.44     |~               |    ~     ~    |    1|   90.950   pc  |  -0.1034     +0.1034  |paral   |2020yCat.1350....0G
66  |TYC 4552-1443-1                                                                                          |Star                              |10 45 13.7036870136 +78 29 44.709391860|130.4142262879495 +36.7326268041958|   -0.221 2.882   |10.70    |~               |    ~     ~    |    1|  365.524   pc  | -24.4769    +24.4769  |paral   |2020yCat.1350....0G
67  |TYC 4552-1724-1                                                                                          |Star                              |10 49 25.6988105304 +79 48 39.624422220|129.2848701420759 +35.7634412819595|   1.929 -3.778   |10.74    |~               |    ~     ~    |    1| 1127.904   pc  | -14.5027    +14.5027  |paral   |2020yCat.1350....0G
68  |BD+78 365                                                                                                |Star                              |10 57 36.2233877160 +77 48 07.645820256|130.2389779815927 +37.6626279623178| -14.290 -7.203   |9.60     |K2              |    ~     ~    |    1|  302.234   pc  |  -1.1144     +1.1144  |paral   |2020yCat.1350....0G
69  |HD 94860                                                                                                 |High Proper Motion Star           |10 59 56.8273985808 +77 46 12.624562128|130.1276691456526 +37.7555155541134|-69.567 -21.101   |6.184    |G9III           |    ~     ~    |    1|  154.278   pc  |  -0.5760     +0.5760  |paral   |2020yCat.1350....0G
70  |BD+78 360                                                                                                |High Proper Motion Star           |10 48 48.0635362320 +77 31 28.167607524|130.9275240518602 +37.6328985567307| 57.650 -41.429   |10.19    |G5              |    ~     ~    |    1|  117.762   pc  |  -0.2025     +0.2025  |paral   |2020yCat.1350....0G
71  |BD+78 362                                                                                                |Star                              |10 53 18.9749821560 +77 43 30.346075020|130.5325210986905 +37.6034687917158|    8.310 0.508   |10.08    |K0              |    ~     ~    |    1| 1352.082   pc  | -21.7547    +21.7547  |paral   |2020yCat.1350....0G
72  |BD+78 363                                                                                                |High Proper Motion Star           |10 54 51.6988299768 +77 40 55.205695416|130.4757547247994 +37.6847512220192|-72.557 -46.528   |9.06     |G5              |    ~     ~    |    1|   80.568   pc  |  -0.0785     +0.0785  |paral   |2020yCat.1350....0G
73  |BD+77 409                                                                                                |Star                              |10 46 45.5842490784 +77 04 18.394455108|131.3747477914021 +37.9372235830854|  21.638 -8.943   |9.96     |F5              |    ~     ~    |    1|  196.614   pc  |  -1.2602     +1.2602  |paral   |2020yCat.1350....0G
74  |HD 93251                                                                                                 |Double or Multiple Star           |10 49 07.5145543896 +76 51 51.363310284|131.3896477177262 +38.1836049687140|-22.384 -20.392   |8.86     |F2              |0.0050  0.0    |    1|  201.902   pc  |  -3.2938     +3.2938  |paral   |2020yCat.1350....0G
75  |BD+77 411                                                                                                |Star                              |10 52 22.1742476976 +76 42 25.487155980|131.3096914038945 +38.4184357753029| -19.530 -1.977   |10.18    |A5              |    ~     ~    |    1|  448.712   pc  |  -8.5369     +8.5369  |paral   |2020yCat.1350....0G
76  |AG+77 339                                                                                                |Long-Period Variable Candidate    |10 55 13.0209107568 +77 05 15.245190708|130.8688386804421 +38.1923147929911|  -38.704 5.896   |6.843    |M3III           |    ~     ~    |    1|  371.609   pc  |  -6.1589     +6.1589  |paral   |2020yCat.1350....0G
77  |BD+77 415                                                                                                |Star                              |10 59 29.8051083816 +76 25 01.401260376|131.0713462433487 +38.8884295941976| 15.642 -11.777   |9.70     |K0              |    ~     ~    |    1|  659.979   pc  |  -4.6606     +4.6606  |paral   |2020yCat.1350....0G
78  |BD+77 416                                                                                                |Star                              |10 59 47.0043835200 +77 04 27.313289436|130.6045277975510 +38.3414946222919| -12.860 -2.316   |10.45    |G5              |    ~     ~    |    1|  856.825   pc  | -29.2925    +29.2925  |paral   |2020yCat.1350....0G
79  |HD 93635                                                                                                 |High Proper Motion Star           |10 51 22.9845476808 +75 59 41.202219192|131.8896870640678 +38.9714689066342|-65.978 -36.845   |7.163    |A3              |    ~     ~    |    1|   88.217   pc  |  -0.1642     +0.1642  |paral   |2020yCat.1350....0G
80  |BD+76 401                                                                                                |Star                              |10 50 02.4435548904 +75 37 09.841730016|132.2552135783761 +39.2307266654698|    8.785 2.881   |9.63     |M0              |    ~     ~    |    1| 1692.047   pc  | -48.9577    +48.9577  |paral   |2020yCat.1350....0G
81  |V* FH Dra                                                                                                |Long-Period Variable              |10 59 35.0067820728 +75 28 29.194644540|131.7223147205499 +39.6847178461037|   2.395 12.054   |8.69     |M0              |    ~     ~    |    1|  910.913   pc  | -16.0974    +16.0974  |paral   |2020yCat.1350....0G
82  |TYC 4549-214-1                                                                                           |Star                              |10 57 13.4941448352 +77 15 31.377702204|130.6313724890184 +38.1096215162679|   4.034 -3.146   |10.34    |~               |    ~     ~    |    1| 1245.485   pc  | -20.6314    +20.6314  |paral   |2020yCat.1350....0G
83  |TYC 4549-346-1                                                                                           |Star                              |10 53 59.6416637040 +77 19 15.244687920|130.7770523653774 +37.9603473368741|-33.878 -24.920   |10.98    |~               |    ~     ~    |    1|  265.640   pc  |  -0.9738     +0.9738  |paral   |2020yCat.1350....0G
84  |TYC 4549-464-1                                                                                           |Star                              |10 56 42.1288446336 +76 13 25.843348524|131.3845356318828 +38.9609649718760|  -6.503 -7.176   |10.01    |~               |    ~     ~    |    1|  772.380   pc  |  -6.9799     +6.9799  |paral   |2020yCat.1350....0G
85  |TYC 4549-575-1                                                                                           |Star                              |10 52 20.7878522352 +76 10 18.749492724|131.6987679449610 +38.8589899754530|   -4.126 1.753   |10.57    |~               |    ~     ~    |    1|  839.278   pc  |  -9.0162     +9.0162  |paral   |2020yCat.1350....0G
86  |TYC 4549-728-1                                                                                           |Star                              |10 51 13.7873416296 +77 00 33.632948124|131.1601148141502 +38.1324793118244| -2.560 -16.367   |10.97    |~               |    ~     ~    |    1|  201.288   pc  |  -0.4903     +0.4903  |paral   |2020yCat.1350....0G
87  |TYC 4549-864-1                                                                                           |Star                              |10 57 16.8690409992 +76 54 16.442603064|130.8722948037437 +38.4090272569823|   9.211 -3.390   |10.34    |~               |    ~     ~    |    1|  392.773   pc  |  -1.9438     +1.9438  |paral   |2020yCat.1350....0G
88  |TYC 4549-1107-1                                                                                          |Star                              |10 58 54.5490563280 +76 56 26.217153960|130.7484963584283 +38.4283180555737|-23.651 -10.154   |10.96    |~               |    ~     ~    |    1|  300.517   pc  |  -0.9844     +0.9844  |paral   |2020yCat.1350....0G
89  |TYC 4549-1116-1                                                                                          |Star                              |10 53 58.5296336016 +75 26 14.503791372|132.1296015154611 +39.5207889461223| -13.506 -7.720   |10.43    |~               |    ~     ~    |    1|  379.579   pc  |  -2.2044     +2.2044  |paral   |2020yCat.1350....0G
90  |TYC 4549-1293-1                                                                                          |Star                              |10 50 06.6312915504 +75 57 28.080683136|131.9981457204436 +38.9573636265314|  -2.523 -0.542   |10.78    |~               |    ~     ~    |    1| 1033.592   pc  | -12.6061    +12.6061  |paral   |2020yCat.1350....0G
91  |TYC 4549-1636-1                                                                                          |Star                              |10 59 18.9542565840 +75 40 35.485673412|131.5985306581888 +39.5061635218614|  -3.631 -4.271   |9.95     |~               |    ~     ~    |    1| 1024.800   pc  | -14.1779    +14.1779  |paral   |2020yCat.1350....0G
92  |TYC 4552-1108-1                                                                                          |Star                              |10 53 53.6105947632 +78 02 32.607104280|130.2801558068661 +37.3555060242912|-23.340 -10.873   |10.67    |~               |    ~     ~    |    1|  281.270   pc  |  -0.8623     +0.8623  |paral   |2020yCat.1350....0G
93  |TYC 4552-1246-1                                                                                          |Star                              |10 48 41.6119898208 +77 51 34.881539148|130.6916971573944 +37.3547242226075|  -25.262 5.127   |10.93    |~               |    ~     ~    |    1|  386.877   pc  |  -2.7839     +2.7839  |paral   |2020yCat.1350....0G
94  |TYC 4552-1267-1                                                                                          |Star                              |10 49 20.3236455096 +78 01 27.832127952|130.5389500214492 +37.2385384536739|   1.113 -0.048   |10.46    |~               |    ~     ~    |    1|  802.182   pc  |  -7.4002     +7.4002  |paral   |2020yCat.1350....0G
95  |TYC 4552-1575-1                                                                                          |High Proper Motion Star           |10 59 52.4543756712 +77 42 57.237485508|130.1679881514196 +37.7996186763873|-114.508 -22.945  |10.41    |~               |    ~     ~    |    1|   75.513   pc  |  -0.1083     +0.1083  |paral   |2020yCat.1350....0G
96  |TYC 4552-1748-1                                                                                          |Star                              |10 58 27.9992293488 +77 37 35.256334512|130.3086551418528 +37.8356297298379|  -6.016 -0.869   |10.35    |~               |    ~     ~    |    1| 1145.344   pc  | -16.3977    +16.3977  |paral   |2020yCat.1350....0G
97  |TYC 4391-849-1                                                                                           |Star                              |10 46 49.1725076592 +72 50 38.787771552|134.6568499905949 +41.3269405244420|-14.379 -17.312   |10.99    |G2              |    ~     ~    |    1|  217.089   pc  |  -0.5467     +0.5467  |paral   |2020yCat.1350....0G
