C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:55:07

Vmag< 11&dec< 0&rah >=7.25&rah< 7.5
-----------------------------------

Number of objects : 10274

  #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
-----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
7040 |CD-46 3007                                                                                               |Star                          |07 15 35.9973245976 -46 55 52.385860524|258.0938684097580 -15.6141235101275|  -9.170 13.246   |10.21    |F5              |    ~     ~    
7041 |CD-47 2916                                                                                               |Star                          |07 15 12.3693160440 -47 49 05.269854396|258.9147591011761 -16.0231136656908|  -9.527 11.762   |9.64     |~               |    ~     ~    
7042 |CD-47 2931                                                                                               |High Proper Motion Star       |07 16 24.4955316816 -47 54 32.114706228|259.0836585136996 -15.8730433703112|  37.061 87.471   |10.35    |G0              |    ~     ~    
7043 |CD-47 2939                                                                                               |Star                          |07 16 59.0309303904 -47 30 16.006123872|258.7370532855778 -15.6246658549238|   -6.459 6.156   |10.60    |F2              |    ~     ~    
7044 |CD-47 2964                                                                                               |Star                          |07 18 19.8102188640 -48 04 33.830220036|259.3750882399024 -15.6435589600347| -11.408 21.201   |10.26    |F8              |    ~     ~    
7045 |CD-47 2913                                                                                               |Star                          |07 15 03.9576805440 -48 08 34.029239928|259.2165975671079 -16.1709277823602| -11.584 29.530   |9.90     |F8              |    ~     ~    
7046 |HD 56662                                                                                                 |High Proper Motion Star       |07 15 29.1126122208 -48 13 48.024958980|259.3285258267011 -16.1403889455930|-139.299 162.552  |7.65     |G0V             |    ~     ~    
7047 |CD-48 2822                                                                                               |High Proper Motion Star       |07 16 17.1983160168 -48 17 35.533706640|259.4431802206113 -16.0421579627409| -76.530 35.332   |9.17     |~               |    ~     ~    
7048 |HD 56858                                                                                                 |Spectroscopic Binary          |07 16 23.0840637024 -48 19 42.480533352|259.4835861315079 -16.0409140958375|  -2.853 22.783   |8.66     |F3IV/V          |    ~     ~    
7049 |CD-48 2831                                                                                               |Star                          |07 17 02.1945018768 -48 53 13.681721904|260.0627156880585 -16.1597486665626|  -6.707 14.409   |10.00    |~               |    ~     ~    
7050 |CD-48 2844                                                                                               |Star                          |07 17 43.7482527024 -48 29 10.047939000|259.7254307554832 -15.8974779934734|  -5.070 19.288   |10.12    |G0              |    ~     ~    
7051 |CD-48 2852                                                                                               |Star                          |07 18 14.1435596664 -48 35 45.271386888|259.8646873504958 -15.8636670975602|  -19.933 0.595   |9.82     |~               |    ~     ~    
7052 |CD-48 2865                                                                                               |Star                          |07 19 20.1159629424 -48 46 46.573126356|260.1146474737730 -15.7696666575332|  0.420 -11.145   |10.23    |~               |    ~     ~    
7053 |CD-48 2866                                                                                               |Star                          |07 19 21.0212577936 -48 45 38.787766200|260.0977129510516 -15.7599141005270|  0.207 -11.540   |9.58     |K               |    ~     ~    
7054 |V* HM Pup                                                                                                |Spectroscopic Binary          |07 19 37.7175099888 -48 39 13.025677104|260.0145154831420 -15.6752020162030|   -5.967 2.657   |10.99    |~               |    ~     ~    
7055 |CD-47 2940                                                                                               |Star                          |07 17 02.9576804784 -47 43 00.435579204|258.9441495666000 -15.6984715159279|    0.184 7.983   |10.554   |~               |    ~     ~    
7056 |CD-47 2943                                                                                               |Star                          |07 17 09.8553955368 -47 27 34.978265280|258.7069397072169 -15.5789644647733|   -4.029 5.805   |10.151   |~               |    ~     ~    
7057 |CD-48 2860                                                                                               |Star                          |07 18 54.8513565192 -48 14 00.816923220|259.5653561365267 -15.6167560507059|  -11.580 4.264   |9.85     |~               |    ~     ~    
7058 |TYC 8123-103-1                                                                                           |High Proper Motion Star       |07 15 40.7483431752 -48 28 15.813767064|259.5728404485590 -16.2043057360121| 60.643 -34.971   |9.87     |~               |    ~     ~    
7059 |TYC 8123-136-1                                                                                           |Star                          |07 18 20.7776674848 -48 38 59.369064180|259.9236863520815 -15.8681476836553|   -5.094 6.219   |10.39    |~               |    ~     ~    
7060 |TYC 8123-223-1                                                                                           |Star                          |07 18 35.7041015208 -48 31 08.641725096|259.8157376005787 -15.7786843970355|   -1.266 5.682   |10.06    |~               |    ~     ~    
7061 |TYC 8123-293-1                                                                                           |Star                          |07 17 20.5701265512 -47 42 23.354828136|258.9545990488384 -15.6490440811485| -21.398 -2.031   |10.63    |~               |    ~     ~    
7062 |TYC 8123-498-1                                                                                           |Star                          |07 17 47.1451371000 -48 22 35.806801836|259.6246273964997 -15.8457129220009|    1.787 5.315   |10.62    |~               |    ~     ~    
7063 |TYC 8123-511-1                                                                                           |Star                          |07 17 38.0407365816 -48 03 24.001063956|259.3087480353369 -15.7426756585841|   8.300 -8.930   |10.99    |~               |    ~     ~    
7064 |IRAS 07161-4816                                                                                          |Star                          |07 17 32.7067780512 -48 22 05.796521652|259.6002984192427 -15.8791625798061|   -7.675 2.426   |8.98     |~               |    ~     ~    
7065 |GSC 08123-00913                                                                                          |Double or Multiple Star       |07 15 01.7118723336 -47 42 57.470274324|258.8047665652429 -16.0108013915267|  -5.223 -4.611   |10.414   |~               |    ~     ~    
7066 |TYC 8123-1104-1                                                                                          |Star                          |07 16 08.4969466128 -47 29 03.363638352|258.6594893213846 -15.7474277628605|   -5.330 6.218   |10.33    |~               |    ~     ~    
7067 |TYC 8123-1825-1                                                                                          |Star                          |07 15 31.1743747368 -47 06 22.604145228|258.2553718507429 -15.6956699991572|  -3.306 10.780   |10.7     |~               |    ~     ~    
7068 |TYC 8124-271-1                                                                                           |Spectroscopic Binary          |07 20 00.8071137432 -48 33 50.549630292|259.9555496048757 -15.5811501172032|  -5.528 11.187   |10.91    |~               |    ~     ~    
7069 |TYC 8124-1046-1                                                                                          |Star                          |07 19 19.4390031456 -48 15 43.986696696|259.6208578642112 -15.5655941501138|   -1.752 3.598   |10.81    |~               |    ~     ~    
7070 |TYC 8127-105-1                                                                                           |Star                          |07 17 27.9658 -48 58 43.680            |260.1792423 -16.1305864            |  -5.402 29.273   |10.95    |~               |    ~     ~    
7071 |CD-48 2908                                                                                               |Star                          |07 23 03.7867741152 -49 02 07.606074408|260.6129847344282 -15.3112341335516|   -7.284 3.971   |9.91     |~               |    ~     ~    
7072 |HD 58446                                                                                                 |High Proper Motion Star       |07 23 11.7570497232 -49 00 53.552312244|260.6026615690784 -15.2829816097703|  -4.085 57.964   |8.87     |G8III           |    ~     ~    
7073 |CD-48 2918                                                                                               |Star                          |07 24 00.6005611776 -49 02 10.483128132|260.6792186646387 -15.1698065640781| -17.157 46.751   |9.66     |K2              |    ~     ~    
7074 |HD 58826                                                                                                 |High Proper Motion Star       |07 24 47.1660591432 -48 52 44.828953428|260.5848337544489 -14.9892146929652|  -2.220 63.897   |8.87     |F8V             |    ~     ~    
7075 |CD-48 2950                                                                                               |Star                          |07 26 42.2024075616 -48 47 21.344873460|260.6352832587946 -14.6648080228953|   -9.262 0.348   |9.71     |~               |    ~     ~    
7076 |CD-48 2965                                                                                               |Star                          |07 28 02.2873725168 -48 50 00.073057740|260.7716441030734 -14.4836569401112|  -9.324 11.851   |10.48    |A5              |    ~     ~    
7077 |HD 59618                                                                                                 |Star                          |07 28 18.7686981576 -48 48 46.325083536|260.7720808334111 -14.4340215080099|   -4.187 8.302   |7.98     |B3III           |    ~     ~    
7078 |CD-48 2972                                                                                               |High Proper Motion Star       |07 28 22.0257671592 -49 08 37.667060052|261.0861031856654 -14.5650345070810| -24.257 45.320   |9.855    |G8V             |    ~     ~    
7079 |HD 59659                                                                                                 |High Proper Motion Star       |07 28 30.0605950752 -49 08 58.892417916|261.1011329054138 -14.5476360225058| -24.279 45.940   |8.79     |F7V             |    ~     ~    
7080 |HD 59793                                                                                                 |Star                          |07 29 10.4753557728 -49 12 54.439216056|261.2102971567242 -14.4753295671019|   2.757 14.841   |8.59     |A3V             |    ~     ~    
7081 |HD 59009                                                                                                 |Star                          |07 25 33.0406641504 -49 42 46.777186512|261.4254212479712 -15.2178440923168|   -5.336 3.501   |10.08    |F2/3V           |    ~     ~    
7082 |CD-49 2836                                                                                               |Star                          |07 26 00.1755686832 -49 39 02.227650984|261.3976194490158 -15.1255280837786| -13.838 41.327   |10.41    |~               |    ~     ~    
7083 |CD-49 2837                                                                                               |Star                          |07 26 06.2689973856 -49 23 52.627723332|261.1662326516506 -15.0064079777481| -8.421 -15.056   |9.90     |~               |    ~     ~    
7084 |HD 59126                                                                                                 |Star                          |07 26 05.3674562544 -49 44 30.290771688|261.4896306267583 -15.1502571316254|  -11.175 9.558   |9.98     |A1V             |    ~     ~    
7085 |HD 59143                                                                                                 |Star                          |07 26 05.6424747744 -50 00 21.429009576|261.7395708522474 -15.2581064450139|    6.211 8.314   |9.27     |K2/3(III)       |    ~     ~    
7086 |HD 59168                                                                                                 |Star                          |07 26 14.9050244592 -49 25 20.188965504|261.1991732771758 -14.9951238629595|   23.615 1.405   |9.05     |G0V             |    ~     ~    
7087 |HD 59169                                                                                                 |Double or Multiple Star       |07 26 17.68980 -49 40 50.6630          |261.44619560 -15.09488551          |    -15.63 0.38   |9.923    |G7V             |    ~     ~    
7088 |HD 59423                                                                                                 |Star                          |07 27 21.1296078960 -49 41 45.262551624|261.5337050175470 -14.9454519255951|  -6.575 -3.569   |9.96     |A0V             |    ~     ~    
7089 |HD 59422                                                                                                 |Spectroscopic Binary          |07 27 25.1000760048 -49 18 49.467961548|261.1787234148991 -14.7768015691745|   -5.271 3.320   |10.26    |A2IV            |    ~     ~    
7090 |HD 59619                                                                                                 |Star                          |07 28 14.5724092944 -49 31 15.646264608|261.4313809105448 -14.7414268757442| -0.365 -19.860   |9.04     |A9V             |    ~     ~    
7091 |CD-49 2870                                                                                               |Star                          |07 29 15.8412790680 -49 19 36.029143200|261.3211274092950 -14.5091338142720|  8.471 -11.516   |9.79     |G5              |    ~     ~    
7092 |CD-49 2873                                                                                               |Star                          |07 29 21.4451471856 -49 39 58.903607124|261.6460810793270 -14.6383951001520| -11.417 -3.753   |10.14    |F5              |    ~     ~    
7093 |CD-49 2876                                                                                               |Star                          |07 29 57.1135862232 -49 23 05.418802644|261.4244358022566 -14.4321679227533|  -6.375 -1.116   |10.31    |F2              |    ~     ~    
7094 |HD 59424                                                                                                 |Double or Multiple Star       |07 27 14.3004113736 -50 20 56.405258592|262.1417604338362 -15.2321431090705|    0.880 1.661   |9.03     |K3(III)         |    ~     ~    
7095 |HD 59706                                                                                                 |Star                          |07 28 32.0690467248 -50 23 02.417578404|262.2633766874461 -15.0584572247455|  -7.619 32.678   |10.35    |F8/G2(V)        |    ~     ~    
7096 |HD 59920                                                                                                 |Star                          |07 29 39.3620621544 -51 11 05.421189048|263.0943211420312 -15.2299689158248| 15.737 -28.277   |8.53     |G8IV            |    ~     ~    
7097 |HD 59971                                                                                                 |Star                          |07 29 48.3025433952 -50 33 34.077321396|262.5157515652841 -14.9478581386402|  -2.008 18.714   |9.53     |F6V             |    ~     ~    
7098 |HD 59991                                                                                                 |High Proper Motion Star       |07 29 56.7197219472 -51 12 08.507091420|263.1303706921614 -15.1960378965207| -14.464 62.307   |7.95     |G8IV            |    ~     ~    
7099 |CD-48 2923                                                                                               |Star                          |07 24 28.5370228752 -49 04 53.074155180|260.7542289589387 -15.1186660778421| 26.050 -26.064   |10.47    |~               |    ~     ~    
7100 |CD-48 2927                                                                                               |Star                          |07 24 53.4340205928 -49 07 46.444587096|260.8285598583794 -15.0764612747758|    8.207 2.911   |10.172   |~               |    ~     ~    
7101 |TYC 8128-2195-1                                                                                          |Star                          |07 26 32.6413053768 -49 04 49.560144348|260.8978403290209 -14.8096881304411|   4.241 12.313   |10.634   |~               |    ~     ~    
7102 |CD-49 2857                                                                                               |Star                          |07 27 41.3495428608 -50 14 34.394005788|262.0724216307045 -15.1227554573303|   3.674 32.078   |10.50    |~               |    ~     ~    
7103 |CD-50 2778                                                                                               |Star                          |07 27 48.2341923672 -50 19 15.559293828|262.1539350397123 -15.1383794946710|  -5.086 12.642   |10.56    |~               |    ~     ~    
7104 |CD-49 2859                                                                                               |Star                          |07 28 03.5585391768 -50 08 53.075179104|262.0084844927894 -15.0295511891061|  -9.222 11.852   |10.74    |~               |    ~     ~    
7105 |CD-49 2874                                                                                               |Star                          |07 29 27.1480571928 -50 06 09.613230192|262.0621664086130 -14.8076725118696|   0.090 11.372   |10.43    |~               |    ~     ~    
7106 |CD-49 2875                                                                                               |Star                          |07 29 27.2951028624 -50 08 31.049006316|262.0992350745393 -14.8237797122186| -15.115 32.427   |10.91    |~               |    ~     ~    
7107 |CD-50 2790                                                                                               |Star                          |07 29 37.9239044808 -51 05 52.129366728|263.0106751656031 -15.1972162627203|  -6.322 16.969   |10.193   |~               |    ~     ~    
7108 |CD-50 2792                                                                                               |Star                          |07 29 46.8938295312 -50 41 31.678225332|262.6388946960348 -15.0067050072607|   5.236 17.480   |10.468   |~               |    ~     ~    
7109 |CD-48 2978                                                                                               |Star                          |07 29 03.2642 -48 27 13.026            |260.4894820 -14.1711820            |     -18.2 -6.4   |10.27    |~               |    ~     ~    
7110 |TYC 8124-467-2                                                                                           |Star                          |07 29 03.313 -48 27 11.92              |260.489254 -14.170930              |     -18.2 -6.4   |10.19    |~               |    ~     ~    
7111 |CD-48 2939                                                                                               |Star                          |07 25 59.6545639200 -48 37 45.538458420|260.4346154459381 -14.7046630365849|  -9.912 10.173   |9.76     |~               |    ~     ~    
7112 |CD-49 2791                                                                                               |Star                          |07 22 37.1404164672 -49 17 41.138000196|260.8284759698630 -15.4825566470330|   1.518 -7.088   |10.04    |F2              |    ~     ~    
7113 |CD-49 2794                                                                                               |Spectroscopic Binary          |07 22 41.1666498936 -49 16 53.619832344|260.8205282588585 -15.4672175037676|  -9.395 28.048   |9.66     |K0              |    ~     ~    
7114 |HD 58802                                                                                                 |Star                          |07 24 39.3206823672 -49 45 55.166984352|261.4136674287489 -15.3712565438435| -12.040 -0.992   |9.08     |F0IV/V          |    ~     ~    
7115 |HD 58912                                                                                                 |Star                          |07 25 09.8790534360 -50 00 39.854113128|261.6810968582082 -15.3964662882594| -16.256 15.461   |10.00    |F5              |    ~     ~    
7116 |HD 58937                                                                                                 |Star                          |07 25 11.2112811360 -49 54 46.407918240|261.5896386144998 -15.3531610128749|   -5.300 8.400   |8.22     |G8III           |    ~     ~    
7117 |HD 59394                                                                                                 |Star                          |07 27 12.3805624104 -50 32 42.986549904|262.3250118113280 -15.3175745779440|   3.926 15.528   |9.00     |K2III           |    ~     ~    
7118 |CD-50 2781                                                                                               |Star                          |07 28 10.4308065840 -51 02 14.674064964|262.8553809846866 -15.3807647194348| -3.945 -16.952   |10.375   |~               |    ~     ~    
7119 |CD-48 2919                                                                                               |Star                          |07 24 03.2411138952 -49 01 33.718622160|260.6726132641774 -15.1590509426268|   -0.174 1.376   |9.82     |~               |    ~     ~    
7120 |CD-48 2933                                                                                               |Long-Period Variable          |07 25 29.4305358768 -48 37 59.764902744|260.4026510836579 -14.7820403349313|   -1.977 7.296   |10.5     |~               |    ~     ~    
7121 |CD-48 2957                                                                                               |Star                          |07 27 27.9960351552 -48 56 20.646923244|260.8301307599605 -14.6132632244911|   -1.873 5.304   |9.81     |~               |    ~     ~    
7122 |CPD-49 1255                                                                                              |Spectroscopic Binary          |07 29 56.4298841856 -49 40 30.441602244|261.6953619515925 -14.5565276996135|  -3.737 10.965   |9.52     |~               |    ~     ~    
7123 |CD-50 2795                                                                                               |Star                          |07 29 56.6617596408 -51 10 49.349771148|263.1095892395065 -15.1870218905553|  0.187 -11.711   |10.24    |~               |    ~     ~    
7124 |TYC 8128-203-1                                                                                           |Star                          |07 23 12.3657995832 -48 56 22.176675456|260.5319667207301 -15.2508258104410|  -8.701 23.657   |10.74    |~               |    ~     ~    
7125 |TYC 8128-537-1                                                                                           |Star                          |07 25 19.3981442784 -48 50 25.434429792|260.5859811031842 -14.8927523582311|   -4.202 1.242   |9.79     |~               |    ~     ~    
7126 |TYC 8128-719-1                                                                                           |Star                          |07 25 32.6259568152 -48 52 43.979636424|260.6377411247910 -14.8756172919000|  -7.959 19.561   |10.40    |~               |    ~     ~    
7127 |TYC 8128-1160-1                                                                                          |Star                          |07 24 17.7049360704 -49 35 25.263975156|261.2233227397535 -15.3532610142891|  -0.589 -7.640   |10.82    |~               |    ~     ~    
7128 |TYC 8128-1330-1                                                                                          |High Proper Motion Star       |07 26 16.7483024040 -49 35 10.143107520|261.3558608972066 -15.0582078170903| -32.507 68.131   |10.92    |~               |    ~     ~    
7129 |TYC 8128-1367-1                                                                                          |Star                          |07 28 17.4542322840 -49 22 16.363984260|261.2940885675257 -14.6716643662285| -16.500 37.410   |10.99    |~               |    ~     ~    
7130 |TYC 8128-1542-1                                                                                          |Star                          |07 25 11.4051948984 -49 48 57.628676160|261.4981552924281 -15.3131282923130|   -2.017 5.178   |10.92    |~               |    ~     ~    
7131 |TYC 8128-1720-1                                                                                          |Star                          |07 25 25.8819002496 -49 38 59.001907092|261.3574151385246 -15.2095164122975|  1.019 -14.156   |10.84    |~               |    ~     ~    
7132 |TYC 8128-1749-1                                                                                          |Star                          |07 23 51.3932139552 -49 31 47.185412952|261.1359442353964 -15.3936129356536| 17.468 -38.360   |10.97    |~               |    ~     ~    
7133 |TYC 8128-1761-1                                                                                          |Star                          |07 25 34.8847790328 -49 34 31.957930164|261.2976466792771 -15.1569230867807|  -18.221 6.502   |10.576   |~               |    ~     ~    
7134 |TYC 8128-1902-1                                                                                          |High Proper Motion Star       |07 26 57.6545896656 -49 19 09.797063772|261.1519640455049 -14.8469427907314| -45.405 75.147   |10.73    |~               |    ~     ~    
7135 |TYC 8128-2098-1                                                                                          |Star                          |07 28 13.5156987576 -49 10 33.624464628|261.1062634369905 -14.5995964524577|   -5.712 5.200   |10.549   |~               |    ~     ~    
7136 |TYC 8132-1022-1                                                                                          |Star                          |07 29 56.1935673552 -50 54 55.562877180|262.8595840264574 -15.0776970618412|    1.852 5.617   |10.701   |~               |    ~     ~    
7137 |HD 57465                                                                                                 |Star                          |07 18 53.6854637136 -49 07 51.977298684|260.4205856481032 -15.9750576513282| 22.278 -12.327   |9.11     |F3V             |    ~     ~    
7138 |CD-48 2874                                                                                               |Star                          |07 19 43.8593327352 -49 07 34.412614032|260.4721380627434 -15.8474644948848| -7.736 -27.484   |9.69     |G0              |    ~     ~    
7139 |HD 57693                                                                                                 |High Proper Motion Star       |07 19 50.3064217776 -49 11 11.772647808|260.5370005683735 -15.8552655839970| -67.154 98.196   |9.27     |F8V             |    ~     ~    
7140 |HD 56625                                                                                                 |Star                          |07 15 10.1892787776 -49 41 53.372288904|260.7205748560673 -16.7533425467812| -10.714 17.992   |9.19     |F2V             |    ~     ~    
7141 |HD 56783                                                                                                 |High Proper Motion Star       |07 15 52.5907870584 -50 01 22.433798568|261.0794523018877 -16.7719644645043| -19.826 60.221   |9.25     |F3/5V           |    ~     ~    
7142 |HD 56836                                                                                                 |Star                          |07 16 04.5208618896 -49 53 18.495360096|260.9625182260844 -16.6910126092943|   -2.235 7.364   |9.51     |A0III           |    ~     ~    
7143 |CD-49 2721                                                                                               |Double or Multiple Star       |07 16 10.3267260792 -50 04 29.207277876|261.1484600670605 -16.7479344551259|  -3.962 15.731   |10.411   |~               |    ~     ~    
7144 |HD 56907                                                                                                 |alpha2 CVn Variable           |07 16 19.7628415272 -50 02 54.372507864|261.1331315342109 -16.7145349247125|   -3.107 7.689   |7.46     |ApSi            |    ~     ~    
7145 |CD-49 2741                                                                                               |Star                          |07 17 43.8163450176 -49 23 53.680638192|260.5989267263849 -16.2545195893672| -18.468 17.203   |10.01    |F2              |    ~     ~    
7146 |CD-49 2749                                                                                               |Spectroscopic Binary          |07 18 29.1443711976 -49 21 26.424344088|260.6097606530365 -16.1253477632602|  -0.322 14.239   |9.54     |K0              |    ~     ~    
7147 |HD 57582                                                                                                 |High Proper Motion Star       |07 19 15.9928305288 -49 58 40.831677624|261.2559446984475 -16.2522094364276|-72.662 118.318   |7.27     |K0III           |    ~     ~    
7148 |HD 57806                                                                                                 |Star                          |07 20 23.2873968888 -49 24 08.781107832|260.7799235187547 -15.8586116075171|   0.737 -2.301   |8.39     |A6V             |    ~     ~    
7149 |CD-49 2773                                                                                               |Star                          |07 20 29.1591052560 -50 02 46.781795580|261.4015192239450 -16.0989089287800| -18.730 31.508   |10.43    |K0              |    ~     ~    
7150 |HD 57873                                                                                                 |High Proper Motion Star       |07 20 39.2308757016 -49 48 40.425742296|261.1879271349210 -15.9811685532139| -25.750 48.400   |9.09     |F7V             |    ~     ~    
7151 |CD-49 2776                                                                                               |Star                          |07 20 53.1552932496 -49 39 25.627293432|261.0562726879930 -15.8856194403359| -4.892 -11.656   |10.06    |F5              |    ~     ~    
7152 |HD 58089                                                                                                 |High Proper Motion Star       |07 21 35.7463295856 -49 24 18.225325368|260.8638007111590 -15.6794797144076|  -6.881 51.508   |8.18     |K1III           |    ~     ~    
7153 |HD 58266                                                                                                 |Star                          |07 22 20.0568098472 -49 20 38.993801748|260.8559917398895 -15.5449322771266| -7.794 -13.509   |8.41     |F0V             |    ~     ~    
7154 |HD 58401                                                                                                 |Star                          |07 22 58.5705607296 -49 32 25.541415276|261.0860695460549 -15.5285399348976|    0.015 3.720   |10.21    |A5/7IV/V        |    ~     ~    
7155 |HD 58493                                                                                                 |Star                          |07 23 21.4635873984 -49 47 54.234613788|261.3569336977163 -15.5761492326538|  -5.136 -3.513   |9.45     |K1III           |    ~     ~    
7156 |HD 57874                                                                                                 |Star                          |07 20 31.6286705472 -50 09 10.003823712|261.5060540805775 -16.1348231731878| -11.592 24.832   |9.85     |F0V             |    ~     ~    
7157 |HD 58267                                                                                                 |Star                          |07 22 15.6986650728 -50 05 58.011272916|261.5698557453614 -15.8584813973841|  5.155 -13.463   |9.48     |G8/K0(III)      |    ~     ~    
7158 |HD 58743                                                                                                 |Star                          |07 24 24.8716969584 -50 09 19.548745884|261.7672341211702 -15.5650746716568|   -4.640 9.868   |9.33     |K2III           |    ~     ~    
7159 |HD 56603                                                                                                 |Star                          |07 15 05.2102023456 -50 28 07.139936532|261.4603730269042 -17.0579992662528|  -8.772 13.036   |8.78     |B9V             |    ~     ~    
7160 |HD 56703                                                                                                 |Star                          |07 15 37.9289994024 -50 29 55.006134252|261.5236955492766 -16.9890319438289|  -4.903 19.082   |7.51     |K2III           |    ~     ~    
7161 |CD-50 2666                                                                                               |High Proper Motion Star       |07 16 44.5570796280 -50 26 08.976570900|261.5333164177694 -16.8017267553812| 51.645 -18.577   |10.81    |K               |    ~     ~    
7162 |HD 57019                                                                                                 |Star                          |07 16 56.7505199088 -50 18 08.182246284|261.4174292751347 -16.7206472769903|  -16.164 9.221   |8.94     |G8III           |    ~     ~    
7163 |HD 57038                                                                                                 |Double or Multiple Star       |07 17 00.9450929736 -50 13 47.587799604|261.3521177079687 -16.6825494845253|   5.498 14.529   |8.95     |F0V             |    ~     ~    
7164 |HD 57242                                                                                                 |Star                          |07 17 44.2920027336 -51 02 29.168101392|262.1809167383001 -16.8877667359545|   1.666 13.227   |9.40     |B9V             |    ~     ~    
7165 |HD 57334                                                                                                 |High Proper Motion Star       |07 18 12.3190809168 -51 03 01.676772180|262.2190205588058 -16.8234079781112|24.923 -153.316   |7.51     |F8/G0V          |    ~     ~    
7166 |HD 57400                                                                                                 |Star                          |07 18 31.4230912560 -50 37 06.590943048|261.8230004884750 -16.6106441662732| -10.609 23.720   |10.04    |F2V             |    ~     ~    
7167 |HD 57533                                                                                                 |Double or Multiple Star       |07 19 09.9552031 -50 32 40.166315      |261.7930557632 -16.4879815248      |   22.26 -10.93   |8.98     |G0V             |0.0050  0.0    
7168 |HD 57583                                                                                                 |Double or Multiple Star       |07 19 25.4753 -50 25 55.491            |261.7017965 -16.4063230            |     -14.0 26.6   |10.03    |G0V             |    ~     ~    
7169 |CD-50 2694                                                                                               |High Proper Motion Star       |07 19 42.3163223664 -50 45 48.267810000|262.0380640769869 -16.4943772123683|-115.599 -8.970   |10.25    |K0              |    ~     ~    
7170 |HD 57967                                                                                                 |Star                          |07 20 59.4052910208 -50 47 52.632536388|262.1539867679045 -16.3209563946581|   -5.792 8.096   |8.89     |K5              |    ~     ~    
7171 |HD 57968                                                                                                 |Star                          |07 21 01.6869455328 -50 51 15.273687960|262.2103884012199 -16.3375353135603|   -7.356 8.853   |7.31     |B2V             |    ~     ~    
7172 |HD 58019                                                                                                 |Star                          |07 21 10.5179766912 -50 34 42.569114412|261.9558370175039 -16.2076401878278|   -5.030 4.049   |9.10     |A4V             |    ~     ~    
7173 |HD 58042                                                                                                 |Star                          |07 21 12.5454030840 -51 13 10.690320360|262.5724067226533 -16.4546131233195|  -7.282 12.328   |9.83     |A0V             |    ~     ~    
7174 |HD 58268                                                                                                 |Star                          |07 22 19.0475894472 -50 16 59.110895460|261.7486452630141 -15.9235492673017| -20.550 11.631   |9.50     |F0III           |    ~     ~    
7175 |CD-50 2727                                                                                               |Star                          |07 23 15.4765670832 -50 31 49.805732316|262.0467310473183 -15.8849950789867|   -5.626 8.930   |10.64    |A2              |    ~     ~    
7176 |HD 58475                                                                                                 |Star                          |07 23 11.5309608744 -51 06 51.630284088|262.5993920354267 -16.1274139010100|   -3.373 8.091   |10.37    |A3III/IV        |    ~     ~    
7177 |CD-50 2733                                                                                               |Star                          |07 24 01.2655 -50 16 15.211            |261.8504744 -15.6693171            |   -8.259 6.481   |10.64    |F5              |    ~     ~    
7178 |HD 58677                                                                                                 |Star                          |07 24 05.9660955888 -50 36 49.813074756|262.1818009451855 -15.7960479641009|  -6.983 -5.857   |9.95     |A9V             |    ~     ~    
7179 |HD 58772                                                                                                 |Spectroscopic Binary          |07 24 31.5388785480 -51 07 04.122247800|262.6896779856859 -15.9369522046194|   -9.353 5.650   |9.00     |A1V             |    ~     ~    
7180 |HD 58851                                                                                                 |Spectroscopic Binary          |07 24 45.6820090848 -50 16 33.485609856|261.9049666324492 -15.5631937485496|   -2.255 6.200   |10.44    |A2IV            |    ~     ~    
7181 |HD 59010                                                                                                 |High Proper Motion Star       |07 25 27.1082747064 -50 29 34.392716988|262.1571252837974 -15.5506753722702| 12.520 161.587   |9.59     |G8IV            |    ~     ~    
7182 |HD 59219                                                                                                 |Star                          |07 26 21.8498874360 -51 01 06.530504628|262.7165575111661 -15.6326178400639|   -6.448 6.525   |5.081    |K0III           |    ~     ~    
7183 |HD 59324                                                                                                 |Star                          |07 26 53.0753508480 -51 08 30.429158676|262.8680611270628 -15.6082066097586|  -5.370 13.143   |9.31     |K0(III)         |    ~     ~    
7184 |HD 59325                                                                                                 |Star                          |07 26 56.0649919632 -51 11 07.003674636|262.9126016783774 -15.6188135324653|   -3.856 9.835   |10.55    |B7V             |    ~     ~    
7185 |HD 59357                                                                                                 |Star                          |07 27 00.0604449144 -50 50 58.475023332|262.5990125151033 -15.4720795036221|   -3.377 9.175   |10.16    |A0V             |    ~     ~    
7186 |HD 56704                                                                                                 |Star                          |07 15 29.2800889608 -51 53 45.192371028|262.8709252935391 -17.5346505477180| -11.410 21.385   |9.66     |G6/K0III        |    ~     ~    
7187 |CD-51 2403                                                                                               |Chemically Peculiar Star      |07 16 15.9366434376 -51 35 24.877438044|262.6209851599566 -17.3087373542065|    2.006 0.708   |9.92     |Gwl             |    ~     ~    
7188 |HD 56908                                                                                                 |Star                          |07 16 27.0784249632 -51 36 26.316449280|262.6489033076513 -17.2884315432881|  -3.414 13.781   |9.95     |A0V             |    ~     ~    
7189 |HD 57039                                                                                                 |Star                          |07 16 51.4090955448 -51 35 55.873322592|262.6655426754301 -17.2269192103788|   -8.915 0.988   |9.43     |F2V             |    ~     ~    
