C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:55:07

Vmag< 11&dec< 0&rah >=7.25&rah< 7.5
-----------------------------------

Number of objects : 10274

  #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
-----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
75   |HD 293712                                                                                                |Star                          |07 15 01.7183917056 -01 45 15.927064596|217.1930535744450 +04.4417300524214|   -2.145 6.297   |9.99     |K7              |    ~     ~    
76   |HD 293744                                                                                                |Star                          |07 15 49.8977922264 -02 20 47.307559488|217.8128128259923 +04.3472596288965|  -1.462 -3.091   |10.37    |A2              |    ~     ~    
77   |HD 55979                                                                                                 |Star                          |07 15 16.1180957712 -00 03 08.313111612|215.7030092584827 +05.2763153034896|  -1.474 -2.043   |8.64     |A0V             |    ~     ~    
78   |HD 293620                                                                                                |Star                          |07 16 00.0321633312 -00 01 17.894615808|215.7598050168470 +05.4530160105739|  5.077 -12.645   |9.28     |G5              |    ~     ~    
79   |BD+00 1882                                                                                               |Double or Multiple Star       |07 17 02.875 -00 03 48.70              |215.917763 +05.666560              |    10.00 -6.30   |10.04    |A5              |    ~     ~    
80   |HD 56591                                                                                                 |Star                          |07 17 40.1316123312 -00 03 48.888361656|215.9893260335303 +05.8045024822512|  -0.702 -1.450   |8.37     |B9/A0V+(K0III)  |    ~     ~    
81   |HD 293621                                                                                                |Star                          |07 16 06.9423615288 -00 02 07.339976268|215.7853198820088 +05.4723174142100|   -2.238 0.658   |10.6     |G0              |    ~     ~    
82   |BD-01 1633                                                                                               |Red Supergiant                |07 17 06.4983368016 -01 52 22.552147452|217.5385888687441 +04.8485162929134|   -5.819 7.695   |9.58     |M3Iab           |    ~     ~    
83   |TYC 4816-43-1                                                                                            |Star                          |07 18 40.2004203600 -00 09 41.151964680|216.1921359871590 +05.9820405778594|  -1.895 -1.547   |10.607   |~               |    ~     ~    
84   |TYC 4816-76-1                                                                                            |Star                          |07 16 45.5594788296 -00 02 53.516711832|215.8708464602003 +05.6094605047484|  -3.239 -4.190   |10.8     |~               |    ~     ~    
