C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:50:25

Vmag< 11&dec< 0&rah >=1.75&rah< 2.0
-----------------------------------

Number of objects : 2401

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
78  |HD 11459                                                              |Star                           |01 51 52.2111059784 -37 02 31.068045060|254.5375851395220 -73.8453918727825|  20.070 42.765   |7.41     |F6V             |    ~     ~    
79  |HD 10902                                                              |Star                           |01 46 18.1657573248 -37 56 06.260688420|259.5310184952617 -74.2061136790081|   22.267 6.017   |9.62     |F0V             |    ~     ~    
80  |CD-38 620                                                             |Star                           |01 50 07.3034276040 -38 08 39.504425856|258.4439093379666 -73.4865620772983|  -0.173 -4.402   |9.99     |K1              |    ~     ~    
81  |HD 11436                                                              |Star                           |01 51 36.3586060824 -38 21 21.345102324|258.4129536105407 -73.1265348719964|  11.081 15.023   |9.17     |K2III           |    ~     ~    
82  |HD 11491                                                              |High Proper Motion Star        |01 52 03.9030008256 -38 07 01.296386580|257.5662585213327 -73.1976001431216|-22.467 -45.216   |9.93     |F3/5V           |    ~     ~    
83  |HD 11510                                                              |Star                           |01 52 18.3440628816 -38 03 33.426680832|257.3083290067093 -73.1935507785884|    1.616 1.614   |9.63     |K3(III)         |    ~     ~    
84  |CD-39 530                                                             |Star                           |01 45 11.2292334096 -38 32 09.211586784|261.7202636592001 -73.9845083830897|   6.718 15.917   |9.848    |G8              |    ~     ~    
85  |HD 10857                                                              |High Proper Motion Star        |01 45 38.6048143728 -38 33 23.048755920|261.5629253504257 -73.9039746901872|  71.235 -7.290   |9.72     |F5V             |    ~     ~    
86  |HD 10869                                                              |Star                           |01 45 50.6856571392 -38 38 12.808566924|261.6872469399790 -73.8213175676914| 25.946 -30.694   |9.01     |K0III           |    ~     ~    
87  |HD 11137                                                              |Double or Multiple Star        |01 48 40.7141435592 -38 39 27.174334716|260.4697397613245 -73.3871636039000|-57.501 -91.592   |7.57     |F3V             |    ~     ~    
88  |HD 11262                                                              |High Proper Motion Star        |01 49 48.8611954992 -38 24 10.184311152|259.2887888505359 -73.3750984074317| -2.571 285.699   |6.37     |F9VFe-0.5       |    ~     ~    
89  |CD-39 544                                                             |Spectroscopic Binary           |01 47 59.4485937744 -38 42 58.222511640|260.9293286559379 -73.4523566657556|   10.606 3.652   |10.871   |~               |    ~     ~    
90  |CPD-38 152                                                            |Star                           |01 48 45.7880054880 -38 19 31.764424872|259.5281535338431 -73.5844059657777|   7.154 24.433   |10.51    |~               |    ~     ~    
91  |CD-38 631                                                             |Star                           |01 52 04.4322710736 -38 02 22.557889032|257.3465164049129 -73.2420233746675|  11.754 -3.107   |9.89     |~               |    ~     ~    
92  |CD-37 689                                                             |High Proper Motion Star        |01 48 13.4128839120 -36 56 24.070384176|255.7363592362499 -74.5040243478760|236.568 -111.992  |10.680   |~               |    ~     ~    
93  |TYC 7542-764-1                                                        |Star                           |01 45 25.2654931920 -37 49 47.186615712|259.6369289646324 -74.4074405697282|   17.375 2.935   |10.54    |~               |    ~     ~    
94  |CD-38 619                                                             |Star                           |01 50 02.2519083336 -38 15 24.776264844|258.7922742080857 -73.4307960021229|   11.493 5.516   |10.67    |~               |    ~     ~    
95  |CD-38 622                                                             |Star                           |01 50 53.9016339744 -37 57 14.055401340|257.5853553041746 -73.4792996097511|    9.528 9.844   |10.70    |~               |    ~     ~    
96  |TYC 7005-1935-1                                                       |Star                           |01 47 40.4560533720 -37 09 15.622747488|256.6262096735223 -74.4680097773803|   10.617 9.068   |10.9     |~               |    ~     ~    
97  |TYC 7008-804-1                                                        |Star                           |01 50 56.2330993704 -36 16 19.129472076|252.5346527602199 -74.4181770194986|-17.264 -13.206   |10.83    |~               |    ~     ~    
98  |TYC 7542-962-1                                                        |Star                           |01 45 19.1627525616 -37 39 09.869809716|259.1718484173196 -74.5348834475661|   10.384 4.088   |10.588   |~               |    ~     ~    
99  |TYC 7543-8-1                                                          |Star                           |01 51 19.8534987120 -37 33 51.916368708|256.2938592942620 -73.6386787450535|   40.666 7.535   |10.32    |~               |    ~     ~    
100 |TYC 7543-240-1                                                        |High Proper Motion Star        |01 48 45.8775093120 -38 09 37.080052020|259.0690438446631 -73.6871508408998|-31.598 -59.724   |10.859   |~               |    ~     ~    
101 |TYC 7543-598-1                                                        |Star                           |01 47 07.2069872184 -38 55 12.876730896|261.8607051885815 -73.4475787137310| -15.600 -4.551   |10.94    |~               |    ~     ~    
102 |TYC 7543-891-1                                                        |High Proper Motion Star        |01 48 59.6017896541 -38 35 30.554617822|260.1556018400341 -73.3815658538310|-26.840 -55.487   |10.953   |~               |    ~     ~    
103 |TYC 7543-981-1                                                        |Star                           |01 46 47.3200705440 -38 39 53.320496940|261.3300130190709 -73.6640252446431| 32.896 -16.854   |10.85    |~               |    ~     ~    
104 |HD 12320                                                              |Star                           |01 59 52.9275066336 -38 07 33.811582332|254.6914397798757 -71.9238328048074|-18.119 -44.946   |9.823    |K2III           |    ~     ~    
105 |CD-36 712                                                             |High Proper Motion Star        |01 52 45.4614290904 -36 01 49.795587120|251.0695519792490 -74.2267716174731|  62.359 34.089   |10.04    |G2              |    ~     ~    
106 |CD-36 713                                                             |Star                           |01 52 50.2984273248 -35 53 42.438448608|250.6068773717333 -74.2799431522509|  12.935 -9.805   |10.220   |F8              |    ~     ~    
107 |CD-36 728                                                             |Star                           |01 54 37.9372004520 -35 53 01.335004260|249.9237725695197 -73.9681158589796|   7.813 -9.001   |9.89     |K0              |    ~     ~    
108 |CD-37 729                                                             |Star                           |01 53 17.0080679112 -36 33 19.652133888|252.5149721495703 -73.8675880116753|   21.119 6.355   |10.01    |K2              |    ~     ~    
109 |CD-37 733                                                             |Star                           |01 53 42.1096274616 -36 38 33.471662352|252.6250369708987 -73.7505084018457|   27.450 6.696   |10.56    |G2              |    ~     ~    
110 |HD 11566                                                              |Star                           |01 52 39.5421133776 -38 02 55.354409988|257.1376027429891 -73.1434986516547|   5.169 15.404   |8.76     |G8/K0III        |    ~     ~    
111 |HD 11694                                                              |Star                           |01 53 53.1110341008 -37 46 36.537141072|255.8921116621549 -73.1026017821328|-26.497 -16.383   |9.35     |K0IV/V          |    ~     ~    
112 |CD-38 638                                                             |Star                           |01 52 41.5612167312 -38 04 54.306491844|257.2164186793226 -73.1187483071544|  22.892 -0.121   |10.56    |~               |    ~     ~    
113 |CD-38 640                                                             |Star                           |01 53 12.5113603872 -37 31 29.672154048|255.4331215297222 -73.3553001252411|  12.840 -2.859   |10.47    |~               |    ~     ~    
114 |HD 12238                                                              |Star                           |01 59 20.5493510496 -35 44 20.382558900|247.9165452499674 -73.1864569998901|   24.997 5.334   |9.12     |K1III           |    ~     ~    
115 |V* XX For                                                             |Long-Period Variable           |01 55 18.3946953696 -35 48 11.203299396|249.4330190447147 -73.8862158638311|   1.183 -5.437   |9.58     |M0              |    ~     ~    
116 |HD 11878                                                              |Star                           |01 55 56.2726342440 -36 14 43.338742440|250.6001633246826 -73.5623282570390|  -1.869 -4.790   |7.91     |A9V             |    ~     ~    
117 |CD-36 738                                                             |High Proper Motion Star        |01 56 00.8190084048 -35 54 10.625608080|249.5069517663550 -73.7128088852072| 12.478 -94.246   |10.107   |G2              |    ~     ~    
118 |HD 12040                                                              |Pulsating Variable             |01 57 24.2570144280 -36 03 26.715039228|249.5226519523067 -73.3918905408174|  29.581 23.226   |6.980    |A7/9V           |    ~     ~    
119 |CD-36 758                                                             |High Proper Motion Star        |01 59 29.1393717864 -35 58 22.911456360|248.5943395379232 -73.0565042976615|  56.165 19.369   |10.157   |F8              |    ~     ~    
120 |HD 12078                                                              |High Proper Motion Star        |01 57 41.7447099288 -36 58 38.715861468|252.1954987483223 -72.8926382031177|  67.147 13.635   |8.48     |F5V             |    ~     ~    
