C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:50:25

Vmag< 11&dec< 0&rah >=1.75&rah< 2.0
-----------------------------------

Number of objects : 2401

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
1826|CD-60 368                                                             |Star                           |01 53 53.1839857416 -59 40 11.494885764|288.9647207712301 -55.7326922990825|-13.395 -10.284   |10.015   |~               |    ~     ~    
1827|CD-60 370                                                             |Star                           |01 54 31.1974043928 -59 30 34.728433632|288.7138678256233 -55.8431584898980|   -3.903 5.202   |10.599   |~               |    ~     ~    
1828|CD-59 368                                                             |High Proper Motion Star        |01 55 03.6781074984 -59 00 56.364763860|288.2175855370042 -56.2578855616179|   78.254 2.682   |10.770   |~               |    ~     ~    
1829|CD-59 372                                                             |Star                           |01 55 46.6520531808 -59 07 20.755929648|288.1536864254690 -56.1214764350631|  22.459 -5.799   |10.445   |~               |    ~     ~    
1830|CD-60 381                                                             |Star                           |01 56 51.1164364584 -59 52 00.388541748|288.5207018620313 -55.3934735787231|   10.866 4.728   |10.82    |~               |    ~     ~    
1831|CD-59 377                                                             |Star                           |01 56 57.2522052744 -58 33 10.588246740|287.4469985214093 -56.5620314687406| 23.916 -19.334   |9.95     |~               |    ~     ~    
1832|CD-59 378                                                             |Star                           |01 57 04.4437584768 -58 59 27.588426072|287.7806321025432 -56.1645629975334|  -11.432 7.694   |10.77    |~               |    ~     ~    
1833|CD-59 379                                                             |Star                           |01 57 22.2357833016 -59 03 13.730456340|287.7705201438375 -56.0912815283113|  -4.307 11.657   |10.36    |~               |    ~     ~    
1834|CD-60 386                                                             |Star                           |01 58 36.1134169056 -59 39 26.426188404|288.0081977007550 -55.4821826674948|  -1.326 -7.626   |10.21    |~               |    ~     ~    
1835|CD-60 357                                                             |Star                           |01 51 28.6327526760 -60 07 04.475248212|289.7807030184281 -55.4508956191350|  22.764 -8.791   |10.464   |~               |    ~     ~    
1836|CD-61 321                                                             |Star                           |01 53 13.2883886952 -60 47 07.076132700|289.9142454950301 -54.7538932952127|   6.441 18.572   |10.29    |~               |    ~     ~    
1837|CD-61 322                                                             |Star                           |01 53 33.8034893376 -60 26 00.555488340|289.5948370729051 -55.0568933407012|  26.241 13.887   |10.21    |~               |    ~     ~    
1838|CD-61 325                                                             |Star                           |01 54 15.5261766816 -61 05 25.191742884|289.9332997200578 -54.4240593360051|  37.413 30.639   |10.81    |~               |    ~     ~    
1839|CD-61 340                                                             |Star                           |01 58 16.6776046200 -61 06 17.916936192|289.1907401084019 -54.2040063787433|   12.751 1.302   |10.56    |~               |    ~     ~    
1840|CD-61 341                                                             |Star                           |01 58 26.0589682344 -60 57 04.232597184|289.0460670493193 -54.3339116793877|  17.584 10.884   |10.68    |~               |    ~     ~    
1841|CPD-59 140                                                            |High Proper Motion Star        |01 47 49.1454470544 -59 06 56.463333048|289.8222493058555 -56.5544419000639|  77.229 27.107   |10.55    |~               |    ~     ~    
1842|CD-59 364                                                             |Star                           |01 53 05.9419599744 -59 19 27.422817348|288.8642500423288 -56.0879862849425|   3.751 -5.000   |10.519   |~               |    ~     ~    
1843|CD-59 369                                                             |Star                           |01 55 12.8719103736 -59 19 25.998042540|288.4280798824764 -55.9721938002912|-11.798 -16.307   |10.88    |~               |    ~     ~    
1844|CD-60 376                                                             |Star                           |01 55 41.3622844152 -59 32 05.119786464|288.4956246979749 -55.7561532273779|-15.480 -36.593   |10.521   |~               |    ~     ~    
1845|CD-59 357                                                             |Star                           |01 50 34.3714152984 -59 21 52.271078364|289.4197896025994 -56.1853772752894|   33.080 0.372   |10.125   |~               |    ~     ~    
1846|TYC 8488-917-1                                                        |High Proper Motion Star        |01 57 30.7921324560 -59 48 37.169457048|288.3455107837857 -55.4072337402978|  32.135 43.954   |10.94    |~               |    ~     ~    
1847|TYC 8488-1297-1                                                       |High Proper Motion Star        |01 56 28.8324774216 -59 43 35.714160300|288.4856489856124 -55.5398957190275| 45.498 -60.200   |10.64    |~               |    ~     ~    
1848|TYC 8851-172-1                                                        |Star                           |01 54 32.9995727064 -60 35 16.740118356|289.5153069345281 -54.8657759813191|   7.591 14.878   |10.46    |~               |    ~     ~    
1849|CD-59 375                                                             |Star                           |01 56 31.9685544144 -58 28 14.578260168|287.4681320910746 -56.6602838754083|   29.752 5.514   |9.53     |~               |    ~     ~    
1850|HD 12057                                                              |Spectroscopic Binary           |01 56 37.2861511944 -58 28 17.039392320|287.4499152456326 -56.6544140316594|   25.504 6.286   |7.53     |F5IV            |    ~     ~    
1851|HD 10923                                                              |High Proper Motion Star        |01 45 49.0386422712 -56 17 33.089816004|288.1517669373302 -59.2479426145869|  51.806 49.027   |9.583    |G0V             |    ~     ~    
1852|HD 10961                                                              |Pulsating Variable             |01 46 12.0066157944 -56 10 54.022643724|287.9676225839298 -59.3271378634686|   8.255 13.439   |9.732    |A3mA6-A9        |    ~     ~    
1853|HD 10950                                                              |High Proper Motion Star        |01 46 02.6151416592 -56 57 31.826425248|288.6213356494625 -58.6264543810085|  46.470 21.363   |9.934    |F7/8IV/V        |    ~     ~    
1854|HD 10962                                                              |Star                           |01 46 10.0513077888 -56 45 18.065740860|288.4325568405179 -58.8059565038580|  27.936 -4.466   |9.907    |A9/F0V          |    ~     ~    
1855|HD 11024                                                              |Star                           |01 46 42.8579534208 -56 55 53.426472528|288.4395030413789 -58.6143194353102|  -11.942 0.669   |10.047   |F3IV            |    ~     ~    
1856|CD-57 344                                                             |Star                           |01 46 57.1563456864 -57 20 52.964631888|288.7066342520384 -58.2206484466722|-10.100 -16.388   |10.69    |~               |    ~     ~    
1857|HD 11067                                                              |Star                           |01 47 10.6 -56 26 55                   |287.9432 -59.0281                  |            ~ ~   |9.8      |F6/7V           |    ~     ~    
1858|HD 11146                                                              |Star                           |01 48 07.4715239544 -56 23 27.328629480|287.6649891591440 -59.0253988836511| 30.611 -32.611   |8.25     |K0III           |    ~     ~    
1859|CD-57 353                                                             |Star                           |01 48 32.9369257536 -56 51 29.057974272|287.9435785468509 -58.5772820599638|   18.300 4.721   |10.88    |~               |    ~     ~    
1860|HD 11220                                                              |Star                           |01 48 39.6200442408 -57 08 39.184166724|288.1468269223230 -58.3112065474090|  27.385 -1.177   |8.46     |K2III           |    ~     ~    
1861|HD 11344                                                              |Star                           |01 49 59.7657749952 -57 11 07.139482980|287.8679662171298 -58.1974159962665| 29.046 -23.737   |9.53     |K1IV            |    ~     ~    
1862|HD 11539                                                              |Star                           |01 51 41.8436752224 -57 21 54.865427364|287.6224721049103 -57.9359201642265|  23.793 -3.915   |9.24     |F3V             |    ~     ~    
1863|CD-58 357                                                             |Star                           |01 45 48.7428817992 -57 42 15.233848344|289.2414108193150 -57.9553571671910|   12.532 3.632   |9.67     |~               |    ~     ~    
1864|HD 11147                                                              |Star                           |01 48 02.6222878800 -57 32 13.324921368|288.5988822268818 -57.9882193212238|-20.454 -33.670   |9.72     |K0III           |    ~     ~    
1865|CD-58 358                                                             |Star                           |01 45 53.0489372496 -58 12 50.778774144|289.5991922172569 -57.4825448724426|  18.816 38.431   |10.481   |~               |    ~     ~    
1866|HD 11448                                                              |Star                           |01 50 52.4084702184 -58 17 28.882332744|288.5460908231537 -57.1459632879540|  38.375 -1.842   |9.25     |K3III           |    ~     ~    
1867|HD 11809                                                              |Star                           |01 54 08.8829728296 -57 55 08.306718204|287.5281616547407 -57.2943742437278|  39.493 19.483   |7.34     |M0III           |    ~     ~    
1868|HD 11903                                                              |High Proper Motion Star        |01 55 13.7292705360 -58 21 02.034954972|287.6474970679560 -56.8444762946271| 59.799 -10.127   |8.39     |F5V             |    ~     ~    
1869|CD-59 334                                                             |High Proper Motion Star        |01 45 26.6416359840 -58 58 13.159256880|290.2328324901417 -56.8065345391724|  60.736 32.697   |10.54    |~               |    ~     ~    
1870|CD-59 342                                                             |Star                           |01 47 34.4029389720 -58 34 08.880156048|289.4810639339341 -57.0690775119685|  22.260 10.824   |10.48    |~               |    ~     ~    
1871|CD-59 352                                                             |Star                           |01 49 30.6281956848 -58 43 01.836454620|289.1672882470979 -56.8321437372720| -26.413 -8.066   |10.18    |~               |    ~     ~    
1872|CD-59 353                                                             |Star                           |01 49 35.4136710840 -58 33 09.114905988|289.0266520602121 -56.9781533138537|   45.458 1.534   |10.40    |~               |    ~     ~    
1873|HD 11333                                                              |Pulsating Variable             |01 49 43.7630730744 -58 34 00.738724188|289.0070881567591 -56.9576302922103|  19.666 12.549   |9.25     |A7IV            |    ~     ~    
1874|CD-58 354                                                             |Star                           |01 45 30.0589938840 -58 21 09.037680480|289.7850969942676 -57.3744908184569|  5.718 -30.921   |10.571   |~               |    ~     ~    
1875|CD-57 346                                                             |Star                           |01 47 11.9839769808 -56 34 32.870942184|288.0401811506334 -58.9110924762735|  34.570 27.602   |10.80    |~               |    ~     ~    
1876|CD-59 345                                                             |Star                           |01 47 52.1939210016 -58 41 18.601185732|289.5031342027878 -56.9442046678685|  16.148 14.810   |10.99    |~               |    ~     ~    
1877|CD-57 349                                                             |Star                           |01 48 03.1765796592 -57 19 33.736491228|288.4324619695646 -58.1800015419273| -2.995 -18.051   |10.990   |~               |    ~     ~    
1878|CD-57 358                                                             |Star                           |01 49 12.6586208328 -57 09 20.361517524|288.0270680173279 -58.2694386967197|   40.774 4.806   |10.97    |~               |    ~     ~    
1879|CD-58 371                                                             |Star                           |01 49 46.2271489008 -57 55 05.387362860|288.5013601609015 -57.5458613574918|    9.210 5.374   |10.16    |~               |    ~     ~    
1880|CD-58 372                                                             |High Proper Motion Star        |01 49 59.5544321856 -57 52 30.606447720|288.4178511755877 -57.5725585905144| 81.261 -29.876   |10.63    |~               |    ~     ~    
1881|CD-58 377                                                             |Star                           |01 51 50.9958245616 -57 33 38.112468192|287.7474929885750 -57.7511140401808|  -4.190 -7.387   |10.75    |~               |    ~     ~    
1882|CD-59 365                                                             |High Proper Motion Star        |01 54 29.6749939632 -58 30 36.878040396|287.9341915171814 -56.7440714537106|-37.628 -33.093   |10.73    |~               |    ~     ~    
1883|CD-58 392                                                             |Star                           |01 54 58.7334254424 -58 13 48.960263784|287.6028204601335 -56.9667678851817|  39.877 10.681   |10.572   |~               |    ~     ~    
1884|CD-58 380                                                             |High Proper Motion Star        |01 52 31.2433170960 -57 59 24.596112804|287.9450867913114 -57.3253362602416|230.398 -34.985   |10.316   |~               |    ~     ~    
1885|CD-59 351                                                             |Star                           |01 49 27.0203189856 -58 33 37.905350832|289.0632029673982 -56.9783273786574|    9.262 4.451   |10.752   |~               |    ~     ~    
1886|CD-59 371                                                             |Star                           |01 55 22.5417089760 -58 22 42.958458840|287.6389417393393 -56.8107875725390|   28.197 0.541   |10.514   |~               |    ~     ~    
1887|TYC 8478-193-1                                                        |Star                           |01 46 38.9182607568 -56 50 24.166187196|288.3834187909363 -58.7014662381786|  36.485 13.738   |10.87    |~               |    ~     ~    
1888|TYC 8481-175-1                                                        |High Proper Motion Star        |01 45 06.4107508176 -58 21 39.327776280|289.8796239558137 -57.3865990692835|  60.884 86.443   |10.40    |~               |    ~     ~    
1889|TYC 8488-315-1                                                        |Star                           |01 54 02.3003875896 -57 34 02.518526856|287.2605636732279 -57.6154956995706|   28.561 8.208   |10.562   |~               |    ~     ~    
1890|HD 10887                                                              |Star                           |01 45 19.9707063984 -56 06 28.732475268|288.1245231384146 -59.4439093052083|-30.190 -29.082   |9.53     |G8V             |    ~     ~    
1891|IRAS 01586-6750                                                       |Star                           |01 59 52.3352198160 -67 35 36.234501180|293.2414055095646 -48.2269161646710|   3.972 -2.190   |10.24    |~               |    ~     ~    
1892|HD 12335                                                              |High Proper Motion Star        |01 58 12.6730795776 -67 35 18.121087320|293.4575586116132 -48.2930747418758|-93.314 -75.411   |8.67     |K1III           |    ~     ~    
1893|CD-66 87                                                              |High Proper Motion Star        |01 46 52.4025522216 -65 39 48.388625316|294.0057036229566 -50.4931753165108|   55.658 4.607   |10.47    |~               |    ~     ~    
1894|CD-66 86                                                              |High Proper Motion Star        |01 46 28.5960451752 -65 48 59.057587224|294.1460881313782 -50.3625578569169|  73.902 27.207   |10.72    |~               |    ~     ~    
1895|CD-66 89                                                              |Star                           |01 48 18.0978322800 -66 15 58.186772712|294.1092056816655 -49.8767107614134|  23.250 -1.137   |10.64    |~               |    ~     ~    
1896|HD 11406                                                              |Star                           |01 49 41.0217896184 -66 34 32.336446224|294.0720312745348 -49.5386200813930|  -3.719 -1.395   |9.14     |K0III           |    ~     ~    
1897|HD 11602                                                              |Star                           |01 51 22.9451970816 -66 39 12.584797704|293.8708044285814 -49.4068052725506|   17.063 9.792   |9.92     |K0/1III         |    ~     ~    
1898|HD 11797                                                              |Star                           |01 53 09.9212685264 -66 52 27.150043080|293.7401774342054 -49.1377829216988|    4.068 7.293   |10.68    |A7/8IV/V        |    ~     ~    
1899|CD-66 88                                                              |Star                           |01 47 46.6024250424 -65 48 30.370601412|293.9453213856626 -50.3253799531383|  29.364 27.447   |10.40    |~               |    ~     ~    
1900|CD-67 93                                                              |High Proper Motion Star        |01 49 20.2432770888 -66 25 14.644510860|294.0397217634161 -49.6959485819242|  73.481 23.133   |10.90    |~               |    ~     ~    
1901|CD-67 95                                                              |Spectroscopic Binary           |01 50 09.4896641832 -66 41 50.025891372|294.0687911916081 -49.4082743667241|  10.824 16.745   |10.15    |~               |    ~     ~    
1902|CD-65 89                                                              |Star                           |01 51 19.8326777736 -65 14 31.961395032|293.0903701331687 -50.7262187850960|   3.426 -6.803   |10.209   |~               |    ~     ~    
1903|CD-65 90                                                              |Star                           |01 51 48.6649667424 -65 05 51.111614616|292.9325326251551 -50.8424906265822|  38.096 27.145   |10.188   |~               |    ~     ~    
1904|HD 11743                                                              |Star                           |01 53 01.8362326560 -64 53 01.506981336|292.6168080178011 -50.9931438976943|  -1.751 27.601   |9.989    |F8V             |    ~     ~    
1905|CD-65 93                                                              |Star                           |01 58 33.7171007040 -64 41 15.243515232|291.6341092919291 -50.9429022932647|-24.795 -35.893   |10.18    |~               |    ~     ~    
1906|HD 12466                                                              |Star                           |01 59 45.3240716064 -64 47 16.265852592|291.5154025924871 -50.7991736863306|  45.367 -1.015   |8.57     |K3III           |    ~     ~    
1907|HD 11010                                                              |Double or Multiple Star        |01 46 01.9433073960 -65 23 04.713846504|293.9885168083152 -50.7850611340904|    -12.8 -12.6   |9.49     |A1/3V+G2IV      |    ~     ~    
1908|HD 12004                                                              |Star                           |01 55 24.4507124856 -65 41 25.394701920|292.7362790172687 -50.1525455044309| -10.829 -2.473   |8.38     |G8III           |    ~     ~    
1909|CD-66 94                                                              |Star                           |01 56 37.0462169376 -65 40 06.633408324|292.5438068620124 -50.1246302199082|   23.601 1.895   |10.04    |~               |    ~     ~    
1910|HD 12270                                                              |Star                           |01 57 53.3243813328 -65 25 28.837721640|292.2047640356634 -50.2969231602898|-17.140 -10.887   |6.357    |G8II/III        |    ~     ~    
1911|HD 12452                                                              |High Proper Motion Star        |01 59 35.8089206544 -65 26 53.452989420|291.9654924984041 -50.2038923707810| 117.298 70.982   |7.29     |F3V             |    ~     ~    
1912|HD 11300                                                              |Double or Multiple Star        |01 48 43.0065 -65 46 07.105            |293.7821310 -50.3298097            |     24.80 6.50   |8.93     |A9V             |    ~     ~    
1913|HD 11796                                                              |Star                           |01 53 15.0351382680 -66 12 59.804589456|293.3594080339412 -49.7470539444655|-26.528 -22.767   |9.71     |F3IV/V          |    ~     ~    
1914|HD 11914                                                              |Star                           |01 54 35.0924388576 -65 59 21.238267488|293.0339872248916 -49.9079638213909|  -1.373 -3.603   |10.05    |F6V             |    ~     ~    
1915|HD 12229                                                              |Star                           |01 57 32.2907347032 -66 00 51.636107988|292.6190309116836 -49.7694788319924|   -2.163 6.550   |8.31     |K3/4III         |    ~     ~    
1916|HD 12477                                                              |Star                           |01 59 41.1276247920 -66 03 59.611133556|292.3418511774768 -49.6348977050169|   33.411 6.136   |6.078    |K1III           |    ~     ~    
1917|HD 11891                                                              |Star                           |01 54 17.0429280624 -66 53 52.619587188|293.5972737176265 -49.0756121594635|   2.104 10.902   |9.66     |K0III           |    ~     ~    
1918|HD 11957                                                              |Star                           |01 54 47.9426584752 -66 58 48.354167244|293.5720210113021 -48.9806510165819|   17.900 3.516   |9.09     |M1III           |    ~     ~    
1919|CD-67 101                                                             |High Proper Motion Star        |01 54 57.2123212032 -66 42 47.158689420|293.3989897287568 -49.2229013087364|  41.924 26.614   |10.741   |~               |    ~     ~    
1920|HD 12298                                                              |Star                           |01 57 59.7894533448 -67 16 00.784579728|293.2997387355092 -48.5977322635159|   7.072 13.178   |9.27     |F8/G0V          |    ~     ~    
1921|CD-66 96                                                              |Star                           |01 57 43.2174984000 -65 49 21.035961264|292.4755582025076 -49.9385602530717|  15.217 18.562   |10.07    |~               |    ~     ~    
1922|L 88-15                                                               |High Proper Motion Star        |01 58 18.7368762192 -65 13 05.110587840|292.0115446699881 -50.4685456153729|162.289 198.104   |10.50    |K6+Vk:          |    ~     ~    
1923|TYC 8856-360-1                                                        |Star                           |01 46 48.1519466592 -65 08 44.981139264|293.7413311295709 -50.9830582543914|   13.615 1.513   |10.470   |~               |    ~     ~    
1924|TYC 8856-234-1                                                        |Star                           |01 51 00.5300530536 -65 14 09.546570204|293.1364120735316 -50.7442283241761|   14.377 7.943   |10.439   |~               |    ~     ~    
1925|TYC 8856-132-1                                                        |Star                           |01 54 16.9706179296 -66 29 31.861458600|293.3678039468530 -49.4527366149276|  -2.215 -7.751   |10.781   |~               |    ~     ~    
1926|TYC 8856-495-1                                                        |Spectroscopic Binary           |01 45 38.7330508512 -65 20 15.494251452|294.0240843817942 -50.8427673274307|   0.057 -4.396   |10.78    |~               |    ~     ~    
1927|TYC 8856-600-1                                                        |Star                           |01 48 12.8829586536 -65 44 56.765818680|293.8474589883749 -50.3658600144704|    4.901 3.761   |10.78    |~               |    ~     ~    
1928|TYC 8856-970-1                                                        |Star                           |01 51 13.2013537752 -66 28 51.506406336|293.8000800451673 -49.5738797240814|  12.595 17.319   |10.95    |~               |    ~     ~    
1929|TYC 8856-1329-1                                                       |Star                           |01 48 48.9701839224 -65 58 19.242534000|293.8767213008979 -50.1353820487043|  -0.545 -0.101   |10.75    |~               |    ~     ~    
1930|TYC 8857-13-1                                                         |Star                           |01 59 41.5351168632 -67 11 57.511454820|293.0314694496578 -48.5959521578898|   16.817 1.629   |10.817   |~               |    ~     ~    
1931|TYC 8857-22-1                                                         |High Proper Motion Star        |01 54 42.4052435520 -66 06 58.630836204|293.0902671197827 -49.7855771418224|  39.998 34.188   |10.825   |~               |    ~     ~    
1932|TYC 8857-24-1                                                         |Star                           |01 56 20.1488559456 -66 46 01.485283548|293.2366858077432 -49.1215261297507|   17.698 4.202   |9.92     |~               |    ~     ~    
1933|TYC 8857-106-1                                                        |Star                           |01 57 21.9546243744 -66 13 19.223010732|292.7692194880359 -49.5851343147818|  26.841 14.998   |10.71    |~               |    ~     ~    
1934|TYC 8857-168-1                                                        |Star                           |01 55 20.4660522024 -66 54 50.893191684|293.4595480905198 -49.0221512634616|    5.062 4.412   |10.845   |~               |    ~     ~    
1935|TYC 8857-310-1                                                        |Star                           |01 59 30.4639189296 -67 11 13.339932684|293.0490000621641 -48.6142800131731|   2.900 -3.556   |10.745   |~               |    ~     ~    
1936|TYC 8857-317-1                                                        |Star                           |01 58 07.2127981296 -66 50 26.944525896|293.0324470873704 -48.9858956577884|   23.376 8.217   |10.914   |~               |    ~     ~    
1937|TYC 8857-344-1                                                        |High Proper Motion Star        |01 59 43.7890557480 -66 05 39.800967216|292.3528211875671 -49.6076168212029|  25.482 48.928   |10.8     |~               |    ~     ~    
1938|TYC 8857-486-1                                                        |Star                           |01 57 46.1354556576 -65 44 48.349008888|292.4219387020388 -50.0061850710966|    3.991 2.283   |10.689   |~               |    ~     ~    
1939|HD 11305                                                              |Star                           |01 49 03.2743423656 -62 13 43.955014296|291.6628195829989 -53.6206837167059| -12.991 10.407   |9.44     |F2V             |    ~     ~    
1940|HD 11449                                                              |Star                           |01 50 36.8877703944 -62 04 14.697235740|291.2771893449848 -53.6980600900288|  18.651 18.075   |8.94     |K1III           |    ~     ~    
1941|HD 11516                                                              |Star                           |01 51 10.2733931352 -62 19 20.174657700|291.3391532740604 -53.4409238597504|   23.466 7.048   |9.21     |K1III           |    ~     ~    
1942|CD-63 35                                                              |High Proper Motion Star        |01 45 49.0647417696 -63 18 52.987662396|292.8905763590895 -52.7404701894081|  68.633 76.510   |10.22    |~               |    ~     ~    
1943|HD 11002                                                              |Double or Multiple Star        |01 46 05.340 -62 48 40.38              |292.551595 -53.201758              |      15.5 -7.0   |10.46    |F3IV/V          |    ~     ~    
1944|HD 11440                                                              |Star                           |01 50 25.6097455392 -62 57 28.395887508|291.8742226061467 -52.8855683341994|   23.115 3.916   |9.019    |K0/1III         |    ~     ~    
1945|HD 11460                                                              |Star                           |01 50 32.9243880240 -62 49 41.685643416|291.7719098416975 -53.0004532864861|-28.461 -25.154   |9.811    |F2/3V           |    ~     ~    
1946|HD 11528                                                              |Double or Multiple Star        |01 51 08.6177 -63 14 07.987            |291.9227853 -52.5978051            |       -4.7 2.4   |9.65     |F6V             |    ~     ~    
1947|HD 11540                                                              |High Proper Motion Star        |01 51 14.1319093080 -63 17 04.926199812|291.9375615081055 -52.5483892005378| 63.561 117.531   |9.18     |F5V             |    ~     ~    
1948|CPD-63 136                                                            |Star                           |01 51 59.6699342136 -63 15 48.993922476|291.7945984383856 -52.5354886721650|  0.979 -11.775   |9.97     |~               |    ~     ~    
1949|HD 11990                                                              |Double or Multiple Star        |01 55 28.30095 -63 04 37.9679          |291.08091455 -52.55272966          |     3.52 11.92   |8.84     |A6V             |    ~     ~    
1950|CD-63 43                                                              |Star                           |01 56 54.6751065624 -62 53 19.367548584|290.7083948197035 -52.6579816682497|  2.134 -10.562   |10.395   |~               |    ~     ~    
1951|HD 11148                                                              |Star                           |01 47 33.2754452184 -63 36 30.885746544|292.7605296289571 -52.3973336083082| -19.200 -0.176   |8.26     |M1III           |    ~     ~    
1952|V* DH Hyi                                                             |Eclipsing Binary               |01 49 13.3106055600 -63 30 59.768636688|292.4224941187572 -52.4166008151262|  13.616 15.576   |8.46     |A2mA5-A7        |    ~     ~    
1953|HD 11381                                                              |Star                           |01 49 42.6666025560 -63 23 06.214174224|292.2599581491800 -52.5190113420996| 19.047 -15.833   |8.42     |K2III           |    ~     ~    
1954|HD 10963                                                              |Star                           |01 45 35.5111217784 -63 45 38.081240136|293.1810232419425 -52.3303333972759|   8.453 12.775   |9.68     |A5Vs            |    ~     ~    
1955|HD 11266                                                              |Star                           |01 48 28.0315509264 -64 21 09.312542676|293.0358221934486 -51.6659793274379|  -11.639 7.170   |8.04     |K0III           |    ~     ~    
1956|CD-64 47                                                              |Star                           |01 53 03.3614715768 -63 46 56.813576448|291.9408289643643 -52.0109075197997|   10.858 3.251   |9.780    |~               |    ~     ~    
1957|CD-64 48                                                              |Star                           |01 56 46.8891805416 -64 02 45.100162644|291.4996042457347 -51.6075690446677|  -3.148 13.971   |9.973    |~               |    ~     ~    
1958|CD-64 49                                                              |Star                           |01 59 13.6651339440 -63 53 08.347995600|290.9993926967522 -51.6434423584139|  22.653 21.470   |10.108   |~               |    ~     ~    
1959|HD 12476                                                              |Star                           |01 59 55.9855548864 -63 58 20.369241588|290.9447178856942 -51.5322494578080|  19.188 -1.176   |9.25     |K2III           |    ~     ~    
1960|CPD-65 146                                                            |Star                           |01 46 07.1921778048 -64 44 00.225758184|293.6277038505273 -51.3956768045984|    3.818 0.141   |10.94    |~               |    ~     ~    
1961|CD-65 83                                                              |High Proper Motion Star        |01 46 15.8023777968 -64 46 18.318327276|293.6253606745335 -51.3544041776963|-18.178 -55.239   |10.32    |~               |    ~     ~    
1962|HD 11052                                                              |High Proper Motion Star        |01 46 26.8025338008 -64 52 20.178838308|293.6503253024686 -51.2532100640966|-74.722 -99.757   |9.890    |G5/6III         |    ~     ~    
1963|HD 11082                                                              |Star                           |01 46 48.2952258288 -64 47 05.482696992|293.5456010569836 -51.3225111479855|  21.910 12.545   |9.48     |K0/1III         |    ~     ~    
1964|CD-65 86                                                              |Star                           |01 48 50.6921446920 -64 39 22.322827152|293.1471329635560 -51.3675915054864|   17.151 9.580   |9.80     |~               |    ~     ~    
1965|HD 11358                                                              |Star                           |01 49 29.0146549560 -64 33 01.077388488|292.9841629529132 -51.4422220552911|   11.414 4.132   |9.61     |K2III           |    ~     ~    
1966|HD 11394                                                              |Star                           |01 49 47.9633152080 -64 23 09.463924860|292.8382580093132 -51.5833589343547| -9.158 -19.736   |7.43     |K1III           |    ~     ~    
1967|CPD-63 131                                                            |High Proper Motion Star        |01 47 09.6575614416 -62 25 30.788971932|292.1285249538387 -53.5186794836312|  58.084 57.686   |10.92    |~               |    ~     ~    
1968|CPD-64 136                                                            |Star                           |01 47 20.3492529576 -63 27 35.238773124|292.7110433901004 -52.5450025993156|  23.576 16.186   |10.03    |~               |    ~     ~    
1969|TYC 8853-593-1                                                        |Star                           |01 45 28.6298314872 -63 31 52.174620408|293.0721522418469 -52.5503115466419|    0.975 3.968   |9.947    |~               |    ~     ~    
1970|TYC 8853-1465-1                                                       |Star                           |01 46 33.3622106088 -64 48 02.892050964|293.5941505622843 -51.3165219024016|   42.058 4.592   |10.744   |~               |    ~     ~    
1971|TYC 8853-565-1                                                        |Star                           |01 47 28.2294226776 -62 56 42.237076344|292.3853925181293 -53.0207804148318|    6.847 3.809   |10.603   |~               |    ~     ~    
1972|TYC 8853-890-1                                                        |Spectroscopic Binary           |01 47 45.6545611680 -63 07 03.316585404|292.4369582332568 -52.8479161913681|145.263 -34.061   |10.71    |~               |    ~     ~    
1973|TYC 8853-1042-1                                                       |Star                           |01 49 16.8839249208 -64 13 20.019891360|292.8277050681034 -51.7563296303485|   2.665 -5.832   |10.408   |~               |    ~     ~    
1974|TYC 8853-1193-1                                                       |Star                           |01 49 29.4745894584 -64 19 03.330072912|292.8486981285975 -51.6591506567287|  24.393 12.655   |10.225   |~               |    ~     ~    
1975|TYC 8853-374-1                                                        |Star                           |01 49 41.0586692208 -63 32 55.809907512|292.3631815667575 -52.3677734367183|   14.566 8.819   |10.205   |~               |    ~     ~    
1976|TYC 8853-1119-1                                                       |Star                           |01 50 41.2968036216 -63 36 43.343329860|292.2315584404501 -52.2678095964581|   -2.138 4.427   |10.952   |~               |    ~     ~    
1977|TYC 8853-926-1                                                        |Star                           |01 51 06.1029793512 -64 29 44.753279136|292.6923036437054 -51.4299464244760|   7.341 10.240   |10.270   |~               |    ~     ~    
1978|TYC 8853-428-1                                                        |Star                           |01 51 14.5536079848 -63 32 34.541983032|292.0958350213468 -52.3088729050859|  -2.349 15.977   |10.647   |~               |    ~     ~    
1979|TYC 8853-816-1                                                        |Spectroscopic Binary           |01 52 55.4202807624 -63 13 43.620073140|291.6139116737328 -52.5273773851239|   73.217 5.113   |10.439   |~               |    ~     ~    
1980|TYC 8853-302-1                                                        |Star                           |01 53 38.0851093728 -63 00 49.714232076|291.3537554654039 -52.6938625838209|  13.523 -4.789   |10.331   |~               |    ~     ~    
1981|TYC 8854-479-1                                                        |Star                           |01 54 52.7705888304 -64 20 39.457617036|291.9950734008056 -51.4156834033098|   28.851 4.031   |10.147   |~               |    ~     ~    
1982|TYC 8854-385-1                                                        |Star                           |01 55 34.5319868208 -62 52 01.390767276|290.9229016380250 -52.7401203348362| 10.485 -12.433   |10.667   |~               |    ~     ~    
