C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:42:20

Vmag< 11&dec >=0&rah >=13.0&rah< 13.25
--------------------------------------

Number of objects : 2057

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
1471|HD 114092                                                                                                |High Proper Motion Star        |13 07 53.6341438152 +27 33 21.440312064|040.5496196964617 +86.3208543193122|-39.252 -62.545  |6.14     |K4III             |    ~     ~    
1472|BD+28 2189                                                                                               |Star                           |13 08 43.1697214248 +27 36 25.269594876|041.0346877410837 +86.1336189289893| -0.731 -12.006  |8.82     |G9III             |    ~     ~    
1473|BD+28 2191                                                                                               |Star                           |13 09 31.7068519032 +27 41 55.649409360|042.0574605680977 +85.9451387986434|  -45.346 4.349  |10.50    |G5III-IV          |    ~     ~    
1474|BD+27 2220                                                                                               |Star                           |13 08 12.0164191968 +27 11 15.618476940|034.8012420518559 +86.2711158395254|  -0.872 -2.296  |10.2     |~                 |    ~     ~    
1475|HD 114448                                                                                                |Star                           |13 10 20.9637790056 +29 26 37.917428388|063.1198826881341 +85.2367287652811| 17.893 -19.148  |8.45     |K1III             |    ~     ~    
1476|BD+30 2376                                                                                               |Double or Multiple Star        |13 11 50.17995 +29 30 54.6506          |062.12503108 +84.91653420          |    -86.21 2.55  |10.74    |G0V               |0.0050  0.0    
1477|HD 115103                                                                                                |High Proper Motion Star        |13 14 37.0514343240 +29 24 04.243807224|058.2902346187404 +84.4138243034808| 52.566 -40.590  |8.70     |F6V               |    ~     ~    
1478|HD 114401                                                                                                |Star                           |13 09 57.0241033416 +28 48 16.609265172|056.3047023520130 +85.5824251655426|   -1.265 0.353  |8.59     |K2III             |    ~     ~    
1479|BD+29 2375                                                                                               |High Proper Motion Star        |13 10 47.6313164064 +28 32 40.992417960|052.3675504412818 +85.4930664655755|-51.918 -21.348  |9.69     |F9V               |    ~     ~    
1480|BD+29 2376                                                                                               |Star                           |13 10 49.6194893304 +28 40 02.413658964|053.8169144040918 +85.4484643995375|  -39.740 7.295  |10.00    |F7VmF4            |    ~     ~    
1481|HD 114556                                                                                                |Spectroscopic Binary           |13 10 53.5418141256 +28 21 22.933778292|049.9789986711711 +85.5241047104161|  -24.315 8.853  |8.78     |A3mF3             |    ~     ~    
1482|HD 114635                                                                                                |Star                           |13 11 29.0149172352 +28 52 04.289801412|055.5575269816530 +85.2460093782639|-30.985 -29.688  |8.85     |F6V               |    ~     ~    
1483|BD+29 2380                                                                                               |Star                           |13 12 49.7999238336 +28 56 34.231829424|055.2021111975264 +84.9434699900139|  8.390 -11.235  |10.28    |~                 |    ~     ~    
1484|BD+29 2381                                                                                               |Double or Multiple Star        |13 13 08.269008 +28 38 08.45232        |051.639700289 +84.974052789        |     -11.3 -6.9  |10.52    |F9V               |    ~     ~    
1485|HD 114914                                                                                                |Spectroscopic Binary           |13 13 25.2624563400 +28 19 30.526165524|048.0230005706846 +84.9907343538742|   0.221 -0.971  |9.54     |F5V               |    ~     ~    
1486|CSI+28-13077                                                                                             |Star                           |13 10 06.0 +27 55 00                   |044.7930 +85.7883                  |            ~ ~  |10.9     |G5III             |    ~     ~    
1487|BD+28 2194                                                                                               |High Proper Motion Star        |13 12 07.6525857864 +28 11 11.828330196|047.1322921918438 +85.2983810330610|  -60.093 0.813  |10.63    |G5VmF6            |    ~     ~    
1488|BD+28 2199                                                                                               |High Proper Motion Star        |13 13 50.9555419440 +27 50 35.792727432|042.4053720097554 +84.9788893277649| -99.261 79.762  |9.91     |F6V               |    ~     ~    
1489|BD+28 2200                                                                                               |Star                           |13 14 34.4171547888 +27 58 46.313463036|043.6883680871559 +84.8024730267303|  -1.627 -8.241  |10.78    |G0                |    ~     ~    
1490|BD+28 2202                                                                                               |Star                           |13 14 50.1044569008 +28 10 43.034303820|045.7406778736780 +84.7140741798577|   47.868 3.951  |10.40    |G1VmF1            |    ~     ~    
1491|BD+28 2192                                                                                               |Star                           |13 11 27.4495981032 +27 34 57.088474788|039.9137074511260 +85.5319512095801|   -0.708 2.998  |9.66     |G8III             |    ~     ~    
1492|BD+28 2195                                                                                               |Star                           |13 12 32.9032316568 +27 41 54.574714104|041.0823698244442 +85.2808228713288|  5.629 -35.061  |10.60    |F9IV              |    ~     ~    
1493|BD+28 2196                                                                                               |Star                           |13 12 49.6045362936 +27 21 13.169004372|036.8689589245250 +85.2408805877574|   0.114 -5.929  |9.41     |K2                |    ~     ~    
1494|BD+28 2198                                                                                               |Spectroscopic Binary           |13 13 23.8579659144 +27 29 30.513681060|038.4512045065126 +85.1088717579254|  16.694 -3.621  |9.61     |F8                |    ~     ~    
1495|BD+29 2383                                                                                               |Star                           |13 13 34.9381450104 +28 38 51.462137616|051.4645688699592 +84.8770283884724|  1.213 -14.017  |9.61     |K3III             |    ~     ~    
1496|TYC 1996-1177-1                                                                                          |Chemically Peculiar Star       |13 10 08.5630112832 +27 55 00.638443164|044.7737445509414 +85.7789953408801| -33.357 -9.918  |10.92    |G5VmF3            |    ~     ~    
1497|TYC 1996-246-1                                                                                           |Star                           |13 07 55.9396263408 +28 54 56.510968752|060.0428165315136 +85.9450470138872| -13.595 -0.998  |10.76    |F8V               |    ~     ~    
1498|GEN# +7.81680003                                                                                         |Star                           |13 10 15.0 +27 52 54                   |044.2507 +85.7614                  |            ~ ~  |10.89    |~                 |    ~     ~    
1499|TYC 1996-652-1                                                                                           |High Proper Motion Star        |13 11 38.7440140944 +26 59 08.565314064|032.2680471711516 +85.4990041448419|-59.159 -22.281  |10.65    |~                 |    ~     ~    
1500|TYC 1996-721-1                                                                                           |Star                           |13 13 14.8773400368 +27 15 22.570268904|035.6893890769724 +85.1488056656257|  -21.473 2.932  |10.19    |~                 |    ~     ~    
1501|* bet Com                                                                                                |High Proper Motion Star        |13 11 52.3938268062 +27 52 41.462309460|043.5029824149316 +85.4072834496154|-800.720 882.301 |4.25     |F9.5V             |    ~     ~    
1502|HD 114109                                                                                                |Double or Multiple Star        |13 08 03.13016 +26 56 49.0008          |031.07187536 +86.29611517          |   -19.06 34.66  |8.34     |F9V               |0.0033  0.0    
1503|BD+27 2217B                                                                                              |High Proper Motion Star        |13 07 33.3095594808 +26 28 46.332335856|023.6198402787845 +86.3457592077168|-43.069 -95.300  |10.95    |~                 |    ~     ~    
1504|BD+26 2430                                                                                               |Star                           |13 08 58.7117780136 +25 16 58.915067232|008.7860911474262 +85.6548002301479| -38.114 -9.244  |10.87    |G5                |    ~     ~    
1505|HD 114093                                                                                                |High Proper Motion Star        |13 08 02.4111642384 +24 49 52.133399004|002.2356476498097 +85.6189257442371| -47.977 35.637  |6.79     |G9III-IV          |    ~     ~    
1506|BD+25 2600                                                                                               |Star                           |13 09 00.7356155664 +24 29 37.008206304|000.2363724628087 +85.2482328986673|   -6.678 3.085  |10.10    |F8                |    ~     ~    
1507|BD+25 2602                                                                                               |Horizontal Branch Star         |13 09 25.5879361200 +24 19 25.102149672|359.2317807340177 +85.0732950894921|-83.554 -18.465  |10.04    |A0                |    ~     ~    
1508|BD+25 2603                                                                                               |Star                           |13 09 30.2410068744 +24 46 59.044302804|003.9292796501693 +85.3111095642640|    1.487 0.663  |9.75     |K0                |    ~     ~    
1509|V* NW Com                                                                                                |delta Sct Variable             |13 12 47.4309572280 +26 52 52.189291992|031.1727679396620 +85.2378186635707|-46.447 -11.648  |8.46     |kA7hF0mF1(III)    |    ~     ~    
1510|BD+27 2228                                                                                               |Star                           |13 13 16.4172372432 +26 47 29.806811988|030.2153201484934 +85.1230867595933|  -18.298 0.193  |10.02    |K0                |    ~     ~    
1511|BD+27 2223                                                                                               |Star                           |13 10 26.2722443160 +26 17 04.818814656|022.7621263075329 +85.6740014783879|  -3.614 -8.029  |10.5     |G0                |    ~     ~    
1512|HD 114636                                                                                                |Star                           |13 11 28.2436263504 +26 23 13.020196884|024.6536337166693 +85.4673917991723|  -12.672 3.290  |8.38     |K0III             |    ~     ~    
1513|BD+27 2226                                                                                               |High Proper Motion Star        |13 12 16.2095699808 +26 41 54.537238752|028.8276270572606 +85.3365149029751|   7.126 53.024  |10.43    |G0                |    ~     ~    
1514|BD+26 2432                                                                                               |High Proper Motion Star        |13 10 21.8092087608 +25 54 11.165656464|017.8582138298058 +85.5929530273727|  -64.058 5.605  |10.51    |F5                |    ~     ~    
1515|BD+26 2437                                                                                               |Star                           |13 13 25.2957868224 +25 48 21.533976000|019.1254829590240 +84.9060616976673|  0.776 -32.329  |9.59     |K0                |    ~     ~    
1516|BD+26 2438                                                                                               |Star                           |13 13 39.6700243584 +25 51 08.884879812|019.7930930739685 +84.8669893033852|   -8.296 8.942  |9.99     |G5                |    ~     ~    
1517|BD+27 2222                                                                                               |Star                           |13 10 09.9393145944 +26 38 41.063490744|027.3899485457406 +85.7965206214115|  5.020 -12.040  |10.05    |~                 |    ~     ~    
1518|HD 114463                                                                                                |Star                           |13 10 19.7827281384 +25 33 21.547114740|013.6128680962306 +85.4853227618513| 24.226 -17.402  |8.82     |G7IV-V            |    ~     ~    
1519|BD+26 2434                                                                                               |Star                           |13 12 48.0494402136 +25 35 21.638498712|016.3041779040581 +84.9737490637630| -6.658 -12.921  |9.99     |K2                |    ~     ~    
1520|HD 114880                                                                                                |Star                           |13 13 06.0207362736 +25 25 40.703770884|014.8481404064550 +84.8556223278282|-31.146 -15.227  |9.39     |F6V               |    ~     ~    
1521|HD 114989                                                                                                |Star                           |13 13 52.9539195768 +25 41 53.788800444|018.3096307909499 +84.7757031967677|  9.312 -40.172  |7.288    |F7V               |    ~     ~    
1522|BD+26 2440                                                                                               |Star                           |13 14 22.1909256744 +25 40 51.539309184|018.4800347294524 +84.6656816653436|  -8.266 11.257  |10.13    |F8                |    ~     ~    
1523|V* NU Com                                                                                                |Long-Period Variable           |13 10 08.4519948648 +24 36 01.479460680|002.9706027525095 +85.0923367626181| -11.447 -1.995  |9.76     |M7                |    ~     ~    
1524|BD+25 2607                                                                                               |Star                           |13 11 32.7859850160 +24 44 34.320907104|006.2308839174664 +84.8891864316982| 21.036 -37.966  |9.63     |K0                |    ~     ~    
1525|BD+25 2608                                                                                               |High Proper Motion Star        |13 11 43.9179250656 +25 12 14.584810176|011.1582834629427 +85.0571670870115| -55.643 44.867  |10.36    |G0                |    ~     ~    
1526|BD+25 2609                                                                                               |Star                           |13 11 55.9421300184 +24 42 28.109234268|006.3598283111564 +84.7955099186409|  -16.370 6.813  |9.81     |K0                |    ~     ~    
1527|HD 114724                                                                                                |Double or Multiple Star        |13 12 08.4047184960 +24 15 28.946670408|002.4659487814774 +84.5246976528290| -7.114 -38.879  |6.29     |K0III             |0.0033  0.0    
1528|BD+25 2611                                                                                               |Star                           |13 12 08.2364630256 +24 36 32.177301516|005.6641794377755 +84.7066675715850|  4.199 -13.134  |9.38     |K2                |    ~     ~    
1529|BD+25 2615                                                                                               |Star                           |13 14 58.4885575008 +25 12 48.736492416|014.3186441824683 +84.3834420356696|-17.906 -17.477  |10.20    |K0                |    ~     ~    
1530|BD+25 2614                                                                                               |Star                           |13 14 41.1399903984 +24 26 39.484662216|007.0674649412002 +84.1197750558508|  32.452 29.837  |10.32    |~                 |    ~     ~    
1531|TYC 1994-82-1                                                                                            |Star                           |13 09 43.6754805984 +26 10 15.900368412|020.7829498589819 +85.8029527082772|  -47.966 1.463  |10.97    |~                 |    ~     ~    
1532|TYC 1994-166-1                                                                                           |Star                           |13 11 04.7523506592 +25 56 30.199801308|018.9240119978925 +85.4498979483289|    3.692 3.482  |10.99    |~                 |    ~     ~    
1533|TYC 1994-186-1                                                                                           |Star                           |13 09 21.9236852232 +24 53 13.441338888|004.8375832125489 +85.3910210186384|-22.352 -25.089  |10.44    |~                 |    ~     ~    
1534|TYC 1994-248-1                                                                                           |Star                           |13 08 08.0042878128 +24 46 31.497406140|001.7743793577190 +85.5709833653257| 14.865 -10.687  |9.86     |~                 |    ~     ~    
1535|TYC 1994-471-1                                                                                           |Star                           |13 11 21.8693131872 +24 47 34.829371608|006.5028839043288 +84.9495171670161| -19.566 -8.296  |10.95    |~                 |    ~     ~    
1536|TYC 1994-1356-1                                                                                          |Star                           |13 12 48.2039809488 +25 12 03.154384692|012.2238565544082 +84.8336954605989|  -16.814 0.390  |10.60    |~                 |    ~     ~    
1537|TYC 1994-1445-1                                                                                          |Star                           |13 10 19.7958068712 +24 23 19.061122308|001.1923677197771 +84.9411750930438| -47.953 -2.805  |10.51    |~                 |    ~     ~    
1538|TYC 1996-1112-1                                                                                          |Spectroscopic Binary           |13 07 35.8717989144 +26 35 07.420757712|025.2829890964753 +86.3552941665010| 24.251 -27.823  |10.72    |~                 |    ~     ~    
1539|TYC 1996-1712-1                                                                                          |Star                           |13 10 02.9711529912 +26 54 26.847903780|030.9418410954423 +85.8492556185183| -5.272 -13.699  |10.29    |~                 |    ~     ~    
1540|BD+24 2547                                                                                               |Star                           |13 09 32.7154308240 +23 47 35.131766208|354.7098024514694 +84.7256371108465| -29.107 -7.718  |10.73    |G0                |    ~     ~    
1541|BD+24 2544                                                                                               |High Proper Motion Star        |13 08 30.5580207144 +23 49 14.531718324|353.2229328147462 +84.9229312728483| 75.251 -56.568  |10.5     |~                 |    ~     ~    
1542|BD+24 2542                                                                                               |Double or Multiple Star        |13 08 04.407011 +23 24 42.79906        |349.179282576 +84.713570010        |   -139.7 -24.7  |10.24    |G5                |    ~     ~    
1543|HD 114190                                                                                                |Star                           |13 08 43.7411561952 +22 58 17.645483280|347.1613935179436 +84.2901842718845|  1.104 -10.467  |8.86     |G9III             |    ~     ~    
1544|BD+23 2542                                                                                               |Spectroscopic Binary           |13 09 24.3345036264 +22 13 34.094366688|343.6759751978512 +83.6224751481572| 51.553 -43.454  |9.71     |K2                |    ~     ~    
1545|BD+24 2541                                                                                               |Long-Period Variable           |13 07 53.2095017472 +23 37 29.149419720|350.5123389775019 +84.8940562875659|  -11.951 1.644  |9.91     |~                 |    ~     ~    
1546|BD+24 2548                                                                                               |High Proper Motion Star        |13 09 44.5967246880 +23 30 49.404685680|352.7850682103067 +84.5076656030621|-63.357 -43.931  |10.7     |~                 |    ~     ~    
1547|BD+22 2544                                                                                               |High Proper Motion Star        |13 08 53.7895060920 +21 42 49.749162660|340.1373040216507 +83.2851205659522|  7.707 -50.827  |10.96    |F8                |    ~     ~    
1548|BD+24 2553                                                                                               |Double or Multiple Star        |13 12 49.0165043568 +23 55 54.096365064|000.5714094866645 +84.2151053257484| -24.268 18.044  |10.044   |K0                |    ~     ~    
1549|BD+24 2554                                                                                               |Star                           |13 13 46.8038156328 +23 44 54.184790508|000.3325875173038 +83.9296264637974| 18.732 -17.544  |10.07    |~                 |    ~     ~    
1550|BD+24 2549                                                                                               |Star                           |13 10 31.8879619872 +23 29 17.244152052|353.8249593271391 +84.3555826029048|  2.775 -41.689  |9.48     |G5                |    ~     ~    
1551|BD+24 2552                                                                                               |High Proper Motion Star        |13 12 26.9765938032 +23 41 15.275640264|358.1357736811358 +84.1401781967296|  -63.597 7.902  |10.31    |G0                |    ~     ~    
1552|BD+24 2556                                                                                               |Star                           |13 14 09.6296354496 +23 18 57.521196144|357.6024324374095 +83.6028688400547|  -1.760 -0.399  |9.50     |K0                |    ~     ~    
1553|BD+23 2543                                                                                               |Double or Multiple Star        |13 11 54.8912412144 +23 12 22.920942564|353.7993257831806 +83.9310779832018| -78.319 53.093  |9.72     |G0                |0.0033  0.0    
1554|BD+23 2544                                                                                               |High Proper Motion Star        |13 11 56.7280211880 +23 12 43.062961860|353.8829748114425 +83.9294820639348|-9.351 -122.383  |10.59    |G5                |    ~     ~    
1555|BD+23 2546                                                                                               |High Proper Motion Star        |13 11 58.9401648504 +22 54 34.059167712|351.8540591510287 +83.7198094023244|-62.126 -17.735  |10.20    |F8                |    ~     ~    
1556|BD+23 2548                                                                                               |Star                           |13 12 29.9518968 +22 55 02.002522      |352.6413953220 +83.6378838368      |     -5.77 9.63  |9.76     |G0                |    ~     ~    
1557|BD+23 2549                                                                                               |Star                           |13 13 34.0840293984 +22 31 35.842928016|351.6216016613003 +83.1910540787750| -20.530 -5.791  |9.77     |K0                |    ~     ~    
1558|HD 114637                                                                                                |Star                           |13 11 32.3407117296 +21 55 07.211622828|345.2748000033162 +83.0705858419797|-24.212 -24.164  |6.80     |G6III-IV          |    ~     ~    
1559|HD 114637B                                                                                               |Star                           |13 11 31.6390474008 +21 55 10.490194812|345.2625162999547 +83.0730333389674|-24.206 -23.505  |10.9     |~                 |    ~     ~    
1560|BD+23 2547                                                                                               |Star                           |13 12 20.9139698784 +22 50 45.020522904|351.9574293690612 +83.6147686147056|   5.616 -8.010  |10.25    |~                 |    ~     ~    
1561|BD+22 2553                                                                                               |High Proper Motion Star        |13 11 37.0079769744 +21 33 51.787593720|343.5615981413398 +82.7853214870046| -82.907 16.689  |9.72     |G5                |    ~     ~    
1562|TYC 1457-5-1                                                                                             |Star                           |13 11 51.3087743496 +22 03 52.171516620|346.5305948253179 +83.1329275003266| -10.799 10.155  |10.25    |~                 |    ~     ~    
1563|TYC 1457-169-1                                                                                           |Star                           |13 12 03.2901744432 +21 58 00.991917120|346.2841841131847 +83.0291154999872| -17.920 -3.353  |10.31    |~                 |    ~     ~    
1564|TYC 1457-204-1                                                                                           |Star                           |13 09 56.3435297280 +21 37 50.503999260|341.3771756531258 +83.0755767135842| -34.660 -4.279  |10.69    |~                 |    ~     ~    
1565|TYC 1457-320-1                                                                                           |Star                           |13 11 31.4521988112 +22 10 35.586279804|346.6740437759519 +83.2676253734871| -0.788 -37.801  |10.07    |~                 |    ~     ~    
1566|TYC 1457-1019-1                                                                                          |Star                           |13 12 32.6481593880 +22 03 02.034060120|347.4390707977565 +83.0159649806513| -22.362 -2.466  |10.48    |~                 |    ~     ~    
1567|TYC 1457-1046-1                                                                                          |Star                           |13 13 14.7711369480 +21 46 46.555793292|346.9523558472992 +82.7056765922623|  2.335 -23.058  |10.51    |~                 |    ~     ~    
1568|TYC 1994-163-1                                                                                           |High Proper Motion Star        |13 12 22.1370400512 +23 32 06.639020376|356.8523924569628 +84.0616273304074|-52.948 -58.622  |9.85     |~                 |    ~     ~    
1569|TYC 1994-511-1                                                                                           |Star                           |13 10 53.1084390528 +24 13 50.724665220|000.5287568230877 +84.7478623289549| -15.372 -0.546  |10.92    |~                 |    ~     ~    
1570|TYC 1994-840-1                                                                                           |Star                           |13 12 07.9784414880 +22 59 51.245414916|352.6623183080203 +83.7543196887084| 23.640 -20.238  |10.99    |~                 |    ~     ~    
1571|TYC 1994-957-1                                                                                           |High Proper Motion Star        |13 13 10.5440038440 +22 56 22.972411608|353.7245668959538 +83.5372009515592|-114.914 -37.835 |10.59    |~                 |    ~     ~    
1572|TYC 1994-1478-1                                                                                          |Star                           |13 10 10.4864206248 +23 42 47.208183840|355.0464611007849 +84.5638988803121| -23.633 12.639  |10.69    |~                 |    ~     ~    
1573|TYC 1994-1581-1                                                                                          |High Proper Motion Star        |13 13 46.5889009824 +22 47 54.401004168|353.6040651875384 +83.3399268403392|-100.701 -31.247 |10.54    |~                 |    ~     ~    
1574|TYC 1994-1728-1                                                                                          |Star                           |13 08 49.3855486032 +23 15 08.317957248|349.2953116840689 +84.4791365562530|  7.579 -11.904  |10.95    |~                 |    ~     ~    
1575|TYC 1994-1749-1                                                                                          |Star                           |13 07 56.6620230792 +23 06 55.359357084|346.7826064689888 +84.5180034158240|-12.304 -19.405  |10.33    |~                 |    ~     ~    
1576|TYC 1994-1845-1                                                                                          |Star                           |13 11 58.5399213696 +22 46 09.477987240|350.9252741419744 +83.6240574759270| -16.699 -9.727  |10.85    |~                 |    ~     ~    
1577|TYC 1994-1894-1                                                                                          |Star                           |13 13 26.9522706384 +23 15 51.482325528|356.3194424567003 +83.6988881487306|  5.398 -11.242  |10.87    |~                 |    ~     ~    
1578|HD 114255                                                                                                |Double or Multiple Star        |13 09 08.5074321600 +21 27 21.791958480|339.2889372891426 +83.0411961766828| -15.029 -9.204  |8.33     |G3V               |0.0067  0.0    
1579|BD+21 2491                                                                                               |Star                           |13 08 19.3944779688 +20 45 20.637990324|335.0066606239054 +82.5522811130129| -29.861 -2.800  |10.82    |G5                |    ~     ~    
1580|HD 114358                                                                                                |High Proper Motion Star        |13 09 48.9832859856 +20 39 13.600597572|336.8695731311501 +82.2840867891756|-53.685 -23.662  |8.05     |G9III-IV          |    ~     ~    
1581|HD 114072                                                                                                |High Proper Motion Star        |13 07 54.8692429704 +19 55 58.013775984|331.4750280861024 +81.8755122174982| -0.418 -66.647  |7.880    |F4V               |    ~     ~    
1582|BD+20 2798                                                                                               |Star                           |13 08 15.6924351624 +20 07 09.264776484|332.6037576835707 +82.0034380823143|    4.390 0.927  |10.25    |F0                |    ~     ~    
1583|BD+20 2799                                                                                               |Star                           |13 09 01.4818145472 +20 03 04.939439112|333.4968683987776 +81.8585261077129|  -13.981 6.561  |9.91     |K5                |    ~     ~    
1584|HD 114325                                                                                                |Star                           |13 09 42.7033256304 +20 08 02.282073864|334.7749471872523 +81.8512853937329|  -28.319 4.163  |8.31     |A3                |    ~     ~    
1585|BD+20 2797                                                                                               |Spectroscopic Binary           |13 07 57.2023314528 +19 40 52.660902828|330.7481636576009 +81.6464231022583|  -38.013 8.724  |9.90     |G0                |    ~     ~    
1586|BD+20 2800                                                                                               |Star                           |13 09 05.2904870592 +19 36 10.306439820|332.1305370000190 +81.4559026813764|  -20.398 6.668  |10.215   |F5                |    ~     ~    
1587|BD+22 2559                                                                                               |High Proper Motion Star        |13 14 15.9560375328 +21 18 10.450132128|345.9206619231089 +82.1907908009523| -58.994 13.838  |9.94     |F8                |    ~     ~    
1588|HD 114520                                                                                                |Spectroscopic Binary           |13 10 52.3488452472 +21 14 01.518823320|340.8985585443356 +82.6270219427642| 22.232 -56.139  |6.82     |F5IV-VSr          |    ~     ~    
1589|2MASS J13105177+2114087                                                                                  |High Proper Motion Star        |13 10 51.7693386840 +21 14 08.483076456|340.8932178017562 +82.6299095570603| 17.254 -59.586  |10.8     |~                 |    ~     ~    
1590|BD+21 2495                                                                                               |Star                           |13 11 58.9553865552 +20 51 13.013548452|340.8011743725066 +82.1672058533312|-41.056 -11.550  |10.56    |K0                |    ~     ~    
1591|HD 114779                                                                                                |High Proper Motion Star        |13 12 27.4267631064 +20 50 31.049194524|341.4056369471405 +82.0925308153556| 18.831 -88.271  |8.90     |F7V               |    ~     ~    
1592|BD+21 2499                                                                                               |Star                           |13 12 48.9831736104 +20 38 35.908423908|341.0517349756058 +81.8825682234090|  -14.913 1.158  |9.74     |K2                |    ~     ~    
1593|BD+21 2500                                                                                               |Star                           |13 13 10.2073723944 +21 00 04.628115324|343.0724403373023 +82.1190689199950| 14.364 -30.972  |9.39     |G2                |    ~     ~    
1594|HD 114959                                                                                                |Star                           |13 13 43.2439225392 +20 24 58.542823296|341.3132222723494 +81.5744063447879| -32.720 -7.468  |8.30     |K0III             |    ~     ~    
1595|BD+21 2503                                                                                               |Star                           |13 14 11.3399852472 +21 08 36.314472336|345.0679015215765 +82.0805980196214|  5.430 -22.496  |10.35    |G5                |    ~     ~    
1596|BD+21 2504                                                                                               |Star                           |13 14 34.7800775064 +20 17 14.160013692|341.8897462024232 +81.3511362930452| -42.320 23.913  |9.92     |K2                |    ~     ~    
1597|BD+20 2805                                                                                               |Star                           |13 11 27.5774167296 +19 50 05.311838544|336.1543046582947 +81.3846568483189|  4.196 -10.527  |9.47     |M0                |    ~     ~    
1598|HD 114638                                                                                                |Star                           |13 11 35.1065755200 +19 48 56.059721532|336.2558610833851 +81.3528963193774|   1.742 -9.652  |8.41     |G8III             |    ~     ~    
1599|BD+20 2808                                                                                               |High Proper Motion Star        |13 12 21.3664481328 +19 50 22.153311420|337.3596922390022 +81.2775945988976|  -46.747 2.597  |10.17    |G0                |    ~     ~    
1600|HD 114819                                                                                                |Star                           |13 12 53.6985829728 +19 55 05.990315556|338.3434429446722 +81.2752344637652|-11.599 -16.216  |7.34     |K2III             |    ~     ~    
1601|HD 114840                                                                                                |Star                           |13 13 01.6755390360 +19 49 27.255263880|338.1773739296331 +81.1793746691854| -6.683 -36.417  |9.26     |F5V               |    ~     ~    
1602|BD+19 2645                                                                                               |Spectroscopic Binary           |13 11 02.8922843928 +18 58 23.133589032|332.8797830722769 +80.6832356060432|  -29.973 8.897  |10.63    |F0                |    ~     ~    
1603|TYC 1453-972-1                                                                                           |Star                           |13 08 57.6632309256 +19 51 32.001232068|332.7639352869893 +81.6963944105518|  -9.428 -6.533  |10.32    |~                 |    ~     ~    
1604|TYC 1454-5-1                                                                                             |Star                           |13 11 39.1964355840 +19 32 36.174452892|335.4291506400502 +81.1110955849087| -34.248 -9.654  |10.34    |~                 |    ~     ~    
1605|TYC 1454-134-1                                                                                           |Star                           |13 10 05.7767201712 +19 26 41.725744332|333.0344301049678 +81.2052860323508| -1.750 -42.142  |9.94     |~                 |    ~     ~    
1606|TYC 1454-208-1                                                                                           |Star                           |13 13 32.8267034232 +18 52 27.188743800|335.7074040042420 +80.3075660903129|  -41.234 9.046  |10.83    |~                 |    ~     ~    
1607|TYC 1454-686-1                                                                                           |Star                           |13 13 53.0516581560 +18 53 50.313305436|336.1838527298951 +80.2865303996590| 20.287 -33.631  |10.60    |~                 |    ~     ~    
1608|TYC 1454-839-1                                                                                           |Star                           |13 09 27.8400873768 +19 17 07.524518172|331.6920571624143 +81.1330801681331| -37.279 -3.311  |10.60    |~                 |    ~     ~    
1609|TYC 1456-184-1                                                                                           |Spectroscopic Binary           |13 07 51.6993241392 +20 43 09.377473368|334.1435402312353 +82.5745697073354|  -15.502 7.039  |10.67    |~                 |    ~     ~    
1610|TYC 1457-106-1                                                                                           |High Proper Motion Star        |13 10 16.1102526072 +21 21 03.868368408|340.5404157879158 +82.8044901717519| -51.232 10.426  |10.26    |~                 |    ~     ~    
1611|TYC 1457-531-1                                                                                           |Spectroscopic Binary           |13 13 30.7061829432 +21 12 23.346674784|344.4700317609060 +82.2297405915915| 46.540 -33.065  |10.31    |~                 |    ~     ~    
1612|TYC 1457-768-1                                                                                           |High Proper Motion Star        |13 09 32.8507525128 +21 30 21.927648564|340.1632670230830 +83.0281423748967| 29.399 -46.552  |10.89    |~                 |    ~     ~    
1613|TYC 1457-795-1                                                                                           |Star                           |13 14 41.7799165104 +20 47 33.024249312|344.1390893967470 +81.7340738463981|    5.758 3.350  |10.27    |~                 |    ~     ~    
1614|TYC 1457-929-1                                                                                           |Star                           |13 12 40.8887870640 +21 10 45.075937368|343.2185369384503 +82.3294245082744|  -39.147 9.454  |10.45    |~                 |    ~     ~    
1615|TYC 1457-992-1                                                                                           |Star                           |13 09 20.9925355416 +20 50 46.619867112|336.9453404635257 +82.5051128209763| 17.890 -15.689  |10.37    |~                 |    ~     ~    
1616|BD+21 2497                                                                                               |Double or Multiple Star        |13 12 28.8683 +20 49 36.148            |341.3728974 +82.0769180            |-100.378 27.271  |9.91     |F5                |    ~     ~    
1617|TYC 1457-644-1                                                                                           |High Proper Motion Star        |13 13 11.9913499200 +20 44 31.034086872|341.9789973170416 +81.9087650923908|  50.726 28.310  |10.78    |~                 |    ~     ~    
1618|BD+19 2640                                                                                               |High Proper Motion Star        |13 08 06.6728112960 +18 33 31.253987772|327.9177901242725 +80.6111388823553|-62.325 -20.517  |9.47     |K0                |    ~     ~    
1619|HD 114173                                                                                                |High Proper Motion Star        |13 08 43.2279387768 +18 34 48.420149232|328.7790151512405 +80.5725754461485| -89.942 29.364  |8.70     |F7V               |    ~     ~    
