C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:42:20

Vmag< 11&dec >=0&rah >=13.0&rah< 13.25
--------------------------------------

Number of objects : 2057

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
105 |TYC 4404-793-1                                                                                           |Star                           |13 14 05.7539589672 +72 23 39.248988144|120.5277198508659 +44.6280942261339|   18.473 0.694  |10.96    |~                 |    ~     ~    
106 |TYC 4407-400-1                                                                                           |Star                           |13 13 30.1981190520 +72 30 26.337947472|120.6092852388818 +44.5212917676031|   -0.924 8.530  |10.78    |~                 |    ~     ~    
107 |BD+75 499                                                                                                |High Proper Motion Star        |13 08 15.1218974040 +75 06 16.648141032|121.4796105347387 +41.9761800682897|  -65.766 8.203  |10.23    |F8                |    ~     ~    
108 |HD 114632                                                                                                |High Proper Motion Star        |13 09 15.5312107656 +75 10 53.812906464|121.4025553590862 +41.8936759790959|  -65.232 3.102  |8.11     |F8                |    ~     ~    
109 |BD+75 492                                                                                                |Star                           |13 02 57.6892147512 +74 32 13.809462324|121.8893916380464 +42.5677486644775| 22.680 -39.275  |10.13    |F8                |    ~     ~    
110 |BD+75 493                                                                                                |Star                           |13 03 05.8116693768 +74 27 44.640268020|121.8709170136388 +42.6418251786731|  -7.208 -6.892  |9.99     |K2                |    ~     ~    
111 |BD+75 494                                                                                                |Star                           |13 04 33.3262267704 +74 25 39.701682912|121.7351559352729 +42.6700625829021| 12.798 -38.456  |10.98    |F8                |    ~     ~    
112 |BD+75 495                                                                                                |Star                           |13 05 08.4179035128 +74 16 48.659025324|121.6673629558926 +42.8144088662114| -15.575 10.530  |10.58    |K0                |    ~     ~    
113 |BD+75 496                                                                                                |Double or Multiple Star        |13 05 22.6672 +75 06 51.969            |121.7282552 +41.9812216            |   -70.20 54.00  |9.31     |G5                |    ~     ~    
114 |BD+75 497                                                                                                |Star                           |13 05 38.7252984072 +74 45 40.689621468|121.6697656234987 +42.3321137551869| -14.568 15.975  |10.85    |F0                |    ~     ~    
115 |HD 114170                                                                                                |Star                           |13 06 32.4657268968 +74 45 15.873026940|121.5896512370747 +42.3344578840294|  -23.051 4.804  |8.99     |A3                |    ~     ~    
116 |BD+75 501                                                                                                |Star                           |13 14 36.8595842976 +74 21 34.271632872|120.8104372184261 +42.6731312046273| 25.634 -26.566  |8.24     |K2                |    ~     ~    
117 |BD+74 524                                                                                                |Star                           |13 10 09.6858320376 +73 57 39.596312556|121.1622974790200 +43.1028599274066|  -36.226 3.795  |9.38     |~                 |    ~     ~    
118 |HD 114743                                                                                                |Star                           |13 10 09.8624568984 +73 58 07.523431536|121.1630772961800 +43.0951206493538|  -36.916 0.757  |8.55     |A3                |    ~     ~    
119 |BD+74 528                                                                                                |Star                           |13 11 39.0517597800 +74 07 08.163292080|121.0453166187729 +42.9351960472305| -42.157 18.855  |10.38    |G0                |    ~     ~    
120 |BD+74 529                                                                                                |Star                           |13 12 22.3885669752 +73 46 48.942774192|120.9266614665137 +43.2663838614272|  20.232 -1.420  |9.79     |F5                |    ~     ~    
121 |BD+74 530                                                                                                |High Proper Motion Star        |13 14 52.9125641712 +74 06 51.768951048|120.7447241654342 +42.9141672599183| -50.859 -0.187  |9.82     |K0                |    ~     ~    
122 |BD+74 519                                                                                                |Red Giant Branch star Candidate|13 04 11.1617273280 +73 29 34.010995272|121.6819138095577 +43.6045172881592| -42.480 -7.248  |9.62     |K0                |    ~     ~    
123 |HD 114374                                                                                                |Star                           |13 08 02.5145682816 +73 20 35.584740492|121.2864965595149 +43.7319476731967|-47.341 -11.710  |7.66     |A0                |    ~     ~    
124 |BD+74 523                                                                                                |Star                           |13 08 17.7609777432 +73 30 24.946269012|121.2818499403239 +43.5672705073712|   12.250 1.018  |9.15     |F0                |    ~     ~    
125 |HD 114956                                                                                                |Star                           |13 11 44.1662951064 +73 19 20.382360672|120.9188739299364 +43.7264972615767| -33.832 21.066  |8.39     |F8                |    ~     ~    
126 |TYC 4407-872-1                                                                                           |Star                           |13 02 01.6965803376 +73 17 17.835698688|121.8770923335144 +43.8182678136288| -34.527 17.139  |10.55    |A5                |    ~     ~    
127 |HD 113889                                                                                                |Double or Multiple Star        |13 04 49.74533 +73 01 29.8959          |121.57226083 +44.06791135          |    -18.33 7.72  |6.410    |kA5hA9mF0         |    ~     ~    
128 |BD+73 585                                                                                                |Star                           |13 08 41.7847759464 +72 46 52.733683020|121.1491303287322 +44.2871469708432|   6.763 -5.331  |8.88     |K0                |    ~     ~    
129 |HD 114862                                                                                                |Star                           |13 11 07.4477276304 +72 20 36.340463328|120.8337579878400 +44.7045374721907|   -8.596 7.173  |9.15     |G0                |    ~     ~    
130 |HD 115227                                                                                                |Star                           |13 13 31.9813770240 +72 47 56.740869636|120.6551034181879 +44.2313483952291| 16.846 -14.802  |6.580    |A2V               |    ~     ~    
131 |TYC 4404-529-1                                                                                           |Star                           |13 09 41.3072623920 +72 26 39.042928032|121.0002198197880 +44.6155578319409|   5.895 -7.761  |10.23    |~                 |    ~     ~    
132 |TYC 4407-119-1                                                                                           |Star                           |13 01 49.3191253560 +74 08 30.074129664|121.9627673395365 +42.9670192202226|   7.645 -3.147  |10.64    |~                 |    ~     ~    
133 |TYC 4407-301-1                                                                                           |Horizontal Branch Star         |13 12 55.2258424776 +73 24 30.380889384|120.8157525576992 +43.6314347251320|   7.169 -4.089  |10.31    |~                 |    ~     ~    
134 |TYC 4407-447-1                                                                                           |Star                           |13 11 48.2904699192 +73 35 40.077051900|120.9530663082637 +43.4554448450774|   -4.607 5.526  |10.34    |~                 |    ~     ~    
