C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:22:32

dec< 0&rah >=14.5&rah< 14.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5942

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1551|CD-31 11412                                                                                              |Star                                  |14 42 59.1698286360 -32 05 05.259999660|328.8848949817800 +25.1050939210504|  -22.015 0.909    |10.843   |~              |    ~     ~    |    1|  674.666   pc  | -43.3700    +43.3700    |ST-L    |2020AJ....160...83S
1552|CD-31 11418                                                                                              |Star                                  |14 43 37.7787912696 -32 07 16.366894104|328.9998845094523 +25.0099847237866| -12.319 -0.773    |10.74    |~              |    ~     ~    |    1|  826.788   pc  | -15.3122    +15.3122    |paral   |2020yCat.1350....0G
1553|HD 129506                                                                                                |Star                                  |14 43 50.4323316504 -32 25 39.720085320|328.8875293140426 +24.7175304897675|    5.529 2.827    |10.26    |F3V            |    ~     ~    |    1|  358.218   pc  |  -2.7332     +2.7332    |paral   |2020yCat.1350....0G
1554|HD 129011                                                                                                |Star                                  |14 41 08.1954627960 -32 37 59.559038328|328.2258258401679 +24.7948705468780|    6.678 6.655    |10.13    |F6/7V          |    ~     ~    |    1|  298.668   pc  |  -1.5789     +1.5789    |paral   |2020yCat.1350....0G
1555|HD 129115                                                                                                |Star                                  |14 41 42.9279702168 -33 06 52.429745052|328.1059668952119 +24.3105276334418|  -1.451 -6.693    |8.61     |K0III          |    ~     ~    |    1|  402.156   pc  |  -4.3020     +4.3020    |paral   |2020yCat.1350....0G
1556|HD 129140                                                                                                |Star                                  |14 41 50.5787530296 -33 01 55.013636820|328.1731314555517 +24.3721248375823| -17.559 -7.681    |10.71    |A8/9V          |    ~     ~    |    1|  532.226   pc  | -29.1196    +29.1196    |paral   |2020yCat.1350....0G
1557|HD 129162                                                                                                |Double or Multiple Star               |14 41 59.6617389144 -32 48 51.463418004|328.3126311031172 +24.5517317299186| -11.467 -8.456    |8.21     |B9/A0V         |    ~     ~    |    1|  404.285   pc  |  -7.6820     +7.6820    |paral   |2020yCat.1350....0G
1558|HD 129216                                                                                                |High Proper Motion Star               |14 42 13.1169708600 -32 46 13.157098284|328.3807587026549 +24.5694908263929|-128.830 -132.704  |6.637    |G8IV           |    ~     ~    |    1|   63.834   pc  |  -0.1084     +0.1084    |paral   |2020yCat.1350....0G
1559|HD 129236                                                                                                |Star                                  |14 42 19.3093883184 -32 58 24.625603488|328.3004631215387 +24.3786683333850|    5.893 2.330    |9.47     |K3III          |    ~     ~    |    1| 1192.606   pc  | -24.8904    +24.8904    |paral   |2020yCat.1350....0G
1560|CD-32 10315                                                                                              |Star                                  |14 42 59.9495769168 -33 21 36.578761920|328.2459497535311 +23.9698657160073|    1.577 4.158    |10.22    |~              |    ~     ~    |    1|  725.847   pc  |  -9.9049     +9.9049    |paral   |2020yCat.1350....0G
1561|HD 129347                                                                                                |Star                                  |14 42 57.8695520208 -32 48 14.537555424|328.5171975834247 +24.4679940602105|   3.265 -4.091    |8.47     |G8III          |    ~     ~    |    1|  335.199   pc  |  -4.2584     +4.2584    |paral   |2020yCat.1350....0G
1562|HD 129472                                                                                                |Star                                  |14 43 38.5569098904 -33 11 04.159553208|328.4648063641513 +24.0646590536400|    0.701 5.440    |8.77     |M3III          |    ~     ~    |    1|  645.203   pc  | -16.0270    +16.0270    |paral   |2020yCat.1350....0G
1563|HD 129573                                                                                                |Star                                  |14 44 08.0859732408 -33 15 30.208044528|328.5277665013446 +23.9517518680723|  -4.756 -1.235    |9.48     |G8/K0III       |    ~     ~    |    1|  779.120   pc  | -12.2012    +12.2012    |paral   |2020yCat.1350....0G
1564|HD 129607                                                                                                |Star                                  |14 44 21.0135178944 -33 09 42.823898100|328.6201726526687 +24.0166703568502| -23.571 -1.844    |9.69     |K0III          |    ~     ~    |    1|  490.004   pc  |  -4.5140     +4.5140    |paral   |2020yCat.1350....0G
1565|HD 129682                                                                                                |Double or Multiple Star               |14 44 52.2171 -32 58 54.211            |328.8171711 +24.1261210            |     -27.3 -8.5    |9.16     |F5V            |    ~     ~    |    0|                |                         |        |                   
1566|HD 128908                                                                                                |Star                                  |14 40 34.4415903576 -33 39 09.356451156|327.6079100958902 +23.9368509860932|  -14.146 5.303    |9.74     |A9V            |    ~     ~    |    1|  437.924   pc  |  -3.2410     +3.2410    |paral   |2020yCat.1350....0G
1567|HD 128909                                                                                                |Star                                  |14 40 37.9289345736 -34 11 20.873055264|327.3585860650654 +23.4511672072283|   -9.827 0.014    |10.32    |K0/1(III)      |    ~     ~    |    1|  618.659   pc  |  -7.4251     +7.4251    |paral   |2020yCat.1350....0G
1568|HD 129051                                                                                                |Double or Multiple Star               |14 41 24.09022 -33 57 01.3921          |327.63034699 +23.59362214          |  -33.36 -22.92    |8.59     |K0III          |    ~     ~    |    0|                |                         |        |                   
1569|HD 129217                                                                                                |Star                                  |14 42 16.3871765376 -33 38 01.424909040|327.9626383175796 +23.7948178766715|    3.704 6.112    |7.53     |K0III          |    ~     ~    |    1|  208.481   pc  |  -1.0910     +1.0910    |paral   |2020yCat.1350....0G
1570|HD 129348                                                                                                |Star                                  |14 42 58.1978075088 -33 50 26.456935236|328.0012524093302 +23.5446838977119|-17.569 -13.930    |9.62     |A3IV           |    ~     ~    |    1|  424.412   pc  |  -4.1789     +4.1789    |paral   |2020yCat.1350....0G
1571|HD 129435                                                                                                |Star                                  |14 43 29.8257306000 -33 53 03.018553620|328.0859510845974 +23.4561796352888|  14.887 -2.849    |9.30     |K1III          |    ~     ~    |    1|  598.444   pc  |  -7.3776     +7.3776    |paral   |2020yCat.1350....0G
1572|HD 129455                                                                                                |Star                                  |14 43 33.8005840872 -33 46 40.201395600|328.1521739470487 +23.5445476847649| -15.692 -9.288    |9.47     |F2/3V          |    ~     ~    |    1|  319.826   pc  |  -2.2708     +2.2708    |paral   |2020yCat.1350....0G
1573|HD 129546                                                                                                |Star                                  |14 44 08.8945461600 -34 09 17.068843116|328.0822194823597 +23.1538538154058|   12.271 4.574    |10.15    |F2V            |    ~     ~    |    1|  255.558   pc  |  -1.4825     +1.4825    |paral   |2020yCat.1350....0G
1574|HD 129608                                                                                                |Star                                  |14 44 27.4105108176 -34 03 38.754280656|328.1907958999980 +23.2081667490595|  -5.507 -5.739    |10.20    |F0IV           |    ~     ~    |    1|  523.204   pc  |  -8.1302     +8.1302    |paral   |2020yCat.1350....0G
1575|HD 129012                                                                                                |Star                                  |14 41 13.4964619368 -34 32 07.470150792|327.3099154933033 +23.0866477632067| -13.608 -3.663    |9.90     |K1III          |    ~     ~    |    1|  730.460   pc  | -10.9382    +10.9382    |paral   |2020yCat.1350....0G
1576|HD 129179                                                                                                |Star                                  |14 42 05.5209558360 -34 18 57.966120972|327.5905776740320 +23.2026838428030| -23.020 -4.136    |8.37     |K1III          |    ~     ~    |    1|  253.485   pc  |  -1.3943     +1.3943    |paral   |2020yCat.1350....0G
1577|HD 129362                                                                                                |Star                                  |14 43 03.8753328360 -34 15 26.165112048|327.8144794418346 +23.1645184107156| -17.337 -5.772    |9.83     |A3III/IV       |    ~     ~    |    1|  617.360   pc  | -14.8642    +14.8642    |paral   |2020yCat.1350....0G
1578|HD 129031                                                                                                |Star                                  |14 41 17.0238189312 -34 36 46.700409276|327.2840994052727 +23.0118259035065|  3.715 -13.387    |8.89     |K1III          |    ~     ~    |    1|  352.696   pc  |  -3.4955     +3.4955    |paral   |2020yCat.1350....0G
1579|CD-32 10287                                                                                              |Spectroscopic Binary                  |14 41 00.2198358552 -32 58 49.956591972|328.0261422309985 +24.4974134740902| -14.571 -5.405    |10.534   |~              |    ~     ~    |    1|  342.373   pc  |  -6.8310     +6.8310    |ST-L    |2020AJ....160...83S
1580|CPD-32 3703                                                                                              |High Proper Motion Star               |14 43 48.6431815488 -32 43 56.861062932|328.7269206422738 +24.4499704471630|-35.453 -33.259    |10.09    |~              |    ~     ~    |    1|  226.819   pc  |  -0.8437     +0.8437    |paral   |2020yCat.1350....0G
1581|CD-33 9992                                                                                               |Star                                  |14 41 18.7281649440 -33 55 53.534836452|327.6214836500661 +23.6187793314650|   5.390 -7.478    |10.27    |~              |    ~     ~    |    1|  459.053   pc  |  -4.1303     +4.1303    |paral   |2020yCat.1350....0G
1582|CD-32 10293                                                                                              |Star                                  |14 41 36.5796827712 -33 27 01.200477240|327.9182605004432 +24.0208702030359| -5.941 -23.041    |10.35    |~              |    ~     ~    |    1|  724.113   pc  |  -9.3857     +9.3857    |paral   |2020yCat.1350....0G
1583|CD-32 10298                                                                                              |Star                                  |14 41 42.1493098872 -33 25 28.060016808|327.9499560777942 +24.0352356337604|  -5.482 -6.723    |10.39    |~              |    ~     ~    |    1|  933.968   pc  | -14.6546    +14.6546    |paral   |2020yCat.1350....0G
1584|CD-33 10009                                                                                              |Star                                  |14 42 53.0103519864 -34 00 34.890803496|327.9002457300843 +23.4021980274034| -5.477 -11.694    |10.35    |~              |    ~     ~    |    1|  985.804   pc  | -20.5052    +20.5052    |paral   |2020yCat.1350....0G
1585|CD-32 10317                                                                                              |Star                                  |14 43 08.6905824576 -32 50 06.433432620|328.5385865419142 +24.4230199105747| -7.757 -14.625    |10.34    |~              |    ~     ~    |    1|  349.922   pc  |  -9.0600     +9.0600    |ST-L    |2020AJ....160...83S
1586|CD-32 10320                                                                                              |Star                                  |14 43 24.5066489664 -32 46 40.903881924|328.6214002902066 +24.4483756085085|   4.413 -7.938    |10.26    |~              |    ~     ~    |    1|  767.872   pc  | -12.8539    +12.8539    |paral   |2020yCat.1350....0G
1587|CD-32 10326                                                                                              |Star                                  |14 43 46.8723721824 -32 52 59.620330344|328.6447146679379 +24.3189626373322|-10.883 -16.041    |10.50    |~              |    ~     ~    |    1|  684.229   pc  |  -7.6780     +7.6780    |paral   |2020yCat.1350....0G
1588|CD-33 10020                                                                                              |Star                                  |14 43 50.4742672080 -34 02 48.006855240|328.0744068850452 +23.2790228566381|  -5.165 -0.818    |10.39    |~              |    ~     ~    |    1|  245.308   pc  |  -1.3780     +1.3780    |paral   |2020yCat.1350....0G
1589|CD-33 10030                                                                                              |Star                                  |14 44 39.6604258488 -33 41 30.553580112|328.4163980957182 +23.5164248159083|-12.847 -45.699    |10.81    |~              |    ~     ~    |    1|  546.556   pc  | -17.4000    +17.4000    |ST-L    |2020AJ....160...83S
1590|CD-33 10031                                                                                              |Star                                  |14 44 43.1434170576 -33 39 30.338335764|328.4448592038032 +23.5405083248442|  -1.660 -8.685    |10.35    |~              |    ~     ~    |    1| 1808.318   pc  |-118.7015   +118.7015    |paral   |2020yCat.1350....0G
1591|CD-34 9791                                                                                               |Star                                  |14 37 34.5514104288 -34 48 52.227184176|326.4437224568342 +23.1654283667531|  -9.810 -9.777    |9.92     |~              |    ~     ~    |    1| 1775.884   pc  | -94.2975    +94.2975    |paral   |2020yCat.1350....0G
1592|TYC 7300-295-1                                                                                           |Star                                  |14 38 10.4587521720 -32 32 02.489204544|327.6587437423214 +25.1622765869606| -17.182 11.759    |10.98    |~              |    ~     ~    |    1|  260.193   pc  |  -1.7061     +1.7061    |paral   |2020yCat.1350....0G
1593|TYC 7300-442-1                                                                                           |High Proper Motion Star               |14 41 51.5074555320 -32 05 45.711281364|328.6446048983620 +25.2044377174701|-36.223 -55.303    |10.91    |~              |    ~     ~    |    1|  218.045   pc  |  -0.7797     +0.7797    |paral   |2020yCat.1350....0G
1594|TYC 7300-1330-1                                                                                          |Star                                  |14 40 39.6589430208 -32 53 35.387599740|327.9987130651267 +24.6077880840918|  -3.835 -5.126    |10.87    |~              |    ~     ~    |    1|  496.253   pc  |  -5.2455     +5.2455    |paral   |2020yCat.1350....0G
1595|TYC 7300-1835-1                                                                                          |Star                                  |14 41 38.5940985960 -32 46 46.049838600|328.2576726162958 +24.6162358900058|  11.199 -5.001    |10.88    |~              |    ~     ~    |    1|  382.819   pc  |  -2.9017     +2.9017    |paral   |2020yCat.1350....0G
1596|TYC 7300-1857-1                                                                                          |Star                                  |14 38 33.0941630736 -33 18 02.351536956|327.3645875100927 +24.4393066352865|  13.995 -3.287    |10.83    |~              |    ~     ~    |    1|  479.593   pc  |  -6.1873     +6.1873    |paral   |2020yCat.1350....0G
1597|TYC 7300-1921-1                                                                                          |Star                                  |14 38 48.5157017760 -33 25 37.822087632|327.3562643461613 +24.3020848086158| 21.517 -16.818    |10.70    |~              |    ~     ~    |    1|  117.984   pc  |  -0.3062     +0.3062    |paral   |2020yCat.1350....0G
1598|TYC 7300-1958-1                                                                                          |Star                                  |14 39 52.2034706112 -33 17 12.041458332|327.6426203658413 +24.3298488475288| -7.581 -20.502    |10.81    |~              |    ~     ~    |    1|  256.852   pc  |  -1.0820     +1.0820    |paral   |2020yCat.1350....0G
1599|TYC 7300-1981-1                                                                                          |Star                                  |14 40 53.7535982712 -33 27 54.301637844|327.7653630284223 +24.0745827352414|-40.536 -15.369    |10.77    |~              |    ~     ~    |    1|  464.231   pc  |  -2.8447     +2.8447    |paral   |2020yCat.1350....0G
1600|TYC 7301-158-1                                                                                           |Star                                  |14 43 46.5733717896 -33 11 53.032175016|328.4851908949158 +24.0397767659788|  -29.822 6.673    |10.8     |~              |    ~     ~    |    1|  281.349   pc  | -12.4277    +12.4277    |paral   |2020yCat.1350....0G
1601|TYC 7301-215-1                                                                                           |Star                                  |14 44 47.8953486384 -33 02 00.420276660|328.7762714943779 +24.0872652829913|-33.211 -24.868    |10.54    |~              |    ~     ~    |    1|  333.267   pc  |  -2.5990     +2.5990    |paral   |2020yCat.1350....0G
1602|TYC 7304-79-1                                                                                            |Star                                  |14 39 53.4128181816 -34 00 17.550548388|327.2976663090554 +23.6844578278643| -20.265 -5.912    |10.97    |~              |    ~     ~    |    1|  545.613   pc  |  -5.5966     +5.5966    |paral   |2020yCat.1350....0G
1603|TYC 7304-128-1                                                                                           |Star                                  |14 39 44.6936658648 -34 35 31.577292240|326.9855858246907 +23.1708996359913| -29.488 -1.900    |10.77    |~              |    ~     ~    |    1|  196.313   pc  |  -0.6629     +0.6629    |paral   |2020yCat.1350....0G
1604|TYC 7304-140-1                                                                                           |Star                                  |14 37 36.6163367832 -34 55 48.803352420|326.3962475470959 +23.0580350288515|   -3.308 4.612    |10.79    |~              |    ~     ~    |    1|  330.546   pc  | -13.1440    +13.1440    |paral   |2020yCat.1350....0G
1605|TYC 7304-157-1                                                                                           |Star                                  |14 38 26.0276306904 -34 11 04.866505116|326.9156439464586 +23.6557036799259|  -18.662 5.957    |10.789   |~              |    ~     ~    |    1|  293.305   pc  |  -6.4610     +6.4610    |ST-L    |2020AJ....160...83S
1606|HD 128373                                                                                                |Star                                  |14 37 33.2574286512 -34 37 21.685823328|326.5297112405436 +23.3402762613704| -13.619 -6.422    |10.67    |A2             |    ~     ~    |    1|  589.449   pc  |  -7.7481     +7.7481    |paral   |2020yCat.1350....0G
1607|TYC 7304-618-1                                                                                           |Star                                  |14 37 35.0299975272 -34 43 39.535875552|326.4862113185199 +23.2430303985770|   -5.029 3.228    |10.99    |~              |    ~     ~    |    1| 1438.228   pc  | -53.3673    +53.3673    |paral   |2020yCat.1350....0G
1608|TYC 7304-767-1                                                                                           |Spectroscopic Binary                  |14 38 29.6565250032 -34 21 14.949459360|326.8470728191536 +23.4978252290204|-32.026 -19.270    |10.99    |~              |    ~     ~    |    1|  263.491   pc  |  -4.0962     +4.0962    |paral   |2020yCat.1350....0G
1609|TYC 7304-829-1                                                                                           |Star                                  |14 38 35.5719888768 -34 18 48.441484440|326.8864402731767 +23.5255259071908| -12.965 -3.387    |10.98    |~              |    ~     ~    |    1|  509.606   pc  |  -5.9990     +5.9990    |paral   |2020yCat.1350....0G
1610|TYC 7301-1970-1                                                                                          |Star                                  |14 43 39.6486261144 -33 17 53.451639996|328.4114768516033 +23.9618614039744|   2.067 -7.209    |10.85    |K2IV           |    ~     ~    |    1| 1759.944   pc  | -87.3467    +87.3467    |paral   |2020yCat.1350....0G
1611|HD 128532                                                                                                |High Proper Motion Star               |14 38 24.9053293104 -35 16 35.583141432|326.3944621280504 +22.6745824889883|-52.944 -39.625    |6.77     |A3V            |    ~     ~    |    1|  128.366   pc  |  -0.5075     +0.5075    |paral   |2020yCat.1350....0G
1612|HD 128668                                                                                                |High Proper Motion Star               |14 39 14.2716871680 -35 14 55.956487272|326.5713435130617 +22.6263479592067|  -63.486 3.541    |10.15    |G1/2V          |    ~     ~    |    1|  168.512   pc  |  -1.6498     +1.6498    |paral   |2020yCat.1350....0G
1613|CD-34 9795                                                                                               |Star                                  |14 37 35.5869952488 -35 02 15.721560024|326.3423541294911 +22.9626252635567|   1.461 -5.955    |10.19    |~              |    ~     ~    |    1|  744.269   pc  | -10.4140    +10.4140    |paral   |2020yCat.1350....0G
1614|HD 128409                                                                                                |High Proper Motion Star               |14 37 43.2438032160 -35 31 13.992895380|326.1419692678128 +22.5157795460873|-113.075 -54.258   |7.80     |K0III          |    ~     ~    |    1|  223.489   pc  |  -1.6133     +1.6133    |paral   |2020yCat.1350....0G
1615|CD-34 9818                                                                                               |Star                                  |14 38 59.0771377560 -35 28 18.169485384|326.4157959245761 +22.4483548669558|  -9.291 -6.259    |9.72     |K0             |    ~     ~    |    1|  646.132   pc  | -27.7800    +27.7800    |ST-L    |2020AJ....160...83S
1616|HD 128392                                                                                                |Star                                  |14 37 42.7762968912 -35 44 42.358688124|326.0358283984458 +22.3138003665698|-22.368 -12.489    |9.78     |A9V            |    ~     ~    |    1|  332.502   pc  |  -2.1117     +2.1117    |paral   |2020yCat.1350....0G
1617|HD 128432                                                                                                |Star                                  |14 37 49.4442193128 -36 00 03.964085928|325.9388551556763 +22.0730067294184|    2.247 0.421    |10.09    |F3/5V          |    ~     ~    |    1|  268.875   pc  |  -1.5905     +1.5905    |paral   |2020yCat.1350....0G
1618|HD 128533                                                                                                |Star                                  |14 38 23.8933204824 -36 00 40.960457316|326.0471202243166 +22.0136931636340|-37.499 -13.579    |9.56     |G0V            |    ~     ~    |    1|  220.182   pc  |  -7.0684     +7.0684    |paral   |2020yCat.1350....0G
1619|HD 128614                                                                                                |High Proper Motion Star               |14 38 55.9540580448 -35 36 02.249258940|326.3448066660984 +22.3369005497429|-32.740 -211.687   |7.42     |F5V            |    ~     ~    |    1|   52.846   pc  |  -0.0771     +0.0771    |paral   |2020yCat.1350....0G
1620|HD 128632                                                                                                |Star                                  |14 39 05.0846418360 -35 54 03.382979796|326.2338173215122 +22.0530315209699|   9.457 -2.151    |9.93     |F2V            |    ~     ~    |    1|  331.807   pc  |  -2.4001     +2.4001    |paral   |2020yCat.1350....0G
1621|HD 128647                                                                                                |High Proper Motion Star               |14 39 08.5810007016 -35 44 29.179886604|326.3201863416475 +22.1915174337852|-47.356 -36.613    |10.18    |F6V            |    ~     ~    |    1|  276.740   pc  |  -8.9298     +8.9298    |paral   |2020yCat.1350....0G
1622|HD 128807                                                                                                |Star                                  |14 40 04.1941966368 -35 43 25.291091136|326.5112495062911 +22.1253005929618|   -2.625 6.122    |8.51     |K2III          |    ~     ~    |    1|  412.558   pc  |  -4.0849     +4.0849    |paral   |2020yCat.1350....0G
1623|CD-35 9670                                                                                               |Star                                  |14 38 02.4197048856 -36 15 05.044652676|325.8653208135604 +21.8282508803940|  -0.288 -3.244    |10.16    |G0             |    ~     ~    |    1|  710.631   pc  |  -7.6759     +7.6759    |paral   |2020yCat.1350....0G
1624|HD 128669                                                                                                |Star                                  |14 39 16.4389725384 -36 13 51.011661936|326.1164558972129 +21.7392859222221|   7.462 -3.852    |8.12     |K3III          |    ~     ~    |    1|  481.928   pc  |  -6.1315     +6.1315    |paral   |2020yCat.1350....0G
1625|HD 128468                                                                                                |Star                                  |14 38 08.9588612400 -37 00 28.587262752|325.5375848367881 +21.1355563365911|   28.089 0.904    |7.63     |K1III          |    ~     ~    |    1|  182.319   pc  |  -0.6814     +0.6814    |paral   |2020yCat.1350....0G
1626|CD-36 9518                                                                                               |Star                                  |14 38 52.6137379632 -37 28 40.391695344|325.4617656090308 +20.6489364012702|-15.010 -15.379    |9.82     |~              |    ~     ~    |    1|  431.146   pc  |  -2.9928     +2.9928    |paral   |2020yCat.1350....0G
1627|CD-36 9520                                                                                               |Star                                  |14 38 54.4623609192 -37 26 25.039012056|325.4849370491519 +20.6802563741474|  -5.671 -9.581    |9.67     |K1             |    ~     ~    |    1| 1334.045   pc  | -40.5766    +40.5766    |paral   |2020yCat.1350....0G
1628|CD-36 9523                                                                                               |Star                                  |14 39 01.6988844360 -37 04 02.132243544|325.6799901880315 +21.0065971314671| -19.814 -5.485    |9.76     |K1             |    ~     ~    |    1|  708.416   pc  |  -9.2341     +9.2341    |paral   |2020yCat.1350....0G
1629|HD 128773                                                                                                |High Proper Motion Star               |14 39 53.5010757696 -37 11 58.485937020|325.7847891850414 +20.8128573389299| -55.160 -3.947    |9.40     |F8/G0V         |    ~     ~    |    1|  183.399   pc  |  -3.6864     +3.6864    |paral   |2020yCat.1350....0G
1630|HD 128772                                                                                                |Star                                  |14 39 55.4057428248 -36 44 13.496996940|326.0062328979939 +21.2266394401318|-33.282 -15.606    |8.99     |F6V            |    ~     ~    |    1|  202.712   pc  |  -1.0150     +1.0150    |paral   |2020yCat.1350....0G
1631|CD-36 9509                                                                                               |Star                                  |14 37 56.1816580104 -36 49 18.920162712|325.5817867923157 +21.3218816195250| -6.021 -11.062    |10.59    |~              |    ~     ~    |    1| 3086.420   pc  |-136.2216   +136.2216    |paral   |2020yCat.1350....0G
1632|CD-35 9671                                                                                               |High Proper Motion Star               |14 38 04.5519747216 -36 27 28.413807912|325.7767302480444 +21.6387311086952|90.261 -192.243    |10.55    |~              |    ~     ~    |    1|  181.205   pc  |  -0.5221     +0.5221    |paral   |2020yCat.1350....0G
1633|CD-36 9516                                                                                               |Star                                  |14 38 41.3018630640 -37 28 52.857145668|325.4240763892339 +20.6618693231594|  -5.774 -4.697    |10.65    |~              |    ~     ~    |    1|  272.576   pc  |  -4.1384     +4.1384    |paral   |2020yCat.1350....0G
1634|CD-35 9694                                                                                               |Star                                  |14 39 49.2994716792 -36 02 17.429559972|326.3140478440447 +21.8645431766823| -14.525 -7.714    |10.65    |~              |    ~     ~    |    1|  864.155   pc  | -12.0976    +12.0976    |paral   |2020yCat.1350....0G
1635|CD-35 9692                                                                                               |Star                                  |14 39 51.9269962632 -36 32 24.409402260|326.0870562093500 +21.4090206656434|  -7.176 -6.539    |10.51    |~              |    ~     ~    |    1|  808.016   pc  | -13.5801    +13.5801    |paral   |2020yCat.1350....0G
1636|CD-36 9535                                                                                               |High Proper Motion Star               |14 39 57.0765779592 -36 34 04.647895212|326.0906891547203 +21.3764487974784| -3.299 -79.814    |10.80    |~              |    ~     ~    |    1|  369.563   pc  |  -2.5267     +2.5267    |paral   |2020yCat.1350....0G
1637|CD-36 9536                                                                                               |Star                                  |14 40 04.7468519304 -36 55 39.009981396|325.9474404032308 +21.0416444676529|   31.430 3.598    |10.45    |~              |    ~     ~    |    1|  139.571   pc  |  -0.7013     +0.7013    |paral   |2020yCat.1350....0G
1638|HD 129683                                                                                                |Star                                  |14 44 56.8761120216 -34 22 53.756100804|328.1288765631689 +22.8765139707170|-18.197 -19.704    |9.72     |F6V            |    ~     ~    |    1|  155.036   pc  |  -0.4302     +0.4302    |paral   |2020yCat.1350....0G
1639|HD 129218                                                                                                |Star                                  |14 42 19.2519750240 -34 44 31.217746164|327.4284255611847 +22.8010163043762|  3.967 -13.945    |9.12     |A9V            |    ~     ~    |    1|  276.472   pc  |  -2.2167     +2.2167    |paral   |2020yCat.1350....0G
1640|HD 129296                                                                                                |Star                                  |14 42 50.5761449472 -34 57 03.784740984|327.4302376475129 +22.5661314140112|-17.859 -13.658    |10.02    |F0IV           |    ~     ~    |    1|  476.963   pc  | -14.3093    +14.3093    |paral   |2020yCat.1350....0G
1641|HD 129669                                                                                                |Star                                  |14 44 48.9884916192 -34 41 38.535384948|327.9474849442501 +22.6112480768517| -4.892 -11.233    |9.43     |K1(III)        |    ~     ~    |    1|  577.101   pc  |  -7.1605     +7.1605    |paral   |2020yCat.1350....0G
1642|HD 129684                                                                                                |Star                                  |14 44 59.2076203968 -34 44 59.333875872|327.9535172215037 +22.5456362998268|   1.488 -0.634    |10.67    |A0V            |    ~     ~    |    1|  718.915   pc  | -48.0700    +48.0700    |ST-L    |2020AJ....160...83S
1643|CD-34 9853                                                                                               |High Proper Motion Star               |14 42 29.1694960344 -34 45 12.139162128|327.4557864388674 +22.7756043530886| -65.970 -1.026    |10.16    |~              |    ~     ~    |    1|  182.585   pc  |  -0.6534     +0.6534    |paral   |2020yCat.1350....0G
1644|CD-34 9857                                                                                               |High Proper Motion Star               |14 42 58.1999026416 -34 39 12.636749016|327.6008945608273 +22.8199463884190|-38.568 -31.244    |10.66    |~              |    ~     ~    |    1|  207.194   pc  |  -0.9659     +0.9659    |paral   |2020yCat.1350....0G
1645|CD-34 9877                                                                                               |High Proper Motion Star               |14 44 10.7003789760 -34 44 33.873736812|327.7970076279974 +22.6277864310489|-52.601 -75.816    |10.47    |~              |    ~     ~    |    1|  180.838   pc  |  -0.6083     +0.6083    |paral   |2020yCat.1350....0G
1646|CD-33 10028                                                                                              |Star                                  |14 44 28.5599946792 -34 21 59.305688928|328.0424433212735 +22.9345888263019| -11.872 -0.143    |10.6     |~              |    ~     ~    |    1|  462.942   pc  |  -3.7505     +3.7505    |paral   |2020yCat.1350....0G
1647|* c01 Cen                                                                                                |High Proper Motion Star               |14 43 39.4396190 -35 10 25.158650      |327.4824326579 +22.2922755960      | -61.46 -176.84    |4.05     |K3IIIb         |    ~     ~    |    1|   64.8155  pc  |  -1.6565     +1.6565    |paral   |2018yCat.1345....0G
1648|CD-34 9873                                                                                               |Star                                  |14 43 59.9432334888 -35 01 53.408364312|327.6194405158192 +22.3873196838039|   -9.930 4.357    |9.54     |K2             |    ~     ~    |    1|  727.696   pc  | -12.9738    +12.9738    |paral   |2020yCat.1350....0G
1649|HD 129574                                                                                                |Star                                  |14 44 14.9788669344 -35 11 52.682201412|327.5870772371237 +22.2157381142255| -18.168 -5.444    |9.65     |A3III/IV       |    ~     ~    |    1|  296.736   pc  |  -1.9283     +1.9283    |paral   |2020yCat.1350....0G
1650|HD 129638                                                                                                |High Proper Motion Star               |14 44 36.5393961984 -34 54 04.090790196|327.8039902086252 +22.4465170810375| 46.401 -27.177    |8.95     |F5V            |    ~     ~    |    1|  112.904   pc  |  -0.3072     +0.3072    |paral   |2020yCat.1350....0G
1651|CD-34 9884                                                                                               |Star                                  |14 44 50.6679928368 -35 02 26.830440456|327.7814451938562 +22.3002483368202|-16.894 -16.878    |9.93     |F5             |    ~     ~    |    1|  269.259   pc  |  -2.3925     +2.3925    |paral   |2020yCat.1350....0G
1652|HD 128974                                                                                                |Star                                  |14 41 01.3897990440 -36 08 05.492768820|326.5032538465168 +21.6711620953965| -32.156 -6.133    |5.658    |B9.5III        |    ~     ~    |    1|  209.793   pc  |  -3.0149     +3.0149    |paral   |2020yCat.1350....0G
1653|HD 128975                                                                                                |Star                                  |14 41 04.9895881392 -36 09 15.719869944|326.5057011521525 +21.6483130921555| -32.331 -8.428    |9.32     |F0V            |    ~     ~    |    1|  213.324   pc  |  -1.8157     +1.8157    |paral   |2020yCat.1350....0G
