C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:31:36

dec >=0&rah >=8.5&rah< 8.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3892

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |    ang. size    |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|-----------------|-----|----------------|-----------------------|--------|-------------------
44  |HD 71167                                                                                                 |Star                               |08 35 44.2558867440 +79 31 12.168101712|133.9552616505544 +31.3008399592631|-18.987 -40.155   |9.08     |F2                   |    ~     ~      |    1|  419.393   pc  |  -2.5680     +2.5680  |paral   |2020yCat.1350....0G
45  |BD+80 260                                                                                                |Star                               |08 36 14.5116940488 +79 38 33.897899652|133.8115491192612 +31.2786269061394|   -1.542 2.016   |9.91     |K2                   |    ~     ~      |    1| 1179.663   pc  | -17.2559    +17.2559  |paral   |2020yCat.1350....0G
46  |BD+80 263                                                                                                |Star                               |08 43 15.2081176320 +79 30 30.297788784|133.8201191131133 +31.6229744326925|  -4.100 10.207   |10.25    |F0                   |    ~     ~      |    1|  297.823   pc  |  -1.1886     +1.1886  |paral   |2020yCat.1350....0G
47  |BD+79 279                                                                                                |Star                               |08 41 56.8924074096 +79 15 23.734635696|134.1205452959798 +31.6631586357492|  -16.308 2.545   |9.64     |F5                   |    ~     ~      |    1|  310.839   pc  |  -1.2947     +1.2947  |paral   |2020yCat.1350....0G
48  |BD+79 280                                                                                                |High Proper Motion Star            |08 43 43.3894257720 +79 20 17.214329580|133.9950971907824 +31.7083399693602|-124.689 -55.168  |9.58     |G5                   |    ~     ~      |    1|   66.767   pc  |  -0.0513     +0.0513  |paral   |2020yCat.1350....0G
49  |TYC 4543-349-1                                                                                           |Star                               |08 31 34.1244172296 +79 46 41.788558524|133.7477174374039 +31.0358772254405|-13.745 -21.757   |10.74    |~                    |    ~     ~      |    1|  965.531   pc  | -10.1615    +10.1615  |paral   |2020yCat.1350....0G
50  |TYC 4543-424-1                                                                                           |Star                               |08 38 07.2178821288 +79 55 41.957190660|133.4648360797558 +31.2530090238377| -3.546 -21.415   |10.95    |~                    |    ~     ~      |    1|  428.964   pc  |  -2.6313     +2.6313  |paral   |2020yCat.1350....0G
51  |TYC 4543-437-1                                                                                           |Star                               |08 32 17.9073398448 +79 41 15.306270576|133.8344399702145 +31.0972266155281|  20.636 -8.640   |10.74    |~                    |    ~     ~      |    1|  365.430   pc  |  -8.6934     +8.6934  |paral   |2020yCat.1350....0G
52  |TYC 4543-439-1                                                                                           |Star                               |08 41 20.0194808400 +79 46 37.442250012|133.5673919174360 +31.4407226460094|  19.919 10.766   |10.68    |~                    |    ~     ~      |    1|  503.195   pc  |  -3.3170     +3.3170  |paral   |2020yCat.1350....0G
53  |TYC 4543-477-1                                                                                           |Star                               |08 33 25.1922649320 +79 39 25.476547500|133.8478133700893 +31.1548969069898|-10.159 -29.397   |10.91    |~                    |    ~     ~      |    1|  343.843   pc  |  -1.0641     +1.0641  |paral   |2020yCat.1350....0G
